headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
関学大・海崎琢主将、阪神のＶパネル眺めて聖地を実感　史上初の甲子園ボウル６連覇へ自信（スポーツ報知）,https://news.yahoo.co.jp/articles/282bf1d833a993e2e3e81e9f3c866a3cb34f756b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041231-sph-000-1-view.jpg?exp=10800,2023-12-04T22:38:33+09:00,2023-12-04T22:38:33+09:00,スポーツ報知,sph,スポーツ報知,465,\n甲子園で取材に応じた関学大・海崎（左）、法大・滝沢の両主将\n２年ぶり９度目の顔合わせとなった関学大（関西）と法大（関東）の両チームが４日、甲子園球場で会見した。\n\n 史上初の６連覇がかかる関学大のＬＢ海崎琢主将（４年）＝箕面自由学園＝はグラウンドに立つなり「あっ、やはり１つ増えていますね」とネット裏を見上げ、今季３８年ぶり日本一に輝いた阪神のＶパネルが１枚増えて計６枚（リーグＶのみ４度、日本一２度）になっていることに気付き、約１年ぶりの甲子園を実感。「野球は全然、分からないんですけど」と笑った。昨年はケガで欠場したが「４年間（チームが）、甲子園ボウルに出られて幸せ。今年一年、目標にしてきた日本一を達成する」と自信。野球シーズンが終わった聖地を再び沸かせ、頂点に立つ。\n\n また、法大ＷＲ滝沢叡（あきら）主将（４年）＝法政二＝は「リベンジ機会を頂けた。挑戦者として関学を破り、学生アメフトの新しいスタンダードになる」。２年前の甲子園ボウルで敗れた雪辱と、０６年以来１７年ぶり学生王者へ意気込んだ。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041231-sph-000-1-view.jpg?pri=l&w=640&h=442&exp=10800'],['https://news.yahoo.co.jp/articles/282bf1d833a993e2e3e81e9f3c866a3cb34f756b/images/000']
【ボートレース】エンジン好気配の中田夕貴に注目…若松ミッドナイトボートレース（スポーツ報知）,https://news.yahoo.co.jp/articles/7a66d1bf0d0e8a5a40a85400e2b07171ac26860d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041240-sph-000-1-view.jpg?exp=10800,2023-12-04T23:41:34+09:00,2023-12-04T23:41:34+09:00,スポーツ報知,sph,スポーツ報知,357,\nペラ調整でさらに舟足を上昇させたい中田\n◆ミッドナイトボートレース９ｔｈ２日目（４日・ボートレース若松）\n\n 今シリーズは新エンジンに切り替わって２節目。初使用と一度使われたエンジンが混在している。当然、エース機はまだ不在で、これから探していくのが楽しみな時期でもある。\n\n そんな中で注目したいのが、中田夕貴とタッグを組む５号機だ。初下ろしの前回はそこまで目立つ動きではなかったものの、今節は初戦から伸びを中心に好気配をアピール。中田自身も「まだ乗りづらさがあるけど、（調整が）合えば伸びがすごく良くなる。回ってからの押しもいいし、じっくりペラを調整します」と手応えを口にした。\n\n ⑤①②の成績で迎える予選３日目は２枠と３枠で登場。どんなパフォーマンスを見せてくれるか楽しみだ。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041240-sph-000-1-view.jpg?pri=l&w=482&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/7a66d1bf0d0e8a5a40a85400e2b07171ac26860d/images/000']
【Ｍリーグ】高宮まり、１０戦目初トップで「がっぺむかつく」２連発！江頭２：５０との約束果たす（スポーツ報知）,https://news.yahoo.co.jp/articles/acfe588941627ca644328e315004a1c0016aaba5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041228-sph-000-5-view.jpg?exp=10800,2023-12-04T22:29:23+09:00,2023-12-05T01:52:44+09:00,スポーツ報知,sph,スポーツ報知,1308,\n「がっぺむかつく」を披露する高宮まり（Ｃ）ＡＢＥＭＡ\n麻雀・Ｍリーグの第４５節が４日に行われ、第１試合に出場した高宮まり（麻雀格闘倶楽部）が今期１０戦目で初トップを獲得した。うっかりツモを取り忘れる「少牌」を犯す場面もあったが、オーラスで鮮やかな逆転勝ち。試合後にはお笑いタレントの江頭２：５０と約束したというギャグ「がっぺむかつく」を２連発で披露した。\n\n 卓を囲む４者の動きがピタリと止まった。高宮の顔から一気に血の気が引いた。東４局の親番で赤五筒を引いて「リーチ・ツモ・タンヤオ・赤１」満貫４０００オールをあがった直後の同１本場のことだ。連荘した高宮が親の第１ツモを取り忘れ、先に打牌してしまった。\n\n 「大変申し訳ありませんでした！ （前局に）久しぶりに赤五筒をツモって、あがって（緊張して）しまいました。（配牌を見て）ホンイツあるなとか、ドラ１あるから普通にやろっかなとか、いろいろ考えてしまって…」\n\n 園田賢（ドリブンズ）、中田花奈（ビースト）と三つどもえでトップ争いをしていた中での痛いミス。Ｍリーグの規定では少牌したこの局は「あがり放棄」となる。貴重な親番を逃すことになった高宮はトップ争いから脱落…したかに見えた。\n\n しかし３着目で迎えた高宮の２周目の親番、オーラス南４局にドラマが起こる。トップ目の園田が食いタンで逃げ切りを図るなか、ラス目の松ヶ瀬隆弥（風林火山）がツモれば三倍満の超大物手でリーチをかけた。２人に囲まれた高宮だったが、冷静に鳴き仕掛けでテンパイ。この当たり牌「八索」を松ヶ瀬がつかみ「タンヤオ・赤１・ドラ２」の満貫１万２０００点を決めて大逆転。高宮が自身１０戦目で今期初トップを手にした。\n\n ジェットコースターのような半荘を終え「もしかしたら一生（トップを）取れないかと思っていた」と安堵した高宮だったが、もうひとつの“大仕事”が控えていた。江頭のＹｏｕＴｕｂｅ番組「エガちゃんねる」に出演した際に３対１のハンデつきの麻雀対決で敗れ、Ｍリーグでトップを取ったら江頭の定番ギャグを披露することを約束していた。\n\n 「とんでもない初トップになってしまいました！ かぁ～っ！ がっぺむかつく！」\n\n ギャグ前の雄叫びまで完全再現した高宮は「あまり見ないでください…」と恥ずかしがりながらも「少牌したのでもう一回」と２度もやり切った。同番組では岡田紗佳（サクラナイツ）が同様に麻雀対決に敗れ、９月２８日の初トップの際に江頭のもうひとつのギャグ「取って、入れて、出す！」を全力披露したが、その後は７戦６連対で現在個人成績３位と絶好調。ここまで勝ちきれない展開が続いていた高宮にもエガちゃんギャグが幸運を運んでくる、かもしれない。\n\n 試合結果は１着に高宮（＋６２・３）、２着に園田（＋１７・２）、３着に中田（▲５・１）、４着に松ヶ瀬（▲７４・４）。\n\n ◆がっぺむかつく 雄叫びを上げながら左手を後頭部に持っていき、右手でわき毛をむしり取って前方に飛ばす江頭の持ちギャグ。「がっぺ」は江頭の故郷の佐賀弁で「とても」を意味する。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041228-sph-000-6-view.jpg?pri=l&w=640&h=352&exp=10800'],['https://news.yahoo.co.jp/articles/acfe588941627ca644328e315004a1c0016aaba5/images/000']
ヒクレオ＆ファンタズモ、タイチ＆上村、アーチャー＆ゼインの３組がＷＴＬ首位並走…新日・高知大会全成績（スポーツ報知）,https://news.yahoo.co.jp/articles/524cb39b091906e222cd2644aa5decd9e0a43ba1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041232-sph-000-2-view.jpg?exp=10800,2023-12-04T22:58:25+09:00,2023-12-05T00:07:33+09:00,スポーツ報知,sph,スポーツ報知,1463,\n超高角度の合体技でＷＴＬ４勝目を飾った（右から）ヒクレオとエル・ファンタズモ（新日本プロレス提供）\n◆新日本プロレス「ＷＯＲＬＤ ＴＡＧ ＬＥＡＧＵＥ ２０２３」大会（４日、高知・高知県民体育館）\n\n 新日最強タッグを決めるワールドタッグリーグ（ＷＴＬ）Ｂブロック６戦目が行われた。\n\n ヒクレオ、エル・ファンタズモ組はアトランティス・ジュニア、ソベラーノ・ジュニア組と一進一退の攻防を展開。終盤、ファンタズモがアトランティスにサドンデスからトペ・スイシーダさく裂。ヒクレオもソベラーノをゴッドセンドで叩きつけ、最後はスーパーサンダーキス’８６で４勝目を挙げた。\n\n ここまで４勝の「Ｊｕｓｔ ５ Ｇｕｙｓ」（Ｊ５G）のタイチ、上村優也組はバッドラック・ファレ、ジャック・ボンザ組のパワーに屈し、痛恨の足踏み。\n\n ＷＴＬ３連覇を狙う「毘沙門」後藤洋央紀、ＹＯＳＨＩ―ＨＡＳＨＩ組は初タッグを組んだ５５歳コンビ、永田裕志、鈴木みのる組を下し、ブロック勝ち抜けに首の皮１枚残した。\n\n この日の結果、Ｂブロックは４勝２敗の勝ち点８でヒクレオ、ファンタズモ組、ランス・アーチャー、アレックス・ゼイン組、タイチ、上村組の３チームが首位タイを並走。３勝２敗１引き分けの勝ち点７で後藤、ＹＯＳＨＩ―ＨＡＳＨＩ組が追う大混戦のまま、７日のブロック最終戦を迎えることになった。\n\n ◆全成績\n\n ▽１０分１本勝負\n\n 〇マスター・ワト（５分３０秒 逆エビ固め）村島克哉●\n\n ▽タッグマッチ２０分１本勝負\n\n 〇金丸義信、ＳＨＯ（８分０３秒 変型エビ固め）鷹木信悟、ＢＵＳＨＩ●\n\n ▽６人タッグマッチ２０分１本勝負\n\n 〇トーア・リオナ、ビショップ・カーン、ボルチン・オレッグ（６分１７秒 フォール・フロム・ヘブン→体固め）清宮海斗、大岩陵平、オスカー・ロイベ●\n\n ▽６人タッグマッチ２０分１本勝負\n\n 〇ＨＥＮＡＲＥ、グレート―Ｏ―カーン、カラム・ニューマン（６分２８秒 アルティマ）矢野通、石井智宏、本間朋晃●\n\n ▽６人タッグマッチ３０分１本勝負\n\n 〇ＥＶＩＬ、高橋裕二郎、ディック東郷（９分４３秒 Ｓｃｏｒｐｉｏｎ Ｄｅａｔｈｌｏｃｋ）海野翔太、成田蓮、田口隆祐●\n\n ▽６人タッグマッチ３０分１本勝負\n\n 〇石森太二、ゲイブ・キッド、アレックス・コグリン（８分３３秒 Ｂｏｎｅ Ｌｏｃｋ）シェイン・ヘイスト、マイキー・ニコルス、藤田晃生●\n\n ▽「ＷＯＲＬＤ ＴＡＧ ＬＥＡＧＵＥ ２０２３」Ｂブロック公式リーグ戦３０分１本勝負\n\n 〇バッドラック・ファレ、ジャック・ボンザ＝２勝４敗・勝ち点４（１１分０６秒 バッドラックフォール→片エビ固め）タイチ、上村優也●＝４勝２敗・勝ち点８\n\n ▽同\n\n 〇エル・ファンタズモ、ヒクレオ＝４勝２敗・勝ち点８（１６分２０秒 スーパーサンダーキス’８６→片エビ固め）アトランティスＪｒ．、ソベラーノＪｒ．●＝２勝３敗１分・勝ち点５\n\n ▽同\n\n 〇後藤洋央紀、ＹＯＳＨＩ―ＨＡＳＨＩ上村優也、タイチ＝３勝２敗１分・勝ち点７（１１分４２秒 後藤弐式）鈴木みのる、永田裕志●＝１勝５敗・勝ち点２\n\n ▽同\n\n 〇辻陽太、サンドカン・ジュニア＝３勝３敗・勝ち点６（１３分１６秒 ジーンブラスター→片エビ固め）アレックス・ゼイン、ランス・アーチャー●＝４勝２敗・勝ち点８\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041232-sph-000-2-view.jpg?pri=l&w=640&h=636&exp=10800'],['https://news.yahoo.co.jp/articles/524cb39b091906e222cd2644aa5decd9e0a43ba1/images/000']
ビートたけし７６歳、自身の引き際について告白「漫才は完全に引退している。お笑いも半分ダメ。映画は…」（スポーツ報知）,https://news.yahoo.co.jp/articles/b66eedb27c01f07dcc2b843a94e70e8d4d988c5d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041230-sph-000-2-view.jpg?exp=10800,2023-12-04T23:04:32+09:00,2023-12-04T23:25:24+09:00,スポーツ報知,sph,スポーツ報知,394,\nビートたけし\nお笑いコンビ「ダウンタウン」の松本人志（６０）とタレント・中居正広（５１）がＭＣを務めるフジテレビ系「まつもｔｏなかい」（日曜・後９時）が３日に放送された。\n【写真】北野武監督と有名芸人の２ショット\nこの日のゲストは、お笑いタレント・ビートたけし（７６）とＥＸＩＬＥ・ＨＩＲＯ（５４）。中居が引き際について聞くと、たけしは「漫才は完全に引退している。できねえ。お笑いも半分ダメだ。映画はまぁまぁ、かな」と答えた。\n\n 「映画なんかもオーダーがくるじゃない。そのうちはまだ俺のことが必要なんだって。来なけりゃ引退、強制的というか。自分からやめますっていうのは踏ん切りが良さそうで、なんか…」と首を傾げ、「結局、ボロボロになった自分も見せてあげたいしね。今まで笑って金くれた人にこんなになっちゃったっていう姿も見せたっていいかな」と自嘲気味に笑った。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041230-sph-000-2-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/b66eedb27c01f07dcc2b843a94e70e8d4d988c5d/images/000', 'https://hochi.news/articles/20231122-OHT1T51071.html?mode=photo&photoid=1']"
お笑いコンビ・レギュラー、レクリエーション介護士資格を生かして書籍発売（スポーツ報知）,https://news.yahoo.co.jp/articles/e51478abab649bf13d842c3ad5a50954205b5bdd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041225-sph-000-1-view.jpg?exp=10800,2023-12-04T21:54:50+09:00,2023-12-04T21:54:50+09:00,スポーツ報知,sph,スポーツ報知,403,\n「よしもとお笑い介護ブ！」のメンバーたち\nお笑いコンビ「レギュラー」らが４日、オンラインで介護のレクリエーション指南書籍「現場でウケる！ よしもと芸人の介護レク４６選」の出版記念イベントを行った。\n\n 介護施設におけるレクリエーションを通して、利用者さまの人生を豊かにする介護人材を育成することを目的とした資格「レクリエーション介護士」を持つ吉本興業所属芸人らが企画した書籍。芸人考案のレクリエーションを紹介している。\n\n 「レギュラー」の２人は「よしもとお笑い介護ブ！」に所属しており、「レクリエーション介護士資格１級」を取得している。西川晃啓は「みなさんが簡単にできるように作っているのでぜひ手にとってほしい」。相方の松本康太も「子供のレクリエーションにも使える。１つのフォーマットとして使ってください。自分のやりやすいようにアレンジしていって、変えてほしい」と胸を張った。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041225-sph-000-1-view.jpg?pri=l&w=640&h=517&exp=10800'],['https://news.yahoo.co.jp/articles/e51478abab649bf13d842c3ad5a50954205b5bdd/images/000']
「美しいってこういうことか」 ＮｉｚｉＵ・リマのデコルテあらわなショットが「美人すぎてやばい」と話題沸騰！（スポーツ報知）,https://news.yahoo.co.jp/articles/43b6e3e8c85407a1bfa07c3b2f032b9cc12e2348,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041212-sph-000-3-view.jpg?exp=10800,2023-12-04T22:11:58+09:00,2023-12-04T22:13:51+09:00,スポーツ報知,sph,スポーツ報知,345,\nＮｉｚｉＵのインスタグラム（＠ｎｉｚｉｕ＿ａｒｔｉｓｔ＿ｏｆｆｉｃｉａｌ）より\n９人組ガールズグループ「ＮｉｚｉＵ」の公式ＳＮＳが４日に更新され、メンバーＲＩＭＡ（リマ）がオフショ公開と共に３周年を報告した。\n【写真】別の表情のカットも\n公式インスタグラムで「ＮｉｚｉＵ ３ｒｄ ａｎｎｉｖｅｒｓａｒｙ ３周年を迎えました！これからもよろしくお願いします！」とつづり、オフショットを披露。デコルテとお腹が見えた衣装写真複数枚を投稿した。\n\n この投稿にファンからは「美しいってこういうことか」「美人すぎてやばい」「最高がすぎるでございます」「え、まって、可愛（かわい）すぎんか？？」「３周年おめでとうね！４年目も応援してるからね！！」といった声が寄せられている。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041212-sph-000-3-view.jpg?pri=l&w=453&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/43b6e3e8c85407a1bfa07c3b2f032b9cc12e2348/images/000', 'https://hochi.news/articles/20231204-OHT1T51212.html?mode=photo&photoid=2']"
テレ朝・三谷紬アナ、“愛すべき同期”が撮影した着物ショットが素敵！「本当によく似合いますね」と絶賛の声（スポーツ報知）,https://news.yahoo.co.jp/articles/7ad95554fca6608b537748cf50ce54bf1275bd61,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041220-sph-000-3-view.jpg?exp=10800,2023-12-04T22:04:55+09:00,2023-12-04T22:17:16+09:00,スポーツ報知,sph,スポーツ報知,281,\n三谷紬アナのインスタグラム（＠ｍｉｔａｎｉ＿ｔｓｕｍｕｇｉ）より\nテレビ朝日の三谷紬アナウンサーが４日までに自身のＳＮＳを更新。着物姿を披露した。\n【写真】別の表情の着物ショットも\nインスタグラムで「着物待ち受け撮影を先日しました」と明かし、黒地に花模様の着物姿をアップ。「愛すべき同期美桜ちゃんが撮ってくれた写真」と続け、同期の林美桜アナウンサーが撮影したというオフショットを掲載した。\n\n この投稿には「本当によく似合いますね」「とても素敵（すてき）です」「可愛（かわい）い」「すごく似合ってます」などのコメントが寄せられている。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041220-sph-000-3-view.jpg?pri=l&w=563&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/7ad95554fca6608b537748cf50ce54bf1275bd61/images/000', 'https://hochi.news/articles/20231204-OHT1T51220.html?mode=photo&photoid=2']"
橋本環奈がクレープ店員に？ドラマオフショに「環奈ちゃんからクレープ買いたい」「可愛いがすぎる」などの声（スポーツ報知）,https://news.yahoo.co.jp/articles/14d652994ffd536d320501a74bac335a7361e99a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041150-sph-000-2-view.jpg?exp=10800,2023-12-04T20:57:25+09:00,2023-12-04T20:58:37+09:00,スポーツ報知,sph,スポーツ報知,329,\n橋本環奈マネジャーのインスタグラム（＠ｋａｎｎａｈａｓｈｉｍｏｔｏ．ｍｇ）より\n女優・橋本環奈のマネジャーが運営するＳＮＳが４日に更新され、ドラマのオフショットが公開された。\n【写真】敬礼ポーズも\n現在放送中のフジテレビ系連続ドラマ「トクメイ！警視庁特別会計係」（月曜・後１０時）に出演中の橋本。マネジャーはインスタグラムで「こんばんは！環奈ＭＧです」とつづり、クレープのキッチンカーでの写真などドラマのオフショット複数枚を投稿した。\n\n この投稿にファンからは「環奈ちゃんからクレープ買いたい」「クレープ欲しい」「あー可愛（かわい）いがすぎる」「横顔綺麗（きれい）すぎるだろ」「天使です！！！！！！」といった声が寄せられている。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041150-sph-000-2-view.jpg?pri=l&w=548&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/14d652994ffd536d320501a74bac335a7361e99a/images/000', 'https://hochi.news/articles/20231204-OHT1T51150.html?mode=photo&photoid=3']"
「助監督さんたちの愛」松本若菜、ドラマオフショ＆裏話公開に「ほっこりです」「素敵な現場」と反響（スポーツ報知）,https://news.yahoo.co.jp/articles/74fb11b5c2644373bfccc428c7a4f8f57ba6d1cf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041168-sph-000-2-view.jpg?exp=10800,2023-12-04T20:34:00+09:00,2023-12-04T20:34:48+09:00,スポーツ報知,sph,スポーツ報知,411,\n松本若菜のインスタグラム（＠ｍａｔｓｕｍｏｔｏ＿ｗａｋａｎａ）より\n女優の松本若菜が４日、自身のＳＮＳを更新。フジテレビ系ドラマ「ＯＮＥ ＤＡＹ～聖夜のから騒ぎ～」（月曜・後９時～）のオフショットを公開した。\n【写真】警察手帳の写真も\n狩宮カレン役で出演する松本は、インスタグラムに「現場で見つけた助監督さんたちの愛」と書き始め、車のナンバープレートを指差すショットや警察手帳を持つショットアップ。「カレンが乗っている車のナンバーや警察手帳の登録番号が【２２５】私の誕生日です。優しいほっこり嬉しいにんまり 愛に溢れた現場です。」と明かした。\n\n この投稿には「そんな裏話があったんですね」「素敵」「ほっこりです」「本当にスタッフさんたちの愛を感じる素敵な現場ですね」「綺麗過ぎです」などのコメントが寄せられている。\n\n 同ドラマは、クリスマスイブの一日を１クールかけて描くオリジナル作品。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231204-12041168-sph-000-2-view.jpg?pri=l&w=469&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/74fb11b5c2644373bfccc428c7a4f8f57ba6d1cf/images/000', 'https://hochi.news/articles/20231204-OHT1T51168.html?mode=photo&photoid=2']"
