headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
大麻成分に似た「HHCP」含まれる疑いの商品発見　尼崎市のカフェを「知事監視店」初指定 　兵庫県（読売テレビ）,https://news.yahoo.co.jp/articles/5714091923213dce9d97240cdbc377fad7d50465,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-02287543-ytv-000-2-thumb.jpg?exp=10800,2023-12-15T18:38:00+09:00,2023-12-15T18:55:26+09:00,読売テレビ,ytv,読売テレビ,332,\n読売テレビ\nいわゆる“大麻グミ”の問題を受け、兵庫県は15日、尼崎市内の店舗を条例に基づく「知事監視店」に初めて指定しました。\n\n 知事監視店に指定されたのは尼崎市内のカフェで、12月7日、警察や近畿厚生局麻薬取締部などによる立ち入り検査で、大麻の成分に似たHHCPが含まれる疑いのあるリキッドなどが見つかっていました。\n\n 知事監視店に指定されるとHHCPなど6つの成分を含む製品を販売する際に、購入者の氏名や年齢、住所を確認することなどが義務付けられ、従わない場合は販売者に50万円以下の罰金が科せられます。\n\n 知事監視店の指定は2014年の条例制定以降初めてで、県はHHCPが含まれる疑いのある製品は決して使用しないよう呼びかけています。,[],[]
JR西の来春ダイヤ改正　増便は一部のみ、終電時間も見直さず　利用者はコロナ前の9割まで回復（読売テレビ）,https://news.yahoo.co.jp/articles/1ec973f0fdf5fcb9bf09a1aeace6e8bae4b576be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-01725775-ytv-000-2-thumb.jpg?exp=10800,2023-12-15T18:46:01+09:00,2023-12-15T18:50:26+09:00,読売テレビ,ytv,読売テレビ,372,\n読売テレビ\nJR西日本は15日、来年3月のダイヤ改正で一部を除いて増便はせず、コロナ禍で前倒しした終電も見直さないと発表しました。\n\n JR西日本はコロナ禍で在宅勤務が増えたり、帰宅時間が早まったりして利用者が減少したことなどを受け、終電の前倒しや昼間の時間帯の減便を行っていました。\n\n 京阪神エリアを中心とする近畿地区の先月の利用者は新型コロナの5類移行を受け、2019年と比べて9割まで回復していますが、今回のダイヤ改正では観光客で混雑する嵯峨野線やJRゆめ咲線を除いて増便はなく、終電の見直しもありませんでした。\n\n 一方、奈良と大阪を結ぶ通勤特急「らくラクやまと」を新設するほか、10月に大和路線などで導入した有料座席サービス「快速 うれしート」を設定する本数を増やすなど「座りたい」ニーズの取り込みを進めています。,[],[]
日常的に暴行か　知的障害ある利用者の女性引きずり、床にたたきつけた疑い　介護事業所の管理者を逮捕（読売テレビ）,https://news.yahoo.co.jp/articles/d4ced72822e16181b0bb9325e738b96f69969f6a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-07517325-ytv-000-2-thumb.jpg?exp=10800,2023-12-15T18:36:01+09:00,2023-12-15T18:56:27+09:00,読売テレビ,ytv,読売テレビ,456,\n読売テレビ\n障害者の支援を行う介護事業所で、利用者の女性を床にたたきつけるなど暴行を加えたとして、管理者の男が15日逮捕されました。\n\n 大阪府貝塚市にある生活介護事業所「アップル」の管理者・品田征秀容疑者（32）は今週火曜日（12日）の午前、事業所の入り口近くで利用者の48歳の女性の両手をつかんで事業所の中までひきずり、床にたたきつけた疑いがもたれています。\n\n この事業所では、重度の知的障害のある人の自立支援などを行っていて、この女性はほとんど意思疎通ができていませんでした。\n\n 今月、「施設で虐待がある」と匿名の通報があり警察が捜査を進めたところ、別の職員が暴行の様子を目撃していたということです。\n\n 調べに対し、品田容疑者は「事務所内まで引きずったが、床にたたきつけるという部分は少し間違えている」と容疑を否認しています。\n\n 事業所の元職員は、品田容疑者がほかの利用者にも手を上げる様子を目撃していたということで、警察は日常的に暴行が行われていたとみて捜査しています。,[],[]
海上保安学校の男子学生を逮捕、特殊詐欺の“受け子”か「ギャンブルで借金、楽して金を稼ぎたかった」（読売テレビ）,https://news.yahoo.co.jp/articles/80c1390a2acad7ce10f104fbafa35cccb66c33b5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-08433771-ytv-000-2-thumb.jpg?exp=10800,2023-12-15T19:09:01+09:00,2023-12-15T19:12:26+09:00,読売テレビ,ytv,読売テレビ,416,\n読売テレビ\n海上保安学校の男子学生が大阪府内の80代の女性からキャッシュカードなどを盗んだとして、15日逮捕されました。\n\n 窃盗の疑いで逮捕されたのは京都府舞鶴市にある海上保安学校の20歳の男子学生で、警察によりますと、11月、大阪府吹田市に住む80代の女性の自宅を訪ね、キャッシュカード2枚とクレジットカード1枚を偽物とすり替え、盗んだ疑いです。\n\n 女性の自宅には全国銀行協会などを名乗るウソの電話がかかってきていたとみられ、女性の銀行口座からはその日のうちに150万円が引き出されていました。3日後、女性が被害に気付き、警察が防犯カメラなどを調べたところ、男子学生の関与が浮上しました。\n\n 男子学生は「ギャンブルで借金があり、返済のために楽して金を稼ぎたかった」などと話し、容疑を認めているということです。海上保安学校は「誠に遺憾であり、事実関係を調査し、在校生への指導を徹底する」とコメントしています。,[],[]
奈良県も関西広域連合に来年度から全面的に参加へ　県議会で可決　前知事は「無駄な支出増える」と拒否（読売テレビ）,https://news.yahoo.co.jp/articles/bba9acff6839c55cf607feaa6c11773137a10b2e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-03845478-ytv-000-2-thumb.jpg?exp=10800,2023-12-15T18:43:00+09:00,2023-12-15T20:05:29+09:00,読売テレビ,ytv,読売テレビ,732,\n読売テレビ\n奈良県議会で15日、‟部分的な参加”となっていた関西広域連合について、来年度から“全面的に参加”するための議案が可決されました。\n\n この日、奈良県が下した大きな決断。関西広域連合に全面的に参加するための議案が賛成多数で可決しました。\n\n 関西広域連合は2010年、「防災」や「医療」など7つの分野で広域的に課題を解決することを目的に結成されました。しかし、奈良県だけは当時の荒井正吾知事が「無駄な支出が増える」などとして参加を拒否。\n\n 荒井知事（当時）「奈良を説得しようという方には『良い例を早く示してください』という返事をしておきたいと思います」\n\n これには‟旗振り役”で当時、大阪府知事のこの人は…\n\n 橋下徹知事（当時）「なんで奈良だけやらないのか、感覚のズレがあると思う」\n\n その後も奈良県は「防災」と「観光・文化」の2つの分野に限っての部分的な参加にとどまっていました。\n\n 今年4月の知事選挙で、関西広域連合への全面参加を公約に掲げ当選した山下真知事。改めて全面参加の意義について問われると…\n\n 山下知事「奈良県の産業力の強化が非常に大きな課題と認識していますので、大きな府県と協力することで奈良県の企業にとっても大きなメリットがあると認識しています」\n\n 奈良県民\n 「（全面参加は）いいと思います。活性化しないと奈良県も昔のままではあかんので…」\n 「どこかが困ったら他が助けるとか助けてもらうになれば“ウィンウィン”やけど、そうはならないと思う」\n\n 今後、広域連合に参加する全ての自治体で可決された後、総務大臣の認可を得て、来年度にも奈良県の全面参加が実現する見通しです。,[],[]
トンネル火災の影響で通行止めの山陽道　約3か月ぶり全面解除　下り線の播磨JCT～赤穂IC　兵庫（読売テレビ）,https://news.yahoo.co.jp/articles/458d5a276e565ab229613c1ab083ee95b4302eb4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-06748131-ytv-000-2-thumb.jpg?exp=10800,2023-12-15T17:14:01+09:00,2023-12-15T17:52:29+09:00,読売テレビ,ytv,読売テレビ,357,\n読売テレビ\nトンネル火災による復旧工事が続いていた山陽自動車道の通行止めが15日、約3か月ぶりに解除されました。\n\n 今年9月、兵庫県赤穂市の山陽自動車下り線、尼子山トンネルの中で大型トラックから火が出て、合わせて23台が焼けました。火が消し止められるまで約40時間かかり、400メートルにわたりコンクリートの壁が剥がれ落ちたり、照明設備が焼けたりするなど激しく損傷しました。\n\n 復旧作業のため、播磨ジャンクションから赤穂インターチェンジの間の下り線で通行止めが続いていましたが、復旧が完了したとして、この日午前11時、約3か月ぶりに通行止めが解除されました。\n\n 近畿地方整備局によりますと、この期間中、並行する国道2号線の交通量は2倍から3倍ほどに増え、事故も多くなっていたということです。,[],[]
被害額33億3800万円…大阪府内で過去最悪の特殊詐欺被害「ガンバ大阪」チアリーダーらが注意喚起（読売テレビ）,https://news.yahoo.co.jp/articles/25745ae24d74ef627e6c695a9e7e2f44f77f58df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-01532622-ytv-000-3-view.jpg?exp=10800,2023-12-15T16:22:01+09:00,2023-12-15T19:14:27+09:00,読売テレビ,ytv,読売テレビ,443,\n読売テレビニュース\nすでに過去最多となっている特殊詐欺の被害を防ごうと、大阪府吹田市に本拠地があるサッカーJ1の「ガンバ大阪」のチアリーダーらが15日、吹田市内をパレードして市民らに注意を呼びかけました。\n\n 大阪メトロ江坂駅近くで行われたパレードには、吹田市の後藤圭二市長や大阪府警吹田警察署の川畑慶和署長らがガンバ大阪チアリーダーの”ガンバチア”のメンバーらとともに「詐欺用心・電話一本・詐欺のもと」と声を上げながら町を練り歩きました。\n\n 大阪府警によりますと、府内で認知した特殊詐欺事件の件数は2469件（11月末の時点の速報値）と過去最悪だった去年をすでに上回っていて、被害額は33億3800万円に上っています。\n\n 中でも吹田署管内は、大阪府内で66ある警察署のうち、ワーストとなる128件の特殊詐欺事件が発生（15日時点）しています。\n\n 警察は不審な電話がかかってきた場合、カードを渡したり現金を振り込んだりせずに警察に相談してほしいとしています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-01532622-ytv-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/25745ae24d74ef627e6c695a9e7e2f44f77f58df/images/000']
少子化などで志願者減少…武庫川女子大学短期大学部　学生募集を2025年度以降停止（読売テレビ）,https://news.yahoo.co.jp/articles/b90fbadbb391d84f11d7efe8ba03e4316f3a4162,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-08288345-ytv-000-3-view.jpg?exp=10800,2023-12-15T15:53:01+09:00,2023-12-15T16:18:28+09:00,読売テレビ,ytv,読売テレビ,327,\n読売テレビニュース\n学校法人武庫川学院は、「武庫川女子大学短期大学部」の学生募集を、2025年度以降、停止すると発表しました。\n\n 武庫川女子大学短期大学部は、1950年（昭和25年）に、武庫川学院女子短期大学として開学しました。これまでの卒業生は、10万人を超えています。\n\n しかし、少子化や、共学志向・四年制大学志向が強まったうえに、新型コロナの影響などもあり志願者が急激に減少するなどしたため、学科の募集停止を進めていて、2024年度の募集を最後に、すべての学生募集を停止することを決めたということです。\n\n 現在、短期大学部に在籍している学生や、2024年度の入学生については、卒業まで現在の教育環境を継続するということです。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-08288345-ytv-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/b90fbadbb391d84f11d7efe8ba03e4316f3a4162/images/000']
児童の“いじめ示唆”ノートに花丸「不適切だが懲戒処分に該当せず」奈良県教委が担任に指導改善研修へ（読売テレビ）,https://news.yahoo.co.jp/articles/ceda622707d6d5678fb22ab86d5b1c5d58ac1fc2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-03552441-ytv-000-6-view.jpg?exp=10800,2023-12-15T15:34:01+09:00,2023-12-15T19:31:26+09:00,読売テレビ,ytv,読売テレビ,715,\n問題のノート\n奈良市でいじめを受けて自殺をほのめかした児童のノートに担任が花丸を付けた問題で、奈良県教育委員会は15日、担任の教諭について「不適切ではあるものの、懲戒処分には該当しない」との考えを示しました。\n\n 奈良県教育委員会によりますと、当該の教諭について、「被害児童に対する配慮に欠けていた」として、今月18日から指導改善研修を行うと、市の教育委員会に通知したということです。\n■自殺ほのめかした女子児童に花丸「You can do it！」\n奈良市立の小学校に通う女子児童は去年、ノートに「悲しかった、つらかった」「わたしは死ねばいいのに」などと自殺をほのめかす文章を書き担任に提出しましたが、担任は花丸をつけ「You can do it！ファイト」と記載して児童に返却していました。\n\n その約4か月前には、同級生に蹴られて全治1週間のケガをし、保護者が学校に調査を求めたところ、学校側は同級生が暴力を認めないことを理由にあげて、「学校は警察じゃない」と調査を拒否したということです。\n\n 女子児童は、適応障害やPTSD・心的外傷後ストレス障害と診断され、現在も症状が続いているということです。\n■母親「早く対応してくれていたら」\n児童の母親は、取材に対し「（学校には）『調査できない』と全てシャットアウトされてしまった。早くにしっかり対応してくれれば、娘が安心して学校に通える状況に戻れたんじゃないかと思う」と話していました。\n\n 一方、奈良市の教育委員会は6日の会見で、「（花丸は）励ましの気持ちをもって書いたと当時担任の教諭は説明をしている」と釈明し、「不適切だった」としています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-03552441-ytv-000-6-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/ceda622707d6d5678fb22ab86d5b1c5d58ac1fc2/images/000']
コロナ禍で前倒しの終電は見直さず　JR西のダイヤ改正　コロナ前に比べ乗客数は約9割まで回復（読売テレビ）,https://news.yahoo.co.jp/articles/eb0f4104716cec62d1e6ea632feea809fc936d59,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-06639691-ytv-000-4-view.jpg?exp=10800,2023-12-15T15:16:00+09:00,2023-12-15T18:56:27+09:00,読売テレビ,ytv,読売テレビ,537,\nJR西日本の会見\nJR西日本は、来年3月に実施するダイヤ改正を発表しました。京阪神エリアでは、コロナ前に比べ9割ほどまで乗客数は回復していますが、一部を除き増便はなく、前倒しした終電の見直しもありませんでした。\n\n JR西日本は、新型コロナなどの影響で在宅勤務が増えたり、帰宅時間が早まるなどして利用者が減少したことを受け、終電を前倒ししたり、昼間の時間帯を減便したりしてきました。\n\n 新型コロナの5類移行を受け、11月には、京阪神エリアをはじめとした近畿地区では、2019年と比べて約9割まで利用者数が回復していますが、今回のダイヤ改正では、混雑が激しいJR嵯峨野線などを除き増便はなく、終電の見直しもありませんでした。\n\n 増便が行われるのは、観光客らで混雑するJR嵯峨野線とJRゆめ咲線で、嵯峨野線については、日中の京都～嵯峨嵐山間で1時間当たり4本から5本に増発し、車両数も増やします。JRゆめ咲線は、USJへの来園と通勤時間帯が重なる朝に増発します。\n\n また、奈良と大阪を結ぶ通勤特急「らくラクやまと」を新設するほか、10月に大和路線などで導入した有料座席サービス「快速 うれしート」についても、設定する本数を増やし、土日にも運行します。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231215-06639691-ytv-000-4-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/eb0f4104716cec62d1e6ea632feea809fc936d59/images/000']
