headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
無料で約20分のお手軽リミナルスペース体験『The Backrooms: Unbounded』Steamで配信（Game Spark）,https://news.yahoo.co.jp/articles/26217f78ae79a58f04db270f2cd58a98da739fd3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000010-gamespav-000-1-view.jpg?exp=10800,2023-12-26T22:30:24+09:00,2023-12-26T22:30:24+09:00,Game Spark,gamespav,Game Spark,676,\n（写真：Game*Spark）\nBluSkieは、ホラー『The Backrooms: Unbounded』をWindows向けにリリースしました。\n【画像全4枚】\nSteamでも定番となった“バックルーム”\n本作はタイトルにもある通り、都市伝説バックルームを元にした1人称視点ホラー。海外掲示板から広がったこの都市伝説は、突如として黄色っぽい部屋へと迷い込んでしまい、そこには敵対的な「エンティティ」も存在するというものです。\n\nホラーゲームの題材として相性が良かったバックルームは、Steamでも多くの関連ゲームの元ネタとなり、2023年に入ってからも頻繁にバックルームゲームがリリースされていました。最近では話題となった『8番出口』も影響を受けています。\n\n\n無料で楽しめる10～20分のホラー\n本作はボディカメラ風の1人称視点を採用したホラーで、バックルームに迷い込んでしまった警官として脱出することを目指します。それぞれ独自のデザインの8ステージが用意されており、想定されるプレイ時間は10～20分となっています。\n\n没入感のためにUIも排している本作ですが、画面端の歪みによるある程度の雰囲気はあるものの現実のボディカメラ映像と見間違えるほどではありません。ただし特有の揺れなどもなく、ボディカメラ視点ホラーにありがちな画面酔いは起こりにくいと感じられました。\n\n\n『The Backrooms: Unbounded』は、Windows向けにSteamにて無料で配信中です。\nGame*Spark いわし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000010-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/26217f78ae79a58f04db270f2cd58a98da739fd3/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137162/840907.html']"
探索＆戦術的ターン制バトル『The Dragoness:Command of the Flame』国内PS5/PS4/スイッチ版2024年4月11日発売（Game Spark）,https://news.yahoo.co.jp/articles/ad253df73e82ba18918b4fee9ac6a9d1e9d31a92,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000009-gamespav-000-1-view.jpg?exp=10800,2023-12-26T21:55:54+09:00,2023-12-26T21:55:54+09:00,Game Spark,gamespav,Game Spark,659,\n（写真：Game*Spark）\nオーイズミ・アミュージオは、シミュレーションRPG『The Dragoness:Command of the Flame』をPS5/PS4/ニンテンドースイッチ向けに2024年4月11日に発売すると発表しました。\n【画像全9枚】\n2022年9月にSteamにて発売された作品\n本作はCrazy Goat Gamesが手掛けたシミュレーションRPG。2022年9月にPQubeをパブリッシャーとしてWindows向けにSteamにて発売されています。それから約1年後の2023年8月にはGOG.com、Epic Games Storeでも取り扱いが開始されたほか、Xbox Series X|Sおよび海外PS5/PS4版も発売され、さらに2023年9月には海外ニンテンドースイッチ版も発売されていました。\n\nローグライトな探索とシミュレーションバトルが融合\n本作はドラゴン同士の戦いで荒廃したドライシア半島を舞台に、雇われた司令官として冒険を繰り広げます。敗北しても新たな能力で復活できるローグライトな探索で拠点やユニットの強化をし、戦闘では魔獣をターン制で指揮して敵を倒します。\n\nまた本日12月26日より全国の取扱店にて予約受付を開始していることも告知されています。\n\n\n『The Dragoness:Command of the Flame』はPS5/PS4/ニンテンドースイッチ向けに2024年4月11日に発売予定です。\nGame*Spark いわし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000009-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/ad253df73e82ba18918b4fee9ac6a9d1e9d31a92/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137161/840892.html']"
インクの悪魔ホラー『Bendy』シリーズが映画化―Joey Drew Studiosがレトロで不気味な画像公開（Game Spark）,https://news.yahoo.co.jp/articles/0cf3a89efe5004de0fa6f543f6df79a68d6d3f34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000008-gamespav-000-1-view.jpg?exp=10800,2023-12-26T20:51:21+09:00,2023-12-26T20:51:21+09:00,Game Spark,gamespav,Game Spark,758,\n（写真：Game*Spark）\nJoey Drew Studiosは、ホラー『Bendy』シリーズをRadar Picturesによって映画化すると発表しました。\n【画像全2枚】\nインクの悪魔に襲われるホラー『Bendy』シリーズ\n『Bendy』シリーズは2017年に第1作目『Bendy and the Ink Machine』のエピソード形式での配信が始まったホラー。放棄されたカートゥーンアニメスタジオを探索することになりますが、そこではインクの悪魔に襲われることになるという内容です。\n\n第1作目『Bendy and the Ink Machine』とその続編『Bendy and the Dark Revival』のほか、「Boris」を主人公としたスピンオフ『Boris and the Dark Survival』もリリースされています。\n\n\n映画「ジュマンジ」新シリーズ、ドラマ「ホイール・オブ・タイム」などのRadar Pictures\n『Bendy』シリーズの公式Xアカウントによって公開されたのはレトロで不気味な雰囲気の画像。いかにも本シリーズらしい画像ですが、『Bendy』の映画化が告知されています。\n\nまたRadar Picturesの名前がJoey Drew Studiosと並んで記されており、映画「ジュマンジ」新シリーズやドラマ「ホイール・オブ・タイム」などの制作に参加してきた同社が映画化作品を手掛けるようです。なおそれ以上の情報は明かされておらず、「ザ・スーパーマリオブラザーズ・ムービー」のようなアニメ作品なのか、「Five Nights At Freddy’s」のような実写映画となるのかは記事執筆時点で不明です。\nGame*Spark いわし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000008-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/0cf3a89efe5004de0fa6f543f6df79a68d6d3f34/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137160/840877.html']"
ポテトが飛び交うカオスなプッシャー新作『フライドポテトプッシャーフレンズ』クラファンでの先行販売スタート―2024年1月12日発売予定（Game Spark）,https://news.yahoo.co.jp/articles/5615ec8e279c6615a689cbedeb3764b23749cc64,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000006-gamespav-000-1-view.jpg?exp=10800,2023-12-26T15:00:04+09:00,2023-12-26T15:00:04+09:00,Game Spark,gamespav,Game Spark,793,\n（写真：Game*Spark）\nSTP WORKSは、ファストフードバトル『フライドポテトプッシャーフレンズ』のCAMPFIREを開始しました。\n【画像全9枚+映像1本】\nフライドポテト飛び交う店内でハンバーガーセットを完成させよう\n本作は、『古銭プッシャーフレンズ』などで知られるSTP WORKSが手掛けるファストフードバトルゲーム。フライドポテトが飛び交うファストフード店でハンバーガーセットを完成させていきランキング上位を目指します。バンズやレタス、パティといったハンバーガーの具材はベルトコンベアで運ばれてくるので、タイミングよくフライドポテトを当てて落とすことが重要です。\n\nまた、ハンバーガーセットにはポテトやコーラも必要。セットを完成させるとアルバイト代を受け取ることができ、永続のアップグレードを購入できます。さらに、アルバイト中には訓練用のロボットが襲撃してくることも。フライドポテトをぶつけて倒すことに成功するとそのゲーム中だけ効果が持続するパワーアップを獲得できます。\n\nCAMPFIREには、Steam版ダウンロードコードやPC壁紙などが付属するゲームプランコースや、フライドポテトをリアルに再現したキーホルダー付きのグッズプラン、タイトル画面に広告を表示させられるポスタープランなどが存在。広告は購入者自身の活動に関するものに加えて、条件を満たしていれば推しを宣伝する内容でも問題はないとしています。\n\nSteam向けに2024年1月12日発売予定\n『フライドポテトプッシャーフレンズ』の発売日は2024年1月12日で、Steam向けに470円で発売予定。CAMPFIREの期間は2023年12月26日から2024年1月7日までです。また、ニンテンドースイッチ向けの発売も予定されています。\nGame*Spark kamenoko,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000006-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/5615ec8e279c6615a689cbedeb3764b23749cc64/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137153/840640.html']"
“圧倒的に好評”2DアクションRPG『ASTLIBRA Revision』DLC「外伝 ~幻霧の洞窟~」Steamストアページ公開―パン屋の引きこもり娘が戦う物語（Game Spark）,https://news.yahoo.co.jp/articles/ddbc86714f94c0a561c35f736bf7b549eecea867,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000007-gamespav-000-4-view.jpg?exp=10800,2023-12-26T19:42:44+09:00,2023-12-27T02:58:25+09:00,Game Spark,gamespav,Game Spark,696,\n（写真：Game*Spark）\nWhisperGamesは、KEIZO氏開発の2DアクションRPG『ASTLIBRA Revision』について、追加コンテンツ「ASTLIBRA Revision 外伝 ~幻霧の洞窟~」のSteamストアページを公開しました。\n【画像全4枚】\n『ASTLIBRA Revision』は2022年10月にSteam版をリリース。およそ14年の歳月をかけて開発されたフリーゲーム『ASTLIBRA』を基に改良が施された横スクロールアクションRPGです。魔物に襲われた人間のいない世界で、生き残った青年の数々の冒険を描いた推定プレイ時間約60時間とされる長編物語となっています。Steamでは“圧倒的に好評”のユーザーレビューを獲得しています。2023年11月にはニンテンドースイッチ版もリリースされました。\n\n\n引きこもりのパン屋の娘の戦いの物語\nDLCは『ASTLIBRA Revision』の外伝。病気の妹を救うため、英雄たちの痕跡を追い戦いに身を投じる事になる引きこもりのパン屋の娘の戦いの物語で、本編とは異なる女性主人公で展開されます。ランダム生成されるダンジョンに挑むローグライク形式となるようです。プレイ時間20時間超にも及ぶとされています。\n\nDLC『ASTLIBRA Revision 外伝 ~幻霧の洞窟~』はSteamにてリリース予定。本編『ASTLIBRA Revision』はSteam/ニンテンドースイッチで配信中です。Game*Sparkでは、プレイレポも掲載中です。\nGame*Spark H.Laameche,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000007-gamespav-000-4-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/ddbc86714f94c0a561c35f736bf7b549eecea867/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137158/840824.html']"
ゲームファンが選ぶベストインディーゲーム「2023 Indie of the Year Awards」結果発表まもなく！100本のノミネートからトップに輝くのはどのタイトル？（Game Spark）,https://news.yahoo.co.jp/articles/28d2df716c6f49cc01a2304134731daa07951b34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000004-gamespav-000-1-view.jpg?exp=10800,2023-12-26T12:30:03+09:00,2023-12-26T12:30:03+09:00,Game Spark,gamespav,Game Spark,580,"\n（写真：Game*Spark）\nインディーゲーム情報サイトIndieDBが主催するアワード「2023 Indie of the Year Awards」の結果が12月28日に発表されます。\n【画像全3枚】\n昨年のトップも再ノミネート！？ユーザー投票ならではのTOP100ラインナップ\n登録された10,000本以上の作品からゲームファンによる投票で決定される「Indie of the Year Awards」。先行投票で100本にまで絞られたノミネート作品には『Party Animals』や人気RPGのスピンオフ作品『Undertale Yellow』が含まれるほか、昨年のトップである『Isonzo』が再ノミネートされているなど、ユーザー投票ならではのラインナップとなっています。\n\n日本ではまだ知名度の低い隠れた名作に出会えるチャンスかも！\n既に投票は終了し、残すは発表のみ。既にIndieDBの編集者によるEditors Choice Awardsは公開され、現地時間27日に今後リリースされる期待作への賞Unreleased Indie Gameが、続いて28日に目玉のIndie of the Year 2023が発表予定です。日本ではまだ知名度の低い隠れた名作に出会えるチャンスかもしれませんよ！\nGame*Spark 焦生肉",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000004-gamespav-000-1-view.jpg?pri=l&w=640&h=364&exp=10800'],"['https://news.yahoo.co.jp/articles/28d2df716c6f49cc01a2304134731daa07951b34/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137148/840705.html']"
『ドラクエ』『FF』『クロノ』の堀井雄二氏と坂口博信氏、鳥嶋和彦氏の3人がラジオで揃い踏み―聖夜に秘話を明かす（Game Spark）,https://news.yahoo.co.jp/articles/b7073e1f8c0585a8e60e25a73879e73af1c53b89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000005-gamespav-000-1-view.jpg?exp=10800,2023-12-26T14:30:11+09:00,2023-12-26T14:30:11+09:00,Game Spark,gamespav,Game Spark,449,\n（写真：Game*Spark）\nラジオ局J-WAVE(81.3FM)は『ドラゴンクエスト』のゲームデザイナー・堀井雄二氏と、元週刊少年ジャンプ編集長の鳥嶋和彦氏が出演する「ゆう坊＆マシリトのKosoKoso放送局」のコーナーに『ファイナルファンタジー』の生みの親・坂口博信氏が出演すると発表しました。\n\n国内外のRPGの歴史や『ドラクエ』『FF』『クロノ』の秘話が語られる\n「ゆう坊＆マシリトのKosoKoso放送局」は毎週月曜日から土曜日の27時にJ-WAVEで放送中の「TOKYO M.A.A.D SPIN」の中で毎月最終月曜日に放送されるプログラムで、12月25日の放送回では、坂口博信氏が出演。3人が国内外RPGの歴史や『ドラゴンクエスト』『ファイナルファンタジー』の誕生・制作秘話、『クロノトリガー』企画発足から制作当時の貴重なエピソードを語りました。\n\n本番組は、radikoのタイムフリー機能で、オンエア開始後から一週間聴取可能です。\nGame*Spark HATA,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000005-gamespav-000-1-view.jpg?pri=l&w=640&h=212&exp=10800'],['https://news.yahoo.co.jp/articles/b7073e1f8c0585a8e60e25a73879e73af1c53b89/images/000']
ロボットの能力を好みの装備やプレイスタイルでカスタマイズ『EXTERMINATOR』2024年3月リリース―ミッションベースのサードパーソンSTG（Game Spark）,https://news.yahoo.co.jp/articles/3fb14bc527b8aa6b1036e2e8607abb53d31a5677,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000002-gamespav-000-1-view.jpg?exp=10800,2023-12-26T08:00:02+09:00,2023-12-26T08:00:02+09:00,Game Spark,gamespav,Game Spark,539,\n（写真：Game*Spark）\n個人開発者のSamanSpadesは、2年間の開発期間を経てサードパーソンシューティング『EXTERMINATOR』のSteamページを公開し、2024年3月リリースであることを発表しました。\n【画像全9枚】\nタレントツリーウィンドウでカスタマイズ\n本作は、ミッションベースのサードパーソンシューティングゲームです。合計10のミッションが含まれており、各ミッションは最低でも40分間のプレイ時間が必要とのこと。ミッションを完了することで次のミッションが解除されます。また、各ミッションの終わりには、プレイヤーの能力と知恵を試す新たなボスが待ち構えています。\n\n本作の特徴的な要素であるタレントツリーウィンドウにより、プレイヤーは自分のロボットの能力をカスタマイズし、好みの装備やプレイスタイルに合わせてゲームを進めることが可能に。敵を倒したり隠された宝箱を見つけ経験値を獲得し、レベルアップすることで、新たな能力を解放したり既存の能力に新たなメカニクスを追加したりするためのポイントを獲得できます。\n\n『EXTERMINATOR』はSteamにて、2024年3月リリース予定です。\nGame*Spark H.Laameche,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000002-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/3fb14bc527b8aa6b1036e2e8607abb53d31a5677/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137142/840586.html']"
半裸男が腕だけで崖をよじ登るクライミングゲーム『A Difficult Game About Climbing』発表！（Game Spark）,https://news.yahoo.co.jp/articles/9e9abfdc142ce015deab821b70d912078cb0b76d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000001-gamespav-000-1-view.jpg?exp=10800,2023-12-26T07:00:03+09:00,2023-12-26T07:00:03+09:00,Game Spark,gamespav,Game Spark,561,\n（写真：Game*Spark）\n開発者Pontypants氏は半裸男が腕だけで崖をよじ登るクライミングアクションゲーム『A Difficult Game About Climbing』を発表しました。\n【画像全10枚+映像1本】\n壺おじインスパイア\n壺おじこと『Getting Over It with Bennett Foddy』にインスパイアされたという本作はマウスだけでプレイすることができ、左クリックと右クリックで半裸男の左右の手を操作して岸壁を掴み、頂上を目指してよじ登っていきます。頂上にたどり着いたクライマーには永遠の栄光と素晴らしい贈り物が用意されているとのことです。\n\n主な特徴\n難しいが不可能ではないがゲームプレイ。練習で完璧を作る。\n穴埋めはなく、全ての障害物が意図的に配置されている。\n気を散らす要素のない集中したゲームプレイ。\n非暴力で死ぬことも怪我することもないが、一度のミスで積み上げたものが失われる可能性がある。\n登る、滑る、落ちる、何度も。\n終わりのない苦しみ。\n\nマウスを握る手も思わず力が入りそうな『A Difficult Game About Climbing』はWindowsを対象にSteam配信予定です。\nGame*Spark RIKUSYO,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000001-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/9e9abfdc142ce015deab821b70d912078cb0b76d/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137141/840595.html']"
ネクソンの何でも破壊FPS『THE FINALS』累計プレイヤー数1000万人突破！達成にたった半月と最高の滑り出し（Game Spark）,https://news.yahoo.co.jp/articles/7e418f36c4dd2563912dac4c7912a889562455d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000003-gamespav-000-1-view.jpg?exp=10800,2023-12-26T12:02:45+09:00,2023-12-26T12:02:45+09:00,Game Spark,gamespav,Game Spark,625,\n（写真：Game*Spark）\nネクソンはEmbark Studioと手掛けるFPS『THE FINALS』の累計プレイヤー数が1000万人を突破したことを発表しました。\n【画像全2枚】\n事前の期待を裏切らない最高の滑り出し！\n本作は周囲のあらゆるものを破壊できることが特徴のチーム対戦FPS。プレイヤーの自由度を極限まで高めた戦闘エンターテイメントゲームショーと題し、ベータテストは大盛況。Steamのウィッシュリストランキングトップも獲得していました。\n\n\n12月8日のサービス開始から約半月が経過した本作ですが、早くも累計プレイヤー数が1000万人を突破したとのこと。事前の期待を裏切らない最高の滑り出しを見せています。エグゼクティブ・プロデューサーのロブ・ルネソン氏は、「これほど早くプレイヤー数が1000万人に到達するとは、夢にも思いませんでした。この先何年にも渡って、コミュニティを驚かせ続けられるよう、努力してまいります。」と驚きと今後に向けた思いをコメントしています。\n\nユニークなホリデーアイテムを獲得できるホリデーイベント開催中！\n人気爆発の『THE FINALS』はPC（Steam）/PS5/Xbox Series X|S向けに配信中です。2024年1月3日（水）まで雪に包まれたモナコを駆け回り、ユニークなホリデーアイテムを獲得できるホリデーイベントを開催しています。\nGame*Spark 焦生肉,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231226-00000003-gamespav-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/7e418f36c4dd2563912dac4c7912a889562455d5/images/000', 'https://www.gamespark.jp/article/img/2023/12/26/137147/840709.html']"
