headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
坂出市の老人ホームで集団食中毒　給食を食べた入所者ら２８人が下痢など訴え　ノロウイルスを検出【香川】（OHK岡山放送）,https://news.yahoo.co.jp/articles/1c4ceab8388150e6361ae28af1db89c3c5a9e1b2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019676-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:33:01+09:00,2023-12-27T19:12:02+09:00,OHK岡山放送,ohk,OHK岡山放送,324,\n岡山放送\n坂出市の介護付き有料老人ホームで、入所者など２８人がおう吐や下痢などを訴える集団食中毒が発生しました。\n\n香川県によりますと、坂出市の介護付き有料老人ホームで、１２月２１日以降、職員や入所者の２０代から９０代の男女２８人が、おう吐や下痢などを訴えているということです。いずれも軽症と見られています。\n\n１２月２０日昼に施設で提供された給食を食べていて、患者からはノロウイルスが検出されました。\n\n県の中讃保健所は給食を提供した坂出市の業者「サンフードサービス京町」を２７日から３日間の営業停止処分にしました。ノロウイルスの食中毒は冬場に多く、県は食品の十分な加熱や調理器具の消毒の徹底などを呼びかけています。\n岡山放送,[],[]
”岡山の誇りさらに大きく”大森市長も期待「全国中学校駅伝」初制覇の京山中選手が表敬訪問【岡山】（OHK岡山放送）,https://news.yahoo.co.jp/articles/8319133c794bb1b93f189586de96de053a0a1ca9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019672-ohk-000-3-thumb.jpg?exp=10800,2023-12-27T18:33:01+09:00,2023-12-27T18:54:02+09:00,OHK岡山放送,ohk,OHK岡山放送,482,\n岡山放送\n１２月の全国中学校駅伝で、男女ともに県勢初、史上２校目のアベック優勝を成し遂げた京山中学校の選手らが１２月２７日、岡山市長を表敬訪問しました。\n\n岡山市の大森市長を表敬訪問したのは、京山中学校の選手ら２０人で、女子の黒田六花キャプテンと男子の長原武琉キャプテンが駅伝の全国制覇を報告しました。\n\nこれに対し、大森市長はお祝いの言葉とともに「今も岡山の誇りではありますが、これからさらに大きくなって欲しいと思います」と期待の言葉を述べました。\n\n選手らは１２月１７日に滋賀県で行われた全国中学校駅伝で男女ともに前回の１２位から大きく順位を上げ、県勢初、史上２校目の男女アベック優勝を成し遂げました。\n\n（京山中学校 ３年 黒田六花主将）\n「全国優勝がいろんな人に影響を与えられているのが、すごくうれしい」\n\n（京山中学校 ３年 長原武琉主将）\n「結果を陸上で出せるようにしながら、人として尊敬されるような選手になりたい」\n\n全国制覇から２７日で１０日、チーム全員でつかんだ優勝の喜びを改めてかみしめていました。\n岡山放送,[],[]
トライフープ　Ｂ３リーグからけん責と制裁金５０万円の処分　国の雇用助成金受給の条件を満たさず【岡山】（OHK岡山放送）,https://news.yahoo.co.jp/articles/32262e771a78db6cafece711c6a1fb6b0d3848a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019675-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:33:01+09:00,2023-12-27T18:54:02+09:00,OHK岡山放送,ohk,OHK岡山放送,443,\n岡山放送\nバスケットボール・Ｂ３リーグのトライフープ岡山は新型コロナの助成金の申請手続きで誤りがあり、支給決定が取り消されたとしてリーグから制裁金の処分を受けたと発表しました。\n\nトライフープによりますと、２０２０年から２年間、新型コロナの影響で売上が減少したことなどを理由に国の雇用助成金を受給していましたが、岡山労働局の調査で勤務実態と申請書類の記載との間にずれがあったり、休業時の教育訓練が支給条件を満たしていなかったことなどが分かりました。\n\n岡山労働局は２０２３年８月２２日付で支給決定を取消し、トライフープは全額返還したということです。\n\nまたＢリーグは１２月２７日、トライフープに対しけん責と制裁金５０万円の処分を発表しました。\n\nこれを受けトライフープ岡山の中島聡代表取締役はコメントを発表し、労務管理体制に十分に意識を配れておらず制度への理解が不十分だったことが原因で意図的に虚偽の記載を行ったものではないとしたうえで謝罪しています。\n岡山放送,[],[]
坂出市の有福哲二市長が交通事故　市長運転の自家用車が他の車と接触　双方ともけがなし【香川】（OHK岡山放送）,https://news.yahoo.co.jp/articles/b76674443a74816c1233ecf573237c57a4cf9c07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019679-ohk-000-2-view.jpg?exp=10800,2023-12-27T19:00:02+09:00,2023-12-27T19:20:02+09:00,OHK岡山放送,ohk,OHK岡山放送,175,\n岡山放送\n坂出市は１２月２７日、有福哲二市長（５６）が２７日午後３時４０分頃、私用で坂出市府中町で自家用車を運転中に接触事故を起こしたと発表しました。\n\n市によりますと自家用車を運転し脇道から県道に出る際、ほかの車に接触したということです。\n\n有福市長は前の車に気づかなかったと話していて、双方ともけがはないということです。\n岡山放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019679-ohk-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/b76674443a74816c1233ecf573237c57a4cf9c07/images/000']
ハンセン病療養所「解剖録」をどう保存？衆院議員らが意見交換【岡山・瀬戸内市】（OHK岡山放送）,https://news.yahoo.co.jp/articles/b16e4e9b719991a068880e245324821e72621ad3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019674-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:33:01+09:00,2023-12-27T18:44:02+09:00,OHK岡山放送,ohk,OHK岡山放送,552,\n岡山放送\n差別や偏見などハンセン病問題の解消につなげようと、入所者の遺族などが１２月２７日、問題に取り組む国会議員などを連れて瀬戸内市の療養所を訪れ、２０２２年、園で一般公開された入所者の解剖録について話を聞きました。\n\n国立ハンセン病療養所「長島愛生園」を訪れたのは、入所者の遺族で医学者の木村真三さんとハンセン病問題に取り組む、阿部知子衆議院議員など１４人です。\n\n園では、２０２１年に入所者１８３４人分の解剖録の存在が明らかになり、木村さんの開示請求を受け、解剖録が２０２２年、全国で初めて一般公開されました。\n\n解剖録などの資料の今後の保存方法は決まっておらず、一行は入所者と面談したり解剖録の公開に至った経緯などを聞きとり、貴重な資料の保存方法について意見を交わしました。\n\n（阿部知子衆議院議員）\n「残して検証する仕組みをしっかりして（入所者の）人生の大事な一コマとして語り継ぎ、次の世代に学んでほしい」\n\n（入所者遺族 木村真三さん）\n「解剖録を通して人権の学びを続けていきたい、進むきっかけとなった今回の試み（一般公開）は非常に良かった」\n\n一行は、このあと瀬戸内市の邑久光明園を訪問し、園に残る１１２３人分の解剖録についても話を聞きました。\n岡山放送,[],[]
「この橋ができて安心できる」と地元住民　台風で倒壊の橋…仮設橋が完成【岡山・鏡野町】（OHK岡山放送）,https://news.yahoo.co.jp/articles/f4954dde1e689de1941f4a03dcc30a3a3b15d159,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019673-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:33:01+09:00,2023-12-27T18:44:02+09:00,OHK岡山放送,ohk,OHK岡山放送,553,\n岡山放送\n２０２３年８月の台風の影響で橋脚の一部が倒れ通行止めになっていた岡山県鏡野町の橋で、組み立て式の仮橋が完成し１２月２７日から通行が始まりました。\n\n（中島一朗記者）\n「今年（２０２３年）８月の台風７号に伴う増水により壊れた大石大木山橋です。この仮設橋が約４カ月ぶりに開通します。」\n\n大雨の被害を受けた鏡野町上齋原地区にある集落です。橋脚が倒れ、一部が崩落した大石大木山橋できょう組み立て式の仮橋が完成し、午前９時に通行が始まりました。\n\n仮橋は災害時に使用するため中国地方整備局が保有しているもので、長さは４０メートルで幅は６．５メートル、最大２０トンまでの車両が通行できます。\n\n（地元の人は…）\n「橋が流れた時は便利が悪く、非常に不安を感じたが、この橋ができて安心できる。今度は何も考えず生活できる」\n\n（鏡野町建設課 牧野丈夫主幹）\n「本格的な降雪時期に間に合うよう、橋梁かけられ感謝している。鏡野町はまだまだ被災したままの箇所、復旧に至っていない箇所が多々ある。今後早急に復旧に努めて参りたい」\n町によりますと今回の災害における生活道路や農地などの町全体の復旧率は約２割に留まっているということです。新しい橋は２０２５年に完成する予定です。\n岡山放送,[],[]
「歌会始」に丸亀市の女性の歌が入選　夫婦で歩んだ“和菓子作り”の５０年…心の節目に詠んだ歌【香川】（OHK岡山放送）,https://news.yahoo.co.jp/articles/e3e812393fec2328992187ae3efd82e78921043d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019671-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:31:01+09:00,2023-12-27T19:12:02+09:00,OHK岡山放送,ohk,OHK岡山放送,603,\n岡山放送\n新年に皇居で行われる「歌会始」で、丸亀市の女性の歌が入選し、詠み上げられることになりました。約１万５０００の一般応募から選ばれたのは、夫婦の菓子作りの歌でした。\n\n（岩倉由枝さん）\n「びっくりして体は震えるし、心臓はドキドキで」\n\n歌が選ばれたのは丸亀市飯山町の岩倉由枝さん（７２）です。５０年前に夫婦で和菓子店を立ち上げ、心を込めた菓子作りに人生を捧げてきました。今では従業員３５人、市内に２店舗を構える地域を代表する店に成長させました。\n\n「和」がお題となった今回初めて応募し、約１万５０００から選ばれる１０人の１人に輝きました。\n\n（岩倉由枝さん）\n「主人と２人で小さな店から始めて５０年になる。記念とか、心の節目の気持ちで詠んだ。選ばれると思っていなかったので、光栄でありがたい」\n\n高校時代の恩師の影響で興味を持った短歌。これまで趣味として続けてきましたが、外に発表したことはありませんでした。\n\n入選した歌は、当日まで公表できませんが、こんな情景を詠んだということです。\n\n（岩倉由枝さん）\n「上生菓子を作るときに夫が形を作って、その仕上げに花のしべを付けたり葉っぱを付けたり、それを作るのがうれしくてやっていたのを思い出して詠んだ」\n\n夫婦で歩んだ菓子作りの歌。他の入選者の歌と共に、１月１９日の「歌会始」で詠み上げられます。\n岡山放送,[],[]
高梁市が災害復旧工事で約３０００万円未払い…担当職員６人を処分・近藤市長も減給【岡山】（OHK岡山放送）,https://news.yahoo.co.jp/articles/b1d35e86fc38fd6f50c447c61b044195a7e9f747,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019678-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:29:02+09:00,2023-12-27T19:06:02+09:00,OHK岡山放送,ohk,OHK岡山放送,188,\n岡山放送\n高梁市が２０２０年度から実施した西日本豪雨の災害復旧工事で不適正な処理を行い、約３０００万円の工事代金が未払いになっている問題です。\n\n市は１２月２７日付けで土木部の係長級の男性職員を停職５か月、関係する上司ら６人を訓告などとする処分を発表しました。\n\nまた２７日開かれた臨時市議会で近藤隆則市長を１カ月分の減給とする議案が可決されました。\n岡山放送,[],[]
「ふるさと納税」申し込み殺到　岡山・香川の寄付額ベスト３は？　独自の工夫も【急上昇ニュース】（OHK岡山放送）,https://news.yahoo.co.jp/articles/ec6b1a94c76235634a1082c1bd076c32ee0cc720,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019664-ohk-000-3-thumb.jpg?exp=10800,2023-12-27T18:31:01+09:00,2023-12-27T19:00:02+09:00,OHK岡山放送,ohk,OHK岡山放送,2065,\n岡山放送\n関心の高い話題を詳しく解説する「急上昇ニュース」です。今回は年末に申し込みのピークを迎える「ふるさと納税」についてです。担当は堀さんです。\n\nふるさと納税の申し込みは１２月２９、３０、３１日と増えていき、特に締め切りギリギリの１２月３１日午後１１時４５分から年の変わる０時までに集中するそうです。\n\n魅力的な返礼品で寄付額を増やそうと、岡山・香川の自治体も工夫を凝らしています。\n\n日本のエーゲ海といわれる瀬戸内市牛窓町。海岸のすぐ近くで収穫されているのはハクサイです。２０２１年、瀬戸内市のふるさと納税返礼品に加わりました。牛窓のハクサイは、もともと関西方面では人気のブランドでしたが、返礼品になったことで全国に知られることになりました。\n\n（生産者と話す市の担当者）\n「全国にファンが沢山いらっしゃいます。おいしいってお声をいただいていますので、引き続きよろしくお願いします」\n\n１５キロ、５～６玉が入って寄付額は７５００円。申し込みは関東地方が多く、８割に上ります。新鮮な状態で食べてもらおうと、出来るだけ早い出荷を心がけていて、申し込みの１週間から１０日後に手元に届くようにしています。\n\n（生産者 柴田昭彦さん）\n「全国に知ってもらうのもいい機会ですし、いいものを発送しようということで、選りすぐっていいものを送っています」\n\n瀬戸内市は、岡山県内でもふるさと納税に力を入れている自治体の一つです。\n\n【２０２２年の岡山県内の寄付額ベスト３】※１０万円以下切り捨て\n１・吉備中央町（９億５０００万円）\n２・瀬戸内市（９億１８００万円）\n３・総社市（５億９０００万円）\n\n瀬戸内市は吉備中央町に次ぐ２位でした。\n\n（瀬戸内市秘書広報課 石井陽治主幹）\n「今年（２０２３年）も比較的多くて、去年より多くなる見込み。過去最高になればいいなと思っています。他の自治体にない返礼品にもご共感いただいている。その一つがオリーブオイル。全体の半分位の方が申し込み、かなりの方がリピーターになっている。年々寄付が増えている要因の一つと思う」\n\n人気の返礼品に頼るだけでなく、新たな地域の魅力を知ってもらおうと工夫も。瀬戸内市では、ハクサイなど新たな返礼品を市の職員が取材し、記事をネットに公開しています。この日窓口には、ふるさと納税の手続きに訪れた地元出身者の姿もありました。\n\n一方、香川県は…\n\n【２０２２年の香川県内の寄付額ベスト３】※１０万円以下切り捨て\n１・観音寺市（１５億９１００万円）\n２・高松市（１０億８０００万円）\n３・小豆島町（９億４６００万円）\n\n香川県で２０２２年の寄付が最も多かったのは、観音寺市。１５億９１００万円を集めました。２０２３年はさらに多くの寄付を見込んでいます。\n\n（観音寺市ふるさと活力創生課 石川大介係長）\n「現状から推測すると２０億円程度を予想しています」\n\n市内に大手衛生用品メーカーの工場があり、おむつなど他の自治体にない返礼品が扱えるのが観音寺市の強みです。\n\n国は２０２３年１０月、自治体が負担する経費の基準を厳しくしました。これにより寄付が減るのを防ぐため、観音寺市は１０月以降、独自の工夫で、返礼品を１５０品目増やしました。\n\n（観音寺市ふるさと活力創生課 石川大介係長）\n「普通の紙おむつではなくオーガニックコットンを使ったプレミアム的な紙おむつや、地元の高校生が考えた味付けの骨付鳥など色んな工夫を事業者がしてくれて、様々な返礼品を取り扱うことができる」\n\n寄付を多く集める自治体には、こうした工夫もあります。\n\n瀬戸内市の虫明湾。１２００以上のかきいかだが海に浮かびます。瀬戸内市邑久町は、年間約１５００トンを生産するカキの一大産地です。\n\n（邑久町漁協 松本正樹組合長）\n「ここが殻付き牡蠣を水槽に保管しておく場所です。これが生産者から集めてきた殻付きの牡蠣です」\n\n生産するカキには自信を持っていますが、知名度では広島県や宮城県に及びません。そんな中、ふるさと納税に冷凍のカキ「珠せいろ」がラインナップされました。多くの人に邑久のカキを知ってもらうとともに、後継者不足の問題が好転するきっかけになればと、期待しています。\n\n（邑久町漁協 山本哲也参事）\n「知名度さえついてくれば、どんどん牡蠣の売り上げが伸びて、漁業者の励みになる。それが後継者にもつながってくると思う。期待している」\n\nほとんどの人が、ふるさと納税のポータルサイトを見て、肉や米など、ジャンルごとに並んだ返礼品の中からコスパなどを考えて、選ぶと思います。そのため「どの自治体に寄付したかは覚えていない…」なんてこともあるかもしれません。こうした生産者の思いを感じながら、年末サイトを眺めてみては、いかがでしょうか。\n\n以上、急上昇ニュースでした。\n岡山放送,[],[]
新型コロナ５類移行で”復活”「４年ぶりの…」祭りに応援に、インフル警報【年末回顧　岡山・香川】（OHK岡山放送）,https://news.yahoo.co.jp/articles/c6e6ef0c5daf8d2c3557e62de294d12ec8eac558,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20231227-90019669-ohk-000-2-thumb.jpg?exp=10800,2023-12-27T18:31:01+09:00,2023-12-27T19:12:02+09:00,OHK岡山放送,ohk,OHK岡山放送,920,\n岡山放送\nシリーズでお伝えしている年末回顧。「４年ぶり」をテーマにお伝えします。新型コロナウイルスが５類に引き下げられ、アフターコロナで活発化した２０２３年の出来事を振り返ります。\n\n（篠原聖記者）\n「今年（２０２３年）は４年ぶりに声出しの応援が解禁されかつての盛り上がりが戻ってきました」\n\n（中村香月記者）\n「４年の時を経て、市民待望の秋祭りが完全復活です」\n\n■シリーズ年末回顧（２）４年ぶり\n\nマスクの着用が個人の判断に委ねられたのは２０２３年３月でした。\n\n（岸下恵介アナウンサー）\n「東口広場に出てきました。まちを見渡してみるとマスク着用している人が多い印象を受けますが、一方で外している人の姿も見られます」\n\n（高校生）\n「メイクも崩れるし、肌荒れるからずっと嫌だと思っていた。きょうから外します」\n\n新型コロナが５類に引き下げられたのはゴールデンウィーク明けの５月８日。以降、各地のイベントが４年前と同じ規模で開催されました。\n\n（河野有紀記者）\n「打ち上げ時間まで１時間を切りました。高松港の周辺には続々と人が集まっています」\n\n２３年８月のさぬき高松まつり花火大会。会場となったサンポート地区ではＪＲ高松駅の新しい駅ビル「ＴＡＫＡＭＡＴＳＵＯＲＮＥ」が整備されていて、２４年３月の開業予定です。\n\n１１月のおかやまマラソン。５．６キロのファンランが４年ぶりに復活し、１万６０００人余りのランナーが岡山路を駆け抜けました。中塚アナと長尾アナも無事完走できました。\n\n（中塚美緒アナウンサー）\n「沿道やランナーの皆さんがいっぱい声をかけてくれて、涙が止まらなくて、乗り越えられた」\n\nアフターコロナでインバウンドの動きも活発化、岡山空港と高松空港の合わせて８つの国際線は一時、７路線が再開。搭乗率も好調に推移しています。\n\nしかし、こちらも４年ぶりとなりました。岡山県と香川県の全域でインフルエンザ警報が発令中です。１医療機関あたりの感染者数が３０人以上と新型コロナの約１０倍に及んでいます。新年も引き続き感染症対策が必要な年となりそうです。\n岡山放送,[],[]
