headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「リスキリング」取り組む企業たった8.9％　経営陣自ら勉強し始めないとダメな2つの理由（J-CASTニュース）,https://news.yahoo.co.jp/articles/89b6534bcb94152c09427403163bfd09db171847,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000028-jct-000-1-view.jpg?exp=10800,2024-11-21T20:43:44+09:00,2024-11-21T20:43:44+09:00,J-CASTニュース,jct,J-CASTニュース,907,学び直しを頑張ろう（写真はイメージ） 人手不足が深刻化するなか、従業員に新しいスキルを身につけさせる再教育（リスキリング）の重要性が増している。 （調査結果）企業のリスキリング取り組み状況 しかし、帝国データバンクが2024年11月20日に発表した「リスキリングに関する企業の意識調査（2024年）」によると、取り組んでいる企業は8.9％にとどまることがわかった。 いったいなぜ進まないのか。調査担当者に聞いた。 ■対応する時間、対応できる人材、お金がない リスキリングとは「新しい職業に就くために、あるいは今の職業で必要とされるスキルの大幅な変化に適応するために、必要なスキルを獲得させる」再教育のことだ。 「人への投資」を進めるため、2022年に政府の「骨太の方針」に盛り込まれ、岸田文雄前首相もリスキリング支援として5年間で1兆円を投じると表明していた。 帝国データバンクの調査（2024年10月18日～31日）は全国1万1133社が対象だ。リスキリングの取り組む状況を聞くと、「取り組んでいる」企業は8.9％にとどまり、今後「取り組みたいと思う」企業は17.2％で、リスキリングに「積極的」な意欲を示した企業は26.1％だった【図表1】。 取り組んでいる企業を業種別にみると、デジタル人材として高度なITスキルが求められる「情報サービス」（20.5％）と、行員に対するデジタル教育が活発化してきた「金融」（19.5％）が突出して高かった【図表2】。 大半が消極的な現状が浮き彫りとなったわけだが、その理由を聞くと、「やりたいことは山ほどあるが、人材不足が足を引っ張っている」「対応する時間が確保できない」「対応できる人材がいない」など、時間・人材・ノウハウ・費用などのリソース不足が課題となっていた【図表3】。 一方、取り組んでいる企業でも、「明確な目的と達成目標がないまま行ってもモチベーションは下がるだけで、成果は望めない」と、従業員のモチベーション維持が難しいとの声が聞かれた。また、多くの企業から「せっかく新しい技術を習得させても、他の会社に転職されては元も子もない」という懸念の声が相次いでいる。,[],[]
大谷翔平、激レア「50-50」トレカ3枚に直筆サイン　どれだけの価値が？ネット興奮「引いたら卒倒する」（J-CASTニュース）,https://news.yahoo.co.jp/articles/23fa372b3d67b6e59dbae30714d174762516e612,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000027-jct-000-1-view.jpg?exp=10800,2024-11-21T20:02:35+09:00,2024-11-21T20:02:35+09:00,J-CASTニュース,jct,J-CASTニュース,584,ロサンゼルス・ドジャースのインスタグラム（＠dodgers）より ドジャース・大谷翔平選手が日本時間2024年11月21日にインスタグラムのストーリーズを更新し、「50-50」達成を記念したTopps社のトレーディングカードにサインする様子を公開した。 【画像】「激レア」カードにサインする大谷翔平選手 ■「大谷翔平がウルトラレアなカードにサインした」 大谷選手の1シーズンでホームラン50本、50盗塁の「50-50」達成記念に、米国の会社「Topps」が大谷選手のトレーディングカードを製造した。Toppsのインスタグラムが11月21日、大谷選手がカードに直筆でサインする写真を公開し、大谷選手がストーリーズでその写真を引用した。 Toppsは同日、Xでも大谷選手がサインした3枚のカードを公開。カードには「1/1」（ワンオブワン）の印字があり、大谷選手のサイン入りカード3種類はいずれも世界に1枚のみとみられる。 Toppsは「大谷翔平が彼のウルトラレアな『50-50クラブ』カードにサインした」と投稿した。 SNSでは「おー、豪華、豪華、大谷のサインカード」「ウワァ。。なんて神々しい1/1カード達や」「世界に3枚の大谷さんの50/50直筆サインカード... こんなん引いたら卒倒するやろ...笑」「背番号入り... ほしすぎるなこりゃ」などの声が上がっている。,[],[]
日本ハム、清宮虎多朗投手と契約で「清宮」2人に　誕生日も1日違い「運命的なんよもう」「すごい縁」（J-CASTニュース）,https://news.yahoo.co.jp/articles/ebef23a70b7a54d3a7f3e7377c16f7eaad3f54c2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000026-jct-000-1-view.jpg?exp=10800,2024-11-21T19:43:25+09:00,2024-11-21T19:43:25+09:00,J-CASTニュース,jct,J-CASTニュース,527,日本ハムファイターズの球場・エスコンフィールド 北海道日本ハムファイターズは2024年11月21日、東北楽天ゴールデンイーグルスに在籍していた清宮虎多朗投手と育成選手契約を結んだと発表した。日本ハムには内野手の清宮幸太郎選手が在籍しており、SNSでは名前が似ていることのほか、2人の誕生日にも注目が集まった。 【画像】清宮虎多朗投手と清宮幸太郎選手のプロフィール ■名字は違う読み方...「せいみや」と「きよみや」 清宮虎多朗投手は、八千代松陰高校（千葉県）から18年の育成ドラフト1位で楽天に入団した。今回日本ハムと契約したことで、日本ハムには2人の「清宮」姓選手が在籍することになる。 公式サイトによると、清宮虎多朗投手は、2000年5月26日生まれの24歳。清宮幸太郎選手は1999年5月25日生まれ。1日違いだ。 名前も誕生日も近い2人が同じ球団所属になったことに、Xでは「誕生日も1日違いで名前も似てるW清宮運命的なんよもう。笑」「来季は清宮の打撃と清宮の投球に注目ですね」「すごい縁」といった声が寄せられている。 なお、名字の読み方は異なり、清宮虎多朗投手の名前の読みは「せいみや・こたろう」、清宮幸太郎選手は「きよみや・こうたろう」となる。,[],[]
Xとインスタ、どっちを利用するかで趣味がわかる！　両者の違い＆共通点とは...調査担当者に聞く（J-CASTニュース）,https://news.yahoo.co.jp/articles/bdb0c1b0f406dbf52e836d3d699755867fa80c36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000025-jct-000-1-view.jpg?exp=10800,2024-11-21T19:34:59+09:00,2024-11-21T19:34:59+09:00,J-CASTニュース,jct,J-CASTニュース,914,どのSNSを使うかで趣味がわかる？ よく使っているSNSによって趣味が違うことが、NTTドコモの研究機関、モバイル社会研究所（東京都千代田区）が2024年11月18日に発表した「【ライフスタイル】趣味別のSNS利用頻度」という調査でわかった。 （調査結果）趣味別でみた場合のXの利用頻度 Xの利用者は「音楽・コンサート・ライブ」、Instagramの利用者は「写真・動画撮影」が好きというのだが、あなたは思い当たるふしはあるだろうか ■X派は「ゲーム」「インターネット」、Instagram派は「写真や動画撮影」「料理・菓子作り」 モバイル社会研究所の調査（2023年11月）は、全国の15～59歳男女3936人が対象だ。SNSの中でもXとInstagramを中心に、その利用者の趣味とXとのInstagram利用頻度に関係があるかを聞いた。 ただし、あくまで各趣味をもつユーザーのSNSの利用頻度の集計であり、その趣味に限定して利用しているかを聞いた調査ではない。 まず、Xの利用頻度を趣味別に比較すると、趣味が「音楽・コンサート・ライブ」「ゲーム」「インターネット」の人で利用頻度が高かった。一方で、利用頻度が低いのは「旅行・グルメ」「料理・菓子作り」「DIY・手芸・陶芸・絵画等の制作」が趣味の人だった【図表1】。 次に、Instagramの利用頻度を趣味別に比較すると、趣味が「写真や動画撮影」「音楽・コンサート・ライブ」「料理・菓子作り」の人で利用頻度が高かった。逆に利用頻度が低いのは「ゲーム」「読書・マンガ」「インターネット」が趣味の人だった【図表2】。 こうした結果を踏まえ、各趣味別のXとInstagramを1日に2回以上利用する割合の相関関係を示したグラフが【図表3】。 これを見ると、赤色で表した「写真や動画撮影」「料理・菓子作り」「旅行・グルメ」ではInstagramの割合がXより高く、黒色で表した「インターネット」「読書・マンガ」「ゲーム」ではXの割合がInstagramより高い。 一方、青色で表した「音楽・コンサート・ライブ」「スポーツ、トレーニング」などは、両者の割合が同程度という結果が出た。,[],[]
【あいの里S2】子ヤギ急死...恋リアで衝撃展開　飼育に問題は？Netflix制作陣に見解を聞いた（J-CASTニュース）,https://news.yahoo.co.jp/articles/94ca352740229abf727d8299a3331c5e06bc3f08,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000024-jct-000-3-view.jpg?exp=10800,2024-11-21T19:17:54+09:00,2024-11-21T22:36:44+09:00,J-CASTニュース,jct,J-CASTニュース,1270,Netflixシリーズ「あいの里」公式サイトより Netflixシリーズの恋愛リアリティ番組「あいの里」シーズン2で、ペットに近い位置付けで登場していた「マイクロヤギ」が突如息を引き取った。果たして適切な飼育環境だったのか、異例の事態にXでは批判も出ている。制作背景を取材した。 【画像】住民に撫でられる生前のさとちゃん ■「動物病院に片っ端から電話」「どんどん衰弱」 あいの里は35～60歳の中高年男女が、共同生活を通じてパートナー探しに挑む。シーズン2は沖縄の古民家が舞台で、スマホ・パソコン禁止、食費は1人1日500円といった厳しい制約も話題になっている。 第2話で新しい住人としてメスのマイクロヤギ「さとちゃん」が加わり、エサやりしたり触れ合ったりと出演者たちにかわいがられた。当初は外にリードでつながれている姿がみられ、第7～10話で小屋作りが行われている。完成までは2週間かかったという。 異変が起きたのは2024年11月12日に配信された第11話（タイトル「さとちゃん」）でのこと。ある朝、さとちゃんが小屋のなかで伏せながら弱弱しく鳴いていた。 スタッフらも集まり、ナレーションでは「動物病院に片っ端から電話をかけるが、すぐに来られる医者はなく、連れて行くのにも時間がかかる」「さとちゃんはどんどん衰弱していく」と説明があった。 電話で医師の指示を仰ぐも、発見から1時間かからずに息を引き取った。出演者をはじめスタッフも嗚咽し、さとちゃんは故郷のヤギファームで弔われた。 また、番組内では獣医の解説も流れた。生後1週間から10日ごろに風邪や下痢をすると成長が非常に弱いという話のほか、沖縄は気温の変動があったとして「寒かったらやっぱりね、結構調子悪くなります。だんだん『悪液質』って言いまして」「一生が短いんですよ。これはもうしょうがないんですよね」などとコメントがあった。 Netflixと演出・プロデューサー、制作側の見解は... 第11話の配信を受けてXでは、獣医や動物病院へかかれない状況だったことをはじめ、エサや運動、気温への対応など、適切な飼育環境だったのかと制作側に対する批判が相次いだ。 「正直スタッフ側の管理不足だと思う」 「緊急時の対策は？絶対もっと生きられたし救えた」 「制作側が猛省すべきだよね。飼育環境は適切だったのかなぁ...」 「動物を番組の演出にするなっていう怒りしかない」 「ちゃんと飼育できないならやめてよ!!!! 」 Netflix日本法人はJ-CASTニュースの取材に対して11月21日、「演出・プロデュースの西山仁紫氏との回答」としてコメントを寄せた。まずシーズン2にマイクロヤギを起用した狙いは下記の通りだ。 「シーズン1では、みな姉（編注：ペット同伴の出演者がいた）の連れてきたアヒルとピグミーマーモセットと暮らすことで、住民の良好な人間関係が形成されたと思っています。動物と一緒に暮らすことにより、心が豊かになるだけでなく、育てることを通してたくさんのことを学べると思いました」,[],[]
タクシーアプリ「GO」、ライドシェア記事の削除を要請？　広告代理店の認識との間に齟齬と説明（J-CASTニュース）,https://news.yahoo.co.jp/articles/e9eed0b98e3604242f504f10e5aeff289b9defb0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000023-jct-000-1-view.jpg?exp=10800,2024-11-21T19:16:29+09:00,2024-11-21T19:16:29+09:00,J-CASTニュース,jct,J-CASTニュース,933,タクシーアプリ「GO」 タクシーアプリ「GO」の運営会社は2024年11月20日、同社が広告継続の条件としてライドシェア記事の削除を一部メディアに要請しているという報道を受け、「報道記事の掲載中止や削除等を要請している事実はございません」という声明を出した。 【画像】タクシーアプリ「GO」運営会社による実際の声明 ■「広告主として深くお詫び申し上げます」 モビリティ業界専門メディア「自動運転ラボ」が20日、先述の記事を報じた。今回の要請について、「広告の非掲載をちらつかせてライドシェアの記事の排除を実質的に迫っている格好となる」と説明した。マーケティング業務の委託先企業を通じて、間接的に通知されたものだという。 自動運転ラボが報じた同日、GOの運営会社は「当社に関する一部報道について」と題した声明を公式サイトに掲載した。同社は広告代理店と連動してアフィリエイト広告を運用しており、広告掲載基準の変更は直近12カ月間実施されていないとのことだ。 だが、GOの広告を扱う代理店が、今回報じられたような「レギュレーションの変更があった」「今後、ライドシェアのコンテンツがあるサイトでの掲載はNG」という基準の連絡を送ったことは事実だという。 「当社の意図しない形で対応依頼が受け止められてしまったこと、また過度な対応を要する依頼になってしまったことは事実であり、当社のアフィリエイト広告運用の過程で報道メディアの皆様に誤解を与えるような事態となりましたことを広告主として深くお詫び申し上げます」 今回の対応が行われた原因について、GOは「広告主である当社の意図とそれを受け止めた代理店の認識との間に齟齬が発生していることに双方とも気が付かないまま、アフィリエイトASPから各掲載メディア様に対して上記の連絡がなされるに至った」としている。 広告代理店との認識統一の仕方や運用の見直しを行い、再発防止に努める。「適切な広告掲載の運用に取り組んでまいります」との方針を示した。 J-CASTニュースが20日、GO広報部に取材すると、「先ほど、当社の公式見解を以下に公開いたしましたので、ご確認いただければと思います」との連絡があり、同社が今回掲載した声明が示された。,[],[]
荻野目洋子、人生で1番危機を感じています」X投稿が話題に　「芸能人のくせに」揶揄に見解（J-CASTニュース）,https://news.yahoo.co.jp/articles/2e87fb0b848dea20a57fe0df9cd6e1f0b0258087,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000022-jct-000-1-view.jpg?exp=10800,2024-11-21T19:07:07+09:00,2024-11-21T19:07:07+09:00,J-CASTニュース,jct,J-CASTニュース,633,荻野目洋子さんのインスタグラムより（yokooginome_official） 歌手の荻野目洋子さん（55）が2024年11月21日、社会情勢に関する意見に対する「芸能人のくせに」などの揶揄や批判について、自身の見解をXに投稿した。 【画像】「芸能人のくせに」などの揶揄に見解を示した荻野さんの実際の投稿 ■「人は人として生きる権利があります」 荻野さんは19日、「欧州の危機感と国内ニュースの内容差に、人生で1番危機を感じています。情勢がどんどん変化していて、明らかに朝とは違う...」とXにつづった。この投稿は21日16時半時点で5万7000件以上の「いいね」を集めるなど話題になっている。 荻野さんは21日、Xを再び更新。この投稿がかなり注目を集めたとしたうえで、「芸能人のくせに、とかアイドルでさえ気づいた、みたいに言われる事は少し思うところあります」とコメントした。 荻野さんの父はエコノミストの記事翻訳をしており、国際労働機関に勤務していた。「背中を見て育った自分のスタンスは10代の頃から変わらないです」とし、「今は更に子を持つ親として普通に情報を仕入れたい、学びたい、家族を守りたい」と述べた。 荻野さんは「何かを煽るつもりも無いです（同じ気持ちを抱く人がいて結果的に広がるのは仕方ない）。偉そうな事を言うつもりも」と説明したうえで、「職業が何であれ仕事の有無も関係なく、人は人として生きる権利があります。そこの批判はお互いやめましょう」と指摘した。,[],[]
「人間性を真似したい」ヒカル、島田紳助よりも衝撃受けた？大物芸人の振る舞いに感銘（J-CASTニュース）,https://news.yahoo.co.jp/articles/c8238dd0d2c3673a60f532da3559e2df13f883c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000021-jct-000-2-view.jpg?exp=10800,2024-11-21T18:47:56+09:00,2024-11-21T19:19:09+09:00,J-CASTニュース,jct,J-CASTニュース,1274,ヒカルさんのインスタグラム（＠tadanokarisuma）より 人気YouTuberのヒカルさんが、2024年11月19日に公式YouTubeを更新し、ひろゆきこと西村博之さんと共演。3時間超えのロングトークの中で、刺激を受けたという大物芸人について明かした。 【画像】ヒカルさん「これが本物かと思って」 ■ファンサービスは「YouTuberで一番してます」 メインチャンネル「ヒカル（Hikaru）」に公開した動画「売れに売れまくってる超有名人が泊まりにきました」で、ひろゆきさんがヒカルさんの豪邸を訪問。ひろゆきさんは家に上がるなり家探しをはじめ、冷蔵庫にあったお酒を勝手に開けつつトークがスタート。 ファンサービスの話題になり、ヒカルさんは「YouTuberで一番してます」と豪語。続けて 「そのへんで出会って、写真断ったことほぼないんで。この知名度でそんなコスパ悪いこと普通はやらないんですよ。金にならないんで。でも僕は全然やるんで」 とチャンネル登録者数が490万人を超えた現在も、未だにファンサービスを欠かさないことを明かした。 対してひろゆきさんは、ファンサービスをした人の中には、ヒカルさんと撮った写真を自慢したいだけで、本当はあまり好きでない人もいるのでは、と質問。するとヒカルさんは、 「でもそれの積み重ねでいずれ（明石家）さんまさんのように評価されると思っているんですよ」 と、ファンサービスをやめない理由について、明石家さんまさんから受けた刺激がきっかけだったと話した。 プライベートのさんまに「これが本物か」 ヒカルさんによると、プライベートで偶然さんまさんと会った際、「あまりにもいい人で、えらぶってなかったんですよ。平等におもんないやつのことも面白くしてあげてるんです」と「神対応」だったという。 その日のさんまさんは、10人ほどの同席者が笑いにならない話をどんなに放り込んでも、会話の中で全部ひろい、嫌な顔ひとつせずに笑顔ですべて笑いに変えていたという。その姿に 「これが本物かと思って。こうならないといけないなと思いました」 と感銘を受けたそう。 ヒカルさんは「さんまさんは今まで出会った芸能人の中で一番腰が低かった」と感心しきりで、ひろゆきさんも「芸能人でちゃんと売れている人は基本腰低いよね」と賛同していた。 また、Xのプロフィール欄に「尊敬する人は島田紳助」と記載するヒカルさんに対して、ひろゆきさんは「紳助さんよりもさんまさん派になったんだ？」とツッコミ。 これにヒカルさんは、 「トーク力は紳助さんが好きなんですけど、万人にいい人じゃないと思うんですよ。特定の人にだけめっちゃいい人だと思うんです。僕もそうだったんですよ。でも（さんまさんのように）万人に愛されるようになるほうが、僕の目指しているなりたい像になれると思ったので」 と考えを改めたと返した。 最後にヒカルさんは、「お笑いでは真似できないけど、（さんまさんの）人間性を真似したいなって感じですね。めちゃくちゃ格好いいですね」と目を輝かせた。,[],[]
「美人姉妹」土屋炎伽＆太鳳、エレガントな完璧2ショ　ネットメロメロ「なんて豪華なビジュアル」（J-CASTニュース）,https://news.yahoo.co.jp/articles/b0e654bff69a47680b8102e6ee5f26b5af29c386,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000020-jct-000-2-view.jpg?exp=10800,2024-11-21T18:17:03+09:00,2024-11-21T20:36:13+09:00,J-CASTニュース,jct,J-CASTニュース,530,土屋炎伽さんのインスタグラム（＠honoka.t8）より 俳優・土屋太鳳さんの姉で、「2019ミス・ジャパン」グランプリに輝いたこともある土屋炎伽（ほのか）さんが、2024年11月20日、インスタグラムで太鳳さんとの2ショットを公開した。 【画像】「美人姉妹」炎伽さんと太鳳さんの2ショット ■「昨年に続き姉妹で出演させていただくことができ、感謝の気持ちでいっぱいです...」 炎伽さんは「本日から ＃アパマンショップ 新CMが公開されます 昨年に続き姉妹で出演させていただくことができ、感謝の気持ちでいっぱいです...」とし、太鳳さんとの全身2ショットを公開。炎伽さんは腕の出る白のワンピース、太鳳さんは腕の出ている青のドレスを着てほほ笑んでいる。 「今回はいくつかのバージョンがあるので楽しんで見ていただけたら嬉しいです」と締めくくった。 この投稿に対しては、次のようなコメントが寄せられている。 「炎伽ちゃん＆太鳳ちゃんの透明感」 「さすがの美人姉妹 綺麗～」 「なんて豪華なビジュアル」 「姉妹でCM出来るのはいいですよね！仲良いからね」 「仲の良い姉妹で羨ましいです」 「それぞれ世界が違っても、素顔は仲の良い姉妹というイメージが全国に伝わりますね」,[],[]
49歳人気モデル、16歳下夫とパリで「キスショット」　「素敵なお二人様」結婚6年記念日も話題に（J-CASTニュース）,https://news.yahoo.co.jp/articles/ce220489fd643dc34a77526e6fa01bf42b05ee26,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241121-00000019-jct-000-5-view.jpg?exp=10800,2024-11-21T17:47:18+09:00,2024-11-21T21:09:57+09:00,J-CASTニュース,jct,J-CASTニュース,581,仁香さんのインスタグラム（＠nica77official）より モデルの仁香さん（49）が2024年11月20日、フォトグラファーの夫・柴田翔平氏との「キスショット」をインスタグラムで公開した。 【画像】仁香さんと柴田さんの「キスショット」 ■「次回はwedding photo撮ろうかな」 「次回はwedding photo撮ろうかな」とし、フランス・パリで撮影した夫婦ショットを公開。凱旋門の前でキスする姿やエッフェル塔を背にしたショットなどを披露した。 10月には結婚記念日をインスタグラムで報告し、「出会った頃はフレンチを食べても美味しくないと言っていた青年もすっかり味のある33歳となりました」とし、柴田氏との2ショットを公開していた。 「出会った時とは比べ物にならないくらい大人の男性に。これからは私が甘えていこうと思えてきてる今日このごろ。お誕生日おめでとう 結婚記念日ありがとう これからも爆笑する人生を送りましょ」と呼びかけていた。 この時も、「素敵な夫婦で、本当にいつみてもホッコリするぅ!! 」「ベストカップルです！」「素敵なお二人様」などと話題となっていた。 仁香さんは18歳でファッション誌「CanCam」で専属モデルとしてデビュー。2008年に長男を出産し14年に離婚。18年10月に16歳年下の柴田氏と再婚し、年の差が話題となった。,[],[]
