headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「現代の名工」に野尻誠さん　帝国ホテル東京「嘉門」支配人　（オーヴォ）,https://news.yahoo.co.jp/articles/fc3a5b636b410290deded96755df669a74c34768,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000010-ovo-000-1-view.jpg?exp=10800,2024-11-26T23:00:00+09:00,2024-11-27T09:45:40+09:00,オーヴォ,ovo,オーヴォ,562,「現代の名工」に野尻誠さん 帝国ホテル東京「嘉門」支配人 帝国ホテル東京（東京都千代田区）の鉄板焼「嘉門」支配人、野尻誠さん（55）がこのほど、厚生労働省が認定する今年度の「卓越した技能者（現代の名工）」に選出された。 野尻さんは東京観光専門学校（現・専門学校東京ホスピタリティ・アカデミー）出身。フランス料理「ラ ブラスリー」支配人を務めるなど、入社以来レストランサービス部門一筋で働いてきた。今回は「高い演出効果のあるワゴンサービスにおける技術だけでなく、客前での会話術も優れている」ことなどが評価された。 野尻さんは「レストランサービスは、料理を運ぶだけではなく、お客様の前でより華やかに演出するためのデクパージュ（鴨などの肉を切り分けて提供するサービス）や、フレイミング（リキュールなどを用いたフランベによりデザートを仕上げるサービス）など、知識や技術によっておいしく調理された料理にさらに付加価値を付け、お客様に提供する役目を担っている。これからも研さんを積み、後進の指導育成にも尽力していきたい」とコメントした。 現代の名工は、卓越した技能を持ち、その道で第一人者とされる技能者を表彰する制度。将来を担う優秀な技能者の確保、育成や優れた技能を次世代に承継することを目的にしている。24年度は138人が選出された。,[],[]
栃木・那須温泉郷が全国3位　温泉総選挙2024「レジャー/街ぶら」部門（オーヴォ）,https://news.yahoo.co.jp/articles/c45169e935128145f71a6c19c53c85c409529213,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000009-ovo-000-2-view.jpg?exp=10800,2024-11-26T22:00:00+09:00,2024-11-27T09:52:55+09:00,オーヴォ,ovo,オーヴォ,407,栃木・那須温泉郷が全国3位 温泉総選挙2024「レジャー/街ぶら」部門 栃木県の那須町観光協会は、温泉地をプロモーションする「温泉総選挙2024」で、那須温泉郷が「レジャー/街ぶら」部門で全国3位になったと公表した。 温泉総選挙は、観光地の活性化を支援する「旅して日本プロジェクト」が主催。観光庁や経済産業省など5省庁が後援している。「絶景」や「美肌」「秘湯/名湯」といった8部門があり、全国8ブロックから75の温泉地がエントリーした。 那須温泉郷は、「レジャー/街ぶら」部門の関東ブロックでは1位だった。那須町観光協会は「那須温泉郷のある那須高原は、殺生石などの史跡やレジャー施設、皇室が静養される御用邸があることなどから『ロイヤルリゾート那須』として知られている。東京、仙台の中間に位置しアクセスも良く、温泉地での散策を楽しむとともに、温泉や地域の文化に触れることができるのが大きな魅力だ」とアピールしている。,[],[]
ジェンダーに基づく暴力に立ち向かう女性たちを支援　JICAとPanasonicがケニアの無電化地域にソーラーランタンを寄贈（オーヴォ）,https://news.yahoo.co.jp/articles/eee87f2f8074f1537b17d15445f2720107b546a1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000008-ovo-000-2-view.jpg?exp=10800,2024-11-26T16:30:00+09:00,2024-11-26T16:59:08+09:00,オーヴォ,ovo,オーヴォ,1088,ジェンダーに基づく暴力に立ち向かう女性たちを支援 JICAとPanasonicがケニアの無電化地域にソーラーランタンを寄贈 国際協力機構（JICA、東京）はパナソニック ホールディングス(大阪府門真市)と協働して11月19日に、ケニアの無電化地域に住む女性や少女たちに、太陽光で電力を発電するソーラーランタン100台を寄贈した。 ケニア南西部に位置するカジアド県のオリニエ村は、広大な草原と乾燥した土地を持ち、多くのマサイ族が住んでいる。家父長制に基づく伝統的な慣習や文化が根強い地域としても知られ、村に住む女性や少女の多くが夫や家族からのドメスティック・バイオレンスや性暴力、児童婚などの深刻な問題に直面している。教育や経済的自立の機会が限られる中、女性たちは家庭や地域で支配権を持つ男性からの暴力を日常的に経験しながらも、声を上げることができていない。 このような状況に対してJICAは2023年からカジアド県政府とともに、「GBV(Gender-Based Violence、ジェンダーに基づく暴力)のないスマートな地域づくり」に向けた取り組みを支援。女性たちが自信を高め、知識やネットワークを強化し、経済的に力をつけることで、GBVに立ち向かう力をつけていけるように、また、男性の理解や行動、村における支援体制の強化に向けた取り組みも進めている。 ソーラーランタンの提供はこの活動の一環。無電化地域で暮らすオリニエ村の女性や少女たちが、あかりを手にすることによって、安全に夜間の学習や経済、社会活動を行えることを目的にしている。 寄贈式の当日、村の教会に集まった約100人の女性たちに対して、パナソニックグループの多田直之氏が「このあかりでみなさんの将来を明るく照らしてほしい」とメッセージを発信。オリニエ村の女性リーダーからは「このソーラーランタンは私たちのこれからの人生を明るく照らし、私たちの人生のレベルを一段階上げてくれるものです」と感謝の言葉が述べられた。実際にソーラーランタンを手にした女性たちは、「このあかりあれば家でも勉強できる」「夜の活動時間が増える」と目を輝かせた。JICAの支援が始まって以降、村でGBVの撤廃に向けた歌づくりを始めた女性は、「夜にあかりがあればGBVの撤廃を呼びかけるための歌がもっとたくさん作れる」と喜びを語った。 JICAは、「女性や少女が平和で安全に暮らしていける社会の実現に向けて、今後もさまざまなパートナーとの連携や知の共創を図りつつ、ジェンダーに基づく暴力の予防と撤廃に向けた国際協力を推進していきます」としている。,[],[]
ワーキングウーマンのための総合イベント「WOMAN EXPO 2024 Winter」　参加費無料、東京ミッドタウン・ホールで（オーヴォ）,https://news.yahoo.co.jp/articles/a935ebe77b7d7fa18948bba655c55f6e11844fd3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000007-ovo-000-1-view.jpg?exp=10800,2024-11-26T16:00:00+09:00,2024-11-26T16:00:00+09:00,オーヴォ,ovo,オーヴォ,934,ワーキングウーマンのための総合イベント「WOMAN EXPO 2024 Winter」 参加費無料、東京ミッドタウン・ホールで 日本経済新聞社と日経BPが主催する、働く女性に向けた総合イベント「WOMAN EXPO 2024 Winter」が11月30日(土)に、東京・六本木の東京ミッドタウン・ホールで開催される。時間は10時～17時30分で、入場無料。Webによる事前登録制。 同イベントは、女性がより一層活躍できる環境づくりを応援する「日経ウーマノミクス・プロジェクト」の一環として2014年から開催しており、今年で10周年。働く女性をターゲットにした情報誌「日経WOMAN」、Webメディア「日経クロスウーマン」、健康や美容に関する情報を届ける「日経ヘルス」など、日経グループの媒体がそれぞれの特徴を生かし、自分らしく輝くすべてのワーキングウーマンに役立つ情報や体験を、セミナー、展示などリアルの場で提供する。 15のブースが集まる展示会場は、さまざまな企業が出展。協賛社によるサンプル配布やワーキングウーマンにおすすめの体験コーナーなど盛りだくさん。ワイン・日本酒の試飲、試食などが楽しめるエリアもあれば、体験予約や受験相談ができるコーナーも。景品が200人以上に当たる、スタンプラリーのプレゼント企画も用意している。 12のセミナーの登壇者は、犬山 紙子さん（イラストエッセイスト）、長谷川 あかりさん（料理家・管理栄養士）、木下 紫乃さん（「スナックひきだし」オーナー）、のがちゃんねる のがさん（動画クリエーター）ら。「キャリア10年目の壁を超える～失敗から学ぶ転機の乗り越え方」、「精神科医Tomy先生、私の悩み、吹き飛ばしてください！」、「4つの視点で考える資産形成～今考える、100歳のわたし～」、「医師を目指す君を見守りたい～親としてできること～」といった、「キャリア」「学び」「健康」「美」「料理」「マネー」「教育」など幅広いテーマのセミナーを多数開催。映画の上映会もある。セミナーも事前申し込み制。 楽しみながら参加できるワーキングウーマンイベント。新着情報や、各種プログラムの詳細、各展示ブースの出展内容の詳細は公式サイトに掲載している。,[],[]
原因はスマホの見過ぎ？　若年層は腰よりも首や肩に悩み　（オーヴォ）,https://news.yahoo.co.jp/articles/fa14c1d9a8eafe2f7ad481f92bd928bd2043e7c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000006-ovo-000-1-view.jpg?exp=10800,2024-11-26T15:00:00+09:00,2024-11-26T15:00:00+09:00,オーヴォ,ovo,オーヴォ,864,原因はスマホの見過ぎ？ 若年層は腰よりも首や肩に悩み 進化の過程で二足歩行になり、脳も大きく重くなりで、腰痛や肩こりはヒトの宿命と諦めたくもなるが、近年はそれ以外の原因がクローズアップされている。“スマホ”だ。「カラダの痛み・悩みに関する実態調査2024」によると、20～30代は首や肩に悩みを抱える人が多くなっている。 調査を実施したのは、サポーター専業ブランド「MEDIAID（メディエイド）」を展開する、日本シグマックス（東京）。国内の20～65歳の2203人を対象に4～5月に調査。多くの年代が腰に最も痛みや悩みを抱えているのに対し、20代男性は首に痛み、悩みを感じている人が多く（35％）、腰（26％）を上回った。20、30代女性でも肩がトップスコアで、若い世代は首や肩まわりに問題を抱えている人が多いようだ。 「モバイル社会白書Web版 2023年版」（NTTドコモ モバイル社会研究所）によると、スマホの利用時間は年代が低いほど長く、1日4時間以上スマートフォンを利用していると回答した20代男性は46.6％、20代女性は69.5％。20代が首や肩に悩みを抱えている要因として、長時間のスマホ利用の影響がうかがえる。 アスリートの障害予防や腰痛運動療法に詳しい金岡恒治氏は、二足歩行をする私たちは体重の約8～10％を占める頭を頚椎（けいつい）のみで支えている。体重60kgの人であれば頭の重さは約5～6kgで、ボウリングの球の重さと同じくらいだと説明。「本来、頭は首の真上にあるのが最も安定した状態だが、スマホ操作やパソコン作業の時間が長いと、首が前側に傾く時間が圧倒的に長くなり、いわゆるストレートネック気味の状態になる」とし、「スマホを見るために首を60度ほど前に傾けると、体重の半分近くもの重さが首にかかり、首から肩を覆う僧帽筋には過重な負担がかかってしまう。また、このような姿勢のときには骨と骨をつなぐ椎間板にも負担がかかり、椎間板ヘルニアが起こって痛みやしびれに発展することがある」と警鐘を鳴らしている。,[],[]
吹奏楽部の部活動地域移行を応援するクラウドファンディング　楽器を購入し子どもたちが音楽を続けられる環境を（オーヴォ）,https://news.yahoo.co.jp/articles/1ccb84faf293feec52206c194f5a1c398ddb7220,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000005-ovo-000-1-view.jpg?exp=10800,2024-11-26T13:30:00+09:00,2024-11-26T13:30:00+09:00,オーヴォ,ovo,オーヴォ,1094,吹奏楽部の部活動地域移行を応援するクラウドファンディング 楽器を購入し子どもたちが音楽を続けられる環境を 栃木県北部の那須塩原市を拠点に活動する一般吹奏楽団体「ファミリーブラスバンド マムソウル」は、子どもたちの演奏場所を作るために今年9月にキッズバンドを立ち上げ、吹奏楽部の部活動地域移行を手助けするための支援募集をクラウドファンディングサイトCAMPFIREでこのほどスタートした。 スポーツ庁・文化庁が推進する「部活動地域移行」(部活動の地域連携や地域クラブ活動への移行)。地域や学校、部活の種類にもより、取り組みの内容も進み具合もさまざまだろう。吹奏楽については、練習場所が限られる上、楽器の種類が多く専門性が高いために指導者の確保が難しく、地域での受け入れは簡単ではない。そのような中、同団体は、子どもたちと場所と楽器を共有して活動し、メンバーが指導をすることで、部活動が縮小しても子どもたちが音楽をしっかり続けられる環境を確保しようと考えた。 現在、キッズバンドは小学生8人、中学生6人、高校生2人の計16人。12月のマムソウルのコンサートで一緒に演奏することを目標に活動しており、その後は自主コンサートの開催を目標にしている。大型楽器の保管もさせてもらっている公民館で活動し、マムソウルメンバーが指導。課題は「楽器」だ。SNSやチラシの配布で何台かの楽器の寄付を受け、活動立ち上げは実現したものの、集まった楽器には長く使うのが難しい状態のものも。集まらなかった楽器については、知人などに期間限定で借りている。吹奏楽の楽器は高額で、10台ほどをそろえたいと思うと中古でも200万円ほど必要だということが判明した。そこで、今回のクラウドファンディングは、目標額「200万円」に設定。長く安定して活動していくための楽器購入費への支援を募ることになった。 必要な楽器は、フルート1台・クラリネット2台・バスクラリネット1台・アルトサックス1台・テナーサックス1台・トランペット2台・ホルン2台・トロンボーン2台・チューバ2台。支援コースは3000円・5000円・1万円・3万円・5万円で、金額に応じて、お礼のメール・キッズバンドがコンサートを開く際のプログラムへの名前記載・動画での活動報告・マムソウルのコンサートの座席指定券・プログラムへの広告掲載のリターンを用意している。 支援募集は2025年1月11日(土)23時59分まで。問い合わせは、ファミリーブラスバンド マムソウル代表 石井百合子さんへ専用フォーム https://mamsoul.jimdofree.com/から。,[],[]
エッジコンピューティングとは　【岡嶋教授のデジタル指南】（オーヴォ）,https://news.yahoo.co.jp/articles/5ab627819bc8394e7d0bbe303b8a76a139d3bd40,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000004-ovo-000-1-view.jpg?exp=10800,2024-11-26T12:48:38+09:00,2024-11-26T13:06:11+09:00,オーヴォ,ovo,オーヴォ,1639,エッジコンピューティングとは 【岡嶋教授のデジタル指南】 前回はクラウドコンピューティングの話題を取り上げました。「集中と分散」はコンピューターの資源配置の永遠の課題で、「集中がいい」「いや、分散に利点が多い」と揺り戻しを繰り返して、互いに発展してきた経緯があります。例えば、クラウドコンピューティングは資源がデータセンターに集中していると説明しましたが、大昔のメインフレームと比べたら、小型の各サーバーに資源が分散しています。この文脈で考えればクラウドを分散の技術と捉えることも可能です。近年のWeb1.0、Web2.0、Web3論争のように、どんなナラティブで語るかで、その技術を説明する言葉が180度変わってしまうこともあるので、本を読んだり、人に説明したりするときに心に留めておくと良いと思います。 クラウドを「データセンターに資源が集中するコンピューターの運用形態だ」と捉えたとき、長所は資源が集積するので規模の経済が働くこと、管理対象が1箇所にまとまっていることなどです。短所はクラウドに対して何らかの処理を要求するとき、要求する主体が存在する位置によっては、クラウドへの距離が遠くて通信に時間がかかることなどです。 よく、インターネットは距離や国境を越えた、と表現されます。隣町にある会社のサーバーにアクセスするのも、アメリカにあるグーグルのサーバーにアクセスするのも、人間の体感時間としては差が感じられません。インターネット上の距離を表す指標の一つであるホップ数は物理的な距離ではなく、送信元と送信先の間にある通信装置の数です。しかし、極端に高速な返答を要求するサービスや、伝送に時間がかかるデータを送受信する際には、やはり物理的な距離が重要な要素になってきます。 例えば動画の配信などは大量のデータを送受信しますし、伝送が遅れると動画視聴が止まってしまう典型的なサービスです。世界中の人へ配信する動画を管理する意味では、動画をクラウドに蓄積しておくと楽ですが、その位置によっては離れた場所にいる利用者への配信で遅延が生じるかもしれません。そこで現れたのがエッジコンピューティングです。 動画配信の例でいうと、世界各地にエッジサーバーを用意して、動画データを蓄積します。動画を要求するクライアントは遠くにあるクラウドに頼らずに、近くのエッジサーバーから動画を配信してもらうことで動画視聴の応答性がよくなりますし、要求があるごとに長い距離のデータ伝送を行う必要がなくなりますので、インターネット全体の利用効率化にもつながります。動画の大元はクラウドにあるので、ただ分散させた形式とも違います。一元管理の良さは手放さず、使いたいものが利用者の近くにある便利さを両立させたわけです。 もちろん、エッジサーバーにどんなデータを蓄積しておくといいのかをきちんと判断できないと、かえって無駄を増やしてしまう可能性もあるので、決して運用が簡単な技術ではありませんが、配信アルゴリズムは年々進歩し、今ではインフラとして根付いています。 現在では動画配信だけでなく、世界中に散在するセンサーなどのIoT機器のデータを収集するためになるべくこれらの機器の近くにエッジサーバーを配置することが行われています。また、スマートフォンで人工知能（AI）を利用する際に遠隔地のクラウドとデータを極力やり取りしないようスマートフォンをエッジ機器化して応答性を上げる、プライベートな情報をクラウドに送信しないといった使い方へと発展しています。 【著者略歴】 岡嶋 裕史（おかじま ゆうし） 中央大学国際情報学部教授／政策文化総合研究所所長。富士総合研究所、関東学院大学情報科学センター所長を経て現職。著書多数。近著に「思考からの逃走」「プログラミング/システム」（日本経済新聞出版）、「インターネットというリアル」（ミネルヴァ書房）、「メタバースとは何か」「Web3とは何か」（光文社新書）など。,[],[]
伊東市の「一碧湖」と「丸山公園」では12月上旬に紅葉が見頃に　都心から電車で約80分、厚木インターから車で約90分（オーヴォ）,https://news.yahoo.co.jp/articles/ea190fdce51ca147c5ad2d7904c9eed90d21bcf6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000003-ovo-000-1-view.jpg?exp=10800,2024-11-26T11:30:00+09:00,2024-11-26T11:30:00+09:00,オーヴォ,ovo,オーヴォ,414,伊東市の「一碧湖」と「丸山公園」では12月上旬に紅葉が見頃に 都心から電車で約80分、厚木インターから車で約90分 静岡県の伊東市の観光地、「一碧湖」と「丸山公園」で12月上旬ごろに紅葉が見頃を迎える。 約10万年前の噴火でできた火口湖で“伊豆の瞳”とも称される「一碧湖」では、紅葉シーズンになると、真っ赤に染まった樹木が美しい湖を彩り、逆さ紅葉が湖面に映ることで幻想的な雰囲気を醸し出す。 小沢川のせせらぎと木立が閑静さを醸し出す「丸山公園」は、緑と水が調和した自然公園。早春には梅、春には桜、初夏にはハナショウブ、そして秋には紅葉と、四季折々の多様な風景が楽しめる。 どちらも都心から電車で約80分、車で東名高速道路厚木ICから約90分と、アクセスが良い紅葉スポットになっている。ともに営業は年中無休で、入場料無料。駐車料あり（無料）。現在の見頃状況などの詳細は、伊東市観光ホームページ「伊豆・伊東観光ガイド」で確認できる。,[],[]
現存する日本最古のローラーコースター71周年　長寿の秘けつ定期点検の期間中に限定イベント（オーヴォ）,https://news.yahoo.co.jp/articles/8f2f410f363e130c4a399f9c4322a382ad9a8431,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000002-ovo-000-1-view.jpg?exp=10800,2024-11-26T10:30:00+09:00,2024-11-26T10:30:00+09:00,オーヴォ,ovo,オーヴォ,639,現存する日本最古のローラーコースター71周年 長寿の秘けつ定期点検の期間中に限定イベント 現役で爆走する日本最古のローラーコースターは、浅草の花やしき（東京）にある。11月25日（月）～12月6日（金）は法定検査のため運休するが、この期間にしかできない限定イベントが開催される。 花やしきのローラーコースターは今から71年前、日本初のテレビ放送が行われた1953年（昭和28年）に誕生。最高時速は42キロで、コース内にある民家へ突っ込み「お茶の間」をすり抜ける演出が特徴だ。ローラーコースターは、当時最先端のロケット風のデザインだったが、その後ドラゴンや千両箱の形など変わり種も経て、現在は誕生当時を再現したロケット風の形に戻っている。 これだけ長い年月、安全に爆走している秘けつは2種類のメンテナンスにあるという。一つは車体を分解して点検する法定検査。ローラーコースターの車体を専門の検査業者へ運搬し、ネジ一つまで分解して異常がないかをチェックしてもらう。もう一つはメンテナンスチームの毎日検査。花やしきの開園前に毎日実施する検査で、メンテナンスチームがコースを歩いて一周し、レールに異常や異物がないか確認。車両の下に入り込みタイヤなども点検する。 イベントでは、普段は入ることができないコース内に近づき、「お茶の間」を直接のぞくことができるほか、このお茶の間に住む、通称「コースターおじさん」のオリジナルグッズも登場する。イベント期間は11月27日（水）～12月2日（月）。,[],[]
オルツが超高速音声対話システムを開発　「音声AIのネガティブイメージ払拭」（オーヴォ）,https://news.yahoo.co.jp/articles/53c0da8c45765b5653a86034bfc6da6aa079ec70,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241126-00000001-ovo-000-1-view.jpg?exp=10800,2024-11-26T00:00:00+09:00,2024-11-26T09:55:58+09:00,オーヴォ,ovo,オーヴォ,474,オルツが超高速音声対話システムを開発 「音声AIのネガティブイメージ払拭」 オルツ（東京都港区）は、超高速音声対話システム「altTalk（オルツ・トーク）」を開発した。大規模言語モデルや感情認識、感情表現判定、会話展開予測など最新AI技術を組み合わせて構築したもので、高度な会話人工知能（AI）を企業や組織のシステムに導入できる組み込み型のAI会話エンジンプラットフォーム。 応答速度は、通常、人が会話する際の反射速度を上回る0.53秒で、怒りや恐れ、驚き、喜び、悲しみ、嫌悪といった人間の感情を96.3％の精度で理解し、表現をすることで高度な業務にも対応できるという。想定用途は、金融業界の資産運用相談やコールセンター、医療・ヘルスケア業界の医療問診やメンタルケア、小売り・サービス業の店舗接客や多言語対応のほか、人材・採用、教育分野、不動産など多岐に渡る。 同社はこのシステムを通じて、音声AIの「反応が遅い」「不自然な会話をする」などのネガティブなイメージを払拭し、企業や組織の業務を効率化し、新たなサービスの創出を支援したい、としている。,[],[]
