headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【ストップ！詐欺被害】「脱税で逮捕されてしまうので助けて」息子をかたるウソの電話で5000万円以上をだまし取られる　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/5bf1291e73ca4f968034a0ef8e4f0e6bc3d5c1e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-01526721-fbsnews-000-3-view.jpg?exp=10800,2024-12-02T20:04:00+09:00,2024-12-02T20:21:16+09:00,FBS福岡放送,fbsnews,FBS福岡放送,447,筑紫野警察署 息子をかたる男からの「脱税で逮捕されてしまうので助けてほしい」などというウソの電話で、福岡県太宰府市の78歳の女性が現金5250万円をだまし取られました。 警察によりますと、ことし10月、福岡県太宰府市に住む78歳の女性の家に、証券会社従業員をかたる男から「息子が株で利益を出している」と電話がありました。 その後、息子をかたる男からも電話があり「株でもうけたお金を税務署に申告していなかった。このままでは脱税で逮捕されてしまうので助けてほしい」「法律事務所の者に手渡してもらいたい」などと伝えられました。 声が似ていたことから女性は電話の人物が息子と信じてしまい、法律事務所から来たとかたる男らに自宅や自宅近くで11月2日から11月28日にかけて、23回にわたり計5250万円を手渡し、だまし取られました。 女性は金を工面するため、親族に借りたこともあったということです。女性が息子の妻に相談し被害に気づきました。 警察は「電話でお金の話はすべて詐欺」と注意を呼びかけています。,[],[]
【伝統】おしろいのつきがよいほど豊作　300年続く「おしろい祭り」で来年の五穀豊穣を占う　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/432ca67759c1eb23f014cf78f772bfff32fba455,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-04913753-fbsnews-000-2-thumb.jpg?exp=10800,2024-12-02T19:50:00+09:00,2024-12-02T19:53:13+09:00,FBS福岡放送,fbsnews,FBS福岡放送,656,FBS福岡放送 福岡県朝倉市で2日、300年以上続くと伝えられる祭りが行われました。顔に塗った「おしろい」のつき具合で来年の豊作を占います。 福岡・朝倉市 朝倉市杷木大山（はきおおやま）の大山祇（おおやまずみ）神社では、300年以上の歴史があると伝えられる「おしろい祭り」が行われ、氏子たちおよそ30人が参加しました。 ことしの収穫に感謝し、来年の五穀豊穣を祈願する神事の後、氏子にはお神酒（みき）が振る舞われます。お神酒をいただいて顔が赤くなってくると、いよいよ「おしろい」の登場です。 「おしろい」は、地元で収穫された新米を粉にして水で練ったもので、豪快に顔に塗られます。「おしろい」のつきがよいほど、来年は豊作だと信じられています。 ■氏子 「ことしの秋は、農作物の生育がものすごく悪かった。来年は、もうちょっとよければいいと思います。」 記者も参加 特別に参加を許されたFBSの白野記者も占ってもらいました。 ■白野寛太記者 「冷たい。来年はいい年になりそうです。運・御利益が落ちないように、これを持って帰ろうと思います。」 ■大山祇神社 宮司・神坂貞和さん 「ちょっとやりすぎじゃないですか。つきがいいですね。例年よりもだいぶついたと思います。目が開かない、目が痛いです。縁起のいい年になりました。来年は災害もなく豊作の年になると思います。めでたい日になりました。」 白い顔で帰宅 家に着く前に「おしろい」を落とすと御利益が失われると言われていて、氏子たちは「おしろい」を塗ったままの顔で帰宅しました。,[],[]
【全面公開】7年ぶりのゾウ　坂を上り下り・母乳を飲む子ゾウ　初めてゾウを見た2歳は　福岡市動物園（FBS福岡放送）,https://news.yahoo.co.jp/articles/787efa6e349514c7bcb5bf64bb8e55c2195baeee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-08349933-fbsnews-000-1-thumb.jpg?exp=10800,2024-12-02T19:04:00+09:00,2024-12-02T19:04:00+09:00,FBS福岡放送,fbsnews,FBS福岡放送,1135,FBS福岡放送 こちらは、この夏、ミャンマーから福岡市動物園にやってきたアジアゾウです。11月30日から全面公開が始まりました。それぞれの名前も発表され、7年ぶりの公開を心待ちにしていた人々でにぎわっています。 心春ちゃん（2） ■鬼丸ゆりか記者 「開園5分前、入口前には多くの人が列をつくっています。」 11月30日、開園前の福岡市動物園には多くの人が並びました。そのお目当ては。 ■訪れた人 「ゾウを見に来た！楽しみ！」 「ゾウが大好きです。活発に動いているところを見たい。」 ■豊永心春ちゃん（2） 「ゾウさん好きー！」 先頭にいたのは、福岡県糸島市から家族とともに訪れた豊永心春（こはる）ちゃん（2）です。母親の智子さんは、心春ちゃんにゾウを見せたい理由がありました。 ■母・智子さん 「（娘が）ゾウをまだ見たことなかったので、今回その機会が巡ってきたので楽しみに来ました。」 ゾウを出迎え ■園児たち 「ゾウさーん！」 多くの人がゾウたちを出迎えました。親子のゾウは普段と違う様子に驚いたのか、一度、寝室に戻りましたが、慣れると外に出てきてエサを食べていました。 4頭だった 4頭のアジアゾウはことし7月、およそ4000キロ離れたミャンマーから飛行機でやってきました。新しい環境に慣れてもらうため、すぐに全面公開はせず慎重に体調管理をしていましたが、ことし9月、12歳のメスのゾウが急死しました。病死とみられています。 そして、全面公開は当初の予定より1か月、延期されました。悲しみを乗り越え、福岡市動物園では11月30日、およそ7年ぶりにゾウの公開が始まりました。 4頭の名前が決まる 公募から決まった名前も発表されました。ゾウが暮らす緑生い茂る森にちなんで、14歳のオスは「あお」、22歳の母親ゾウは「ゆずは」、3歳の子どものゾウは「わかば」、急死した12歳のメスは「すい」と名付けられました。 坂を上り下り ■鬼丸記者 「こちらメスのゾウ舎では、親子ゾウが坂を下りる姿を見ることができます。」 ゾウが高低差13メートルの坂を上り下りする迫力ある姿や、水遊びをする姿、さらに、3歳の「わかば」が母親の母乳を飲む愛らしい姿を見ることができます。 生まれて初めて、ゾウに会いに来た心春ちゃんは。 ■心春ちゃん 「赤ちゃんゾウ！ぱおーん！」 ■母・智子さん 「この反応を見たら、見せてよかった。生まれたばかりにきた時はゾウがいなくて。元気いっぱいな姿を見られてうれしい。お母さんに駆け寄っていく姿が、ちょっと重なる部分があってかわいい。」 全面公開の初日に“ゾウデビュー”を果たした心春ちゃん。心春ちゃんにとっても家族にとっても、忘れられない思い出となりました。,[],[]
【師走】柳川で「こたつ舟」登場　「事件事故を減らせ」 “熱男”が一日署長　「現在の保険証を残して」医療従事者は抗議　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/62144b1ed0cad10b024e375d0a31b8bdc26a602e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-05631342-fbsnews-000-1-thumb.jpg?exp=10800,2024-12-02T18:29:01+09:00,2024-12-02T18:29:01+09:00,FBS福岡放送,fbsnews,FBS福岡放送,1389,FBS福岡放送 12月がスタートし、2024年も残すところ1か月となりました。2日から変更された制度をめぐり、抗議の声を上げる人もいます。 福岡・柳川市 赤々と燃える炭が入った火鉢が、船内に運び込まれていきます。福岡県柳川市では1日、冬の風物詩である「こたつ舟」の今シーズンの運航が始まりました。2日は、台湾から訪れた人たちが、どんこ舟の上で川べりの景色を楽しむ様子が見られました。 ■台湾から訪れた人 「（台湾にこたつは）ありません。初めての体験です。」 2日は朝から気温が上がり、最高気温は糸島市前原で20℃を超えるなど、県内広い範囲で11月上旬から中旬並みの暖かさとなりました。 福岡・行橋市 こうしたなか、福岡県行橋市ではあの人が心を熱くしました。 ■元ソフトバンク・松田宣浩さん 「熱男ー！」 ■警察官たち 「熱男！」 元プロ野球・福岡ソフトバンクホークス、松田宣浩さんの「熱男」のかけ声とともに、パトロール隊が出動しました。犯罪や事故が多くなる12月、「熱い力を借りて1件でも事件事故を減らしたい」と行橋警察署の一日署長に任命されました。 ■松田さん 「福岡・行橋市、熱男のパワーでいい町になってもらいたいなと思っていますので、きょうはしっかり頑張りたいなと思います。熱男！」 その後、市内のショッピングセンターに移動し、増加するSNSを使った犯罪への対策として、SNSの設定変更の方法を説明したほか、ビラを配るなどして注意を呼びかけました。 ■松田さん 「困ったことがあれば、一人で解決するのではなくて警察の皆さんに相談してください。熱男ー！」 福岡市博多区 一方、抗議の声を上げた人たちもいました。 ■元木寛人アナウンサー 「福岡市博多区の千代診療所前です。医療従事者たちが、現在の保険証を残してくださいと訴えています。」 声を上げたのは、医療関係者の団体が加盟する「『保険証をのこして』ネットワークふくおか」のメンバーです。 2日から健康保険証の新規発行が終わり、マイナンバーカードを使う『マイナ保険証』に一本化されることに伴い、現役の医師などが、従来の保険証を残すべきだと訴えました。 ■千鳥橋病院・山本一視院長 「一人一人に国・行政が保険証を届けて『心配なく病院にかかっていいですよ』というのが、この国の保険制度、医療制度の根幹です。行政が国民の健康を保障するという義務を放棄していると言わざるを得ません。」 マイナンバーカードを持っていない人や、マイナ保険証としての登録をしていない人には、これまでの保険証の有効期限が切れる前に順次「資格確認書」が届くため、医療機関を受診する際などはそれを持参する必要があります。 ただ、マイナ保険証は5年ごとに更新手続きが必要なため、高齢者や障害がある人などが無保険になる恐れがあるなどと抗議の声を上げています。 ■「保険証をのこして」ネットワークふくおか・七里正昭 事務局長 「マイナ保険証の更新が5年ごと、マイナカードの更新が10年ごと、別に進んでいきます。自動車運転免許証のように、更新の通知がきちんと来るかどうかも定まっていません。更新忘れで無保険になる恐れが全員にあります。一部の方が困るという問題ではない、みんなの問題です。」 団体は、電子化に反対しているのではなく、従来の保険証との併存を主張しています。,[],[]
【変わる空港】国際線ターミナル到着ロビーお披露目　広さは3倍　連絡バスの新たな専用道も　福岡空港（FBS福岡放送）,https://news.yahoo.co.jp/articles/f54a3dc748a03e9984309719b6bfc996b6d29290,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-07474957-fbsnews-000-4-thumb.jpg?exp=10800,2024-12-02T18:04:00+09:00,2024-12-02T18:55:13+09:00,FBS福岡放送,fbsnews,FBS福岡放送,802,FBS福岡放送 リニューアルが進む福岡空港で、3日のオープンを前に、国際線ターミナル・到着ロビーがお披露目されました。リニューアルのポイントは、旅客数の増加に伴う混雑の緩和です。 2日、福岡空港の国際線ターミナルでは、リニューアルされた到着ロビーがお披露目されました。 広さは3倍に ■竹原侑記者 「こちら、きょう公開されたスペースです。天井には木材が使用されていて、全体的に和を感じるオシャレなスペースになっています。」 天井は福岡県八女市の杉材で装飾されるなど、福岡らしさが感じられるスペースになっています。ロビーの広さはこれまでに比べておよそ3倍に拡大しています。 ■福岡国際空港 経営企画本部・鯵坂裕子さん 「大変混雑してご迷惑をおかけしていた。快適な空間で到着のお客様をお迎えしたいという思いがリニューアルのきっかけです。」 旅客数の増加を見込む 福岡国際空港によりますと、国際線ターミナルの利用が始まった25年前の旅客数は、およそ240万人でしたが、LCCの就航をきっかけに旅客数は伸び続け、昨年度は過去最高の700万人になりました。来年3月には滑走路が増設され、さらに、旅客数の増加が見込まれています。 混雑緩和に向けて、リニューアルされたポイントがもう1つあります。 新たな連絡道路 ■竹原記者 「空港内をつなぐ連絡バスが見えてきました。新しくできた専用道路を通過していきます。」 国際線と国内線をつなぐ連絡バスの専用道の拡大です。およそ15分かかっていたターミナル間の移動時間を、5分短縮します。 ■鯵坂さん 「到着したお客様が二次交通に乗り継ぐ動線の改善、福岡、九州、そして西日本、日本へつなぐ地点でありたいと思っています。」 国際線ターミナルビルでは、来年3月に保安検査場や出入国検査場のリニューアルが予定されていて、さらなる混雑緩和に向けた取り組みを今後も進めていくとしています。,[],[]
県内で3年ぶり「はしか」確認　男の子はワクチンの接種歴なく　ベトナムで感染したか　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/c37eab8336fd4e7a8669c4071548260df27313de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-06536971-fbsnews-000-1-thumb.jpg?exp=10800,2024-12-02T17:47:00+09:00,2024-12-02T17:47:00+09:00,FBS福岡放送,fbsnews,FBS福岡放送,330,FBS福岡放送 福岡県内でことし初の症例となる「はしか」の感染が確認されました。県内での感染確認は3年ぶりです。 福岡県によりますと、11月23日、ベトナム・ハノイから福岡空港に到着したベトジェットエア便に搭乗していた、福岡県内在住の10歳未満の男の子が翌日に発熱を訴えました。後日入院し、29日、はしかの感染が確認されました。 福岡県の会見 男の子はベトナムで感染したとみられ、ワクチンの接種歴はないということです。また、男の子は福岡空港に到着後、公共交通機関は利用していません。 男の子は現在も入院中ですが、快方に向かっているということです。 はしかは感染力が極めて強く、手洗いやマスクのみでの予防は難しいため、福岡県ではワクチンの接種を呼びかけています。,[],[]
【速報】福岡市東区多の津で住宅火災「2階建ての2階から煙」消火活動が続く　（FBS福岡放送）,https://news.yahoo.co.jp/articles/cd37a0917ba47b56c023860dcef20c08d99e0cdd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-05382488-fbsnews-000-5-thumb.jpg?exp=10800,2024-12-02T17:44:01+09:00,2024-12-03T11:32:17+09:00,FBS福岡放送,fbsnews,FBS福岡放送,127,FBS福岡放送 消防によりますと、2日午後6時40分ごろ、福岡市東区多の津で「2階建ての住宅の2階から煙が出ている」と近くに住む人から119番通報がありました。 消防車10台が駆けつけ現在、消火活動が続いています。 現場は住宅や事業所が立ち並ぶ地域です。,[],[]
【苅田山笠】「成り行きに任せていた」「興奮状態で止められないと思った」路上で山車（やま）を衝突させた疑い　責任者4人を書類送検　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/28da24003e9ca7d54c22c3c37e26b9dd61d70d24,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-03718545-fbsnews-000-2-view.jpg?exp=10800,2024-12-02T16:58:01+09:00,2024-12-02T17:19:17+09:00,FBS福岡放送,fbsnews,FBS福岡放送,517,2022年の苅田山笠 福岡県苅田町で10月に行われた県指定の無形民俗文化財、苅田山笠（かんだやまかさ）で、互いの山車（やま）を路上で衝突させ、道路使用許可の条件に従わなかったとして、4つの山車の責任者だった4人が2日、書類送検されました。 道路交通法の道路の使用の許可違反の疑いで書類送検されたのは、いずれも福岡県苅田町に住む男性で、会社員の52歳と53歳の2人と、漁業の59歳、無職の72歳の合わせて4人です。 4人は10月6日午後6時ごろから午後6時40分ごろまでの間、苅田町内の路上で、それぞれが指揮する苅田山笠の山車を互いに複数回衝突させ、警察の道路使用許可の条件に従わなかった疑いです。 山車同士が激しくぶつかり合う「突き当て」は苅田山笠の名物で、通常は駐車場で実施されています。警察は道路の使用許可を出す際、道路上では突き当てをしないことを条件にしていました。 4人はそれぞれ4つの山車の責任者で「成り行きに任せていた」「みな興奮状態だったのでもう止められないと思った」などと話し、容疑を認めているということです。 苅田山笠を巡っては2018年と2022年の祭りでも、道路上で「突き当て」をしたとして検挙者が出ていました。,[],[]
【熱男】元ホークスの松田宣浩さんが一日署長に　SNS詐欺・闇バイトへの注意を呼びかけ「困ったら警察に相談を」　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/a30aa3cbe90bc7f1b9a07bcbe78be6575dbaff4d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-08234598-fbsnews-000-1-thumb.jpg?exp=10800,2024-12-02T16:24:00+09:00,2024-12-02T16:24:00+09:00,FBS福岡放送,fbsnews,FBS福岡放送,322,FBS福岡放送 福岡ソフトバンクホークスで活躍した元プロ野球選手の松田宣浩さんが2日、一日警察署長に任命されました。おなじみの熱いパフォーマンスで、市民に犯罪や交通事故への注意を呼びかけました。 行橋警察署 行橋警察署の一日署長に任命された元ホークスの松田宣浩さんは、年末年始の特別警戒に出発する警察官を制服姿で送り出しました。 その後、近くの商業施設で、SNS詐欺や闇バイトへの注意を呼びかけました。 防犯を呼びかけ ■行橋警察署 一日署長・松田宣浩さん 「困ったことがあれば、必ず一人で解決するんじゃなくて警察の皆さんに相談してください。熱男～。」 行橋警察署は「松田さんの熱い力を借りて、1件でも多く事件・事故を減らしたい」としています。,[],[]
【ドラレコ映像】九州道で「飲酒運転」左右に揺れる車→パトカーから逃走　基準値の5倍近いアルコール　車内にビールの空き缶　福岡（FBS福岡放送）,https://news.yahoo.co.jp/articles/15ee962924533f708bd439052d7e2d35a0c83ca0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241202-07126535-fbsnews-000-2-thumb.jpg?exp=10800,2024-12-02T16:10:00+09:00,2024-12-02T16:12:13+09:00,FBS福岡放送,fbsnews,FBS福岡放送,614,FBS福岡放送 11月29日午前9時半ごろ、九州道上りで撮影された映像です。前方の赤い軽乗用車が大きく左右に揺れながら走行しているのが分かります。 その後も、蛇行運転を繰り返します。さらに、追い越し車線から大型トラックが迫ってきた際には、急に中央に寄り、トラックが急ブレーキを踏んでいる様子も捉えられていました。 左右に揺れながら走行 この映像は、FBSのカメラマンの車に設置されたドライブレコーダーのもので、不審に思ったカメラマンは「鹿児島ナンバーの赤い車がふらつきながら走行している」と110番通報しました。 駆けつけたパトカーは、九州道上りの宮の陣バス停付近で不審な赤い車を確認しました。停止を求めましたが応じず、時速100キロ近いスピードで10分ほど逃走しました。 車が止まったのは、およそ15キロ先の基山パーキング付近でした。 基山PA付近で止まる 運転していた男の呼気からは、基準値の5倍近いアルコールが検出され、男は酒気帯び運転の疑いで現行犯逮捕されました。 逮捕されたのは、鹿児島県出水市の無職、肱元雅毅容疑者（43）で、容疑を認めています。 運転していた車 逮捕直後の調べに対して「自宅で缶ビールを飲んだ」などと話した一方で、車内からは350ミリと500ミリの缶ビールが空（から）の状態で見つかっています。 警察は、肱元容疑者がどこから高速道路に乗り、飲酒運転でどのくらいの距離を走ったのかなどを調べています。,[],[]
