headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【J1昇格POでベガルタ仙台が、「確率5％」の長崎戦快勝のワケ（2）】「おそらくサッカー関係者の9割は長崎が勝つでしょ」からの反骨心。郷家友太のサポーターへの“意思表示”とともに（サッカー批評Web）,https://news.yahoo.co.jp/articles/07243433ece30514bc9e9507d3eeded28560b31e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106002-soccerh-000-1-view.jpg?exp=10800,2024-12-03T19:32:09+09:00,2024-12-03T19:32:09+09:00,サッカー批評Web,soccerh,サッカー批評Web,1141,J１昇格プレーオフ準決勝・V・ファーレン長崎戦後にサポーターをバックに笑顔を見せるベガルタ仙台の中島元彦、エロン、郷家友太 撮影：中地拓也 達成確率5％。これは、ベガルタ仙台・森山佳郎監督がはじきだしていた、J1昇格プレーオフ準決勝でのV・ファーレン長崎戦での2点差以上をつけての勝利の確率である。 ■【画像】「一緒に戦ってるっていう意思表示をしようと思ってて、それが自然に出た」ベガルタ仙台・郷家友太が語る「サポーターへの意思表示」■ 実際のスコアは4-1。それ以上の結果をチームはつかみ取った要因について指揮官自身に尋ねれば、選手の気持ちの強さを一つ挙げていた。これについては、この試合でゲームキャプテンを務め、そして、試合を決定づけた3点目を決めた郷家友太も「引力があるっていうのは森山監督も言ってますし、本当に思いが強い方にああやってこぼれ球やセカンドボール、スペースに流れたボールは転んでいくんだなって今日強く思いました」と実感を込めながら口にしていた。 そして指揮官がもう一つ挙げたキーワードが、「中断明け」だった。仙台は今季、通常のリーグ戦においてもその中断期間をうまく生かして勝利につなげてきた。 森山監督は「中断明けは、エスパルスさんに勝たせてもらったり、いわきさんに勝たせてもらったり、横浜FCさんにも3-0で勝ったりして、やっぱりここぞっていうときに集中力がかなり良いレベルに持ってきて、かなりいい試合をできた」と振り返る。 試合がない期間を利用してチームとして高い集中力を見せて、それをうまくぶつけることができる前例を自信にしていた。 ■「おそらくサッカー関係者の9割ぐらいは…」 郷家も、中断明けの強さを実感していた一人。「中断明けの僕らが強いことは今までのデータもそうですし、分かってたので、必然と言えば必然だし、こうやってパワーをうまく貯めて長崎を仕留められた」と誇る。 だからこそ、「おそらくサッカー関係者の9割ぐらいは長崎がふつうに勝つでしょって思っている中で、反骨精神を持って食らいついて、噛みついていくぞっていうところにうまく乗っかってくれていいゲームをできた」（森山監督）という言葉も出てくるのである。 とはいえ、そうなると不安になるのは次の決勝・ファジアーノ岡山戦。というのも、仙台は2日に帰仙して、再び大移動をしての7日の岡山での試合に挑まなければいけないからだ。 しかし、それを郷家が否定する。「次は1週間で試合で、リーグ戦だとちょっと気持ち的にも落ちたりとかもあったかもしんないんですけど、一発勝負っていうところもみんなもすごく気合入っている。リーグ戦のようないい試合をしたあとの悪い試合っていうのはないと思う」と力強く言い切るのだ。,[],[]
ACLE山東が川崎との試合を前に、鬼木監督と2選手を賞賛……鬼木監督について「アジアレベルで非常に水準が高い」、警戒する2選手の名前を挙げて「アジアのロールモデルになってほしい」（サッカー批評Web）,https://news.yahoo.co.jp/articles/ef37b9e908adf96926fdc796d2a944c03cc3fc99,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106031-soccerh-000-1-view.jpg?exp=10800,2024-12-03T17:46:53+09:00,2024-12-03T17:46:53+09:00,サッカー批評Web,soccerh,サッカー批評Web,929,１２月３日に行われたACLE川崎フロンターレ戦の前日会見での山東泰山のタン・ティアンコーチ 撮影：中地拓也 12月4日、川崎フロンターレはACLEの第6戦として山東（中国）と対戦する。その試合を前に、3日、等々力競技場で山東泰山のタン・ティアンコーチとファン・ジェンユーが出席した。 ■【画像】川崎・鬼木達監督が若かりし頃の自分の写真と同じポーズで写真撮影!■ 山東にとっては、歓喜に包まれた競技場である。今年2月に両チームはACLラウンド8を懸けてホーム＆アウェイで対戦。中国での第1戦では川崎が3-2で勝ったものの、逆に日本での試合では山東が4-2で勝利。逆転でラウンド16にコマを進めていた。 タンコーチは川崎について2月の対戦時との印象は大きく変わらないと話しており、「川崎さんは大きなプレッシャーをかけて、我々の選択肢を狭めてくると考えています。私たちのDFのミスを促すようなプレッシャーをかけてくると思うので、そこを修正・対応しながら効果的にカウンターを狙って得点を取りたい」と試合のイメージを話す。 タンコーチに改めて川崎の印象を聞けば、「川崎フロンターレさんはACLとJリーグですごく強い印象がある」と話す。そのうえで、「特に鬼木達監督はアジアレベルで、水準が非常に高いと思います。選手を常に攻撃的な姿勢に持って行くような指導されている部分が印象的。川崎を一言で表すのであれば、攻撃的なチーム」と敵将を賞賛した。 ■警戒する2選手とは さらに、警戒する名前を聞けば2選手を挙げる。家長昭博とチョン・ソンリョンだ。 タンコーチは、「他の選手と比較しても、同じような年で、同じようなパフォーマンスを出している選手はいない。彼らのサッカーへの熱意の繁栄でもあり、選手としてのキャリアを管理されている印象を持っている。2人にはぜひアジアでのロールモデルになってほしい」と語る。 同席したファン・ジェンユーも家長昭博を警戒するとしており、「私自身もDMFとして、このチームと試合ができることをとても楽しみです。私自身が川崎を相手にどこまでできるか、何ができるのかを試すとてもいい機会だと思います」と口にした。 （取材・文/中地拓也） サッカー批評編集部,[],[]
「もちろん、この先も戦いたかった」川崎・鬼木達監督がACLEラストマッチへの思い語る……GS突破に向けて4日・山東戦を前に、「自分の役割を果たす」（サッカー批評Web）,https://news.yahoo.co.jp/articles/dd5c5ecac59244590ad1152a15842876bddf8147,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106030-soccerh-000-2-view.jpg?exp=10800,2024-12-03T16:36:55+09:00,2024-12-03T16:39:51+09:00,サッカー批評Web,soccerh,サッカー批評Web,786,前日会見に挑んだ川崎フロンターレの鬼木達監督と河原創 撮影：中地拓也 12月4日、川崎フロンターレはACLEの第6戦として山東（中国）と対戦する。その試合を前に、3日、等々力競技場で鬼木達監督と河原創が記者会見に登壇した。 ■【画像】今年2月のACLで山東に敗れる……試合後に涙する川崎フロンターレの選手■ 涙を飲んだ相手だ。昨シーズンのACLにおいて、ベスト8を懸けて両チームは戦った。川崎はアウェイで3-2の勝利を収めたものの、ホームでは2-4の敗戦。アジア制覇を悲願としながら、その夢を絶たれた相手である。 その山東と今年2月以来となる対戦に、鬼木達監督自身は対戦相手に大きな変化はないとしたうえで、「外国人選手の個の強さと、そこを経由してからの中国籍選手のハードワークやスピード感が非常にある」として、「バトルのところは重要になる。そこをしっかりと戦ったうえで、自分たちらしく、自分たちのサッカーをすることが勝利につながる」と説く。 河原創も「前線の個の能力の高い選手が多い。ロングボールで多くなるが、マイボールにして自分たちの流れに持って行くことが大事」とする。 ■「もちろん、この先も戦いたかった」 チームとしてはまだ来年も戦いは続くが、鬼木達監督はすでに退任が発表されており、これが川崎の監督としての最後のアジアの戦いとなる。 その思いを指揮官に聞けば、「もちろん、この先も戦いたかったという思いもあります」と率直な思いを述べたうえで、「ただ、今自分のやるべきこと、とにかく少しでもACLの予選を突破する可能性を高めて、次のシーズンに頑張ってもらいたい。今は自分の役割を果たしたい」と言葉にする。 鬼木達監督が「次の一勝が突破に大きい」と語る川崎と山東の対戦は、等々力競技場で12月4日の19時にキックオフとなる。 （取材・文/中地拓也） サッカー批評編集部,[],[]
「私の1票も無駄では無かった!」J3宮崎の「マスコット名称決定選挙」で投票行動の重要性が浸透!「大逆転w!」「投票日の投票がいかに大事か」などの声（サッカー批評Web）,https://news.yahoo.co.jp/articles/47944ac6a5268c4fa2721564a99ce98d729148b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106087-soccerh-000-1-view.jpg?exp=10800,2024-12-03T11:22:03+09:00,2024-12-03T11:22:03+09:00,サッカー批評Web,soccerh,サッカー批評Web,1071,テゲバジャーロ宮崎のマスコット名決定までの流れが、熱い 撮影：中地拓也 J3のテゲバジャーロ宮崎のマスコットの名前が決定した。その一連の動向が、ファンの間で選挙における投票行動の重傷性を浸透させるという思わぬ効果を生んでいる。 ■【画像】「後半AT逆転弾みたいな決まり方（笑）」「得票数の推移が分かりやすい」などの声が上がった宮崎の新マスコット名を決定する得票数の推移 日本は民主主義国家である。その日本のプロサッカーリーグであるJリーグとそのクラブも、ファンの声を何よりも大事にしている。 宮崎は先月末、ある危機に陥っていた。新マスコットの名称をファンの声で決めることになったのだが、思わぬ方向へと話が進んでいきそうになったのだ。 クラブが名前の募集を呼び掛けたところ、SNSで紹介する際に使用した仮称の「テゲバわんちゃん」が大きな注目を集めた。決戦投票に進む5案を決める予選投票では、その仮称がまさかの一番人気となってしまったのだ。 正式に名前を決める決戦投票は、12月1日に行われるファン参加のイベントで行われることになった。また、イベントに参加できない人々のために期日前投票も行うという、手の込みようだった。 投票結果は即日開票され、すぐにマスコットの名前が決まった。5つの案の中から、「ジャーロくん」がトップとなり、採用されることになった。 クラブは票数などをSNSにて公開した。それによると、期日前投票の中間時点ではテゲバわんちゃんが先行。そこから締め切りまでにジャーロくんが逆転したが、差はわずかに1ケタ。最期には当日投票が大きくものを言ったことが分かる。 ■「後半AT逆転弾みたいな決まり方（笑）」 日本では今年、衆議院選挙が行われ、自民党が大きく議席を減らすなど政治の世界に変化が生まれた。そのうねりにも似たダイナミクスが、ファンの間に投票行動の大事さを思い起こさせたようだ。 「テゲバわんちゃんに愛着あったけど、今後のこと（ユニネームとかw）考えたらやっぱりジャーロさんかなって思ってた! おめでとう」 「大逆転w!」 「現地組の投票の成果出てるぅー!!」 「投票日の投票がいかに大事か わかりますなぁ」 「公正な投票結果なら、納得するw」 「おーっ! 私の1票も無駄では無かった!」 「後半AT逆転弾みたいな決まり方（笑）」 「得票数の推移が分かりやすい」 多くの人の期待を担って誕生した新マスコット、ジャーロくん。J2昇格を狙う新シーズンの宮崎で、大きなうねりを生み出す一助となることが期待される。 サッカー批評編集部,[],[]
「ずば抜けて可愛い」22歳の新ヒロイン候補FW吉田莉胡のプレー集に反響!「線は細くて可愛い顔して、アグレッシブでカッコいい!!」「なでしこに呼ぶべき選手」の声（サッカー批評Web）,https://news.yahoo.co.jp/articles/71d87aa54ad37a13d363989ecc6e742c23fed502,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106081-soccerh-000-1-view.jpg?exp=10800,2024-12-03T05:42:59+09:00,2024-12-03T05:42:59+09:00,サッカー批評Web,soccerh,サッカー批評Web,954,WEリーグの新ヒロイン候補のプレー集に注目が集まった（写真はイメージです） 撮影：中地拓也 日本女子プロサッカーWEリーグが「若き主将＆10番」と題し、ちふれASエルフェン埼玉FW吉田莉胡の今季リーグ戦全ゴール＆アシストを収めたプレー集を公開し、ファンの反響を呼んでいる。 ■【動画】「ずば抜けて可愛い」「線は細くて可愛い顔して、アグレッシブでカッコいい!!」の声! 22歳の新ヒロイン候補FW吉田莉胡のプレー集■ 2002年6月18日生まれの吉田は現在22歳。中学生の時からASエルフィン埼玉の下部組織に所属し、2021年にトップ昇格した。そして即レギュラーとして活躍を続けると、今季から背番号10を付け、主将にも就任してチームを引っ張っている。 ポジションはFW。WEリーグでは、奮闘を続ける吉田の5つのゴールと2アシストにチャンスシーンをまとめた動画を公式ユーチューブに公開し、「力強いドリブルや、勝利への強い気持ちが現れたプレーが魅力の吉田選手の今季のスーパープレーをまとめました」と紹介した。 その紹介文の通り、2分42秒の動画には、公称身長165cm、50kgながら力強いドリブルでチャンスを作れば、正解かつ強烈な右足シュートでゴールネットを揺らすシーン、そして可憐な笑顔とガッツポーズなど、WEリーグの新ヒロインに相応しいプレーぶりが収められている。 ■「推しのプレーを見てください 最高に上手いから」 この吉田のプレー集に対して、SNS上には次のようなコメントが寄せられた。 「推しのプレーを見てください 最高に上手いから」 「エルフェンのスター、吉田莉胡!線は細くて可愛い顔して、アグレッシブでカッコいい!!」 「こんな華奢な身体なのに、体力もあるし競り合いに強い。」 「なでしこに呼ぶべき選手。世界を相手に経験積めばもっと伸びると思う」 「ずば抜けて可愛い。」 ファンからはその愛くるしいルックスでも人気だが、プレーも本物だ。代表歴としては、2022年のU-20女子ワールドカップコスタリカ大会で準優勝したU-20日本女子代表メンバーに名を連ねた実績があるが、A代表のなでしこジャパンは未招集だ。今後のさらなる活躍と成長で、女子サッカー界の新ヒロイン誕生が期待される。 サッカー批評編集部,[],[]
「うおおおおお!!」「これは熱い」逆転優勝へJ1広島MF青山敏弘の「大阪に行くぞ!」のマイクパフォーマンスにサポ熱狂!「カッコよすぎるでしょ」「最高のキャプテン」の声（サッカー批評Web）,https://news.yahoo.co.jp/articles/1a61872a8af00b3bdf726ceaee6a4f5f0975820f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106080-soccerh-000-1-view.jpg?exp=10800,2024-12-03T05:42:59+09:00,2024-12-03T05:42:59+09:00,サッカー批評Web,soccerh,サッカー批評Web,1019,今季限りでの現役引退を発表したサンフレッチェ広島MF青山敏弘 撮影：中地拓也 今季限りで現役引退するサンフレッチェ広島一筋のバンディエラMF青山敏弘がゴール裏で披露したマイクパフォーマンスが脚光を浴びている。 ■【動画】「うおおおおお!!」「これは熱い」「カッコよすぎるでしょ」とサポ熱狂! 逆転優勝へJ1広島MF青山敏弘の「大阪に行くぞ!」のマイクパフォーマンス■ 12月1日にエディオンピースウイング広島で行われたJ1リーグ第37節で、広島は5-1で北海道コンサドーレ札幌戦を下した。これにより、勝点を首位・ヴィッセル神戸と1差とし、最終節での逆転優勝への望みを繋いだ。そして、その試合後に行われた引退セレモニーで挨拶した青山が、他の選手たちとともに移動したゴール裏で、再びマイクを握った。 多くのサポーターを目の前にして、ゆっくりと、丁寧に話し始めた青山。「（試合を）見ていて、自分はもう必要ないなって、もうみんなすごいなって思いました」と自らの言葉を噛み締めると「サンフレッチェ、本当に強くなりました。そのすべてをみなさんと一緒に見てきたと思っています」と続ける。そしてスタンドからの拍手が小さいことを確認し、「まだ終わっていないと思っているんですよね」とこぼした。 その言葉に、今度はサポーターから大きな拍手を沸き起こる。すると青山は、笑みをこぼしながら「みなさん準備できていますか?」「覚悟はできてますか?」と語気を強める。そこからはサポーターとのコール＆レスポンス。「神様が言ってますよ。俺らに優勝しろって!」「大阪に行くぞ!」「優勝するぞ!」とサポーターと一体となって力強く叫んだ。 ■「2013年の最終節前と同じこと言ってるからアツすぎる」 この広島ファミリーが一体となった青山のゴール裏でのマイクパフォーマンスに、ファンも胸を熱くした。そしてSNS上には次のようなコメントが寄せられた。 「これは熱い。」 「うおおおおお!!」 「カッコよすぎるでしょ……」 「キャプテンシーってこう言うのだよな。最高のキャプテンです。」 「2013年の最終節前と同じこと言ってるからアツすぎる」 12月8日の運命の最終節は、敵地パナソニックスタジアム吹田でのガンバ大阪戦となる。大混戦の中で最終節で2位からの逆転優勝を飾った2013年シーズンの再現なるか。“紫のバンディエラ”の熱い言葉で、広島は燃え上がっている。 サッカー批評編集部,[],[]
「アキさんに怒られてるw」J1川崎FW山田新の3得点＆2失点に仲間から“喝”!「ハットトリック決めてこんなに怒られる人初めて見たわw」「雰囲気よすぎて泣きそう」の声（サッカー批評Web）,https://news.yahoo.co.jp/articles/64238f1af09b09a4f06dddce7b77fd084f874336,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106088-soccerh-000-1-view.jpg?exp=10800,2024-12-03T05:36:56+09:00,2024-12-03T05:36:56+09:00,サッカー批評Web,soccerh,サッカー批評Web,1112,東京ヴェルディ戦でハットトリックを決めて「３」を作る川崎フロンターレのFW山田新 撮影：中地拓也 ハットトリックでチームを勝利に導いたJ1川崎フロンターレFW山田新への仲間たちからの“喝”に反響が寄せられた。 ■【動画】「アキさんに怒られてるw」「ハットトリック決めてこんなに怒られる人初めて見たわw」の声! J1川崎FW山田新の3得点＆2失点に対する仲間から“喝”シーン■ 11月30日に味の素スタジアムで行われたJ1リーグ第37節で、川崎は激しい点の取り合いの末に5-4で東京ヴェルディに競り勝った。その中で3得点1アシストの大活躍を見せたのが、大卒2年目の24歳ストライカーの山田だった。 前半16分に自ら奪ったPKを決めると、同22分にヘディング弾で2点目を奪う。後半12分にファンウェルメスケルケン際のゴールをアシストすると、同20分にも自らのシュートの跳ね返りをマルシーニョが決めた。そして極め付けは4－4の後半アディショナルタイム、エリソンが頭で流したボールに走り込んで左足でのゴラッソ弾を決めた。 しかし、山田が“得点に絡んだ”のはそれだけではなかった。後半4分のCKでゴール前でのボール処理に失敗して東京VのDF谷口栄斗にゴールを許すと、同38分にも再びCKの守備時にゴール前でクリアミスし、再び谷口に決められた。 その“3得点＆2失点”の山田に試合後、チームメイトたちは次々と声をかける。殊勲者であることを認めながら、遠野大弥が「シン!お前6点関わってるんだよ!」とピッチ上で山田を叱咤。ロッカールームに戻ってきた際も、控えの安藤駿介が「ナイスハットトリック」と声をかけた直後、ベテランの家長昭博が「クリアちゃんとせーよ」と厳しい言葉で山田を出迎えている。 ■「“クリアちゃんとせーよ!”と言える選手は重要よ」 この試合後のシーンを川崎の公式エックス（旧ツイッター）が得点シーンも含めて動画で公開すると、SNS上には次のようなコメントが寄せられた。 「新アキさんに怒られてるw」 「ハットトリック決めてこんなに怒られる人初めて見たわw」 「最後のアキさん面白い笑 ほんとそれよ笑」 「アキのように勝ってもちゃんと“クリアちゃんとせーよ!”と言える選手は重要よ」 「なんか雰囲気よすぎて泣きそう」 家長の“喝”に続き、ロッカールームでは鬼木達監督が「よく勝ったとしか言いようがないな」「自分たちで苦しくしてけど、でも観てる人は面白いかも知れないな」の言葉に続いて「やっぱりサッカーはゴールだよ」と言って選手たちを労っており、ファンからは「オニさんの言葉が素敵だ」との声も寄せられていた。 サッカー批評編集部,[],[]
「こんなに参加すんの」クラブW杯出場32クラブ「一気見」にファン高ぶる!「この並びにレッズがいるのほんと燃える」「抽選会も楽しみ」などの声（サッカー批評Web）,https://news.yahoo.co.jp/articles/2d8448a4080ff7b57d292caafd113a5d2376b1b9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106082-soccerh-000-1-view.jpg?exp=10800,2024-12-03T05:36:56+09:00,2024-12-03T05:36:56+09:00,サッカー批評Web,soccerh,サッカー批評Web,1043,マンチェスター・シティや浦和レッズが出場するクラブＷ杯全３２チームが出そろった 撮影：中地拓也 来年開催されるクラブ・ワールドカップに出場する全クラブが出そろった。日本から出場する浦和レッズも含めて、世界中から集まる豪華な顔ぶれに、日本のファンも心を高ぶらせている。 ■【画像】「こんなに参加すんの」「この並びにレッズがいるのほんと燃える」などの声が上がった、圧さえ感じさせるクラブW杯に出場32クラブのエンブレム クラブW杯に出る32チームが出そろった。先週末に南米王者を決めるコパ・リベルタドーレスの決勝が行われ、アトレチコ・ミネイロを下したボタフォゴが、クラブW杯出場出場権を獲得。最期の1枠を埋めた。 クラブW杯は、来年行われる次回大会から方式が変わる。これまでは毎シーズン行われてきたが、今後は4年に1度の開催となる。参加チーム数も32チームへと拡大され、2021年から24年までの各大陸連盟王者や、FIFAによる大陸ごとのランキングで上位に入ったクラブが出場権を与えられる。 内訳は、ヨーロッパから12チーム、南米から6クラブ、北中米、アジア、アフリカから4チーム、オセアニアから1チームとなっている。日本からは、AFCチャンピオンズリーグを制した浦和レッズが出場する。 その32チームを集めた、FIFAのSNSでの投稿が圧巻だ。前回のUEFAチャンピオンズリーグの王者であるレアル・マドリードやスター軍団のマンチェスター・シティ、ブラジルの名門パルメイラスなどのエンブレムが並ぶ。かつて本田圭佑が所属したパチューカとボタフォゴ、今シーズン伊藤洋輝が加わったバイエルン・ミュンヘンなど、日本人に縁のあるクラブも多い。そしてもちろん、日本を代表して出場する浦和のエンブレムも燦然と輝いている。 ■「このメンツに浦和レッズのエンブレムがあるのはやっぱ嬉しいね」 何も語らずとも、並ぶだけで期待感を高める32のエンブレム。この投稿に、出場する浦和のファンなど日本からも期待の声が上がった。 「こんなに参加すんの」 「このメンツに浦和レッズのエンブレムがあるのはやっぱ嬉しいね」 「この並びにレッズがいるのほんと燃える」 「また日本開催してほしいわね」 「We are URAWA REDS」 「最終戦も勿論だけど その前の抽選会も楽しみ」 新生クラブW杯は米国で開催され、来年6月15日に開幕。12月5日には、組み合わせ抽選会が行われ、対戦カードが決定される。 サッカー批評編集部,[],[]
「悔しい気持ちはあります」ボルシアMG福田師王が語る日本代表と「負けられない」ライバル、「成し遂げた」昇格よりも難しいこと（サッカー批評Web）,https://news.yahoo.co.jp/articles/21184f271f39b3618e013a43a2353ff5980f671a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00105778-soccerh-000-1-view.jpg?exp=10800,2024-12-03T05:32:08+09:00,2024-12-03T05:32:08+09:00,サッカー批評Web,soccerh,サッカー批評Web,1605,パリ五輪に出場した選手たちに対し、「日の丸を背負って戦っていて、カッコよかった」と話す福田師王選手。日本代表のユニフォームを着て戦う姿を早く見たい。撮影／渡辺航滋(Sony α‐1） 高校サッカーの強豪・神村学園を卒業後、Jリーグを経ずに欧州5大リーグのドイツ・ブンデスリーガに挑戦。今年1月、トップチームへの昇格を勝ち取った、リーグ優勝5回の実績を誇る名門ボルシアメンヘングラッドバッハ（以降、ボルシアMG）の福田師王。サッカー日本代表の「ラストピース」としても期待される20歳の大型フォワードに、『サッカー批評』では連載を依頼。サッカーから日常まで、福田師王のメンヘングラッドバッハでの日々を、語ってもらった! ■【画像】80億円の豪邸購入も…「落ちぶれ方まじで悲しい」ブラジル代表ネイマール32歳、美人モデル元カノとの熱烈キス公開「スアレスは大人に…」 ■コウくんは「本当の兄貴みたいな感じ」 コウくん（ボルシアMGで同僚の板倉滉選手）と筋トレをする話をしましたけど、来た頃より体重は4キロか5キロ増えたと思います。こう見えて、ベンチプレスもけっこう挙げられるんですよ。 でも、体重なんかは割とすぐ変わるものですし、あんまり測ったりはしていないですね。トップチームでコンスタントに試合に出るようになったら、また必要なフィジカルも変わって来たりするのかなと思っています。 生活面でいえば、コウくんの存在は欠かせないです。年齢でいうと、7歳離れています。もしJリーグのチームに入っていたら、かなり先輩な感じなんでしょうね。 ちなみに、ドイツ人やヨーロッパの選手たちは先輩後輩という感覚はないので、年上だからとか、年下がどうとかいうのはないです。コウくんとは、僕がトップチームのトレーニングに参加するようになってから仲良くなっていきました。 あまり気を遣わないで済む、本当の兄貴みたいな感じなんですけど、それはドイツにいるからとかではなくて、僕がちゃんと馴染めるようにコウくんがしてくれているので、最初の頃から自分らしさが出せて、無理なく話ができたんです。あの人は本当に気遣いの人で、優しくて、いい人なんですよ。 ■「日の丸を背負って戦っていて…」 今年の夏はコウくんの家でパリオリンピックを一緒に見たりもしました。パリ五輪は自分が目指して来た舞台ですし、選ばれなくて悔しい気持ちはもちろんあります。僕よりも若い選手（高井幸大選手19歳）も活躍していたし、選ばれなかったのは、自分の実力不足だと思います。でも落ち込むことなく、ここからだぞって、自分に言い聞かせています。 でも、パリ五輪に出場した選手たちは、日の丸を背負って戦っていて、かっこよかったですね。自分も、ここで活躍したかったなと、あらためて思いました。これから目指せるのは基本的にA代表だけですけど、いつかコウくんと一緒にA代表でも活躍できたら最高です。 ドイツでよく連絡を取り合っているのは、チェイス・アンリ選手（ドイツ1部シュトゥットガルト所属）ですね。世代別代表に入った時期も一緒でしたし、高校選抜とかもずっと一緒にやってきて、高卒で直接ドイツに来たというのも同じです。トップチーム定着、活躍を目指す仲間ですね。つらいときにはお互いに電話して「もっと、やんないとダメだよな」って話すこともあります。だから、負けられないですね。 夏のオフに日本に帰ったときは、トレーニングの場所には苦労しました。鹿児島の母校（神村学園）に行くこともありましたが、関西へ友達に会いに行ったときは、夜の公園でボールを蹴ったり、走ったりもしていました。 Jリーグ経由で海外に行くと、日本に帰ったときは、元の所属チームのトレーナーに見てもらえたり、そのチームの施設を使わせてもらえることもあるみたいですが、僕には、そういったチームがないので、そこは大変かもしれません。,[],[]
「すげぇ色してんな」Jリーグの来季公式球にファン反応!「ジェフとかレイソルは保護色になりそう」「ルヴァンのカラーリングカッコ良すぎるな」などの声（サッカー批評Web）,https://news.yahoo.co.jp/articles/f6fbf068090787ac9ef7f33cf00cf7a7b9cd3e2a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241203-00106086-soccerh-000-1-view.jpg?exp=10800,2024-12-03T05:32:08+09:00,2024-12-03T05:32:08+09:00,サッカー批評Web,soccerh,サッカー批評Web,931,来季Jリーグの公式球が発表された（写真はイメージです） 撮影：中地拓也 Jリーグが、来シーズンに使用する公式球を発表した。これまでにないデザインや色に、ファンが次々と反応している。 ■【画像】「ジェフとかレイソルは保護色になりそう」「ルヴァンのカラーリングカッコ良すぎるな」などの声が上がった来季Jリーグの公式球「コネクト25」 2024年のJリーグが、終了に近づいている。12月7日にはカテゴリー相手の昇降格を争うプレーオフが決着し、翌8日にはJ1最終節が行われ、3チームに絞られた中からシャーレの行方が決まる。 Jリーグがない日々に突入することになるが、見方を変えれば来季が近づいてくるとも言える。来季のレギュレーションはすでに発表されており、しばしのオフを挟めば、各チームともとレーニングを開始する。 その楽しみな2025年シーズンに使う公式球を、Jリーグが発表した。アディダスの「コネクト25」を、リーグ戦とルヴァンカップで使用する。 このボールは、大小2種類の形の異なるパネル20枚を組み合わせる独特のデザインとなっている。こうすることで空気抵抗を減らし、キックの正確性などにつなげるという。 カラーリングは白を基調に、リーグ戦用は黄色を大胆に配している。ルヴァンカップ用のボールには、赤が目に飛び込んでくる。 ■「ごちゃごちゃすぎんか」 新シーズンへの期待を高めずにはおかない公式球。JリーグのSNSで写真とともに発表されると、すぐにファンが反応した。 「かっこよ」 「ごちゃごちゃすぎんか」 「日本の手毬のような色使い。渋くて良いね」 「黄色のボールって視認性大丈夫なんかな? ジェフとかレイソルは保護色になりそう」 「左まさかのリーグ公式色かw すげぇ色してんな」 「ルヴァンのカラーリングカッコ良すぎるな」 「ルヴァン公式球の方が色合いが好き」 コネクト25は、チリで開催予定のU-20ワールドカップなど、FIFAの主要大会でも使用される予定だという。来年のJリーグ最初の公式戦は2月8日のFUJIFILM SUPER CUPとなっており、日本のファンにはJ1王者と天皇杯覇者が対決する一戦が実戦での採用を目にする場となる。 サッカー批評編集部,[],[]
