headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
熱田神宮の雅楽などを披露するイベント三重県で初開催　優美な舞と音楽で参加者ら魅了　津市（三重テレビ放送）,https://news.yahoo.co.jp/articles/92ad7b0e4eda3421b83597fee58f15ee1392dde7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010009-mietvv-000-1-thumb.jpg?exp=10800,2024-12-11T12:51:45+09:00,2024-12-11T12:51:45+09:00,三重テレビ放送,mietvv,三重テレビ放送,304,熱田神宮の祭礼で奉納される神楽「みつるぎ」も披露＝津市（三重テレビ放送） 雅楽や神楽（かぐら）などを通して日本神話に親しんでもらおうというイベントが10日、三重県津市で開かれました。 愛知県名古屋市にある熱田神宮が、2013年から全国各地で開いているもので、県内初開催となる今回は会場に約700人が訪れました。 熱田神宮の芹田治権宮司が「神話に込められた日本のこころを再認識してもらえれば」とあいさつし、続いて神事などに携わる熱田神宮桐竹会が、雅楽の代表的な曲の一つ「越殿楽」を披露しました。 また、熱田神宮の祭礼で奉納される神楽「みつるぎ」も披露され、荘厳な音楽と優美な舞で訪れた人たちを魅了していました。,[],[]
自転車の男性が乗用車にはねられ死亡　片側1車線の歩道ない直線道路　三重・松阪市（三重テレビ放送）,https://news.yahoo.co.jp/articles/c55e96200a18befc53ff3a107c0e57390b6c4562,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010008-mietvv-000-1-view.jpg?exp=10800,2024-12-11T12:51:41+09:00,2024-12-11T12:51:41+09:00,三重テレビ放送,mietvv,三重テレビ放送,254,自転車は後ろから追突されたか＝松阪市（三重テレビ放送） 10日午後3時頃、三重県松阪市岡本町の県道で自転車に乗った立野町の男性(81)が、平成町の男性会社員(32)が運転する普通乗用車に追突されました。 この事故で、自転車の男性が市内の病院に救急搬送されましたが、全身を強く打っていて死亡が確認されました。 事故現場は片側1車線の歩道がない直線道路で、自転車は後ろから追突されたものとみられています。 普通乗用車を運転していた会社員の男性に、ケガはありませんでした。 警察で事故の原因など詳しく調べています。,[],[]
平均約86万円　去年より2％減　三重県職員に冬のボーナス（三重テレビ放送）,https://news.yahoo.co.jp/articles/a48f9fea43c0c91a3080cc5905ff844e96d6e553,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010007-mietvv-000-1-view.jpg?exp=10800,2024-12-11T12:51:37+09:00,2024-12-11T12:51:37+09:00,三重テレビ放送,mietvv,三重テレビ放送,353,議長・副議長を除く県議会議員の平均は204万5950円（三重テレビ放送） 三重県職員の冬のボーナスにあたる12月の期末・勤勉手当が10日に支給され、職員1人当たりの平均支給額は去年より約1万7000円減額となりました。 教職員や警察官なども含めた職員1人あたりの平均支給額は86万1364円と、去年より約2％、約1万7000円減額となりました。 一方、一見知事のボーナスは315万5200円で、議長・副議長を除く県議会議員の平均は204万5950円と、約6万円の減額となりました。 なお今年10月の人事委員会勧告に基づく県職員の勤勉手当と期末手当、それぞれ0.05カ月の引き上げ分については、改正条例案が今後審議されるので今回の支給額には含まれていません。 改正案が成立した場合に別途、支給される予定です。,[],[]
外はパリっと香ばしく中はしっとりジューシーなローストチキン　クリスマスに向け出荷最盛期　三重・四日市市（三重テレビ放送）,https://news.yahoo.co.jp/articles/e98af5a52776b06021277e2ce509f754b3566f41,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010006-mietvv-000-1-thumb.jpg?exp=10800,2024-12-11T12:51:23+09:00,2024-12-11T12:51:23+09:00,三重テレビ放送,mietvv,三重テレビ放送,298,約100万本の出荷を予定（三重テレビ放送） クリスマスまであと2週間となりました。三重県四日市市にある三昌物産では、ローストチキンの出荷が最盛期を迎えています。 鶏肉の卸売りや加工品の製造販売などを手がける三昌物産では、2種類の秘伝のタレに漬け込み、特注の機械でクリスマス用ローストチキンを焼き上げています。 外はパリっと中はしっとりジューシーに仕上げ、急速冷凍して出荷します。 今年は去年と同じ約100万本の出荷を予定していて、ローストチキン作りはクリスマス当日まで続きます。 三昌物産畜産部の大澤道彦営業部長は「おいしいチキンを食べながらみんなで楽しい時間を過ごしてほしい」と話していました。,[],[]
インフルエンザ感染拡大で注意報レベル　今後も広がる予想の三重（三重テレビ放送）,https://news.yahoo.co.jp/articles/bea52b3df8cc361cf7dee521d9261237248af4c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010005-mietvv-000-1-thumb.jpg?exp=10800,2024-12-11T12:51:13+09:00,2024-12-11T12:51:13+09:00,三重テレビ放送,mietvv,三重テレビ放送,315,例年より1・2週早いペースで注意報レベルに達する（三重テレビ放送） インフルエンザの感染が拡大しています。三重県内のインフルエンザの流行が注意報レベルに達し、三重県では感染予防対策の徹底を呼びかけています。 三重県医療保健部によりますと、2日からの1週間におけるインフルエンザの患者数は1医療機関あたり10.35人と、前の週の1.75倍となり、注意報レベルの目安とされる10人を超えました。 インフルエンザの流行が注意報レベルに達した時期としては、例年より1・2週早いペースとなっていて、今後もさらに感染拡大が予想されています。 三重県では、手洗いや咳エチケット、室内の換気を行うなど感染予防の対策を徹底するよう呼びかけています。,[],[]
「甘い。上品な味」知事が試食　三重県が開発した新品種のイチゴ「うた乃」　鮮やかな赤色と高い糖度が特徴（三重テレビ放送）,https://news.yahoo.co.jp/articles/ba4a521939292c9bfbe91f49fe72468003720654,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010004-mietvv-000-1-thumb.jpg?exp=10800,2024-12-11T12:50:59+09:00,2024-12-11T12:50:59+09:00,三重テレビ放送,mietvv,三重テレビ放送,256,鮮やかな赤色と高い糖度が特徴の「うた乃」（三重テレビ放送） 三重県が開発した新しいイチゴをPRしようと、JA全農みえの関係者らが10日、三重県の一見知事を表敬訪問しました。 新しい品種「うた乃」は、鮮やかな赤色と高い糖度が特徴です。 JA全農みえの関係者や県内の生産者らが三重県庁を訪問し、北原祐哉県本部長は「名前の由来である歌のように広く愛される存在になってほしい」と話しました。 一見知事が「うた乃」を試食し「甘い。とても上品な味」と頬を緩ませていました。 「うた乃」の出荷と販売はこれからピークを迎えます。,[],[]
「津波は逃げるが勝ち」被害を繰り返さないために伝え続ける言葉　地域に根づく避難意識　三重・尾鷲市（三重テレビ放送）,https://news.yahoo.co.jp/articles/f06831eee32788633fe9775a8b145bbb7003b620,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010003-mietvv-000-2-thumb.jpg?exp=10800,2024-12-11T12:50:43+09:00,2024-12-11T13:43:31+09:00,三重テレビ放送,mietvv,三重テレビ放送,1125,11歳のときに被災した山西敏のりさん＝尾鷲市（三重テレビ放送） 今年は、昭和東南海地震の発生から80年です。当時を知る人が年々少なくなる中、津波で家族と家を亡くした男性に話を聞きました。 「頭が真っ白になったことを、今でも覚えています」11歳のときに被災した山西敏のりさんが、当時のことを語りました。 1944年、太平洋戦争末期。津波が町をのみこみました。熊野灘を震源とするマグニチュード7.9の巨大地震、昭和東南海地震が発生しました。 県内の死者、行方不明者は406人。さらに、尾鷲市では最大9メートルの津波に襲われ、多くの人が亡くなりました。 震源から程近い、尾鷲港の近くに住んでいた山西さんは当時、現在の尾鷲小学校の6年生で、授業を受けていた時に地震が発生しました。その時について山西さんは「教室に行ったら壁や黒板が落ちていて、カバンを持って、南の校門のところまで来たら、女の人の”津波が来るぞ”という声を聞いて、高台の中村山へ避難しました」と、地震直後の様子を語ります。 無我夢中で避難して頂上に着いた時、これまでに見たことのない景色が広がっていました。「川を津波が上がってくるのが見えました。潮が引いて海の底が見えました」山西さんは津波の勢いを絵にかいて説明します。 それから2時間半後、自宅に戻った時、そこには家はありませんでした。当時、自宅のあった場所で山西さんは「津波の前は、ここに2階建ての家があった。町をさかのぼって200mくらいのところまで家が流された」と被害について語りました。 家を失った小学生。 失ったのはそれだけではありません。最愛の家族を失いました。 山西さんは「父と母が津波に流されて、家の近くで死体になって分かった。家が流される、両親もいない。6年生の小さいときに、地震の経験をして、当時は頭が真っ白になっていた」と、その時の辛さを吐露しました。 近いうちに発生すると言われている南海トラフ地震。発生から80年。昭和東南海地震を知る人が減る中、山西さんには強く訴えかけていることがあります。それは「海岸の近くの人は大きい地震が起きたら『津波は逃げるが勝ち』」という言葉です。 山西さんの思いは多くの場所に広がっています。市内には「津波は逃げるが勝ち」の横断幕が掲げられているほか、山西さんが通っていた尾鷲小学校には、山へと続く通路ができました。 子どもたちが「命の架け橋」と呼ぶ橋、尾鷲小学校の児童は「地震の時に命をなくすかもしれないから、すぐに高台の中村山に行きたい」と、山西さんの思いを引き継いでいます。 「津波は逃げるが勝ち」津波で家と家族を失った山西さん。被害を繰り返さないために、山西さんは伝え続けます。,[],[]
「頻発する地震で防災意識が再び高まった」5割超　去年の2倍以上　三重県の意識調査（三重テレビ放送）,https://news.yahoo.co.jp/articles/a0cac14028dd183ca4c8f5157bb1aee7fb791bcf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010002-mietvv-000-2-thumb.jpg?exp=10800,2024-12-11T12:50:29+09:00,2024-12-11T13:44:33+09:00,三重テレビ放送,mietvv,三重テレビ放送,495,県内在住の18歳以上5000人に調査を行い2766人から回答（三重テレビ放送） 三重県が今年9月から10月にかけて行った「防災に関する県民意識調査」で、5割を超える人が頻発する地震により、防災意識が再び高まったと回答したことがわかりました。 調査は防災・減災対策に活用しようと三重県が毎年行っているもので、県内在住の18歳以上5000人に調査を行い2766人から回答がありました。 その結果、東日本大震災発生後の防災意識の変化について、「時間の経過と共に意識が薄れつつあったが、近年頻発する地震により防災意識が再び高まった」と答えた人の割合が50.8％と去年の2倍以上となりました。 また、今年8月に初めて発表された南海トラフ地震臨時情報について、「知らなかった」または「具体的な内容を知らなかった」と答えた人のうち、半数近い人が「テレビや新聞、インターネットなどで得られた情報で具体的な内容がわかった」と回答しています。 能登半島地震などで県民の防災意識が高まっているとして、三重県では防災・減災の取り組みなどをさらに身近に感じてもらえるよう工夫して啓発活動などを行っていくとしています。,[],[]
「入浴中、シャワーの水がかかった」　三重刑務所で40代受刑者が20代の顔面殴打か　傷害の疑いで書類送検（三重テレビ放送）,https://news.yahoo.co.jp/articles/7fb9994cfe109fb2daa2d9080699445b4353a973,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010001-mietvv-000-1-view.jpg?exp=10800,2024-12-11T12:50:16+09:00,2024-12-11T12:50:16+09:00,三重テレビ放送,mietvv,三重テレビ放送,421,頭などに約3週間の安静を要するケガを負わせたか＝三重刑務所（三重テレビ放送） 三重刑務所は受刑者に対し顔面を殴打するなどして約3週間の安静を要するケガを負わせたとして、40代の男性受刑者を傷害の疑いで津地方検察庁に10日、書類送検しました。 三重刑務所によりますと今年9月6日午後5時頃、40代の男性受刑者は共同生活をしていた20代の男性受刑者に対し、顔面を拳で複数回殴打した上、うずくまった相手の首を右腕で締め付け、鼻骨骨折を負わせ、頭などに約3週間の安静を要するケガを負わせた傷害の疑いが持たれています。 40代の男性受刑者は、動機について「入浴中、20代の受刑者が使っていたシャワーの水が自分にかかったことに腹を立てた」と話し容疑を認めているということで、10日付けで津地方検察庁に書類送検されました。 三重刑務所では今後このようなことが起こらないよう、施設内の規律や秩序を適正に維持しながら、施設の運営に努めたいとコメントしています。,[],[]
自動車販売会社が三重大学に寄付　「地域の発展に貢献」　キャンパスの環境整備に活用へ（三重テレビ放送）,https://news.yahoo.co.jp/articles/15588319bbcb4ca8f491ca367d45d6a6f0ceaaca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241211-00010000-mietvv-000-1-thumb.jpg?exp=10800,2024-12-11T12:50:02+09:00,2024-12-11T12:50:02+09:00,三重テレビ放送,mietvv,三重テレビ放送,270,伊藤正明学長（左）と向井弘光代表取締役社長（右）＝鈴鹿市（三重テレビ放送） 三重県鈴鹿市に本社を置き自動車販売などを行うICDAホールディングスが、今年創立75周年を迎えた三重大学に寄付金を贈りました。 10日に開かれた贈呈式では、向井弘光代表取締役社長が三重大学の伊藤正明学長に100万円の目録を手渡しました。 向井社長は「これからも三重大学と共に地域の発展に貢献していければ」と話していました。 寄付金はキャンパス内の環境整備などに活用されるということで、伊藤学長は「研究活動や人材育成などにさらに力を入れていきたい」と話していました。,[],[]
