headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
西谷誠騎手がJRA障害通算勝利数で単独5位に（netkeiba）,https://news.yahoo.co.jp/articles/4fc3541b000140273daae16bc4ffb57ae231083d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000020-kiba-000-1-view.jpg?exp=10800,2024-12-22T20:19:02+09:00,2024-12-22T20:19:02+09:00,netkeiba,kiba,netkeiba.com,553,西谷誠騎手(23年6月、(c)netkeiba) 22日、京都競馬場5Rで行われた3歳上障害未勝利(3歳上・未勝利・ダ2910m)で、6番人気マテンロウジョイ(牡4、栗東・四位洋文厩舎)が第1着となり、西谷誠騎手(栗東・中内田充正厩舎所属)はJRA障害通算198勝に到達。林満明元騎手の持つJRA障害通算197勝の記録を抜き、JRA史上単独第5位となった。 【写真】西谷騎手の代表馬マルカラスカル 西谷誠騎手は1976年生まれ。06-08年には3年連続の最多勝利障害騎手となり(史上初)、重賞は22勝(中央22勝)を挙げている。 【障害通算勝利数】(敬称略) 257 熊沢重文 254 星野忍 220 嘉堂信雄 207 田中剛 198 西谷誠 ☆ 197 林満明 169 五十嵐雄祐 ☆ 160 北沢伸也 150 松田博資 147 高田潤 ☆ ※12/22障害戦終了時点 ☆は現役 【西谷誠騎手のコメント】 「長く騎手をやっているので記録のことは全然知らなかったです。（歴代騎手のJRA障害通算勝利数を確認して）偉大な先輩たちなので、その方々の実力に追いついたとは全然思わないですが、コツコツと、あと何年も乗れるわけではないので、馬たちと楽しみながらやっていきたいと思います」 (JRAのホームページより),[],[]
モーリスやパンサラッサなど 5頭のシャトル種牡馬がオーストラリア・ニュージーランドから帰国（netkeiba）,https://news.yahoo.co.jp/articles/7131a99adbffb80ee91129dbaaa1ef6e06eb1d18,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000019-kiba-000-1-view.jpg?exp=10800,2024-12-22T20:00:03+09:00,2024-12-22T20:00:03+09:00,netkeiba,kiba,netkeiba.com,399,豪州から帰国したモーリス(c)netkeiba 南半球のオーストラリア、ニュージーランドでシャトル供用されていた種牡馬5頭が輸入検疫を終えた22日早朝、それぞれの繋養種馬場に帰厩した。 【写真】モーリスのこれまでの軌跡 オーストラリアから社台スタリオンステーションに戻ってきたのはモーリス、アドマイヤマーズと、初年度産駒がデビュー年度を迎えるビッグレッドファーム繋養のベンバトル、アロースタッドで供用2年目を迎えるパンサラッサの4頭で、ニュージーランドから帰国したのはサトノアラジン。約半年ぶりにブリーダーズ・スタリオン・ステーションの馬房でくつろいだ。それぞれは、2025年シーズンにむけて準備をスタートする。 社台スタリオンステーションでは「シャトルから戻ってきた2頭は、それぞれシャトル供用されている間に産駒が活躍してくれました。2025年は良いシーズンになると思う」と更なる活躍を期待した。,[],[]
12月22日の出来事一覧/中山・京都（netkeiba）,https://news.yahoo.co.jp/articles/7329fab6c20d47d5ede713dc31e6807a455c3704,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000018-kiba-000-1-view.jpg?exp=10800,2024-12-22T19:31:02+09:00,2024-12-22T19:31:02+09:00,netkeiba,kiba,netkeiba.com,734,有馬記念が行われた中山競馬場(c)netkeiba 12月22日の開催(中山・京都)で発生した競走中の疾病、競走中止などの事象は下記の通り。 ■中山2R 2歳未勝利 シュヴァルノワール(牡2、美浦・嘉藤貴行厩舎) 北村宏司騎手は、最後の直線コースでの御法(鞭の使用)について騎手としての注意義務を怠ったものと認められ、2025年1月11日(土)の騎乗停止となった。 ■中山5R 2歳新馬 ハルノウミ(牝2、美浦・萱野浩二厩舎) 疾病を発症したため、3コーナー手前で競走を中止。馬は右後肢跛行、岩部純二騎手は異状なし。 ■中山7R 3歳上1勝クラス プラチナジェット(牝5、美浦・矢嶋大樹厩舎) 競走中に鼻出血を発症(11着)。 ■京都8R 3歳上2勝クラス プロトポロス(牡4、栗東・西村真幸厩舎) スタート直後につまずいて騎手が落馬したため競走を中止。馬、亀田温心騎手ともに異状なし。 ■中山11R 有馬記念 ドウデュース(牡5、栗東・友道康夫厩舎) 右前肢跛行のため出走取消。 ■西塚洸二騎手が落馬負傷のため乗り替わり(京都) 2R ナリタボニー(小沢大仁騎手) 3R ザカリナン(西村淳也騎手) 7R フルオブプレイズ(丹内祐次騎手) 8R バックトゥザライト(団野大成騎手) 9R サンライズゴラッソ(田口貫太騎手) 10R モズロックンロール(M.デムーロ騎手) 11R ロードラディウス(長岡禎仁騎手) 12R システムリブート(北村友一騎手) ■伴啓太騎手が落馬負傷のため乗り替わり(京都) 5R プリンセスララア(草野太郎騎手) ■石神深一騎手が落馬負傷のため乗り替わり(京都) 5R アークデトリオンフ(小野寺祐太騎手) (JRAのホームページより),[],[]
【佐賀・中島記念結果】シルトプレが断然人気に応え5馬身差V（netkeiba）,https://news.yahoo.co.jp/articles/2aa0a3e467e0454ef1707ac6c20a204420823f89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000017-kiba-000-2-view.jpg?exp=10800,2024-12-22T18:26:02+09:00,2024-12-22T20:22:01+09:00,netkeiba,kiba,netkeiba.com,665,1番人気シルトプレが勝利(提供：佐賀県競馬組合) 22日、佐賀競馬場で行われた第40回中島記念(3歳上・重賞・ダ1800m・1着賞金1000万円)は、スタートやや一息もポジションを上げていき、3コーナー手前でハナに立って後続を突き放した石川倭騎手騎乗の1番人気シルトプレ(牡5、佐賀・真島元徳厩舎)が、2番人気アエノブライアン(牡6、佐賀・池田忠好厩舎)に5馬身差をつけ優勝した。勝ちタイムは1分57秒4(良)。 【写真】シルトプレこれまでの軌跡 さらに1.1/2馬身差の3着に3番人気マイネルサハラ(牡5、佐賀・東眞市厩舎)が入った。 勝ったシルトプレは、父ワールドエース、母エアディケム、その父フレンチデピュティという血統。北海道所属の身で3走前のエルムSで4着、前走のJBCクラシックで4着と好走。今回は佐賀に移籍しての初戦だったが、力の違いを見せつけた。 【勝ち馬プロフィール】 ◆シルトプレ(牡5) 騎手:石川倭 厩舎:佐賀・真島元徳 父:ワールドエース 母:エアディケム 母の父:フレンチデピュティ 馬主:原 久美子 生産者:藤原牧場 【全着順】 1着 シルトプレ 1人気 2着 アエノブライアン 2人気 3着 マイネルサハラ 3人気 4着 ラインフォルテ 5人気 5着 テイエムフォンテ 8人気 6着 ビキニボーイ 4人気 7着 グローリー 7人気 8着 ブルーアロー 12人気 9着 マイネルデステリョ 11人気 10着 タケノサイコウ 9人気 11着 ブレイブアモーレ 6人気 12着 ロンドンテソーロ 10人気,[],[]
3歳未勝利馬が2勝クラスを制す 格上挑戦で2馬身半差の快勝/京都12R・ジングルベル賞（netkeiba）,https://news.yahoo.co.jp/articles/048bcb934a017bfb22ee6ef89414076d7e9d6089,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000016-kiba-000-3-view.jpg?exp=10800,2024-12-22T17:13:02+09:00,2024-12-22T17:25:02+09:00,netkeiba,kiba,netkeiba.com,958,ヤマニンアルリフラが格上挑戦ながら2馬身半差V(c)netkeiba 22日、京都競馬場で行われたジングルベル賞(3歳上・2勝クラス・芝1400m)は、好位追走から直線で抜け出したM.デムーロ騎手騎乗の4番人気ヤマニンアルリフラ(牡3、栗東・斉藤崇史厩舎)が、同じく好位から脚を伸ばした9番人気ショウナンラウール(牝3、栗東・高橋義忠厩舎)に2.1/2馬身差をつけ優勝した。勝ちタイムは1分21秒2(良)。 【写真】ヤマニンアルリフラこれまでの軌跡 さらにクビ差の3着に10番人気システムリブート(牡4、栗東・吉岡辰弥厩舎)が入った。なお、1番人気テラステラ(牡4、栗東・矢作芳人厩舎)は6着に、2番人気ダズリングブレイヴ(セ4、栗東・斉藤崇史厩舎)は4着に、3番人気ファビュラススター(牡3、美浦・萩原清厩舎)は11着に終わった。 勝ったヤマニンアルリフラは、父イスラボニータ、母ヤマニンパピオネ、その父スウェプトオーヴァーボードという血統。半兄ヤマニンウルスはデビューから5連勝で今年のプロキオンSを制している。新馬・未勝利では7戦して2着1回、3着3回と勝ちきれなかったものの、前走の1勝クラスでも僅差の3着に入り力のあるところは見せていた。今回はさらに上の2勝クラスへの格上挑戦だったが、好位抜け出しで快勝、待望の初勝利を挙げた。 【勝ち馬プロフィール】 ◆ヤマニンアルリフラ(牡3) 騎手:M.デムーロ 厩舎:栗東・斉藤崇史 父:イスラボニータ 母:ヤマニンパピオネ 母の父:スウェプトオーヴァーボード 馬主:土井肇 生産者:錦岡牧場 【全着順】 1着 ヤマニンアルリフラ 4人気 2着 ショウナンラウール 9人気 3着 システムリブート 10人気 4着 ダズリングブレイヴ 2人気 5着 マテンロウボンド 11人気 6着 テラステラ 1人気 7着 スカプラリオ 16人気 8着 ケイアイオメガ 15人気 9着 ヴィアドロローサ 17人気 10着 ルヴァンノワール 12人気 11着 ファビュラススター 3人気 12着 メイショウカイト 6人気 13着 ロゼフレア 7人気 14着 アサギリ 14人気 15着 エイムフォーエース 8人気 16着 クイックバイオ 5人気 17着 レッドバレンティア 13人気,[],[]
【JRA・WIN5】本日のWIN5は的中332票、配当228万7110円（netkeiba）,https://news.yahoo.co.jp/articles/372ce593d68cbbab7688c0dd0ce94d0df740affa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000015-kiba-000-2-view.jpg?exp=10800,2024-12-22T16:08:02+09:00,2024-12-22T16:49:02+09:00,netkeiba,kiba,netkeiba.com,454,"有馬記念はレガレイラが勝利(撮影：下野雄規) 12/22(日)のWIN5対象レースの結果は、以下の通り。 的中馬番 16-14-14-11-8 払戻金 2,287,110円 的中票数 332票 次回へのキャリーオーバー 0円 発売票数 10,847,455票 発売金額 1,084,745,500円 ▼1レース目 中山9R グッドラックH 勝馬：16.スティンガーグラス 人気：1番人気 残票：2,810,260票 ▼2レース目 京都10R サンタクロースS 勝馬：14.ホウオウプロサンゲ 人気：4番人気 残票：283,269票 ▼3レース目 中山10R オルフェーヴルC 勝馬：14.ピックアチェリー 人気：1番人気 残票：71,858票 ▼4レース目 京都11R りんくうS 勝馬：11.ドンアミティエ 人気：4番人気 残票：5,160票 ▼5レース目 中山11R 有馬記念 勝馬：8.レガレイラ 人気：5番人気 残票：332票 出走取消：2.ドウデュース ※結果は主催者発表のものと照合してください。",[],[]
【有馬記念結果】レガレイラが叩き合いを制しGI・2勝目！ 3歳牝馬の勝利は64年ぶり（netkeiba）,https://news.yahoo.co.jp/articles/cf8c78f7d35401f9ffa4caf25a079ecd8276011a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000014-kiba-000-7-view.jpg?exp=10800,2024-12-22T15:48:02+09:00,2024-12-22T17:45:02+09:00,netkeiba,kiba,netkeiba.com,1082,有馬記念を制したレガレイラ(中央の青帽、撮影：下野雄規) 22日、中山競馬場で行われた第69回有馬記念(3歳上・GI・芝2500m)は、好位追走から直線での叩き合いをわずかに制した戸崎圭太騎手騎乗の5番人気レガレイラ(牝3、美浦・木村哲也厩舎)が、中団から脚を伸ばして最後まで争った10番人気シャフリヤール(牡6、栗東・藤原英昭厩舎)にハナ差をつけ優勝した。勝ちタイムは2分31秒8(良)。 【写真】レガレイラこれまでの軌跡 さらに1.1/2馬身差の3着に2番人気ダノンデサイル(牡3、栗東・安田翔伍厩舎)が入った。なお、1番人気アーバンシック(牡3、美浦・武井亮厩舎)は6着に、3番人気ベラジオオペラ(牡4、栗東・上村洋行厩舎)は4着に終わった。 勝ったレガレイラは、父スワーヴリチャード、母ロカ、その父ハービンジャーという血統。牡馬相手に昨年末のホープフルSを制し、今春は皐月賞・日本ダービーに挑むも6、5着。秋もローズSとエリザベス女王杯でともに5着と不完全燃焼だったが、この年末の大一番で見事GI・2勝目を飾った。3歳牝馬による有馬記念制覇は1960年のスターロツチ以来、64年ぶり(史上2頭目)。また、鞍上の戸崎圭太騎手は14年のジェンティルドンナ以来2度目の有馬記念制覇となった。 【有馬記念】1956年に創設された「中山グランプリ」が前身。当時の日本中央競馬会理事長であった有馬頼寧氏が、中山新スタンド竣工を機に「日本ダービーに匹敵する大レースを」と提案し、創設された。しかし、第1回の実施から間もない翌年の1月に有馬氏が急逝したため、同氏の功績を称えて有馬記念と改称。以来、年末の風物詩として親しまれ、数々の名馬たちが熱戦を繰り広げている。 【勝ち馬プロフィール】 ◆レガレイラ(牝3) 騎手:戸崎圭太 厩舎:美浦・木村哲也 父:スワーヴリチャード 母:ロカ 母の父:ハービンジャー 馬主:サンデーレーシング 生産者:ノーザンファーム 【全着順】 1着 レガレイラ 5人気 2着 シャフリヤール 10人気 3着 ダノンデサイル 2人気 4着 ベラジオオペラ 3人気 5着 ジャスティンパレス 4人気 6着 アーバンシック 1人気 7着 ローシャムパーク 7人気 8着 スタニングローズ 9人気 9着 ダノンベルーガ 15人気 10着 シュトルーヴェ 14人気 11着 プログノーシス 6人気 12着 ブローザホーン 11人気 13着 ディープボンド 12人気 14着 スターズオンアース 8人気 15着 ハヤヤッコ 13人気 出走取消 ドウデュース,[],[]
【りんくうS結果】ドンアミティエが突き抜けオープン初勝利（netkeiba）,https://news.yahoo.co.jp/articles/63a6115b598d2bfcb970eaf3d6a7ab23fa798f54,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000013-kiba-000-2-view.jpg?exp=10800,2024-12-22T15:32:02+09:00,2024-12-22T15:41:02+09:00,netkeiba,kiba,netkeiba.com,698,りんくうSを制したドンアミティエ(c)netkeiba 22日、京都競馬場で行われたりんくうステークス(3歳上・オープン・ダ1200m)は、中団追走から直線で突き抜けた菱田裕二騎手騎乗の4番人気ドンアミティエ(牡4、栗東・今野貞一厩舎)が、後方から追い上げてきた1番人気スターターン(牡3、栗東・坂口智康厩舎)に1.3/4馬身差をつけ優勝した。勝ちタイムは1分11秒5(良)。 【写真】ドンアミティエこれまでの軌跡 さらにクビ差の3着に2番人気エーティーマクフィ(牡5、栗東・武英智厩舎)が入った。なお、3番人気パラシュラーマ(牡4、栗東・浜田多実雄厩舎)は7着に終わった。 勝ったドンアミティエは、父アジアエクスプレス、母クラシックス、その父キングヘイローという血統。オープン初勝利を飾った。 【勝ち馬プロフィール】 ◆ドンアミティエ(牡4) 騎手:菱田裕二 厩舎:栗東・今野貞一 父:アジアエクスプレス 母:クラシックス 母の父:キングヘイロー 馬主:山田貢一 生産者:村田牧場 【全着順】 1着 ドンアミティエ 4人気 2着 スターターン 1人気 3着 エーティーマクフィ 2人気 4着 メズメライザー 13人気 5着 ハチメンロッピ 8人気 6着 ロードラディウス 10人気 7着 パラシュラーマ 3人気 8着 ボナンザ 6人気 9着 ジャングロ 14人気 10着 ファーンヒル 12人気 11着 クリノマジン 16人気 12着 オメガシンフォニー 11人気 13着 ダノンセシボン 9人気 14着 エランティス 7人気 15着 カルネアサーダ 15人気 16着 ジョーローリット 5人気,[],[]
【有馬記念・馬体重】アーバンシックは516kg(+6)、ダノンデサイルは520kg(-2)（netkeiba）,https://news.yahoo.co.jp/articles/c0ad1e1d55a6a025337f6c2c57e33af7d763bab5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000012-kiba-000-1-view.jpg?exp=10800,2024-12-22T14:29:02+09:00,2024-12-22T14:29:02+09:00,netkeiba,kiba,netkeiba.com,497,アーバンシック(c)netkeiba 12月22日に中山競馬場で行われる第69回有馬記念(3歳上・GI・芝2500m)の馬体重が発表された。 【動画】有馬記念の出走全馬を斬る ロングスパートしてもバテない伏兵に高評価 今年の菊花賞馬アーバンシック(牡3、美浦・武井亮厩舎)は516kg(+6)。今年のダービー馬ダノンデサイル(牡3、栗東・安田翔伍厩舎)は520kg(-2)。 発走予定時刻は15時40分。 ※馬番 馬名 馬体重(増減) 1 ダノンデサイル 520(-2) 2 ドウデュース(取消) 3 アーバンシック 516(+6) 4 ブローザホーン 432(+2) 5 ベラジオオペラ 512(-2) 6 ローシャムパーク 506 7 スターズオンアース 498(-2) 8 レガレイラ 468(-4) 9 ディープボンド 502(-14) 10 プログノーシス 474 11 ジャスティンパレス 468(0) 12 シュトルーヴェ 478(0) 13 スタニングローズ 496(-2) 14 ダノンベルーガ 496(+4) 15 ハヤヤッコ 492(+12) 16 シャフリヤール 458,[],[]
【中山6R新馬戦結果】ロードカナロア産駒ディオデルマーレが初陣飾る（netkeiba）,https://news.yahoo.co.jp/articles/f6f8eaee587a78972f464bcd810f10cdd4b999ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00000011-kiba-000-2-view.jpg?exp=10800,2024-12-22T12:59:02+09:00,2024-12-22T14:51:01+09:00,netkeiba,kiba,netkeiba.com,702,中山6Rの新馬戦を制したディオデルマーレ(撮影：下野雄規) 22日、中山競馬場6Rで行われた新馬戦(2歳・芝1600m・15頭)は、好位追走から直線の追い比べを制したR.ムーア騎手騎乗の1番人気ディオデルマーレ(牡2、美浦・堀宣行厩舎)が、逃げて最後まで粘った6番人気ショウナンマリーナ(牝2、美浦・森一誠厩舎)にアタマ差をつけ優勝した。勝ちタイムは1分36秒6(良)。 【写真】ディオデルマーレこれまでの軌跡 さらにアタマ差の3着に3番人気ウインキララ(牝2、美浦・鹿戸雄一厩舎)が入った。なお、2番人気レガーロカリーノ(牝2、美浦・菊沢隆徳厩舎)は7着に終わった。 勝ったディオデルマーレは、父ロードカナロア、母シーティス、その父Invincible Spiritという血統。 【勝ち馬プロフィール】 ◆ディオデルマーレ(牡2) 騎手:R.ムーア 厩舎:美浦・堀宣行 父:ロードカナロア 母:シーティス 母の父:Invincible Spirit 馬主:G1レーシング 生産者:社台コーポレーション白老ファーム 【全着順】 1着 ディオデルマーレ 1人気 2着 ショウナンマリーナ 6人気 3着 ウインキララ 3人気 4着 フューチャーファン 7人気 5着 サクラアドリア 4人気 6着 リッキースタイル 9人気 7着 レガーロカリーノ 2人気 8着 ロイヤルキャピタル 8人気 9着 バットスティンガー 5人気 10着 シェーンルスカ 14人気 11着 マサユメ 12人気 12着 ココリハクタク 13人気 13着 ワカギミ 11人気 14着 ウーレンハウト 15人気 15着 ポッドソル 10人気,[],[]
