headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
伊東純也に追いつけるレベルのスピード？　インターセプト数も2位、仏リーグ・アンでウズベキスタンの20歳DFが大人気に（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/0ea569b891e978d1fe9c0e1cb624741fdd6348db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010020-theworldw-000-1-view.jpg?exp=10800,2024-12-22T23:30:28+09:00,2024-12-22T23:30:28+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,868,37km/hはトップスピードが出ているとの評価も RCランスでプレイするクサノフ photo/Getty Images 史上初のワールドカップ出場権獲得へ向け、2026ワールドカップ・アジア最終予選で奮闘するウズベキスタン代表。現在の最終予選ではグループAの2位につけており、ここまでは悪くない戦いだ。 ［動画］伊東を猛追したクサノフのスピード そのチームでは、若手年代の成長が著しい。世代別代表で結果を出してきた選手たちが続々とA代表に入ってきていて、未来は明るいのだ。 中でも今季急激に評価を高めているのは、仏リーグ・アンのRCランスでプレイする20歳のDFアブドゥコビル・クサノフだ。 すでにA代表で18キャップを記録しているクサノフは、20歳ながらRCランス不動のセンターバックだ。最大の武器はフィジカル能力にあり、チームメイトのGKブライス・サンバはクサノフを『怪物』と評する。 チームを指揮するウィル・スティルも「彼は冷静で、力強くてスピードもある。彼のフィジカルには驚かされた」と語る。 『Get Football News France』によると、すでにトッテナム、ニューカッスル、パリ・サンジェルマンといったクラブが関心を寄せているという。フィジカル能力に加え、試合を読むサッカーIQの高さも評価の理由だ。今季のリーグ・アンでは2番目に多い26回のインターセプトを記録していて、これも読みの鋭さがあればこそだ。 自慢のスピードでは、先月29日に行われたスタッド・ランスとのゲームでカウンターアタックを仕掛けた日本代表FW伊東純也を猛追するシーンがちょっとした話題を呼んだ。リーグ・アン公式は37km/hのトップスピードが出ていたと紹介しているが、センターバックとしてこのスピードはかなり魅力的だ。 20歳にして完成されたセンターバックと評されるクサノフがステップアップする時は近いか。ウズベキスタンにとっては特別な才能であり、アジアトップクラスのDFとの評価を手にすることになるかもしれない。 構成／ザ・ワールド編集部,[],[]
豪州にとって特別な才能も、バイエルンでは出番なく　18歳の逸材イランクンダの成長プランはどうなる「毎週U-23でプレイしているわけには」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/9c795c9a31d66a1fe2e0875c12107066e3cad917,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010019-theworldw-000-1-view.jpg?exp=10800,2024-12-22T22:10:49+09:00,2024-12-22T22:10:49+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,880,レンタル移籍で経験を積むのがベターか オーストラリア期待のイランクンダ photo/Getty Images オーストラリアサッカー界の大きな期待を背負っている選手の1人が、今夏ドイツの名門バイエルンと契約を結んだ18歳のFWネストリ・イランクンダだ。 母国オーストラリアのアデレード・ユナイテッドで結果を出してきたイランクンダは、すでにA代表デビューも果たしている。バイエルンとの契約はオーストラリアサッカー界にとって特別なニュースだ。 しかし、重要なのはここからの成長プランだ。18歳のイランクンダがバイエルンでポジションを確保するのは難しく、まだトップチームではプレイ出来ていない。現在はセカンドチームで腕を磨いている最中だ。 バイエルンに残る限りは当面この状況が続くと予想されるが、英『Daily Mail』はすでにイランクンダがレンタル移籍を希望していると取り上げている。その可能性をクラブ側とも話し合っているようで、イランクンダはもう少し高いレベルでプレイしたいようだ。 「もちろんクラブと話をしている。トップレベルの1部リーグ、良いクラブでプレイしたいんだ。（レンタル移籍については）僕にとってその方が良いと思う。プレイしないといけない。毎週U-23でプレイしているわけにはいかない」 オーストラリアは2026ワールドカップ・アジア最終予選でギリギリの戦いを強いられているが、11月の2連戦でイランクンダはメンバーに入らなかった。これはバイエルンでの生活に集中した方が良いとの判断からだ。現在もセカンドチームでプレイする状況が続いていることを考えると、イランクンダを代表に加えるのは難しいかもしれない。ワールドカップへ貴重な戦力だけに、オーストラリアとしてはジレンマもあるだろう。 イランクンダもこのままでは2026ワールドカップに出場できない恐れがある。年齢的に焦る必要はないが、2026年大会にこだわるならばクラブでの継続的なアピールは欠かせない。バイエルンに留まり続けるよりは、他クラブで出場機会を探る方が賢明か。 構成／ザ・ワールド編集部,[],[]
田中碧所属のリーズはプレミアに上がってくる？　現在は2位だが解説者は「リーズがチャンピオンシップで最高のチーム」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/3d6943e1059419b815b8dcba406c3254a1671f2e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010018-theworldw-000-1-view.jpg?exp=10800,2024-12-22T21:10:50+09:00,2024-12-22T21:10:50+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,828,最終的には首位シェフィールドを抜くか リーズは順調に勝ち点を重ねている photo/Getty Images 21日に行われたプレミア・チャンピオンシップ（イングランド2部）第22節にて、日本代表MF田中碧の所属するリーズ・ユナイテッドはホームでオックスフォードを4-0と一蹴。田中もフル出場を果たしていて、文句のつけようのない結果だ。 今節は首位を走るシェフィールド・ユナイテッドもカーディフを2-0で撃破しているため、現時点でリーズは勝ち点45で2位、首位はシェフィールドで勝ち点48だ。今のところはシェフィールドがリードしているが、英『sky Sport』で解説を務めるドン・グッドマン氏はリーズこそイングランド2部最強のクラブと主張する。今後どこかのタイミングでシェフィールドを追い抜くとの意見だ。 「リーズがチャンピオンシップで最高のチームだよ。彼らはリーグでも最高の選手たちを抱えている。もちろんそれだけで全てのゲームに勝てるというわけではないけどね。リーズの場合はアウェイゲームで少々苦戦していて、直近7試合で1勝しかしていない。彼らの実力を考えれば、これは驚くべき成績だ。まだ改善の余地はあるが、リーズは負傷者が復帰すれば良くなるだろう。今後のスケジュールも5試合中4試合は下位チームとの対戦で、良い状況だ。彼らが上位2チームに入らないはずはない。今はシェフィールドが首位だが、リーズがトップにならなかったら驚くね」 英『Football League World』によると、過去15シーズンのイングランド2部にて最初の20試合で勝ち点40超えを達成したチームが昇格を逃したケースは僅か2チームのみ。シェフィールドとリーズはそれを達成していて、昇格を勝ち取れる可能性は高い。 まだ油断は禁物だが、リーズが良い位置にいるのは確かだ。田中にとっても1年でのプレミア昇格は理想的な展開で、ここまでの戦いは順調そのものだ。 構成／ザ・ワールド編集部,[],[]
ドイツのレジェンドFWクローゼの下でギリシャの若き点取り屋が覚醒中　ニュルンベルクで育つ18歳の逸材「クローゼは僕がここにいる理由」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/292d948c5c4ce51dc735ae7c9deda8c64ba6231a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010017-theworldw-000-1-view.jpg?exp=10800,2024-12-22T20:21:09+09:00,2024-12-22T20:21:09+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,937,ギリシャの未来のエース ニュルンベルクで活躍するツィマス photo/Getty Images 現在ドイツ・ブンデスリーガ2部で戦っているニュルンベルクを指揮するのは、元ドイツ代表のレジェンドFWミロスラフ・クローゼだ。今季よりチームを指揮しており、本格的にドイツ国内での指導者キャリアがスタートしている。 そのチームでは、クローゼの指導を受けて成長を続ける若手ストライカーがいる。U-21ギリシャ代表でもプレイする18歳のFWステファノス・ツィマスだ。 今夏にギリシャの名門PAOKからのレンタルでニュルンベルクに加入したツィマスは、ここまでリーグ戦14試合に出場して8ゴール2アシストとブレイク。市場価値も1000万ユーロまでアップしていて、前半戦で注目度はかなり高まった。 ニュルンベルクはツィマスの買取オプションも有しているが、他クラブも熱視線を送っているという。今のところツィマスはそうした噂に関心がないようで、ニュルンベルクでの仕事に集中していると語る。しかしこのペースでネットを揺らし続けるならば、人気はさらに拡大していくことだろう。 「将来については分からない。噂を全部見ているわけではないからね。ここでの集中を失いたくないから、あまり考えたくないね。今が幸せで、ニュルンベルクでのことに集中している」 「ドイツのサッカーはギリシャよりもはるかにフィジカル的で、レベルが高い。何よりの驚きは素晴らしい雰囲気だ。ニュルンベルクでも5万人のサポーターが集まってくれるし、これほど多くの人の前でプレイするのは初めてなんだよ。ハンブルガーSV戦は5万7000人だったし、ケルンでも5万人だった。後半戦ではヘルタ、シャルケと戦うし、雰囲気を楽しみたいね」 「監督のクローゼは僕がここにいる大きな理由だよ。僕は今多くのことを違った見方で見ている。どう動けばいいのか、どのように考えるべきか、全く別の選手だよ」（独『Kicker』より）。 ドイツを代表する点取り屋だったクローゼにとって、FWの育成こそ腕の見せ所だ。ツィマスの育成プランは想像以上の成果と言えそうで、186cmのサイズを誇る本格派センターフォワードとしてツィマスの今後が楽しみだ。 構成／ザ・ワールド編集部,[],[]
「もし不可能なら夏まで待つことになる」　シティは冬の移籍市場でギマランイスとスビメンディを獲得する予定はないと英紙報道（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/48c62ecaef3ec4ad62d6aff96e08a2981095cf07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010016-theworldw-000-1-view.jpg?exp=10800,2024-12-22T18:30:24+09:00,2024-12-22T18:30:24+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,789,夏以上に冬の市場は難しい マンチェスター・シティのペップ・グアルディオラ photo/Getty Images プレミアリーグ第17節でアストン・ヴィラに敗れ、6位に後退したマンチェスター・シティ。今季好調のアストン・ヴィラに攻守両面で圧倒されてしまい、終盤にフィル・フォーデンのゴールで1点を返すのがやっとの状態だった。 この厳しい状況を脱するためには、冬の移籍市場での大型補強が必要になるが、基本的にこれまでのシティは冬の移籍市場でほとんど動かないチームとして知られている。唯一の例外は17-18シーズンだ。アスレティック・ビルバオから5700万ポンドでアイメリック・ラポルトを獲得している。 『Manchester Evening News』では指揮官であるペップ・グアルディオラ監督が、冬のマーケットで動かない理由を語っている。 「（大型補強を行うことは）そう簡単ではない。チームは選手を売らないんだ。彼らは売りたくないし、（そこで獲得しようとすると）選手の移籍金は高くなりすぎる」 「（冬の移籍市場で動いたのは）7年前のラポルトくらいかな。でも今季は特別だ」 「何が可能かどうか、見極める必要がある。もし不可能なら夏まで待つことになる。シーズンをどう終えるか、選手たちがどうプレイするか。休暇が短いことを承知で話し合い、見極めるつもりだ」 シティは過去の例からわかるように選手の価値以上の金額を支払うことを嫌うクラブだ。そのため夏以上に必要な移籍金が跳ね上がる冬の移籍市場は、彼らのポリシーからすると動かないのは当然だが、今季は状況が状況だけに動くしかない。 しかし、今冬の移籍市場で獲得が有力視されているニューカッスルのブルーノ・ギマランイスとレアル・ソシエダのマルティン・スビメンディを獲得する予定は現時点でないと同メディアは報じている。 構成／ザ・ワールド編集部,[],[]
チェルシーで出場機会減少中のフランス代表DFディサシは今冬残留へ　退団の噂もマレスカ監督が残留を希望と報道（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/0aba268fc114ae8fb607bcaf2629ef2d27ff8f09,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010015-theworldw-000-1-view.jpg?exp=10800,2024-12-22T18:10:10+09:00,2024-12-22T18:10:10+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,659,主力DFの離脱も要因か チェルシーで活躍するディサシ photo/Getty images チェルシーでプレイするフランス代表DFは去就が注目されている。 ジャーナリストのニザール・キンセラ氏によると、今冬の移籍市場で退団が噂されていたチェルシーに所属する26歳のフランス代表DFアクセル・ディサシはクラブに残留するという。 【動画】雄叫びを挙げる！ ディサシがECLで見せた気迫のスライディング 2023年8月にASモナコから4500万ユーロの移籍金でチェルシーに完全移籍を果たしたディサシ。デビューシーズンとなった昨季はマウリシオ・ポチェッティーノ前監督の元でプレミアリーグ29試合に先発出場し、2ゴールを記録するなど主力として活躍。しかし、今季から新たに指揮官に就任したエンツォ・マレスカ監督の下では定位置確保に苦しんでおり、ここまではプレミアリーグの先発出場がわずかに2試合と出場機会が限定的に。今冬の移籍市場での退団も噂されるなど去就が注目されていた。 そんなディサシだがクラブに残留する模様。同氏によると、チェルシーは今冬ディサシを売却する予定はなく、ディサシ自身もチェルシーでの生活に満足しているとのこと。またフランス代表DFウェズレイ・フォファナとDFブノワ・バディアシルの負傷離脱を受けて指揮官のマレスカ監督もディサシの残留を望んでいるようだ。 現在はバックアッパーに徹する形になっているディサシだが、今後定位置を確保することはできるのだろうか。今後の活躍から目が離せない。 構成/ザ・ワールド編集部,[],[]
今季限りでエヴァートンと契約満了を迎えるFWカルヴァート・ルーウィンは今冬争奪戦が濃厚に　モナコやACミランに続きフィオレンティーナも獲得レースに参加と報道（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/98c14e1b17d1d323098c95a98bf1900ce8844873,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010014-theworldw-000-1-view.jpg?exp=10800,2024-12-22T18:01:55+09:00,2024-12-22T18:01:55+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,616,空中戦を得意とするストライカー エヴァートンで活躍するカルヴァート・ルーウィン photo/Getty images エヴァートンで躍動するイングランド代表FWは去就が注目されている。 ジャーナリストのジャンルカ・ディ・マルツォ氏によると、エヴァートンに所属する27歳のイングランド代表FWドニミク・カルヴァート・ルーウィンは今冬の移籍市場で争奪戦が予想されるという。 【動画】乱入した子供にユニフォームをプレゼントするカルヴァート・ルーウィン シェフィールド・ユナイテッドの下部組織出身のカルヴァート・ルーウィンは2016年8月にエヴァートンに完全移籍を果たすと、加入後はここまで公式戦通算262試合に出場し、70ゴールを記録。今季もプレミアリーグ14試合に先発出場し、2ゴール1アシストを記録するなど主力として活躍している。 そんなカルヴァート・ルーウィンに今冬退団の可能性が浮上。同氏によると、カルヴァート・ルーウィンには現在モナコやACミランが獲得に興味を示しており、その獲得レースにフィオレンティーナも参加したとのこと。今季限りでエヴァートンと契約満了を迎えるカルヴァート・ルーウィンには現在欧州各クラブが関心を寄せているようだ。 長らくプレミアリーグで活躍し続けてきたカルヴァート・ルーウィンだが、果たして今冬プレミアリーグの舞台から降りることを決断するのだろうか。今後の動向から目が離せない。 構成/ザ・ワールド編集部,[],[]
ペップはアカデミーを信用していない？　マカティー筆頭に出番のない若手たち（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/62f2f3ec04f7aee6217064bde9ff9103cab6a3d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010013-theworldw-000-1-view.jpg?exp=10800,2024-12-22T17:30:23+09:00,2024-12-22T17:30:23+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,745,怪我人が続出している最終ラインであればチャンスはあるか マンチェスター・シティに復帰も出番のないマカティー photo/Getty Images プレミアリーグ第17節で、アストン・ヴィラと対戦したマンチェスター・シティ。この試合でもゲームをコントロールすることができず、終盤にフィル・フォーデンのゴールで反撃の狼煙を挙げたが、そこから追い付くには時間が足りず、2-1で黒星を喫した。これで直近12試合で9敗目となっており、プレミアリーグでも6位に後退している。 セクシーな彼女が好調の要因？ ラブ・アイランド出演美女とラッシュフォードが交際中 第14節で今季好調のノッティンガム・フォレストを3-0で下したシティだが、そこから再び勝てない負のループに陥っている。直近3試合はすべて敗れており、冬の移籍市場で血の入れ替えを行わない限り状況は好転しそうにない。 『Daily mail』では、この危機的状況を脱するために、若いエネルギーをピッチに導入すべきだと主張している。 チェルシーのコール・パーマーや第17節で対戦したアストン・ヴィラのモーガン・ロジャースのようにシティユースからは毎年のように優秀な若手が輩出されている。現在のスカッドではジェイムズ・マカティーやニコ・オライリー、最終ラインではジャフマイ・シンプソン・ピュゼー、ケイデン・ブレイスウェイトらがアカデミー出身者だ。 しかし、ペップ・グアルディオラ監督は今季ほとんど若手を起用しておらず、シェフィールド・ユナイテッドでの2年間の武者修行を終え、トップチームに合流したマカティーは、今季のプレミアで未だ2分しかピッチに立つことができていない。これは他の3人も同様で、まだ信用は得られていないようだ。 構成／ザ・ワールド編集部,[],[]
今季で契約切れるマグワイアにナポリ含めた3クラブが興味も……　ユナイテッドは8000万ポンドで獲得したDFとの新契約締結に前向きな姿勢示す（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/d504a2dcff9a0d1a577aefd8bd87fd5de792ef43,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010012-theworldw-000-1-view.jpg?exp=10800,2024-12-22T16:30:31+09:00,2024-12-22T16:30:31+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,668,マンチェスター・ダービーでフル出場を果たした ユナイテッドとの契約最終年を迎えているマグワイア photo/Getty Images 15-16シーズンにプレミアリーグを制した「ミラクル・レスター」後のレスターで頭角を表し、2019年に8000万ポンドの移籍金でマンチェスター・ユナイテッドに引き抜かれたハリー・マグワイア。194cmとサイズのある選手で、大きな期待を寄せられ、マンチェスターにやってきた。しかし、思うようなパフォーマンスは披露できず、契約は今季限りで満了となる予定だ。 セクシーな彼女が好調の要因？ ラブ・アイランド出演美女とラッシュフォードが交際中 しかし、『The Athletic』によると、マグワイアは現在の契約を1年間延長できるオプションを持っており、ユナイテッドも新契約を結ぶことに前向きな姿勢を示しているという。ルベン・アモリム体制では途中出場が主であるものの、出場機会を得ており、マンチェスター・シティとのダービーでは、フルタイム出場を果たして勝利に貢献している。 同メディアによると、セリエAのナポリとトルコのフェネルバフチェ、ガラタサライがマグワイアの獲得を検討しているようだ。 ナポリは今夏ユナイテッドのスコット・マクトミネイを獲得して見事主力に定着させており、指揮官であるアントニオ・コンテはプレミアリーグの選手を獲得したい考えがあるという。 フェネルバフチェの指揮官はジョゼ・モウリーニョで、過去にユナイテッドの監督を務めており、その際にマグワイアの指導経験がある。 構成／ザ・ワールド編集部,[],[]
獲得した勝ち点はわずか「4」　直近2か月のマンチェスター・シティの戦績は”プレミアリーグ最下位レベル”（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/866a8fc01ef4818785b6f184226b62f8e89d1e15,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241222-00010011-theworldw-000-1-view.jpg?exp=10800,2024-12-22T15:30:02+09:00,2024-12-22T15:30:02+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,653,アストン・ヴィラに敗れたシティ アストン・ヴィラに敗れたマンチェスター・シティ photo/Getty Images 24-25シーズンのマンチェスター・シティのプレミアリーグは、チェルシーとのビッグマッチでスタートを切った。そこから第4節まで連勝を続け、第5節アーセナル戦、第6節ニューカッスル戦ではドローに終わるも無敗を継続し、そこからの3試合では再び連勝と、例年通りの強さを見せていた。 ［動画］プレミアリーグ王者が完敗。マンチェスター・シティはリーグ6敗目 しかし、第10節ボーンマス戦で初の黒星を喫すると、そこから一気に調子を落とし、直近第17節アストン・ヴィラ戦までの8試合でわずか4ポイントしか挙げることができていない。 『Transfermarkt』の集計によると、11月からの2か月間で獲得した勝ち点が最も少ないのはシティと現在最下位のサウサンプトンの2クラブだという。その勝ち点は4ポイントで、サウサンプトンはシティよりも消化試合が1試合少ないため、今夜のフラム戦で1ポイント以上獲得できれば、ここ8試合でシティが最も獲得した勝ち点が少ないチームとなる。 序盤戦の貯金があり、現時点で6位と何とか耐えることに成功しているシティだが、そろそろ白星を挙げなければ、ボトムハーフに落ちても何ら不思議ではない成績だ。アストン・ヴィラ戦ではウナイ・エメリ監督率いるチームに、攻守両面で圧倒されており、ペップ・グアルディオラ監督はこの状況を打破することができるのだろうか。 構成／ザ・ワールド編集部,[],[]
