headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【韓国】ロッテバイオ、米で松島工場の計画発表（NNA）,https://news.yahoo.co.jp/articles/c5a8af4305f30e4a875e4f68b39504303f1c3b97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000011-nna_kyodo-000-1-view.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T11:30:54+09:00,NNA,nna,NNA,723,\n米サンフランシスコで開かれている「ＪＰモルガン・ヘルスケア・カンファレンス」で、仁川・松島でのバイオプラント計画を発表するロッテバイオロジクスのイ・ウォンジク社長（ロッテバイオロジクス提供）\n韓国ロッテグループで医薬品事業を手がけるロッテバイオロジクスのイ・ウォンジク社長は９日（現地時間）、米サンフランシスコで開催中のバイオ業界の投資家向けシンポジウム「ＪＰモルガン・ヘルスケア・カンファレンス」に参加して、「仁川・松島バイオプラントの構成計画」をテーマに発表を行った。\n\n 同社は松島国際都市に３つのメガプラントを設立する予定で、第１工場は年内に着工して25年の完工を目指す。ユーザーエクスペリエンスをベースとした技術を活用して、最適な運営により顧客の需要を満たしていく方針だ。\n\n ロッテバイオロジクスは22年には米医薬品会社ブリストル・マイヤーズスクイブ（ＢＭＳ）のシラキュース工場（米ニューヨーク州）を買収しており、イ社長は「国内と米国の生産拠点を活用する柔軟性がある」と強調した。\n\n イ社長はまた、「患者に必要な医薬品を適材適所に供給するグローバルなバイオ医薬品の受託製造開発（ＣＤＭＯ）企業としての飛躍を目指す」と抱負を述べた。\n\n ■人材確保にも注力\n\n 専門人材の育成など、人材の確保にも力を入れる。米シラキュース大学や韓国ポリテク大学などと戦略的パートナーシップを結んで、産学連携プログラムや採用プログラムを通じて優秀な人材を確保・養成する。\n\n 30年に第３工場が完工すれば、松島バイオプラントの抗体医薬品生産規模は年36万リットルに達する。これに米国工場を合わせると年40万リットルとなる。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000011-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/c5a8af4305f30e4a875e4f68b39504303f1c3b97/images/000']
【カンボジア】アンコール遺跡外国人入場数、23年は2.8倍（NNA）,https://news.yahoo.co.jp/articles/0b9e910bb929f427232c7b55aff941a14cdaf812,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T11:30:54+09:00,NNA,nna,NNA,449,"\nカンボジア有数の観光地で、北西部シエムレアプ州にあるアンコール遺跡群の2023年の外国人入場者数は前年比2.8倍の79万8,069人、入場料収入は同3.2倍の3,720万米ドル（約53億8,400万円）だった。プノンペンポスト（電子版）が１日報じた。\n\n 同遺跡群などのチケット販売を管理する国営アンコール・エンタープライズが１日発表した。北部プレアビヒア州にあるコーケー遺跡の外国人入場者数は１万4,806人、入場料収入は22万米ドルだった。\n\n カンボジア旅行代理店協会（ＣＡＴＡ）のチャイ・シブリン会長は、最近の外国人旅行者の増加は、新型コロナウイルス感染症への懸念が低下したこと、航空直行便の増加、インベント開催、観光プロモーションが要因だと指摘した。\n\n 22年のアンコール・エンタープライズの収入は1,178万米ドルとなった。\n\n カンボジアを訪れた外国人旅行者数が660万人となり最多を記録した19年のアンコール・エンタープライズの収入は8,070万米ドルだった。",[],[]
【英国】住商、水道ＳＥＳウオーターをペノンに売却（NNA）,https://news.yahoo.co.jp/articles/e71d74a39f60cf49709f18a1618d1fb16740453d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-11T11:45:25+09:00,2024-01-11T11:45:25+09:00,NNA,nna,NNA,404,"\n住友商事は10日、上水道事業を手がける大阪ガスとの合弁会社、英サットン・アンド・イースト・サリー・ウオーター（ＳＥＳＷ）をイングランド南西部で同業を展開するペノン・グループに売却したと発表した。インフラの老朽化によって投資の必要に迫られており、住商の事業ポートフォリオ見直しの対象となった。\n\n 大阪ガスの持ち分を含む全株式をペノンに譲渡した。住商は売却額を公表していないが、報道によるとペノンの買収額は３億8,000万ポンドとみられる。\n\n ＳＥＳＷを巡っては2022年７月にウェスト・サセックス州で水道管が破裂し、同州にあるガトウィック空港で飲食店やトイレが丸１日利用不可能となった。23年には環境庁の調査で下水の不法処理が発覚し、罰金を科された。\n\n ＳＥＳＷは、ロンドン南東部約835万平方キロメートルの27万世帯、約75万人に水を供給している。従業員は約340人。［日本企業の動向］",[],[]
【ドイツ】独鉄道運転士、全国スト突入　長距離列車など運休＝12日夜まで（NNA）,https://news.yahoo.co.jp/articles/cd48278c9abee48183725c4a08ea2f5e71f9bd73,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-11T11:45:25+09:00,2024-01-11T11:45:25+09:00,NNA,nna,NNA,585,"\nドイツの鉄道運転士労組ＧＤＬは10日未明、３日間の全国的なストライキを開始した。ドイツ鉄道（ＤＢ）との団体交渉に進展が見られないためで、長距離列車や地域列車の大半が運休となる見込み。数十万人に影響が出る見通しで、ＤＢは不要不急の利用を控えるよう呼びかけている。\n\n ストは10日午前２時（現地時間）から12日午後６時まで実施される。長距離列車は通常ダイヤの約２割で運行し、地域列車も大幅な間引き運転となる。貨物列車の運転士はこれに先立ち、９日夕方からストに突入している。\n\n ＧＤＬは、インフレ手当3,000ユーロのほか、少なくとも月額555ユーロの昇給、労働時間の週38時間から35時間への短縮などを要求している。ＤＢはＧＤＬ対し、「全ての要求が通らなければストに踏み切るというのは、賃金交渉のやり方ではない」と非難。交渉の継続や条件の妥協を訴えている。\n\n ＤＢは先に、フランクフルト労働裁判所にスト差し止めの仮処分を申し立てていた。同裁が９日にストを容認する決定を下したため、ＧＤＬはストに突入した。\n\n ドイツでは８～12日にかけて、農業生産者による全国的な抗議活動も行わている。政府が発表した農業生産者向け燃料補助の段階的な縮小に反発し、各地の高速道路をトラクターで閉鎖。ＧＤＬのストと併せて、国内の交通網に大きな混乱が生じている。［労務］",[],[]
【タイ】日本食店数が右肩上がり、23年は5751店に（NNA）,https://news.yahoo.co.jp/articles/d6a28b2a6fd1656ac740d2e953c21120ae7590a1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000006-nna_kyodo-000-2-view.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T15:15:42+09:00,NNA,nna,NNA,1584,"\nタイの首都バンコクにあるカフェ風のとんかつ・トンテキ専門店。店舗増加に伴い日本食店は多様化が進んでいる＝10日（ＮＮＡ撮影）\n日本貿易振興機構（ジェトロ）バンコク事務所は10日、タイで営業する日本食レストランの数が2023年に5,751店舗に増えたと発表した。22年の5,325店舗から426店舗・８％増えた。ジェトロが07年にタイの日本食レストラン数の調査を開始して以降、店舗数は右肩上がりに増え続けている。23年は特に焼き肉、ラーメン、居酒屋、すき焼き・しゃぶしゃぶを提供する店の増加が目立った。\n\n タイの日本食レストランの数を５年前と比較すると、18年の3,004店舗から91.4％増加した。地域別では首都バンコクが8.7％増の2,602店舗と最も多く、全体の45％を占めた。バンコク近郊５県が8.4％増の850店店舗、その他の地方が7.1％増の2,299店舗となった。\n\n ■増加に伴い多様化\n\n 業種別でみると◇ラーメン：21.3％増の741店舗◇すき焼き・しゃぶしゃぶ：17.4％増の453店舗◇居酒屋：18.4％増の437店舗◇焼き肉：22.3％増の417店――の４業種の増加が目立った。\n\n 一方、最も多いすし店は減少数が増加数を上回り、4.1％減の1,372店舗となった。すし店に次いで多い日本食店は6.4％増の1,354店舗。\n\n ジェトロバンコク事務所の黒田淳一郎所長は「すし・日本食に次ぐ第２集団の増加が顕著で、（店舗数の増加に伴い）日本食が多様化している」と指摘した。すし店の数を地域別でみると、バンコクでは20店舗増え489店舗となったものの、近郊５県とその他の地方で計76店舗減った。黒田氏は、近年店舗数が急増したことによる「競争激化が主な原因」との見方を示した。\n\n 日本食レストランの客単価は、100バーツ（約413円）以下が691店舗（全体の12.0％）、101～250バーツが2,040店舗（35.5％）、251～500バーツが1,333店舗（23.2％）、501～1,000バーツが690店舗（12.0％）などとなった。業種別でみると、焼き肉、居酒屋、すき焼き・しゃぶしゃぶで客単価が251バーツを上回る店が多い傾向が見られた。\n\n 店舗数の調査は23年８月から10月にかけて行われた。客席のないデリバリー専門店は含まれていない。\n\n ■国・地域別では６位\n\n 日本食レストランの数を国・地域別（23年10月時点）でみると、タイは中国（７万8,760店舗）や米国（２万6,040店舗）、韓国（１万8,210店舗）などに続く６位となっている。人口比で見た場合は米国と同等で４位。\n\n 他国・地域の人口比の店舗数を踏まえ黒田氏は、タイの日本食レストランは「もう少し増える余地がある」と期待感を示した。\n\n ジェトロバンコク農林水産・食品部の谷口裕基ディレクターによると、同事務所は日本の複数の飲食チェーンから、タイ進出に関する相談を受けている。業種としてはカレー、ラーメン、天ぷらなどのチェーンだという。\n\n ■地方で食品売り込み強化\n\n タイの地方都市でも日本食レストラン数が増え続けていることから、ジェトロは地方都市に向けた日本の農林水産物、食品の売り込みを強化している。\n\n 本年度（23年４月～24年３月）にはジェトロバンコク事務所として初めて、バンコク以外の地方で売り込みイベントを開催。北部チェンマイや北東部コンケンで現地のバイヤーを対象とした商談会を実施し、ホタテやウニなどの水産物、牛肉などを売り込んだ。\n\n 農林水産・食品部によると、特にチェンマイの商談会が盛況。日本食レストランのさらなる増加や日本食材の利用拡大に期待が持てる結果だったという。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000006-nna_kyodo-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/d6a28b2a6fd1656ac740d2e953c21120ae7590a1/images/000']
【マレーシア】23年11月の失業率3.3％、５カ月ぶり改善（NNA）,https://news.yahoo.co.jp/articles/4fcbbef9dbc620e508d618f974518b504244d1bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000004-nna_kyodo-000-1-view.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T11:30:54+09:00,NNA,nna,NNA,368,"\n写真:NNA\nマレーシア統計局が10日発表した労働力統計で、2023年11月の失業率（速報値）は3.3％だった。同６月以降3.4％にとどまっていたが、５カ月ぶりに改善した。\n\n 求職中の人を含む労働力人口は前月比0.2％増の1,700万人。就業者数は0.2％増の1,643万人で、失業者数は0.3％減の56万9,200人だった。失業者数は、前年同月比では5.3％減少した。\n\n 生産年齢人口（15～64歳）に占める労働力人口の割合を示す労働力率は、前月から横ばいの70.1％。主婦や学生などの非労働力人口は0.03％減の724万人で、前年同月比では0.004％減少した。\n\n 統計局によると、11月は情報通信（ＩＴ）、飲食、物流・倉庫業といったサービス業で就業者が増加。製造業、建設業、鉱業でも就業者の増加がみられた。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000004-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/4fcbbef9dbc620e508d618f974518b504244d1bc/images/000']
【シンガポール】シンガポール海峡の海賊、８年ぶり高水準（NNA）,https://news.yahoo.co.jp/articles/b9f101c2dc07cf8decffe96ade6d0832fe81219a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T11:30:54+09:00,NNA,nna,NNA,366,\nシンガポール海峡で発生した2023年の海賊事件は58件だったことが、シンガポールに拠点を置くアジア海賊対策地域協力協定・情報共有センター（ＲｅＣＡＡＰ―ＩＳＣ）の報告書で明らかになった。22年の55件から３件増加。15年以来８年ぶりの高水準で、19年から増加傾向にある。\n\n 時間帯は夜間に集中した。区域別では、国際規則により分離通航方式（ＴＳＳ）が適用されている東行きレーンが40件と多かった。警戒区域では11件、西行きレーンでは６件、ＴＳＳ以外では１件だった。\n\n アジア全体の23年の海賊事件は100件（未遂１件を含む）で、22年から19％増加。うち６割がカテゴリー４（非武装の１～３人ほどによる犯行で乗組員の被害がない事案）に該当した。前年に引き続き、アジア全体の海賊事件数の６割強がシンガポール海峡で発生した。,[],[]
【台湾】総統選の有権者は1955万人、直轄６市が７割（NNA）,https://news.yahoo.co.jp/articles/cd0a5c836185c5cf2c5c22d6cf153a35e71ae9f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T11:30:54+09:00,NNA,nna,NNA,400,"\n台湾の中央選挙委員会（中選会）は９日、13日に行われる台湾総統選の有権者数を1,954万8,531人と発表した。このうち台北、新北、桃園、台中、台南、高雄の行政院（内閣）直轄６市が約７割を占めている。\n\n 有権者数が最も多いのは新北市で、340万2,064人に上る。これに台中市232万8,896人、高雄市231万2,303人、台北市209万62人が続いた。桃園市は188万2,592人、台南市は156万7,432人となっている。\n\n 年代別では、40～49歳が388万5,393人で、全体の19.9％を占めて最多だった。次いで50～59歳が353万1,252人（18.1％）で続いた。20～29歳は284万9,229人（14.6％）となっている。\n\n 総統選と同時実施される立法委員（国会議員）選挙の比例代表の有権者は1,956万6,007人、選挙区の有権者は1,903万770人。",[],[]
【フィリピン】ＦＤＩ純流入、10月は30％減（NNA）,https://news.yahoo.co.jp/articles/6462af32e924d927b47750af6eba7ed805749849,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000008-nna_kyodo-000-1-view.jpg?exp=10800,2024-01-11T11:30:54+09:00,2024-01-11T11:30:54+09:00,NNA,nna,NNA,430,"\n写真:NNA\nフィリピン中央銀行は10日、2023年10月の海外直接投資（ＦＤＩ）の純流入額（速報値）が前年同月比29.6％減の６億5,500万米ドル（約950億円）だったと発表した。増減率は３カ月連続でマイナスとなった。\n\n 国・地域別では日本、米国、シンガポールからの投資が多かった。産業別では製造が54％を占め最も多かった。不動産が18％、金融・保険が15％と続いた。\n\n ＦＤＩ純流入額のうち、親会社とフィリピン子会社間の融資などを示す負債性資本は26.1％減の５億400万米ドルだった。収益の再投資は10.3％減の7,600万米ドルとなった。\n\n 収益の再投資を除く株式資本の純流入額は54.4％減の7,400万米ドルだった。株式資本の流出額は50.9％増の2,700万米ドルだった。\n\n １～10月累計のＦＤＩ純流入額は、前年同期比17.5％減の65億3,300万米ドルだった。増減率は１年４カ月にわたりマイナスが続いている。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000008-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/6462af32e924d927b47750af6eba7ed805749849/images/000']
【アジア】【みんなのお土産】 定番「ばらまき用」調査（中）　王道のアジア土産を発表（NNA）,https://news.yahoo.co.jp/articles/fffeba51e466531318b2b52054def7284fca8793,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000020-nna_kyodo-000-1-view.jpg?exp=10800,2024-01-11T11:30:53+09:00,2024-01-11T11:30:53+09:00,NNA,nna,NNA,4869,"\nイラスト：イケウチリリー\n海外の出張や赴任先から帰国する際、ビジネスパーソンとして欠かせない「ばらまき用」の土産品。職場や取引先にどんなものを購入しているのか調査した。アジア各地の銘品を一挙紹介する。\n\n 【調査概要】\n\n 対象：日本とアジア各地在住のＮＮＡの有料契約者およびアジア関連の仕事などに携わるビジネスパーソン（中国、香港、ベトナム在住者は除く）\n\n 期間：2023年10月18～31日\n\n 方法：ウェブアンケート\n\n 回答者数：146人。在住地は日本18人、台湾10人、韓国９人、タイ31人、ラオス１人、マレーシア13人、シンガポール６人、インドネシア31人、フィリピン７人、インド17人、その他３人\n\n 内訳：男性88％、女性12％。年代は20代３％、30代10％、40代24％、50代43％、60代18％、他２％\n\n ──────────────────────────────\n\n ■人気はコーヒー・茶葉類、乾燥フルーツも万人受け\n\n アジア各地からの出張、そして赴任先からの帰国の際、職場や取引先で何気に期待されるのが現地のお土産。自身の印象を左右しかねないだけに、センスを感じるものを選びたいところ。そこでＮＮＡではビジネスパーソンらを対象にアンケートを実施し、アジア土産のお薦め品について尋ねた。\n\n 日本からアジア各地へのお土産を尋ねた前回の「日本編」とは異なり、定番カテゴリーは「コーヒー、茶葉」（62人）が１位に。地域としてコーヒーはインドネシア、茶葉は中国、マレーシア、シンガポール、インドで特に人気を集めた。\n\n 「洋菓子」（56人）はチョコレートやパイナップルケーキ、「郷土菓子」（53人）ではドライマンゴーなどが挙がった。以下「食品」38人、「スナック」34人、「雑貨」22人、「美容アイテム」20人、「酒類」７人、「その他」６人、「一般医薬品」３人と続く。「渡して喜ばれると思われるものが全く見当たらない」50代男といった理由で「購入しない」も６人いた。\n\n ■「その国らしさ」重視、珍しく喜ばれるものを\n\n 土産で重視するポイントは「国・地域らしさがある」（80人）が１位。輸入品が簡単に手に入る昨今だが「日本では手に入りづらい珍しいものを選びたい」（30代女）、「異国情緒があるものを買っている」（50代男）というように、心を砕いて選んでいる様子がコメントから浮かび上がった。\n\n 以下は、前回の日本編と大きく変わらず「おいしい」59人、「個包装」42人、「コスパ」40人などが続いた。\n\n ──────────────────────────────\n\n ■通が教えてくれたお薦め土産リスト\n\n 「お薦め品」として情報が寄せられたローカル土産を紹介。これでもうお土産迷子は卒業！ ※記載がない限り、価格はメーカー公式サイト掲載の小売価格\n\n ＜中国＞\n\n 広く人気の茶葉は、茶理（CHALI）のようにデザイン性に優れた新興ブランドも増えているので要チェック。レアなお土産としては、珍味として知られる「鳥の足」（60代男）、「白酒（パイチュウ、中国の蒸留酒）」（50代男）といった声も。\n\n ◆CHALI ロンガン・レッド・デーツティー\n\n 品質の良さと、スタイリッシュなパッケージで人気のCHALI。乾燥させたロンガン（竜眼）とナツメ入りのお茶は、甘酸っぱい味が楽しめる。\n\n ＜台湾＞\n\n 焼き菓子「パイナップルケーキ」。さまざまなメーカーから発売されているが「おいしい」と支持を集めたのが台北にある高級洋菓子店「ｂｕｔ. (we love butter)」。タレント指原莉乃が絶賛し、話題になった「マカダミアナッツデーツ」を推す声も。\n\n ◆but. (we love butter) ソウルメート\n\n 最高級品のゴールドダイヤモンドパイナップルを使用したパイナップルケーキ。おしゃれなパッケージも高ポイント。\n\n ◆上信饌玉 マカダミアナッツデーツ\n\n 台北の菓子店「上信饌玉」の人気商品。厳選したマカダミアナッツをデーツで挟んだ逸品。個包装で配りやすい。\n\n ＜韓国＞\n\n 女性向けとして人気のフェースパック。1枚100円程度と手頃なものが多く種類も豊富で「韓国土産の定番に」（60代男）。また、エゴマ油の風味が特徴的な韓国のりも人気。「小箱に入ったものではなく、Ａ４サイズ程度のシートタイプがかさばらなくてよい。値段も手頃」（50代男）\n\n ◆両班 エゴマ油のり\n\n 食品会社ドンウォンＦ＆Ｂの「両班」は、韓国の代表的なのりブランド。香ばしいエゴマ油を使用した大判タイプ。３袋入り（各５枚）で4,980ウォン（約550円）\n\n ＜タイ＞\n\n 人気が高いドライマンゴー。タイ生まれの人気キャラクター・マムアンちゃんがパッケージに描かれたものや、タイ王室財産管理局（ＣＰＢ）傘下のドイカム・フード・プロダクツのものなど、タイらしさがアピールできるものを購入するという声が多かった。\n\n その他は独特の清涼感がくせになるかぎ薬のヤードム（インヘラー）、高級ブランドとして知られる「KARMAKAMET（カルマカメット）」のアロマ製品、「NaRaYa（ナラヤ）」「JIM THOMPSON（ジム・トンプソン）」の布を使った雑貨など。「『コアラのマーチ』マンゴー味や『プリッツ』トムヤンクン味など、日本でおなじみの菓子のタイ限定味は話題になる」（30代女）とのコメントも。\n\n ◆ドイカム・フード・プロダクツ ドライマンゴー\n\n タイ王室が農村部を支援する「王室プロジェクト」の製品。同プロジェクトの食品は品質の良さでも知られ、土産品の定番。\n\n ◆ポイシアン ヤードム\n\n タイ人の必携アイテムとして知られるスティックタイプのかぎ薬。メンソール系の香りを楽しむほか、虫刺されのかゆみ止めとしても使える。\n\n ＜マレーシア＞\n\n チョコレートの人気ブランド「Beryl's（ベリーズ）」。品質にこだわった高級チョコレートは、パッケージも華やか。茶葉の生産が盛んな同地とあり、紅茶の推薦も多数。最大手の「ＢＯＨ（ボー）」の紅茶は「パッケージがかわいい」（40代女）、「特にパッションフルーツ味やマンゴー味をリクエストされる」（50代女）と大好評だった。\n\n 他には、肉骨茶（パクテー）のスパイスバッグ、チキンライスやナシゴレンの素、こしょうといったスパイス系や、カヤジャム、パイナップルケーキ、美肌効果があると口コミで評判のランカウイ島発祥のナマコのせっけんなどが定番。\n\n ◆ベリーズ ティラミス・アーモンド・ミルクチョコレート\n\n 同ブランドの人気品。中にアーモンドが入っていて、濃厚なおいしさが楽しめる。\n\n ◆ＢＯＨ シグニチャーティー\n\n 「ライチ・アンド・ローズ」「ライム・アンド・ジンジャー」など、ブランドを代表する６種類の紅茶がセットに。パッケージもおしゃれで女性受けよし。\n\n ＜シンガポール＞\n\n おいしいクッキーやパイナップルタルトで知られる菓子チェーン店「Bengawan Solo（ブンガワン・ソロ）」のクッキーと、高級紅茶ブランド「ＴＷＧティー」の茶葉。どちらもシンガポール創業で、ローカル感アピールにうってつけ。米日用品大手コルゲート・パルモリーブのホワイトニング効果があるとされる歯磨き粉「オプテックスホワイト」、マレーシアの菓子メーカーのキャンディー「ヒマラヤソルト」も。\n\n ◆ブンガワン・ソロ カシューナッツ・クランキー\n\n 缶入りのカシューナッツクッキー。刻んだナッツがたっぷり入って、上品な味わい。\n\n ◆ＴＷＧティー サマーホリデーアイスティーバッグ\n\n 品質の良さで知られるＴＷＧティー。個包装されたアイスティー用のティーバッグセットは、15種類のテイストが楽しめる。\n\n ＜インドネシア＞\n\n カカオの生産が盛んとあり、チョコレートが人気。ベルギー人がジョクジャカルタで創業した「Monggo（モンゴ）」。他にはトラジャコーヒー、ジャコウネコのフンから採取した未消化のコーヒー豆を使ったルアックコーヒーなどコーヒー類、バリ島発のブランド「YAVA（ヤバ）」のカシューナッツ、サンバルソースなどの調味料など。美容品では「ellips（エリップス）」のヘアオイルが、ばらまきしやすいと大人気。他に「バティック柄の手帳」（40代女）「（スラバヤの洋菓子店Wisata Rasaの）『アーモンド・クリスピー・チーズ』は、また食べたいなど好評だった」（50代男）という声もあった。\n\n ◆モンゴ バティックボックス\n\n ドリアン味など同ブランドを代表する10種類のチョコレートの詰め合わせ。伝統的なろうけつ染めの布「バティック」を模した外箱入り。\n\n ＜フィリピン＞\n\n 人気はドライマンゴー、コーヒー、チョコレートの３品。「７Ｄのドライマンゴーはフィリピン土産の定番」（50代男）。「最近チョコレートのローカルブランドが増えている」（50代男）と挙がったのが「AURO Chocolate（オーロチョコート）」「THEO&PHILO（テオアンドフィロ）」「Malagos chocolate（マラゴス・チョコレート）」。いずれも品質が評価されている新興ブランドだ。ほろほろとした食感が特徴の伝統菓子ポルボロンは「日本でも通用するおいしいクッキーだと思います」（30代男）\n\n ◆７Ｄ ドライマンゴー\n\n セブにあるＦＰＤフードインターナショナル「７Ｄ」は、ドライマンゴーの世界的ブランド。さわやかな酸味と甘さが絶妙。\n\n ＜インド＞\n\n 茶葉の産地とあり、紅茶を推す声が多数。中でも多かったのが首都デリーにある日本人経営の紅茶専門店「ハッピーハンター」と、インドの代表的紅茶ブランド「SAN-CHA TEA BOUTIQUE（サンチャ・ティー・ブティック）」の製品。「Chaayos（チャイヨス）のインスタントチャイが安価だが好評だった」（20代女）との声も。コーヒーは、ハリヤナ州に本拠を置く「Blue Tokai Coffee Rosters（ブルー・トーカイ・コーヒー・ロースターズ）」が人気。「インドらしからぬ品質の良さでパッケージもかわいいので、驚きとともに喜ばれる」（30代男）\n\n 他には「パパド（火であぶって食べる薄焼きせんべい）は日本では抵抗感を持たれがちなインド食品でも、火を通すものなら興味を持つ人もいるので」（50代男）、「ジェネリックが安いのでプラセンタジェルを主に女性向けに」（50代男）、「Himalaya（ヒマラヤ）のハンドクリーム。OLD MONK（オールド・モンク）のラム酒。安くておいしい」（40代男）。「市場で購入したコショウ、マサラパウダー」（60代男）とさまざま。\n\n ◆サンチャ・ティー・ブティック オリジナル・マサラチャイ\n\n 厳選した農園の最高級スパイスを使用したマサラチャイ用。香り高い１杯が楽しめる。\n\n ◆ヒマラヤ・ウェルネス・カンパニー エージディファイングハンドクリーム\n\n ハーブを原料とした医薬品や化粧品の製造・販売を手がける同社。長時間の保湿が期待できる。\n\n ──────────────────────────────\n\n ※「みんなのお土産」は、アジア経済を観るＮＮＡのフリー媒体「ＮＮＡカンパサール」2024年１月号＜https://www.nna.jp/nnakanpasar/＞から転載しています。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240111-00000020-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/fffeba51e466531318b2b52054def7284fca8793/images/000']
