headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「砂川事件」巡る国賠訴訟、元被告らの請求棄却…当時の最高裁長官に違法行為なしと判断（読売新聞オンライン）,https://news.yahoo.co.jp/articles/275645a8b0f628fa129ff31e165e4fb8c072f6ff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050274-yom-000-2-view.jpg?exp=10800,2024-01-15T23:39:47+09:00,2024-01-15T23:40:51+09:00,読売新聞オンライン,yom,読売新聞オンライン,410,\n東京地裁\n１９５７年に東京都砂川町（現・立川市）の米軍基地で起きた「砂川事件」を巡り、最高裁長官が米国側に裁判の見通しを伝えたことで公平な裁判を受ける権利を侵害されたとして、元被告らが国に損害賠償を求めた訴訟の判決で、東京地裁（小池あゆみ裁判長）は１５日、請求を棄却した。\n元被告ら３人は、米軍基地に立ち入ったとして、日米安全保障条約に基づく刑事特別法違反で罰金刑になるなどした。最高裁大法廷で裁判長を務めた田中耕太郎・最高裁長官（当時）が判決前、駐日米大使らに審理の予測などを伝えたとする文書が２００８～１３年に見つかったことから、「裁判情報を漏えいした」として、計約２０万円の慰謝料などを求めて１９年に提訴していた。\nこの日の判決は、長官が大使らとの会話で判決時期の予測などに言及したことが推認されるとしつつ、「評議や判決の内容まで伝えていた事実は認められない」と指摘。長官の行為に違法性はないと判断した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050274-yom-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/275645a8b0f628fa129ff31e165e4fb8c072f6ff/images/000']
トヨタ、２４年の世界生産１０３０万台計画…半導体不足緩和で２年連続で過去最高更新へ（読売新聞オンライン）,https://news.yahoo.co.jp/articles/d2730bf356b79d67f27412a455d0cbd507c404b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050251-yom-000-2-view.jpg?exp=10800,2024-01-15T23:46:34+09:00,2024-01-15T23:47:40+09:00,読売新聞オンライン,yom,読売新聞オンライン,329,\nトヨタ自動車本社（愛知県豊田市で、読売ヘリから）\nトヨタ自動車は、２０２４年の世界生産台数を約１０３０万台と見込む計画をまとめた。実現すれば、２年連続で年間の過去最高の生産台数を更新する。半導体不足の影響が緩和したことを背景に、高い水準の生産が続く見通しだ。\nトヨタ、レクサスの両ブランドの計画で、部品メーカーに対し、人員や設備を確保しやすくするための基準として示す。内訳は国内が約３４０万台、海外が約６９０万台で、電気自動車（ＥＶ）の生産は２５万台程度と見込んだ。\nトヨタの世界生産は１９年の約９０５万台が最高だった。２３年は１１月までに約９２３万台を生産し、すでに１９年を上回っている。２３年の年間では初めて１０００万台を突破する可能性がある。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050251-yom-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/d2730bf356b79d67f27412a455d0cbd507c404b7/images/000']
キヤノンとオリンパス、超音波内視鏡の生産・販売で協業…先進国高齢化で需要増（読売新聞オンライン）,https://news.yahoo.co.jp/articles/f5162e522ef382b5b3ff7eef0cc1f55413eb195a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050232-yom-000-2-view.jpg?exp=10800,2024-01-15T23:27:40+09:00,2024-01-15T23:28:49+09:00,読売新聞オンライン,yom,読売新聞オンライン,496,\nキヤノンとオリンパスの技術を組み合わせた超音波内視鏡の装置（１５日、東京都千代田区で）\n医療機器メーカーのキヤノンメディカルシステムズとオリンパスは１５日、超音波装置をつけた内視鏡の生産や販売で協業すると発表した。両社の技術を生かした製品を開発し、生産や販売の効率化を目指す。\n超音波内視鏡は、早期発見が難しい膵臓（すいぞう）がんの検査などで使われる。キヤノン側が画像診断装置を開発し、オリンパスが自社の超音波内視鏡と組み合わせて販売する。両社による最初の製品は、欧州で３月までに、国内では６月に発売する予定だ。その後、他地域でも販売を進める。\nオリンパスは、消化器向け内視鏡の世界シェア（市場占有率）で７割を占めるが、超音波内視鏡は他社の画像診断装置と組み合わせて使う必要があった。このため、超音波で捉えた患部の画像化技術に強みを持つキヤノンとの協業が有効だと判断した。\n調査会社グローバルインフォメーションによると、２０３０年の超音波内視鏡の世界市場規模は２２億７０００万ドル（約３３００億円）で、２３年比で約６割増える見通しだ。先進国の高齢化などで需要増が見込まれるという。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050232-yom-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/f5162e522ef382b5b3ff7eef0cc1f55413eb195a/images/000']
［深層ＮＥＷＳ］政治刷新本部の安倍派議員に裏金疑惑「本部自体に疑念持たれる」…伊藤惇夫氏（読売新聞オンライン）,https://news.yahoo.co.jp/articles/2c6fce5f11df9e4c6eb9854c3b25315f75815b7b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050314-yom-000-3-view.jpg?exp=10800,2024-01-15T23:53:08+09:00,2024-01-16T00:23:48+09:00,読売新聞オンライン,yom,読売新聞オンライン,255,\n検察庁\n政治アナリストの伊藤惇夫氏と元東京地検特捜部検事の高井康行弁護士が１５日、ＢＳ日テレの「深層ＮＥＷＳ」に出演し、自民党派閥の政治資金パーティーを巡る事件を受けて岸田首相（党総裁）が設置した「政治刷新本部」や特捜部の捜査の見通しを議論した。\n伊藤氏は安倍派から同本部に入った１０人中９人に裏金化の疑いがあることについて、「本部自体が疑念を持たれる存在になりつつある」と指摘。高井氏は２６日の通常国会召集が捜査の区切りになるとし、「地検が上級庁と協議し、検察としての意見作りに入るだろう」と話した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050314-yom-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/2c6fce5f11df9e4c6eb9854c3b25315f75815b7b/images/000']
株価向上の取り組み、東証プライム４０％「開示済み」…市場活性化狙い毎月公表の方針（読売新聞オンライン）,https://news.yahoo.co.jp/articles/e78506c0fe191d41bd411e30e1e44d657d61bc24,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050218-yom-000-4-view.jpg?exp=10800,2024-01-15T23:21:26+09:00,2024-01-15T23:41:50+09:00,読売新聞オンライン,yom,読売新聞オンライン,738,\n東京証券取引所\n東京証券取引所は１５日、資本効率や株価の向上に向けた取り組みを開示した企業を公表した。最上位の東証プライム市場では、全体の４０％の６６０社が「開示済み」で、９％の１５５社が「検討中」だった。毎月一覧を公表する方針で、市場での評価が低い企業に対応を促し、市場を活性化させる狙いがある。\n【グラフ】最近の日経平均の値動き\n対象は、プライムとスタンダードの２市場に上場する約３３００社。スタンダードでは「開示済み」が１２％の１９１社、「検討中」は７％の１０９社だった。投資家の注目度がより高いプライムで、開示が進んでいる傾向が明らかになった。\n企業統治の指針を示す「コーポレート・ガバナンスに関する報告書」に昨年末時点で、「資本コストや株価を意識した経営の実現に向けた対応」との文言を載せ、具体策などを示した企業をまとめた。対応を進めていても、この文言が報告書になければ社名は公表されない。例えばトヨタ自動車は、政策保有株の縮減などを進めているが、一覧には入っていなかった。\n東証は昨年３月、２市場の上場企業に対し、株価が割安か割高かを示す指標「純資産倍率（ＰＢＲ）」の改善など投資家目線の経営を求めていた。プライム上場企業全体のＰＢＲは昨年末時点で約１・３倍で、同３月末の約１・２倍から微増となっている。\n一覧の公表は、成長投資や株主還元の強化といった施策が遅れる企業を浮き彫りにして、投資家の判断材料にする意味合いもある。ＰＢＲが１倍以上であれば対応は不要と考える企業もあり、東証を傘下に持つ日本取引所グループ（ＪＰＸ）の山道裕己（やまじひろみ）・最高経営責任者（ＣＥＯ）は「ＰＢＲ１倍超の企業も含め、積極的な取り組みを期待している」としている。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050218-yom-000-4-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/e78506c0fe191d41bd411e30e1e44d657d61bc24/images/000', 'https://www.yomiuri.co.jp/market/chart-nikkei/?from=yhd']"
歯科医らが避難所で口腔ケア指導、断水で入れ歯手入れする方法も…高齢者の誤嚥性肺炎防ぐ狙い（読売新聞オンライン）,https://news.yahoo.co.jp/articles/1283f75b5a494a184e39fe3e1b8f20f21fe8f103,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050222-yom-000-4-view.jpg?exp=10800,2024-01-15T22:55:08+09:00,2024-01-16T00:28:22+09:00,読売新聞オンライン,yom,読売新聞オンライン,570,\nブラシを使って口の中を清潔に保つ方法を教わる女性（右）（石川県穴水町で）\n能登半島地震の被災地で、歯科医らで作る「災害歯科支援チーム」が避難所を巡回し、水不足の環境でも口の中をきれいにするための「口腔（こうくう）ケア」の指導に取り組んでいる。口内での細菌の増殖を抑えることで、高齢者の「誤嚥（ごえん）性肺炎」を防ぐ狙いがある。（加納昭彦）\n断水に伴い歯磨きができなくなると、口の中で細菌が増えやすくなる。特に高齢者は、細菌や食べ物が誤って気道に入ると誤嚥性肺炎を招く恐れがある。\n１４日には、石川県歯科医師会の歯科医ら１５人が同県穴水町の７か所の避難所で指導に当たった。約１８０人が身を寄せる「さわやか交流館プルート」の避難所では断水が続いていた。歯科衛生士の西出一美さんが、避難していた女性（９４）に「歯磨きはできていますか」などと話しかけ、水がない場合にウェットティッシュを使って入れ歯を手入れする方法を教えた。女性は「口の中がすっきりした。気持ちがいいですね」と笑顔を見せた。\n県歯科医師会の江尻重文（あつのり）理事は「避難生活では口のケアが後回しになりがちだが、高齢者の誤嚥性肺炎は命に関わる。寝る前に歯磨きや入れ歯の手入れをしてほしい」と話した。石川県の要請を受け、日本歯科医師会も、支援チーム派遣の準備を進めている。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050222-yom-000-4-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/1283f75b5a494a184e39fe3e1b8f20f21fe8f103/images/000']
国防省に「人質をもう見捨てたのか」…解放求めイスラエルで３０万人集会、１３０人以上が依然拘束（読売新聞オンライン）,https://news.yahoo.co.jp/articles/380d3b1c0c789800f127a04cefe6ee4b076c4722,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050210-yom-000-2-view.jpg?exp=10800,2024-01-15T22:41:47+09:00,2024-01-15T22:43:10+09:00,読売新聞オンライン,yom,読売新聞オンライン,589,\n１４日、エルサレムで、ハマスに拉致された人質の解放を訴えるイスラエルの家族ら＝ロイター\n【エルサレム＝森井雄一】イスラエルの商都テルアビブで１４日、イスラム主義組織ハマスにより、パレスチナ自治区ガザに連れ去られた人質の即時解放を求める大規模な集会が開かれた。地元紙タイムズ・オブ・イスラエルによると集会は前日から２４時間にわたって続けられ、３０万人以上が参加した。\n昨年１０月７日に拉致された人質は１００人以上解放されたが、まだ１３０人以上拘束されている。イスラエル軍は情報機関の調査結果としてこのうち２５人は死亡したと認めた。\n家族や親族が拘束されたままのオフリ・ビバスさんは、隣接する国防省に向けて「人質をもう見捨てたのか。彼らは監禁されたまま亡くなろうとしている」と叫んだ。ハマスに５０日以上拘束された後に解放されたアビバ・シーゲルさんは「（拘束中に）筆舌に尽くしがたい虐待を目にした」と語った。\n野党党首で前首相のヤイル・ラピド氏は、国家の失敗により人質が捕らえられたと指摘し、「彼らを連れ戻すのが国家と治安部隊の義務だ」と訴えた。\nハマスは１４日、人質の男女３人の動画を公開した。３７秒間の動画で人質は「家族のもとに返して」「戦闘を停止して」と懇願し、ハマスは「彼らの運命は明日、明かされる」と字幕を添えた。イスラエル側の揺さぶりを狙ったものとみられる。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050210-yom-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/380d3b1c0c789800f127a04cefe6ee4b076c4722/images/000']
ダイハツ認証不正、国交省が安全性の確認試験を公開…「型式指定」取り消しの判断材料に（読売新聞オンライン）,https://news.yahoo.co.jp/articles/2c21cda2a39974279cef2c01b257f4f8a2681b56,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050229-yom-000-5-view.jpg?exp=10800,2024-01-15T22:35:30+09:00,2024-01-15T22:58:36+09:00,読売新聞オンライン,yom,読売新聞オンライン,488,\n乗員に見立てた人形を乗せて行われた、車両の前面衝突試験（１５日午後、滋賀県竜王町で）＝枡田直也撮影\nダイハツ工業が自動車の認証試験で不正をしていた問題で、国土交通省は１５日、滋賀県竜王町の同社滋賀工場で実施している安全性などの確認試験を報道陣に公開した。\n【図表】一目でわかる…ダイハツの主な車種ごとの試験不正の内容\n国交省は、ダイハツが生産する２７車種などについて、９日から安全・環境基準への適合性の検証を進めており、確認試験はその一環。量産に必要な「型式指定」の取り消しなどの行政処分の判断材料となる。\n１５日に公開されたのは、同社の小型トラック「グランマックス」の乗員保護性能などを評価する試験。人形を乗せた車両を時速５０キロ・メートルでコンクリート壁に衝突させ、人形の損傷やシートベルトの状況、燃料漏れの有無などを調べた。\n国交省は同社に対し、基準を満たしているか確認するまで出荷を停止するよう指示している。同省審査・リコール課の木内信仁室長は「基準適合の確認が完了した車種から順次公表する」とした上で、１月中に一部車種を公表する可能性もあると説明した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050229-yom-000-5-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/2c21cda2a39974279cef2c01b257f4f8a2681b56/images/000', 'https://www.yomiuri.co.jp/pluralphoto/20231220-OYT1I50220/?from=yhd']"
金融庁、ＳＯＭＰＯ・損保ジャパンに業務改善命令へ…ビッグモーター問題で管理体制「不備」と判断（読売新聞オンライン）,https://news.yahoo.co.jp/articles/6e8b4a7f73d6a9ced651217e2e0a0b703ee14408,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050230-yom-000-7-view.jpg?exp=10800,2024-01-15T22:07:06+09:00,2024-01-15T22:37:39+09:00,読売新聞オンライン,yom,読売新聞オンライン,517,\n損害保険ジャパンの本社ビル\n中古車販売大手ビッグモーターによる保険金不正請求問題で、金融庁は損害保険ジャパンと持ち株会社のＳＯＭＰＯホールディングス（ＨＤ）に対し、保険業法に基づいて月内にも業務改善命令を出す方向で検討していることが１５日、わかった。顧客対応が不十分で、内部管理体制にも不備があると判断した。\n【図解】一目でわかる…保険金不正請求を巡る、ビッグモーターと損保ジャパンの関係\n損保ジャパンは２００４年以降、のべ４０人以上の社員をビッグモーターに出向させていた。２２年７月には、不正の疑いを経営陣が認識しながら、早期に取引を再開している。ビッグモーターの全店舗を対象に、事故車両の査定を簡略化する対応も取っていた。\n金融庁は損保ジャパンに昨年９月から、ＳＯＭＰＯＨＤにも１１月から立ち入り検査を行っている。損保各社の中で、最もビッグモーターとの関係が深く、実態や背景などを詳しく調べていた。契約者の保護が不十分だったとみている。\nこの問題を巡っては、金融庁が１１月末にビッグモーターの保険代理店登録を取り消した。国土交通省も１０月、道路運送車両法に基づき、一部の整備工場に事業停止などの行政処分を下している。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050230-yom-000-7-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/6e8b4a7f73d6a9ced651217e2e0a0b703ee14408/images/000', 'https://www.yomiuri.co.jp/pluralphoto/20231011-OYT1I50016/?from=yhd']"
台湾次期総統の頼清徳氏、米代表団と面会…「民主的なパートナー」として支援継続を要望（読売新聞オンライン）,https://news.yahoo.co.jp/articles/ec212437e4b266796e33f89f621a6cbbf92c0395,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050228-yom-000-2-view.jpg?exp=10800,2024-01-15T22:01:28+09:00,2024-01-15T22:02:29+09:00,読売新聞オンライン,yom,読売新聞オンライン,473,\n１５日、台北市で、頼清徳副総統（右）と握手するハドリー元米大統領補佐官＝民進党提供\n【台北＝園田将嗣】台湾総統選で初当選した与党・民進党の頼清徳（ライチンドォー）副総統は１５日、台北市の党本部でスティーブン・ハドリー元米大統領補佐官やオバマ政権時代に国務副長官を務めたジェームズ・スタインバーグ氏ら米国の代表団と面会した。「米国が引き続き台湾を支援し、民主的なパートナーとして、地域の平和と繁栄を確保することを望む」と語り、米台関係を重視する姿勢を示した。\n頼氏は、中国による台湾への軍事的威圧を念頭に、「台湾は冷静に対応し、米国を含む志を同じくするパートナーと、台湾海峡の平和と安定の現状を維持する」と述べた。\n米側は頼氏の総統就任を５月に控え、代表団の派遣を通じて次期政権との関係構築を目指したとみられる。スタインバーグ氏は同日、蔡英文（ツァイインウェン）総統とも面会し、「米台は非公式ながら友好的な関係に基づく」と述べた。台湾問題の平和的解決を重視し、中台関係の一方的な現状変更に反対する考えも示した。中国側に自制を求めた模様だ。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240115-00050228-yom-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/ec212437e4b266796e33f89f621a6cbbf92c0395/images/000']
