headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「ガキ使」28日放送に松本人志出演！日テレ「昨年収録のストックがあったため」次回から松本抜きの方針（スポニチアネックス）,https://news.yahoo.co.jp/articles/5ce5da0fd78abac91c63bc2ad4fe7372fcabada1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000355-spnannex-000-6-view.jpg?exp=10800,2024-01-28T23:54:36+09:00,2024-01-29T00:00:49+09:00,スポニチアネックス,spnannex,スポニチアネックス,583,\nダウンタウンの松本人志\nダウンタウンの松本人志（60）が28日放送の日本テレビ「ダウンタウンのガキの使いやあらへんで！」（日曜後11・25）に出演し、視聴者を驚かせた。\n\n 同局は10日、「28日放送分からは松本抜きで収録したものを放送する」と答えており、視聴者にとっては予期せぬ出演。その件で、同局は本紙の取材に「昨年内に（松本ありで）収録されたストックがあったため放送しました」と説明した。\n\n 当初は21日放送分が松本の活動休止発表後で最後の出演回とされており、視聴者からは悲しみの声も上がっていた。21日放送の際の次回予告では松本抜きで収録されたとされる「山－1GP2024」が告知されていた。\n\n だが、26日に番組の公式HPやSNSが更新され、28日の放送内容が「ほんこんの顔面テイスティング！」へ変更されることが発表。この日も予告通り、浜田が目隠しをしながらもほんこんの顔を当てるという内容が放送された。そして、ここに松本も出演。番組の冒頭で「予告した内容を変更してお送りします」とのテロップも流れた。\n\n SNSでは“サプライズ”登場に、驚きの声も続々。\n\n 同局は2月4日以降は松本抜きで収録したものを放送して番組を継続していく方針に変更はないとしている。次週は変更前の「山－1GP2024」を放送すると番組で告知された。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000355-spnannex-000-6-view.jpg?pri=l&w=480&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/5ce5da0fd78abac91c63bc2ad4fe7372fcabada1/images/000']
「安住紳一郎さんご心配なく」ラジオでの“告白”受け超大物が神対応「またお会いできるのを楽しみに」（スポニチアネックス）,https://news.yahoo.co.jp/articles/e768a896bd6da5f5d67c837f72be1eb9e81861a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000354-spnannex-000-6-view.jpg?exp=10800,2024-01-28T23:18:59+09:00,2024-01-28T23:42:24+09:00,スポニチアネックス,spnannex,スポニチアネックス,1020,\nTBSの安住紳一郎アナウンサー\n人気音楽バンド「DREAMS COME TRUE」のリーダー、中村正人（65）が28日、自身のX（旧ツイッター）を更新。TBSの安住紳一郎アナウンサー（50）がこの日放送の同局ラジオ「安住紳一郎の日曜天国」（日曜前10・00）で明かした飛行機内での出来事について、「ご心配なく」とメッセージを送った。\n【写真】安住紳一郎アナが飛行機で偶然出会った大物アーティスト\n安住アナは番組で、東京から北海道に到着した機内での出来事として「私の4人ぐらい奥側に座ってた男性の方と視線が合って、向こうの方が会釈をしてくださったんですよ」と回顧。相手の男性は安住アナと認識していたが、自身は「パッと見た時にその人が誰か分からなかった」ため、「ニワトリの首みたいな会釈をしちゃったんですよね。“あ、はぁ”みたいな」という対応をしてしまったという。\n\n 到着した空港で荷物を受け取るためターンテーブルに向かうと、その男性が近付いて「中村です！」と元気良くあいさつ。それでも誰だか分からない安住アナに対し、男性は目の前まで来て再び「中村です」。そしてマスクを外して「ドリカムの中村です」と名乗ったという。\n\n 音楽界の超大物に何度もあいさつをさせてしまったことに動揺した安住アナは「分かる、分かる、それは分かる。すぐに分かると思って。失礼をわびましたよね。本当に時が戻せるなら土下座しますって」。オロオロしつつも思わぬ遭遇を喜び、中村と世間話をした後で別れたという。\n\n しかしここでもうひとつ不安が発生。自身の番組スタッフから「そこに吉田さんいたんじゃないですか？」と中村と同行していた“10人ぐらいのスタッフ”の中に吉田美和もいたのでは？と指摘されたという。安住アナは、中村だけでなく吉田にも気付かなかったのかも…と不安になったそうで、「あれから3日たってますけどまだ動揺してるんです」と心配そうに話していた。\n\n 番組終了後、中村はすかさずこの話題に反応。「安住紳一郎さんご心配なく」と笑顔の顔文字とともにつづると「あそこに吉田はおりませんでした」と明かし、「またお会いできるのを楽しみにしています」とメッセージ。フォロワーからは「お互い優しい人柄が感じられて癒されました」「律儀なマサさん」「オーラ消されてたんですね」「マサさんの対応が素敵です」「さすが神対応ですね」などのコメントが届いていた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000354-spnannex-000-6-view.jpg?pri=l&w=490&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/e768a896bd6da5f5d67c837f72be1eb9e81861a7/images/000', 'https://www.sponichi.co.jp/entertainment/news/2023/02/13/gazo/20230213s00041000185000p.html?screen=1']"
二宮和也から見たSMAP　「こんなにいろんな方面のカリスマ…よくグループとして成り立っていたな」（スポニチアネックス）,https://news.yahoo.co.jp/articles/f6f615a7efaf8342bd9e9eda2ef6a0d301bd006e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000352-spnannex-000-3-view.jpg?exp=10800,2024-01-28T23:10:31+09:00,2024-01-29T01:24:23+09:00,スポニチアネックス,spnannex,スポニチアネックス,420,\n二宮和也\n「嵐」の二宮和也（40）が、28日放送のフジテレビ系「まつもtoなかい」（日曜後9・00）にゲスト出演し、先輩グループ「SMAP」に対する印象を語った。\n\n 二宮とともにゲスト出演した、作曲家で音楽プロデューサーの秋元康氏（65）からは、「同じ事務所にいてSMAPと嵐はどう思ってたの？」と、二宮とMCの中居正広に対してド直球な質問が飛んだ。\n\n 中居は、嵐について「全員の人柄がしっかりにじみ出ているグループ」などと称賛。二宮も「うれしい。初めて語ってくれています」と素直に喜びを口にした。\n\n 対する二宮は、中居らが在籍したSMAPについて、「いや、怖いですよ。恐れずに言わせてもらうと、こんなにいろんな方面のカリスマがそろっていて、よくグループとして成り立っていたなと、後輩ながら見ていました」と、率直な感想を語った。\n\n SMAPは1991年にCDデビューし、16年に25年の活動にピリオドを打った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000352-spnannex-000-4-view.jpg?pri=l&w=640&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/f6f615a7efaf8342bd9e9eda2ef6a0d301bd006e/images/000']
【下関ボート　ミッドナイトボートレース】中越博紀　近況好調男は前検日も手応え上々（スポニチアネックス）,https://news.yahoo.co.jp/articles/e9e50ce7729c850d664f85b87cd03ad9585aec44,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000353-spnannex-000-2-view.jpg?exp=10800,2024-01-28T23:15:06+09:00,2024-01-28T23:15:23+09:00,スポニチアネックス,spnannex,スポニチアネックス,299,\n最近は好調モードに入っている中越博紀\n近況好調男に乗っかろう。\n\n 中越博紀（39）は徳山→鳴門と現在2連続優出中。今期勝率も6・37をマークするなど、A1復帰ペースで快調に飛ばしている。「最近の成績はいいエンジンを引いているおかげ」と話すが、今節手にした17号機も好素性機のひとつ。前回使用の今垣光太郎は3日目にF返還ながら、軽快な伸びを見せていた。\n\n 前検日の中越も上々の手応え。「何もせずに行った。足合わせは古田とやって、ちょっと伸びる感じがあった。行き足に違和感はない」と期待を抱かせた。\n\n 初日は7Rに4号艇で登場。ダッシュ伸ばしての捲り一撃で波乱演出に期待したい。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000353-spnannex-000-2-view.jpg?pri=l&w=486&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/e9e50ce7729c850d664f85b87cd03ad9585aec44/images/000']
武尊　ONEデビュー戦で激闘の末に判定負け…試合後は病院直行　涙のマイクに「胸が苦しくなる…」の声（スポニチアネックス）,https://news.yahoo.co.jp/articles/068c668df05a2152f04cf98db8c32c8139122a48,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000351-spnannex-000-12-view.jpg?exp=10800,2024-01-28T23:04:27+09:00,2024-01-28T23:27:51+09:00,スポニチアネックス,spnannex,スポニチアネックス,836,\n試合後に号泣しながら引退示唆とも受け取れるコメントをした武尊（C）ONE Championship\n◇ONEフライ級キックボクシングタイトルマッチ 王者 スーパーレック・キアトモー9ー挑戦者 武尊（2024年1月28日 有明アリーナ）\n\n アジア史上最大の格闘技団体「ONE Championship」（ONE）が28日に「ONE165」を有明アリーナで開催。約4年ぶりの日本大会となったメインイベントで、K－1元3階級制覇王者でISKA世界ライト級王者・武尊（31＝team VASILEUS）がONEフライ級キックボクシング王者のスーパーレック・キアトモー9（28＝タイ）に判定0ー3で敗れて、激闘の末に世界タイトル奪取失敗となった。試合後には念のために病院へ直行した。\n\n 試合序盤からスーパーレックの強烈なローキックに苦戦した武尊。2Rには武尊の左足は変色していた。しかし3Rに武尊の逆襲が始まる。プレッシャーを強めて、相手との距離を潰して、ボディーの連打などパンチでスーパーレックの動きを止めた。ダウンを奪うことは出来なかったが、会場の空気は最高潮に。その後も武尊がプレッシャーをかけて攻めたが、スーパーレックもローキックとヒザ蹴りを合わせて攻撃を返して試合終了。\n\n 判定0―3で敗れた武尊は号泣しながら「絶対勝って世界一を証明したかったんですけど…今できる限界までやってきました。もうこれ以上の体を作れません…」と引退示唆とも受け取れるコメントをした。\n\n そして試合後、ダメージの影響から念のために病院へ直行。予定されていた会見を欠席した。\n\n 武尊の敗戦でネットでは「武尊」「武尊の試合」など今回の試合に関するワードがトレンド入り。試合後の引退示唆とも受け取れる言葉にはファンも「本当に胸が苦しくなる」「まだまだやれるよ！」「素晴らしい試合だったからまだ戦ってくれ」「負けたけどよくやったよ」などと武尊を称える声が多く上がった。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000351-spnannex-000-12-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/068c668df05a2152f04cf98db8c32c8139122a48/images/000']
中居正広　嵐を語る「テレビで本当ににじみ出ている」　二宮和也驚き「初めて語ってくれています」（スポニチアネックス）,https://news.yahoo.co.jp/articles/6de2e6ed6b2998a06cc3e66cef1eba12ec522b89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000347-spnannex-000-4-view.jpg?exp=10800,2024-01-28T22:32:29+09:00,2024-01-29T01:24:36+09:00,スポニチアネックス,spnannex,スポニチアネックス,702,\n中居正広\nタレント中居正広（51）が、28日放送のフジテレビ系「まつもtoなかい」（日曜後9・00）にMCとして出演し、後輩グループ「嵐」の印象を率直に語った。\n\n 嵐の二宮和也（40）とともにゲスト出演した、作曲家で音楽プロデューサーの秋元康氏（65）からは、「同じ事務所にいてSMAPと嵐はどう思ってたの？」とド直球な質問が飛んだ。さらに「衝撃だったのは（嵐が）ハワイのクルーザーからデビュー（を報告した）。そういうの見て“なんだよ…”みたいな？」と意地悪な質問も加えられた。\n\n すると中居は「そんなそぶり、1回でも見せたことあります？秋元さんがやってる『うたばん』に全然出てますし。ケンカいっぱいしたけど」と、ジョークまじりに反論。二宮も「そう…冗談ね。冗談よ？」と軌道修正した。\n\n その上で中居は、嵐について「全員の人柄がしっかりにじみ出ているグループ」と称賛した。二宮も「うれしい。初めて語ってくれています」と、驚きながらも素直に喜びを口にした。\n\n 中居はさらに、「平均的人の良さの点数が高いような気がする。いろんなグループの形があるけど、嵐はテレビで本当ににじみ出ているなと」と賛辞を続けた。一方で、「僕らとはちょっと離れているかな。人の良さがにじみ出てるグループじゃない…というか。誰のこと指しているんだよってなっちゃうけど」と自虐をぶっ込み、笑わせた。\n\n 中居は「アイドルとしてはホントにきれいな模範にしていいというか。後輩が目指していいアイドルは嵐だったんじゃないかな」とも。中居から語られる“嵐論”に、二宮は「へえ～！うれしい」と表情を緩ませていた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000347-spnannex-000-5-view.jpg?pri=l&w=462&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/6de2e6ed6b2998a06cc3e66cef1eba12ec522b89/images/000']
中居正広　二宮和也に“クレーム”「文句を言わなければいけないことが…」「そこ1個足りないぞ？」（スポニチアネックス）,https://news.yahoo.co.jp/articles/393b8421d5def1c4686e3b249534aecb11436261,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000350-spnannex-000-4-view.jpg?exp=10800,2024-01-28T22:59:06+09:00,2024-01-29T01:24:48+09:00,スポニチアネックス,spnannex,スポニチアネックス,996,\n中居正広\nタレント中居正広（51）が、28日放送のフジテレビ系「まつもtoなかい」（日曜後9・00）にMCとして出演し、事務所の後輩だった「嵐」二宮和也（40）の足りない部分をいじった。\n\n 現在はともに独立したが、かつてはSMILE－UP.（旧ジャニーズ事務所）の先輩、後輩の間柄。中居は「言わなければいけないこと、せっかく来ていただいて、ゲストに来ていいただいたにも関わらず、文句を言わなければいけないことが…。二宮さんは好青年、フラットで、すごく腑に落ちますし、だけど何か1個足りない」と指摘した。\n\n ある時、人づてに電話番号を聞いた二宮から、中居の携帯電話に留守電が入っていたという。着信は午後8時ごろ。中居に大事な報告をしたかったようで、「もしこの留守電を聞いたら、連絡下さい。直接お話ししたいです。お願いします。いつも見てま～す。失礼しま～す」といった内容のメッセージだったという。\n\n ところが、中居は当時、「侍ジャパン公認サポートキャプテン」を務めていたWBCの試合の真っ最中。「“いつも見てま～す”…。僕、その時、WBCで生放送やってたんですね。8時って、電話取れるわけないんです。それなのに、最後“いつも見てま～す”って」と、二宮のメッセージと電話のタイミングの矛盾を突いた。\n\n 「いつも見てたら、生放送で中居君が出てる。今電話かけても取れないの、分かってるわけじゃん？いつも見てるならね。僕はそんな引っ張らないですよ？だけど、“いつも見てま～す”…そこ1個足りないぞ？って」\n\n 中居はその着信の1、2日後にコールバック。二宮から報告を受けた後、「タイミング合ったら一緒に飯でも行こうか」と食事に誘ったという。二宮からは「じゃあぜひ、飯お願いします！」との返事が。しかし、中居が「分かった。時期的に…」と具体的な相談を始めた瞬間、二宮の電話から「プップー…」と電話が切れた音が。「ちょっと切るの早くない？って。熱望している人の、切るタイミングではない」とぼやいた。\n\n 中居は即座に電話をかけ直したという。「すぐ電話した。“もしもし、何すか？”、“お前、切るの早いよ！”」。すると、二宮とプライベートで交流がある秋元康氏は「そういうとこ、あるね。逆に良く見えちゃうのが、そのあざとさがないところが好きなのよ」と、二宮をフォローしていた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000350-spnannex-000-5-view.jpg?pri=l&w=462&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/393b8421d5def1c4686e3b249534aecb11436261/images/000']
シントトロイデン・橋岡がイングランド2部リーズ移籍か　クラブ間合意報道も（スポニチアネックス）,https://news.yahoo.co.jp/articles/248701e929903ad6dd7c423e4c229a1e348649f1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000349-spnannex-000-2-view.jpg?exp=10800,2024-01-28T22:55:39+09:00,2024-01-28T22:56:02+09:00,スポニチアネックス,spnannex,スポニチアネックス,278,\n橋岡大樹\nサッカーのベルギー1部シントトロイデンに所属するDF橋岡大樹（24）にイングランド2部リーズ移籍の可能性が浮上した。\n\n ベルギーと英国の複数メディアが28日、両クラブの交渉を報道。同じベルギー1部のゲンク、プレミアリーグのルートンも候補に挙げられたが、ベルギーの地元紙「ヘット・ニュースブラッド」はリーズ移籍が間近と伝えた。\n\n 一部のリーズ情報専門サイトではクラブ間合意に達し、橋岡自身も移籍に前向きと指摘した。橋岡は21年1月に浦和からシントトロイデンに加入し、今季はリーグ戦18試合に出場して2得点2アシストを記録している。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000349-spnannex-000-2-view.jpg?pri=l&w=434&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/248701e929903ad6dd7c423e4c229a1e348649f1/images/000']
有吉弘行　「頑張れって言って」「誕生日なんで一言」求めてくるファンにチクリ「それ、俺に関係ある？」（スポニチアネックス）,https://news.yahoo.co.jp/articles/4dd522eeef0ccbe0ced86a3c7600399a5b2e3b39,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000348-spnannex-000-3-view.jpg?exp=10800,2024-01-28T22:52:54+09:00,2024-01-29T01:24:42+09:00,スポニチアネックス,spnannex,スポニチアネックス,507,\n有吉弘行\nお笑いタレント・有吉弘行（49）が、パーソナリティを務める28日放送のJFN「有吉弘行のSUNDAY NIGHT DREAMER」（日曜後8・00）に生出演し、一言を求めてくるファンに苦言を呈す場面があった。\n\n 「野菜」というテーマでリスナーから「自分は実家でレタスを作っているんですが、高値で全然売れません。有吉さん“レタスを山盛り食べる”って言ってください。言ってくれたら、あしたからまた頑張って作るので」といった投稿が寄せられた。\n\n これに有吉は「言うのは簡単だけど、嘘はつけないよね…厳しいですけどね」とポツリ。また、受験シーズンに「頑張れって言ってください!」や「誕生日なんで一言ください!」と同様に求められることがあるという。\n\n 有吉は「言わなくても頑張るしかないじゃんって。誕生日なんて、それ俺に関係あるかって。気持ちは応援してますけどね」といい「“レタス売れなくても知らねえよ”とは思ってませんから。でも“レタス山盛り食べます”って嘘もつけないから。そこを分かってもらえてないんだって思う方がショックですよね。なんでもクレクレと言っちゃダメですよ」と注意していた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000348-spnannex-000-4-view.jpg?pri=l&w=480&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/4dd522eeef0ccbe0ced86a3c7600399a5b2e3b39/images/000']
【アジア杯】ついに決勝T始まる!“優勝候補”豪州　インドネシアを4―0撃破で8強進出一番乗り（スポニチアネックス）,https://news.yahoo.co.jp/articles/0e927c76ea74f90e34b697682aaa29fc434ac098,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000346-spnannex-000-10-view.jpg?exp=10800,2024-01-28T22:28:34+09:00,2024-01-29T00:25:33+09:00,スポニチアネックス,spnannex,スポニチアネックス,1160,\n＜アジア杯決勝T1回戦 オーストラリア・インドネシア＞前半、先制ゴールが決まり喜ぶオーストラリア代表MFアーバイン（右）とDFジョーンズ（ロイター）\n◇アジア杯決勝トーナメント1回戦 オーストラリア4ー0インドネシア（2024年1月28日 カタール・ドーハ）\n【写真】＜アジア杯決勝T1回戦 オーストラリア・インドネシア＞前半、先制ゴールが決まり喜ぶオーストラリア代表MFアーバイン（ロイター）\nカタールで開催中のサッカー・アジア杯は28日から決勝トーナメントが開始。1次リーグB組1位のオーストラリア代表（世界ランク25位）はD組3位のインドネシア代表（同146位）に4―0で快勝。4大会連続の8強入りを果たし、2月2日の準々決勝ではサウジアラビア代表（同56位）―韓国代表（同23位）の勝者と対戦することになった。\n\n 熱戦が繰り広げられるアジア杯は、いよいよ一発勝負の“ノックアウトステージ”が開幕。2大会ぶり2度目の優勝を狙うオーストラリアは1次リーグを2勝1分けで突破。トーナメント初戦となるインドネシア戦ではアンダー世代のウルグアイ代表歴もあり、今季オーストラリア1部得点ランクトップ（13得点）のFWフォルナローリ（メルボルンV）が今大会初スタメンに抜てき。MFアーバイン（ザンクトパウリ）、FWボイル（ハイバーニアン）、DFサウター（レスター）、DFベヒッチ（メルボルンC）、GKライアン（AZ）の5選手は4試合連続の先発出場。負傷により1次リーグ第3戦を欠場したFWデューク（町田）は戦列復帰し、ベンチからのスタートとなった。\n\n 試合は前半12分にオウンゴールで先制。右サイドを突破したMFアーバインのクロスが相手DFに当たって方向が変わり、相手GKが反応するも防ぎきれずニアサイドにゴールイン。ラッキーな形でリードを奪った。\n\n 先制後は攻め込まれる場面も多くあったが前半45分には追加点。右サイドバックのDFジョーンズ（ボルトン）からのアーリークロスをファーサイドに走り込んだFWボイルが豪快ダイビングヘッド。ワンバウンドしたボールにタイミングを合わせ、正確に叩きつけ2点目。勢いそのまま飛び込んだため、うまく受け身がとれずゴール後は痛がる仕草を見せたが、無事試合に復帰した。\n\n 後半は球際での“小競り合い”から両イレブンが一触即発となる場面もあったが、退場者は出さず。同44分には右からのクロスをMFアーバインが頭で合わせ、相手GKが弾いたこぼれ球を途中出場のFWグッドウィン（アルワフダ）が押し込み3点目。さらにアディショナルタイムにもセットプレーからDFサウターが頭で合わせダメ押し弾。シュート数は7本（枠内4本）ながら効率良く得点を重ね、準々決勝進出を決めた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240128-00000346-spnannex-000-10-view.jpg?pri=l&w=640&h=433&exp=10800'],"['https://news.yahoo.co.jp/articles/0e927c76ea74f90e34b697682aaa29fc434ac098/images/000', 'https://www.sponichi.co.jp/soccer/news/2024/01/28/gazo/20240128s00002000605000p.html?screen=1']"
