headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
認可保育施設で紙おむつのサブスクを導入！保護者と保育士の負担軽減へ　愛知・犬山市（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/27259ffeee95a3d94d3a1632b0348ef1d89763a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08213782-sp_ctv-000-3-view.jpg?exp=10800,2024-02-08T18:51:00+09:00,2024-02-08T19:26:40+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,744,"\n中京テレビNEWS\n2024年2月より愛知県犬山市内にあるすべての認可保育施設において、紙おむつとおしりふきのサブスク「手ぶら登園」が利用できるようになりました。\n中京テレビNEWS\n「手ぶら登園」とは、保育施設で紙おむつが使い放題になる定額制サービス。「手ぶら登園」を展開する「BABY JOB株式会社」によると、これまで、園児が持参する紙おむつは、保護者が1枚1枚に子供の名前を書いて、毎日5～6枚を園に持参しなければならず、子育てと仕事で忙しい保護者の大きな負担になっていました。\n\nまた、園側にとっても、紙おむつを園児ごとに管理することが保育士の負担に。「手ぶら登園」では、直接紙おむつとおしりふきが園に届くため、両者の負担を軽減することができるのです。\n中京テレビNEWS\n犬山市・子ども未来課長によると、犬山市では保育園に通う子ども達のために、「登降園システムの導入」や「紙おむつの公費による回収」など様々な保育サービスを積極的に実施。「手ぶら登園」について、子ども未来課長は「保護者の負担軽減を第一優先に考え導入することといたしました。この取り組みは、私立保育園（認可保育所）2園にも賛同いただき、市全体で進めていくこととなり、今後も保育現場とともに、できることから取り組んでいきたいと考えます」と述べました。\n\n「BABY JOB株式会社」によると、「手ぶら登園」は、2024年2月時点で4,810施設以上で導入。自治体内のすべての認可保育施設で「手ぶら登園」が導入されるのは、犬山市が初めてだそう。\n\n保育士の負担軽減が急務となっている保育の現場。現場の声を聞きながら、新たなサービスを導入していくことも、働き方改革の一歩になるのかもしれない。","['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08213782-sp_ctv-000-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08213782-sp_ctv-001-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08213782-sp_ctv-002-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/27259ffeee95a3d94d3a1632b0348ef1d89763a5/images/000', 'https://news.yahoo.co.jp/articles/27259ffeee95a3d94d3a1632b0348ef1d89763a5/images/001', 'https://news.yahoo.co.jp/articles/27259ffeee95a3d94d3a1632b0348ef1d89763a5/images/002']"
「PFAS」問題　自衛隊岐阜基地内の井戸からも国の暫定目標値を上回る値　岐阜・各務原市（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/fbdc6a8ad257ef09777ee0e045a1ce7abfbaf5ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-01765625-sp_ctv-000-3-view.jpg?exp=10800,2024-02-08T21:11:00+09:00,2024-02-08T21:47:41+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,558,\n中京テレビNEWS\n岐阜県各務原市の水道水の水源で、発がん性が指摘される化学物質「PFAS」（ピーファス）が検出された問題で、岐阜県と市は8日市内にある航空自衛隊岐阜基地内の井戸からも国の暫定目標値を上回る値が出ていたことを明らかにしました。\n\nこの問題は各務原市内の水道水のおよそ半分をまかなう水源で、有機フッ素化合物「PFAS」（ピーファス）が国の暫定目標値である1リットル当たり50ナノグラムを超えて検出されていたものです。\n\n水源地の東側に広がる岐阜基地の独自の調査で去年3月に86ナノグラム去年11月には55ナノグラムが検出されていたことが分かりました。市が去年8月から9月に行った調査では、いずれも暫定目標値を下回っていました。\n\n岐阜基地から地元の各務原市には伝えられていたということですが、市からは県に共有されず県には1月24日に岐阜基地から報告があったということです。\n1\n/\n2\n中京テレビNEWS\n中京テレビNEWS\n会見では、これまでの調査結果をもとに井戸や河川のPFAS濃度を段階別に色分けして落とした地図を発表しました。市内での汚染の広がりが分かります。\n\n地図は専門家会議の意見を受けて作成し井戸、河川とも県と市のウエブサイトに掲載するということです。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-01765625-sp_ctv-000-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-01765625-sp_ctv-001-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-01765625-sp_ctv-002-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/fbdc6a8ad257ef09777ee0e045a1ce7abfbaf5ab/images/000', 'https://news.yahoo.co.jp/articles/fbdc6a8ad257ef09777ee0e045a1ce7abfbaf5ab/images/001', 'https://news.yahoo.co.jp/articles/fbdc6a8ad257ef09777ee0e045a1ce7abfbaf5ab/images/002']"
藤井聡太八冠　タイトル戦20連覇　歴代単独１位の偉業達成　王将戦七番勝負の第4局勝利（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/fc3eb71806ac7a55896c93e0173db3da51361777,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-01117273-sp_ctv-000-2-thumb.jpg?exp=10800,2024-02-08T19:00:01+09:00,2024-02-08T19:10:37+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,207,\n中京テレビNEWS\n８日、東京都立川市で行われた王将戦七番勝負の第4局は、藤井聡太八冠が菅井竜也八段を121手で投了に追い込み勝利、タイトル防衛を果たしました。\n\nこれで、タイトル戦で初挑戦から負けなしの20連覇とし、大山康晴十五世名人の歴代最多記録を上回り、約60年ぶりに新記録を打ち立てました。\n\n 藤井聡太八冠：\n「そのこと（２０連覇）は意識していなかった。引き続き前を向いてやっていきたい」,[],[]
新愛知県体育館の名称「IGアリーナ」に　契約額は国内最大規模　デザインは世界的建築家の隈研吾さん（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/2668ebaabba0e74e41117dbbe114ff7a20ff7c67,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-02888342-sp_ctv-000-2-thumb.jpg?exp=10800,2024-02-08T19:00:01+09:00,2024-02-08T19:09:41+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,302,\n中京テレビNEWS\n来年オープンする新しい愛知県体育館の名称が８日、「IGアリーナ」に決まりました。\n\nロンドンに本社を置くオンライン金融サービス企業が10年間のネーミングライツを取得したもので、担当者によりますと、契約金額は10年で50億円超といわれたエスコンフィールド北海道を超え、国内最大規模の契約額だということです。\n\n新しい体育館は、1964年に完成し老朽化が進む愛知県体育館に代わり、名城公園・北園の一部に建設中です。\n\nデザインは世界的建築家の隈研吾さんで、立ち見も含めて最大1万7000人を収容し、大相撲名古屋場所や再来年のアジア大会の競技会場としても使われる予定です。,[],[]
名鉄沿線の枯れ草に火をつけたか　鉄道業務を妨害した疑いで52歳の男を逮捕　愛知県警（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/3caf4e35aed14a0429a2777bb0424a3b25c3f32f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-02-08T18:31:00+09:00,2024-02-08T18:52:44+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,374,\n先月29日、愛知県尾張旭市の名鉄瀬戸線沿線の枯れ草に火をつけ、名鉄の職員に必要のない業務をさせたとして現場近くに住む52歳の男が逮捕されました。\n\n威力業務妨害の疑いで逮捕されたのは、尾張旭市旭前町のアルバイト・橋田隆容疑者（52）です。\n\n警察によりますと、橋田容疑者は先月29日、自宅近くを通る名鉄瀬戸線の沿線の枯れ草に火をつけ、名鉄の職員に異常がないかどうかの点検などをさせ、業務を妨害した疑いが持たれています。\n\n現場付近の防犯カメラ映像の解析などから橋田容疑者が浮上し、８日、逮捕しました。\n\n警察の調べに対し、橋田容疑者は「全く記憶にございません」と容疑を否認しているということです。\n\n現場付近では、おととし11月以降、同様に名鉄沿線の枯れ草が焼ける不審火がほかにも4件発生していて、警察が関連を調べています。,[],[]
【ドラゴンズ沖縄キャンプ】開幕投手を目指す若きエース・髙橋宏斗投手　野球ボールではなく○○ボールで練習！？（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/177b21d0eb36d0f5703c3572c28519a5482a6d09,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-02297553-sp_ctv-000-3-view.jpg?exp=10800,2024-02-08T17:31:00+09:00,2024-02-08T17:41:37+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,464,\n笑顔を見せる髙橋宏斗投手\n8日、ドラゴンズ沖縄キャンプではじける笑顔を見せてくれたのは、去年のWBCでも活躍したドラゴンズの若きエース候補、髙橋宏斗投手、21歳。\n\n7日は立浪監督など首脳陣が見守る中、ブルペンで150球の熱投！ 目標としている自身初の「開幕投手」へ猛アピールしました。\n\nこの日、ブルペンに立つ髙橋投手の手元を見てみると、持っていたのは野球のボールではなく「ハンドボール」。ボールが軽くて大きい分、なかなか思い通りにまっすぐ投げられません。\nハンドボールで練習する髙橋投手\n髙橋宏斗投手：\n「（野球ボールより）全然難しいですね。野球のボールはある程度、手で小細工できるが、軽くて大きいボールは変化もしやすいし、多少のズレが変なボールの回転になるので、野球のボール（の回転）をより良くするための練習です」\n\n今は自分が目指す投球フォームを身体に覚えさせる時期。そして、その先に見据えているのは、もちろん開幕投手です。「3月29日のマウンドに上がることを目標にしている」と力強く語りました。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-02297553-sp_ctv-000-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-02297553-sp_ctv-001-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/177b21d0eb36d0f5703c3572c28519a5482a6d09/images/000', 'https://news.yahoo.co.jp/articles/177b21d0eb36d0f5703c3572c28519a5482a6d09/images/001']"
名古屋・中区新栄クローゼット死体遺棄事件　食い違う女とホストの主張　“死体遺棄”の真相は…　名古屋地裁で初公判（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-000-1-thumb.jpg?exp=10800,2024-02-08T17:27:00+09:00,2024-02-08T17:27:00+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,1115,\n中京テレビNEWS\nホストとその客だった女が、名古屋にあるマンションのクローゼットに男性の遺体を遺棄したとされる事件。女の裁判が８日、名古屋地裁ではじまりました。密室で何が起きていたのでしょうか。\n中京テレビNEWS\n死体遺棄の罪に問われている、内田明日香被告（30）の初公判が８日行われました\n\n法廷に現れた姿は、写真の印象とは大きく異なるものでした。\n中京テレビNEWS\n去年11月、中区新栄にあるマンションの一室のクローゼットから、この部屋に住む阿部光一さん（当時42歳）の遺体が見つかった事件。\n\n事件発覚の3日後、逮捕されたのが、阿部さんの店の元従業員である内田被告でした。阿部さんから金銭を借りていたことがあったという内田被告。\n中京テレビNEWS\nさらにその後、内田被告が客として通っていた元ホスト・小山直己被告（23）も逮捕され、ともに起訴されました。\n\n小山被告を、“ナンバーワンにしよう”と多額の現金をつぎこんでいたという内田被告。２人は一体何をしたのか。\n中京テレビNEWS\n６日に行われた小山被告の初公判の中では、犯行を主導したとみられる内田被告の詳細な動きが指摘されました。\n\nそれは、阿部さんの遺体発見から、遡ること約2か月、去年9月29日のこと。午後4時ごろ、名古屋市内でロープを購入した内田被告は、阿部さんと合流し現場となったマンションへ。\n\nその後、午後7時15分ごろまでに阿部さんはベッド上で死亡。身体をロープで拘束された状態だったといいます。この遺体を内田被告がベッドから床に落とし、毛布に包むなどして隠したというのです。\n中京テレビNEWS\nそして、翌10月3日ごろまでに…、内田被告の「阿部さんの遺体を隠しに行く」というメッセージに対し、同行すると応じたという小山被告。\n\n10月4日に、2人で、クローゼットに阿部さんの遺体を遺棄したといいます。\n\n遺体発見の際、部屋に置かれていた消臭剤やドアに目張りしたガムテープには内田被告の指紋が残っていたということです。\n中京テレビNEWS\nそして、８日、名古屋地裁で迎えた初公判。\n\n小山被告と共謀して阿部さんの遺体を遺棄したという起訴内容について問われると「間違いありません」とはっきりとした声で答えた内田被告。\n\n弁護側も、「被告人と同意見です」と争わない姿勢をとりました。\n中京テレビNEWS\n一方、小山被告は、６日の自身の初公判で、私は一切関わっていませんと起訴内容を否認しています。\n\n食い違う二人の主張。何が正しいのか、今後の裁判で明らかになるのでしょうか。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-001-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-002-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-003-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-004-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-005-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-006-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-08429919-sp_ctv-007-1-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/000', 'https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/001', 'https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/002', 'https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/003', 'https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/004', 'https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/005', 'https://news.yahoo.co.jp/articles/c9575b4cff68f97c9bbd0d78ff46ebd7ce8ca79f/images/006']"
熱田区のコンビニ強盗　ブラジル国籍の男を逮捕　港区や中川区でのコンビニ強盗にも関与か　愛知県警（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/4a274b5489ee937d4d86ae7f270606ffc63509cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05179842-sp_ctv-000-3-view.jpg?exp=10800,2024-02-08T17:26:00+09:00,2024-02-08T18:56:38+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,386,\n中京テレビNEWS\n先月25日、名古屋市熱田区のコンビニエンスストアで店員にナイフを突きつけ、現金10万円あまりを奪ったとして、ブラジル国籍の男が逮捕されました。\n\n強盗の疑いで逮捕されたのは、ブラジル国籍で、岐阜県可児市に住む、無職のジオ・アオケ・ラファエル容疑者（33）です。\n\n警察によりますと、ラファエル容疑者は、先月25日、熱田区八番の「ファミリーマート熱田八番二丁目店」に押し入り、男性店員（27）にナイフを突きつけ、「お金全部出して、とって」などと脅し、現金約10万5000円を奪った疑いがもたれています。\n\n調べに対し「私はやってないことだからその話は知らない」などと容疑を否認しているということです。\n\n先月末から今月にかけて、港区と中川区のコンビニでも強盗事件が起きていて、警察はラファエル容疑者が関与しているとみて調べています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05179842-sp_ctv-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/4a274b5489ee937d4d86ae7f270606ffc63509cc/images/000']
安全な空の旅を祈願した「航空安全お守り」　セントレアが数量限定販売（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/9e2bd1d954baf55ec5e41c3bb191b3b606899dfe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-09178887-sp_ctv-000-3-view.jpg?exp=10800,2024-02-08T16:55:00+09:00,2024-02-08T18:52:44+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,489,"\n提供：中部国際空港株式会社\n安全な空の旅を楽しめるよう願いを込めた「航空安全お守り」がセントレアで販売されることになりました。\n\nこのお守りは、セントレアが毎年開催している「航空ファンミーティング""AIRLINE EXPO IN JAPAN""」の限定グッズとして製作されたもので、昨年に引き続き販売が決定。今年は飛行機とセントレアの空港島のイラストを配置した、青が基調のデザインとなっています。\n\n“日本の航空機の父”と呼ばれる二宮忠八が創建した京都「飛行神社」でご祈祷を受けた本格的なお守りで、中には走路に付着した航空機のタイヤゴム片が封入されています。\n\nファンミーティング会場のほか、オフィシャルショップ「SORA MONO」および公式オンラインショップ「Centrair Online Shop」にて、2月17日から数量限定で販売される予定で、価格は880円。なくなり次第終了となります。\n\n昨年販売した「航空安全お守り」については、ファンミーティング会場で返納を受け付け、お守りの回収と引き換えに同じデザインのステッカーが贈られるということです。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-09178887-sp_ctv-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/9e2bd1d954baf55ec5e41c3bb191b3b606899dfe/images/000']
迫る春節、岐阜県が中国人観光客に大人気（中京テレビＮＥＷＳ）,https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-000-5-view.jpg?exp=10800,2024-02-08T16:56:00+09:00,2024-02-08T17:23:39+09:00,中京テレビＮＥＷＳ,ctv,中京テレビＮＥＷＳ,1405,\n中京テレビNEWS\n日本にも多くの観光客が予想される、中国の「春節」が今月10日からスタート。岐阜県の観光地を訪れると、一足早く中国人観光客の姿が。人気の理由は“雪”だった。\n【動画】岐阜県の観光地を訪れると、一足早く中国人観光客の姿が…\n春節に人気の観光地は岐阜県！\n中京テレビNEWS\n今月10日から17日まで、旧暦の正月にあたる「春節」のため8連休となる中国。これを前に3月5日までの40日間を、鉄道や飛行機などの交通機関が特別態勢をとる「春運」と呼び、多くの人々が帰省や旅行で移動する。\n中京テレビNEWS\n春節休みの期間、アジアの人が多く利用するツアーサイトの都道府県別予約ランキングを見てみると、なんと5位には岐阜県がランクイン。予約数は、去年に比べて3.5倍以上増えているという。\n中国人観光客から人気を集めているのが、岐阜県の「白川郷」。ツアーサイトの担当者によると、特に日本へ何度も来ている中国人らは、“主要都市以外の日本の四季に触れたい”と、遠方に足を延ばしている傾向があるという。\n中京テレビNEWS\n白川郷の海外観光客を取材すると、「やっぱり白川郷の合掌造りと雪景色を見たいですね」、「今回の目的は雪、子どもが初めて雪を見ました。雪を見るために日本に来ました」など日本ならではの四季に関心を集める声が多く寄せられた。\n中京テレビNEWS\n世界遺産にも登録されている合掌造りの集落。雪の降らない国の人達は、今しか見られない雪景色の絶景を楽しんでいた。\nブランド品の販売ショップでは割引クーポンを発行\n中京テレビNEWS\n景色を求める人もいれば買い物を楽しむ人の姿も。名古屋市大須にあるブランド品の販売・買取を行う『BRAND OFF』では、春節に向けてたくさんの商品を店頭に用意する準備が進んでいた。\n中京テレビNEWS\nこのお店では、春節の時期の売り上げが、多いときには通常の平均に比べて1.6倍となる時があるという。副店長の張 力口さんは、「春節もあるのでそのためでもありますね。100万円以上の買い物をしてもらえると、5万円オフ＋免税はできます」と話す。インバウンドのお客さん向けには、春節のタイミングに割引クーポンも用意。\n中京テレビNEWS\n取材日には、すでに中国・上海からのお客さんの姿も。訪れた理由について、お客さんは「旧正月で仕事が休みなんだ。日本は中国より価格が約10％安いし、免税とここのクーポンが利用できるから、毎回好きなものを買っている」と話した。\n今週の土曜から始まる「春節」に向け、この店舗では、ルイ・ヴィトンの商品を100点増やす予定だという。\n人気の理由は“リピーター”の増加か\n中京テレビNEWS\n春節の時期、人気の都道府県ランキングで5位にランクインした岐阜県。この調査を行った、オプショナルツアー予約サイト「ＫＫｄａｙ（ケーケーデイ）」によると、人気の理由には、春節のシーズンは中国だけでなく、アジア全域で大型連休になる国や地域も多いことも関係しているという。日本を選ぶ海外旅行客の多くは、何度も日本に訪れている“リピーター”。そのため、定番ではなく地方を選ぶ傾向にあるという。また、中国からは雪の降らない南部地方からの観光客が多く、日本ならではの“四季”を目的にとする観光客も多くなっているそうだ。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-000-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-001-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-002-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-003-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-004-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-005-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-006-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-007-5-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240208-05987732-sp_ctv-008-5-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/000', 'https://www.youtube.com/watch?v=ROavwX_Qzuw', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/001', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/002', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/003', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/004', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/005', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/006', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/007', 'https://news.yahoo.co.jp/articles/573cbefcf5afc807a072b609dcc7ebf1e8f5ca41/images/008']"
