headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
≠ME、1stアルバムのタイトルが『Springtime In You』に決定！ ジャケット写真＆新ビジュアル＆リード曲MV一挙解禁（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/cb92f9e6bd247568c88f24ab28becfb74fa57e3e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06888038-mnet-000-1-view.jpg?exp=10800,2024-02-17T22:53:02+09:00,2024-02-17T22:53:02+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,2239,\n掲載：THE FIRST TIMES\n■「≠MEの青春のかたちは、本当に変幻自在で、おもしろいかたちをしていると私は思っていて、そんな私達の魅力が溢れる1stアルバムになっています」（≠ME冨田菜々風）\n【動画】「ラストチャンス、ラストダンス」のMV\n≠MEが3月20日に発売する1stアルバムのタイトルが『Springtime In You』に決定し、ジャケット写真および新アーティスト写真が解禁。\n\nさらに、冨田菜々風がセンターを務めるリード曲「ラストチャンス、ラストダンス」のMVも公開された。\n\nMVで描かれたのは「淡い片想い」。歌詞に登場する“僕”目線で、学校のマドンナたちの視線を追った。日常に起きる“輝きの瞬間”を切り取ったような「綺麗な表情」「切ない表情」「何気ない表情」などが散りばめられている。\n\n爽やかさに溢れたダンスシーンは、青空の下、春の日差しに照れされるプールがイメージされた。桜吹雪が舞うなかで踊るシーンは「青春の儚さ」が表現されている。\n\nまた、同時に解禁されたアルバムタイトル『Springtime In You』には、「君の中の青春」という想いが込められており、リード曲である「ラストチャンス、ラストダンス」はそんなタイトルに花を添える一曲となる。\n\nなお、1stアルバム『Springtime In You』初回限定豪華盤には、2023年に行われた『ME全国ツアー2023「We shout “I am me.”』から日本武道館公演の映像が収録される。\n\nなお、≠MEは3月3日に『≠ME 5周年コンサート「≠ME 5th ANNIVERSARY PREMIUM CONCERT」』を東京・武蔵野の森総合スポーツプラザ メインアリーナで開催する。\n\n■「ラストチャンス、ラストダンス」MV監督ナカジマセイトコメント\n「ラストチャンス、ラストダンス」の監督を担当させていただきました。\nまずは、1stアルバムの発売おめでとうございます！\n初めて楽曲を聴いた時、なんて綺麗な歌なんだろうと衝撃を受けました。\nでも、読み解いていくと歌詞自体はとても切ないテーマであり、楽曲の綺麗さとのギャップで、より心をえぐられるなと思いました。。\n今回は、「相手に全く届かない僕の気持ち」をテーマに演出しています。\n「視線」や「視点」があと少し違えば、気持ちは伝わったはずなのに最後まで交わらない。\n「たまたま目が合う瞬間」のドキドキと、「目をそらされる」切なさ。\n「”全力のアイドルスマイル”は今回封印してください」と演出していたのですが、やはりみなさんアイドルなので「想わせぶりっこ」な笑顔ばかりで、笑顔の引き算が一番難しかったです。笑\nでも、撮影素材を見ると今までに見たことのない、「切ない可愛さ」という新しい一面を切り取ることができたので、こういう「可愛さ」の表現もあるんだと僕自身も勉強になりました。\nとても難しいテーマにメンバーさん達と挑戦しましたので、一度見ただけでは伝わらないかもしれません。\n「全力の笑顔はどこに向けられているのか」\n最後まで見てから、もう一度見直すと最初に見た時の印象とはまた違う印象になっていると思います。\nぜひ、隅々まで作品を見て頂き、どう受け止めるか皆さんとお話できたら嬉しいです。\n\n■「ラストチャンス、ラストダンス」センター冨田菜々風 コメント\n≠ME 1stアルバム「Springtime In You」。\n皆さんの中の1番の青春は、いつでしょうか。入学式や新しい職場での日々が始まる、出会いと別れの多い桜のシーズンや、太陽がじりじりとして蒸し暑い夏など、皆さんの中の青春は様々だと思います。また、私達の中の青春も様々あります。\n≠MEの青春のかたちは、本当に変幻自在で、おもしろいかたちをしていると私は思っていて、そんな私達の魅力が溢れる1stアルバムになっています。ぜひ皆さんの青春の一部になったらとても嬉しいです。\nそして、5周年という節目のタイミングに「ラストチャンス、ラストダンス」という素敵な楽曲を頂けたことも、とても嬉しく思いました。≠MEらしさと、さらに新しいこれからの≠MEが詰まった楽曲になっています。ぜひ沢山の皆さんに届きますように。\n\n■≠MEリーダー・蟹沢萌子 コメント\n≠MEと印された水色の衣装をメンバー全員で纏い\n青空の下、駆け抜けるようなサウンドと繊細な恋心を描いた歌詞\nフォーメーションダンスや一人一人の歌声\n今回、誰かを一途に思う“僕”には\n私たちのこの5年間の軌跡と、今だからこそ魅せられる≠MEがぎゅっと詰まっていると思います。\n2024年最初のリリースがグループ初のアルバムであること、感謝の気持ちでいっぱいです。\n今しかない一瞬一瞬の煌めきを大切に、今作もみなさんとかけがえのない青春を過ごせたら嬉しいです。\n\n(C)YOANI\n\nリリース情報\n2024.03.20 ON SALE\nALBUM『Springtime In You』\n\nライブ情報\n5周年コンサート『5th ANNIVERSARY PREMIUM CONCERT』\n2024年\n03/03（日）東京・武蔵野の森総合スポーツプラザ メインアリーナ\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06888038-mnet-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/cb92f9e6bd247568c88f24ab28becfb74fa57e3e/images/000', 'https://www.thefirsttimes.jp/news/0000386714/attachment-sns/']"
SPYAIR『劇場版ハイキュー!! ゴミ捨て場の決戦』主題歌「オレンジ」のMV公開（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/e96d35e165dbf6b1dba1019cd60a1b9fbd8d848a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06887036-mnet-000-1-view.jpg?exp=10800,2024-02-17T21:39:03+09:00,2024-02-17T21:39:03+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,267,\n掲載：THE FIRST TIMES\n■「オレンジ」は、2月14日にリリースされたばかりのSPYAIRの新曲！\n\nSPYAIRが、2月14日にリリースした新曲「オレンジ」のMVを公開した。\n【動画】「オレンジ」のMV\n「オレンジ」は、2月16日に公開となった『劇場版ハイキュー!! ゴミ捨て場の決戦』の主題歌として大きな話題を呼んでいる注目作。\n\nぜひ、SPYAIRの最新の映像をチェックしよう。\n\nリリース情報\n2024.02.14 ON SALE\nEP『オレンジ』\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06887036-mnet-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/e96d35e165dbf6b1dba1019cd60a1b9fbd8d848a/images/000', 'https://www.thefirsttimes.jp/news/0000386704/attachment-sns/']"
【レポート】多次元アイドルプロジェクト“UniteUp!”、初EP『ELEVEN』の発売を記念したリリースイベントを開催（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/2194f1d74c34f2e1c971c8a0f30c11ac8694b161,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06886034-mnet-000-1-view.jpg?exp=10800,2024-02-17T20:14:02+09:00,2024-02-17T20:14:02+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,434,\n掲載：THE FIRST TIMES\n■「Unite up!」「ELEVEN」の2曲を披露！ パフォーマンス終了後には特典会も\n\n多次元アイドルプロジェクト“UniteUp!”が、初EP『ELEVEN』の発売を記念したリリースイベントを2月17日に埼玉・イオンレイクタウンkaze光の広場で開催した。\n\nイベントでは、「Unite up!」「ELEVEN」の2曲を披露。パフォーマンス終了後には特典会も実施され、リリースイベントは大成功のうちに終了した。\n\nなお、Uniteup!は4月14日に東京・恵比寿The Garden Hallにてワンマンライブ『sMiLea LIVE -Unite with You- ELEVEN』を開催。現在、チケットのプレイガイド先行を受付中だ。\n\n(C)Project UniteUp!\n\nリリース情報\n2024.02.14 ON SALE\nEP『ELEVEN』\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06886034-mnet-000-1-view.jpg?pri=l&w=640&h=480&exp=10800'],['https://news.yahoo.co.jp/articles/2194f1d74c34f2e1c971c8a0f30c11ac8694b161/images/000']
【レポート】福山雅治『長崎ランタンフェスティバル 皇帝パレード特別版』に皇后役の仲里依紗とともに登場！「帰って来たばい！長崎！」（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/d44177faf26387e8684479dabbcd23e8b21edc26,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06885032-mnet-000-1-view.jpg?exp=10800,2024-02-17T19:09:03+09:00,2024-02-17T19:09:03+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,1938,"\n掲載：THE FIRST TIMES\n■「今度は音楽で帰ってきてもよろしいでしょうか。すぐに戻ってまいります。また長崎でお会いしましょう」（福山雅治）\n【画像】イベントの様子（写真全6枚）\n2月17日に長崎県で4年ぶりにフル開催された『2024長崎ランタンフェスティバル 皇帝パレード特別版』に皇帝役・皇后役としてとも長崎が地元の福山雅治、仲里依紗が登場した。\n\n『長崎ランタンフェスティバル』に感銘を受け、「このイベントをもっと日本中の方々に知っていただきたい」という福山本人の熱い想いから実現した今回の皇帝役だが、皇后役の仲へはなんと福山自らオファー。地元を盛り上げ、文化を発信したいというふたりの想いから今回の地元凱旋となった。\n\n今回のためにデザイン・製作された皇帝・皇后衣装はドラマ『パリピ孔明』（フジテレビ系）の衣装も手掛けた人気スタイリストBabymixの特別製で、皇帝衣装は福山が着込むと2メートル以上になる絢爛豪華な衣装。\n\nそんな衣装で登場した皇帝・福山の「帰って来たばい！ 長崎！」のひと言に沿道の観客からは割れんばかりの大歓声が上がった。皇后・仲も「私は東京に出て20年なんですけど、久しぶりのランタンフェスティバルということで、すごく私自身もとても楽しみにして帰ってきました」と観客に挨拶し、パレードはスタート。\n\n■沿道には2万6,000人を超える多くの観客が駆けつける！\n『皇帝パレード』の観覧応募数としては過去最大となる17万人を超える応募となった今回の『皇帝パレード特別版』。雲ひとつない晴天に恵まれたこの日、長崎市・出島（国指定史跡）から出島メッセ長崎の約1.3キロを、皇帝・福山、皇后・仲が神輿に乗り1時間30分かけてパレード。\n\n沿道の観覧エリアには当選した2万6,000人の観客に加え、多くの地元の方や観光客が駆け付け、地元出身の皇帝と皇后を大歓声で出迎えた。なお、1995年から続く皇帝パレードで観覧エリアや人数制限が行われるのは、初めてとのこと。\n\nパレード後に行ったイベントで、福山は「長崎という街は、これから大きく変化し、あらたに始まっていくと言われています。そして、ランタンフェスティバルも100年続く祭りにしたいという熱い思いがあります」「10月にはスタジアムシティも始まります。長崎が大きく前進していくきっかけになると思います。新しいものができることで、昔の景色がなくなってさみしくなるのかなと思っていたんですが、新しいものの輝きが、これまでの過去の歴史を照らすのではないか、より奥深い長崎になっていくんじゃないかと思っています」と語った。\n\nおすすめの場所を聞かれた仲は「アミュプラザ長崎ですかね。スペシャルアンバサダーもやらせていただいているので。アミュプラザの新館、食のエリアもオープンし、とってもおススメなのでみなさんぜひ行ってみてください。『プリクラ撮りにいったな』とか私の小さいときの思い出の場所でもあるので（笑）」と語り、「出身を聞かれて『長崎出身です』と答えると、皆さんが持っている長崎の思い出や印象がとても良くて、私も胸を張って長崎出身ですって言えるんです。帰ってきたいなって思える場所、自慢できるふるさと。長崎を盛り上げるために、私にどんなことができるだろうって、少しでも力になれたらいいなと思って仕事を頑張ってます」と長崎の魅力について語った。\n\nそして最後に福山が「今度は音楽で帰ってきてもよろしいでしょうか。すぐに戻ってまいります。また長崎でお会いしましょう、今日は本当にありがとうございました」と締め、『皇帝パレード特別版』は大盛況のうちに終了した。\n\n■地元も大熱狂！\n出島から見えるJAビルには長崎大学の書道部が書き上げた『おかえりマンボリアン 福山雅治さん 仲里依紗さん 「100年経っても好きでいてね」長崎を』というメッセージの巨大な垂れ幕が。\n\n沿道の商店やマンションからも福山と仲の姿をひと目見ようと、多くの人が道路に出てきたり、窓から顔を出していた。\n\nパレードの道中には「福山さん里依紗ちゃんおかりなさい」といったメッセージが至るところに貼られており、地元・長崎の人たちのふたりへの愛を感じた『皇帝パレード特別版』だった。\n\n『長崎ランタンフェスティバル』は、長崎県長崎市新地中華街、観光通りアーケード、中央公園他で2月25日まで開催。その他、詳細はイベント公式サイトで。\n\nリリース情報\n2024.02.19 ON SALE\nDIGITAL SINGLE「ひとみ」\nTHE FIRST TIMES編集部",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06885032-mnet-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/d44177faf26387e8684479dabbcd23e8b21edc26/images/000', 'https://www.thefirsttimes.jp/report/0000386684/attachment/20240217-st-183703/']"
MAZZEL、1stアルバム収録曲「Waterfall」のMV公開！ 翡翠鉱山の洞窟でダンスパフォーマンス（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/74da3b44d2858408c876f4d88fae9b755176167b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06889040-mnet-000-1-view.jpg?exp=10800,2024-02-17T22:54:03+09:00,2024-02-17T22:54:03+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,1219,\n掲載：THE FIRST TIMES\n■最先端のCG技術を駆使し、タイトルや歌詞にもある「Waterfall」を水しぶきや滝の流れで表現！\n【動画】「Waterfall」のMV\nMAZZELが、3月20日にリリースする1stアルバム『Parade』に収録される新曲「Waterfall」のMVを公開した。\n\n「Waterfall」のMVは、1月に公開を予定していたが、昨今の事情を鑑み公開延期となっていた。しかし、急遽、「Waterfall -Dance Practice Moving ver.-」を配信した結果、瞬く間に100万再生を突破。長期間にわたってYouTubeの急上昇に入った。\n\n今回公開されたMVは、プレデビューシングル「MISSION」のMVからともにしている韓国の映像クリエイターチームMOSWANTDが制作を担当。\n\nK-POPの有名アーティストの映像作品を数多く手掛けるトップクラスの映像チームと作り上げた今作は、「Carnival」でも多く取り入れられた最先端のCG技術を駆使し、タイトルや歌詞にもある「Waterfall」を水しぶきや滝の流れで表現。ダンスとシンクロした世界観が見どころとなる。\n\nコレオは、世界で活躍する実力派ダンサーで振付師のYUMEKIが担当。メンバーは、これまで以上に難易度の高いダンスに挑戦した。\n\nまた本MVは、現在も翡翠を採掘している鉱山である韓国の忠州（チュンジュ）翡翠鉱山でも撮影され、洞窟内でのダンスパフォーマンスも収められている。\n\n3月20日にリリースされるMAZZELの1stアルバム『Parade』には、デビュー曲「Vivid」、2023年にリリースした「LIGHTNING」「Carnival」の他、新曲7曲を含む全15曲が収録される。その他、詳細はオフィシャルサイトで。\n\n■YUMEKI（ダンサー、振付師）コメント\nコレオグラファーの僕が得意とする人数を活かした構成＋激しく入れ替わるフォーメーションとなっており、この曲が持つバックグラウンドや歌詞の意味を連想させる振り付けになっているかと思います。曲のサビでは、最先端のトレンドを入れつつ、MAZZELにしか出せない色、コレオグラファーの僕自身も新しいジャンルに挑戦し、8人がユニゾンを踊った時のシンクロに注目にして欲しいと思います。またサビだけではなく、メンバー1人1人のパートが見どころ、ポイントになるようなメンバーの個性を活かした演出となっており、イントロからアウトロまでの一曲のストーリーテーリングを意識した構成となっております。\n\nリリース情報\n2024.01.29 ON SALE\nDIGITAL SINGLE「Waterfall」\n\n2024.03.20 ON SALE\nALBUM『Parade』\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06889040-mnet-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/74da3b44d2858408c876f4d88fae9b755176167b/images/000', 'https://www.thefirsttimes.jp/news/0000386711/attachment-sns/']"
『スナックJUJU』東京ドーム初出店を記念して、WOWOWで4ヵ月連続JUJU特集！ 東京ドーム公演の独占放送＆配信も（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/a3e616d048ea775adc44a333280c29e268cf0e23,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06883028-mnet-000-2-view.jpg?exp=10800,2024-02-17T18:52:03+09:00,2024-02-17T19:07:03+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,875,\n掲載：THE FIRST TIMES\n■3月16日に東京ドーム公演のダイジェスト版を放送・配信！さらに、4月に東京ドーム公演の模様を独占放送・配信\n\nJUJUの人気ライブシリーズ『スナックJUJU』が、東京ドームに初出店。『ジュジュ苑スーパーライブ スナックJUJU 東京ドーム店 ～ママがJUJU20周年を盛大にお祝い!! 一夜限りの大人の歌謡祭～』と題し、2月17日に歴史的規模の歌謡ショーを行う。\n\nWOWOWでは、東京ドーム初出店を記念してJUJUを4ヵ月連続で特集。3月16日に東京ドーム公演の模様をいち早く届けるダイジェスト版を届け、4月に東京ドーム公演の模様を独占放送・配信。\n\nそして、5月と6月はJUJUの20年間の足跡をたどるMVコレクションを放送・配信する。昭和歌謡からオリジナルナンバーまで、JUJUと“ママ”の魅力がたっぷりと詰まった4ヵ月連続特集をお見逃しなく。\n\nなお、4月以降の番組の放送・配信日などは追ってアナウンスされる。\n\n番組情報\nWOWOWプライム・WOWOWオンデマンド『ジュジュ苑スーパーライブ スナックJUJU 東京ドーム店 放送直前ダイジェスト』\n03/16（土）22:30～\n\nWOWOWプライム・WOWOWオンデマンド『ジュジュ苑スーパーライブ スナックJUJU 東京ドーム店 ～ママがJUJU20周年を盛大にお祝い!! 一夜限りの大人の歌謡祭～』\n4月放送・配信予定\n\nWOWOWプライム・WOWOWオンデマンド『JUJU Music Video Collection vol.1』\n5月放送・配信予定\n\nWOWOWプライム・WOWOWオンデマンド『JUJU Music Video Collection vol.2』\n6月放送・配信予定\n\nリリース情報\n2024.02.08 ON SALE\nDIGITAL SINGLE「一線」\n\n2024.03.06 ON SALE\nSINGLE「一線」\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06883028-mnet-000-2-view.jpg?pri=l&w=640&h=397&exp=10800'],['https://news.yahoo.co.jp/articles/a3e616d048ea775adc44a333280c29e268cf0e23/images/000']
Awichらによる「RASEN in OKINAWA」のパフォーマンス映像が、米国のYouTubeチャンネル『From The Block Performance』で公開（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/c7cdb8b5f9bee7e9c99ecafa0fbb40eb7f2c3c6a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06884030-mnet-000-1-view.jpg?exp=10800,2024-02-17T18:53:02+09:00,2024-02-17T18:53:02+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,554,\n掲載：THE FIRST TIMES\n■「RASEN in OKINAWA」は、RedbullのYouTube企画「螺旋」をきっかけに制作された楽曲！\n【動画】「RASEN in OKINAWA」のパフォーマンス映像\nAwich、唾奇、OZworld、CHICO CARLITOが、アメリカの様々なラッパーがパフォーマンスを披露するYouTubeチャンネル『From The Block Performance』に登場。\n\n2023年にRedbullのYouTube企画「螺旋」をきっかけに制作された「RASEN in OKINAWA」のパフォーマンス映像が公開された。\n\n同チャンネルに日本のラッパーが登場するのは、今回が初。また、撮影も日本で行われており、こちらも同チャンネル初となる。\n\nなお、Awichは88risingの主催で5月に開催される『Head in the Clouds New York』に出演することが決定している。\n\nリリース情報\n2024.03.06 ON SALE\nAwich\nALBUM『THE UNION』\n\n2024.03.06 ON SALE\nAwich\nANALOG『THE UNION』\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06884030-mnet-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/c7cdb8b5f9bee7e9c99ecafa0fbb40eb7f2c3c6a/images/000', 'https://www.thefirsttimes.jp/news/0000386676/attachment-sns/']"
櫻坂46、8thシングル共通カップリング曲「何度　LOVE SONGの歌詞を読み返しただろう」のMV公開決定（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/350cfc2f424d147017ccf2cece96bb285cda62ea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06881024-mnet-000-1-view.jpg?exp=10800,2024-02-17T17:21:04+09:00,2024-02-17T17:21:04+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,454,\n掲載：THE FIRST TIMES\n■「何度 LOVE SONGの歌詞を読み返しただろう」のMVは、2月19日22時に公開！\n【動画】「何度 LOVE SONGの歌詞を読み返しただろう」のMV ※2月19日22時に公開\n櫻坂46が2月21日にりりーする8枚目シングル「何歳（いくつ）の頃に戻りたいのか？」の共通カップリング曲「何度 LOVE SONGの歌詞を読み返しただろう」のMVが、2月19日22時に公開される。\n\nなお、櫻坂46のオフィシャルYouTubeチャンネルでは、今回のシングルの特典映像のダイジェストが公開中。オフィシャルX（@sakurazaka46）には、全収録曲の一部を聴くことができるクロスフェード動画も投稿されている。\n\nリリース情報\n2024.02.14 ON SALE\nDIGITAL SINGLE「何歳の頃に戻りたいのか？」\n\n2024.02.21 ON SALE\nSINGLE「何歳の頃に戻りたいのか？」\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06881024-mnet-000-1-view.jpg?pri=l&w=640&h=325&exp=10800'],"['https://news.yahoo.co.jp/articles/350cfc2f424d147017ccf2cece96bb285cda62ea/images/000', 'https://www.thefirsttimes.jp/news/0000386668/attachment-sns/']"
Ado、国立競技場2days公演『心臓』のチケットが即完！ 2日間で14万人以上を動員予定（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/8dacb6502e4b63edf39564d50a26377b1e7eaee2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06882022-mnet-000-1-view.jpg?exp=10800,2024-02-17T17:20:03+09:00,2024-02-17T17:20:03+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,570,\n掲載：THE FIRST TIMES\n■AdoのイメージディレクターORIHARAが手掛けた国立競技場公演のキービジュアルも公開！\n【画像】女性ソロアーティスト史上初の国立競技場公演を行うAdo\nAdoが4月27・28日に東京・国立競技場で開催するワンマンライブ『Ado SPECIAL LIVE 2024「心臓」』のチケットが2月17日に発売開始となり、2日とも即完売した。\n\n国立競技場でのワンマンライブは女性ソロアーティストとしては史上初となり、2020年10月に「うっせぇわ」でメジャーデビューをしてからわずか3年6ヵ月という前代未聞のスピードで国立競技場でのライブが実現。4月27日、28日の2daysで14万人以上を動員する見込みだ。\n\nなお、AdoのイメージディレクターORIHARAが手掛けた国立競技場公演のキービジュアルも公開された。\n\nライブ情報\nAdo SPECIAL LIVE 2024「心臓」\n04/27（土）東京・国立競技場\n04/28（日）東京・国立競技場\n\nリリース情報\n2024.02.23 ON SALE\nDIGITAL SINGLE「Value」\n\n2024.04.10 ON SALE\nBlu-ray＆DVD『マーズ』\nTHE FIRST TIMES編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06882022-mnet-000-1-view.jpg?pri=l&w=451&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/8dacb6502e4b63edf39564d50a26377b1e7eaee2/images/000', 'https://www.thefirsttimes.jp/news/0000386663/attachment/20240217-st-160702/']"
Creepy Nuts、アニメ『マッシュル』OP曲「Bling-Bang-Bang-Born」が自身最速でストリーミング累計再生回数1億回を突破（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/b1a1599a7440fb271a4b2f346bfbd869ad1f77f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06876026-mnet-000-1-view.jpg?exp=10800,2024-02-17T18:01:02+09:00,2024-02-17T18:01:02+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,1574,"\n掲載：THE FIRST TIMES\n■両A面シングル「二度寝 / Bling-Bang-Bang-Born」期間生産限定盤のアニメ描き下ろしジャケットのデザインも解禁！\n【動画】「Bling-Bang-Bang-Born」のノンクレジットオープニングムービー\nCreepy Nutsの「Bling-Bang-Bang-Born」が、全世界におけるストリーミングの累計再生回数1億回を突破した（ソニー・ミュージックレーベルズ調べ）。\n\nTVアニメ『マッシュル-MASHLE- 神覚者候補選抜試験編』オープニングテーマとして書き下ろされたこの楽曲は、魔法使いが支配する「魔法界」に生まれながら、鍛え上げた肉体だけを武器に魔法のエリートたちと戦う主人公マッシュと、ナニモノにも媚びず己のラップ、DJの腕っぷしを磨き上げ、生身でシーンを突き進むCreepy Nuts自身の姿を重ね合わせ描いたボースティングソング。\n\nDJ松永による独創的なトラックに、R-指定の“Bling-Bang-Bang-Born”（ブリンバンバンボン）という呪文のようなリリックが耳にこびりつく、依存性抜群の一曲だ。\n\n1月7日に配信リリースされ、TikTokでのオープニングのアニメーションに合わせたダンスチャレンジの流行をきっかけに、国内外のチャートを席巻。Amazon Music、Apple Music、AWA、LINE MUSIC、Spotifyなど主要音楽配信サービスの国内ストリーミングランキングで1位を獲得。\n\nさらに、海外のiTunes HIPHOPチャートにおいても、インドネシア、台湾、ラオス、メキシコ、チリ、ウクライナなど10ヵ国以上で1位に輝き、アメリカのiTunes Hiphopチャートでも最高6位を記録。Apple Musicのグローバルチャートでは2月13日に2位まで上昇。\n\n世界でヒットしている日本の楽曲をランキング化した「Global Japan Songs Excl. Japan」では、3週連続で首位、2月15日発表のオリコンでは「週間デジタルシングル（単曲）ランキング」「週間ストリーミングランキング」「週間合算シングルランキング」でそれぞれ1位となり、「オリコン週間音楽ランキング」3冠を達成した。\n\nまた、1月7日にアニプレックスのオフィシャルYouTubeチャンネルで公開された「Bling-Bang-Bang-Born」のノンクレジットオープニングムービーは、公開からわずか2週間で1,000万回再生を突破、現在は4,000万回再生を突破している。\n\nなお、リリースから5週目でのストリーミング1億回再生突破は、Creepy Nutsにとって自身最速となる。\n\nそして、「Bling-Bang-Bang-Born」とTBS系金曜ドラマ『不適切にもほどがある！』の主題歌として書き下ろした「二度寝」を収録し、3月20日にリリースされる両A面シングル「二度寝 / Bling-Bang-Bang-Born」の期間生産限定盤のアニメ描き下ろしジャケットのデザインも解禁。\n\n期間生産限定盤には、TVアニメ『マッシュル-MASHLE- 神覚者候補選抜試験編』ノンクレジットオープニングムービーも収録される。\n\nリリース情報\n2024.01.07 ON SALE\nDIGITAL SINGLE「Bling-Bang-Bang-Born」\n\n2024.01.27 ON SALE\nDIGITAL SINGLE「二度寝」\n\n2024.03.20 ON SALE\nSINGLEG「二度寝 / Bling-Bang-Bang-Born」\nTHE FIRST TIMES編集部",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240217-06876026-mnet-000-1-view.jpg?pri=l&w=512&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/b1a1599a7440fb271a4b2f346bfbd869ad1f77f5/images/000', 'https://www.thefirsttimes.jp/news/0000386576/attachment-sns/']"
