headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
自民・野田聖子氏「政策活動費、機密保持に最低限必要」（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/534ee850b8b35f93e5f08cd8e19acc207460c792,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000090-asahi-000-2-view.jpg?exp=10800,2024-02-28T23:21:27+09:00,2024-02-28T23:24:15+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,280,\n超党派の「人口減少戦略議連」の設立総会であいさつする自民党の野田聖子・前少子化担当相=2023年3月14日、国会内\n■自民党・野田聖子元総務相（発言録）\n\n （政党から政治家にわたされる政策活動費について）機微に触れる外交、例えば今で言うとパレスチナとか。公費で行けない、表に出せないところの機密保持は最低限必要だと思う。きちっと選別すれば良い。これまでの古い習慣をやめていくのは当たり前だけど、やむにやまれぬ外交、議員外交で必要なものは理解して頂く努力をし、国民に説明を果たしていかなければならないと思う。（BSTBSのテレビ番組で）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000090-asahi-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/534ee850b8b35f93e5f08cd8e19acc207460c792/images/000']
北朝鮮サッカー女子代表に「勝て!」と同胞ら歓声　監督は試合後に涙（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/b185587c31b3124e01d606b3c8514c515db2c025,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000089-asahi-000-1-view.jpg?exp=10800,2024-02-28T23:00:00+09:00,2024-02-28T23:00:00+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,788,\n日本に敗れた北朝鮮の選手たちに声援を送るサポーター=西岡臣撮影\nサッカー女子のパリ五輪アジア最終予選で28日、日本（なでしこジャパン）と対戦した北朝鮮代表。約6年ぶりの来日とあって、東京・国立競技場には日本在住の同胞がチームカラーの赤いシャツを着込んで集結。試合には敗れたが、「チョソン、イギョラ！」（朝鮮、勝て！）の大歓声をスタジアムに響かせた。\n【写真】北朝鮮サッカーチームの裏で動く公安当局 前売り券3千枚の行方は\n日本のスポーツ庁によると、北朝鮮の代表選手の来日は、2019年3月にさいたま市であったフィギュアスケート世界選手権以来。サッカーの女子代表が来日するのは17年12月以来となる。リ・ユイル監督は前日の会見で「来たことのない異国で不安な気持ちもあった」と吐露した。\n\n 北朝鮮は新型コロナウイルス対策の名目で20年1月から約3年7カ月にわたり国境を封鎖していたが、昨年8月、カザフスタンで開かれたテコンドーの世界選手権に選手団を派遣。国際大会に復帰した。\n\n 在日本朝鮮人総連合会（朝鮮総連）の関係者によると、総連は東京で開催されるこの日の試合を前に、ホームページで現地応援を呼びかけていた。\n\n アウェー側のゴール裏は北朝鮮のチームカラーで真っ赤に染まり、「勝て 朝鮮！」「共和国の威容をとどろかそう！」と書かれた横断幕が掲げられた。2点ビハインドで迎えた後半36分に1点を取り返すと、サポーター席から地鳴りのような大歓声が響いた。\n\n 試合後、選手の顔は一様に暗かった。バスに乗り込む選手らに取材を申し込もうと声をかけたが、返答は得られなかった。\n\n リ監督は試合後の記者会見で応援について問われると、「同胞に申し訳ない気持ちだ。これからもっといい試合を見せられるようにがんばりたい」と涙を流した。（河野光汰）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000089-asahi-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/b185587c31b3124e01d606b3c8514c515db2c025/images/000', 'https://www.asahi.com/articles/photo/AS20240228002807.html?oai=ASS2X7GGRS2XUHBI01Y&ref=yahoo']"
なでしこGK山下、ライン上で好セーブ　大一番で光った、動じない心（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/311ae8117422bf789baef613174413c265baceb3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000087-asahi-000-2-view.jpg?exp=10800,2024-02-28T21:57:54+09:00,2024-02-28T22:12:49+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,528,\n前半、相手のシュートをセーブするGK山下杏也加=西岡臣撮影\n（28日、サッカー女子パリ五輪最終予選 日本2―1北朝鮮）\n\n 手放しかけた試合の流れを、ぐっと引き戻すセーブだった。\n【写真】「合格させるか迷った」135センチ 小よく大を制す長谷川唯の思考\n前半終了間際、日本はゴール前にパスを入れられた。相手選手がシュートを押し込もうとする。ボールは転々とゴールへ。\n\n そこに右手を伸ばしたのがGK山下。ライン上でボールをかき出した。\n\n 経験豊富な守護神としてチームを落ち着かせる存在だ。今回の招集メンバーで、8年前にリオデジャネイロ五輪出場権を逃したアジア最終予選を知るのは、主将の熊谷と山下のみ。「（当時は）選手が不安定になった」。独特の重圧を痛感した。\n\n だからこそ、この予選、最後尾で冷静な姿を示すことを意識した。北朝鮮との第2戦を迎える前も「1試合で決まる皇后杯のような気持ちで臨めれば」。自然体で迎えた。\n\n 後半、日本が2点目を奪う。チームメートの歓喜の輪が広がる中、山下は1人、自陣ゴール前で相手の出方をじっと観察していた。\n\n 動じない背番号1が、パリ行きの原動力になった。（藤野隆晃）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000087-asahi-000-2-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/311ae8117422bf789baef613174413c265baceb3/images/000', 'https://www.asahi.com/articles/photo/AS20230729002102.html?oai=ASS2X758MS2XUTQP00F&ref=yahoo']"
輪島の仮設住宅と避難所に移動スーパー　避難住民同士の再会に一役（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/d747c5f1fd5e463296973598d577b06a8dec2849,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000088-asahi-000-1-view.jpg?exp=10800,2024-02-28T22:00:00+09:00,2024-02-28T22:00:00+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,798,\n避難所を訪れ、避難者に食品などを手渡す、移動スーパー「とくし丸」のスタッフ（左）=2024年2月28日午後、石川県輪島市西脇町、伊藤進之介撮影\n石川県輪島市の避難所や仮設住宅で28日、移動スーパー「とくし丸」による、食品や日用品の無償配布があった。訪れた人たちは、果物や野菜、刺し身を手に取り、笑顔を見せた。\n【写真】移動スーパー「とくし丸」の販売員（左）と話す、上野正子さん（中央）と知り合いの女性=2024年2月28日午後、石川県輪島市西脇町、伊藤進之介撮影\nトマトやバナナを受け取った上野正子さん（79）は、24日に仮設住宅に入居したばかり。30棟ある住宅に誰が入居しているかわからなかったが、移動スーパーのおかげで、昨年末に会って以来、連絡も取れなかったという知り合いと再会した。食品を選んだ後も、近況を報告し合い、「まさか一緒になるとはね。これから一緒にお散歩できるね」と話していた。\n\n 「とくし丸」は1月中旬から無償配布を始めた。細かなニーズに合わせ、軽トラックで地域を回るノウハウを生かして、支援物資や食料を届けてきた。仮設住宅での生活も始まりつつある現在では、必要な物や頻度などを聞き取り、通常の移動販売に移行する時期だと言う。\n\n 本社スタッフの中嶋聖さん（44）は東京から一時的に派遣され、羽咋市のスーパーで物資を調達。輪島市、珠洲市、能登町、志賀町で現地スタッフとともに、被災地を巡っている。\n\n 「移動スーパーは憩いの場にもなります。地元の販売パートナーさんは住民と顔見知りです。自身も被災しながら、地域の方の安否確認をし、食品を届ける彼らの存在はとても大きいです」と話していた。\n\n 今後、まだ訪れていない仮設住宅を中心に、無償配布や聞き取りを行いながら、震災前から巡回している地域と合わせて移動販売を行うという。（伊藤進之介）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000088-asahi-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/d747c5f1fd5e463296973598d577b06a8dec2849/images/000', 'https://www.asahi.com/articles/photo/AS20240228004103.html?oai=ASS2X72SMS2XUQIP036&ref=yahoo']"
作業中の合格者番号を誤掲載　29日発表予定、福井県の公立高入試で（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/f0b747937740cc0d5cee554f7f3edf3ae576fc5c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000086-asahi-000-2-view.jpg?exp=10800,2024-02-28T21:30:00+09:00,2024-02-28T23:17:44+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,342,\n福井城址にある福井県庁\n福井県教育委員会は28日、県立若狭東高校のホームページ（HP）に、作業中の入試合格者番号一覧が誤って掲載されていたと発表した。同校は29日午後に合格発表を予定していた。\n【写真】北陸応援割、石川も3月16日開始へ 観光客と避難者両立可能と判断\n県教委によると、システム管理を委託している業者がHPの更新作業中に誤って掲載したという。見られるようになっていたのは28日午後4時半からの約50分間。同校に一般の人から電話で指摘があり発覚した。\n\n 同校の一般選抜の募集人員は144人で、90人が受験していた。合格発表は予定通りに行うという。同教委は「受験生らに迷惑をかけ、おわび申し上げます。再発防止に努めます」としている。（朝倉義統）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000086-asahi-000-2-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/f0b747937740cc0d5cee554f7f3edf3ae576fc5c/images/000', 'https://www.asahi.com/articles/photo/AS20240228003615.html?oai=ASS2X6WJYS2XPISC015&ref=yahoo']"
鉄骨やガラスで船形に　インドネシア、万博パビリオンのデザイン発表（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/a620701bc99ae23ba9364d37b1d5e70e6929a990,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000085-asahi-000-3-view.jpg?exp=10800,2024-02-28T21:28:31+09:00,2024-02-28T21:33:44+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,256,\nインドネシアのパビリオンの模型=2024年2月28日、大阪市北区、諏訪和仁撮影\n2025年の大阪・関西万博に独自パビリオンを出展するインドネシアが28日、大阪市内のホテルでデザインの発表会を開いた。4月に着工し、25年2月に完成させる予定という。\n【写真】インドネシアのパビリオンの模型=2024年2月28日、大阪市北区、諏訪和仁撮影\nパビリオンの敷地面積は1750平方メートル。デザインは、海洋国家らしく船をモチーフにした。鉄骨、コンクリートに木材やガラスを組み合わせ、船形に仕上げる。\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000085-asahi-000-3-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/a620701bc99ae23ba9364d37b1d5e70e6929a990/images/000', 'https://www.asahi.com/articles/photo/AS20240228004185.html?oai=ASS2X73XMS2XULFA035&ref=yahoo']"
「原点回帰」でつかんだパリ五輪の切符　なでしこ池田監督の采配的中（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/5960850e1c3b6241e0a401b9e62517676522d95e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000084-asahi-000-2-view.jpg?exp=10800,2024-02-28T21:26:00+09:00,2024-02-28T21:38:14+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,680,\n前半、先制のゴールを決める高橋はな=西岡臣撮影\n（28日、サッカー女子パリ五輪最終予選 日本2―1北朝鮮）\n\n 負ければ終わりの第2戦。動いたのは、日本の池田監督だった。\n【写真】「合格させるか迷った」135センチ 小よく大を制す長谷川唯の思考\n0―0に終わった第1戦からシステムを変更。昨年夏のワールドカップ（W杯）で使っていた3―6―1に戻した。W杯以降、ボランチで起用していた主将の熊谷をセンターバックに戻した。いわば「原点回帰」だ。\n\n さらに、第1戦で機能しなかった左サイドの2人を入れ替えた。27歳のMF上野と、追加招集で選んだ26歳のMF北川。ともに池田監督が就任してからほとんど起用したことがない2人を大一番で使った。\n\n 狙いは「アグレッシブ（積極的）に、ゴールを求めていく」こと。この采配が、当たった。\n\n 立ち上がり。北川は得意のドリブルで前にボールを運んだ。上野はポストプレーで起点を作る。第1戦と同じように5人が最終ラインに並んだ北朝鮮は戸惑っていた。\n\n 前半26分の先制点は、この2人が絡んだもの。北川が蹴った直接FKのこぼれ球を長身の上野が折り返し、最後はDF高橋が押し込んだ。\n\n 司令塔のMF長谷川は言っていた。「一つ試合をしたことで、日本に有利に働く」と。第1戦は、想定外だった北朝鮮の5バックを崩しきれなかった。第2戦は違った。同じシステムだった北朝鮮に対し、自分たちが変化して2点を奪い、勝利をもぎとった。\n\n 地力を示してつかんだ、パリ五輪の切符だった。（照屋健）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000084-asahi-000-2-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/5960850e1c3b6241e0a401b9e62517676522d95e/images/000', 'https://www.asahi.com/articles/photo/AS20230729002102.html?oai=ASS2X730BS2XUTQP00G&ref=yahoo']"
中学生の集団避難、輪島市が3月下旬までに終了検討　現在は220人（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/6ec5eaf45497c74c2f6e5ee5e343052af0de4d2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000083-asahi-000-1-view.jpg?exp=10800,2024-02-28T21:00:00+09:00,2024-02-28T21:00:00+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,422,\n集団避難するバスに乗り込む中学生たち=2024年1月17日、石川県輪島市、西岡臣撮影\n能登半島地震で集団避難をしている石川県輪島市の中学生約220人について、3月下旬までに集団避難を終了させる方向で検討していることが28日、市教育委員会への取材でわかった。\n【写真】輪島市と白山市の地図\n市教委によると、中学3年生は卒業式に合わせて3月上旬、中学1、2年生は3月下旬の終了をめざすという。理由について、小川正教育長は「道路や上下水道の整備は進んでいる。長引けば輪島から出る方もいると思うので、一人でも多く帰ってきて欲しいという思いだ」と話した。今後保護者の意向も聞きながら、近日中に決定するという。\n\n 市は、市内にある三つの中学校の全生徒401人のうち、希望した生徒を約100キロ離れた同県白山市の施設へ集団避難させ、同行した教員らと施設で生活している。当初は集団避難の期間を最長2カ月と見込んでいた。（小川聡仁）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000083-asahi-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/6ec5eaf45497c74c2f6e5ee5e343052af0de4d2c/images/000', 'https://www.asahi.com/articles/photo/AS20240228003383.html?oai=ASS2X6G77S2XPIHB016&ref=yahoo']"
なでしこ、五輪の切符つかむ　北朝鮮を2-1で制す（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/1828a711cdba617c1095dc9d21295ecfa043a511,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000082-asahi-000-5-view.jpg?exp=10800,2024-02-28T21:00:00+09:00,2024-02-28T21:32:18+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,172,\n後半、チーム2点目のゴールを決め喜ぶ藤野あおば（15）と長谷川唯=西岡臣撮影\nサッカー女子のパリ五輪アジア最終予選は28日、世界ランク8位の日本（なでしこジャパン）が東京・国立競技場で北朝鮮代表に2―1で勝利。2大会連続の五輪出場を決めました。\n【写真】北朝鮮に勝利し、パリ五輪出場を決め喜ぶ日本代表の選手たち=西岡臣撮影\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000082-asahi-000-5-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/1828a711cdba617c1095dc9d21295ecfa043a511/images/000', 'https://www.asahi.com/articles/photo/AS20240228003814.html?oai=ASS2X5T17S2XUQIP025&ref=yahoo']"
米軍ヘリが佐賀空港を低空飛行　事前連絡なし、民間機の出発直前（朝日新聞デジタル）,https://news.yahoo.co.jp/articles/8c29efc1ac6bbe74a49688bcdc621a82dfd9c3d8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000081-asahi-000-1-view.jpg?exp=10800,2024-02-28T20:44:46+09:00,2024-02-28T20:44:46+09:00,朝日新聞デジタル,asahi,朝日新聞デジタル,389,\n佐賀空港=2023年9月7日、佐賀市、朝日新聞社ヘリから、日吉健吾撮影\n佐賀県は28日、「米軍ヘリが佐賀空港の滑走路付近を低空飛行した」と発表した。直後に民間機が出発予定だったといい、県は米軍側から事前に連絡がなかったことを問題視。防衛省を通じて米軍に対し、事実確認と再発防止を求めた。\n\n 県によると、ヘリは28日午後0時10分ごろ、佐賀空港の西側から飛来し、2～3分かけて東側へ抜けていった。高度は10～20メートルだったという。空港の職員や管制官が目視で確認した。県から連絡を受けた防衛省が米軍機だと確認したが、所属や機体の種類はわかっていない。\n\n 佐賀空港では民間の定期便が2～3時間おきに離着陸しており、米軍ヘリが飛来した直後の0時15分に全日空機が出発する予定だった。この全日空機を含め、航空機の運航に支障はなかったという。（野上隆生）\n朝日新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240228-00000081-asahi-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/8c29efc1ac6bbe74a49688bcdc621a82dfd9c3d8/images/000']
