headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
さらば森田哲矢　キングオブコントでの〝２度の不正〟告白「今だから言いますけど…」（東スポWEB）,https://news.yahoo.co.jp/articles/697864ad2ad5c04353cd89059f27177dcd0ce7ce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294789-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T23:21:42+09:00,2024-03-08T23:21:42+09:00,東スポWEB,tospoweb,東スポWEB,1038,\n森田に冷静に突っ込んだ大悟\nお笑いコンビ「さらば青春の光」森田哲矢が8日放送のフジテレビ系「酒のツマミになる話」に出演。「キングオブコント（KOC）」での〝裏技〟を明かし共演者を驚かせた。\n\n「一番勉強をした時期は？」という話題になり、森田は「賞レース前」と回答。特にKOCは過去6回決勝に進んでおり「松竹辞めたんが2013年なんで、そこから5回（決勝に）行かせてもらってんですけど、そこの生命線って僕ら賞レースしかないんです。テレビは何も呼ばれないから、賞レースで年1回全国ネットでネタするっていうのが、1年食つなぐための術だった。ここ通るためにはどんな手段使っても通らないといけない」と当時を振り返った。\n\n 森田が出場していた当時は、準決勝は主催者が出演者を1日目の昼公演と、2日目の夜公演に振り分けていたそうだが「例年見てたら圧倒的に1日目の昼公演のほうがお客さんがあったかいんです。だから、なんとしてでも1日目に俺らはエントリーしないといけない。でもこれはKOC側がランダムで呼ぶので、ほんと今だから言いますけど、2日目は仕事入ってるふりして、『スケジュール埋まってるんで、すみません』と」とタレント兼事務所社長だからできる〝裏技〟を駆使したと語った。\n\n これに千鳥・大悟は「じゃあ、不正ということですね」と冷酷にポツリ。\n\n 森田は「青春って言ってください！」と苦笑したが、千鳥・ノブは「そこまで頭回してたんか～」と大いに関心した様子だった。\n\n さらに森田は決勝についても「絶対にいい出来で終わらないといけない。で、KOCって時間が4分なんです。でもどうしても4分をオーバーしちゃうんですよ、ネタ合わせしたたら。KOC側は大会の規定で『4分を超えると強制終了で暗転します』と僕らに言ってくるんですよ。それが『ホンマなんかな？』とちょっと思って。『生放送で暗転ってホンマか？』と」とルールに疑問を感じたという。\n\n そこで、一緒に決勝に出場した「バイキング」の1本目をネタに注目したところ、4分を超えていたそうで「暗転もしない。だから俺らもゆっくりやったっす。これはほんと『申し訳ないけど、4分超えさせていただきます』と」とここでも〝裏技〟を炸裂させたと語った。\n\n 千鳥・大悟は「1回不正したやつって不正するって言うもんな」と冷たくツッコミ。森田は「不正ベースで始めるのやめて！ 青春です！！」とあわてていた。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294789-tospoweb-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/697864ad2ad5c04353cd89059f27177dcd0ce7ce/images/000']
湯原昌幸が６０周年記念新曲ディナーショー　妻の荒木由美子とは「新婚気分」（東スポWEB）,https://news.yahoo.co.jp/articles/2b4d10a1cee6d2edfc66ee46240aa1c354f29a51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294790-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T23:16:49+09:00,2024-03-08T23:16:49+09:00,東スポWEB,tospoweb,東スポWEB,615,\n左からタブレット純、荒木由美子、湯原昌幸\n歌手の湯原昌幸（77）が8日、都内でデビュー60周年記念シングル「たそがれロマン」の発売記念ディナーショーを開催した。\n\n 新曲のほか、120万枚を超える大ヒット曲「雨のバラード」（1971年）など全20曲を披露。結婚40周年を迎えた歌手で女優の妻・荒木由美子と「Fu・Ta・Ri」「都会の天使たち」の2曲、ゲストのタブレット純とも「誰よりも君を愛す」などをデュエットするシーンもあった。\n\n 湯原自身は芸能生活60周年、5日には喜寿となる77歳を迎え、荒木との結婚40周年など今年は〝めでたいことづくし〟。湯原は「いろんな周年が重なった奇跡の年です。僕は上がったり下がったりジェットコースターのような人生ですけど、今は気持ちよく振り返ることができます。これからも気力、体力、喉が続く限り歌い続けていきます」と意気込んだ。\n\n また、83年に結婚した妻を見ながら「親の介護もありましたら大変なお世話をかけた。感謝しています」と伝えると、荒木は「結婚した時は23歳。私たちの結婚40年のうち20年の介護があったわけですけど、湯原さんがすごく『ありがとう』という言葉をかけてくれた。今でも『ありがとう』という言葉が出る。子供も結婚して、2人だけの時間もある。今が新婚気分です」と笑顔。\n\n これに湯原も「気恥ずかしいけど、新婚気分はありますね」と照れた。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294790-tospoweb-000-1-view.jpg?pri=l&w=529&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/2b4d10a1cee6d2edfc66ee46240aa1c354f29a51/images/000']
【常滑ボート・ヴィーナスＳ】黒沢めぐみ予選突破「馬場貴也選手が上向かせてくれた。このエンジンから学ぶ」（東スポWEB）,https://news.yahoo.co.jp/articles/e92eb5c871814c1d40095f1427b97506648f59af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294788-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T23:11:37+09:00,2024-03-08T23:11:37+09:00,東スポWEB,tospoweb,東スポWEB,450,\n得点率１３位で準優にコマを進めた黒沢めぐみ\nボートレースとこなめの「ヴィーナスシリーズ第22戦常滑シンデレラカップ」は8日、4日間の予選を終了。準優勝戦に進むベスト18が決定した。\n\n 黒沢めぐみ（34＝東京）は4日目11R、3コースから果敢に握って3番手争いも道中、競り負けて4着。「3着は取りたかった」と肩を落としたが、予選13位で準優に駒を進めた。舟足に関しても「足併せしても下がらなかったし、伸びはいい」と力強い手応えをつかんでいる。\n\n 20号機は昨年12月の初下ろしから2回前の7節目までは予選突破、1着はなし。2連率も7％という低調機だった。しかし、前操者の馬場貴也が艇界トップクラスの手腕で立て直し。9戦6勝の成績で優勝に導いた。\n\n「馬場選手が整備して上向かせてくれた。あとは自分が天候に応じてしっかり合わせる。今後は自力でエンジンを出せるようになりたい。最近はエンジンに恵まれなかったし、このエンジンから学ぶ」とトップレーサーのエキスを吸収する。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294788-tospoweb-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/e92eb5c871814c1d40095f1427b97506648f59af/images/000']
【ソフトバンク】最速160キロ剛腕・杉山一樹が３回完全　首脳陣が認めた〝成長の跡〟とは（東スポWEB）,https://news.yahoo.co.jp/articles/a311c8b57d0be7d1b32c5c9110e64335eaa9eadf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294791-tospoweb-000-2-view.jpg?exp=10800,2024-03-08T23:36:24+09:00,2024-03-08T23:46:42+09:00,東スポWEB,tospoweb,東スポWEB,596,\nロッテ打線をぴしゃりと封じたソフトバンク・杉山一樹\n覚醒の予感しかしなかった。ソフトバンクの6年目右腕・杉山一樹投手（26）が8日、ロッテとのオープン戦（ZOZOマリン）で圧巻の投球を披露した。今季「中継ぎ一本」で勝負する最速160キロ右腕は、6回から4番手で登板。3イニングを一人の走者も許さないパーフェクト投球で存在感を放った。\n\n この日、千葉・幕張は最低気温1度と冷え込んだ。そんな中、最速は154キロをマーク。昨秋から課題だった制球難に改善の傾向が見られ、この日もカーブ、フォーク、カットボールを意図して操った。打者9人を41球で完全制圧。3ボールになったのは一度だけで、ボール先行になっても落ち着いた投球でカウントを整え、淡々と腕を振った。\n\n ゾーン勝負で押し込むスタイルに、倉野チーフ投手コーチ兼ヘッドコーディネーターは「迷いがなくなったというか、変な迷いがない。それがすごくいい方向にいっている」と、確かな成長を実感。\n\n 二軍監督時代に覚醒の兆しを感じ取っていた小久保監督も「杉山が一番の収穫。中ロングで誰をはめようかと倉野コーチと話をしている中で、どの球種でも今ストライクが取れるぐらいのスタイルになってきている」と目を細めた。\n\n 年明けから「今年一年が勝負と決めている」と強い覚悟で臨む未完の大器。このまま一気にブレークを狙う。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294791-tospoweb-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/a311c8b57d0be7d1b32c5c9110e64335eaa9eadf/images/000']
【新日本】高橋ヒロム　オカダ・カズチカのAEW大型契約に対抗心「25億円を手に入れてやる」（東スポWEB）,https://news.yahoo.co.jp/articles/9f35a5cea7ad4f175085e0e62ca37ca7add652a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294761-tospoweb-000-2-view.jpg?exp=10800,2024-03-08T23:26:25+09:00,2024-03-08T23:32:02+09:00,東スポWEB,tospoweb,東スポWEB,753,\n高橋ヒロム(左)とＡＥＷ入りが決まったオカダ・カズチカ.jpg\n新日本プロレス8日の山梨大会で、高橋ヒロム（34）が米国・AEWのオカダ・カズチカ（36）への対抗心をあらわにした。\n【写真】自軍の攻防を見守る高橋ヒロム\nヒロムはこの日の大会で内藤哲也、辻陽太、BUSHIと組んで「ユナイテッド・エンパイア」のジェフ・コブ＆グレート―O―カーン＆TJP＆フランシスコ・アキラと対戦。勝利こそ逃したものの、TJPにティヘラを決めるなど、軽快な動きで好調をアピールした。\n\n しかし、バックステージに戻ってきたヒロムは、なぜかおもむろにジャケットを床に叩きつける。「はあ…モノに当たっちまった。20億円か…目に見える評価っていいよな」とつぶやいた。\n\n この数字が意味するものは一つしかない。1月末に新日本を退団し、6日（日本時間7日）にAEWと正式契約したオカダは、取材により「3年総額20億円（推定）」という破格の大型契約を結んだことが判明している。\n\n これに刺激を受けたのか、ヒロムは「よし、こうなったらベスト・オブ・ザ・スーパージュニア大阪城ホールメインイベントの舞台に立って、5度目の優勝を果たし、25億円を手に入れてやる。チクショウ」と言い残し控室へ。\n\n 今年のジュニアの祭典「ベスト・オブ・ザ・スーパージュニア」（5月11日、千葉で開幕）は6月9日大阪城ホール大会で決勝戦が行われることが発表済みで、ヒロムはメインイベントでの開催を主張している。もちろん優勝したからといって、25億円などという大金は手に入らないのだが…。\n\n あえてオカダに触れた裏には、これまで日本プロレス界をけん引してきたレインメーカーに負けない活躍を目指す決意が表れていた。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294761-tospoweb-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/9f35a5cea7ad4f175085e0e62ca37ca7add652a7/images/000', 'https://www.tokyo-sports.co.jp/articles/photo/294761?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=bodylink&num=2']"
【日本アカデミー賞】安藤サクラが女優部門独占　最優秀賞Ｗ受賞で「よっしゃー！ やったー！」（東スポWEB）,https://news.yahoo.co.jp/articles/b79d7353dd7eda01972f141fb99aa3a493a7715f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294782-tospoweb-000-2-view.jpg?exp=10800,2024-03-08T22:51:30+09:00,2024-03-08T23:06:28+09:00,東スポWEB,tospoweb,東スポWEB,834,\n安藤サクラ\n日本映画界の祭典「第47回 日本アカデミー賞 授賞式」が8日、都内で開催され、女優の安藤サクラ（38）が最優秀主演女優賞・最優秀助演女優賞のW受賞を果たした。\n\n 最優秀助演女優賞は、山崎貴監督がメガホンをとった「ゴジラ－1．0」で受賞。昨年の「ある男」に続き、2年連続で同賞に輝いた。\n\n 昨年の受賞者がプレゼンターを務める関係で、安藤は発表時に恐縮気味に自身の名前を呼ぶことに。驚きとともに「ありがとうございます」と感謝し「最優秀助演女優賞は『ゴジラ－1．0』の…」と作品名を読み上げると、会場はどよめきに包まれた。\n\n この47回大会は「ゴジラ－1．0」が各最優秀賞を席巻した。「すごいですねゴジラ！ 勢いにのせていただいた感じです」と謙遜し「私はこの映画のなかでゴジラを見てもいませんし、ゴジラが来るとかそういう恐怖も感じておりません。ただ、皆様が作り出したあのすごいゴジラと、皆様のお芝居で作り出された世界観で、近所のおばさんはこんな賞をいただけました」と自身を作中のキャラクターと重ねながら感謝した。\n\n 勢いそのままに、是枝裕和監督の「怪物」で最優秀主演女優賞にも輝いた。自身3度目の同賞となったが、W受賞は想定外だったようで壇上で言葉が出なくなるシーンも。それでも是枝監督に感謝を伝えると「俳優部に限らず、皆さんと一緒に作っているという感覚が心地良い現場でした」と撮影を振り返った。\n\n また、今年のアカデミー賞は「ゴジラ－1．0」に注目が集まっていたなか「PERFECT DAYS」で最優秀主演男優賞を受賞した俳優・役所広司（68）が「これでやっとゴジラの牙を抜いた感じがします（笑い）」とおどける一幕があった。\n\n これを真似て「よっしゃー！ やったー！ これでゴジラの牙をまた1本抜いた！」とニヤリ。とはいえ、安藤はゴジラにも出演しており「けど…なんか複雑！」と締めて会場の笑いを誘った。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294782-tospoweb-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/b79d7353dd7eda01972f141fb99aa3a493a7715f/images/000']
元キンプリ岩橋玄樹　伊藤英明とのツーショット公開「小学生の時、海猿が大好きすぎて」（東スポWEB）,https://news.yahoo.co.jp/articles/3663dc4c03583515d42421f40692d96015bec504,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294787-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T23:06:28+09:00,2024-03-08T23:06:28+09:00,東スポWEB,tospoweb,東スポWEB,257,\n伊藤英明と岩橋玄樹\n元King＆Princeの岩橋玄樹（27）が8日、自身のX（旧ツイッター）を更新。俳優・伊藤英明（48）とのツーショットを公開した。\n\n 岩橋は「僕の憧れの俳優、伊藤英明さんとお話しする機会がありました！！小学生の時、海猿が大好きすぎて、クリスマスプレゼントは海猿のDVD BOXでした」と明かした。\n\n 続けて「そんな夢のような時間を今日も過ごせました。いつか映画やドラマで一緒に共演したいです」とつづり、ハッシュタグを付けて「岩橋玄樹」「伊藤英明」と投稿した。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294787-tospoweb-000-1-view.jpg?pri=l&w=640&h=417&exp=10800'],['https://news.yahoo.co.jp/articles/3663dc4c03583515d42421f40692d96015bec504/images/000']
【日本アカデミー賞】「ゴジラ－１．０」が大暴れ！ 最優秀作品賞など８冠達成（東スポWEB）,https://news.yahoo.co.jp/articles/61869cc7e967882b3ee76839f51f5fc5ff9a24ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294785-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T23:02:00+09:00,2024-03-08T23:02:00+09:00,東スポWEB,tospoweb,東スポWEB,482,\n山崎貴監督\n日本映画界の祭典「第47回 日本アカデミー賞 授賞式」が8日、都内で行われ、山崎貴監督（59）が手掛けた映画「ゴジラ－1．0」が最優秀作品賞を受賞した。\n\n 同作は1945年～47年を舞台に、第二次世界大戦で傷ついた民間人たちが力を振り絞って超難敵・ゴジラとの戦いに挑む物語だ。\n\n 最優秀作品賞の他にも、女優・安藤サクラ（38）が「最優秀助演女優賞」、山崎監督が「最優秀脚本賞」などを受賞したほか、「美術賞」「撮影/照明賞」「録音賞」「編集賞」なども最優秀賞に輝き、計8冠を達成。山崎監督は「本当に皆さんとゴジラが取った賞。めちゃくちゃ嬉しい」と安堵の表情で語った。\n\n 本作で主演した神木隆之介（30）は「監督、阿部さんをはじめ、スタッフ、キャストが一丸となってゴジラに立ち向かっていって。ゴジラに引っ張ってもらった」と〝世界的スター〟のゴジラにも感謝。\n\n また、浜辺美波（23）は「スタッフ、キャスト、全ての人にトロフィー（ブロンズ像）を切り刻んでお渡ししたいくらい」と独特な表現で全スタッフをねぎらった。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294785-tospoweb-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/61869cc7e967882b3ee76839f51f5fc5ff9a24ab/images/000']
【尼崎ボート・ＧⅠ尼崎センプルカップ】吉川元浩が地元唯一の優出「先のことは考えずしっかり…」（東スポWEB）,https://news.yahoo.co.jp/articles/ae3b069a49962a6a203931b764b50c55d4da3903,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294786-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T23:02:00+09:00,2024-03-08T23:02:00+09:00,東スポWEB,tospoweb,東スポWEB,431,\n機力をテクニックでカバーし、優出を決めた吉川元浩\nボートレース尼崎のG1「開設71周年記念 尼崎センプルカップ」は8日、準優勝戦が行われた。吉川元浩（51＝兵庫）は準優11Rのイン戦で、コンマ14のスタートからきっちり先マイし白星。地元勢で唯一の優出を決めた。\n\n「エンジンの割にはしっかり動ていると思います。抜けてる部分はないけど、グリップ感が気に入っているところ。島村選手の伸びとか丸野選手の出足とか、いい人には劣るかな」と感触はまずまず。突出した機パワーはなくとも、ここまで7走2勝2着4本3着1本のオール3連対と、持ち前のテクを発揮して上位着を並べている。\n\n 次節は2019年、20年と連覇したこともあるSGクラシック（戸田・15日開幕）が控える。「とりあえず明日の優勝戦やね。先のことは考えずしっかり行きたい」と目の前の一走に集中。当地では31V、そのうちG1で4Vと地元では無類の強さを誇るエースが、地元の牙城を守る。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294786-tospoweb-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/ae3b069a49962a6a203931b764b50c55d4da3903/images/000']
【宮島ボート・ＧⅡＭＢ大賞】宗行治哉がＧⅡ初参戦　前検は好感触「気負わず１勝を狙っていく」（東スポWEB）,https://news.yahoo.co.jp/articles/d51384e963fbea43936bcb4b57e2eeeb28cf676d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294783-tospoweb-000-1-view.jpg?exp=10800,2024-03-08T22:56:26+09:00,2024-03-08T22:56:26+09:00,東スポWEB,tospoweb,東スポWEB,265,\n宗行治哉\nボートレース宮島のG2「宮島モーターボート大賞 イーストVSウエスト宮島頂上バトル」が9日に開幕する。\n\n G2初参戦の宗行治哉（26＝広島）は78号機をゲット。2連率は30％も「前操者の檀（将太）さんが乗っているのを見ていて着より足はありそうと思っていた」と好印象を抱いていたエンジンだ。特訓でも「水面が悪くて分かりづらかったけど、1人で乗った分には乗りやすいし班で下がることもない」とまずまずの感触をつかんだ。\n\n 目標はG2初勝利。「気負わず1勝を狙っていく」と冷静にG2舞台に挑む。\n東スポWEB,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240308-00294783-tospoweb-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/d51384e963fbea43936bcb4b57e2eeeb28cf676d/images/000']
