headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「何かしら心境の変化はあるのか　法廷で喋ってくれることを願っている」　奥田交番襲撃事件　被告側の上告棄却受け遺族がコメント　富山（チューリップテレビ）,https://news.yahoo.co.jp/articles/db694a925e64ab8c242c1262c821bed3c2f3e862,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052802-tuliptv-000-3-view.jpg?exp=10800,2024-03-13T23:02:06+09:00,2024-03-13T23:36:24+09:00,チューリップテレビ,tuliptv,チューリップテレビ,703,\nチューリップテレビ\n2018年に起きた富山市の奥田交番襲撃事件をめぐる裁判で、最高裁は3月13日までに被告側の上告を退ける決定をしたことが、関係者への取材で分かりました。これにより名古屋高裁金沢支部の一審差し戻し判決が確定し、富山地裁でふたたび裁判員裁判が開かれることになります。亡くなった警備員の妻は「彼自身が自分の音場で喋ってくれることを願う」とコメントを出しました。\n\nこの事件は2018年6月、立山町の元自衛官・島津慧大被告（当時21）が富山市の奥田交番で勤務していた警察官を刃物で殺害し、奪った拳銃で近くの奥田小学校で警備の仕事をしていた警備員・中村信一さん（当時68）を殺害したものです。\n\n裁判ではおととし3月の控訴審判決で名古屋高裁金沢支部は強盗殺人罪の成立を認めず無期懲役とした一審判決に事実誤認があるとして、一審判決を破棄し、審理を富山地裁に差し戻しました。\n\nこの判決を不服とし島津被告側は上告していましたが、最高裁判所は3月13日までにこの上告の棄却を決定しました。\n\nこれにより名古屋高裁金沢支部の一審差し戻し判決が確定し、富山地裁でふたたび裁判員裁判が開かれることになります。\n\n被告側の上告棄却を受けて事件で命を落とした警備員・中村信一さんの妻は「島津被告本人が上告棄却をどういう思いで聞いたのか」とコメントしました。\n\n差し戻し審で期待することとして、一審の富山地裁では何も語らなかった島津被告に対し、「事件から6年近く経って何かしら心境の変化はあったのか。彼自身が自分の言葉で喋ってくれることを願っている」としています。\nチューリップテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052802-tuliptv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/db694a925e64ab8c242c1262c821bed3c2f3e862/images/000']
「検討し3人の議員が出席」 あすの政倫審に野上参院議員出席せず　派閥からのキックバック不記載　富山　（チューリップテレビ）,https://news.yahoo.co.jp/articles/4c3460b0380e53f17b3345e122466125378a8fc5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052707-tuliptv-000-1-view.jpg?exp=10800,2024-03-13T19:38:33+09:00,2024-03-13T19:38:33+09:00,チューリップテレビ,tuliptv,チューリップテレビ,375,\nチューリップテレビ\n14日開かれる参議院の政治倫理審査会に審査対象となっている野上浩太郎議員が出席しないことがわかりました。\n【写真を見る】「検討し3人の議員が出席」 あすの政倫審に野上参院議員出席せず 派閥からのキックバック不記載 富山\n野上議員を巡っては2019年からの3年間、派閥から計100万円のキックバックを受け取っていましたが、収支報告書に記載していませんでした。\n\n14日開かれる参議院の政治倫理審査会では、野上議員を含む安倍派の参院議員ら32人が審査対象となっています。\n\nただ、出席者は世耕前参院幹事長や橋本元大臣、それに西田参院議員の3人だけで野上議員は出席しません。\n\n理由について野上議員の事務所側は「各議員がそれぞれ検討し、最終的に3人の議員が出席する予定となった」としています。\nチューリップテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052707-tuliptv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/4c3460b0380e53f17b3345e122466125378a8fc5/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1052707?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1052707&image=2']"
「煙が充満して廊下に出られない」会社役員が通報　富山・高岡市のアパートから出火　けが人おらず　（チューリップテレビ）,https://news.yahoo.co.jp/articles/1ea587ae6817716d310ae4f8770782f39574f283,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052748-tuliptv-000-1-view.jpg?exp=10800,2024-03-13T20:24:56+09:00,2024-03-13T20:24:56+09:00,チューリップテレビ,tuliptv,チューリップテレビ,303,\nチューリップテレビ\n13日午前3時過ぎ、富山県高岡市福岡町荒屋敷の2階建てアパートに住む会社役員、山本勇始さん（48）から、「煙が充満して廊下に出られない」と消防に通報がありました。\n【写真を見る】「煙が充満して廊下に出られない」会社役員が通報 富山・高岡市のアパートから出火 けが人おらず\n火はおよそ30分後に消し止められましたが、山本さんの部屋の壁や床の一部を焼きました。山本さんは一人暮らしでけが人はいませんでした。\n\n実況見分の結果、火元は山本さんの部屋の1階玄関部分とみられ、焼失面積はおよそ3平方メートルです。\n\n警察は引き続き出火原因など調べています。\nチューリップテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052748-tuliptv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/1ea587ae6817716d310ae4f8770782f39574f283/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1052748?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1052748&image=2']"
「すごい記録」精神科病院で男性が描き続けた10年間の「痛み」の記録468点 苦しみがアート作品に（チューリップテレビ）,https://news.yahoo.co.jp/articles/e987147bf499b598b9ff3832aa5c7640607681bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052734-tuliptv-000-6-thumb.jpg?exp=10800,2024-03-13T21:03:52+09:00,2024-03-13T22:02:06+09:00,チューリップテレビ,tuliptv,チューリップテレビ,1740,\nチューリップテレビ\n富山県高岡市の精神科病院に入院する男性が描き続けたある膨大な記録が、富山市の美術館で展示され、その独創的な表現が注目を集めています。\n【写真を見る】「すごい記録」精神科病院で男性が描き続けた10年間の「痛み」の記録468点 苦しみがアート作品に\n富山市の県民会館美術館で開かれている「ボーダレス・アートセッションinとやま」、副題は「H氏とM氏とN氏の作品展」。富山県内の障害のある3人の展覧会で、それぞれの作品の世界観や人柄の魅力、創作のストーリーを伝えています。\n\n富山県内の障害者アートの見方を変えた傑作「フリーバード」を生んだのは、M氏こと村中洋介（むらなかようすけ）さん。\n\nM氏こと 村中洋介さん:「描けるか描けないかわからない」\n\n誰も真似できない斬新な色使いでモダンでおしゃれな人物画を描き続けているのはN氏こと中谷稔（なかやみのる）さん。\n\nN氏こと 中谷稔さん:「僕は中谷稔です、何歳か…言わない」\n\n中でも、異彩を放っていたのはー。\n\n富山県障害者芸術活動支援センター\nばーと◎とやま 米田昌功代表:「読みましょうか、これ強烈すぎて『聖母マリアの中はケンの子がくっつき光の中のタマゴになる前のヒヨコが潰れたようなものでは?』って問いかけてるんです、その起きていることを」\n\n体にも頭にもいるヒヨコ。頭を突き抜けていく鉄塔。\nこれらすべて色も形もない、「痛み」を描いたものです。\n\n■痛みに耐え「描いている時だけは落ち着く」\n\nこの「痛み」の記録を描いたのは高岡市の精神科病院に長期入院しているH氏です。\n\nばーと◎とやま 米田昌功代表:「よう描きましたね、こんなにいっぱい」\n\nH氏:「よう描いた」\n\n心の病を抱えていたH氏。大けがをしたことがきっかけで、自分の中に起きる痛みや違和感と向き合い始め、人知れず記録を描き続けてきました。\n\nこの記録に最初に目を留めたのは、6年前、雑誌の取材で病院を訪れたカメラマンの大西暢夫（おおにしのぶお）氏です。\n\n大西氏は県障害者芸術活動支援センター「ばーと◎とやま」の米田昌功（よねだまさのり）代表に連絡、米田代表がH氏と面談を重ね、10年間に及ぶ膨大な量の記録があることがわかりました。\n記者:「どうして描き始めたんですか、痛みを」\n\nH氏:「メモみたいなことして、しばらくほっておいたら、次から次から頭に浮かんできた」\n\nH氏は発表するために記録を描いていたのではありません。米田さんによりますと、絶えず襲ってくる痛みが「描いている時だけは落ち着く」と話していたということです。\n\n■痛みがヘビのように中枢神経に巻きつく様子\n\n発見された翌年には、H氏の記録はフランス・リヨンのビエンナーレで展示され、「見たことのない」「唯一無二の表現」として高い評価を受けました。\n\n今回の展覧会では初めて、ノートや便せんに綴った初期の記録からルーズリーフに清書した記録まで10年分468点が会場を埋め尽くします。\n\n痛みは頭のどこからどこへ通っていくのか、部位ごとに番号を振って記録した日もあれば、痛みがヘビのように中枢神経に巻きつき「首長怪獣」のように起き上がると表現した日も…。\n\n■作品を読んで、見て、苦しみを “疑似体験”\n\nH氏は、自身を襲ってくる痛みや後遺症、違和感を、知る限りのあらゆるモチーフや記号、言葉を駆使して、克明に説明しようとしています。\n\n10年間自分を苦しめる症状と向き合い続けた切実な記録です。\n\n訪れた人:「すごいいっぱい書いててびっくりしました」\n\n訪れた人:「体一つでこれだけのことを考えて。すごい記録だなと思って」\n\nH氏の唯一無二の表現が訪れた人を驚かせています。\n\nばーと◎とやま 米田昌功代表:「この作品のすごいところはこれを読んで絵を見ることでHさんの苦しみを疑似体験する。人間の心のもっている重要なもの、コアな部分に触れられる」\n\n3人3通りのありのままの表現が、人の面白さや心の不思議を感じさせてくれます。\nチューリップテレビ,[],['https://newsdig.tbs.co.jp/articles/gallery/1052734?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1052734&image=2']
春を告げる「いみずサクラマス」初出荷　脂乗り良く出来は上々　ます寿しの原料にも　富山・射水市（チューリップテレビ）,https://news.yahoo.co.jp/articles/0198557a0f9047749ddc01befcdf57ab47d2ebd4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21051670-tuliptv-000-2-view.jpg?exp=10800,2024-03-13T18:51:40+09:00,2024-03-13T19:44:31+09:00,チューリップテレビ,tuliptv,チューリップテレビ,495,\nチューリップテレビ\n富山県射水市でブランド化されているサクラマスの、今シーズンの初出荷が13日おこなわれました。\n【写真を見る】春を告げる「いみずサクラマス」初出荷 脂乗り良く出来は上々 ます寿しの原料にも 富山・射水市\n佐藤優里アナウンサー:「新湊大橋のすぐ横にあるこちらのいけすでは、サクラマスが5か月間飼育されきょう初出荷されます」\n\nます寿しの原料として知られるサクラマスは、近年天然での漁獲量が激減していることから、射水市の堀岡養殖漁業協同組合が6年ほど前から完全養殖をおこなっています。\n\n養殖のサクラマスは寄生虫がつきにくいため生で食べることができ、脂の乗りがよいのが特徴です。\n\nこの日水揚げされたサクラマスは、去年の11月から養殖を始めたもので、組合ではおよそ1万2000匹を県内外の飲食店を中心に出荷するということです。\n\n堀岡養殖漁業協同組合 養殖リーダー\n酒井克典さん:「今けっこう大きいサイズの魚も水揚げできましたし、かなり今年はいい出来の魚が水揚げできたかなと思います。5月末まで全力で頑張っていこうと思います」\nチューリップテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21051670-tuliptv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/0198557a0f9047749ddc01befcdf57ab47d2ebd4/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1051670?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1051670&image=2']"
朝乃山　大関・霧島下す　初日から上位陣との対戦続くも2勝1敗に　あすは大関・豊昇竜と対戦（チューリップテレビ）,https://news.yahoo.co.jp/articles/07b664187d0b3ba53eb44e7e3b9887c1c44e8b07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-13T18:51:40+09:00,2024-03-13T18:51:40+09:00,チューリップテレビ,tuliptv,チューリップテレビ,263,\n大相撲春場所は4日目。富山市出身の朝乃山は初日から上位陣との対戦が続いていて、ここまで1勝2敗です。\n\n4日目の相手は、いまだ初日が出ていない大関・霧島。\n\n立ち合い、激しくぶつかった朝乃山。出足良く一気に前へでて、そのまま寄り切り。\n\n大関相手にこれで2勝目。今場所の成績を2勝2敗としました。\n\n朝乃山:「しっかり残れたので良かったと思います。あしたは大関戦最後なので前に出れば自分の相撲というか、体をいかした相撲ができますので、しっかり相手をよくみて正面において攻めていきたい」\nチューリップテレビ,[],[]
奥田交番襲撃事件は地裁の審理やり直しへ　最高裁が島津被告側の上告を棄却（チューリップテレビ）,https://news.yahoo.co.jp/articles/73ccee30e9539383814fea086043ba2167ea4ae1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052510-tuliptv-000-3-thumb.jpg?exp=10800,2024-03-13T19:36:28+09:00,2024-03-13T22:08:30+09:00,チューリップテレビ,tuliptv,チューリップテレビ,455,\nチューリップテレビ\n2018年に起きた富山市の奥田交番襲撃事件をめぐる裁判で、最高裁は3月13日までに被告側の上告を退ける決定をしたことが、関係者への取材で分かりました。\n【写真を見る】奥田交番襲撃事件は地裁の審理やり直しへ 最高裁が島津被告側の上告を棄却\nこの事件は2018年6月、立山町の元自衛官・島津慧大被告（当時21）が富山市の奥田交番で勤務していた警察官を刃物で殺害し、奪った拳銃で近くの奥田小学校で警備の仕事をしていた警備員の男性を殺害したものです。\n\n裁判ではおととし3月の控訴審判決で名古屋高裁金沢支部は強盗殺人罪の成立を認めず無期懲役とした一審判決に事実誤認があるとして、一審判決を破棄し、審理を富山地裁に差し戻しました。\n\nこの判決を不服とし島津被告側は上告していましたが、最高裁判所は3月13日までにこの上告の棄却を決定しました。\n\nこれにより名古屋高裁金沢支部の一審差し戻し判決が確定し、富山地裁でふたたび裁判員裁判が開かれることになります。\nチューリップテレビ,[],['https://newsdig.tbs.co.jp/articles/gallery/1052510?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1052510&image=2']
アクセサリー小売業「スリーステッキ」破産　大型商業施設との競合激化で資金繰り限界に　負債約6400万円（チューリップテレビ）,https://news.yahoo.co.jp/articles/e01f633b485581e918ae72eb62ee0f11c7a47591,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052300-tuliptv-000-1-view.jpg?exp=10800,2024-03-13T17:51:37+09:00,2024-03-13T17:51:37+09:00,チューリップテレビ,tuliptv,チューリップテレビ,506,\nチューリップテレビ\nネックレスやイヤリングなどのアクセサリー、洋服、雑貨の小売店経営の有限会社「スリーステッキ」が2月29日までに、破産手続きを開始していることが帝国データバンクの調べでわかりました。\n\n帝国データバンク富山支店によりますと、スリーステッキは1998年（平成10年）設立のアクセサリー小売業者で、設立当初はステッキの卸業務を主業務としていました。\n\n2001年に小売店をオープンして以来、ネックレスやイヤリングなどのアクセサリー、洋服、雑貨の小売を行い、一時期は富山、石川、福井に合わせて4店舗を経営し、最盛期とみられる2008年9月期は、売上高2億8000万円を計上していました。\n\nしかし、大型商業施設との競合などで集客が進まず、売上高が伸び悩む中で順次店舗を閉鎖、その後も新型コロナの感染拡大の影響で苦戦し、2023年9月期の売上高は1600万円まで減少、数年にわたり赤字決算となっていました。\n\n業容が縮小する中で、資金繰りは限界に達し2023年12月で最後の1店舗を閉鎖、実施的に営業を停止していました。負債総額は約6400万円とみられます。\nチューリップテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052300-tuliptv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/e01f633b485581e918ae72eb62ee0f11c7a47591/images/000']
“煙の臭い” がして “火災報知器が鳴っている” …集合住宅で火事　92歳男性が死亡 出火原因はタバコの火か　富山・上市町（チューリップテレビ）,https://news.yahoo.co.jp/articles/8aae63f6b4bd946c3806ef2002cb23d596717c40,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21051780-tuliptv-000-6-view.jpg?exp=10800,2024-03-13T16:59:28+09:00,2024-03-13T18:29:27+09:00,チューリップテレビ,tuliptv,チューリップテレビ,529,\nチューリップテレビ\n13日午前、富山県上市町の町営住宅の部屋から火が出て、火元の部屋に住んでいた92歳の男性が死亡しました。焼けた部屋からはタバコの吸い殻が見つかっていて、タバコによる火事とみられます。\n【写真を見る】“煙の臭い” がして “火災報知器が鳴っている” …集合住宅で火事 92歳男性が死亡 出火原因はタバコの火か 富山・上市町\n記者:「富山県内ではきのう夕方から火事が相次いでいて、こちらの集合住宅では、一人暮らしの92歳の男性が亡くなりました」\n\n警察によりますと、13日午前8時50分頃、富山県上市町稗田の3階建て町営住宅で、訪問介護に来た人から「煙の臭いがする。火災報知器が鳴っている」と消防に通報がありました。\n\n消防車6台がかけつけ火はおよそ30分後に消し止められましたが、火元の部屋に一人で住んでいた無職の山崎利盛さん（92）が病院に搬送され意識不明の重体で、その後死亡が確認されました。\n\nこの火事による他の部屋への延焼はありませんでした。\n\n警察と消防の実況見分の結果、焼失面積はおよそ340平方センチメートルで、出火原因は和室付近から見つかったタバコによるものとみられています。\nチューリップテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21051780-tuliptv-000-6-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/8aae63f6b4bd946c3806ef2002cb23d596717c40/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1051780?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1051780&image=2']"
若年性認知症になった夫は5年で愛する妻の名前もわからなくなった　夫の笑顔を見るために…妻の懸命な介護の記録（チューリップテレビ）,https://news.yahoo.co.jp/articles/52172923b876c4daed7c63b5a644c1dc9cb00b17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240313-21052351-tuliptv-000-1-thumb.jpg?exp=10800,2024-03-13T20:16:53+09:00,2024-03-13T20:16:53+09:00,チューリップテレビ,tuliptv,チューリップテレビ,2997,\nチューリップテレビ\n65歳未満で発症する「若年性認知症」。高齢者の認知症よりも進行のスピードが早く、女性よりも男性に多いのが特徴です。発症から5年もたたないうちに愛する妻の名前もわからなくなり、歩けなくなった夫。妻が懸命の介護を続けるのは、夫の笑顔を見るためでした。\n【写真を見る】若年性認知症になった夫は5年で愛する妻の名前もわからなくなった 夫の笑顔を見るために…妻の懸命な介護の記録\n2023年9月の朝。\n富山県高岡市に住む塚本彰さん（67）は、妻の沙代子さんに介助してもらいながらベッドから立ち上がりました。そして、いつものあいさつ。\n\n妻・沙代子さん:「彰さん目覚めた?おはよう。ふふふ。笑ってる。起きれる?起きてみよっか。はい。ワンツースリー。パン。目覚めた?よかった。うまいうまい。できたできた」\n\n彰さんは、63歳のとき「若年性認知症」を患い、沙代子さんが一人で介護してきました。\n\n■妻の名前も忘れ言葉を発することも…\n\n沙代子さん「彰さん。また寝たの?」\n彰さん:「うん」\n沙代子さん:「声聞こえてうれしい。可愛いがいぜね。声。うんうん。2回目の声もうれしい。笑ってくれるとうれしい。いつもやってるのがこれね。あなたは彰。私は沙代?」\n\n彰さん:「子か」\n沙代子さん:「そうそう。『子』だけ言ってくれる。沙代子の名前も言えないし、忘れてるんですけどいつもパターンで子だけ言ってくれるので。今に子も言えなくなるのかなと思いつつも、でも日々繰り返しているんです」\n\nこの時はまだ、沙代子さんの質問にもわずかですが反応がありましたが、すでに愛する妻の名前もわからなくなり、言葉を発することも次第に難しくなっていました。\n\n沙代子さん:「声だけだと分からないけど、手で触ると伝わることはあるかと思って…。笑ってもらえなくなったら本当にさみしい。いつも変顔したり色んなことして、笑ってもらえるように頑張ってます。昔からの優しさとか「うん」とかそういうものを最後まで残してくれてるのかなって思っていて、できるだけそれを続けていくことで、私は毎日を乗り切ってるんです」\n\n■”友達同士”同じ悩みを共有する場を\n\nそんな2人が月に2回通っている場所があります。\n彰さんが若年性認知症を発症したのを機に、沙代子さんが立ち上げた「フレンズ」です。\n\n65歳未満で発症した若年性認知症の患者は、全国に3万5000人以上いるとされていますが、患者同士のつながりはほとんどありません。\n\nそのため、沙代子さんは、富山県内で認知症の配偶者を持つ夫婦が心置きなく胸の内を話し、楽しむことができる場が必要だと考え、このフレンズをつくりました。\n\n設立から4年あまりが経過し、今では毎回、10人を超える夫婦が集まり、それぞれが悩みなどを打ち明けています。\n\n沙代子さん:「自分たちみたいな人がほかにも絶対におられるなと思って。私たちだけじゃないよねと思って、お友達を作る意味で『フレンズ』という名前にしました」\n\n■どうして夫が…好きなウクレレも弾けなく\n\n理学療法士だった彰さんは26歳の時に沙代子さんと結婚し、3人の子どもにも恵まれました。温厚な性格で人望が厚く、仕事も熱心で、富山県理学療法士協会の会長も務めました。\n\n定年後も仕事を続けていましたが、2019年63歳の時、言葉が出てこなくなり病院に行くと、「若年性のアルツハイマー型認知症」と診断されました。\n\nどうして、夫が…。定年後、大好きな音楽や旅行を楽しもうと思っていた矢先に思ってもいなかった病名の告知に涙を流しました。\n\n診断から1年後の2020年の彰さん。このころはまだ会話も通常通りにできました。\n\n沙代子さん:「しいたけどうです?」\n彰さん:「しいたけ美味しいですよ」\n沙代子さん:「美味しいたけ?」\n彰さん「おいしいたけ」\n\n少しでも病気の進行を遅らせようと、沙代子さんと彰さんは、次々と新しいことにチャレンジ。一緒に「ウクレレ」も始めました。\n\n音楽が好きだった彰さんは、めきめきと上達。若年性認知症の夫婦が集まる会「フレンズ」に来ている人たちにも、教えるほどの腕前で、みんなに尊敬されていたといいます。\n\nところが、2023年9月。日に日に症状が悪化し、彰さんは大好きなウクレレも弾くことができなくなりました。\nそれでも、ここに来ると彰さんは自然と笑顔になります。この日、参加した夫婦は彰さんに感謝の言葉をかけました。\n\nフレンズの参加者:「これ彰さんに教えてもらったんだからね。教えてあげたがやから。また教えてね。忘れたからまた教えてね」\n\nコロナ禍を経てさらに症状が悪化\n\n今月5日、自宅に彰さんの姿はありませんでした。新型コロナに感染したあと、彰さんは歩けなくなりました。\n\n沙代子さんの介護の負担が大きくなり、週3日、施設に預けざるを得なくなったのです。\n\n沙代子さん:「このままの体でどれだけがんばれるかなっていうのはあるから。いなくなったらものすごい寂しいという気持ちがあるのは分かってはいるんですね。本当に複雑。みなさんそうじゃないかと思うんですけど」\n\nこの日、彰さんが施設から3日ぶりに帰ってくると、沙代子さんがうれしそうに出迎えます。\n\n施設の職員:「はーい」\n沙代子さん:「おかえり。おかえり」\n\n車いすがスムーズに出入りできるように、玄関にスロープを設置しました。\n\n半年前まで沙代子さん1人でできたベッドへの移動も、いまはもう、一人ではできません。施設の職員に助けられようやくベッドに移します。\n\n沙代子さん:「はぁーありがとうございました」「おかえりー。よかった。よかったね。うれしいい顔して帰ってきた。いろんなところ行くからね。嬉しい顔。いい顔。安心した」\n\n今は一日の大半をベッドの上で過ごしています。食事も2人でベッドで…\n\n沙代子さん:「お手伝いですか。はい。うふふふ納豆は箸で食べずらいよね」\n\n月に2回の楽しみだったウクレレ仲間との集まりにも行けなくなりました。\n\n■笑顔が少しでも長く見られるように…\n\nそんなある日…。沙代子さんが立ち上げたフレンズの仲間がやってきました。\n\nフレンズの仲間たち:「彰さ~んお久しぶりです」\n\n外出できなくなった彰さんのために、自宅での演奏会が企画されたのです。\nみんな楽器を手に集まりました。\n\nそして、1時間にわたって曲が演奏されました。2人の思い出の曲が披露されると…彰さんの目に涙があふれました。\n沙代子さん:「スタートは彰さんが笑ってほしいからとかそれで行き場もないしどうしようと思って立ち上げてるので、そういう意味では彰さんと私にとってのフレンズからのスタートですけど、色んな人にこういうことは楽しいんだよとかこういうことが共生になってくんだよっていうことを、つなげていけばいいかなと思います」\n\n愛する人の笑顔が少しでも長くみられるように…。\n\n同じ悩みを抱える仲間とともかけがえのない『いま』を紡いでいきます。\nチューリップテレビ,[],['https://newsdig.tbs.co.jp/articles/gallery/1052351?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1052351&image=2']
