headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
＜Ｋ－ＰＯＰ＞ＩＵ・サナ・ＴＷＩＣＥ、３月第１週Ｂｕｇｓ！フェイバリット投票で１位（中央日報日本語版）,https://news.yahoo.co.jp/articles/6836ca437b086998fbfd1ac70a7622c86b086a78,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000056-cnippou-000-1-view.jpg?exp=10800,2024-03-15T18:19:46+09:00,2024-03-15T18:19:46+09:00,中央日報日本語版,cnippou,中央日報日本語版,1261,\n３月第１週のウィークリー・カムバックアーティスト投票結果 ​\n中央日報がＢｕｇｓ！（バグス）と共同で集計しているＫ－ＰＯＰ投票サービス「Ｂｕｇｓ！フェイバリット（Ｆａｖｏｒｉｔｅ）」の３月第１週の投票結果が公開された。\n\n◇３月第１週ウィークリーチャート投票１位の主人公はＩＵ\n\n２０２４年３月第１週ウィークリーチャート投票１位の主人公はＩＵ（アイユー）だった。第１週に最も愛されたアーティストを選ぶウィークリーチャートはファン投票８０％とストリーミングデータ２０％を基に選ばれる。ＩＵはファン投票１万１０３３票とストリーミング部分４．９％で合計６４．８％の支持を受けて１位に選ばれた。\n\n２位は２６４３票とストリーミングの部分１．５％で合計１５．９％の支持を受けたＲＩＩＺＥ（ライズ）が占めた。３位は３４４票とストリーミング３．８％で合計５．６％の支持を確保したＬＥ ＳＳＥＲＡＦＩＭ（ルセラフィム）が選ばれた。ＩＵとＲＩＩＺＥの１・ ２位祝電は３月１６日から２２日まで三成洞（サムソンドン）パルナスメディアタワーで確認することができる。\n\n◇新学期にキャンパスを一緒に歩きたいアーティスト１位の主人公はサナ\n\n新年度を迎えて新学期にキャンパスを一緒に歩きたいアーティスト投票ではＴＷＩＣＥ（トゥワイス）のサナが１位に選ばれた。キャンパスアーティスト投票はファン投票１００％を基に選ばれる。２月２８日から３月１３日まで実施された投票で、サナはファン投票６万６６８８票で合計７７．６％の支持を受けて１位に選ばれた。\n\n２位は１万３４５８票で合計１５．７％の支持を受けたＲＩＩＺＥのウォンビンが、３位は２１９７票で合計２．６％の支持を確保したジンウォンがそれぞれ占めた。サナとウォンビンの１・２位祝電は３月１６日から２９日まで三成洞ＣＯＥＸメディアタワーで確認することができる。\n\n◇ＴＷＩＣＥ、３月第１週「ウィークリー・カムバックアーティスト」投票で１位\n\nカムバックアーティストのための投票ではＴＷＩＣＥが１位に選ばれた。ウィークリーカムバック投票は２週間のカムバック活動中に最も愛されたアーティストをファン投票８０％とストリーミングデータ２０％を反映して選んでいる。２月２８日から３月１３日まで行われた投票でＴＷＩＣＥはファン投票３９万１４５５票とストリーミングの部分５．２％で合計７０．１％の支持を受けて１位に選ばれた。ＴＷＩＣＥは２月２３日新しいミニアルバム『Ｗｉｔｈ ＹＯＵ－ｔｈ』とタイトル曲『ＯＮＥ ＳＰＡＲＫ』をリリースした。\n\n２位は８万５７７０票とストリーミングの部分５．５％で合計１９．７％の支持を受けたＰＬＡＶＥ（プレイブ）が選ばれた。続いて３位は９１６票とストリーミング３．５％で合計３．７％の支持を受けたＴＡＥＹＯＮＧ（テヨン）が占めた。ＴＷＩＣＥとＰＬＡＶＥの１・２位祝電は３月１６日から２９日まで三成洞ＣＯＥＸメディアタワーで確認することができる。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000056-cnippou-000-1-view.jpg?pri=l&w=588&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/6836ca437b086998fbfd1ac70a7622c86b086a78/images/000']
大谷翔平選手と妻の田中真美子さん、韓国韓国仁川空港へ（中央日報日本語版）,https://news.yahoo.co.jp/articles/fa34f3d731638e848451e0273ba728d84839195d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000055-cnippou-000-1-view.jpg?exp=10800,2024-03-15T16:08:58+09:00,2024-03-15T16:08:58+09:00,中央日報日本語版,cnippou,中央日報日本語版,262,\nドジャース球団が公開した大谷カップルの写真。［写真 ＬＡドジャースのＸ］\nドジャース選手団を乗せたチャーター機は１５日午後、仁川（インチョン）国際空港に到着した。\n【写真】韓国仁川空港の入国ゲートに現れた大谷翔平選手と妻の田中真美子さん\n一方、大谷は今回の訪韓日程で、これまで徹底して言及を避けていた妻の田中真美子さん（２７）を電撃公開して、改めて耳目を集中させた。\n\n韓国行きチャーター機に登場する前に機体前で真美子さんと一緒に撮影した写真を公開したが、続いて入国ゲートでも一緒に登場して大きな関心を集めた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000055-cnippou-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/fa34f3d731638e848451e0273ba728d84839195d/images/000', 'https://japanese.joins.com/JArticle/316269?servcode=600&sectcode=620']"
「伊藤博文発言」批判して与党党舎に乱入した韓国大学生団体７人が送検（中央日報日本語版）,https://news.yahoo.co.jp/articles/e54009c7817bea011fb3a841380b1a82064b5dee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T15:48:16+09:00,2024-03-15T15:48:16+09:00,中央日報日本語版,cnippou,中央日報日本語版,643,\n「成一鍾（ソン・イルジョン）辞任」を要求して韓国与党・国民の力の中央党党舎に乱入した韓国大学生進歩連合（大進連）の会員らが送検された。\n\nソウル永登浦（ヨンドゥンポ）警察署は１５日、これら大進連の会員７人を集会及び示威に関する法律違反、共同建造物侵入など疑いで送検したと明らかにした。２人は身柄送検、残り５人は書類送検。\n\n大進連の会員らは９日午前１１時２０分ごろ、汝矣島（ヨイド）国民の力党舎に無断進入し、成一鍾議員の「伊藤博文発言」を批判しながら「成一鍾は辞任して政界を離れろ」「韓東勲（ハン・ドンフン、非常対策委員長）は謝罪して成一鍾を党から除名しろ」などと叫んだ。会員らは警察に連れ出された後にも警察の解散要求に応じずデモを続け、全員連行された。\n\n永登浦警察署は１１日、４人を集会及び示威に関する法律違反、共同建造物侵入などの容疑で拘束令状を請求した。ソウル南部地裁は翌日、会員２人に対してのみ逃走の懸念を理由に拘束令状を発行した。\n\n成議員は３日の瑞山（ソサン）奨学財団奨学金伝達式で、１９世紀の伊藤博文ら日本の青年の英国留学事例を紹介しながら「伊藤博文は韓半島（朝鮮半島）にひどい事態を招いた人物であり、我々には不幸な歴史だが、（日本は）我々よりも先に人材を育成した先例だ」と述べた。\n\nその後、波紋を広がると、成議員は３日後の６日、フェイスブックで「奨学事業の重要性に言及する過程で趣旨と違って比喩が適切でなかった点を申し訳なく思う」と謝罪した。,[],[]
『イカゲーム』“カンブじいさん”オ・ヨンス、強制わいせつで執行猶予（中央日報日本語版）,https://news.yahoo.co.jp/articles/2984dacfca1bda46565beb76db3fcf8ff487a8c7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T16:01:43+09:00,2024-03-15T16:01:43+09:00,中央日報日本語版,cnippou,中央日報日本語版,1279,\n劇団の団員女性に対して強制わいせつ行為を働いた疑いで起訴されていた俳優オ・ヨンス被告（８０）に対し、１審裁判所が懲役刑に執行猶予を宣告した。\n\n１５日、水原（スウォン）地方法院城南（ソンナム）支院刑事６単独チョン・ヨンジュ判事は強制わいせつ容疑で起訴されたオ被告に対して懲役６月・執行猶予２年を宣告した。また、４０時間の性暴行治療プログラムの履修を命じた。\n\nオ被告は２０１７年８月、演劇公演のために地方に滞在している間、散歩道で被害女性Ａさんに抱きついたり同年９月Ａさんの住居地の前で頬にキスをしたりするなど、二度の強制わいせつをした容疑で２０２２年１１月に起訴された。\n\nオ被告は検察の調査や裁判過程ですべての容疑を否認した。先月２日に開かれた結審公判でオ被告の弁護人は「被害者の陳述とこれに派生した証拠以外にはこの事件に符合する証拠が足りない。醜行場所や時間、条件などと照会してみると、犯行できたかどうか疑わしい」と主張した。\n\nこれに対して検察は「オ被告が被害者の要求に、謝罪を要求する被害者に『娘のようだったから』と言って責任を回避するなど反省していない」として懲役１年を求刑した。\n\n裁判部も「被害者が比較的一貫して陳述していて、その内容も具体的」としながらオ被告側の主張を受け入れなかった。\n\nチョン判事は「同時期に被害者が作成した日記内容とも一致していて、一部同僚にこのような事実を知らせていた。当時性的暴行相談所で相談を受けた内容も公訴事実と相当部分符合する」とし「経験しなければそのように陳述するのは難しい」と判示した。\n\n被害者が２０２１年１０月、被害からかなり経過してからオ被告を告訴した理由に対しても、チョン判事は「（被害者は）忘れて過ごそうとしたが、ドラマ『イカゲーム』の興行で被告人が頻繁にメディアに登場し、謝罪を求めるメッセージを送ったがオ被告の返事に腹が立ったという被害者の告訴契機も説得力がある」と明らかにした。\n\nチョン判事は「そのようなことはしていないが、作品や同僚俳優などに被害が及ぶかと思って謝った」というオ被告の主張も認めなかった。\n\nチョン判事は「オ被告が（被害者に送った）メッセージで事実関係を訂正しておらず、『大事にかわいがろうとした行動が行き過ぎたようだ』『娘のようでもあり異性としても感じたようだ』と送った部分も社会通念上、自身がした行動を認めた趣旨だと考えざるを得ない。被害者の気持ちを落ち着かせようとした目的でしたとは考えにくい」と指摘した。\n\nオ被告は宣告を聞いている間、頭を下げるか前方をじっと見つめているだけで特別大きな反応は見せなかった。オ被告は裁判が終わった後、心境を尋ねる記者の質問に答えず、弁護士と一緒に裁判所を後にした。\n\nＮｅｔｆｌｉｘ（ネットフリックス）ドラマ『イカゲーム』に出演して「カンブじいさん」として知られているオ被告は韓国人俳優としては初めて２０２２年１月に米国ゴールデングローブ・テレビ部門で助演男優賞を受賞していた。,[],[]
韓国政府「経済部門別に回復に速度差」…輸出好調も消費・建設不振（中央日報日本語版）,https://news.yahoo.co.jp/articles/07c7a533b0c32eb73605c50438e02c05b48771e3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T16:09:01+09:00,2024-03-15T16:09:01+09:00,中央日報日本語版,cnippou,中央日報日本語版,1101,\n韓国経済は輸出を中心に景気回復の流れが表れ、雇用も改善していると、政府が診断した。ただ、物価鈍化の動きが停滞し、経済部門別に回復速度の差があるという点に懸念を表した。\n\n企画財政部は１５日、「最近の経済動向（グリーンブック）３月号」で、「国内経済は物価鈍化の流れがやや止まった中、製造業生産・輸出中心の景気回復の流れと雇用の好調が続いている」と明らかにした。先月のグリーンブックでは「物価上昇が鈍化している」と診断したが、２月の消費者物価上昇率がまた３％台に高まると『鈍化の流れが止まっている」と判断した。\n\n企画財政部は、半導体業況の反騰が本格化して輸出回復が明確になっている、と評価した。先月の輸出は前年同月比４．８％増の５２４億１０００万ドル（約７兆７７２０億円）だった。半導体（前年同月比６７％）、船舶（２８％）、ディスプレー（２０％）を含む１５大主要輸出品目のうち６品目の輸出額が前年同月比で大幅に増加した。\n\n輸出好調を受け、１月の製造業生産も前年同月比１３．７％増えた。同じ期間、半導体（４４．１％）・自動車（１３．２％）などで増加傾向が目立った。全体の鉱工業生産は前年同月比１２．９％増えた。ただ、１年前と比較すると製造業生産は１．４％減、鉱工業生産は１．３％減となった。企画財政部のキム・グィボム経済分析課長は「半導体は時期的な影響があり、四半期の期末に増加する傾向がある」とし「１月なので小幅減少した」と説明した。\n\n雇用市場にも回復している。２月の就業者数は前年同月比３２万９０００人増で、２カ月連続の３０万人台の増加幅となった。\n\n問題は景気回復の流れが内需に広がっていない点だ。１月の小売販売は非耐久財（２．３％）が増えて前月比で小幅増加（０．８％）したが、前年同月比では３．４％減だった。\n\n政府は建設投資部門の萎縮にも懸念を表した。１月の建設（工事実績）は前月比１２．４％増加したが、政府は一時的な要因が大きいと判断した。今後の建設景気を予告する建設受注が前月比４３．６％減、建築許可面積も１５．３％減となり、建設景気の不振が予想されるからだ。通常、建設受注は４－６四半期ほどの時差を置いて建設実績に影響を及ぼす。\n\n対外的にはロシア－ウクライナ戦争や中東紛争など地政学的リスクとサプライチェーン問題が続いていると診断した。ただ、情報技術（ＩＴ）業況の改善および世界経済の軟着陸に対する期待が高まっている点はプラスだ。政府は「物価の早期安定に総力対応する中、民生・内需など脆弱部門への波及などバランスが取れた回復に力を注いでいく」と述べた。,[],[]
「どうりで似てないと思った」…４４００万ウォン投じた金大中ろう人形の真実（中央日報日本語版）,https://news.yahoo.co.jp/articles/830aa7b230c1336ef1827e27bff601bf329f1ca0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000050-cnippou-000-1-view.jpg?exp=10800,2024-03-15T15:36:37+09:00,2024-03-15T15:36:37+09:00,中央日報日本語版,cnippou,中央日報日本語版,1099,\n金大中（キム・デジュン）ノーベル平和賞記念館収蔵庫に保管中の金大中元大統領夫妻の人形。［写真 読者］\n金大中（キム・デジュン）ノーベル平和賞記念館（以下、記念館）が製作した金大中元大統領と李姫鎬（イ・ヒホ）夫人夫妻のろう人形がろう素材ではないシリコン素材で製作されていたことが明らかになった。数千万ウォンかけて製作された人形は記念館に展示されていたが、実物と似ていないという指摘が相次いだことから、現在は撤去されて収蔵庫に保管されている。\n\n全羅南道木浦市（チョルラナムド・モクポシ）は記念館職員３人に対して業務上背任、私文書などの偽造・変造、私文書不正行使などの容疑で警察に告発したと１５日、明らかにした。市の監査室は昨年末、総合監査を通じて金大中元大統領夫妻のろう人形製作過程に違法性があった事実を把握した。\n\n市によると、記念館は２０２１年３月事業費４４００万ウォン（約４９０万円）を投じて金元大統領夫妻の人形を製作した。事業費は市が拠出金として用意した。人形は実物サイズで製作され、記念館２階に展示された。\n\n◇１０００万ウォン安いシリコンで製作\n\n当初この事業はろうを使った人形を製作するよう計画されていたが、記念館はシリコン人形製作企業と契約した。シリコン人形はろう人形より１０００万ウォンほど安いという。\n\n該当契約は２カ所以上の業者から見積書を受け取って比較検討した後に決定しなくてはならない。監査の結果、製作業者は自社の見積書以外の他社名義の見積書を虚偽して記念館に提出した。当時担当者はこの事実を知っていたにもかかわらず該当業者と契約を交わしたという。特に人形製作費は契約業者法人ではない個人企業の口座に支給され、税金計算書も法人ではなく個人税金計算書として発行された事実も確認された。\n\n◇財団理事会、担当チーム長を解雇措置\n\n当時、担当職員３人のうち１人は監査結果により、財団理事会を経て解雇された。残りの２人は記念館に在職中だ。木浦市監査室関係者は「差額の１０００万ウォンを不当に取得したかどうか、記念館職員と人形製作業者間の関係などは警察の捜査を通じて明らかになるだろう」と話した。\n\n金大中ノーベル平和賞記念館は市が民主主義と人権、平和のために一生を捧げて韓国人として初めてノーベル平和賞を受賞した金元大統領の思想と業績を称えるために建設し、２０１３年６月に開館した。記念館は木浦市三鶴島（サムハクド）１万５６００平方メートルの敷地に地上２階、高さ１４．１メートルの規模で建てられた。事業費は木浦市予算１９０億ウォンが投じられた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000050-cnippou-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/830aa7b230c1336ef1827e27bff601bf329f1ca0/images/000']
中国、外交次官級人事を断行…「交代説」外交部長の任命はまだ（中央日報日本語版）,https://news.yahoo.co.jp/articles/628aaafff8b950451ba301e2aeb6d6549571f1b3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T15:12:02+09:00,2024-03-15T15:12:02+09:00,中央日報日本語版,cnippou,中央日報日本語版,1320,\n中国の王毅外交部長（長官）の交代説がささやかれているなかで、中国政府が外交部次官級の人事を断行した。\n\n中国人力資源社会保障部は１４日、国務院（政府）国家公務員任免決定により、陳暁東氏を外交副部長に任命したと明らかにした。\n\n１９６５年生まれで安徽省合肥市出身の陳氏は１９８７年から３０年以上にわたり外交部に身を置いてきたベテラン外交官だ。主に西アジア、中東、アフリカ業務を担当した。駐イラク大使、駐シンガポール大使などを歴任し、１１日に帰国するまでは駐南アフリカ共和国大使を務めていた。陳氏は部長助理（次官補）に昇進した２０１７年当時、ＴＨＡＡＤ（高高度ミサイル防衛体系）配備で韓中関係が冷え込んでいた状況で、在中国韓国大使館が開催した国慶節行事に中国側主賓として出席したことがある。\n\n陳氏の着任で王氏を補佐する次官級は計４人に増えた。馬朝旭・孫衛東・鄧励らが王氏を補佐する副部長を務め、その下に徐飛洪・華春瑩・苗得雨など３人の部長助理がいる。このうち徐氏は２０２０年１０月から１７カ月間空席となっている駐インド大使として赴任するだろうというニュースがインドメディアを通じて出ている。\n\n今回の人事を巡り、外交部長のポストを交代するための布石とする見方もある。王氏は中国共産党中央外事弁公室主任も兼ねている。中華圏と西側メディアは今月初めに開かれた中国最大の年次政治行事である両会（全国人民代表大会と全国政治協商会議）を控えて外交部長を交代する可能性があると報じた。有力な候補に中央対外連絡部長の劉建超氏を挙げた。だが、両会が終わってからもまだ人事発表は行われていない。\n\n一部では１１月に開かれる米大統領選挙が行われるまでは中国政府が外交最高責任者を交代しないだろういう分析もある。王氏はこれに先立ち、７日の全人代記者会見に自ら応じた。この会見で米中関係や台湾問題、韓半島（朝鮮半島）葛藤状況などに関する質問に積極的に答えた。\n\n韓国外大のカン・ジュンヨン教授は「王部長が記者会見で自ら自身の具体的な見解を明らかにした」としながら「中国が公式の席でさまざまな対外政策方向を提示した外交部長を近く交代させるとみるのは難しい」と明らかにした。ある北京外交消息筋も「劉建超氏が務めている対外連絡部長という職責も非常に重要な地位」としながら「米国高位関係者と接触したことを巡り、外交部長選任と関連付けるのは難しい」と話した。\n\n一方、王氏は７年ぶりにオーストラリアを訪問する。中国外交部によると、王氏はニュージーランドのウインストン・ピータース副首相兼外相とオーストラリアのペニー・ウォン外相の招待で１７～２１日に両国を公式訪問する。これに先立ち、オーストラリアが２０１８年中国通信装備会社ファーウェイ（華為）の５Ｇネットワーク参与を禁止した後、両国関係が冷却期に入った。最近、中国系オーストラリア作家が中国でスパイ容疑で死刑宣告を受けるとアルバニージー首相が「怒りを感じる」として批判した。汪文斌外交部報道官は「両国間の高官交流が始まる」としながら「今回の訪問で広範囲かつ深い意見を交換するだろう」と話した。,[],[]
タクシー運転手に「脚を触って」と要求した２０歳女に強制醜行罪、猶予判決（中央日報日本語版）,https://news.yahoo.co.jp/articles/6ca231a0f1199183946bcd230ca0bf5e2488280f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T15:25:59+09:00,2024-03-15T15:25:59+09:00,中央日報日本語版,cnippou,中央日報日本語版,549,\n６０代男性のタクシー運転手にセクハラをした容疑で起訴された２０代の女に執行猶予付き有罪判決が言い渡された。\n\n光州（クァンジュ）地裁順天（スンチョン）支院は１５日、タクシーの運転手にセクハラをした容疑（強制醜行）で起訴された女Ａ（２０）に懲役８月、執行猶予２年を言い渡したと明らかにした。また社会奉仕８０時間、性暴力治療講義受講４０時間、児童・青少年・障害者関連機関への就職制限２年を命じた。\n\n裁判所は「被告の行為で被害者が性的羞恥心を感じ、被害者が厳罰を嘆願している」と量刑の理由を明らかにした。続いて「被告が犯罪の前歴がない初犯であり、犯罪事実を認めて反省する態度を見せている」と述べた。\n\nＡは昨年５月の未明、全羅南道麗水市（ヨスシ）でタクシーに乗り、運転手の右腕を引っ張って自分の脚を触らせた容疑で起訴された。当時Ａは運転手に「脚を触ってほしい」「美人局ではない」「警察に言わないから心配しなくてもよい」などと言いながら、運転手の右腕と手を強制的に引っ張って自分の太ももを触らせたことが明らかになった。Ａはタクシーのブラックボックスを消してほしいとも要求し、運転手と１０分間ほどもめた後に下車した。\n\n運転手はこの事件の後、セクハラを受けたとして警察に告訴状を出した。,[],[]
「ＫＦ－２１技術流出」ＫＡＩ家宅捜索中…設計図面流出を捜査＝韓国（中央日報日本語版）,https://news.yahoo.co.jp/articles/96d343f248dec6267f12e709b9af14a2af89e40d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000046-cnippou-000-2-view.jpg?exp=10800,2024-03-15T14:30:37+09:00,2024-03-15T14:40:25+09:00,中央日報日本語版,cnippou,中央日報日本語版,903,\n韓国型戦闘機ＫＦ－２１「ボラメ」の「最後」の単座（１人乗り）試製機「５号機」が昨年５月１６日に初飛行に成功した。 防衛事業庁\nインドネシア技術陣による韓国型戦闘機ＫＦ－２１機密流出疑惑事件に対する捜査が加速している。複数の消息筋によると、慶南警察庁安保捜査課は１５日午前、慶南泗川（サチョン）の韓国航空宇宙産業（ＫＡＩ）事務室に対する家宅捜索を前日から２日連続で行っている。インドネシア技術陣のＡ氏とＢ氏に対する防衛事業法違反容疑を確認するためだ。\n\n警察はＫＡＩ事務室内のＡ氏の個人コンピューターはもちろん住居地なども家宅捜索した。Ａ氏がＵＳＢを利用してＫＦ－２１関連の６０００件の資料を保管してきただけに、ＵＳＢや携帯電話なども押収の対象に含まれたとみられる。\n\n特に警察に追加で立件されたＢ氏の場合、設計図面を携帯電話を利用して無断撮影した疑いもある。警察はＡ氏とＢ氏の２人を先月、防衛事業法違反容疑で立件した。\n\n捜査の核心は、Ａ氏、Ｂ氏をはじめとするインドネシア技術陣が数年かけて組織的にＫＦ－２１の３Ｄ設計図面プログラム「カティア」を流出させたかどうかだ。これに先立ち防衛事業庁、国軍防諜司令部、国家情報院で構成された合同調査チームはＫＡＩ技術流出事件に対する合同調査を行った結果、Ａ氏らが技術を流出させた可能性に重点を置いて警察に捜査を依頼した。警察が強制捜査手続きに着手したというのは、それだけ調査の結果の信憑性が高いとみていると考えられる。半面、ＫＡＩは「独自の調査の結果、Ａ氏が持って出た資料に敏感な資料はなかった」と主張してきた。\n\n警察はその後、Ａ氏がＫＡＩの事務室で使用したコンピューターとＵＳＢ、携帯電話などに対するフォレンジック作業を経て疑惑を確認していく方針だ。この過程で疑惑が明確になれば、Ａ氏に対する拘束令状を請求する可能性がある。防衛事業法第５０条によると、防衛産業企業で防衛産業物資の生産・研究に従事した人が業務遂行中に知った秘密を漏らす場合、５年以下の懲役または５０００万ウォン以下の罰金刑となることもある。現在、Ａ氏とＢ氏は出国禁止状態だ。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-00000046-cnippou-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/96d343f248dec6267f12e709b9af14a2af89e40d/images/000']
＜大リーグ＞ソウルシリーズ開幕戦、「コリアン特急」朴賛浩が始球式（中央日報日本語版）,https://news.yahoo.co.jp/articles/e2147157706ba290b5b586f4e8cbf5503ea6df6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T14:45:47+09:00,2024-03-15T14:45:47+09:00,中央日報日本語版,cnippou,中央日報日本語版,505,\n韓国人初のメジャーリーガーとして野球史に名を刻んだ「コリアン特急」朴賛浩（パク・チャンホ、５０）が、韓国で開催される米プロ野球メジャーリーグ（ＭＬＢ）開幕戦で始球式をする。\n\n大会主管中継権者のクーパンプレイは１５日、「朴賛浩が２０日午後７時５分にソウル高尺（コチョク）スカイドームで開催されるＭＬＢ開幕戦ソウルシリーズの開幕戦で始球式をする」と発表した。\n\n朴賛浩は現役時代、ソウルシリーズに出場する両チームに所属した。ＬＡドジャースでデビューした後、サンディエゴ・パドレスをはじめ計７チームを経験した。現在はサンディエゴの特別顧問として活動している。\n\n朴賛浩は現役時代、９年間はドジャースユニホームを着て８４勝５８敗、防御率３．７７、１１７７奪三振をマークした。自身の３番目のチームだったサンディエゴでは２シーズンで１１勝１０敗、防御率５．０８だった。\n\n１５日に入国したパドレスとドジャースは１６日に休んだ後、１７日から公式日程を消化する。１７日から２日間、韓国野球代表、ＬＧツインズ、キウム・ヒーローズと練習試合を行い、２０日、２１日にＭＬＢ正規リーグソウルシリーズ２連戦に挑む。,[],[]
