headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
人気ゲーム「ポケモン」の「ポケモンセンター」を再現したショップ　アミュプラザ鹿児島に限定オープン（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/8eb1d5d6680229c018c7d1f3b115a2d3d1417f20,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017712-kts-000-1-view.jpg?exp=10800,2024-03-15T20:13:02+09:00,2024-03-15T20:13:02+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,857,\n鹿児島テレビ\n子どもから大人まで、幅広い年代に人気のゲームに登場するポケモンセンターを現実の世界に再現したオフィシャルショップが１５日、鹿児島市のアミュプラザ鹿児島にオープンしました。\n\n５月中旬までの期間限定となる店舗には、開店前から目当ての商品を求めて行列ができました。\n\n午前９時半。鹿児島市のアミュプラザ鹿児島の前にできた長い列。お目当ては１５日オープンの「ポケモンセンター出張所」です。ゲームに登場する「ポケモンセンター」を現実の世界で再現した、期間限定のオフィシャルショップです。\n\n安楽遙記者\n「最新ゲームに出てくるこちらのポケモン。このぬいぐるみは等身大ということでポケモンが現実の世界にいる気分が味わえます」\n\n店内には今話題のポケモンカードの関連グッズなど、ポケモンセンターのオリジナルグッズを中心に８００種類以上が並びます。\n\n鹿児島ではお目にかかれない商品が多く並ぶとあって、午前１０時の開店直後から店内は多くのファン。にぎわい目当てのグッズをゲットしていました。\n\n来店客\n「きょうは午前７時～６時の間に並んでずっと待っていた。\nＱ.きょう買ったものは？\n「ヌオー（のぬいぐるみ）。ひとめぼれした。ヌオー、ゲットだぜ！」\n\n行列の先頭に並んだ客\n子「パモ。うれしい」\n親「初代のポケモンをやっていて、娘も好きになったので一緒に来られて良かった。鹿児島に来てくれるのはうれしい。貴重」\n\nポケモンセンター・村上健さん\n「ポケモンセンターのオリジナルグッズを用意している。ぜひ直接手に取って好きなポケモンを選んでいただきたい」\n\nポケモンセンター出張所ｉｎアミュプラザ鹿児島は５月１２日までの営業ですが、いずれの商品も売り切れる可能性があるということです。\n\nアミュプラザ鹿児島ではこのほか、１５日から本館２階にＧＵが新たにオープンしました。また地下１階では無印良品が売り場を拡大してリニューアルオープンしています。\n鹿児島テレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017712-kts-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/8eb1d5d6680229c018c7d1f3b115a2d3d1417f20/images/000']
県内１３銘柄の「春焼酎」に酔いしれる　鹿児島市の商業施設でイベント（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/83cee2242f1fe590cc49b7f1db17687a3a37a6f8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017718-kts-000-1-thumb.jpg?exp=10800,2024-03-15T20:06:01+09:00,2024-03-15T20:06:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,449,\n鹿児島テレビ\n鹿児島市で１５日、焼酎を楽しむイベントが開かれ、この時期しか味わえない春焼酎のブースが設けられました。\n\n川路あかりアナウンサー\n「いつもの広場に焼酎のいい香りが広がっています」\n\n鹿児島市のセンテラス天文館・センテラススクエアで開かれたのは、「春薩摩旬あがり春焼酎の宴」です。\n\n春薩摩とは、サツマイモが一番おいしい秋に製造して蒸留した後、１５０日以上熟成させた芋焼酎のことで、新酒の荒々しさと比べるとまろやかで、飲みやすくなるといわれています。\n\n会場には、春らしいラベルに彩られた県内１３の酒蔵の１３銘柄が取りそろえられました。\n\n受付で１０００円払うと、好きな焼酎３杯とおつまみを楽しむことができ、先着３００人は、オリジナルグッズが必ず当たる抽選にも参加できるということで、訪れた人は、この季節ならではの焼酎を楽しんでいました。\n\n白金酒造・川田庸平専務\n「ちょうどおいしくなったころに飲んでもらえる。ぜひ今飲んでもらえたら」\n鹿児島テレビ,[],[]
鹿児島県内春の装い　各地で３月下旬～４月上旬の陽気に（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/7b076300551ce1b9130fd53e19258405f757e38f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017720-kts-000-1-thumb.jpg?exp=10800,2024-03-15T20:06:01+09:00,2024-03-15T20:06:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,656,\n鹿児島テレビ\n３月も半ばとなり、鹿児島県内各地で春の訪れが本格化しています。\n\n１５日午後の薩摩川内市永利町・寺山いこいの広場では、公園内の花壇に、チューリプやネモフィラなどの季節の花が咲き、暖かい日差しのもと家族連れが遊ぶ姿か見られました。\n\n来場した人\n「先週までは寒くて、家の中も暖房を使っていたんですが、きょうは特に暖かく、過ごしやすいです」\n「だんだん暖かくなってきたので、子供を連れて外にも出やすくなったし、サクラももうそろそろかなと思って見に来ました」\n\n１５日の鹿児島県内は高気圧に覆われて、県内は暖かな一日となりました。各地の最高気温は与論島で２３．１℃、鹿児島市で２１．７℃、薩摩川内市で１９．４℃など、各地で３月下旬から４月中旬並みとなりました。\n\n鹿児島県内は１６日も高気圧に覆われて晴れ、日中は気温が上がりそうです。\n\nところで桜の開花予想が気になる時期となりました。桜の名所としても知られる「寺山いこいの広場」には、約４００本のソメイヨシノの木がありますが、取材をした記者によると、すでに花が咲いている木もあるということです。\n\nちなみに民間の気象会社・ウェザーニューズによりますと「寺山いこいの広場」の桜の開花は３月２４日、満開は４月１日の予想になっています。\n\nそのほか、県内の開花予想は鹿児島市の甲突川河畔は３月２９日、霧島市の丸岡公園は３月２４日、伊佐の忠元公園は３月２５日、指宿市の魚見岳は３月２６日などとなっています。\n鹿児島テレビ,[],[]
春本番　鹿児島市で「春の木市」開幕　最近は多肉植物に人気（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/3cc0b5c5bb8b26373dd8517f0b664b77768670fb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017716-kts-000-1-thumb.jpg?exp=10800,2024-03-15T20:06:01+09:00,2024-03-15T20:06:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,805,\n鹿児島テレビ\n鹿児島市の甲突川沿いで春の風物詩、春の木市が１５日から始まりました。春本番の陽気のもと、初日から多くの人が訪れ、思い思いに季節の花木を選んでいました。\n\n１５日から鹿児島市の甲突川沿いで始まった、春の木市。\n\nピンク色が目を引く岩ツツジの花は、まさに今が見頃。春ならでは、サクランボの花もあります。\n\n会場には植木や鉢物、果樹の苗木など１６店が出店し、１０００種類以上の色とりどりの商品が並んでいます。\n\n初日からお目当ての花木を求めて多くの買い物客が訪れていました。\n\nコチョウランを買った人\n「コチョウランかわいいですよね。岩ツツジが欲しいと思ったがちょっと高いから考えている」\n\nミカンの木を買った人\n「ミカン（を買った）、家庭用の。『ミカンがなってる！』って（通りかかる）子どもが驚く。花の香りを味わってほしいという思いで育てる」\n\n野平美奈子記者\n「ここ最近人気だというのが、こちらの多肉植物です。たくさんの種類がそろえられています」\n\n多肉植物は、水やりの頻度も低く、育てやすいことから人気で、値段も安いもので１００円とお手頃。色や形、大きさなど、見た目がちょっとずつ異なる中から、かわいらしいお気に入りを選ぶのも醍醐味の１つです。\n\n四季によって葉の色が変わるため、一年中楽しめます。\n\n多肉植物を選んだ人\n「赤く紅葉する 夏になると緑になる。これもいいな…かわいい。１つずつ違うのが楽しい」\n\n見た目だけでなく、かわいらしい品種名もなんとも魅力的です。\n\n鹿児島市木市振興会・藤田繁利会長\n「箱庭といって小さな庭をイメージした寄せ植えをして楽しむ方法もある。ハマってほしい。私もハマっている、本当に。癒やされますよ」\n\n春の木市は５月６日まで５３日間にわたって、甲突川左岸緑地帯で開かれています。\n鹿児島テレビ,[],[]
女性のスカートの中を盗撮した疑いで逮捕の県職員を不起訴　鹿児島地検（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/b30a2fb6d97623d6b7a9d284f9164f4315bbff2a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-15T21:01:01+09:00,2024-03-15T21:01:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,327,\n先月、鹿児島県内の商業施設で、女性のスカートの中を盗撮した疑いで逮捕された４０代の県職員男性について、鹿児島地方検察庁は今月１２日付けで不起訴としました。\n\n不起訴となったのは、４０代の県職員男性です。\nこの男性職員は、先月２６日夕方、県内の商業施設でスマートフォンを使って２０代の女性のスカートの中を盗撮したとして、現行犯逮捕されていました。\n\n鹿児島地検はこの男性職員に対し、任意で取り調べを行っていましたが、今月１２日付けで不起訴にしたということです。\n不起訴の理由として、鹿児島地検は「諸般の事情を考慮した」としています。\n\n男性職員の不起訴を受け、県は「事実関係を確認の上、対応したい」とコメントしています。\n鹿児島テレビ,[],[]
鹿児島にもあった「朝ラー」！午前５時半過ぎに食べられる「マルチョンラーメン」　鹿児島・志布志市（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/dd9698e2655bda232b92827a47fd8ff1f63c1275,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017711-kts-000-1-view.jpg?exp=10800,2024-03-15T20:06:01+09:00,2024-03-15T20:06:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,1233,\n鹿児島テレビ\n早朝から楽しめる鹿児島県内のグルメ、第２弾は志布志市からです。志布志港があるこの町は、鹿児島と大阪を結ぶ「フェリーさんふらわあ」やアジアに木材を輸出する定期航路があり、国内外の人とモノを運ぶ拠点となっていて、船の入港や荷下ろし、釣りを楽しむ人などで朝早くから動き出します。\n\nそんな志布志市で、早朝から開店するラーメン店を取材しました。\n\n午前５時半、夜明け前の町に明かりをともす店舗があります。のれんを掲げ、開店の準備が進んでいます。\n\n１９６２（昭和３７）年創業、志布志市のマルチョンラーメンです。\n\nマルチョンラーメン・高木太一郎取締役\n「漁業関係の方、海が近いので釣りの方、夜勤明けの方、結構、いろいろなお客さんが朝から来られるので朝から営業している」\n\n店員\n「これは脂とスープをいったん別々にします」\n\n前日から丸１日仕込んだスープを背脂と別々に取り分けます。\n\n次は、チャーシュー。大きな肉の塊を豪快に焼いていきます。\n\n開店は午前７時。\n\nしかし、なんとこの店、午前５時半を過ぎたら開店前でもラーメンが食べられるんです。\n\n「７時とはいわず、５時半から６時に入られる方もいる。いつでもお気軽に」\n\nそれにしても朝からラーメンってどんな感じなのでしょうか。\n\nＳＮＳで調べてやってきたという観光客に聞いてみると？\n\n「旅行している途中で岐阜県から来た。調べたら、朝早くからやっているというので朝ご飯代わりにしようかと」\n\nＱ「こんな朝早く（午前７時すぎ）からラーメン食べたことありますか」\n\n「ないです。きょうは朝ラーメンでがっつりだなと。（朝ラーメンは）初めて。意外といけます」\n\n果たして、この朝ラーメンは志布志市の常識なのでしょうか。地元の方にご協力いただきました。\n\n志布志市観光特産品協会・大山仁美さん\n「春山さんの代わりにこちらでラーメンを食べたいと思います！」\n\nスペシャルを注文。\n\n「いただきまーす」\n「味はもう最高です。いつも食べている味です。濃いめが好きです。志布志の方は朝からラーメン食べに行く。休みの日は朝から並んでいる」\n\nリポートの感想は？\n\n「すごく私ラーメン大好きなのでうれしいです。春山さん」\n\nもともとはこの店、午前９時の開店だったそうですが、朝が早い、港まちのお客さんを待たせまいと、だんだん開店時間が早まっていったそうです。\n\n「創業６２年と長い歴史もある。味を崩すことなく、守り続けてたくさんのお客さんに喜んでいただけるようにラーメンを提供できたらいい」\n\n志布志市の朝ラーメン。ちょっと早起きして、港町のスペシャルな朝を味わってみてはいかがでしょうか？\n\nマルチョンラーメンは県内では志布志と鹿屋の２店舗ありますが、志布志本店のみ、午前７時からの営業となります。\n鹿児島テレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017711-kts-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/dd9698e2655bda232b92827a47fd8ff1f63c1275/images/000']
鹿児島湾の赤潮警報解除　これまでに約１億１５００万円の被害（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/dce03c48f2e00950c54563785e1b3bc026c78bf2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017714-kts-000-1-thumb.jpg?exp=10800,2024-03-15T20:01:01+09:00,2024-03-15T20:01:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,301,\n鹿児島テレビ\n鹿児島県は２月から鹿児島湾に出されていた赤潮警報について１５日、「終息状態になった」として解除しました。\n\n鹿児島湾の桜島周辺で有害プランクトンの「ヘテロシグマアカシオ」が増殖したことから、県は２月１４日に赤潮警報を出しました。\n\nこの赤潮で１１の事業者が養殖するブリやカンパチなど、約４万５４００匹が死に、被害額は約１億１５００万円にのぼりました。\n\n県は、３月１日以降、新たな被害報告はなく、１４日の調査で有害プランクトンの減少が確認されたことから、１５日、「赤潮は終息状態となり、新たな漁業被害が発生する恐れは低い」として、赤潮警報を解除しました。\n鹿児島テレビ,[],[]
鹿児島・奄美空港に米軍ヘリ着陸　民間機への影響なし　県は詳細明らかにせず（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/6990febbfb5c343eae016920fc82c0db33516345,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017719-kts-000-1-thumb.jpg?exp=10800,2024-03-15T20:01:01+09:00,2024-03-15T20:01:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,358,\n鹿児島テレビ\n１５日午前、鹿児島・奄美大島の奄美空港にアメリカ軍のヘリコプターが着陸しました。民間機の運航に影響はなかったということですが、着陸の理由は明らかにされていません。\n\n鹿児島県によりますと、１５日午前１０時３７分、アメリカ軍のヘリコプター１機が奄美空港に着陸しました。\n\nヘリは着陸から約１時間後の午前１１時２４分に離陸し、民間機の運航に影響はありませんでした。\n\nこの着陸についての空港の使用届は、１４日に出されていたということですが、県は飛行経路や着陸の理由について「アメリカ軍の運用に関わるため答えられない」としています。\n\n県によりますと、奄美空港には２０２３年１年間で、アメリカ軍の軍用機の着陸が６７回あり、これは過去１０年間でもっとも多いということです。\n鹿児島テレビ,[],[]
全国のマクドナルドでシステム障害　鹿児島県内でも影響（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/3c064e061242fc8b854ff268213830ee4ffae386,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017721-kts-000-1-thumb.jpg?exp=10800,2024-03-15T20:01:01+09:00,2024-03-15T20:01:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,501,\n鹿児島テレビ\n全国のマクドナルドで１５日、レジなどのシステムで障害が発生し、オンライン注文の受け付けを停止した店舗が相次ぎました。鹿児島県内でも、鹿児島市・天文館の店舗で夕方から営業を停止するなどの影響が出ています。\n\nレジなどに関するシステムで障害が発生したとみられ、日本マクドナルドによりますとスマートフォンの公式アプリでモバイルオーダーする際、商品を受け取る店舗を選択しようとすると画面に「受付停止中」と表示され、注文できない状態になりました。\n\n鹿児島市にあるマクドナルド鹿児島天文館店では、午後３時半ごろには現金のみで注文を受け付けていましたが、午後５時前にはシステム障害を理由に、営業を終了しました。\n\n日本マクドナルドでは、システム障害の原因や規模などを詳しく調べていますが、復旧のメドは立っていないということです。\n\n日本マクドナルドは「現在、多くの店舗で一時営業を停止しております。このたびはご迷惑をおかけして大変申し訳ございません。あす（１６日）の営業については協議中となっております」とコメントしています。\n\n（情報は１５日午後６時時点）\n鹿児島テレビ,[],[]
鹿児島県内でインフル増加　はしか確認されず　県「ワクチン接種済みか確認を」（鹿児島ニュースＫＴＳ）,https://news.yahoo.co.jp/articles/bd38787d52995b71442667f339260ce2db492da0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240315-90017717-kts-000-1-thumb.jpg?exp=10800,2024-03-15T19:59:01+09:00,2024-03-15T19:59:01+09:00,鹿児島ニュースＫＴＳ,kts,鹿児島ニュースＫＴＳ,433,\n鹿児島テレビ\n鹿児島県は１５日、先週の感染症情報を発表しました。インフルエンザの感染者数は４週ぶりに前の週より増加しています。また、２月から国内でも感染が確認されているはしかについて、県内での感染者は確認されていないものの、県はワクチン接種が済んでいるか確認するよう呼びかけています。\n\n県によりますと、３月４日から１０日までの県内８９の定点医療機関でのインフルエンザ感染者数は１１３３人で、４週ぶりに前の週より増加しました。\n\n県内ではインフルエンザの流行発生警報が継続中で、年代別でみると１０代以下が感染者の９割近くを占めているということです。\n\nまた海外で流行し、２月に国内での感染も確認されたはしかについては、県内では２０２０年を最後に感染は確認されていません。しかし、はしかは感染力が非常に強く空気感染するため手洗い、マスクのみでは予防できず、県は感染予防に有効なワクチンの接種が済んでいるか確認するよう呼びかけています。\n鹿児島テレビ,[],[]
