headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
NY株、反発して始まる（共同通信）,https://news.yahoo.co.jp/articles/cec8e46739eb0ef7e7844d1075ffbf2d381910b2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T22:39:03+09:00,2024-03-27T22:55:18+09:00,共同通信,kyodonews,共同通信,47,\n【ニューヨーク共同】27日のニューヨーク株式市場のダウ工業株30種平均は反発して始まった。,[],[]
NY株、反発（共同通信）,https://news.yahoo.co.jp/articles/d3e937b680dcc85b73b146b06a84d85b0cc17ff2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T23:16:55+09:00,2024-03-27T23:33:34+09:00,共同通信,kyodonews,共同通信,189,\n【ニューヨーク共同】27日のニューヨーク株式市場のダウ工業株30種平均は反発し、午前10時現在は前日比319.81ドル高の3万9602.14ドルを付けた。ハイテク株主体のナスダック総合指数は47.31ポイント高の1万6363.01。\n\n 前日まで3営業日連続で下落していたことから、割安感が出た銘柄を中心に買いが先行した。医薬品のメルクが大きく上昇し、相場を押し上げた。,[],[]
国軍パレード、戦車現れず　ミャンマー、戦力低下か（共同通信）,https://news.yahoo.co.jp/articles/781dec8eaaeb872e0545d55fe98171f475268d79,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240327-00000185-kyodonews-000-3-view.jpg?exp=10800,2024-03-27T23:53:57+09:00,2024-03-28T00:21:46+09:00,共同通信,kyodonews,共同通信,297,\nミャンマー・ネピドーで実施された国軍記念日の軍事パレード＝27日（共同）\n【ネピドー共同】ミャンマー軍事政権は27日、首都ネピドーで国軍記念日の軍事パレードを実施した。軍政トップのミンアウンフライン総司令官が出席したが、近年のパレードで登場していた戦車やミサイルは確認されなかった。国軍は昨年10月下旬から少数民族武装勢力の猛攻を受け、戦力低下が指摘されている。\n\n 例年パレードは日中に開催されるが、今回は夕方から夜の時間帯に行われた。戦闘機の飛行は実施された。\n\n 2021年2月のクーデター以降、ミャンマー各地では軍政を認めない民主派や少数民族勢力と国軍の戦闘が続いている。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240327-00000185-kyodonews-000-3-view.jpg?pri=l&w=640&h=361&exp=10800'],['https://news.yahoo.co.jp/articles/781dec8eaaeb872e0545d55fe98171f475268d79/images/000']
越谷、PO進出決める　バスケBリーグ2部（共同通信）,https://news.yahoo.co.jp/articles/e04680ece403b620100c4be84efd04317cac5e75,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T22:14:44+09:00,2024-03-27T22:31:28+09:00,共同通信,kyodonews,共同通信,160,\nバスケットボール男子のBリーグ2部（B2）は27日、埼玉県の春日部市総合体育館などで7試合が行われ、東地区の越谷が青森に91―67で大勝して31勝21敗とし、プレーオフ進出を決めた。同地区で優勝を決めているA千葉は静岡を87―80で下し、48勝4敗。西地区トップの滋賀は熊本に93―89で勝ち、37勝15敗となった。,[],[]
太陽光発電施設で爆発、鹿児島　消防隊員4人けが（共同通信）,https://news.yahoo.co.jp/articles/8f4813684763a6f9d16995de9c2377b46d4b540a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T23:45:40+09:00,2024-03-28T00:07:43+09:00,共同通信,kyodonews,共同通信,198,\n27日午後6時10分ごろ、鹿児島県伊佐市大口大田の太陽光発電施設で「白煙が見える」と通行人から119番があった。伊佐湧水署などによると、約40分後に施設で爆発があり、消火のため駆け付けていた地元消防の20～40代の男性隊員4人がやけどなどを負ったが、いずれも命に別条はない。\n\n 施設は「ハヤシエネルギーシステム」（鹿児島市）が所有。現場は伊佐市役所から北に約3キロの田んぼが広がる地域。,[],[]
東京消防庁、暴行などで3人懲戒　部下の頭をモップの柄でたたく（共同通信）,https://news.yahoo.co.jp/articles/4201211a06bb060ed2d3ddaa9e99dd6b9fc92419,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T21:54:14+09:00,2024-03-27T22:11:31+09:00,共同通信,kyodonews,共同通信,299,\n東京消防庁は27日、職員が有志で集めていた食材費約12万円を盗んだり、部下の頭をモップの柄でたたくなどの暴行を加えたりしたとして、三鷹消防署の男性消防士長（36）と町田消防署の男性消防司令補（47）を停職1カ月の懲戒処分とした。部下の首をつかむなどした赤羽消防署の男性消防司令（60）も減給とした。\n\n 同庁によると、三鷹消防署の消防士長は昨年8月下旬、食材購入費として共用ロッカーで管理していた約12万円を盗んだ。3月27日付で依願退職した。\n\n 町田消防署の消防司令補は2022年10月ごろ～23年9月、部下の頭や脚などをモップでたたき、腕立て伏せをしている際に頭を踏みつけていた。,[],[]
バスケ、宇都宮が16連勝　Bリーグ1部（共同通信）,https://news.yahoo.co.jp/articles/061bb0b73c9779c47b17d42985deb6f98cf5ad95,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T22:12:43+09:00,2024-03-27T22:29:26+09:00,共同通信,kyodonews,共同通信,178,\nバスケットボール男子のBリーグ1部（B1）は27日、千葉県の船橋市総合体育館などで12試合が行われ、東地区首位の宇都宮が千葉Jを93―70で下し、連勝を16に伸ばして39勝7敗とした。千葉Jは29勝17敗。\n\n 中地区1位の三遠が三河に102―83で快勝し、37勝目（9敗）を挙げた。西地区トップの琉球は長崎に76―68で勝ち、33勝13敗とした。,[],[]
AI犯罪対策への協力呼びかけ　米財務省、金融詐欺で（共同通信）,https://news.yahoo.co.jp/articles/1ea4fb5b1692a9bf9803f107ce5f11fd775761af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T22:01:22+09:00,2024-03-27T22:17:24+09:00,共同通信,kyodonews,共同通信,269,\n【ワシントン共同】米財務省は27日、人工知能（AI）を使った金融詐欺などの犯罪対策に関する報告書を公表した。資金力の違いなどから金融機関の間で対策に差が生じているとし、情報共有や協力を求めた。\n\n 財務省関係者はAIで生成した文書や映像を使ったなりすましの被害について「いくつかの事例がある」と指摘した。\n\n 報告書では、高度なAIの普及によって犯罪者が「少なくとも当初は金融機関に対し優位に立つとみられる」と分析。対策強化のため、犯罪情報の共有を進める必要があるとした。調査した中小の金融機関からは支援を求める声が上がった。,[],[]
NY円、151円台前半（共同通信）,https://news.yahoo.co.jp/articles/bc9279900b593d95a262848a480b23b099ae594c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T21:56:55+09:00,2024-03-27T22:13:24+09:00,共同通信,kyodonews,共同通信,207,\n【ニューヨーク共同】27日のニューヨーク外国為替市場の円相場は午前8時40分現在、前日比37銭円高ドル安の1ドル＝151円13～23銭を付けた。ユーロは1ユーロ＝1.0813～23ドル、163円41～51銭。\n\n 東京市場で約34年ぶりの円安ドル高水準を付けた後に財務省の神田真人財務官が「あらゆる手段を排除せずに適切な対応を取る」と発言したことから、為替介入への警戒感が高まり、ドル売り円買いが先行した。,[],[]
NY円、151円13～23銭（共同通信）,https://news.yahoo.co.jp/articles/63c45a322171db6a0879d66d1f410cc343831b4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-03-27T21:46:52+09:00,2024-03-27T22:03:36+09:00,共同通信,kyodonews,共同通信,74,\n【ニューヨーク共同】27日のニューヨーク外国為替市場の円相場は午前8時40分現在、前日比37銭円高ドル安の1ドル＝151円13～23銭を付けた。,[],[]
