headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
68歳の自営業の男が車両内で下半身を露出する公然わいせつ　容疑認める　仙台市（tbc東北放送）,https://news.yahoo.co.jp/articles/b40bc475324b6a912342972db2924491e4bc5361,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094571-tbcv-000-1-view.jpg?exp=10800,2024-04-03T21:18:55+09:00,2024-04-03T21:18:55+09:00,tbc東北放送,tbcv,tbc東北放送,286,\n東北放送\n3日午後、仙台市内の店舗駐車場に駐車中の車両内において、下半身を露出したとして仙台市の自営業の男が逮捕されました。\n\n公然わいせつの疑いで逮捕されたのは、仙台市宮城野区仙石の68歳の自営業の男です。\n警察によりますと男は、3日午後5時10分頃、仙台市宮城野区内の店舗駐車場に駐車中の自身が所有する車両内において、下半身を露出した疑いが持たれています。\nその様子を目撃した人が警察に通報し、事件が発覚しました。\n警察の調べに対し男は「間違いない」と容疑を認めているということです。\n警察が動機や当時の状況について、調べを進めています。\n東北放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094571-tbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/b40bc475324b6a912342972db2924491e4bc5361/images/000']
「積荷が頭にあたり…」冷凍の魚が落下し頭に直撃　ミャンマー国籍の男性乗組員がけが（tbc東北放送）,https://news.yahoo.co.jp/articles/99a4dc5c02d1ddb1e323fdd74d7f7f76b4abdf04,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094498-tbcv-000-1-view.jpg?exp=10800,2024-04-03T20:12:57+09:00,2024-04-03T20:12:57+09:00,tbc東北放送,tbcv,tbc東北放送,399,\n東北放送\n3日午後、宮城県塩釜港に停泊中のパナマ船籍の貨物船でクレーンで吊り上げた冷凍の魚が落下し乗組員の男性の頭にぶつかりました。\n男性は、けがをして病院に運ばれました。\n\n3日午後4時頃、塩釜港の貞山ふ頭2号岸壁に停泊していたパナマ船籍の貨物船の関係者から「積荷が頭にあたり、外国籍の作業員が意識を失った」と消防に通報がありました。\n宮城海上保安部によりますと、貞山ふ頭に停泊した船の倉庫から冷凍された魚をクレーンで吊り上げ岸壁に降ろす作業をしていたところクレーンから魚の一部が落下し、作業をしていたミャンマー国籍の41歳の男性乗組員の頭に当たったということです。男性は頭におよそ10センチの傷を負い仙台市内の病院に運ばれました。\n宮城海上保安部によりますと搬送時、意識はあったということです。\n宮城海上保安部は事故の原因や安全管理に問題がなかったか調べています。\n東北放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094498-tbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/99a4dc5c02d1ddb1e323fdd74d7f7f76b4abdf04/images/000']
"標高235メートル""亀山""の大パノラマを観光起爆剤に「何としてもやり遂げる。これが最後の復興事業」10年以上費やした""悲願のモノレール計画""　宮城・気仙沼市（tbc東北放送）",https://news.yahoo.co.jp/articles/0f83478e5686fb897a2856eb14d4e3aaad4b4dd8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094535-tbcv-000-1-thumb.jpg?exp=10800,2024-04-03T20:36:29+09:00,2024-04-03T20:36:29+09:00,tbc東北放送,tbcv,tbc東北放送,1194,"\n東北放送\n自然豊かな宮城県気仙沼市の大島。その大島にある標高235メートルの「亀山」の山頂からはリアス式海岸の大パノラマが広がります。しかし、山頂へのアクセスは土日・祝日に運行されるシャトルバスか徒歩に限られています。そうしたなか持ち上がったのがモノレールの整備計画です。\n【写真を見る】標高235メートル""亀山""の大パノラマを観光起爆剤に「何としてもやり遂げる。これが最後の復興事業」10年以上費やした""悲願のモノレール計画"" 宮城・気仙沼市\n市によりますとモノレールは中腹にある駐車場と山頂とのおよそ410メートルを20人乗り2両編成の車両で結びます。山頂には展望テラスや遊具などを整備。亀山からの絶景を観光資源としてPRするための公設民営の事業です。\n\n大島の住民:\n「大島のたくさんの客が来てくれて景色を見てもらえるのはとても楽しみだし良いなと思う」\n\n気仙沼市産業部畠山勉部長:\n「亀山モノレールを整備する事でアクセス手段が確立されれば老若男女、健脚でない方を含め山頂に自分の身を置いて五感で雰囲気を味わえる機会がいよいよ現実になる」\n\n■事業費膨らみ…市の負担増も「何としてもやり遂げたい」\n\n大島にはかつてリフトがありました。1967年に開業した亀山リフトです。麓から山頂付近までを結びピーク時には年間12万人が利用しましたが、施設の老朽化などで利用者が年々減少し毎年、赤字が続いていました。2011年には東日本大震災の津波と火災で消失しました。市は国にリフトの復旧を要望しましたが観光施設のため復興予算では認められませんでした。その後も交渉を重ね2022年、デジタルを活用して地域活性化を目指す国の交付金に採択されモノレールの事業化が決まりました。開業後の運営を担う予定の事業者は期待を寄せます。\n\n気仙沼産業センター千田満穂会長:\n「亀山の風光明媚な姿を多く人に見て貰えれば、また何らかの機会に行ってみようとか、今度は子供達、孫を連れて来ようとか、一回で終わらないよう、何回も長い歳月をかけて訪れる人がいると思う。亀山の風光明媚を絶対にみんなに知らせなくてはと」\n\n一方で、課題もあります。当初9億9000万円だった事業費は、資材高騰や軟弱地盤対策工事のため16億9000万円に増えました。加えて山頂の整備に3億5000万円がかかります。市は事業費全体の7割程度を国からの交付金で賄う方針ですが市独自の負担はおよそ6億円の見込みです。\n気仙沼市産業部畠山勉部長:\n「大変厳しい状況だが市長以下この事業は何としてもやり遂げる。これは気仙沼市にとって最後の復興にもなるし三陸圏域の地方創生の起爆剤」\n\n市がハード面での「最後の復興事業」と位置づける亀山モノレール。この春にも着工し2025年度中の開業を目指します。\n東北放送",[],['https://newsdig.tbs.co.jp/articles/gallery/1094535?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094535&image=2']
東北大・今村教授「東日本大震災と同じようなタイプ、能登との共通点も」台湾でマグニチュード7.7地震そのメカニズムとは?（tbc東北放送）,https://news.yahoo.co.jp/articles/e39c3dfcde5ee4e88c8055528457425a7ca1bef2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094543-tbcv-000-1-thumb.jpg?exp=10800,2024-04-03T20:48:53+09:00,2024-04-03T20:48:53+09:00,tbc東北放送,tbcv,tbc東北放送,705,\n東北放送\n東北大学災害科学国際研究所の今村文彦教授は、3日に発生した台湾付近を震源とするマグニチュード7.7の地震について東日本大震災と同じメカニズムで発生したと話します。\n【写真を見る】東北大・今村教授「東日本大震災と同じようなタイプ、能登との共通点も」台湾でマグニチュード7.7地震そのメカニズムとは?\n東北大学災害科学国際研究所 今村文彦教授:\n「この地域では以前からマグニチュード7前後の地震が毎年のように起きている過去を見てもかなり大きなものが起きた。フィリピン海プレートが台湾の大陸のプレートの下に沈み込んでいるところで発生した『逆断層型』の地震。これは東日本大震災で起きた地震と同じようなタイプで、プレートの境界で起きる大きな地震になる」\n\nまた、震源と陸地との距離や地震の規模などから今年1月の能登半島地震との共通点も多いと分析します。\n\n東北大学災害科学国際研究所 今村文彦教授:\n「能登半島地震と似ているところは多い。1つはマグニチュードが能登の場合は7.6。今回は7.7で規模が近い。また陸域の非常に近いところで起きたので、おそらく地震の一部は陸側で、またその残りの一部が海側だったと思う。この海側で発生した部分で津波が生じたと考えている」\n\n今村教授は旅先や外出先でも地震や津波への備えが必要と呼びかけます。\n\n東北大学災害科学国際研究所 今村文彦教授:\n「沖縄地方で発生したということ、春休みだったのでかなり観光客の方が多かったと思う。訪問とか観光の時に、沿岸部でもし津波が来たらどこが安全かなとか、避難の看板等を確認することが安全と思う」\n東北放送,[],['https://newsdig.tbs.co.jp/articles/gallery/1094543?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094543&image=2']
"路線バス少なく「免許返納してから、どこにもいけなくなった」高齢者の送迎などに活用""乗合タクシーぐるりんあきう""本格運行 　仙台（tbc東北放送）",https://news.yahoo.co.jp/articles/c7b4c28d7f66c55fe37d180f3ce17f74cebcc163,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094490-tbcv-000-1-thumb.jpg?exp=10800,2024-04-03T19:57:52+09:00,2024-04-03T19:57:52+09:00,tbc東北放送,tbcv,tbc東北放送,503,"\n東北放送\n仙台市太白区の秋保地区で4月から運行が始まったのは、乗合タクシー「ぐるりんあきう」です。利用は秋保地区内で予約をすれば自宅などから目的地まで、ドアトゥードアで行くことができます。秋保地区は、路線バスの本数が少なく、交通の便の悪い状況が続いていました。このため昨年度、乗合タクシーの実証運行を行った結果、4237人が利用し、本格運行となりました。\n【写真を見る】路線バス少なく「免許返納してから、どこにもいけなくなった」高齢者の送迎などに活用""乗合タクシーぐるりんあきう""本格運行 仙台\n地元の住民:\n「玄関前から乗せてもらって、目的地まで送ってもらえるのは魅力」\n「今まで免許を持っていたが、免許返納してからは、どこにもいけなくなった。病院に行くのに良い」\n\nまた秋保温泉の宿泊客なども利用できるということで、地元では観光振興への効果も期待しています。\n\n秋保交通青野邦彦社長:\n「せっかくの観光資源が生かされていない側面があった。観光資源を皆さんに訴えていくことも運行の目的」\n\nぐるりんあきうの運賃は、大人1人で200円から600円などとなっています。\n東北放送",[],['https://newsdig.tbs.co.jp/articles/gallery/1094490?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094490&image=2']
"""甲子園V""仙台育英出身の斎藤選手が大学生に「野球と勉強どちらも手を抜かず最後まで頑張りたい」（tbc東北放送）",https://news.yahoo.co.jp/articles/c9a043961ee548c0f12d52822134a035ac7deed3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094449-tbcv-000-1-thumb.jpg?exp=10800,2024-04-03T19:44:31+09:00,2024-04-03T19:44:31+09:00,tbc東北放送,tbcv,tbc東北放送,366,"\n東北放送\n3日、宮城県柴田町の仙台大学で入学式が行われました。新入生の中には、2022年の甲子園で日本一に輝いた仙台育英学園高校・野球部出身の斎藤陽選手の姿も。斎藤さんは「子ども運動教育学科」で野球と勉強の両立を目指します。\n【写真を見る】""甲子園V""仙台育英出身の斎藤選手が大学生に「野球と勉強どちらも手を抜かず最後まで頑張りたい」\n斎藤陽選手:\n「自分が経験したことをみんなに伝えられたら。野球と勉強の両立は難しいと思いますけどどちらも手を抜かず最後まで頑張りたい」\n\nまた、サッカー部では元日本代表でベガルタでもプレーした平山相太さんが専任講師に着任し監督を務めます。\n\n平山相太さん:\n「母校に教員として来られてすごく嬉しいです。サッカー部で全国で勝てるチーム作りをしていきたいと思います」\n東北放送",[],['https://newsdig.tbs.co.jp/articles/gallery/1094449?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094449&image=2']
"楽天""新守護神""則本4球で初セーブ飾る 日ハムとのカード初戦4対2で制す（tbc東北放送）",https://news.yahoo.co.jp/articles/0fa83a9d9b89c53f300b6e681b158fb2807f08d8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094409-tbcv-000-1-view.jpg?exp=10800,2024-04-03T19:24:54+09:00,2024-04-03T19:24:54+09:00,tbc東北放送,tbcv,tbc東北放送,447,"\n東北放送\n楽天イーグルスは2日、北海道で日本ハムとのカード初戦に臨みました。楽天の先発は、その日ハムから今年移籍してきたポンセ。3回にはノーアウトランナー1,2塁の場面を招きますが、スティーブンソン、松本剛、そして万波と三者連続三振に仕留めるなど、5回3安打無失点で古巣の打線を封じ込めます。そして打線も奮起。5回、村林に今シーズンチーム初のホームランが飛び出し、2点を先制します。さらに7回には辰己がタイムリー。その後、1点差まで詰め寄られますが、9回には石原のプロ初となるホームランで、貴重な追加点が入り4対2に。最後は新守護神・則本が4球でピシャリ。プロ初セーブを飾りました。\n【写真を見る】楽天""新守護神""則本4球で初セーブ飾る 日ハムとのカード初戦4対2で制す\n則本投手:\n「ホッとしました。またこれで一歩歩めたと思うのでこれからも勝ちで締めくくっていきたい」\n\n連勝のイーグルスは日本ハムと同率の3位につけています。3日、4日とつづく直接対決に注目です。\n東北放送",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094409-tbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/0fa83a9d9b89c53f300b6e681b158fb2807f08d8/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1094409?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094409&image=2']"
"「留学生との交流を通し充実した大学生活にしたい」東北大学で入学式""5年ぶりの演武""で新入生にエールも　仙台（tbc東北放送）",https://news.yahoo.co.jp/articles/37bd3f64df0bb9b0af738405df500f295d34e0a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094366-tbcv-000-1-thumb.jpg?exp=10800,2024-04-03T18:57:51+09:00,2024-04-03T18:57:51+09:00,tbc東北放送,tbcv,tbc東北放送,503,"\n東北放送\n東北大学の入学式は、2部制がとられ、このうち1部は、学部生2540人を対象に開催されました。式では、今年度から就任した冨永悌二学長が「晴れて皆さんを東北大学の一員として迎えられることをうれしく思う」と歓迎の言葉を述べました。\n【写真を見る】「留学生との交流を通し充実した大学生活にしたい」東北大学で入学式""5年ぶりの演武""で新入生にエールも 仙台\nこれに対し、新入生を代表して鈴木由香さんが抱負を述べました。\n\n経済学部1年鈴木由香さん:\n「社会経済の諸現象を多角的に分析する力や、未曽有の事態に対応るための力を身につけたい」\n\nまた、新型コロナが5類に移行してから初めての入学式となり、5年ぶりに応援団による演舞や学生歌の斉唱が行われました。\n\n新入生:\n「サークルや学科の友達とわいわいしつつ、勉強も頑張りつつ、文武両道で楽しい4年間にしたい」\n「勉強もそうですし、留学生の方との交流を通して充実した大学生活にしたい」\n\n東北大学には2024年度、10の学部と大学院で合わせて前の年より92人多い5043人が入学しました。講義は8日から始まります。\n東北放送",[],['https://newsdig.tbs.co.jp/articles/gallery/1094366?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094366&image=2']
"花蓮市の友人から""山肌が崩れる""動画 　日本に留学経験ある台湾の男性「やばいやばい。みんな驚いてこんな大きな地震は初めて」（tbc東北放送）",https://news.yahoo.co.jp/articles/9f776bb3c0d75bd82f1d84cdbc46e679e641b2a8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094298-tbcv-000-2-thumb.jpg?exp=10800,2024-04-03T18:57:51+09:00,2024-04-03T19:01:58+09:00,tbc東北放送,tbcv,tbc東北放送,974,"\n東北放送\n3日午前、台湾付近を震源とするマグニチュード7.7の地震が発生し沖縄に一時、津波警報が出されました。これは、台湾北東部の花蓮（かれん）で撮影された映像です。山の斜面が広範囲に渡って崩れたことがわかります。\n【写真を見る】花蓮市の友人から""山肌が崩れる""動画 日本に留学経験ある台湾の男性「やばいやばい。みんな驚いてこんな大きな地震は初めて」\n台湾・新竹に住む廖正裕さん:\n「最初は上下に、次に右左に（大きく揺れた感じ?）はい」\n\n映像を送ってくれたのは、宮城教育大学に留学経験がある男性です。花蓮に住む友人から届いた映像だと言います。男性自身は、花蓮から遠く離れた新竹（しんちく）に住んでいますが、大きな揺れに見舞われました。\n\n台湾・新竹に住む廖正裕さん:\n「座っていて揺れて、すぐに立ってやばいやばいと、とてもびっくりしました。小さいおもちゃとかが倒れて壊れました」\n\n国内では沖縄地方で最大震度4を観測し一時津波警報が出されました。那覇空港の離発着も一時ストップしました。\n\n■現地では死者も「こんな大きな地震は初めて」\n\n仙台空港では、午前11時55分発の全日空の沖縄便が搭乗手続きを一時停止しましたが、その後再開し予定通り出発しました。\n\n沖縄へ向かう乗客:\n「行くのは大丈夫だと思うが、無事帰ってこられるといいなと」\n「心配だったが、行けるので良かったです」\n\nまた、台湾の台北便4便も遅れや欠航はなく通常通り運航されました。\n\n台湾へ向かう乗客:\n「台湾では（地震は）よくあることなので、あまり心配していません」\n「（台湾にいる）私の友達から「大丈夫」と連絡があり、私からも連絡をしました。全員が無事でした」\n\n台湾では落石などで死者が出ているとの情報も入ってきています。新竹に住む男性には、目立った被害はなく地震の後、会社に向かったと言います。\n\n台湾・新竹に住む廖正裕さん:\n「（Q.バイクで行く途中の街の様子は）みんなびっくりして家から外に出てきた。（Q.建物は）大丈夫そうだった。（会社の同僚も）みんなびっくりした顔でこんな大きな地震は初めてだと言っている。（オフィスへの被害は）自分のところはない。でも関連会社の天井とか壁とか壊れている」\n東北放送",[],['https://newsdig.tbs.co.jp/articles/gallery/1094298?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094298&image=2']
"仙台高裁58歳判事に「裁判官辞めさせる」判決 SNSで""殺人事件の遺族を侮辱""の弾劾裁判（tbc東北放送）",https://news.yahoo.co.jp/articles/b814796657aa8ff55f6bd054295487d27b6a9980,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094390-tbcv-000-1-view.jpg?exp=10800,2024-04-03T19:09:49+09:00,2024-04-03T19:09:49+09:00,tbc東北放送,tbcv,tbc東北放送,575,"\n東北放送\n仙台高裁の岡口基一判事（58）は、東京・江戸川区で高校生の岩瀬加奈さん（当時17）が殺害された事件について、2017年に自身のツイッターに事件の判決文を閲覧できるURLとともに「無惨にも殺されてしまった17歳の女性」などと投稿しました。\n【写真を見る】仙台高裁58歳判事に「裁判官辞めさせる」判決 SNSで""殺人事件の遺族を侮辱""の弾劾裁判\nさらに遺族が投稿について抗議した後、2019年の岩瀬さんの命日に「遺族の方々は俺を非難するようにと東京高裁に洗脳された」などとフェイスブックに投稿しました。こうした行為が「裁判官としての威信を著しく失う非行」にあたるとして訴追されて、裁判官を辞めさせるかどうか弾劾裁判所で審理が行われていました。\n\n3日の判決で裁判官弾劾裁判所は、岡口判事の行為について、「執ようかつ反復して遺族の感情を傷つけた」と指摘。そのうえで、「表現の自由として許容される範囲を逸脱した」などとして、裁判官を辞めさせる判決を言い渡しました。判決後、取材に応じた岩瀬さんの遺族は次のように述べました。\n\n岩瀬さんの遺族:\n「『罷免』と裁判長がおっしゃった時は本当に長かったけど、頑張って良かったなと思いました」\n\n一方、岡口判事の弁護側は「極めて乱暴で論理のない、判決だ」と批判しています。\n東北放送",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240403-21094390-tbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/b814796657aa8ff55f6bd054295487d27b6a9980/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1094390?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1094390&image=2']"
