headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
住宅街が騒然…野々市市の住宅で火事・住民は逃げ出して無事【石川・野々市市】（石川テレビ）,https://news.yahoo.co.jp/articles/26dd3eb7876151e5e0262a10035393bdb98a1b6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001860-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:11:01+09:00,2024-04-17T19:11:01+09:00,石川テレビ,ishikawa,石川テレビ,225,\n石川テレビ\n17日午後4時45分ごろ野々市市内の住宅で火事がありました。\n\n今のところ、ケガ人はいないということです。\n\n午後4時45分頃、野々市市押野（おしの）1丁目の住宅から「火が出ている」と消防に通報がありました。\n\n付近の住民などによりますと車庫から出火していて、火はおよそ1時間後に鎮圧状態となっています。\n\nこの家にすむ50代後半とみられる住民は逃げ出して無事で今のところケガ人はいないということです。\n石川テレビ,[],[]
金沢駅前の都ホテル跡地はどうなる？村山市長・整備計画を今年度中にまとめる方針（石川テレビ）,https://news.yahoo.co.jp/articles/a9e7c08f11f2ed9f58a346a2d1e83a85ea290804,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001858-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:11:01+09:00,2024-04-17T19:11:01+09:00,石川テレビ,ishikawa,石川テレビ,466,\n石川テレビ\n金沢市の村山市長は都ホテル跡地を含む金沢駅から片町に至るエリアについて今年度中に整備方針をまとめる考えを示しました。\n\n2017年に営業を終了した金沢駅前の都ホテルはその跡地がどのように整備されるか議論が進んでいません。\n\nそこで、金沢市は金沢駅前から香林坊や片町に至るエリアを国の「都市再生緊急整備地域」に申請する方針を固めています。\n\nこれによって、高さ制限にとらわれない開発が可能となり都ホテル跡地の整備について議論が活発になることが期待されています。\n\n17日開かれた定例記者会見で村山市長は来月、準備協議会を立ち上げ、整備の方針などについて素案をまとめ今年度中に内閣府に申請する方針を示しました。\n\n村山市長：\n「現在のところ、（指定は）来年の夏ごろなのかなと予想しておりますけれど申請内容を踏まえた上で内閣府のほうで検討されることになると考えております」\n\nそのほか今年秋に開かれる金沢マラソンに被災地枠としてランナー500人を無料招待することが報告されました。\n石川テレビ,[],[]
ドライバー不足への切り札に…加賀市が自動運転バス導入に向けた実証実験開始 人間が補助する“レベル2”（石川テレビ）,https://news.yahoo.co.jp/articles/c178b446ef481aa63a371d2deb62aba44a3ed8f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001856-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:11:01+09:00,2024-04-17T19:11:01+09:00,石川テレビ,ishikawa,石川テレビ,845,\n石川テレビ\n人手不足解消の切り札となるでしょうか。\n\n加賀市は17日から自動運転バスの導入に向けて実証実験を始めました。\n\n加賀市内を走る一台のバス…\n\n記者：\n「こちらのバス、乗ってみるとハンドルやアクセル、ブレーキなどがありません。実はこれ、自動運転のバスなんです」\n\n宮元市長：\n「これおもしろいね、センサーが物体を検知して進むか止まるか判断するわけですね」\n\n全国的な課題となっているドライバーの人手不足。\n\n加賀市はその切り札として、去年秋から神奈川県にある半導体の専門商社と協力し自動運転バスの導入を模索してきました。\n\nそして17日、人間が補助する「レベル2」での実証実験が始まりました。\n\n市民：\n「ちょっとこわい、人の経験を聞いてからかな」\n\nハンドルなどがないこちらのタイプのバスで本格的な走行試験は茨城県に次ぎ2例目。\n\n乗り心地は…？\n\n記者：\n「今自動運転バスが動き始めました。動き出しは人が運転しているのと変わらないくらいスムーズです」\n\nバスはGPSなどを活用し決められたルートを進みます。\n\n障害物があると車体についたセンサーで感知し、警笛を鳴らして知らせたりブレーキをかけたりします。\n\nさらに…\n\n記者：\n「前方に信号機が見えてきました。徐々に減速しています。そして今、停止線の前で止まりました」\n\n交差点を認識すると減速するなど安全に走行するということです。\n\n試乗した宮元市長は…\n\n宮元市長：\n「乗り心地はね、なかなか路面電車みたいでいいですよ。思っていたよりも快適でした」\n「生産性をあげていくためには人口の不足分を自動化で補うしかないので（自動運転バスは）必須だと思います。地方の公共交通を支えていただけるようにぜひなっていただきたい」\n\n市は今後1週間、実証試験をすすめ週末には市民向けの試乗会を行って本格的に導入するか検討します。\n石川テレビ,[],[]
地震で石1千個以上が崩落…金沢城公園と兼六園の石垣修復を検討する会議初開催 工事開始時期は目途立たず（石川テレビ）,https://news.yahoo.co.jp/articles/9db631c35bb13a47b96a24ab4d79d6282be5bff3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-17T20:29:02+09:00,2024-04-17T20:29:02+09:00,石川テレビ,ishikawa,石川テレビ,426,\n能登半島地震で崩れた金沢城公園と兼六園の石垣の修復を検討する会議が初めて開かれました。\n\n金沢城公園で開かれた会議には石垣や地盤工学の専門家など5人が出席しました。\n\n石川県によりますと能登半島地震で金沢城公園と兼六園で30カ所の石垣に被害があり崩落した石は1004個にのぼるということです。\n\n16日は実際に石川門前で石垣が崩落した場所を訪れ、現在の状況を確認しました。\n\n東北芸術工科大学文化財保存修復研究センター 北野博司センター長：\n「できる限り後世に残していきたいそういうところで補強と歴史的な価値を両立させながら修理する方法を検討していくことになろうかと思います」\n\n県によりますと16日の会議では熊本地震で被害を受けた熊本城の例なども参考にして修復を進める意見が出されたということです。\n\n県は今後も専門家による会議を開く方針ですが、修復工事の開始時期については目途がたっていないと言う事です。\n石川テレビ,[],[]
能登半島地震の復興へ…岸田首相第四弾の予備費使用を決定する方針馳知事に伝える（石川テレビ）,https://news.yahoo.co.jp/articles/57d479f522d958e02cdee7a1e876b2718a028d2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-17T20:28:01+09:00,2024-04-17T20:28:01+09:00,石川テレビ,ishikawa,石川テレビ,362,\n岸田総理は上京した馳知事に能登半島地震からの復興に向け、来週にも第4弾の予備費の使用を決定する方針を示しました。\n\n馳知事は17日、能登半島地震からの復興に向けた感謝と要望を行うため岸田総理を訪れました。\n\n面会の中で岸田総理は馳知事にこのように述べました。\n\n岸田首相：\n「これまで3次にわたる予備費使用決定など累計で2767億の財政措置を行ってきましたが来週にも予備費第4弾の使用を決定することを考えています」\n\nこのほか、岸田総理は馳知事との面会で被災地への復興基金を検討する考えを明かしました。\n\n馳知事：\n「引き続き総理からは迅速な対応をいただいている家屋の解体、ガレキの撤去が進んでいないように見えますが着実に1つ1つ課題をクリアしていっているということは感じています」\n石川テレビ,[],[]
柔道金メダリスト井上康生さんの姿も…アスリートが能登の被災地でボランティア活動 炊き出しや片付けなど（石川テレビ）,https://news.yahoo.co.jp/articles/c95e061b36128f6bea2380f59dc53ecd9242ac1a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001855-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:11:01+09:00,2024-04-17T19:11:01+09:00,石川テレビ,ishikawa,石川テレビ,834,\n石川テレビ\nアスリートが被災地でボランティア活動です。\n\n珠洲市を訪れたのは柔道金メダリストの井上康生（いのうえこうせい）さんや谷本歩実（たにもとあゆみ）さん。\n\nそれにラグビー元日本代表の廣瀬俊朗（ひろせとしあき）さん。\n\n片付けがなかなか進まない被災地の力になりました。\n\n珠洲市を訪れたのは柔道金メダリストの井上康生（いのうえこうせい）さんや谷本歩実（たにもとあゆみ）さん。\n\nそれにラグビー元日本代表の廣瀬俊朗（ひろせとしあき）さんです。\n\n地震発生から3カ月が経っても避難所となっている宝立小中学校でトマトやレタス、鶏肉を使った高齢者の胃にも優しいヘルシーどんぶりなどを配りました。\n\n市民：\n「「本物だ！」ってテレビで見るだけの人だったので。うれしいですよね、だんだん仮設住宅に人が移って少なくなってきているので」\n\nさらに3人は課題となっているボランティア活動にも参加しました。\n\nこちらの住宅は夫婦2人暮らし。\n\n家は準半壊ですが、ライフラインが復旧しないため羽咋市のアパートで暮らしていて片付けは思うようには進んでいなかったということです。\n\n広瀬俊朗さん：\n「体を動かしてきた人たちなのでなかなか重たい荷物とか運ぶの大変かなとそういうところで役立ったらうれしいと思います。あとは僕たちは明るくやってきている人間なのでなんか楽しかったなっていうそういう空間を作れたらなと思います」\n\n井上康生さん：\n「今の現状というものをいろんな方々と共有していきながら一日も早い復興をサポートできるように努力していきたい」\n\nこうした中、馳知事は岸田総理を訪ね被災地への一層の支援を要望しました。\n\n馳知事：\n「家屋の解体、がれきの撤去、なりわいの支援、一つずつ積み重ねていかなくてはいけない。厳しい状況であることは現実のものであるので、復興基金も含めて特段の配慮をたまわりたい」\n石川テレビ,[],[]
“退職金なし”に…加重収賄罪等に問われていた志賀町の前町長に執行猶予付きの有罪判決「私腹肥やし悪質」（石川テレビ）,https://news.yahoo.co.jp/articles/c4aee27578865459432faae2122038f571ce7d96,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001854-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:07:02+09:00,2024-04-17T19:07:02+09:00,石川テレビ,ishikawa,石川テレビ,414,\n石川テレビ\n志賀町発注の公共工事をめぐる贈収賄事件で加重収賄などの罪に問われていた前の町長、小泉勝（こいずみ・まさる）被告に対し金沢地裁は執行猶予付きの有罪判決を言い渡しました。\n\nこの裁判は志賀町発注の公共工事で当時の町長、小泉勝被告が最低制限価格を教える見返りに複数の業者から現金を受け取っていたとして加重収賄などの罪に問われているものです。\n\n17日の裁判で金沢地裁の野村充（のむら・みつる）裁判長は「合計110万円の現金を受け取り私腹を肥やしていたのは悪質だ」と厳しく指摘しました。\n\nその一方で、町長を辞職し再犯の恐れが低いことなどをあげ懲役3年、執行猶予5年追徴金110万円の有罪判決を言い渡しました。\n\n小泉被告の弁護士によりますと、控訴はしない方針だということです。\n\nなお、志賀町の担当者によりますと小泉被告が有罪判決となったことから退職金は支払われないということです。\n石川テレビ,[],[]
散った桜が露天風呂に…古墳の湯が「桜湯」に・今しか楽しめない風情【石川・宝達志水町】（石川テレビ）,https://news.yahoo.co.jp/articles/ac1d62cdf06297d2cbaa6a722d572ab75edcddc2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001851-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:05:01+09:00,2024-04-17T19:05:01+09:00,石川テレビ,ishikawa,石川テレビ,332,\n石川テレビ\nこちらは宝達志水町にある「古墳の湯（こふんのゆ）」。\n\nここで今楽しめるのが…\n\n古墳の湯・升政子さん：\n「宝達志水町にあります、古墳の湯。私升と申します。きょうはもう花も終わりになっておりますが露天風呂の方にこのように花びらが浮かんでおります」\n\n桜の花びらが浮かんだ「桜湯」です。\n\n「古墳の湯」の横にある公園には36種類1000本の桜が植えられていて、花見をしながら温泉につかることができます。\n\n入浴客：\n「風情あっていいねえこれ、桜の風呂で。こんな四季があると楽しみやね」\n「朝からこんな風呂入れるって贅沢やわいね」\n\n「桜湯」は花の散り具合によりますが21日ごろまで楽しめるということです。\n石川テレビ,[],[]
アマチュアゴルファーが日頃の練習成果を競う…恒例の北陸マスターズプレリュードゴルフが開催（石川テレビ）,https://news.yahoo.co.jp/articles/899a8d28b007a7a47823085efc73af911091bdc8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001852-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:07:02+09:00,2024-04-17T19:07:02+09:00,石川テレビ,ishikawa,石川テレビ,306,\n石川テレビ\n北陸3県のアマチュアゴルファーが競う「北陸マスターズプレリュードゴルフ」が宝達志水町（ほうだつしみずちょう）で行われました。\n\n今年で48回目となる大会には北陸3県から31人のアマチュアゴルファーが参加しました。\n\n能登半島地震で宝達志水町（ほうだつしみずちょう）では震度5強を観測しましたが会場の能登カントリークラブには被害がなかったということです。\n\n大会の結果、上位10人に来月開催される北陸マスターズゴルフの出場権が与えられました。\n\n17日は合わせて「北陸シニアマスターズゴルフ」の予選も行われ55歳以上の出場者が来月の決勝を目指し熱戦を繰り広げました。\n石川テレビ,[],[]
恒例の八重桜まつりを前に…倶利迦羅不動寺で厄除けの餅つき サルが悪さしなくなったと伝わる「念仏赤餅」（石川テレビ）,https://news.yahoo.co.jp/articles/b6ad52f48aa37c160b352285e71ee6e9c0b0fc04,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240417-90001853-ishikawa-000-1-thumb.jpg?exp=10800,2024-04-17T19:07:02+09:00,2024-04-17T19:07:02+09:00,石川テレビ,ishikawa,石川テレビ,580,\n石川テレビ\n津幡町の倶利迦羅（くりから）不動寺（ふどうじ）の八重桜です。\n\n今月20日から始まる恒例の「八重桜まつり」を前に厄除けの餅つきが行われました。\n\n記者：\n「倶利迦羅不動寺の八重桜はまだ咲き始めといったところでしょうか。まつりまでに咲き進むことを願うばかりです。」\n\n桜の名所として知られる津幡町の倶利迦羅不動寺。\n\nここにはおよそ6000本の八重桜が植えられています。\n\nふもとはすでに満開となっているものもありますが、山頂にある本堂の近くは17日の時点で1分咲きから2分咲きほど。\n\n20日から始まる「八重桜まつり」には見頃となりそうです。\n\n17日はこれに先立ち、住職の念仏に合わせて名物の「赤餅」をつくイベントが行われました。\n\nこの赤餅は昔、悪さをするサルに与えたところ「二度と悪さをしなくなった」という言い伝えがあるもので、八重桜まつりの時期にしか味わえないものです。\n\n倶利迦羅不動寺五十嵐（いがらし）光峯（こうほう）住職：\n「この連日の陽気でふもとのほうはかなり花が開き週末にかけて満開になると思う。お餅を味わっていただいたりお花見をして心が和んでくれたらうれしい。」\n\n「八重桜まつり」は今月20日から29日までで、「念仏赤餅」は境内の売店で5月6日まで販売されます。\n石川テレビ,[],[]
