headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
横須賀線で人身事故 一部運転見合わせ（レスキューナウニュース）,https://news.yahoo.co.jp/articles/038a628d16fbe9bb54512f32b515513799cfa423,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T23:35:00+09:00,2024-04-25T00:15:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,83,\n23:26頃、大船駅で発生した人身事故の影響で、横須賀線は東京～鎌倉駅間の上り線(東京方面行)の運転を見合わせています。振替輸送を行っています。\nレスキューナウ,[],[]
近鉄奈良線で人身事故 一部運転見合わせ（レスキューナウニュース）,https://news.yahoo.co.jp/articles/8f30203d9ea5d764d5a1fad3d682fe9f203dc0d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T22:15:00+09:00,2024-04-24T22:15:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,82,\n21:52頃、富雄～学園前駅間で発生した人身事故の影響で、近鉄奈良線は東生駒～大和西大寺駅間の運転を見合わせています。振替輸送を行っています。\nレスキューナウ,[],[]
〔地震〕茨城県水戸市などで震度4、津波の心配なし(4/24)（レスキューナウニュース）,https://news.yahoo.co.jp/articles/c8ec84b5093764aa809d75c43c8db4c879b6aaf3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T20:45:00+09:00,2024-04-24T20:45:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,728,\n気象庁によると、24日20:40頃、茨城県北部を震源とするM5.0の地震があり、茨城県水戸市・日立市・ひたちなか市・常陸大宮市・城里町・東海村・土浦市、栃木県市貝町、千葉県野田市で震度4の揺れを観測しました。\nこの地震による津波の心配はありません。\n\n■発生事象\n・発生日時 ：4月24日20:40頃\n・震源地 ：茨城県北部(北緯36.5度、東経140.6度)\n・震源の深さ：約60km\n・地震の規模：M5.0(推定)\n\n■震度3以上が観測された地域\n・震度4 ：茨城県北部、茨城県南部、栃木県南部、千葉県北西部\n・震度3 ：栃木県北部、福島県中通り、福島県浜通り、群馬県南部、埼玉県北部、埼玉県南部\n\n■震度3以上が観測された市町村\n【震度4】\n・茨城県 ：水戸市、日立市、ひたちなか市、常陸大宮市、城里町、東海村、土浦市\n・栃木県 ：市貝町\n・千葉県 ：野田市\n【震度3】\n・茨城県 ：常陸太田市、高萩市、北茨城市、笠間市、那珂市、小美玉市、茨城町、大洗町、大子町、石岡市、結城市、下妻市、常総市、取手市、つくば市、鹿嶋市、守谷市、筑西市、坂東市、稲敷市、かすみがうら市、桜川市、行方市、鉾田市、美浦村、阿見町、八千代町、五霞町、境町\n・栃木県 ：宇都宮市、足利市、小山市、真岡市、さくら市、那須烏山市、益子町、茂木町、芳賀町、壬生町、高根沢町、那珂川町、日光市、大田原市\n・千葉県 ：市川市、成田市、八千代市、鎌ケ谷市、白井市\n・福島県 ：白河市、田村市、鏡石町、棚倉町、矢祭町、玉川村、浅川町、いわき市\n・群馬県 ：桐生市、渋川市\n・埼玉県 ：熊谷市、東松山市、春日部市、宮代町\nレスキューナウ,[],[]
近鉄奈良線で人身事故 運転再開（レスキューナウニュース）,https://news.yahoo.co.jp/articles/379bf0780101db99a4bdb7c38231281f24d28a92,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T23:15:00+09:00,2024-04-24T23:15:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,96,\n富雄～学園前駅間で発生した人身事故の影響で、近鉄奈良線は東生駒～大和西大寺駅間の運転を見合わせていましたが、23:03頃、運転を再開しました。なお、ダイヤが乱れています。\nレスキューナウ,[],[]
中央線(快速)で人身事故 運転再開（レスキューナウニュース）,https://news.yahoo.co.jp/articles/9d69c7bcaf31c2ad4ba97f8afdd3135b67619eb3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T14:00:00+09:00,2024-04-24T14:00:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,92,\n西国分寺駅で発生した人身事故の影響で、中央線(快速)は国分寺～国立駅間の運転を見合わせていましたが、13:54頃、運転を再開しました。なお、ダイヤが乱れています。\nレスキューナウ,[],[]
中央線(快速)で人身事故 一部運転見合わせ（レスキューナウニュース）,https://news.yahoo.co.jp/articles/6d4c24ae10e9ddd045dae96c81d864934bdd2e35,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T13:10:00+09:00,2024-04-24T13:45:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,78,\n13:03頃、西国分寺駅で発生した人身事故の影響で、中央線(快速)は国分寺～国立駅間の運転を見合わせています。振替輸送を行っています。\nレスキューナウ,[],[]
阪神本線で人身事故 運転再開（レスキューナウニュース）,https://news.yahoo.co.jp/articles/1fb91ae267cde4052b0f58f8bf1b5d61cdf69e98,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T11:10:00+09:00,2024-04-24T11:10:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,88,\n青木駅で発生した人身事故の影響で、阪神本線は西宮～御影駅間の運転を見合わせていましたが、10:55現在、運転を再開しています。なお、ダイヤが乱れています。\nレスキューナウ,[],[]
京成本線で人身事故 運転再開（レスキューナウニュース）,https://news.yahoo.co.jp/articles/03abe7e608f2180b9e9c77f934098930920cd0e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T12:50:00+09:00,2024-04-24T12:50:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,92,\nお花茶屋駅で発生した人身事故の影響で、京成本線は千住大橋～青砥駅間の運転を見合わせていましたが、12:50現在、運転を再開しています。なお、ダイヤが乱れています。\nレスキューナウ,[],[]
阪神本線で人身事故 一部運転見合わせ（レスキューナウニュース）,https://news.yahoo.co.jp/articles/9d00d8b0edfa63f2b29b92d7dd8f48b8379e0c84,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T09:55:00+09:00,2024-04-24T09:55:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,65,\n青木駅で発生した人身事故の影響で、阪神本線は西宮～御影駅間の運転を見合わせています。振替輸送を行っています。\nレスキューナウ,[],[]
近鉄南大阪線で人身事故 運転再開（レスキューナウニュース）,https://news.yahoo.co.jp/articles/4d97593439570c6bab6ac95a03bf49c904a6bf45,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T08:50:00+09:00,2024-04-24T08:50:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,94,\n恵我ノ荘駅構内で発生した人身事故の影響で、近鉄南大阪線は河内天美～古市駅間の運転を見合わせていましたが、08:28頃、運転を再開しました。なお、ダイヤが乱れています。\nレスキューナウ,[],[]
京成本線で人身事故 一部運転見合わせ（レスキューナウニュース）,https://news.yahoo.co.jp/articles/ea1d378c094c14d9991dae39fcd16585abc31d00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T12:25:00+09:00,2024-04-24T12:35:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,69,\nお花茶屋駅で発生した人身事故の影響で、京成本線は千住大橋～青砥駅間の運転を見合わせています。振替輸送を行っています。\nレスキューナウ,[],[]
近鉄南大阪線で人身事故 一部運転見合わせ（レスキューナウニュース）,https://news.yahoo.co.jp/articles/34b0960c211fe0f49287ea3a8c03b62392fdcb80,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-04-24T08:15:00+09:00,2024-04-24T08:15:00+09:00,レスキューナウニュース,rescuenow,レスキューナウニュース,80,\n07:52頃、恵我ノ荘駅構内で発生した人身事故の影響で、近鉄南大阪線は河内天美～古市駅間の運転を見合わせています。振替輸送を行っています。\nレスキューナウ,[],[]
