headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
武豊騎手 今週の騎乗馬…NHKマイルカップにはボンドガールで参戦（競馬のおはなし）,https://news.yahoo.co.jp/articles/7bc51035bccdae62eeeac2279e9d26b4936509e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099426-keibana-000-1-view.jpg?exp=10800,2024-05-02T20:45:16+09:00,2024-05-02T20:45:16+09:00,競馬のおはなし,keibana,競馬のおはなし,426,\n土日で16鞍\nニュージーランドT・ボンドガールと武豊騎手\n今週は土曜京都、日曜東京で16鞍と頭数が揃った。日曜NHKマイルカップには藤田晋オーナー所有のボンドガールで参戦。桜花賞へ出走出来なかった無念をここで晴らすべくレジェンドの手綱さばきに期待は高まる。また、JRA通算4500勝まであと３つと迫っており、今週の達成の可能性十分だ。\n\n●武豊 今週の騎乗馬\n・5月4日（土）\n京都\n1R エピファドール\n2R アーマルコライト\n5R アールアンドビー\n6R ディスタントスカイ\n8R ダイヤグラフ\n9R メイショウウネビ\n10R ロードヴァレンチ\n11R キープカルム\n12R スイープアワーズ\n\n・5月5日（日）\n東京\n1R メイショウコオロギ\n4R ドウアドバンテージ\n5R サトノレイズ\n6R アオイコウキ\n7R ヴィヴィッシモ\n11R ボンドガール\n12R エコロアレス\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099426-keibana-000-1-view.jpg?pri=l&w=640&h=427&exp=10800'],['https://news.yahoo.co.jp/articles/7bc51035bccdae62eeeac2279e9d26b4936509e9/images/000']
今村聖奈が新潟大賞典に参戦…女性ジョッキー騎乗馬（競馬のおはなし）,https://news.yahoo.co.jp/articles/a3113197a248c3eb4841754fe52a9a8917a54188,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099435-keibana-000-1-view.jpg?exp=10800,2024-05-02T20:42:19+09:00,2024-05-02T20:42:19+09:00,競馬のおはなし,keibana,競馬のおはなし,1124,\n混戦のハンデ重賞に参戦\n日曜メインレースの新潟大賞典（G3・ハンデ・芝2000m）では、今村聖奈騎手がセルバーグ（牡5・栗東・鈴木孝志）とのコンビで参戦。前走の小倉大賞典でも手綱を取っており、見せ場十分の逃げ脚を披露。距離適性は微妙もノーマークでスイスイ進めば1発も。\n\n●今村聖奈 今週の騎乗馬\n・5月4日（土）\n新潟\n6R ピアレイジレディ\n\n・5月5日（日）\n新潟\n1R サイモンベーネ\n3R ボスコヴェローチェ\n8R ビヨンドザリミット\n11R セルバーグ\n\n\n●大江原比呂 今週の騎乗馬\n・5月4日（土）\n新潟\n2R ノーマジック\n5R プリマフェーヴル\n6R サクラトップセラー\n7R ルプランドル\n8R レジュークレール\n12R クリノリアルレディ\n\n・5月5日（日）\n新潟\n2R パンジャボサツ\n\n\n●河原田菜々 今週の騎乗馬\n・5月4日（土）\n新潟\n2R トントンプー\n6R リュージュ\n\n・5月5日（日）\n新潟\n3R グランドフューチャ\n6R メッセージソング\n12R テーオートルネード\n\n\n●小林美駒 今週の騎乗馬\n・5月4日（土）\n新潟\n2R カンタベリーローズ\n5R ウーロン\n7R パイアイヤー\n12R ユイノダンディズム\n\n・5月5日（日）\n新潟\n1R ハヤブサキンチャン\n6R サヨノフィールド\n\n\n●永島まなみ 今週の騎乗馬\n・5月4日（土）\n新潟\n2R ジャコムスビ\n5R グレースアイリス\n6R ベッティーナ\n7R キイロノトマト\n9R ロードトレゾール\n12R マテンロウアネモス\n\n・5月5日（日）\n新潟\n1R タンドレス\n2R ベニスズメ\n5R ノリサンブラック\n6R シゲルオトヒメ\n7R ヘクトパスカル\n8R ウィズダムハート\n9R ラブベティー\n10R アジアノジュンシン\n12R オーロラアーク\n\n\n●藤田菜七子 今週の騎乗馬\n・5月4日（土）\n新潟\n3R キーシンガー\n6R ペッシュプラット\n7R サザンレイク\n12R キュベリン\n\n・5月5日（日）\n新潟\n2R サンドロナイト\n5R シルバーブロンド\n8R デリシュレーヌ\n12R グリモワール\n\n\n●古川奈穂 今週の騎乗馬\n・5月4日（土）\n京都\n1R エデュース\n3R アーニャワクワク\n6R ワークソング\n\n・5月5日（日）\n京都\n2R カフジニホニウム\n8R ピエナパイロ\n12R メリタテス\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099435-keibana-000-1-view.jpg?pri=l&w=640&h=427&exp=10800'],['https://news.yahoo.co.jp/articles/a3113197a248c3eb4841754fe52a9a8917a54188/images/000']
【園田・姫路競馬】芦毛だよ全員集合！11頭立ての芦毛レースが話題（競馬のおはなし）,https://news.yahoo.co.jp/articles/70cfe507b575b6843de6cda5737b95bfc4a0849e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099441-keibana-000-5-view.jpg?exp=10800,2024-05-02T20:38:46+09:00,2024-05-02T21:19:44+09:00,競馬のおはなし,keibana,競馬のおはなし,342,\n「可愛いの大渋滞」\n11頭立ての芦毛レース（提供：兵庫県競馬組合）\n5月2日、園田競馬場で行われた第5R「芦毛だよ！全員集合♪C2C3 4歳以上特別」で、全11頭の芦毛馬が出走してSNSで話題となった。勝利したのは竹村達也騎乗のエルアルコン（牡5・兵庫・長南和宏）。レースでは中団前目の位置を追走して、向こう正面から外目を通って進出。馬場の真ん中からじわじわと伸びて差し切った。\n【動画】可愛いが大渋滞！話題の全頭芦毛レース\n白からグレーのコントラストで11頭が並んだスタートもの珍しく、X（旧Twitter）では「なかなか迫力がありました」、「こういうレース大好き」、「ガイアフォースも出て欲しい」、「可愛いの大渋滞」などと、企画を絶賛する声が相次いだ\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099441-keibana-000-5-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/70cfe507b575b6843de6cda5737b95bfc4a0849e/images/000', 'https://keibana.com/movie/99439']"
【武豊日記】今年も楽しみな馬でダービーを迎えられそうなのがうれしい（競馬のおはなし）,https://news.yahoo.co.jp/articles/8a9a8e24ad93e1ea3b453c02c78fc6b00f7dd55b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099430-keibana-000-1-view.jpg?exp=10800,2024-05-02T20:46:48+09:00,2024-05-02T20:46:48+09:00,競馬のおはなし,keibana,競馬のおはなし,603,\n「挑戦者の立場でチャンスを窺うつもり」\n青葉賞・シュガークンと武豊騎手\nキタサンブラックの異父弟、シュガークンが青葉賞を快勝。今年の2月にデビューした馬が、僅か４戦でダービーの出走権を取るのですから、並のセンスではありません。兄とはタイプが違いますが、心臓の良さは一緒。今年も楽しみな馬でダービーを迎えられそうなのがうれしいです。個人的には、この勝利がＪＲＡ通算4497勝目。先週まではあえて触れませんでしたが、あと３勝となれば、4500勝の区切りを意識しないわけにはいきません。周囲からまだかまだかと言われないうちに、サッとやってしまいたいというのは毎回の本音です。\n\n 今週末は、土曜日は京都、日曜日は東京で騎乗する予定です。NHKマイルカップはボンドガールが相棒。前走で能力の高さを実感できましたし、状態はさらに上がっているとの連絡も受けています。とはいえ、出走各馬のレベルは例年以上の高さなので、ここはあくまでも挑戦者の立場でチャンスを窺うつもりです。\n\n クリストフ(ルメール騎手)が調教の現場に元気に復帰し、松山騎手もなにごともなかったように調教に汗を流していた、今朝の栗東トレセンの風景。吉田隼人騎手の回復にはもう少し時間がかかるのかもしれませんが、ボクらはみんなの力で重苦しい空気を乗り越えなければいけません。今週も全力プレーで競馬を盛り上げてまいります。\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099430-keibana-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/8a9a8e24ad93e1ea3b453c02c78fc6b00f7dd55b/images/000']
【NHKマイルC】出走馬の調教後の馬体重（競馬のおはなし）,https://news.yahoo.co.jp/articles/842f60e78d601a4137b687046bbe0b5ec1319e1b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099423-keibana-000-1-view.jpg?exp=10800,2024-05-02T20:40:45+09:00,2024-05-02T20:40:45+09:00,競馬のおはなし,keibana,競馬のおはなし,1106,\n好メンバー揃う\n2023朝日杯FS・ジャンタルマンタルと川田将雅騎手 (C)masamasa\n5月5日（祝日）に行われる第29回NHKマイルカップ（G1）の出走馬の調教後における馬体重が発表された。\n\nアスコリピチェーノ\n馬体重：480\n前走馬体重：478\n5月1日（水）に美浦で計量\n黒岩陽一・美浦\n\nアルセナール\n馬体重：456\n前走馬体重：452\n5月1日（水）に美浦で計量\n木村哲也・美浦\n\nアレンジャー\n馬体重：462\n前走馬体重：460\n5月2日（木）に栗東で計量\n昆貢・栗東\n\nイフェイオン\n馬体重：484\n前走馬体重：472\n5月2日（木）に栗東で計量\n杉山佳明・栗東\n\nウォーターリヒト\n馬体重：464\n前走馬体重：462\n5月1日（水）に栗東で計量\n河内洋・栗東\n\nエンヤラヴフェイス\n馬体重：492\n前走馬体重：488\n5月2日（木）に栗東で計量\n森田直行・栗東\n\nキャプテンシー\n馬体重：468\n前走馬体重：468\n5月2日（木）に栗東で計量\n松永幹夫・栗東\n\nゴンバデカーブース\n馬体重：473\n前走馬体重：460\n5月2日（木）に美浦で計量\n堀宣行・美浦\n\nジャンタルマンタル\n馬体重：494\n前走馬体重：490\n5月2日（木）に栗東で計量\n高野友和・栗東\n\nシュトラウス\n馬体重：527\n前走馬体重：520\n5月1日（水）に美浦で計量\n武井亮・美浦\n\nダノンマッキンリー\n馬体重：470\n前走馬体重：468\n5月2日（木）に栗東で計量\n藤原英昭・栗東\n\nチャンネルトンネル\n馬体重：472\n前走馬体重：476\n5月1日（水）に栗東で計量\n福永祐一・栗東\n\nディスペランツァ\n馬体重：516\n前走馬体重：514\n5月2日（木）に栗東で計量\n吉岡辰弥・栗東\n\nノーブルロジャー\n馬体重：478\n前走馬体重：478\n5月2日（木）に栗東で計量\n吉岡辰弥・栗東\n\nボンドガール\n馬体重：456\n前走馬体重：450\n5月2日（木）に美浦で計量\n手塚貴久・美浦\n\nマスクオールウィン\n馬体重：495\n前走馬体重：490\n5月1日（水）に美浦で計量\n牧光二・美浦\n\nユキノロイヤル\n馬体重：450\n前走馬体重：444\n5月1日（水）に美浦で計量\n小野次郎・美浦\n\nロジリオン\n馬体重：490\n前走馬体重：488\n5月2日（木）に美浦で計量\n古賀慎明・美浦\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099423-keibana-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/842f60e78d601a4137b687046bbe0b5ec1319e1b/images/000']
【園田・兵庫大賞典】タイガーインディが断然の支持に応える…廣瀬「緊張しました」（競馬のおはなし）,https://news.yahoo.co.jp/articles/7bcfef1452ab6fbe557b43cd42717e68d88e0237,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099446-keibana-000-1-view.jpg?exp=10800,2024-05-02T20:37:31+09:00,2024-05-02T20:37:31+09:00,競馬のおはなし,keibana,競馬のおはなし,1280,\n兵庫大賞典・タイガーインディと廣瀬航騎手 (C)兵庫県競馬組合\n5月2日、園田競馬場で行われた11R・兵庫大賞典（4歳上・ダ1400m）は、廣瀬航騎乗の1番人気、タイガーインディ（牡7・兵庫・保利良平）が快勝した。5馬身差の2着に2番人気のドンカポノ（牡6・兵庫・田中一巧）、3着にナムラタタ（牡5・兵庫・玉垣光章）が入った。勝ちタイムは1:28.7（稍重）。\n\n レースは大方の予想通りディアタイザンの逃げで始まり、大本命のタイガーインディは外3番手の絶好のポジションを確保。3コーナーで労せず先頭に立つと直線は余裕の独走で栄光のゴールを駆け抜けた。\n\n1着 タイガーインディ\n廣瀬航騎手\n「緊張しました。いつもと変わらずやる気満々でした。スタートが決まっていい位置を取れたのが大きかったです。3コーナーで前が止まったし、溜めていても仕方ないので一気に行きました。直線で後ろがくると思っていたから着差ほどの余裕はなかったけど強くなってます。担当さんがしっかり仕上げてくれたおかげです」\n\n保利良平調教師\n「（次走は）順調ならオグリキャップ記念を予定」\n\n2着 ドンカポノ\n下原理騎手\n「いい位置が取れたし道中の手応えも良かったので4コーナーで外に出した。思ったほど伸びなかったけど、内を突いてればもっと楽に２着はあった。きょうは勝ち馬が強すぎました。返し馬の感じは前回より良かったし、まだまだ良化の余地はあるし距離が延びても大丈夫」\n\n4着 サンロアノーク\n吉原寛人騎手\n「内に潜り込みたかったがコーナーワークが下手なので外を回らされた。年齢の割りに馬体は若いし、内枠ならもうちょっと面白かったのでは」\n\n5着 ディアタイザン\n杉浦健太騎手\n「調子は良かったしスタートも決まったのでハナへ。逃げて自分の競馬はできた。メンバーを考えれば走ってます」\n\n6着 テーオーターナー\n大柿一真騎手\n「ペースが違うので道中は気合を入れ通し。その割りには踏ん張ってるし、この経験が次に生きると思う」\n\n7着 オーバーディリバー\n赤岡修次騎手\n「能力はあるけど直線が短いので脚を余した。この馬は直線の長いコースでないと持ち味を出せない」\n吉村「出負けしたのがすべて」\n兵庫大賞典 口取り (C)兵庫県競馬組合\n8着 ハナブサ\n吉村智洋騎手\n「出負けしたのがすべて。きょうは位置取りの差が大きすぎた」\n\nタイガーインディ 27戦7勝\n（牡7・兵庫・保利良平）\n父：シニスターミニスター\n母：モンターニュドール\n母父：ヘネシー\n馬主：伊藤和夫\n生産者：友田牧場\n\n【全着順】\n1着 タイガーインディ\n2着 ドンカポノ\n3着 ナムラタタ\n4着 サンロアノーク\n5着 ディアタイザン\n6着 テーオーターナー\n7着 オーバーディリバー\n8着 ハナブサ\n9着 エイシンギアアップ\n10着 ケンジーフェイス\n11着 サンセットベリー\n12着 サラコナン\n競馬のおはなし,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099446-keibana-000-1-view.jpg?pri=l&w=640&h=426&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099446-keibana-001-1-view.jpg?pri=l&w=640&h=426&exp=10800']","['https://news.yahoo.co.jp/articles/7bcfef1452ab6fbe557b43cd42717e68d88e0237/images/000', 'https://news.yahoo.co.jp/articles/7bcfef1452ab6fbe557b43cd42717e68d88e0237/images/001']"
【エンプレス杯】無敗馬オーサムリザルトが重賞初挑戦（競馬のおはなし）,https://news.yahoo.co.jp/articles/b5c92b6126ef33668affbe32f8b8862da0f3991e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099433-keibana-000-1-view.jpg?exp=10800,2024-05-02T20:36:59+09:00,2024-05-02T20:36:59+09:00,競馬のおはなし,keibana,競馬のおはなし,333,\n武豊×オーサムリザルト\n阪神4R・オーサムリザルト (C)INSEL\n5月8日（水）に川崎競馬場で行われるエンプレス杯（Jpn2）に出走予定のJRA馬および騎乗予定騎手について、下記のとおり発表された。\n\n●第70回エンプレス杯（Jpn2）\n施行日：5月8日（水）\n施行場：川崎競馬場\n距離：2100m\n出走資格：サラブレット系 4歳以上牝馬\n1着賞金：4000万円\n\nJRA選定馬：5頭\nアイコンテーラー（牝6・松山弘平・河内洋）\nアーテルアストレア（牝5・菱田裕二・橋口慎介）\nオーサムリザルト（牝4・武豊・池江泰寿）\nグランブリッジ（牝5・川田将雅・新谷功一）\nライオットガール（牝4・岩田望来・中村直也）\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099433-keibana-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/b5c92b6126ef33668affbe32f8b8862da0f3991e/images/000']
【ケンタッキーダービー】フォーエバーヤング岡助手「気を引き締めて臨みたい」（競馬のおはなし）,https://news.yahoo.co.jp/articles/cef7b83906affeb69e656b052de4e5aff3bc3f54,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099397-keibana-000-1-view.jpg?exp=10800,2024-05-02T06:07:59+09:00,2024-05-02T06:07:59+09:00,競馬のおはなし,keibana,競馬のおはなし,763,\n木村和士「感触良かった」\nUAEダービー・フォーエバーヤングと坂井瑠星騎手 (C)Yushi Machida\n5月1日JRAは、現地時間5月4日（土）にアメリカ合衆国のチャーチルダウンズ競馬場で行われるケンタッキーダービー（G1）に出走予定のテーオーパスワード（牡3・栗東・高柳大輔厩舎）およびフォーエバーヤング（牡3・栗東・矢作芳人厩舎）の調教状況および関係者コメントを発表した。\n\n●ケンタッキーダービー（G1・ダ2000m）\n・テーオーパスワード（牡3・栗東・高柳大輔厩舎）\nダートコース追い切り\n木村和士騎手騎乗\nテーオーサンドニとの併せ馬\n調教時計 46.80（4F）\n高柳大輔調教師のコメント\n「木村和士騎手が指示どおりしっかり追ってくれましたし、見ていても良い動きで、満足できる追い切りとなりました。併せ馬をしてキックバックを教えることもできましたし、騎手も問題なかったと言ってくれました」\n\n木村和士騎手のコメント\n「昨日、初めて騎乗した際は、慣れない環境で馬が物見をしたりしていましたが、今日はテーオーサンドニと併せ馬をして、動き、感触とすごく良かったです。高柳大輔調教師と話しても状態がすごく良いとのことで、レースがとても楽しみです」\n\n・フォーエバーヤング（牡3・栗東・矢作芳人厩舎）\nダートコース 追い切り\n岡勇策調教助手騎乗\n調教時計 1.03.00（5F）\n\n岡勇策調教助手のコメント\n「無事に追い切りを終えることができました。レースに向けて体はしっかりと仕上がってきました。気持ちの面も先週の追い切りから上がってきていると思いますので、良い状態で本番を迎えることができるよう、レースまでの4日間、気を引き締めて臨みたいと思います」\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099397-keibana-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/cef7b83906affeb69e656b052de4e5aff3bc3f54/images/000']
ケイアイパープル門別へ移籍（競馬のおはなし）,https://news.yahoo.co.jp/articles/c1d50271e4c28711e44220028019d301278d7d0b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099401-keibana-000-1-view.jpg?exp=10800,2024-05-02T06:05:21+09:00,2024-05-02T06:05:21+09:00,競馬のおはなし,keibana,競馬のおはなし,367,\n新天地で活躍を期す\n(C)佐賀県競馬組合\n5月1日JRAは、2022年白山大賞典（金沢・Jpn3）などに優勝したケイアイパープル（牡8・栗東・村山明厩舎）が、5月1日付けで競走馬登録を抹消したことを発表した。なお、同馬は門別競馬場に移籍する予定。\n\n●ケイアイパープル\n馬主：株式会社ケイアイスタリオン\n調教師：村山明（栗東）\n生年月日：2016年4月4日\n\n血統：\n父 パイロ\n母 アルヴェナ\n\n成績：\nJRA通算成績 22戦6勝\nJRA獲得賞金 1億2408万3000円（付加賞含む）\nJRA以外の通算成績（地方） 11戦2勝\nJRA以外の獲得賞金（地方） 8188万円\n\n重賞勝鞍：\n2022年 佐賀記念（佐賀・Jpn3）\n2022年 白山大賞典（金沢・Jpn3）\n競馬のおはなし,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099401-keibana-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/c1d50271e4c28711e44220028019d301278d7d0b/images/000']
【かしわ記念】モレイラ「今日は前の馬に有利」レース後ジョッキーコメント（競馬のおはなし）,https://news.yahoo.co.jp/articles/05d9bc2b4f81753ec7d2b322132c67b37dace31f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099391-keibana-000-1-view.jpg?exp=10800,2024-05-02T06:10:07+09:00,2024-05-02T06:10:07+09:00,競馬のおはなし,keibana,競馬のおはなし,2343,\nかしわ記念・キングズソードとJ.モレイラ騎手 (C)Hiroki Homma\n5月1日、雨が降り注ぐ船橋競馬場で行われた交流G1・かしわ記念（ダ1600m）は、6番人気のシャマルが鮮やかな逃げ切り。川須騎手渾身のガッツポーズでゴール板を駆け抜けた。フェブラリーステークスを制したペプチドナイルは3着敗退。\n【動画】かしわ記念・シャマルが鮮やかな逃げ切り\nかしわ記念、レース後ジョッキーコメント\n1着 シャマル\n川須栄彦騎手\n「いやもうほんとに最高の気分です。もうラスト400から馬にあと400だよっていうのを伝えながら、最後200になった時に結構後ろの後続馬の脚音も聞こえなかったので、多分離してるんだろうなって思いながら、ゴールまで噛み締めながら追いました。1年ぶりに前走勝つことができて、それで馬もほんとに自信を取り戻してくれてましたし、それに伴いだいぶ気温も暖かくなってきて、体調の方もさらに上向いてるのは感じていたので、こういう雨も今回はすごいこの馬にとっても追い風になってくれたと思いますし。ほんとに先生ともここを勝つつもりで頑張ってきましたので、ほんとに勝てて良かったと思います。この馬とは本当にたくさん重賞も勝たせてもらいましたし、残されたタイトルはもう1つ上のステージのG1のレースだったので、そこをほんとに目標にしていたんですけど、前走重賞を勝ってくれて、ほんとに直ぐにこうやってタイトルを取れるなんて、ほんとに夢のようですね。今日はほんとにシャマルの強いところを皆様にお見せすることができて、僕自身ほんとに嬉しいですし、まだまだほんとに強い相手と戦っていく中で、もっともっとこの馬の強いところをお見せすることができたら僕も嬉しいです。これからも頑張りますので、どうぞ応援のほどよろしくお願いします」\n\n2着 タガノビューティー\n石橋脩騎手\n「3、4コーナーでは良い感じでいって、手応えは良かったです。サーっと行ったので逃げ馬が止まるかとは思ったのですが、シャマルは強かったです。馬に感謝したいと思います」\n\n3着 ペプチドナイル\n藤岡佑介騎手\n「1コーナーでクラウンプライドに迷惑をかけてしまいました。積極的にポジションを出していったのですが、寄せていく形になって躓いてしまったので迷惑をかけてしまいました。馬自体はコンディションも良くて、アグレッシブに走れていましたし、速い流れだったので3コーナーで手応えが苦しくなったのですが、そこから伸びていって4着馬を突き放してはくれました。最後はだいぶ脚が上がっていました。今日は勝ち馬が強かったです。得意ではない馬場の中よく頑張ってくれました。パワー型なので乾いた馬場でやりたかったなというのが正直なところです。それでもG1馬の力は示してくれたとは思います」\n武英智師「馬場適性の差」\nかしわ記念・ペプチドナイルと藤岡佑介騎手 (C)Hiroki Homma\n武英智調教師\n「勝った馬とは馬場適性の差が出たと思います。追走一杯一杯のところもありました。捕らえに行く競馬をしている分、2着馬には差されましたが、今日は馬場適性の差が出たと思います。地方もナイターも小回りも初めての経験でどのくらいこなしてくれるかなというのはありました。力のいる馬場なら違ったとは思います」\n\n4着 キングズソード\nJ.モレイラ騎手\n「いいスタート切れて、前目のポジションで競馬は出来ました。道中のリズムも良かったと思います。今日の馬場は前の馬に有利で、この馬にはベストではなかったです」\n\n6着 ウィリアムバローズ\n坂井瑠星騎手\n「状態はすごく良かったと思います。いつもは引っ掛かっていくくらいの馬なのですが、今日は馬場を上手く捉えられなくて、いつものパフォーマンスを発揮出来ませんでした」\n\n レース結果、詳細は下記のとおり。\n\n 5月1日、船橋競馬場で行われた11R・かしわ記念（Jpn1・4歳上オープン・ダ1600m）は、川須栄彦騎乗の6番人気、シャマル（牡6・栗東・松下武士）が快勝した。2.1/2馬身差の2着に5番人気のタガノビューティー（牡7・栗東・西園正都）、3着に3番人気のペプチドナイル（牡6・栗東・武英智）が入った。勝ちタイムは1:39.0（不良）。\n\n 1番人気でJ.モレイラ騎乗、キングズソード（牡5・栗東・寺島良）は4着、2番人気で坂井瑠星騎乗、ウィリアムバローズ（牡6・栗東・上村洋行）は6着敗退。\n得意の不良馬場\nかしわ記念・シャマルと川須栄彦騎手 (C)Hiroki Homma\n川須栄彦騎乗の6番人気、シャマルが鮮やかに逃げ切った。朝から降り注ぐ雨でこの馬得意の不良馬場に。スタートから軽快なスピードを見せたシャマルが後続を2馬身半振り切って嬉しい交流G1初制覇を飾った。\n\nシャマル 21戦10勝\n（牡6・栗東・松下武士）\n父：スマートファルコン\n母：ネイティヴコード\n母父：アグネスデジタル\n馬主：金山敏也\n生産者：岡田スタツド\n\n【全着順】\n1着 シャマル 川須栄彦\n2着 タガノビューティー 石橋脩\n3着 ペプチドナイル 藤岡佑介\n4着 キングズソード J.モレイラ\n5着 ミックファイア 吉原寛人\n6着 ウィリアムバローズ 坂井瑠星\n7着 キャッスルトップ 山田義貴\n8着 ギガキング 和田譲治\n9着 カジノフォンテン 石崎駿\n10着 オメガレインボー 野畑凌\n11着 ギャルダル 矢野貴之\n12着 クラウンプライド 川田将雅\n13着 リュードマン 笠野雄大\n競馬のおはなし,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099391-keibana-000-1-view.jpg?pri=l&w=640&h=427&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099391-keibana-001-1-view.jpg?pri=l&w=640&h=426&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00099391-keibana-002-1-view.jpg?pri=l&w=640&h=427&exp=10800']","['https://news.yahoo.co.jp/articles/05d9bc2b4f81753ec7d2b322132c67b37dace31f/images/000', 'https://keibana.com/movie/99394', 'https://news.yahoo.co.jp/articles/05d9bc2b4f81753ec7d2b322132c67b37dace31f/images/001', 'https://news.yahoo.co.jp/articles/05d9bc2b4f81753ec7d2b322132c67b37dace31f/images/002']"
