headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
アニモカがビットコインベースのプロジェクト展開へ、分散型プロトコル「OPAL」上で（あたらしい経済）,https://news.yahoo.co.jp/articles/60c7311422de4129c455b8f3116809a9a171ba4a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010009-neweco-000-1-view.jpg?exp=10800,2024-05-02T18:34:50+09:00,2024-05-02T18:34:50+09:00,あたらしい経済,neweco,あたらしい経済,576,\nAnimoca Brandsがビットコイン基盤のプロジェクト展開へ\n※写真はイメージです\nアニモカブランズ（Animoca Brands）が、今後展開予定のビットコインベースプロジェクトを、ビットコイン（BTC）基盤の分散型プロトコル「オパール（OPAL）」上で展開していくことを4月30日発表した。\n\n「オパール」は、同プロトコルの独自トークン「Bitcoin Life：ビットコインライフ（BLIF）」を活用し、ビットコインベースのメタバースネットワークを目指すプロジェクト。「BLIF」は同エコシステム上における取引やステーキング報酬、ガバナンストークンとして機能する。\n\n今回アニモカブランズが「オパール」上で構築するビットコインベースのプロジェクトは、ビットコイン上に構築されるゲームやエンターテイメント、分散型金融（DeFi）、教育、文化における最大のWeb3エコシステムになる予定とのこと。\n\nまたアニモカブランズが「オパール」上で展開していくプロジェクトでは、「オパール」の独自トークン「BLIF」が活用されるという。既に「BLIF」が扱われているアニモカブランズ提供のプロジェクトには、トリプルエー（AAA）MMOゲームの「ライフビヨンド（Life Beyond）」があるとのことだ。\n一本和寿（あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010009-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/60c7311422de4129c455b8f3116809a9a171ba4a/images/000']
アーベ（AAVE）、v4開発に向け温度感チェック実施へ（あたらしい経済）,https://news.yahoo.co.jp/articles/4701dd3e01fa354318923b7833215b173902374b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010008-neweco-000-1-view.jpg?exp=10800,2024-05-02T18:31:07+09:00,2024-05-02T18:31:07+09:00,あたらしい経済,neweco,あたらしい経済,997,\nAave v4プロトコルの開発に向けた温度感チェック実施へ\n※写真はイメージです\nDeFi（分散型金融）レンディングプラットフォーム「Aave（アーベ）」開発元のAave Labs（アーベラボ）が、「Aave」新バージョンのプロトコル「Aave Protocol V4（アーベプロトコルV4）」の開発提案のための温度感チェックをAaveのフォーラムにて5月2日より開始した。\n\n今回の開発提案は、Aave Labsが提案する今後数年間の「Aave」のロードマップ「Aave 2030」の一環だ。その計画によると「Aave Protocol V4」は、2025年の第1四半期から第2四半期のうちにリリースされる計画だ。\n\nただしフォーラムによると、この新プロトコルは現在研究段階にあり、「Aave 2030」の提案が承認されれば計画が進行するとのこと。計画では2024年の第2四半期には研究段階を完了し、同四半期末には開発を開始、同年の第4四半期にはプロトタイプがリリースされることになっている。\n\n「Aave Protocol V4」は、現在稼働している最新版プロトコルである「Aave v3（アーベv3）」の良い点を引き継ぎながら、Aaveネイティブのステーブルコイン「GHO」の統合を強化するプロトコルとのこと。\n\nまた同プロトコルにはその他にも、ガバナンスのオーバーヘッドの削減や資本効率の最適化、モジュール性の強化だけでなく、ユーザー体験の向上に関するアップグレードも含んでいるという。\n\nまた同プロトコルには清算時に使用するエンジンの更新により、超過債務の追跡機能も実装するとのこと。この機能により、不良債権が他の資産にまで影響を与え大きな被害を生む可能性がある問題の発生防止が可能である。\n\nちなみにAave Labsは、同機能に使用する新たなオラクルの研究を、Chainlink（チェーンリンク）と協力し行っているとのことだ。\n\n「Aave Protocol V4」の開発開始は、「Aave 2030」実行のための予算獲得のため行われる助成金の要請ガバナンスが承認された場合に実行される。このガバナンスの投票は、今後コミュニティやサービス提供者の協力のもと提案を調整し、温度感チェックを経て開始する予定だ。\n田村聖次（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010008-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/4701dd3e01fa354318923b7833215b173902374b/images/000']
レイヤーゼロがスナップショット実施、エアドロ間近か（あたらしい経済）,https://news.yahoo.co.jp/articles/36feb10635ca8373544450f74b519475569affe5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010007-neweco-000-1-view.jpg?exp=10800,2024-05-02T16:49:24+09:00,2024-05-02T16:49:24+09:00,あたらしい経済,neweco,あたらしい経済,708,\nレイヤーゼロがスナップショット実施\n※写真はイメージです\nオムニチェーンプロトコル「LayerZero（レイヤーゼロ）」が、5月1日23:59:59（日本時間5月2日8:59）にスナップショットを実施した。同プロトコルの開発を主導するLayerZero Labs（レイヤーゼロラボ）の公式Xアカウントが発表した。\n\n同アカウントからは「詳細については近日公開予定です」と述べられているのみである。\n\nなおレイヤーゼロラボは昨年12月、同プロトコルのネイティブトークン「LayerZero token」の存在と、同トークンのエアドロップを2024年前半に実施することを明言していた。\n\n「レイヤーゼロ」は「オムニチェーン相互運用プロトコル（Omnichain’ Protocol）」により相互運用性を可能にし、無数のブロックチェーン間でシームレスなクロスチェーンメッセージングを促進するインフラを提供している。「レイヤーゼロ」を利用することで開発者は、クロスチェーンのやり取りを行う仲介者を必要とせずに、複数のブロックチェーンにまたがるプロジェクトを構築できる。\n\nレイヤーゼロラボは昨年4月、シリーズBラウンドで1.2億ドル（約157.8億円）を調達。30億ドルの評価額がつけられた。\n\nこのラウンドには、a16z crypto、BOND、Christie’s、Circle Ventures、OKX Ventures、OpenSea Ventures、Samsung Next、Sequoia Capitalなどの33の投資家が出資参加していた。\n大津賀新也（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010007-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/36feb10635ca8373544450f74b519475569affe5/images/000']
親クリプト派マクヘンリー米下院議員、SECのイーサリアム調査を非難（あたらしい経済）,https://news.yahoo.co.jp/articles/bd8a789cfb5b4f6a85c6809fbc646f55988d338b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010005-neweco-000-3-view.jpg?exp=10800,2024-05-02T15:54:17+09:00,2024-05-02T19:20:52+09:00,あたらしい経済,neweco,あたらしい経済,1290,\n「ゲンスラー委員長は意図的に議会を欺いた」\n※ロイターより\n米下院金融サービス委員会のパトリック・マクヘンリー（Patrick McHenry）氏が、イーサリアム（ETH）に関するSECの調査に関して米証券取引委員会（SEC）とゲイリー・ゲンスラー（Gary Gensler）委員長を非難し、SECの取り締まりによる規制を批判する声明を4月30日発表した。なおマクヘンリー氏は親クリプト（ブロックチェーン・暗号資産関連の総称）派として知られる人物だ。\n\nこの声明は、4月29日にSECがイーサリアムに関する調査を開始し、ETHが証券に分類される可能性があると示唆したという報道を受けて出されたものだ。\n\nマクヘンリー氏は、「ゲンスラー委員長自身が議会を欺いた」と批判している。\n\n同氏は昨年4月の金融サービス委員会での証言で、ゲンスラー委員長がSECのETHの分類に関する質問に対する回答を拒否したと指摘。「これは意図的に委員会の立場を誤魔化そうとしたものである」と続けている。\n\nまたマクヘンリー氏は「イーサ（ETH）を有価証券に分類することは、SECとゲンスラー委員長の以前の発言と矛盾するものであり、デジタル資産に対するSECの執行による規制の恣意的で気まぐれな性質を示す新たな例だ」と述べた。\n\n2018年にマサチューセッツ工科大学（MIT）で教鞭を執っていたゲンスラー委員長は当時、「イーサは証券ではない」と発言している。\n\nマクヘンリー氏はこれらの事実が、「デジタル資産市場に明確な規制の枠組みと強固な消費者保護を提供するため、議会が超党派の『21世紀のためのFIT法（FIT for the 21st Century Act）』を可決する緊急性を強調している」とし、「共和党委員会は、イノベーションを阻害し、アメリカの消費者を無防備な状態に置き去りにし、国家安全保障を危険にさらしているゲイリー・ゲンスラー率いるSECの過剰な規制の責任を追及し続ける」と主張している。\n\nマクヘンリー氏は、ゲンスラー委員長を度々厳しく追及しており、昨年4月18日のSEC監督審査（公聴会）の場ではゲンスラー委員長に対し、「米国法の下で、ETHはSECの管轄下にある証券か、証券先物取引委員会（CFTC）の管轄下にある商品（コモディティ）かについて明確な回答を求める」と迫り、答弁の中で明確な回答を避けるゲンスラー委員長の発言を何度も遮り、「現行法の下でETHは商品か証券かを判断してほしい」と指摘していた。\n\nなおゲンスラー委員長は3月7日のブルームバーグTVのインタビューでSECがイーサリアムを証券と見なすかについて質問され、「その質問については保留する」と回答している。\n\nまた4月25日には米コンセンシス（Consensys）が、米国の市場監視当局が「コンセンシスや、おそらくその他企業に対する臨時の執行措置を通じてイーサ（ETH）を不法に規制しようとしている」として、SECを提訴している。\n髙橋知里（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010005-neweco-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/bd8a789cfb5b4f6a85c6809fbc646f55988d338b/images/000']
テザー社、Q1が過去最高益45億ドル超に、純資産額も初公表（あたらしい経済）,https://news.yahoo.co.jp/articles/a674a219869dabda99e5f15acae92d7eb07d1cc9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010006-neweco-000-1-view.jpg?exp=10800,2024-05-02T16:02:07+09:00,2024-05-02T16:02:07+09:00,あたらしい経済,neweco,あたらしい経済,1001,"\nテザー社のQ1利益が45億ドル超に\nロイターより\nUSDTなどのステーブルコイン発行企業テザー（Tether）社が、2024年第1四半期の財務情報を開示。同社では過去最高益となる45.2億ドル（約7,037億円）を記録したことが5月1日に発表された。\n\n前回2023年第4四半期での純利益は28.5億ドルで、当時この数字も過去最高益と報告されていた。\n\nなおこの財務情報は、独立系会計事務所BDO監査済みのものとなる。\n\nテザー社によると今回の過去最高益に貢献したのは、ステーブルコイン発行にあたり保有している米国債による10億ドルにおよぶ利益とのこと。なおテザー社は908.7億ドル相当の米国債を直接・間接的に保有しているという。\n\nまたビットコインと金（ゴールド）の時価評価益が、残りの利益として構成されているとのこと。\n\n公開されている資料を確認するとテザー社では、ビットコインは53.7億ドル、金は36.5億ドル、現金および現金同等物は18.3億ドルを保有している。\n\nまたテザー社が発行するステーブルコインの準備資産は1,102.9億ドルで、その負債は1,040.3億ドル。準備資産が負債を62.6億ドル上回っていることも報告されている。\n\nまた今回テザー社は、初めて総資産額を公表した。発表によると2024年3月31日時点で同社の総資産額は113.7億ドルとのことで、前四半期の2023年12月31日に記録した70.1億ドルから顕著な増加を見せたと報告されている。\n\nその他にもテザー社は、総額50億ドルを超える戦略的投資を行っていると報告。分野としてAIとデータ、再生可能エネルギー、P2P通信、BTCマイニングが挙げられていた。\n\nテザー社は先月4月18日、デジタル資産分野での更なる事業拡大に向け、同社の事業部門の組織再編を発表していた。\n\nテザー社が再編する事業部門は、テクノロジー部門「テザーデータ（Tether Data）」、デジタルアセットサービス部門「テザーファイナンス（Tether Finance）」、ビットコイン（BTC）マイニング及びエネルギー部門「テザーパワー（Tether Power）」、デジタル教育及び進歩変革部門「テザーエデュ（Tether Edu）」とのことだった。\n大津賀新也（幻冬舎 あたらしい経済）",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010006-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/a674a219869dabda99e5f15acae92d7eb07d1cc9/images/000']
「スイ（SUI）」のミステンラボ、グーグルクラウドと提携（あたらしい経済）,https://news.yahoo.co.jp/articles/4b5833184e11ae1c687e3494c70a8ce9f87e2743,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010002-neweco-000-2-view.jpg?exp=10800,2024-05-02T12:55:33+09:00,2024-05-02T17:39:04+09:00,あたらしい経済,neweco,あたらしい経済,1168,\nSUIのミステンラボがグーグルクラウドと提携\n※写真はイメージです\nレイヤー1ブロックチェーン「スイ（Sui）」開発元のミステンラボ（Mysten Labs）が、グーグルクラウド（Google Cloud）との提携を4月30日発表した。\n\nこの提携により、「スイ」上のさまざまなWeb3およびAI搭載アプリケーションのセキュリティ、スケーラビリティ、開発者ツール、ユーザーエクスペリエンスを強化するとのこと。\n\n具体例として挙げられたのは、グーグルクラウドの生成AIアプリを構築するためのフルマネージドAI開発プラットフォーム「Vertex AI」を使用して、「スイ」はWeb3開発者によるコード生成のデバックと拡張を支援するという。\n\nまたミステンラボは、グーグル提供のAIとクラウドプラットフォームを使用して、Rust（ラスト）、Move（ムーブ）、Typescript（タイプスクリプト）、Solidity（ソリディティ）といった開発言語のセキュリティ脆弱性を特定する新しいAIベースのコード監査ツールを作成したとのこと。これによりミステンラボは、脆弱なコードを容易に特定し、改善すべきセキュリティの取り組みをアップデートしたとのことだ。\n\nミステンラボのCEO兼共同創業者であるエヴァン・チェン（Evan Cheng）氏は「グーグルクラウドとのコラボレーションは、安全でスケーラブルな、ユーザー中心のWeb3エクスペリエンスの開発を推進するのに役立ちます。またグーグルクラウドのインフラと最先端のAI機能は、『スイ』のユニークな技術的強みを補完し、あらゆるタイプの開発者が『スイ』上で次世代の分散型アプリケーションを開発できるようにします」とコメントしている。\n\n●スイ（SUI）とは\n\n「スイ」は、メタ（Meta）のブロックチェーン研究開発部門であるディエム（Diem）の元リードエンジニアたちによって設立されたミステンラボ（Mysten Labs）開発のブロックチェーン。高い処理性能による高速なトランザクションと低い手数料で利用できることから高く評価されている。なおスイは、昨年5月3日にメインネットがローンチしている。\n\nちなみに「スイ」は、ディエム開発の開発言語「ムーブ（Move）」を採用している。また「スイ」の他に、ディエムの開発チームに所属していた元メンバーによって開発されているL1ブロックチェーン「アプトス（Aptos）」でも、「スイ」と同じく開発言語には「ムーブ」が採用されている。\n\nなお国内暗号資産取引所ではバイナンスジャパンおよびオーケーコイン・ジャパンの2社が、「スイ」のネイティブトークン「SUI」を取り扱っている。\n大津賀新也（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010002-neweco-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/4b5833184e11ae1c687e3494c70a8ce9f87e2743/images/000']
ユニスワップウォレットに「Robinhood Connect」統合、ロビンフッド内の資金で暗号資産購入可能に（あたらしい経済）,https://news.yahoo.co.jp/articles/48380f70d7c4d35fcd626cc4d6c7b980c7af1703,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010004-neweco-000-1-view.jpg?exp=10800,2024-05-02T14:59:43+09:00,2024-05-02T14:59:43+09:00,あたらしい経済,neweco,あたらしい経済,908,\nUniswap WalletにRobinhood Connect統合\n※写真はイメージです\n「ユニスワップ（Uniswap）」のモバイルアプリ「ユニスワップウォレット（Uniswap Wallet）」にオンランプ機能「ロビンフッドコネクト（Robinhood Connect）」が統合され、同アプリではロビンフッド内の資金で暗号資産（仮想通貨）の購入が可能となった。このことはユニスワップが4月29日発表した。\n\n「ユニスワップウォレット」ユーザーは、「ロビンフッドコネクト」、デビットカード、銀行振込を使用してロビンフッドの残高から暗号資産を直接購入できるとのこと。なおこのサービスは現在米国でのみ使用可能となっている。\n\nまた「ロビンフッドコネクト」を介して「ユニスワップウォレット」で10ドル以上の暗号資産を購入したユーザーには、自身のロビンフッドアカウントにUSDCが10ドル送付されるとのこと。なおこのキャンペーンは、「ロビンフッドコネクト」を初めて利用するユーザーにのみ適用されるという。\n\nまた米国ユーザー向けの「ユニスワップウォレット」では「ロビンフッドコネクト」の他に、「コインベースペイ（Coinbase Pay）」、「ムーンペイ（Moonpay）」、「ストライプ（Stripe）」による暗号資産の購入が可能だ。\n\n「ユニスワップウォレット」は、オープンソースにより開発されたセルフカストディ（自己管理型）のモバイルウォレットだ。昨年4月にiOS版が公開され、アンドロイド版は昨年11月に公開されている。\n\n●ロビンフッドコネクトとは\n\n「ロビンフッドコネクト」は、株式や暗号資産（仮想通貨）の取引アプリを提供する米ロビンフッド・マーケッツ（Robinhood Markets）提供のサービスだ。昨年4月より提供開始されている。開発者は、同機能をdApps（分散型アプリケーション）に直接簡単に組み込むことができるため、dAppsユーザーは同機能を介して暗号資産を購入および転送し、web3ウォレットに資金が供給できるという。\n一本寿和（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010004-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/48380f70d7c4d35fcd626cc4d6c7b980c7af1703/images/000']
米セキュリタイズがブラックロックらから4700万ドル調達。サークル、アプトスラボ、パクソスも参加（あたらしい経済）,https://news.yahoo.co.jp/articles/679bba37b23305bed53f033acaf6147a94e2f8c3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010001-neweco-000-1-view.jpg?exp=10800,2024-05-02T12:14:48+09:00,2024-05-02T12:14:48+09:00,あたらしい経済,neweco,あたらしい経済,846,\nセキュリタイズがブラックロックらから資金調達\n※写真はイメージです\nデジタル資産発行プラットフォーム運営のセキュリタイズ（Securitize）が、米資産運用会社ブラックロック（BlackRock）主導による4700万ドルの資金調達ラウンドの完了を5月1日発表した。\n\n発表によるとこのラウンドには、米ナスダック上場のハミルトン・レーン（Hamilton Lane）とトレードウェブ・マーケッツ（Tradeweb Markets）、そしてデジタル資産投資会社のパラファイ・キャピタル（ParaFi Capital）が参加している。\n\nまたその他にもレイヤー1ブロックチェーン「アプトス（Aptos）」の開発会社アプトスラボ（Aptos Labs）、ステーブルコイン発行企業のサークル（Circle）およびパクソス（Paxos）も出資参加しているとのことだ。\n\nセキュリタイズは今回調達した資金にて、プロダクト開発の加速とグローバル拠点の拡大を行い、金融サービスのエコシステム全体におけるパートナーシップをさらに強化すると述べている。\n\nまたセキュリタイズへの投資の一環として、ブラックロックの戦略的エコシステム・パートナーシップ担当グローバル責任者であるジョセフ・チャロム（Joseph Chalom）氏がセキュリタイズの取締役に就任するとのことだ。\n\n今回の資金調達ラウンドを主導したブラックロックは今年3月、セキュリタイズと提携し、トークン化ファンド「ブラックロック・米ドル機関投資家向けデジタル流動性ファンド（BlackRock USD Institutional Digital Liquidity Fund：BUIDL）」をローンチしていた。\n\nブラックロックと提携したセキュリタイズはトークン化プラットフォームとして、トークン化された持ち分の管理・ファンドの申し込み・償還・分配に関する報告を行うとしている。\n大津賀新也（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010001-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/679bba37b23305bed53f033acaf6147a94e2f8c3/images/000']
米連邦検察、米決済ブロックの社内業務を調査＝報道（あたらしい経済）,https://news.yahoo.co.jp/articles/af85dd7ea51048203b4880e260fc65496ada20d4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010003-neweco-000-1-view.jpg?exp=10800,2024-05-02T13:54:40+09:00,2024-05-02T13:54:40+09:00,あたらしい経済,neweco,あたらしい経済,1073,\nコンプライアンスに関する疑惑で\n※ロイターより\n米連邦検察当局が、ジャック・ドーシー（Jack Dorsey）氏が率いる米決済企業ブロック（Block）の社内業務を調査しているとNBCが5月1日報じた。\n\n報道によれば、当局はブロックの主要部門である決済サービス「スクエア（Square）」と決済アプリ「キャッシュアップ（Cash App）」における広範かつ複数年にわたるコンプライアンス違反の疑いについて元従業員と話したという。\n\nその対話の中で元従業員は、両サービスにおいて顧客リスク評価の情報収集が不十分であることやスクエアが米国の制裁対象国であるキューバ、イラン、ロシア、ベネズエラの事業体が関与した取引を処理したこと、ブロックがテロリスト集団と関連する複数の暗号資産取引を処理したことを示す文書を提出したという。\n\nまたこれら取引のほどんどがクレジットカード取引、ドル送金、ビットコインに関わるものだが、「数千件」もの疑わしい取引が外国資産管理局（OFAC）に報告されていなかったと元従業員は指摘している。またブロックは情報漏洩の警告を受けても、会社の業務プロセスを修正しなかったとのことだ。\n\n今回の調査についてブロックの広報担当者は、自社には信頼のおける広範なコンプライアンス・プログラムがあると主張。またこのプログラムは変化する制裁規制環境や脅威に対応するため、定期的に見直されているとのことだ。また同プログラムには規制上の業務に従ったスクリーニングや報告などのプロセスが含まれているという。\n\nブロックは、元従業員の主張する「数千件」もの疑わしい取引をOFACに自主的に確実に報告したと述べているが、元従業員はこれに異議を唱え、異なる数千件の取引が報告されていないと主張した。\n\nブロックがOFACに自発的に申告したことで、OFACは行政処分を行わず調査を終了することを示す「ノー・アクション・レター」を発行したという。\n\n同社によると、この書簡は「キャッシュ・アップ」の取引を明らかにしたもので、ブロックが全社的な管理体制とプロセスを分析したことが認められたとのことだ。\n\nなお「ノー・アクション・レター」とは、政府機関の要請を受けて職員が作成する書簡のこと。規制対象となる事業体が「ノー・アクション・レター」の要請を通じて提案した行動方針に事業体が関与した場合に、政府機関の職員がその事業体に対して法的措置をとることを勧告しないことを示すものだ。\n髙橋知里（幻冬舎 あたらしい経済）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010003-neweco-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/af85dd7ea51048203b4880e260fc65496ada20d4/images/000']
ビットコインが6％近く下落、FOMC控え　最高値から22％安（あたらしい経済）,https://news.yahoo.co.jp/articles/9be6c897a39f3dfca4bb6d147ea78f70bc81ef64,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010000-neweco-000-2-view.jpg?exp=10800,2024-05-02T11:17:08+09:00,2024-05-02T17:04:49+09:00,あたらしい経済,neweco,あたらしい経済,910,"\nビットコインが6％近く下落\nロイターより\nビットコインは5月1日、米連邦公開市場委員会（FOMC）による政策金利の決定を前に一時5.6%下落し、2月下旬以来の安値を付けた。\n\n直近は4.8%安の5万7,001ドル。イーサも3.6%下げ2,857ドルと、こちらも2月以来の安値となった。\n\nビットコインは高値を更新し続け一時7万ドルを超えた。しかし米連邦準備理事会（FRB）の利下げ観測後退を背景に利益を確定する動きが出て、4月は約16%下落し2022年後半以降で最大の下げを記録した。\n\n3月に記録した7万3,803ドルを22%下回っており、チャート上では弱気相場入りした。ただ年初から35%上昇しており、1年前の2倍の水準となっている。\n\nフィネキアのリサーチアナリスト、マッテオ・グレコ氏は「最近の下降トレンドは22~23年の下降期に市場に参入した投資家による利益確定売りが増えたことだ」と分析した。\n\n今年の初めにビットコイン上場信託投資（ETF）に投資し、大幅な価格上昇を経験した投資家の売りも一因と指摘した。\n\n米国の10大現物ビットコインETFは1月の上場以来、週間ベースで最大の資金流出に直面している。LSEGのデータによると、今週の流出額は最大4億9,600万ドルとなった。\n\nFXプロのシニア市場アナリスト、アレックス・クプツィケビッチ氏は、チャート上ではビットコインの下落は新たな段階に入りつつあると述べた。\n\n5月はビットコインにとって季節的に弱い月であるだけでなく、過去数週間の価格下落により5万5,700ドルと5万1,000~5万2,000ドルが視野に入ったと指摘した。\n\n「しかし今日のFOMCの発表と3日の米雇用統計は、下落傾向を加速させるか反転させる可能性が十分にある」との見方を示した。\n\n※この記事は「あたらしい経済」がロイターからライセンスを受けて編集加筆したものです。\nビットコインが6％近く下落、FOMC控え 最高値から22％安\n（Reporting by Amanda Cooper）\n大津賀新也（幻冬舎 あたらしい経済）",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240502-00010000-neweco-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/9be6c897a39f3dfca4bb6d147ea78f70bc81ef64/images/000']
