headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ライアン・ゴズリング主演アクション『フォールガイ』が首位デビュー：全米ボックスオフィス考（シネマトゥデイ）,https://news.yahoo.co.jp/articles/452f14eb8332d35ca40b7cc346c4fe7e7a63f971,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000009-flix-000-1-view.jpg?exp=10800,2024-05-07T16:25:29+09:00,2024-05-07T16:25:29+09:00,シネマトゥデイ,flix,シネマトゥデイ,975,"\n映画『フォールガイ』が首位デビュー！ - (c) 2024 UNIVERSAL STUDIOS. ALL Rights Reserved.\n先週末（5月3日～5月5日）の全米ボックスオフィスランキングが発表され、ライアン・ゴズリング主演のアクションコメディー映画『フォールガイ』が興行収入2,774万7,035ドル（約43億円）で首位デビューを果たした。（数字は Box Office Mojo 調べ、1ドル155円計算）\n【動画】『フォールガイ』予告編\n1980年代のドラマ「俺たち賞金稼ぎ!!フォール・ガイ」を基にした同作。『アトミック・ブロンド』や『デッドプール2』のデヴィッド・リーチ監督が、姿を消した主演俳優（アーロン・テイラー＝ジョンソン）を追うスタントマン（ライアン）の姿を描いた。予想を下回る出足となっており、製作費1億4,000万ドル（約217億円）を取り戻すためには今後の巻き返しが必須だ。批評家及び観客からの評価は高いため、息の長い興行に期待したい。\n2位には、スター・ウォーズの日（5月4日）を祝して再上映された『スター・ウォーズ エピソード1／ファントム・メナス』が興収872万3,194ドル（約14億円）で初登場。超常現象ホラー『タロット（原題） / Tarot』は4位デビューだった。\n『ゴジラxコング 新たなる帝国』は公開6週目も5位圏内をキープ。累計興収は1億8,810万8,542ドル（約292億円）、世界興収は5億4,720万8,542ドル（約848億円）に達している。（編集部・市川遥）\n5月3日～5月5日の全米ボックスオフィスラキングは以下の通り。（）は先週の順位。\n1（初）『フォールガイ』\n2（初・再上映）『スター・ウォーズ エピソード1／ファントム・メナス』\n3（1）『チャレンジャーズ』\n4（初）『タロット（原題） / Tarot』\n5（3）『ゴジラxコング 新たなる帝国』\n6（4）『シヴィル・ウォー（原題）』\n7（2）『アンサング・ヒーロー（原題） / Unsung Hero』\n8（7）『カンフー・パンダ4（原題） / Kung Fu Panda 4』\n9（5）『アビゲイル（原題） / Abigail』\n10（8）『ゴーストバスターズ／フローズン・サマー』",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000009-flix-000-1-view.jpg?pri=l&w=640&h=267&exp=10800'],"['https://news.yahoo.co.jp/articles/452f14eb8332d35ca40b7cc346c4fe7e7a63f971/images/000', 'https://www.cinematoday.jp/news/N0142847/video?utm_term=N0142847&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
東京ディズニーシー「ファンタジースプリングス」お披露目！映画の世界にどっぷり（シネマトゥデイ）,https://news.yahoo.co.jp/articles/3abeb64eaa14e7b7bcfdc5be353d5135a0ea47a2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000011-flix-000-2-view.jpg?exp=10800,2024-05-07T18:05:01+09:00,2024-05-07T19:34:12+09:00,シネマトゥデイ,flix,シネマトゥデイ,1377,\nグリーティングに登場したアナとエルサ。\n7日、東京ディズニーシー8番目の新テーマポート「ファンタジースプリングス」のプレスプレビューが開催された。「ファンタジースプリングス」は、ディズニー映画を題材にした『アナと雪の女王』『塔の上のラプンツェル』『ピーター・パン』の3つのエリアと1つのディズニーホテルからなる。\n【画像】どうなってる？「ファンタジースプリングス」に潜入\n『アナと雪の女王』をテーマとした「フローズンキングダム」では、1作目の『アナと雪の女王』が幕を閉じた後の幸せな世界を舞台に、アレンデール城やエルサの氷の宮殿が再現されている。アトラクション「アナとエルサのフローズンジャーニー」は、「生まれてはじめて」「レット・イット・ゴー～ありのままで～」などの名曲が流れる中、心温まる姉妹の物語を追体験する。レストラン「アレンデール・ロイヤルバンケット」は、劇中に登場した城の門を通り抜け、アナとエルサがアレンデール王国の人々を招待した祝宴に参加する。エルサの戴冠式のパーティーが開かれた大広間で食事ができるほか、玉座もディスプレイされている。壁にはエルサとアナらロイヤル・ファミリーの肖像画が飾られ、劇中には登場していない家族の歴史を垣間見ることができる。\n『塔の上のラプンツェル』をテーマとした「ラプンツェルの森」では、ラプンツェルが小さいころに暮らしていた塔がそびえ立ち、そこから窓の外を眺めながらラプンツェルが「自由への扉」を歌う声が響き渡る。アトラクション「ラプンツェルのランタンフェスティバル」は、年に一度のランタンフェスティバルに向かうロマンティックなボートの旅が体験でき、映画の中の名シーンとして知られる、ラプンツェルとフリン・ライダーが「輝く未来」を歌うロマンティックなシーンの中に入り込んだような演出が印象的だ。レストラン「スナグリーダックリング」は、映画に登場するラプンツェルと荒くれ者たちが友達になった酒場そのもの。劇中でフックハンドがピアノを弾いたステージが再現されているほか、荒くれ者たちが追い求めた夢を叶えた証が飾られていたり、ラプンツェルらの壁画が描かれていたりと、映画の世界のその先まで表現されている。\n『ピーター・パン』をテーマとした「ピーターパンのネバーランド」では、ロストキッズの一員となって、ピーター・パンやティンカーベルと一緒に壮大な冒険の旅にでる。アトラクション「ピーターパンのネバーランドアトラクション」は、ティンカーベルから魔法の粉をかけられ、まるで空を飛んでいるような浮遊感の中、ピーター・パンと一緒にフック船長にさらわれたジョンを救う冒険に出る。同じくアトラクション「フェアリー・ティンカーベルのビジーバギー」は、ティンカーベルの配送の仕事を手伝いながら、妖精の谷「ピクシー・ホロウ」の色とりどりの四季を体感できる。レストラン「ルックアウト・クックアウト」は、ロストキッズが作った遊び心にあふれた隠れ家で、ロストキッズが作ったスナックボックスなどが食べられる。\nどのエリアも映画の中にいるような没入感が高く、それぞれの世界観が忠実に再現されているだけでなく、その先の物語を想像させる心にくい演出が、来場者を楽しませてくれる。グランドオープンの6月6日まであと少しだ。（今井優）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000011-flix-000-2-view.jpg?pri=l&w=640&h=434&exp=10800'],"['https://news.yahoo.co.jp/articles/3abeb64eaa14e7b7bcfdc5be353d5135a0ea47a2/images/000', 'https://www.cinematoday.jp/gallery/E0024230?utm_term=N0142835&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
『名探偵コナン』公開25日間で興収120億突破！日台合作のラブストーリーが7位のスタート：映画週末興行成績（シネマトゥデイ）,https://news.yahoo.co.jp/articles/4b0fcdff338088a6b0f1cbaeddfa1cf3580749e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000010-flix-000-2-view.jpg?exp=10800,2024-05-07T17:10:58+09:00,2024-05-07T17:30:01+09:00,シネマトゥデイ,flix,シネマトゥデイ,1609,"\nV4の『名探偵コナン 100万ドルの五稜星（みちしるべ）』 - (C) 2024 青山剛昌／名探偵コナン製作委員会\n5月3日から5日までの週末映画動員ランキングが7日、興行通信社より発表され、劇場版第27弾『名探偵コナン 100万ドルの五稜星（みちしるべ）』が週末3日間で観客動員113万人、興行収入16億2,700万円と前週を上回る成績をあげ、4週連続1位をキープ。振替休日となった6日を含む累計成績は動員845万3,000人、興収120億9,900万円となった。新作は、台湾の俳優シュー・グァンハンと清原果耶がダブル主演を務めたラブストーリー『青春18×2 君へと続く道』が7位、グローバルボーイズグループJO1の川西拓実の初主演映画『バジーノイズ』が10位にランクインした。\n【画像】初登場7位のラブストーリー\n2位は前週と同じく『ゴジラxコング 新たなる帝国』で、週末3日間の成績は動員21万3,000人・興収3億2,000万円、公開11日間の累計成績は動員85万7,000人、興収12億6,600万円。3位は、前週より3ランクアップした『劇場版ハイキュー!! ゴミ捨て場の決戦』。週末3日間の成績は動員15万7,000人・興収2億2,700万円、公開から75日目となる4月30日には累計興収が100億円を突破し、5月6日までの累計成績は動員722万8,000人、興収103億3,400万円となった。\n初登場7位の『青春18×2 君へと続く道』は、『新聞記者』『余命10年』などの藤井道人監督が台湾の紀行エッセイ「青春18×2 日本慢車流浪記」を原作にしたラブストーリー。高校生のジミー（シュー・グァンハン）と、彼のアルバイト先にやってきたバックパッカー・アミ（清原果耶）の恋模様を描く。共演に道枝駿佑、黒木華ら。10位の『バジーノイズ』は、週刊ビッグコミックスピリッツで2020年まで連載されていた同名人気コミックを、大ヒットドラマ「silent」などの風間太樹監督が映画化。音楽を奏でることが生きがいだった青年・清澄（川西拓実）が、自身の曲に感動したという同じマンションに住む潮（桜田ひより）との交流によって変化していく。\n今週は映画『猿の惑星』シリーズの新作で、ウィルスによって人間と猿の交代劇が起きた今から300年後の世界を舞台にした『猿の惑星／キングダム』、乃木坂46の元メンバー・高山一実の長編小説をアニメ映画化した『トラペジウム』、マーベル映画『マダム・ウェブ』のシドニー・スウィーニーと、『トップガン マーヴェリック』のハングマン役で脚光を浴びたグレン・パウエル共演のラブコメ『恋するプリテンダー』、池波正太郎の時代小説「鬼平犯科帳」シリーズを、十代目・松本幸四郎主演で新たに映像化した時代劇シリーズの劇場版『鬼平犯科帳 血闘』、『コードギアス』反逆のルルーシュと復活のルルーシュのその後を描く『コードギアス 奪還のロゼ 第1幕』などが公開される。（編集部・石井百合子）\n【2024年5月3日～5月5日の全国映画動員ランキングトップ10（興行通信社調べ）】※（）内は先週の順位\n1（1）『名探偵コナン 100万ドルの五稜星（みちしるべ）』：4週目\n2（2）『ゴジラxコング 新たなる帝国』：2週目\n3（6）『劇場版ハイキュー!! ゴミ捨て場の決戦』：12週目\n4（3）『劇場版ブルーロック -EPISODE 凪-』：3週目\n5（5）『変な家』：8週目\n6（4）『陰陽師0』：3週目\n7（初）『青春18×2 君へと続く道』：1週目\n8（8）『映画ドラえもん のび太の地球交響楽（ちきゅうシンフォニー）』：10週目\n9（9）『オッペンハイマー』：6週目\n10（初）『バジーノイズ』：1週目\n【訂正とお詫び】初出時の見出しに一部誤りがあったため訂正いたしました。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000010-flix-000-2-view.jpg?pri=l&w=640&h=452&exp=10800'],"['https://news.yahoo.co.jp/articles/4b0fcdff338088a6b0f1cbaeddfa1cf3580749e9/images/000', 'https://www.cinematoday.jp/movie/T0029223/photo/012?utm_term=N0142844&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
THE RAMPAGE、 FANTASTICSら「BATTLE OF TOKYO」参戦の8組65名が集結！対戦相手も発表（シネマトゥデイ）,https://news.yahoo.co.jp/articles/7041c366b2f8769b667151c95e5be8e6cc43aa07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000012-flix-000-2-view.jpg?exp=10800,2024-05-07T21:07:59+09:00,2024-05-07T21:18:02+09:00,シネマトゥデイ,flix,シネマトゥデイ,1569,\n8組65名が集結\nLDH JAPANが主催する総合エンタテインメント・プロジェクト「BATTLE OF TOKYO」の記者会見が7日、都内で行われ、8月10、11、12日にさいたまスーパーアリーナ、8月31日、9月1日に京セラドーム大阪で開催されるライブの詳細が発表された。今年はNEO EXILE世代の参戦が決定し、「Jr.EXILE VS NEO EXILE」をテーマに世代を超えたバトルが繰り広げられる。\n【画像】熱気ムンムン！イベントの様子\n「BATTLE OF TOKYO」は、Jr.EXILE世代のグループが中心となり小説やアニメ、ゲーム、楽曲、ライブなどリアルとバーチャルを融合・横断して展開するLDH JAPANの総合エンタテインメント・プロジェクト。 大災害から奇跡の復興を遂げた未来都市「超東京」を舞台に、今年はJr. EXILEのTHE RAMPAGE、FANTASTICS、BALLISTIK BOYZ、PSYCHIC FEVER、NEO EXILEのLIL LEAGUE、KID PHENOMENON、WOLF HOWL HARMONY、THE JET BOY BANGERZの総勢8組65名が参戦。会見には65名全員が登壇し、それぞれの意気込みを語った。司会を、ケリー隆介が務めた。\n注目となる今年のチームバトルは「THE RAMPAGE VS THE JET BOY BANGERZ」、「BALLISTIK BOYZ VS LIL LEAGUE」、「WOLF HOWL HARMONY VS PSYCHIC FEVER」、「FANTASTICS VS KID PHENOMENON」の4ペアのバトルが予定されている。\nTHE RAMPAGEの川村壱馬はバトル相手のTHE JET BOY BANGERZのメンバーを気遣い、「僕たちは長い時間、一緒に夜の撮影をしたりしているんですけど、みんないい子なんで応援してあげてほしいです。ぜひお楽しみください」とバトルに期待を寄せる。対するTHE JET BOY BANGERZの古嶋滝も「先輩たちが築き上げたこの場にNEO EXILEが参戦させてもらうことはとても光栄です。圧倒的なパフォーマンス力を武器に全力で頑張ります」と意気込んだ。\nFANTASTICSの佐藤大樹は「NEO EXILEに負ける気持ちは1ミリもない」と後輩たちにライバル心を燃やし、「今年の夏、『BATTLE OF TOKYO』をどこよりも熱い場所にします。65人で歴史を作ります。それだけ燃えています」とアピール。対戦するKID PHENOMENONの夫松健介も「参加させてもらえることを嬉しく思います。Jr. EXILEの皆さんは憧れの先輩。僕たちらしいカラーを出して、全力でパフォーマンスしていきたい」と話した。\nまた8月7日にアルバム「BATTLE OF TOKYO～Jr.EXILE VS NEO EXILE」がリリースされることも決定。THE RAMPAGEは前述のTHE JET BOY BANGERZとの「Goodest Baddest」が収録される。THE RAMPAGEの陣はミュージックビデオの撮影を終えていることを明かし、「かなりいい仕上がりになっています。ライブにおいて、この曲でどんな化学反応が起きるか楽しみ」と期待を寄せた。\nさらに「BATTLE OF TOKYO」と漫画、アニメ、ゲーム等の人気クリエイターがコラボするイラスト展示会「超東京拡張展」が5月15日から26日まで「SHIBUYA TSUTAYA」（東京）で、6月8日から23日まで「EBISUBASHI TSUTAYA」（大阪）で開催されることも発表された。（取材・文：名鹿祥史）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000012-flix-000-2-view.jpg?pri=l&w=640&h=400&exp=10800'],"['https://news.yahoo.co.jp/articles/7041c366b2f8769b667151c95e5be8e6cc43aa07/images/000', 'https://www.cinematoday.jp/gallery/E0024231?utm_term=N0142817&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
リタ・オラ、ネックレスしか身に着けていない？衝撃的な姿でメットガラに登場（シネマトゥデイ）,https://news.yahoo.co.jp/articles/21d99ab7b1ac62a3a8370616db19fdecf5766139,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000008-flix-000-1-view.jpg?exp=10800,2024-05-07T15:32:29+09:00,2024-05-07T15:32:29+09:00,シネマトゥデイ,flix,シネマトゥデイ,586,\nリタ・オラ - メットガラ2024にて - Jeff Kravitz / FilmMagic / Getty Images\n歌手のリタ・オラ（33）がビーズを体の前と後ろに垂らしただけのように見える衝撃的な姿でファッションの祭典・メットガラ2024に登場し、話題を呼んでいる。\n【画像】大胆すぎる…メットガラ2024でのリタ・オラ\nメトロポリタン美術館の新展示「Sleeping Beauties: Reawakening Fashion」に基づき、今年のメットガラのテーマは「The Garden of Time（時の庭）」。リタが選んだのは、マルニのビーズドレスだ。ボディスーツも着用しているが肌色のため、遠めからだとビーズを体の前と後ろに垂らしただけのように見える。\n本人もそれは承知のようで、「ハイ、みんな。今年のメットガラでは“ネックレス”を着ることにしたの」と Entertainment Tonight にジョークを飛ばしたリタ。このドレスは「体の美しさ、そして女性の存在と存在感」を表現したものだといい、「時の庭」というテーマに基づいて紀元前2世紀のビーズも使用していると明かしていた。\nリタの夫で『ジョジョ・ラビット』などのタイカ・ワイティティ監督（48）もマルニのレザースーツを着用し、連れ立ってラブラブなところを見せていた。（朝倉健人）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000008-flix-000-1-view.jpg?pri=l&w=640&h=436&exp=10800'],"['https://news.yahoo.co.jp/articles/21d99ab7b1ac62a3a8370616db19fdecf5766139/images/000', 'https://www.cinematoday.jp/gallery/E0024227?utm_term=N0142846&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
八木勇征が吉野北人と対決！「BATTLE OF TOKYO」ソロバトルの対戦相手発表（シネマトゥデイ）,https://news.yahoo.co.jp/articles/9ee3186afd05ed87a1cee34db9755471d62b38e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000013-flix-000-1-view.jpg?exp=10800,2024-05-07T22:06:47+09:00,2024-05-07T22:06:47+09:00,シネマトゥデイ,flix,シネマトゥデイ,1406,\n八木勇征\nLDH JAPAN主催の総合エンタテインメント・プロジェクト「BATTLE OF TOKYO」の緊急記者会見が7日、都内で行われ、Jr. EXILEのTHE RAMPAGE、FANTASTICS、BALLISTIK BOYZ、PSYCHIC FEVER、NEO EXILEのLIL LEAGUE、KID PHENOMENON、WOLF HOWL HARMONY、THE JET BOY BANGERZの総勢8組65名が集結。グループバトルに加えてスペシャル企画として実施されるソロバトルの対戦相手が発表され、FANTASTICSの八木勇征らが意気込みを語った。\n【画像】熱気ムンムン！イベントの様子\n「BATTLE OF TOKYO」は、 Jr.EXILE世代のグループが中心となり小説やアニメ、ゲーム、楽曲、ライブなどリアルとバーチャルを融合・横断して展開するLDH JAPANの仕掛ける総合エンタテインメント・プロジェクト。 大災害から奇跡の復興を遂げた未来都市「超東京」を舞台に今年はNEO EXILE世代の参戦も決定し、「Jr.EXILE VS NEO EXILE」をテーマに世代を超えたバトルが繰り広げられる。今年は8月10、11、12日にさいたまスーパーアリーナ、8月31日、9月1日に京セラドーム大阪でライブイベントが実施される。\n今年のチームバトルは「THE RAMPAGE VS THE JET BOY BANGERZ」、「BALLISTIK BOYZ VS LIL LEAGUE」、「WOLF HOWL HARMONY VS PSYCHIC FEVER」、「FANTASTICS VS KID PHENOMENON」の4ペア。ソロ対決のスペシャルバトルは1stが「川村壱馬VS松井利樹VS小波津志」、2ndが「吉野北人VS八木勇征」、3rdが「MA55IVE THE RAMPAGE VS RYOJI VS SUZUKI」。ドリームステージとして1stが「RIKU VS 宇原雄飛」、2ndが「中島颯太VS HIROTO」となっている。\nFANTASTICSの八木はTHE RAMPAGE吉野とのバトルに「この日にしか見られないものがたくさん見られると思います。ぜひ楽しみにしていてください」と期待を込める。THE RAMPAGEの川村、BALLISTIK BOYZの松井と対決するPSYCHIC FEVERの小波津志も「僕自身、全く想像できないバトルです。どんなバトルが起こるのかわからないけど、思いを込めて最高のバトルを繰り広げたいです」と話した。\nMA55IVE THE RAMPAGEの山本彰吾も「ガチガチにやりあいたい」と気合い十分。「お互い切磋琢磨していい曲ができるようにしたいです」と話す。またWOLF HOWL HARMONYのHIROTOはFANTASTICS中島とのバトルに感慨深げ。「颯太さんは学生の頃から尊敬する先輩。まさか『BOT』で一緒に共演できるとは思ってもみませんでした」と笑顔を見せる。THE JET BOY BANGERZの宇原雄飛も「今回（THE RAMPAGEの）RIKUさんと一緒にできるのが嬉しい。アーティストとしても男としても僕の憧れの存在。いい歌が歌えるよう全力で頑張ります」と意欲を見せていた。（取材・文：名鹿祥史）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000013-flix-000-1-view.jpg?pri=l&w=640&h=453&exp=10800'],"['https://news.yahoo.co.jp/articles/9ee3186afd05ed87a1cee34db9755471d62b38e8/images/000', 'https://www.cinematoday.jp/gallery/E0024231?utm_term=N0142856&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
『タイタニック』船長役、バーナード・ヒルさん死去　79歳（シネマトゥデイ）,https://news.yahoo.co.jp/articles/0af9ff37ffb09a182765d461aee7a957cda65be4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000006-flix-000-2-view.jpg?exp=10800,2024-05-07T11:53:14+09:00,2024-05-07T12:46:11+09:00,シネマトゥデイ,flix,シネマトゥデイ,451,\nバーナード・ヒルさん（2022年撮影） - Shirlaine Forrest / Getty Images\n映画『タイタニック』のエドワード・スミス船長役や『ロード・オブ・ザ・リング』シリーズのセオデン王役で知られるイギリス人俳優バーナード・ヒルさんが現地時間5日早朝、79歳で死去した。代理人がBBCなどに認めた。\n【画像】かっこよかった…『ロード・オブ・ザ・リング』シリーズでのバーナードさん\n婚約者のアリソンさん、そしてバーナードさんの息子のガブリエルさんに看取られたという。死因は明かされていない。\nバーナードさんは『タイタニック』と『ロード・オブ・ザ・リング／二つの塔』及び『ロード・オブ・ザ・リング／王の帰還』という大ヒット作でアイコニックな役柄を演じてファンに愛されたほか、『トゥルー・クライム』『真夏の夜の夢』『スコーピオン・キング』などにも出演。BBC One で5日より放送が始まったドラマ「レスポンダー 夜に堕ちた警官」シーズン2にも出演している。（編集部・市川遥）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000006-flix-000-2-view.jpg?pri=l&w=570&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/0af9ff37ffb09a182765d461aee7a957cda65be4/images/000', 'https://www.cinematoday.jp/gallery/E0024226?utm_term=N0142841&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
「ルパン三世」のテレビ版スペシャルシリーズ、日曜アニメ劇場で3週連続放送！（シネマトゥデイ）,https://news.yahoo.co.jp/articles/8a322daf9b84cf6b0d0c4097ff02ebed3f1f0f5e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000007-flix-000-1-view.jpg?exp=10800,2024-05-07T14:20:02+09:00,2024-05-07T14:20:02+09:00,シネマトゥデイ,flix,シネマトゥデイ,868,\n「ルパン三世 血の刻印 ～永遠のMermaid～」より - 原作：モンキー・パンチ (C)TMS\n人気アニメ「ルパン三世」のテレビ版スペシャルシリーズから、「ルパン三世 血の刻印 ～永遠のMermaid～」「ルパン三世 東方見聞録 アナザーページ」「ルパン三世 princess of the breeze ～隠された空中都市～」の3作品が、5月26日より3週連続で全国無料放送BS12（トゥエルビ）の「日曜アニメ劇場」（毎週日曜よる7時～）にて放送される。\n【画像】実写版『ルパン三世』のキャストは？\n26日に放送される「ルパン三世 血の刻印 ～永遠のMermaid～」は、アニメ化40周年記念作品として制作されたテレビ版スペシャルシリーズの第22作目。日本を舞台に、不老不死の女性を捜し閉ざされた孤島を目指すルパンたち一味の大活劇ドラマが描かれる。スペシャルシリーズ初の完全地上デジタル放送、ハイビジョン制作された作品となっている。\n続く、6月2日に放送されるのは、テレビ版スペシャルシリーズの第23作目となる「ルパン三世 東方見聞録 アナザーページ」。マルコ・ポーロの旅行記「東方見聞録」をテーマに、マルコ・ポーロの隠し財産を追って、殺人犯の汚名を着せられたルパンと次元がイタリアから日本へ逃亡するロードムービーと、日本での五ェ門の修行という2つの視点からストーリーが進められてゆく。\nそして6月9日に放送されるのは、テレビ版スペシャルシリーズの第24作目となる「ルパン三世 princess of the breeze ～隠された空中都市～」。ヨーロッパを舞台に、長年鎖国されていた高地の共和国「シャハルタ共和国」の秘宝を巡り、ルパン一味とシャハルタの実権を握ったグローバル企業との争奪戦が展開される。\nなお、レギュラーボイスキャストは、ルパン三世役の栗田貫一、次元大介役の小林清志に加え、26日放送の第22作から、石川五ェ門役を浪川大輔、峰不二子役を沢城みゆき、銭形警部役を山寺宏一が担当している。（高橋理久）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000007-flix-000-1-view.jpg?pri=l&w=451&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/8a322daf9b84cf6b0d0c4097ff02ebed3f1f0f5e/images/000', 'https://www.cinematoday.jp/gallery/E0021935/o.jpg.html?utm_term=N0142842&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
まさにプリンセス！エル・ファニング、氷のような透明ドレスでメットガラに登場（シネマトゥデイ）,https://news.yahoo.co.jp/articles/0ce78e76f3750581a12cd9054b04b5341ccfe2a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000005-flix-000-1-view.jpg?exp=10800,2024-05-07T11:01:15+09:00,2024-05-07T11:01:15+09:00,シネマトゥデイ,flix,シネマトゥデイ,466,\nリアルプリンセスなエル・ファニング - メットガラ2024にて - Gilbert Flores / Variety via Getty Images\n女優のエル・ファニング（26）が、ファッションの祭典・メットガラ2024に氷のような透明なドレスをまとって登場した。\n【画像】エル・ファニングの透明ドレスの全貌\nメトロポリタン美術館の新展示「Sleeping Beauties: Reawakening Fashion」に基づき、今年のメットガラのテーマは「The Garden of Time（時の庭）」。映画『マレフィセント』では“眠れる森の美女（Sleeping Beauty）”として知られるオーロラ姫を演じたエルは、今回再びプリンセスになることにしたようだ。\nバルマンのカスタムドレスは、氷のように透明。肩の辺りにはドレスの端をくわえたクリスタルの鳥たちが配されており、ディズニープリンセスにするようにドレスの着用を手伝っているかのようだ。エルのこの装いは「まさにプリンセス！」と称賛されている。（朝倉健人）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000005-flix-000-1-view.jpg?pri=l&w=640&h=436&exp=10800'],"['https://news.yahoo.co.jp/articles/0ce78e76f3750581a12cd9054b04b5341ccfe2a5/images/000', 'https://www.cinematoday.jp/gallery/E0024225?utm_term=N0142838&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
かっこいい！『スーパーマン』新作、初ビジュアルが公開（シネマトゥデイ）,https://news.yahoo.co.jp/articles/75f9c8e9dcb4b4fe56128202ec9825f1b944fa8e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000004-flix-000-1-view.jpg?exp=10800,2024-05-07T09:54:38+09:00,2024-05-07T09:54:38+09:00,シネマトゥデイ,flix,シネマトゥデイ,625,\n画像はジェームズ・ガン監督Instagramのスクリーンショット\nDCスタジオの新作映画『スーパーマン（原題） / Superman』から、デヴィッド・コレンスウェット（『Pearl パール』）演じる新スーパーマンの姿がお披露目となった。\n【画像】イケメン！新スーパーマン役のデヴィッド・コレンスウェット\nジェームズ・ガン監督とプロデューサーのピーター・サフラン率いるDCスタジオが展開する、新たなDCユニバース（DCU）の幕開けを飾る同作。脚本・監督も務めるガンはInstagramで以前、撮影現場にて自身のiPhoneで撮ったというスーパーマンコスチュームらしきクローズアップショットを公開していたが、今回のビジュアルではスーパーマン役のデヴィッドの姿がはっきりわかる。フォトグラファーのジェス・ミリョがセットで撮影したものだ。\n悪役レックス・ルーサー役でニコラス・ホルト、悪役ザ・エンジニア役でマリア・ガブリエラ・デファリア、ヒロインのロイス・レイン役で レイチェル・ブロズナハン、グリーン・ランタンのガイ・ガードナー役でネイサン・フィリオン、ホークガール役でイザベラ・メルセド、ミスター・テリフィック役でエディ・ガテギ、メタモルフォ役でアンソニー・キャリガンが出演する。たくさんのキャラクターが顔を見せるが、ガン監督いわくスーパーマンとレックス・ルーサーがメインで描かれるという。2025年7月11日に全米公開。（編集部・市川遥）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240507-00000004-flix-000-1-view.jpg?pri=l&w=397&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/75f9c8e9dcb4b4fe56128202ec9825f1b944fa8e/images/000', 'https://www.cinematoday.jp/gallery/E0023819?utm_term=N0142837&utm_source=yahoo&utm_medium=cd&utm_campaign=rel']"
