headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
横須賀基地のいずもドローン撮影問題　神奈川県警が飛行禁止法違反容疑で捜査開始（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/ff60a73dbd58590f7f7cd21496c25d451a0454d1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079288-kana-000-1-view.jpg?exp=10800,2024-05-20T21:40:06+09:00,2024-05-20T21:40:06+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,352,\n海上自衛隊の護衛艦「いずも」をドローンで撮影した可能性があるとされた動画の一場面（投稿されたＸから）\n海上自衛隊横須賀基地（神奈川県横須賀市）に停泊中のヘリコプター搭載型護衛艦「いずも」をドローンで空撮したとみられる動画が交流サイト（ＳＮＳ）に投稿された問題で、県警は何者かがドローンを飛ばした疑いもあるとみて、小型無人機等飛行禁止法違反容疑を視野に捜査を始めた。\n\n 動画は３月に中国の動画投稿サイトに投稿され、約２０秒間、いずもの上空から甲板などが写されている。動画の内容に不自然な点もあり、当初は偽物との見方もあったが、防衛省は今月、ドローンで撮影された可能性が高いとの分析結果を公表した。\n\n 同法は自衛隊基地などの上空や周辺での無許可のドローン飛行を禁止している。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079288-kana-000-1-view.jpg?pri=l&w=640&h=359&exp=10800'],['https://news.yahoo.co.jp/articles/ff60a73dbd58590f7f7cd21496c25d451a0454d1/images/000']
ファミリーマートが神奈川でこども食堂　おにぎりやチキン振る舞う　コカ・コーラも協力（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/fcf26b68fb17ab762ba5db35210bbda646ca71f4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079241-kana-000-2-view.jpg?exp=10800,2024-05-20T20:00:06+09:00,2024-05-20T20:40:02+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,220,\n食事をしながら交流する子どもら（昨年１０月撮影、ファミリーマート提供）\nコンビニ大手ファミリーマートが、神奈川県内の店舗で「こども食堂」を開いている。１９日には市沢町店（横浜市旭区）で、商品のおにぎりやフライドチキンを振る舞った。\n コカ・コーラボトラーズジャパンも協力し、ペットボトルの再利用について、クイズ形式で紹介した。２５日には佐江戸店（同市都筑区）でも開かれる。担当者は「店舗を地域交流にしたい」と話した。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079241-kana-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/fcf26b68fb17ab762ba5db35210bbda646ca71f4/images/000']
「やってやるよ」　横須賀の海釣り公園でナイフ向け脅迫、容疑で８６歳の男を逮捕（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/eaf5d39139e55dfa10b0da0660bd07cf57ddae63,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079293-kana-000-1-view.jpg?exp=10800,2024-05-20T22:11:01+09:00,2024-05-20T22:11:01+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,349,\n横須賀署\n神奈川県警・横須賀署は２０日、暴力行為等処罰法違反の疑いで、横須賀市安浦町、無職の男（８６）を現行犯逮捕した。\n\n 逮捕容疑は、同日午後１時半ごろ、同市平成町の海辺つり公園で、同市在住で地方公務員の男性（５７）に刃渡り８センチのナイフを向け「やってやるよ。殺してやるぞ」と脅迫した、としている。\n\n 署によると、男は調べに対し「そんなことやっていない」と供述、容疑を否認している。\n\n 男性が妻と同公園で釣りをしていたところ、男が妻の釣り道具などを勝手に動かして、その場所に居座った。男性が「なんで移動させたのか」と問うと、男は「３０年以上、ここで（釣りを）やっているんだ」などと言いがかりをつけた。その後、男性とつかみ合いになり、ナイフを示したという。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079293-kana-000-1-view.jpg?pri=l&w=640&h=425&exp=10800'],['https://news.yahoo.co.jp/articles/eaf5d39139e55dfa10b0da0660bd07cf57ddae63/images/000']
東海道線の村岡新駅、２４年秋ごろに着工　神奈川県やＪＲ東日本など４者が設置工事協定　３２年に開業予定（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/2c596e8d5b0bbdc66bed47cab4aae3068ade992d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079242-kana-000-1-view.jpg?exp=10800,2024-05-20T20:30:06+09:00,2024-05-20T20:30:06+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,304,\n村岡新駅駅舎のイメージ図（ＪＲ東日本横浜支社提供）\nＪＲ東海道線大船─藤沢間に２０３２年ごろに開業を予定する「村岡新駅」（仮称、藤沢市宮前）について、神奈川県と藤沢、鎌倉市、ＪＲ東日本の４者は２０日、設置工事に関する協定を結び、今秋ごろに着工することで合意した。４者が２１年に新駅設置に合意してから３年を経て、周辺のまちづくりを大きく変える工事が動き出すことになった。\n\n 新駅は藤沢駅から約２キロ、大船駅から約２・６キロの位置に整備される橋上駅。駅舎は地上３階建てで敷地面積は約７１０平方メートル。工事費と詳細設計費は計約１５９億円で、１日当たり約６万５千人の利用を想定している。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079242-kana-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/2c596e8d5b0bbdc66bed47cab4aae3068ade992d/images/000']
小田原市長選挙　返り咲きの加藤氏に聞く　「持続可能な社会つくる」　守屋市政の評価は（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/8b1ad2ac1dd003f07d68aae99682ab8ebf95ea10,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079271-kana-000-1-view.jpg?exp=10800,2024-05-20T20:50:05+09:00,2024-05-20T20:50:05+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,556,\n当選から一夜明けてインタビューに答える加藤憲一氏＝２０日、小田原市内の事務所\n１９日に投開票された神奈川県・小田原市長選は、前市長の加藤憲一氏（６０）が４選を果たし、４年ぶりの市長復帰を決めた。一夜明けた２０日、加藤氏は神奈川新聞社のインタビューに応じ、「分断を乗り越え、持続可能な地域社会を実現する」と４期目の抱負を述べた。\n\n ─選挙戦を振り返って。\n\n 「頂いた票の多さに驚いている。市民の現市政に対する『とんでもない』という思いが思っていたより強く、まっとうな市政に戻してほしいとの声を受けてきた。変えていくのだという市民の意思と受け止めている」\n\n ─当選直後のインタビューでは「分断ではなく心を一つに」と話していた。\n\n 「いろんな立場があって意見の違いもあるが、前に進めるという意味ではみんな同じような気持ちを持っている。相手の意見もちゃんと聞いて、手を携えて『一円融合』を目指さないと市政は前に進まない」\n\n ─１期４年の守屋市政をどう評価するか。\n\n 「障害者、高齢者、子育て支援のチームなどから市政の市民への寄り添いや課題に対応する力が弱くなったとたくさん聞いてきた。経済界や政治権力への配慮が前面に出て、市民のことが後回しになっていたと感じる」\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079271-kana-000-1-view.jpg?pri=l&w=528&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/8b1ad2ac1dd003f07d68aae99682ab8ebf95ea10/images/000']
横須賀美術館のジブリ展、２カ月で１０万人　企画展で最多の観覧者数を更新（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/9b647a314fe9591d7687b248af586d598eb4d846,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079211-kana-000-2-view.jpg?exp=10800,2024-05-20T18:50:05+09:00,2024-05-21T01:15:01+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,292,\n１０万人目の観覧者となった桐生さん家族＝２０日、横須賀美術館\n横須賀美術館（神奈川県横須賀市鴨居）で開催中の企画展「鈴木敏夫とジブリ展」（６月１８日まで）の観覧者数が今月２０日、１０万人を突破した。開始から約２カ月での達成で、同館の企画展では観覧者数の最多記録を更新している。\n\n １０万人目の観覧者となったのは同市在住で会社員の桐生浩光さん（３６）、亜依さん（３７）、彩世ちゃん（３）の家族で、同館から同展の記念品が贈られた。桐生さんは「トトロが好き。横須賀で道が混んでいたり（企画展の人気を）実感していた。グッズも楽しみで、ゆっくり見たい」と話していた。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079211-kana-000-2-view.jpg?pri=l&w=545&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/9b647a314fe9591d7687b248af586d598eb4d846/images/000']
【ＤｅＮＡ】お笑いコンビ・令和ロマンとコラボ　交流戦の応援隊長　タオルやバーガー販売（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/23195b859c0de17a9ebbdc45dfe0c2088334ed05,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079188-kana-000-3-view.jpg?exp=10800,2024-05-20T17:40:06+09:00,2024-05-20T18:13:01+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,261,\n高比良くるまさんコラボ「チミチュリバーガー」フライドポテト付きのイメージ（球団提供）\n横浜ＤｅＮＡは２８～３０日の楽天戦（横浜）、６月４～６日のオリックス戦（同）で開催する「交流戦ＳＥＲＩＥＳ ２０２４」の応援隊長にお笑いコンビの令和ロマンが就任したのを記念し、コラボグッズやコラボグルメを発売する。 \n\n 漫才衣装のスーツをモチーフにしたフェースタオルや、松井ケムリさんにちなんで「スモーク」したカモをふんだんに使用した「鴨スモークバーガー」などを用意した。\n\n 詳細は球団ホームページへ。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079188-kana-000-3-view.jpg?pri=l&w=640&h=480&exp=10800'],['https://news.yahoo.co.jp/articles/23195b859c0de17a9ebbdc45dfe0c2088334ed05/images/000']
「小田原ショック」、政界に広がる　市長選で自民推薦が大敗　「次は箱根の関越え？」　静岡知事選への波及懸念（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/6584dc598e3d8bacbd0b88c2830782edd925c67a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079212-kana-000-2-view.jpg?exp=10800,2024-05-20T18:50:09+09:00,2024-05-20T18:54:01+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,387,\n国会議事堂（資料写真）\n神奈川県・小田原市長選から一夜明けた２０日、自民推薦の現職・守屋輝彦氏の大敗が「小田原ショック」（同党幹部）として政界に広がった。衆院３補選全敗に続く自民に対しての厳しい結果に、政権内には「地方レベルでも国民に見放され始めた」（同党幹部）との悲観論が漂う。「小田原の次は箱根の関越え？」（閣僚経験者）と静岡県知事選（２６日投開票）への波及の懸念も語られ始めている。 \n\n 「守屋市長は地元メディアと折り合いが悪かったのではないですか」。県内事情に詳しい政界関係者によると、旧知の官邸スタッフから２０日早朝、そんな問い合わせを受けた。今年２月の前橋市長選で自民推薦現職が大敗した際も同じような照会があったという。関係者は「岸田文雄首相の周辺は『総理の不人気のせいではない』との世論の火消し材料集めに必死なのだろう」と推測した。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079212-kana-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/6584dc598e3d8bacbd0b88c2830782edd925c67a/images/000']
【高校野球春季関東大会】東海大相模、白鴎大足利に完封負け　打線は散発６安打で流れつかめず（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/076661f6b22c85300cd626ebdfb8299f23380867,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079165-kana-000-2-view.jpg?exp=10800,2024-05-20T16:50:05+09:00,2024-05-20T17:04:01+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,299,\n完封で準決勝進出を逃し、肩を落とす落とす東海大相模ナイン＝上毛新聞敷島球場（立石 祐志写す）\n◆東海大相模０－５白鴎大足利 \n\n 高校野球の春季関東大会は２０日、群馬県の上毛新聞敷島球場で準々決勝２試合を行い、東海大相模（神奈川２位）は白鴎大足利（栃木１位）に０―５で敗れた。\n\n 東海は先発の福田拓翔（２年）が六回までに８奪三振と好投だったが、七回に先頭打者を四球で出してから一気に崩れ、打者一巡の攻撃とされて５点を失った。\n\n 打線は散発６安打。五回に守備の乱れを突いて本塁に突入するもアウトになるなど、あと一歩のところで先制点が奪えず、流れがつかめなかった。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079165-kana-000-2-view.jpg?pri=l&w=640&h=377&exp=10800'],['https://news.yahoo.co.jp/articles/076661f6b22c85300cd626ebdfb8299f23380867/images/000']
韓国政府系財団、藤沢に進出　バイオ・ヘルスで日本企業と連携へ（カナロコ by 神奈川新聞）,https://news.yahoo.co.jp/articles/8da24bb09c9c647f16936a0789073910d4a97fbc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079096-kana-000-2-view.jpg?exp=10800,2024-05-20T12:40:06+09:00,2024-05-20T21:07:01+09:00,カナロコ by 神奈川新聞,kana,カナロコ by 神奈川新聞,460,\n五松先端医療産業振興財団の日本オフィス開所式＝４月９日、藤沢市の湘南アイパーク\nバイオ・ヘルスケア産業の創出を支援する韓国の公的機関「五松（オソン）先端医療産業振興財団」（ＫＢＩＯＨｅａｌｔｈ）が４月、健康、医療関連分野の研究開発拠点「湘南アイパーク」（藤沢市村岡東）に日本オフィスを開設した。大企業からベンチャーまで多様な研究開発機関が集積する同パークと協業。ライフサイエンス分野での日韓連携を強化し、世界を先導するバイオ・ヘルス産業の育成を進める。\n\n 「アジアから世界にイノベーションをもたらすことを期待したい」。４月９日、同財団日本オフィスの開所式で、同パークを運営するアイパークインスティチュートの藤本利夫社長は展望した。\n\n 同財団は、韓国が「国家成長のエンジン」として掲げるバイオ・ヘルス産業を育成するために設立された政府主導の機関。本部を置く忠清北道清州市は韓国有数のバイオクラスターとして知られ、同財団は新薬開発センターや医療機器開発センターなど四つの中核施設を展開する。\n神奈川新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240520-01079096-kana-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/8da24bb09c9c647f16936a0789073910d4a97fbc/images/000']
