headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
富士山コンビニ“目隠し”　山梨・富士河口湖町長「苦渋の選択。各地がオーバーツーリズムへの対策に苦労」理解求める（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/d629dd7e195ee96ca8968867f48b9fdc092b0f68,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804255-fnn-000-2-thumb.jpg?exp=10800,2024-05-24T19:49:14+09:00,2024-05-24T23:18:23+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,302,"\nFNNプライムオンライン\n富士山を隠す黒い幕をコンビニの前に設置したことについて、地元の町長が理解を求めた。\n\n山梨・富士河口湖町 渡辺英之町長「誠に残念ながら、苦渋の選択の末、本工事を施工することに至りました」\n\n山梨・富士河口湖町で、富士山が見えるコンビニエンスストアに外国人観光客が殺到した問題で、町は3日前にマナー違反の対策として、撮影を防ぐ黒い幕を設置した。\n\n24日に会見した渡辺町長は、「観光客とドライバー双方の安全と平穏な住民生活を確保するため」と理解を求めた。\n\nまた、町長は「全国各地がオーバーツーリズムへの対策に苦労している」と指摘した。\nフジテレビ,社会部",[],[]
2024年春卒業した大学生の就職率が98.1％で過去最高　統計が始まった1996年度以降　高校生は98％（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/c34608399f84904e65695e1dcf57f34699aa5b89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804265-fnn-000-1-thumb.jpg?exp=10800,2024-05-24T19:55:20+09:00,2024-05-24T19:55:20+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,297,"\nFNNプライムオンライン\n2024年春に卒業した大学生の就職率が、98.1％で過去最高となった。\n\n文部科学省などの調査によると、2024年春に大学を卒業した学生の4月1日時点の就職率は98.1％で、前の年の同じ時期と比べて0.8ポイント上昇し、統計が始まった1996年度以降で過去最高となった。\n\n高校生の就職率も98％で、調査が始まった1976年度以降で4番目に高い水準だった。\n\n文科省は「深刻な人手不足の影響で、昨年より企業の求人が増加し、売り手市場となっていることが要因と考えられる。新型コロナの影響もほとんどないと聞いている」と分析している。\nフジテレビ,社会部",[],[]
神奈川県警が誤認逮捕　取調室で覚醒剤所持の疑いも別事件の容疑者が机と壁の間に隠す　「再発防止に努めます」（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/00e47fe39de41fff83e44cbd4a7478f5d5c16666,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804419-fnn-000-1-view.jpg?exp=10800,2024-05-24T22:09:57+09:00,2024-05-24T22:09:57+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,365,"\nFNNプライムオンライン\n神奈川県警は警察署内の取調室で覚醒剤を所持した疑いで逮捕した男性について、覚醒剤は別の事件の容疑者が隠したもので、誤認逮捕だったと発表した。\n\n会社員の40歳の男性は今年2月、平塚警察署内で覚醒剤を所持した疑いで逮捕された。\n\n警察によると男性は覚醒剤を使用した疑いで取り調べを受けていて、尿検査を終えて取調室に戻った際、足元に覚醒剤の入った袋が落ちていたという。\n\nその後、男性の尿から覚醒剤の陽性反応が出たため覚醒剤の使用容疑で逮捕し、その後、所持の疑いで再逮捕したが、実際は男性が取り調べを受けるおよそ50日前に別の事件の容疑者が机と壁の間に隠していたものだったことが判明した。\n\n神奈川県警は「適正捜査を徹底し、再発防止に努めます」とコメントしている。\nフジテレビ,社会部",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804419-fnn-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/00e47fe39de41fff83e44cbd4a7478f5d5c16666/images/000']
「政策活動費」公開で与野党論戦　政治資金規正法の改正（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/ca4c27571da3b019370a1e6b93b16ef975a8a7b9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804392-fnn-000-1-thumb.jpg?exp=10800,2024-05-24T20:47:00+09:00,2024-05-24T20:47:00+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,718,"\nFNNプライムオンライン\n衆議院の特別委員会では23日に続き、政治資金規正法の改正案の質疑が行われ、「政策活動費」の公開などをめぐり論戦となった。\n\n立憲民主党・吉田議員「（自民党案は）政策活動費は項目・金額のみで領収書はつかない。本当にその目的に使われたか国民のみなさんが判断する材料がない」\n\n自民党・鈴木議員「（党の）財務委員会で聞き取りチェックをし、ガバナンスをしっかりしている。不正な使用があることは考えられない」\n\n政党から議員に支給される「政策活動費」をめぐっては、自民党の案で領収書の提出が義務づけられていないことについて、立憲民主党が「国民が判断する材料がない」と追及した。\n\nこれに対し自民党側は、「党の財務委員会で聴き取りのチェックを行い、ガバナンスがしっかりしている。不正な使用は考えられない」と反論した。\n\n一方、政治資金パーティーをめぐっては、禁止の法案を提出している立憲の幹部の岡田幹事長らがパーティーを開いていることを自民が指摘した。\n\n自民党・山下元法相「政治資金パーティーの禁止法案について、立民の提案者が出しているので、これについて伺います。立憲幹部も（パーティーを）やっている。禁止するのは政治活動に大いな制限を加える」\n\n立憲民主党・本庄議員「（立憲幹部の）パーティーの事例、今の現行法に基づいて適法に行われている。パーティーや企業・団体献金中心の政治資金から、個人献金中心の政治資金に変える現実的な提案だ」\n\n特別委員会では、27日に参考人質疑が行われる。\n\n自民党は、来週中の採決を目指していて、各党との修正協議にも臨む予定。\nフジテレビ,政治部",[],[]
東京都独自の子育て支援策6月から今年度申請開始　1人当たり年間6万円　マイナンバーカードによるスマホ申請も導入（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/f99ba4be24424add2fc2e9bac20f7b40a54e79db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804414-fnn-000-2-view.jpg?exp=10800,2024-05-24T21:49:00+09:00,2024-05-24T21:57:58+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,303,"\nFNNプライムオンライン\n東京都が、都内在住の0歳から18歳に月5千円を支給する「018サポート」の今年度の受付を、6月11日から開始する。\n\n都は、独自の子育て支援策として都内に在住する0歳から18歳に対し、1人当たり月額5000円、1年間6万円を支給している。\n\n小池知事は、今年度から新たに対象となる人の受付を来月11日から開始する、と発表した。\n\n去年申請し、引き続き支給要件を満たす人は改めて申請する必要はない。\n\n申請方法について「手続きが煩雑」との批判が出ていたことから、今年度はマイナンバーカードをスマートフォンで読みとる方法も新たに導入される。\nフジテレビ,社会部",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804414-fnn-000-2-view.jpg?pri=l&w=640&h=355&exp=10800'],['https://news.yahoo.co.jp/articles/f99ba4be24424add2fc2e9bac20f7b40a54e79db/images/000']
ニューカレドニア暴動で足止めの日本人42人がオーストラリアに出国　現地に残る日本人は旅行客含め250人ほど（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/e3d4bf48b62e79c4261525096dfb2d630d35bc70,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804247-fnn-000-2-thumb.jpg?exp=10800,2024-05-24T19:47:09+09:00,2024-05-24T23:18:17+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,254,"\nFNNプライムオンライン\n暴動が続く南太平洋のフランス領ニューカレドニアから、24日までに日本人42人がオーストラリアに出国した。\n\n上川外相「本日までに計42名の方々が、ニューカレドニアから豪州ブリスベンに空路で出国すること、これを支援したところであります」\n\n上川外相が明らかにしたもので、出国を希望した42人は、オーストラリアやフランスの協力を得て、航空機でブリスベンに到着した。\n\n現地に残る日本人は、旅行客などの短期滞在者約20人を含め250人ほどだという。\nフジテレビ,政治部",[],[]
【恐怖】オープンカーに吠えながら迫る3頭のクマ　小グマが驚き母クマ怒ったか?　インド（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/6bf0155837a89af1167e64a7c617c164970feb83,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804334-fnn-000-3-thumb.jpg?exp=10800,2024-05-24T19:49:06+09:00,2024-05-24T23:13:29+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,453,\nFNNプライムオンライン\n走行中のオープンカーを、3頭のクマがほえながら追いかけてくる恐怖の瞬間をカメラがとらえていた。\n\n遮るものがない状況で、すぐそばへと迫る黒い影に、女性も思わず声を上げている。\n\n車を追いかけるクマが目撃されたのは、インド。\n\nアジア動物医療研究センター・パンク町田センター長は「完璧、威嚇ですよ。母グマは本気で怒っている」と話す。\n\n親子とみられる3頭のクマ。\n母グマが本気で怒っているのには理由があった。\n\nアジア動物医療研究センター・パンク町田センター長は「人か車に子グマがおびえたために、母グマが興奮して襲いかかってきた。子育て中のために興奮しやすい時期だった」と指摘。\n\n子育て中は、特に危険性を増すクマ。\nもし遭遇した際には、どのように行動すればいいのだろうか。\n\nアジア動物医療研究センター・パンク町田センター長は「距離が離れていれば、動かないこと。至近距離であれば、ジロジロ見ないで、刺激しないよう速やかに遠ざかる」としている。,[],[]
電車内で刃物振り回し無差別に襲う男に乗客が応戦…傘で叩き拳で何度も頭殴り逆襲　2人ケガも逮捕　台湾（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/13155b789af7638b3a023bbed4df8bb5f4cee996,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804325-fnn-000-2-thumb.jpg?exp=10800,2024-05-24T19:43:02+09:00,2024-05-24T19:55:00+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,490,"\nFNNプライムオンライン\n走行中の電車内で、刃物を振り回し無差別に乗客を襲う男の犯行をカメラが捉えていた。\n\n5月21日、台湾で事件は起きた。ジャケットを着た男が刃物を持って電車内に侵入し、男は、2人の乗客につかみかかった。乗客の1人が傘で応戦すると、男は真っすぐにカメラのほうに向かい、右手に持った刃物を振り下ろした。\n\n電車は走行中でドアは開かず、乗客は、外に逃げ出すことができず悲鳴が響く。\n\n乗客からは「刃物を奪おう!」との声が上がり、乗客たちは男を押さえつけ反撃に出ると、男が刃物を手から落とした。女性が男の頭をたたいていたが、「もっと強く」と言わんばかりに男性がさらに殴りつけ、乗客に逆襲された男は、次の駅で駆けつけた警察官に引き渡された。\n\n現地のメディアによると、男は医者を目指す20歳の学生だということで、調べに対し、「計画的にやった」と話している。\n\n犯行前に3本の刃物を準備したうえで、電車に乗り込み犯行に及んだが、男は精神的なトラブルを抱えていたとみられるという。\n\nこの事件で、乗客2人が負傷した。\nフジテレビ,国際取材部",[],[]
危機一髪!ビルから転落する女の子を5人が幕を張ってキャッチ　女の子は無事　中国（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/13489c59c28c17ace861c1122cf86255dfed5f76,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804327-fnn-000-3-thumb.jpg?exp=10800,2024-05-24T19:46:58+09:00,2024-05-24T23:13:19+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,298,\nFNNプライムオンライン\n中国・広東省で、上を向いて腕を広げる女性は、建物の2階で宙づりになった女の子を受け止めようとしていた。\n\nカメラには建物の上の方を向いて、腕を広げて叫ぶ女性が映っている。1人で女の子を受け止めるには不安があるのか、女性は必死で助けを求める。\n\nするとその時、女の子の携帯電話が落ちてきた。限界が近いのかと緊張が走る。\n\n次第に周囲の人も集まり始め、横断幕のようなものを広げ、受け止める準備も。\n\nそして、落ちてきた女の子を無事に受け止めることができた。\n\n現地メディアによると、当時女の子は部屋に1人でいた際に、バルコニーに出てしまったという。,[],[]
高齢者施設にパンダ!? 「よう来てくれたな」と歓迎　アドベンチャーワールドの動物たちとふれあい（FNNプライムオンライン（フジテレビ系））,https://news.yahoo.co.jp/articles/c7ca963bd63671f8ed487754b57c5b5236718bc8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240524-00804316-fnn-000-2-thumb.jpg?exp=10800,2024-05-24T19:37:35+09:00,2024-05-24T23:13:05+09:00,FNNプライムオンライン（フジテレビ系）,fnn,FNNプライムオンライン（フジテレビ系）,252,\nFNNプライムオンライン\n23日、和歌山県のアドベンチャーワールドから、高齢者施設に犬やヤギ、ペンギンなどさまざまな動物がやってきた。\n\nそして最後に登場したのは、台車に乗ったパンダ...にしか見えない、キャラクターの「すみれ」。\nまるで本物のパンダのような姿に、少し戸惑ったような女性も。\n\n施設の高齢者「かわいいな～、欲しいな～」\n飼育員「よかったらなでてあげてください」\n施設の高齢者「一緒に寝るか?」\n\nかわいい動物たちとふれあい、施設の人からも思わず笑みがこぼれていた。,[],[]
