headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「還付金がある」「手続きするのでカードの番号教えて」　80代女性がキャッシュカードだまし取られる　浜松市（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/38ffc0712c3d45053c46a4d13742d6d5f62b7780,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037511-satvv-000-1-view.jpg?exp=10800,2024-05-25T20:44:34+09:00,2024-05-25T20:44:34+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,359,\n市役所職員を名乗る男からの「還付金があるが、手続しますか」という電話をきっかけに、浜松市の８０代女性がキャッシュカードをだまし取られました。\n\n 警察によりますと、２４日午後１時半ごろ、女性の家に市役所職員を名乗る男から「保険の還付金がある。受け取る手続きをしますか」と電話がありました。さらに郵便局員を名乗る男から「手続きをするのでキャッシュカードの番号を教えてください」「キャッシュカードが古い。新しいカードに変える必要がある」などと言われ、自宅を訪れた郵便局員を名乗る男にキャッシュカードを渡してだまし取られた、ということです。\n\n 翌日の２５日、たまたま訪れた娘に話をして、詐欺に気づき、警察に届けました。キャッシュカードが不正使用されているか否かについては、まだ確認できていない、ということです。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037511-satvv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/38ffc0712c3d45053c46a4d13742d6d5f62b7780/images/000']
女子プロゴルフトーナメント・リゾートトラストレディス　大会3日目（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/4648c4c26ad4f0ab1951e70fac927ea31b10af02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037503-satvv-000-1-thumb.jpg?exp=10800,2024-05-25T17:58:12+09:00,2024-05-25T17:58:12+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,296,\n静岡朝日テレビが主催する女子プロゴルフトーナメント・リゾートトラストレディス。5月25日は大会３日目です。\n\n 3位タイでスタートした岩井ツインズの姉、明愛。まずは5番、4メートルのパットを決めて25日最初のバーディ。\n\n 後半の１０番パー5。3打目を1.5メートル寄せるとこれをしっかり決めてスコアを伸ばします。\n\n 続く11番でも4メートルのバーディパットを沈めて通算11アンダー。最終日は首位と1打差から今シーズン初優勝を狙います。\n\n岩井明愛：\n「きょうはノーボギーで回れたことがすごいうれしかったです。あしたも自分（のプレー）に集中して、頑張りたいと思います」,[],[]
同僚に暴行を加えてけがをさせた静岡県職員が懲戒処分受ける　足蹴り頭突きで全治2週間のけが（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/fd7e84ed8cb0eb31b5faaebb162f763785860727,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037502-satvv-000-1-thumb.jpg?exp=10800,2024-05-25T18:00:43+09:00,2024-05-25T18:00:43+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,258,\n静岡県は、同僚に暴行を加えけがをさせたとして男性職員を、減給６カ月の懲戒処分としました。\n\n 県健康福祉部の男性職員（60）は2023年12月、浜松市内の路上で同僚の足を蹴ったり頭突きをしたりして、全治2週間のけがをさせたとして地検浜松支部に書類送検されました。\n\n 男性職員は4月、不起訴処分になり、県は24日付で減給10分の1、6カ月の懲戒処分にしました。男性職員は事実を認め謝罪したということです。\n\n 県人事課は「県民の信頼を図るべく、綱紀の厳正保持に万全を期していく」とコメントしています。,[],[]
数百機のドローンが音楽に合わせて夜空を彩る 　静岡・三島スカイウォーク　（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/c3e6c028da8b2d9c7e95dc362df715b8bb204de3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037492-satvv-000-1-thumb.jpg?exp=10800,2024-05-25T13:29:57+09:00,2024-05-25T13:29:57+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,284,\n静岡県の「三島スカイウォーク」で5月24日夜、「ドローンショー」が開かれました。\n\n 海外でも注目され実施されている屋外ドローンショー。数百機の機体にＬＥＤの光の色や動きを同期し、デザインを暗闇の空に描き出します。\n\n 花火とは違い、夜空に美しく光続け文字やデザインを表現していました。\n\n訪れた人：\n「花火みたいなイメージで意外性で良かった。楽しめました」\n\n訪れた人：\n「楽しかった」\n\nQどんなところが楽しかった？\n\n「なんか動きとか」\n\n 音楽に合わせて三島の夜空を演出するドローンショー、25日と26日の夜も開催予定です。,[],[]
商業施設で10代女性のスカート内を盗撮か　28歳の男を男性客が現行犯逮捕　浜松市（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/9e3d19f79776bef390ad5b23a5454c757e759156,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037508-satvv-000-1-view.jpg?exp=10800,2024-05-25T20:14:02+09:00,2024-05-25T20:14:02+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,259,\n商業施設で、１０代女性のスカートの中をスマートフォンで撮影したとして、２８歳の男が現行犯逮捕されました。\n\n 静岡県迷惑防止条例違反（盗撮行為）の疑いで逮捕された静岡県磐田市の自称・派遣社員の２８歳の男は２５日午後２時ごろ、浜松市中央区の商業施設で、１０代の女性客のスカート内をスマートフォンで撮影した疑いが持たれています。\n\n その様子を目撃した男性客が、男を現行犯逮捕しました。警察の調べに対し、男は容疑を認めている、ということです。警察は男のスマートフォンを調べるなどして、余罪などを調べる方針です。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037508-satvv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/9e3d19f79776bef390ad5b23a5454c757e759156/images/000']
大型トラックが歩行中の女性（94）をはねる　運転手の男（50）を逮捕　静岡・島田市（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/8a97d820d2dea510aac027399d13bd2cbcd95e77,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037488-satvv-000-1-view.jpg?exp=10800,2024-05-25T10:39:27+09:00,2024-05-25T10:39:27+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,254,\n島田警察署\n静岡県島田市の交差点で、大型トラックが歩いていた女性をはねる事故があり、運転手の男が逮捕されました\n\n 逮捕されたのは、愛知県碧南市のトラック運転手の男（50）です\n\n 警察の調べによりますと、男は5月24日午後４時ころ、大型トラックを運転中、島田市横岡新田の交差点で、歩いていた女性（94）をはねてけがをさせた疑いがもたれています。\n\n 女性は頭などを打ちましたが意識はあるということです。\n\n 現場は信号機のある見通しの良い交差点で、男は容疑を認めているということです。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037488-satvv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/8a97d820d2dea510aac027399d13bd2cbcd95e77/images/000']
静岡県知事選　投票日を前に候補者が最後の訴え（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/32282b142e4c1760220dd55133160c53bc944b80,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037493-satvv-000-1-thumb.jpg?exp=10800,2024-05-25T12:08:26+09:00,2024-05-25T12:08:26+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,296,\n川勝前知事の辞職に伴う静岡県知事選は5月26日、投票日を迎えます。選挙戦最終日となった25日も候補者らは各地で最後の訴えに声を枯らしています。\n\n 知事選にはいずれも新人でこれまでで最も多い６人が立候補しています。\n \n 選挙戦はリニア新幹線や浜岡原発の再稼働、少子高齢化対策などを主な争点に、17日間にわたって、論争が繰り広げられてきました。また期日前投票の投票率は24日までで13.31％と3年前をわずかに上回っています。\n\n 知事選の投票は一部の地域を除いて、26日の午前7時から午後8時まで、1100カ所余りの投票所で投票が行われ、即日開票で新しい県知事が決まります。,[],[]
静岡市の複数の部署で不適切な事務処理が発覚　難波市長「漫然と過去のやり方を踏襲している」（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/2a39c9bed9df1352041b1f912477cece84d9fab4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037491-satvv-000-2-view.jpg?exp=10800,2024-05-25T13:28:00+09:00,2024-05-25T13:32:51+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,502,\n静岡市 難波喬司市長\n静岡市の複数の部署で法令の誤った解釈などによる、不適切な事務処理が4件確認されました。\n\n 市によりますと、高齢者福祉課では2022年の台風15号で、被災した施設1軒の算定を誤まり、国の補助の対象外と判断しました。\nこのため市が独自に648万円2000円を補助するということです。\n\n また児童生徒支援課では、特例で10人の児童が遠距離通学費の補助の対象になると学校に連絡したものの、特例を認める事務手続きが取られて いなかったため補助が認められず、定期の払い戻し手数料など2万8000円余りを市が賠償するということです。\n\n この他にも2件で不適切な処理がありました。\n\n 難波市長は組織風土に問題があると指摘しました。\n\n静岡市 難波喬司市長\n「漫然と過去のやり方を踏襲してやる。おかしいと思ってもまあいいかと蓋をしてそのまま進めるというのもひとつだと思う。そのあたりを変えていかないと同じ事故というか事務上の不適切事案がこれからも発生し続けていくと思う」\n\n 市は、2024年6月補正予算案に支出予算を計上するなどの対応をとるということです。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037491-satvv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/2a39c9bed9df1352041b1f912477cece84d9fab4/images/000']
静岡県の調査員が世帯主の名前が記載された一覧表を紛失　21世帯分（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/011f10fa5d13812a3aecfc5126f0629af6b47e0a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037486-satvv-000-1-view.jpg?exp=10800,2024-05-25T10:16:46+09:00,2024-05-25T10:16:46+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,357,\n静岡県庁\n国の委託で静岡県が行う労働力調査の調査員が、世帯主の名前が記載された一覧表を紛失したことがわかりました。\n\n 県によりますと紛失が発覚したのは、総務省が都道府県を通じて毎月実施している、労働力調査の調査票を対象世帯に配布する際に、調査員が持ち歩く調査世帯一覧表です。\n\n 紛失した一覧表はＡ4サイズの黄色い用紙2枚で、21世帯の世帯主の名前が記載されていました。\n\n 5月19日、調査員が自宅で一覧表がないことに気付き、焼津市内で紛失したとみられ、警察に届け出をしたということです。\n\n これまでに一覧表は見つかっておらず、記載があった世帯に謝罪をしたということです。\n\n 県は「管理が行き渡らず反省している。文書や研修会などで再度、書類の管理徹底の周知に努める」としています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037486-satvv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/011f10fa5d13812a3aecfc5126f0629af6b47e0a/images/000']
「FX業者の中でもっとも満足度の高い業者です」　静岡・牧之原市の男性が700万円だまし取られる　（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/12159ee1ed4364992441568932c050486e3b71e5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037484-satvv-000-1-view.jpg?exp=10800,2024-05-25T10:01:53+09:00,2024-05-25T10:01:53+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,506,\n牧之原警察署\n静岡県牧之原市で40代の男性がＳＮＳ型の投資詐欺の被害に遭い、現金およそ700万円をだまし取られました。\n\n 警察によりますと、ＳＮＳ型投資詐欺の被害に遭ったのは、牧之原市に住む会社員の40代の男性です。\n\n 投資に興味があった男性は2024年4月中旬、2023年12月上旬にインターネット広告から投資アプリをダウンロードしたところ、ＳＮＳを通じて知り合った人物から振込みを指示されました。\n\n 男性は5月上旬までの間に、指定された個人名義の口座に、複数回に渡り現金およそ700万円を振り込んだということです。\n\n 投資額と利益が反映されるチャートが示されていて、男性がお金を引き出そうとしたところ出金ができなかったため警察に被害届を出しました。\n\n インターネット広告には「ＦＸ業者の中でもっとも満足度の高い業者です」「資金は入金額だけでなく利益額を含めた金額が完全に管理されている」などと記載されていたということです。\n\n ＳＮＳ型の投資詐欺を巡っては警察は「『必ず儲かる』は詐欺」「個人口座へ正規な投資でお金を振り込むことは絶対にない」と注意を呼びかけています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240525-00037484-satvv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/12159ee1ed4364992441568932c050486e3b71e5/images/000']
