headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
息子の首絞め”殺人未遂”　母親「申し訳ない」（九州朝日放送）,https://news.yahoo.co.jp/articles/1a0ac470b3aebf159e1a06be0e5be1054588974c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12671257-kbcv-000-2-view.jpg?exp=10800,2024-05-28T18:15:07+09:00,2024-05-28T18:30:07+09:00,九州朝日放送,kbcv,九州朝日放送,1009,\n提供元：九州朝日放送\n去年１０月、当時９歳の息子の首を絞め、殺害しようとした罪に問われている母親の裁判員裁判の初公判が２８日福岡地裁で開かれました。\n\n被告の母親は起訴内容を認め、「痛い思いをさせて申し訳ない」と息子への思いを述べました。\n\n「息子に対する気持ちと、自分の生き辛さがぶつかり合って弾けてしまった」\n\n２８日、声を震わせながら被告人質問でこう述べた被告の母親。\n\n起訴状などによりますと、去年１０月、当時３９歳だった母親は糟屋郡志免町の自宅で当時９歳だった息子の首を携帯電話の充電コードで絞め、殺害しようとした罪に問われています。\n\n息子は全治１カ月のけがをしましたが、命に別状はありませんでした。\n提供元：九州朝日放送\n裁判員裁判の初公判で被告の母親は起訴内容を認めました。\n\nその後の冒頭陳述で検察側は\n\n「シングルマザーとして発達障害を持つ息子を一人で育てていたが、不安と孤独で体調を崩した。\n息子を殺害したあと自殺して一緒に死のうとした」と指摘しました。\n\n一方、弁護側は\n\n「不眠症やパニック障害などの精神疾患があった。息子は今後、母親との同居を望んでいる」\n\nと情状酌量を求めました。\n\n法廷では、約１０分間に及ぶ当時の１１０番通報の音声が響きました。\n提供元：九州朝日放送\n★指令「事件ですか、事故ですか」\n\n★被告の母親「・・・すみません。息子を殺しました」\n\n言葉を詰まらせながら母親が話した数分後、意識を取り戻した当時９歳の息子が通報の電話にでる場面も。\n\n★息子「ママも首から出血してるからさ。一緒に入院しよう」\n\nその後、警察官らが駆け付け、母親と息子は病院に搬送されたといいます。\n提供元：九州朝日放送\n同居していた両親が次々に施設へ入所したことが、孤独や不安を感じるきっかけだったという母親。\n\n「相談できる人がいなくなってどんどん不安になりポッカリ穴が開いたように感じた」\n\n一方で現在は児童養護施設で過ごしているという息子への思いも述べました。\n\n「息子が意識を取り戻してくれたことで繋ぎとめてくれた。親友のような仲なのでこれからも二人三脚で歩いていけたらと思います。痛い思いをさせて申し訳ない」。\n\n裁判は２９日に結審し、判決は３０日に言い渡される予定です。\n九州朝日放送,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12671257-kbcv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12671257-kbcv-001-2-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12671257-kbcv-002-2-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12671257-kbcv-003-2-view.jpg?pri=l&w=640&h=360&exp=10800']","['https://news.yahoo.co.jp/articles/1a0ac470b3aebf159e1a06be0e5be1054588974c/images/000', 'https://news.yahoo.co.jp/articles/1a0ac470b3aebf159e1a06be0e5be1054588974c/images/001', 'https://news.yahoo.co.jp/articles/1a0ac470b3aebf159e1a06be0e5be1054588974c/images/002', 'https://news.yahoo.co.jp/articles/1a0ac470b3aebf159e1a06be0e5be1054588974c/images/003']"
思いやりの心を育てよう　小学５年の小さな保育士（九州朝日放送）,https://news.yahoo.co.jp/articles/44d9c6aabe6f250ca687a69b51fc07afffde3a02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12669513-kbcv-000-2-thumb.jpg?exp=10800,2024-05-28T18:15:16+09:00,2024-05-28T19:15:17+09:00,九州朝日放送,kbcv,九州朝日放送,381,\n九州朝日放送\n小さい子と関わり、思いやる心を育てようと、小学５年生たちが保育士となって園児とふれあう体験授業が２８日、北九州市で行われました。\n\nドミノ倒しを作る途中で…「あー」「あ～」「やっちゃった。まあいいや、もう一回作るか」\n\n北九州市戸畑区の「はつねほいくえん」で行われた保育士体験授業。\n\n近くにある牧山小学校の５年生たちが、来年１年生として入ってくる年長さんと楽しい時間を過ごしました。\n\n小５女児「もう５年がした方がいいかもしれん。倒れたらあんたたち絶対危ない」小５女児「待って危ない危ない離れた方がいい」\n\nしっかり気遣う小さな保育士たち。ふざけてブロックを投げてくる園児たちにも、未来の上級生は優しく接していました。\n\n小５男児「来年は鬼ごっことか、ドッジボールとかいろいろ一緒にしてあげたいです」\n九州朝日放送,[],[]
「睡魔に襲われて…」ＪＲ筑肥線でオーバーラン（九州朝日放送）,https://news.yahoo.co.jp/articles/25e1c7e897bb6d5eed2f811f2d160ec5be50e420,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12670457-kbcv-000-2-view.jpg?exp=10800,2024-05-28T17:15:07+09:00,2024-05-28T17:30:07+09:00,九州朝日放送,kbcv,九州朝日放送,422,\n提供元：九州朝日放送\n２８日朝、ＪＲ九州・筑肥線の下り列車がオーバーランし、駅のホームを通り過ぎて停車したと発表しました。\n\n運転士は３０代の女性で「睡魔に襲われた」という趣旨の話をしているということです。\n\nＪＲ九州によりますと２８日午前６時半すぎＪＲ筑肥線筑前前原発ー西唐津行きの下り列車が、停車すべき美咲が丘駅で８０ｍほどオーバーランして止まりました。\n\n踏切を超えていたため美咲が丘駅に戻れず、運転士はそのまま次の加布里駅まで運行しました。\n\n乗客乗員およそ６０人にけがはありませんでしたが美咲が丘駅で降りる予定だった乗客２人が次の加布里駅から引き返し、美咲が丘駅から乗車予定だった乗客は３６分後の後続列車を利用したということです。\n\n運転士はＪＲ九州の聞き取りに対し「睡魔に襲われた」という旨の話をしているということです。\n\nＪＲ九州は「再発防止に努めてまいります」とコメントしています。\n九州朝日放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12670457-kbcv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/25e1c7e897bb6d5eed2f811f2d160ec5be50e420/images/000']
タクシー運転手”暴行で”逮捕の自衛官を不起訴（九州朝日放送）,https://news.yahoo.co.jp/articles/cd069d05cfa88115a06dda4ab65772c548fb9140,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12674339-kbcv-000-1-view.jpg?exp=10800,2024-05-28T19:30:07+09:00,2024-05-28T19:30:07+09:00,九州朝日放送,kbcv,九州朝日放送,367,\n提供元：九州朝日放送\n先月、福岡市天神でタクシー運転手に暴行したとして、逮捕された陸上自衛隊大村駐屯地所属の男性自衛官を福岡区検は不起訴処分としました。\n\n警察によりますと、陸上自衛隊大村駐屯地所属の男性自衛官（２０）は、先月１４日午前８時半ごろ、福岡市天神の路上でタクシー運転手の右頬を複数回殴るなどした暴行の疑いで現行犯逮捕されました。\n\n私用で福岡に来ていて、呼気からアルコールが検知された男性自衛官は逮捕当時、「私は酒を飲むと記憶をなくしてしまうことがある。今回の件もよく覚えていない」と容疑を否認していました。\n\n福岡区検は、この男性自衛官（２０）について傷害罪に切り替えて捜査していましたが、２３日付で不起訴処分としました。\n\n不起訴処分の理由は「諸般の事情を考慮した」としています。\n九州朝日放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12674339-kbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/cd069d05cfa88115a06dda4ab65772c548fb9140/images/000']
福岡市早良区にまたサル出没　女性２人が襲われる（九州朝日放送）,https://news.yahoo.co.jp/articles/53b21db504625f49aef6d816df8a59798a5db86c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12672735-kbcv-000-2-thumb.jpg?exp=10800,2024-05-28T19:15:07+09:00,2024-05-28T19:30:17+09:00,九州朝日放送,kbcv,九州朝日放送,456,\n九州朝日放送\n福岡市早良区でサルの目撃情報が相次いでいます。２８日も７０代と５０代の女性が髪の毛を引っ張られる被害に遭いました。２人にけがはありません。\n\n２７日午後２時半ごろ、福岡市早良区重留の飲食店駐車場で目撃されたサルです。同じサルでしょうか・・・\n\n警察によりますと、２８日早良区四箇で午前１０時ごろ、「サル１匹が徘徊している。妻が飛びかかられた」と１１０番通報がありました。\n\n襲われたのは７０代の女性で、髪の毛を引っ張られたということです。\n\nまた、付近では、通報の約２０分後に５０代の女性もサルに髪の毛を引っ張られましたが、ともにけがはありませんでした。\n\n２６日には、早良区梅林で小学４年生の男の子が頭を引っかかれて軽傷を負い、２７日は、早良区重留に現れたサルが女性の髪を引っ張ったり、男子中学生の腰にしがみつくなどの被害が相次いでいます。\n\nまた被害の報告はないものの、２８日午後４時半ごろには早良区重留に程近い西区金武でもサルが目撃されています。\n九州朝日放送,[],[]
「ライドシェア」福岡１８社に許可（九州朝日放送）,https://news.yahoo.co.jp/articles/4c6b394f5d66087703679821c6dd8bd3c922b0f4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12667869-kbcv-000-3-thumb.jpg?exp=10800,2024-05-28T15:30:07+09:00,2024-05-28T19:30:28+09:00,九州朝日放送,kbcv,九州朝日放送,340,\n九州朝日放送\nタクシー業界の人手不足解消を狙い関東や京都で導入された「日本版ライドシェア」福岡でもタクシー会社１８社に運行許可が出されました。\n\n「日本版ライドシェア」は一般のドライバーが自家用車を使って有料で客を運びます。\n\n国土交通省は福岡市や春日市、糸島市など８市７町を含む「福岡交通圏」では、慢性的な車両不足から夕方から夜を中心に時間帯や台数を限定し、毎日運行が可能としています。\n\n福岡交通圏では、タクシー会社４１社がこれまでに参入の意向を示していてこのうち１８社に九州運輸局は運行許可を出しました。\n\n福岡での「ライドシェア」サービス開始は、各タクシー会社や配車アプリ「ＤｉＤｉ」や「ＧＯ」では、来月上旬以降の見通しとしています。\n九州朝日放送,[],[]
まるで気分は宇宙飛行士！３月にリニューアルした宇宙科学館 ～ふるさとWish佐賀県～（九州朝日放送）,https://news.yahoo.co.jp/articles/28b791e9a2a78da59258fdded6d6d486f53aa445,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12669512-kbcv-000-1-view.jpg?exp=10800,2024-05-28T15:15:07+09:00,2024-05-28T15:15:07+09:00,九州朝日放送,kbcv,九州朝日放送,1206,\n「グラヴィティ ジャンプ」を体験する井上桃子リポーター\n佐賀県武雄市にある「佐賀県立宇宙科学館 ゆめぎんが」。佐賀の自然を展示する「佐賀発見ゾーン」、地球の物理学を遊んで学ぶことができる「地球発見ゾーン」、宇宙と自分のつながりを発見できる「宇宙発見ゾーン」の常設展示をはじめ、プラネタリウムや天文台を展開している施設です。今年で開館２５年を迎え、３月には「宇宙発見ゾーン」がリニューアルオープン！館内を「宇宙発見ゾーン」エリア担当チーフである木村朱里さんが案内してくれました。\n「グラヴィティ ジャンプ」\n今回リニューアルした「宇宙発見ゾーン」で木村さんが「一番の目玉です！」と話すのは、火星、月、冥王星の重力の違いをジャンプで体験できる装置「グラヴィティ ジャンプ」。なんとゴールデンウィーク中は1時間待ちだったという人気ぶり！井上桃子リポーターが装置に備えられているイスに座り、安全ベルトを付けてジャンプすると、動きと連動した映像で、まるで気分は宇宙飛行士！冥王星は地球と比べて１６分の１の重力ということもあり、軽いジャンプでも映像では８メートルほどジャンプした時の目線になっているため、スタジオからも驚きの声が！さらに足元にも映像が映し出されていて、着地した際に舞い上がる土埃もリアリティがあります。体験を終えて、無事地球に帰還した井上リポーター。その場でジャンプをして「重い・・・」としっかり地球の重力を感じていたようでした。\n「佐賀県立宇宙科学館 ゆめぎんが」宇宙発見ゾーンエリア担当チーフ木村朱里さん（右）、井上桃子リポーター（左）\n他にも、ロケットを飛ばす原理を体験できる装置や、地球の誕生など臨場感のある映像を楽しむことができる大きなスクリーンも。体を動かして宇宙を体感するだけでなく、イスに座って映像を見ながら宇宙についてじっくり学ぶこともできる、年齢を問わず楽しめる科学館になっています。\n\n工作や実験のワークショップ、実験ショーも開催しているので、夏休みの自由研究にもおすすめですよ♪開催スケジュールやチケット料金など詳細はホームページをチェック！ぜひ「佐賀県立宇宙科学館 ゆめぎんが」へ訪れてみてくださいね！\n\n\n佐賀県立宇宙科学館 ゆめぎんが\n佐賀県武雄市武雄町永島16351 \n0954-20-1666\n【休館日】月曜（月曜日が祝日の場合は翌平日）\n春休み・GW・夏休み期間中は休館日はありません。\n【開館時間】火曜～金曜 9：15～17：15\n 土、日曜・祝日 9：15～18：00\n※チケット販売は、閉館30分前まで\n※科学館を安全にお楽しみいただくためいくつかの展示物に制限を設けています。\n\n\n※この情報は、お昼の情報番組「Wish＋（プラス）」（5月16日放送、アイタカーリポーター：井上桃子）でお届けしました。\n九州朝日放送,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12669512-kbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12669512-kbcv-001-1-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12669512-kbcv-002-1-view.jpg?pri=l&w=640&h=360&exp=10800']","['https://news.yahoo.co.jp/articles/28b791e9a2a78da59258fdded6d6d486f53aa445/images/000', 'https://news.yahoo.co.jp/articles/28b791e9a2a78da59258fdded6d6d486f53aa445/images/001', 'https://news.yahoo.co.jp/articles/28b791e9a2a78da59258fdded6d6d486f53aa445/images/002']"
梅雨を前に筑後川で堤防・水門など点検（九州朝日放送）,https://news.yahoo.co.jp/articles/d4a6f70e48d5d5edbe29a2c5dd4f6b773b2908c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12663864-kbcv-000-1-thumb.jpg?exp=10800,2024-05-28T12:15:07+09:00,2024-05-28T12:15:07+09:00,九州朝日放送,kbcv,九州朝日放送,322,\n九州朝日放送\n梅雨を前に災害を未然に防ごうと、筑後川の堤防や水門などの状況を確認する巡視が、２８日、大川市で行われました。\n\n２８日の河川巡視は、午前１０時半ごろ、筑後川の沿岸にある大川市大角地区の堤防から始まりました。\n\n巡視では、出水期を前に筑後川と矢部川に国土交通省が設定している重要水防箇所について、自治体や警察、消防とともに視察して確認します。\n\n重要水防箇所は、堤防の高さや幅、過去の災害での状況などから、水防上重要な区間として設定されているもので、その時の川の状況によって毎年更新されています。\n\n巡視は、筑後川で上流の大分県側から河口に近い佐賀市側までの区間と矢部川で３１日まで行われます。\n九州朝日放送,[],[]
来年は６年生と新入生　小学５年生たちが保育士体験（九州朝日放送）,https://news.yahoo.co.jp/articles/50ab09d18678ed10e9b2824208d1a3f063040309,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12665394-kbcv-000-1-thumb.jpg?exp=10800,2024-05-28T13:45:18+09:00,2024-05-28T13:45:18+09:00,九州朝日放送,kbcv,九州朝日放送,364,\n九州朝日放送\n北九州市戸畑区の保育園で２８日、小学５年生たちが保育士となって、園児とふれあう体験授業が行われました。\n\n「よろしくお願いします」\n\n北九州市戸畑区の「はつねほいくえん」を訪れたのは、牧山小学校の５年生２６人です。\n\n２８日は小さな保育士となって、年長の園児たちの好きな遊びを聞き、コマや塗り絵、ブロックなどをして一緒に遊びました。\n\n「あー！」\n\n小学５年女児「かわいかった。初めて小さいことこんなにたくさん遊んで、保育士の人が大変だけど楽しそうだなって思いました」\n\n小学５年男児「おにごっことか、ドッジボールとか、いろいろ一緒にしてあげたいです」\n\n子どもたちは来年には同じ小学校の新入生と６年生になる予定。早くも上級生としての思いが芽生えている様子でした。\n九州朝日放送,[],[]
糸島市で室外機の連続窃盗　被害総額１１０万円超　（九州朝日放送）,https://news.yahoo.co.jp/articles/fe915af28a5d8b350afbf9c6c528597167c1caa4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240528-12666787-kbcv-000-2-thumb.jpg?exp=10800,2024-05-28T12:30:07+09:00,2024-05-28T13:45:08+09:00,九州朝日放送,kbcv,九州朝日放送,377,\n九州朝日放送\n福岡県糸島市で公民館などに設置されたエアコンの室外機の盗難が相次ぎ、被害総額は１１０万円相当に上るとみられることが、ＫＢＣの取材で分かりました。\n\n警察によりますと、今年２月から今月２６日までに、糸島市の芥屋を中心に公民館や別荘、空き家など合わせて５カ所で、１１台の室外機が盗まれる被害が確認されています。\n\n被害総額は、少なくとも１１０万円相当に上るということです。\n\n手口はいずれも屋内とつながるコードを切断し、本体を持ち去っているということです。\n\n芥屋区自治会中村進会長「体育委員さんたちが、ここに打ち上げの準備に来たら、『外機がないごたるよ』って。まさかこういうことが起きるとは思いもしませんでした」\n\n警察は、同一犯による犯行とみて、部品に含まれる金属の換金目的も視野に捜査しています。\n九州朝日放送,[],[]
