headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
自衛隊初参加の米軍大規模演習「ヴァリアント・シールド」始まる　地対艦ミサイル部隊展開　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/f427f237f12118201938ffa522d25d967bd6eee8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219148-mbcnewsv-000-3-view.jpg?exp=10800,2024-06-07T21:32:19+09:00,2024-06-07T21:41:35+09:00,MBC南日本放送,mbcnews,MBC南日本放送,457,\n南日本放送\n自衛隊が初めて参加するアメリカ軍の大規模演習が7日から始まり、鹿児島県内では霧島と奄美の自衛隊駐屯地で訓練が行われています。\n【写真を見る】自衛隊初参加の米軍大規模演習「ヴァリアント・シールド」始まる 地対艦ミサイル部隊展開 鹿児島\n※霧島・国分駐屯地の演習の様子を画像で掲載しています。\n\n「ヴァリアント・シールド」は、日本周辺などで有事が起きた場合の対処能力を強化するため、2年に1度、アメリカ軍が太平洋地域で行っている大規模な演習です。\n今回は初めて陸上自衛隊およそ4000人が参加し、九州では今月7日から10日までの4日間、各地で行われています。\n\n鹿児島県内では国分駐屯地、奄美駐屯地、瀬戸内分屯地の3か所で、地対艦ミサイル部隊や電子戦部隊の展開訓練などが行われています。演習は駐屯地の中で行い、実弾は使用しないということです。\n\n県は防衛省に対し、住民の安心・安全の確保に万全を期すことや、事故が発生した場合は国の責任で対処することなどを求めています。\n南日本放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219148-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/f427f237f12118201938ffa522d25d967bd6eee8/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1219148?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1219148&image=2']"
飼育していたインコなど数十羽が焼け死ぬ　鳥小屋2棟全焼　鹿児島県鹿屋市（MBC南日本放送）,https://news.yahoo.co.jp/articles/41418c4f45b6857f1e993c025baf674fa067c216,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219184-mbcnewsv-000-1-view.jpg?exp=10800,2024-06-07T23:51:35+09:00,2024-06-07T23:51:35+09:00,MBC南日本放送,mbcnews,MBC南日本放送,320,\n南日本放送\n鹿児島県鹿屋市で7日午後、鳥小屋2棟が全焼する火事があり、インコなど数十羽が焼け死にました。\n\n鹿屋警察署によりますと7日午後6時半ごろ、鹿屋市吾平町麓（あいらちょうふもと）の住民から「建物が燃えている」と消防に通報がありました。\n\n火はおよそ30分で消し止められましたが、この火事で、無職・牧義國（まき・よしくに）さん（75）が所有する鳥小屋2棟およそ80平方メートルが全焼しました。\n\n小屋には牧さんが飼っていたインコやジュウシマツおよそ百羽がいましたが、そのうち数十羽が焼け死にました。\n\n出火当時、牧さんは数十メートル離れた自宅にいたということで、警察と消防で出火原因を調べています。\n南日本放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219184-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/41418c4f45b6857f1e993c025baf674fa067c216/images/000']
国道226号線 交通事故による通行止め解除 鹿児島市喜入　　　（MBC南日本放送）,https://news.yahoo.co.jp/articles/334401e5a4b21fb3a12e9e7f776b8d25299b5072,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219186-mbcnewsv-000-1-view.jpg?exp=10800,2024-06-07T23:54:54+09:00,2024-06-07T23:54:54+09:00,MBC南日本放送,mbcnews,MBC南日本放送,111,\n南日本放送\n県警によりますと7日午後7時半分ごろ、鹿児島市喜入前之浜町の国道226号で乗用車と軽乗用車が衝突する事故があり、現場付近は通行止めが続いていましたが、午後10時半過ぎに規制は解除されました。\n南日本放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219186-mbcnewsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/334401e5a4b21fb3a12e9e7f776b8d25299b5072/images/000']
国道226号全面通行止め　鹿児島市喜入で交通事故　　（MBC南日本放送）,https://news.yahoo.co.jp/articles/2972cc206bdab803c43b250a29605c50bbce4cdd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219127-mbcnewsv-000-3-view.jpg?exp=10800,2024-06-07T20:46:50+09:00,2024-06-07T21:14:31+09:00,MBC南日本放送,mbcnews,MBC南日本放送,161,\n南日本放送\n消防などによりますと、7日午後7時半ごろ鹿児島市喜入前之浜町の国道226号で走行中の乗用車と軽乗用車が衝突する事故がありました。\n\nこの事故で車に乗っていた少なくとも2人が救急搬送されたということです。\n\n事故処理のため、午後8時半時点で現場付近は上下線とも通行止めとなっています。\n南日本放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219127-mbcnewsv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/2972cc206bdab803c43b250a29605c50bbce4cdd/images/000']
交差点で70歳の男性がはねられドクターヘリで搬送　横断歩道付近を歩いていたか　鹿児島・霧島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/a968a821f71594550f9111df2ba51ff8d3e05f80,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21219058-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-06-07T19:44:32+09:00,2024-06-07T19:44:32+09:00,MBC南日本放送,mbcnews,MBC南日本放送,292,\n南日本放送\n霧島市の県道で7日、70歳の男性が乗用車にはねられ、意識不明の重体です。\n\n霧島警察署によりますと、午前10時半ごろ、霧島市国分新町の県道の交差点で、男性が乗用車にはねられました。はねられたのは、現場近くに住む70歳の男性で、頭などを強く打ってドクターヘリで病院に搬送されましたが、意識不明の重体です。\n\n現場は信号機のある交差点で、当時、男性は横断歩道付近を歩いていたということです。\n\n警察は、乗用車を運転していた霧島市内の70代の男性に話を聞くなど、当時の状況を調べています。事故の影響で、現場周辺はおよそ2時間通行止めとなりました。\n南日本放送,[],[]
塩田氏の推薦をいったん取り下げ　鹿児島県医師連盟　鹿児島県知事選挙への対応（MBC南日本放送）,https://news.yahoo.co.jp/articles/0e5590e7f2c510a8888281890e9632b994398894,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21218700-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-06-07T19:38:32+09:00,2024-06-07T19:38:32+09:00,MBC南日本放送,mbcnews,MBC南日本放送,789,\n南日本放送\n今月20日に告示される県知事選挙で、現職の塩田さんを推薦していた県医師連盟が会見を開き、「政策協定にそごがある」として推薦を、一旦取り下げることを明らかにしました。\n\n（県医師連盟 池田琢哉委員長）「塩田知事と結んだ協定書の内容にそごが生じている。推薦状を一旦取り下げる決断をした」\n\n県医師連盟は、7日県知事選挙に向け、政策協定を結び、推薦していた現職の塩田さんの推薦を一旦、取り下げることを明らかにしました。\n\n県医師連盟によりますと、締結した政策協定の6項目のうち、救急医療体制の整備や医師会との対話の場についてそごが生じたとしています。\n\nこのうち救急医療体制について、県医師連盟は、重篤な救急患者を24時間体制で受け入れる救命救急センターを、すでに2カ所ある鹿児島市以外の霧島市や大隅地方での指定を求めています。\n\nこうしたなか、6日の県議会で、救命救急センターの設置について問われた塩田知事は「他県に比べて救命救急の割合が低いなかで、鹿児島市も含めて充実をしていく必要がある」と述べました。\n\n（塩田知事）「他県に比べて救命救急の割合が低いなかで、鹿児島市も含めて充実をしていく必要がある」\n\nこの発言を受けて、県医師連盟は、推薦を一旦、取り消すことを決定しました。\n\n県医師連盟によりますと、塩田さんのマニュフェスト次第で再度、推薦する可能性もあるとしていて、立候補を表明している米丸麻希子さんや樋之口里花さんを推薦の可能性も視野に、来週13日に会議を開いて決定する予定です。\n\n来月7日投開票の県知事選挙には、現職で2期目を目指す塩田康一さん、新人で元自民党県議の米丸麻希子さん、新人で元看護師の樋之口里花さんの3人が立候補を表明しています。\n\n※池田琢哉委員長の「琢」は「、」ありの「琢」\n南日本放送,[],[]
「ドクターヘリの夜間運航を」鹿児島県市長会が知事に27項目を要望（MBC南日本放送）,https://news.yahoo.co.jp/articles/d7e024780a2cc9fab460e8babde1fd3c8997527d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21218948-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-06-07T19:28:30+09:00,2024-06-07T19:28:30+09:00,MBC南日本放送,mbcnews,MBC南日本放送,564,\n南日本放送\n県内19市の市長でつくる鹿児島県市長会は7日、ドクターヘリを夜間にも運航できるよう塩田知事に要望しました。\n\n県内19市の市長でつくる県市長会は7日、ドクターヘリの夜間運航など27項目について塩田知事に要望しました。\n\n鹿児島県のドクターヘリは、県立大島病院と鹿児島市立病院に合わせて2機ありますが、夜間は運航していません。そのため、夜間や悪天候の際は自衛隊ヘリや海上保安部が搬送にあたっていて昨年度は91件搬送しました。\n\nしかし、去年1月、海上自衛隊鹿屋航空分遣隊が廃止されて以降は、熊本県や宮崎県の自衛隊に依頼していて、南さつま市長で県市長会の本坊輝雄会長は、「搬送に時間を要する可能性が出ている」として、ドクターヘリが夜間運航できる体制をつくるよう要望しました。\n\n（塩田知事）「費用や人員の確保など情報収集しながら、関係機関の意見も聞いていきたい」\n\n（県市長会会長 本坊輝雄南さつま市長）「ハラハラするようなケースもあったと聞く。子どもを生み育てる環境、離島の地域医療もしっかり支えていかなければと思う」\n\nこのほか、国への働きかけを要望した項目では、鹿児島市が計画しているサッカースタジアム整備と西原商会アリーナの改修についても、今回初めて盛り込まれました。\n南日本放送,[],[]
海自大型無人機シーガーディアン　鹿屋基地上空の試験飛行、天候不良で今月10日に延期　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/e0bef04116a53a70359a1ea7632fc78bd5bac5cd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21218944-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-06-07T19:24:55+09:00,2024-06-07T19:24:55+09:00,MBC南日本放送,mbcnews,MBC南日本放送,432,\n南日本放送\n海上自衛隊が青森の基地で試験運用している大型の無人偵察機「シーガーディアン」です。7日、鹿屋市上空を初めて試験飛行する予定でしたが、天候不良で今月10日に延期となりました。\n\n海上自衛隊が試験飛行を予定していたのは、青森の八戸航空基地で試験運用されているアメリカ製の大型無人偵察機「シーガーディアン」1機です。\n\nシーガーディアンは、鹿屋基地に去年まで配備されていたアメリカ軍のMQ9の派生機で、中国を念頭にした東シナ海の警戒監視を無人機で代替できないか検証するために試験飛行が予定されていました。\n\nシーガーディアンは7日午後、鹿屋基地の上空を初めて試験飛行する予定でした。\n\nしかし、鹿屋基地によりますと、八戸航空基地を離陸したものの、天候不良のため、引き返し、鹿屋基地上空での試験飛行を今月10日午前9時ごろに延期したということです。\n\n今月11日と12日の鹿屋基地での離着陸は、予定通り行うとしています。\n南日本放送,[],[]
車検切れの車両で患者を搬送「更新時期忘れていた」 3週間で4回使用…　鹿児島市立病院（MBC南日本放送）,https://news.yahoo.co.jp/articles/74e0fff3cf6cfa39546f70c2d427f6533751f4a3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21218712-mbcnewsv-000-1-thumb.jpg?exp=10800,2024-06-07T19:19:27+09:00,2024-06-07T19:19:27+09:00,MBC南日本放送,mbcnews,MBC南日本放送,391,\n南日本放送\n鹿児島市立病院が、車検が切れた車両で3週間、患者を搬送していたことがわかりました。病院は「担当者が更新時期の確認を忘れていた」としています。\n\n車検が切れていたのは、患者を他の病院に転院させるための搬送車両1台です。\n\n市立病院によりますと、車検の更新期限は今年3月22日まででしたが、その後、4月上旬までのおよそ3週間、車検が切れた状態で使われていたということです。3週間の間に4回、患者の搬送などで使用し、62キロ走行していました。\n\n車両はおよそ4年前に導入されたもので、車検切れは点検の際に発覚し、鹿児島市立病院は「担当者が更新時期の確認を忘れていた」としています。\n\nこれを受けて市立病院は、警察に報告した上で、他のすべての車両の更新時期を改めて確認したということで、「事案を重く受け止め、再発防止に取り組む」としています。\n南日本放送,[],[]
電車内に血まみれ男…響き渡る悲鳴　鹿児島市電で日本初のサスペンスホラー体験「お化け屋敷グループ」が企画（MBC南日本放送）,https://news.yahoo.co.jp/articles/ff41785318e27eeee4fab4d2d38e414e20202de8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240607-21218958-mbcnewsv-000-2-thumb.jpg?exp=10800,2024-06-07T19:31:58+09:00,2024-06-07T19:46:58+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1915,\n南日本放送\n鹿児島市で先日、市電を舞台にしたホラーイベントが開かれました。\n鹿児島をエンターテインメントで元気にしたいと意気込むグループと、交通局がコラボした、日本初の試みを取材しました。\n\n鹿児島市内を走る市電。一見、いつもと変わらない風景ですが…\n\n突如、車内はパニック状態に。血まみれの男が暴れ、叫び声が響き渡ります。\n\n実はこちら、市電を貸し切って行われた日本初のホラーイベント。\n\n次々に襲い掛かる恐怖の中、参加者たちは乗客にふんした演者とコミュニケーションをとりながら謎を解き、車内からの脱出を目指す、没入体験型のサスペンスホラーです。\n\nイベントは、鹿児島市交通局の「市電コミュニティースペース提供事業」の一環で、貸し切り運行などの企画を募集し、採用者には無料で車両などを提供する取り組みです。\n\n鹿児島市電は、運転手付きで50分1万3400円から誰でも貸し切ることができますが、利用されるのは月10回程度。交通局は、イベントを通して貸し切りサービスの認知度をあげ市電の活用に繋げたい考えです。\n\n（鹿児島市交通局・総合企画課 東大二朗主査）「交通事業として経営が厳しい部分もある。単なる交通手段としてではなく、様々な手法や用途で活用していただければと思い企画を募集した」\n\nイベントを実施したのは、鹿屋市を拠点に活動する「お化け屋敷プロジェクトSHHH」。\n\n高校生や社会人など9人が所属し、週に3、4回、学校や仕事終わりに集まり、放課後児童クラブを借りて練習をしています。本番4日前。稽古にも熱が入ります。\n\n代表の岩崎翔子さん（34）です。大阪の劇団で脚本・演出などを担当していましたが、2018年、結婚を機に鹿屋市に移住。地域にエンタメ文化の拠点となる場所を作りたいと4年前にサークルを立ち上げました。\n\n（お化け屋敷プロジェクトSHHH 岩崎翔子さん）\n「エンタメは大切。芸術やアートは近いほうが感性が育つ。大隅半島はエンタメが足りない。お化け屋敷は複合芸術。見て感性を育てて、楽しいことを自分たちでもできることを知ってほしい」\nメンバーは、全員が演技初心者です。\n\n（乗客役・鹿屋農業高校2年 山野井心春さん）「ボランティア募集をみて、おもしろいことしていると思って応募した。ここに来て練習するのは、自分にとって楽しさの一部」\n\n（血まみれ男役・水道設備業 福島蒼一朗さん）「演技を全くしたことがないので、出来るかなと不安だったが、ゾンビ映画をみて動きを取り入れてみたりした」\n\n大切にしているのは、地域の特性をいかした舞台作り。鹿屋市内の教員住宅跡地などを活用してお化け屋敷を開いてきました。\n\n（お化け屋敷プロジェクトSHHH 岩崎翔子さん）\n「地元で近くを通っているのに、そのときだけめちゃめちゃ怖いみたいな。みんながそこに来て恐怖を楽しんで、最後に助かって良かったと一体感が出来たら良かったと思える」\n\n鹿屋市外でのイベント開催は、今回が初めて。しかも市電車内という未知の舞台に、メンバーもドキドキです。\n\n本番当日は市内外から10人が参加。私も、乗車しました。\n\n鹿児島駅出発し、郡元方面へ向かう市電。参加者は和気あいあいとした雰囲気です。ところが…。\n\n（血まみれ男乗車）「服が血だらけ」「血!?やばいよー」\n\n不穏な空気が漂います。すると…。\n\n車内は、あっという間にパニックに。参加者は一丸となり車内広告など市電ならではのアイテムからヒントを得ながら、脱出するための謎解きに挑戦します。\n\n乗車から1時間半後…。ようやく車内から脱出することができました。\n\n（参加者）\n「何が起こるか分からないドキドキで、最初から最後まで時間があっという間」\n\n「普通に走っている市電だから、乗ったことあったけれど違う雰囲気だった。また市電に乗った時に思い出しそう」\n\n悲鳴は、いつしか笑い声に。見慣れた場所が特別な景色に変わる1日になりました。\n\n（福島蒼一郎さん）「練習以上に暴れたので、びっくりしてくれてうれしかった。鹿屋のエンタメにはこういうものもあると知ってもらいたい」\n\n（お化け屋敷プロジェクトSHHH 岩崎翔子さん）\n「日常で使われているものが非日常に感じられる体験を、お客様が感じ取ってくれることがうれしい。そういう風にエンターテインメントは出来ていく。やってきたかいがあった」\nエンタメにちょっぴり怖さを添えて。大隅から鹿児島を盛り上げます。\n南日本放送,[],[]
