headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
杉浦太陽「”イクメン”という言葉がなくなる世の中に」４３歳でベストファーザー賞　４人の子育てに奮闘（Lmaga.jp）,https://news.yahoo.co.jp/articles/1c3fca16e5a96541959ca7f04c2a3bbbb31c6cf6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822994-lmaga-000-6-view.jpg?exp=10800,2024-06-12T21:50:00+09:00,2024-06-12T22:06:59+09:00,Lmaga.jp,lmaga,Lmaga.jp,805,\nベスト・ファーザー賞を受賞した杉浦太陽（6月12日・大阪市内）\n『２０２４年 第１７回ベスト・ファーザー賞 ｉｎ 関西』（主催：一般社団法人 日本生活文化推進協議会）の発表・授賞式が６月１２日、「帝国ホテル大阪」（大阪市北区）で開催され、俳優・タレントの杉浦太陽が芸能部門を受賞した。\n【写真】43歳とは思えない…トロフィーを持ち笑顔を見せる杉浦\n■ 「妻に頼まれたことには３秒以内に…」\n\n２００７年に元モーニング娘。でタレントの辻希美と結構した杉浦。授賞式では「大阪出身なのでめちゃくちゃうれしいですね。現在、幼、小、中、高の４人の子育てをドタバタやっておりますが、この賞は妻に鍛えられたおかげ。ドタバタやりながらも、子どもたちには、自分たちを親にさせてくれてありがとう、という気持ちが日々強くなっています」と挨拶した。\n\nその後、自身の心がけとして「妻に頼まれたことには３秒以内に応える。頼まれた時にすぐに動かないと『私やるわ』となる。小さいケンカが起こらないようにそう心がけてから夫婦仲が断然良くなりましたね。僕は『太陽』ですが、家庭の太陽は妻。妻が笑顔でいられるようにどう動くか、とずっと考えています」と、秘訣を話した。\n\n「時代が動いて、今は抱っこひもで赤ちゃんを抱っこするパパもたくさんいる。僕はイクメンと呼ばれてきましたが、いつかその言葉がなくなるような世の中になれば」と、「良きパパ」の代名詞的存在らしく締めくくった。\n\nまた、同賞では政治部門で西宮市長の石井登志郎氏、経済部門で「グンゼ株式会社」代表取締役社長の佐口敏康氏、学術・文化部門で全学研究機構長兼情報館長兼人間環境デザインプログラム教員のウスビ・サコ氏、ものづくり部門で「株式会社ミキハウス」代表取締役社長の木村皓一氏、スポーツ部門で元プロサッカー選手の加地亮氏が授賞した。\n\n取材・文・写真／上地智,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822994-lmaga-000-6-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/1c3fca16e5a96541959ca7f04c2a3bbbb31c6cf6/images/000', 'https://www.lmaga.jp/news/2024/06/822994/?cv=p#photo2']"
「この展開は予想外だった」多岐川（滝藤賢一）が口にしていた「香子ちゃん」の正体に、視聴者驚愕【虎に翼】（Lmaga.jp）,https://news.yahoo.co.jp/articles/e8a41fe3aa8ee0f81f2f293d7dfa2fb28f8c8c66,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823435-lmaga-000-2-view.jpg?exp=10800,2024-06-12T21:00:00+09:00,2024-06-12T23:22:15+09:00,Lmaga.jp,lmaga,Lmaga.jp,741,\n多岐川たちを出迎えたある人物の姿に驚く寅子（伊藤沙莉）(C)NHK\n激動の昭和、法の世界に生きるヒロインの人生を描く連続テレビ小説『虎に翼』（ＮＨＫ朝ドラ）。６月１２日放送の第５３回では、寅子が上司・多岐川の自宅を訪れ、思わぬ人物と再会するシーンが話題となった。\n【写真】寅子を見るヒャンちゃん、どういう表情？\n異動先で家事審判所と少年審判所の合併を進めることになるが、話し合いは進展しないまま時が経つことにモヤモヤする寅子（伊藤沙莉）。まったくやる気を感じられない上司・多岐川（滝藤賢一）に業を煮やし、寅子は直接交渉を試みる。\n\nすると、多岐川は寅子を久藤（沢村一樹）のもとにつれていき、アメリカにあるファミリーコート（家庭裁判所）の話を聞かせる。その後、ある日の飲み会で、寅子は酔い潰れた汐見（平埜生成）を自宅に送り届ける際、思わぬ人物と再会するのだった。\n\nラストシーンで寅子が汐見の妻・香子と対面する模様が描かれた今回の放送。そこで、多岐川の口からもたびたび出てきていた「香子ちゃん」が、寅子の女子部時代の同期・崔香淑（ハ・ヨンス）であることが判明した。\n\n寅子とともに弁護士を目指していたものの、戦争が激化し故郷の朝鮮半島に帰国せざるを得なかった香淑の再登場に、ＳＮＳ上では「ここでヒャンちゃん！？ この展開は完全に予想外だった！！」「まさかのヒャンちゃん再登場」「情報量多すぎ」など驚きの声が相次ぎ、Ｘ（旧ツイッター）では「ヒャンちゃん」がトレンド１位となっていた。\n\n放送はＮＨＫ総合で朝８時から、ＮＨＫ ＢＳ・プレミアム４Ｋでは朝７時半からスタート。６月１３日放送の第５４回では、寅子がかつての同級生・香淑と再会する。\n\n文／つちだ四郎,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823435-lmaga-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/e8a41fe3aa8ee0f81f2f293d7dfa2fb28f8c8c66/images/000', 'https://www.lmaga.jp/news/2024/06/823435/2/']"
朝ドラ『虎に翼』第54回（6月13日）あらすじ・寅子（伊藤沙莉）、汐見（平埜生成）の妻として現れた思わぬ人物の姿に驚く（Lmaga.jp）,https://news.yahoo.co.jp/articles/28b2503944d7132b8469603db5d6b5210e704c19,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822695-lmaga-000-2-view.jpg?exp=10800,2024-06-12T20:45:00+09:00,2024-06-12T20:59:15+09:00,Lmaga.jp,lmaga,Lmaga.jp,503,\n多岐川に追い出され、納得がいかない様子の寅子（伊藤沙莉）(C)NHK\n戦後の日本で法曹界への復帰を果たしたヒロインが、裁判官を目指して邁進する姿を描く連続テレビ小説『虎に翼』（ＮＨＫ朝ドラ）。第５４回（６月１３日放送）では、汐見の妻・香子が自分のよく知る人物だったことに驚いた寅子がそのいきさつを知らされる。\n【写真】現れた香子の姿に驚く寅子（伊藤沙莉）\nヒロイン・寅子（伊藤沙莉）は、酔いつぶれて寝てしまった汐見（平埜生成）と多岐川（滝藤賢一）を自宅に送り届ける。汐見は多岐川の家に夫婦で居候しており、玄関で出迎えた汐見の妻・香子の姿を見た寅子は、香子が自身のよく知る人物であることに驚く。\n\nそのまま多岐川から追い出される形で帰路についた寅子は、翌日汐見から事情を説明される。何か自分にできることはないかと問う寅子だが、多岐川からはできることはないと断言されてしまい・・・。\n\n本作は、戦前戦後に女性法律家の草分けとして足跡を残した三淵嘉子（みぶちよしこ）さんをモデルに、日本初の女性弁護士でのちに裁判官となる一人の女性が、困難な時代のなかで仲間とともに道なき道を切り開いていく物語。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822695-lmaga-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/28b2503944d7132b8469603db5d6b5210e704c19/images/000', 'https://www.lmaga.jp/news/2024/06/822695/?cv=p#photo2']"
手ぶらで気軽に楽しめる、大阪・京都・神戸の「＃おしゃピク」３選（Lmaga.jp）,https://news.yahoo.co.jp/articles/61079c63254c0d21039a900a4c6e04f2c57ecd8e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00813845-lmaga-000-1-view.jpg?exp=10800,2024-06-12T19:00:00+09:00,2024-06-12T19:00:00+09:00,Lmaga.jp,lmaga,Lmaga.jp,1547,\n神戸布引ハーブ園のピクニックセット\n昨今ＳＮＳ上で「\n＃おしゃピク\n」のハッシュタグができるなど、おいしい料理と可愛らしい見た目で楽しむ、ワンランク上の「おしゃれピクニック」が若い世代を中心に人気を集めている。今回は大阪・京都・神戸の３都市で、手ぶらで「おしゃピク」が楽しめるお店を３店ご紹介。\n【写真】ハート型のピザが可愛い！\n【大阪】焼き立てのピッツァと楽しむピクニック\n\n大阪・天王寺「てんしば」にある人気店ピッツェリア＆トラットリア「ＡＯＩ ＮＡＰＯＬＩ ＩＮ ＴＨＥ ＰＡＲＫ」（大阪市天王寺区）。同店ではてんしばの芝生エリアで楽しめるピクニックセットが３種用意されている。\n\n一番人気の「ピクニック アモーレ」（２３７６円／１人）は、ハート型のマルゲリータ、サラダ、チキンフリット、ポテト、フィナンシェ、ドリンク、さらには折りたたみテーブル、花やフルーツなどの選べる雑貨２つ、カッティングボードがセットになったもの。こちらは２人もしくは３人で利用可能で、１日１０セット限定だ。\n\nそのほか、マルゲリータ、サラダ、ソーセージ、ポテト、ドリンク、ピクニックシートがセットになった「ピクニックボックス」（１５９８円／１人）や、ファミリーやグループ（４～６人）で楽しめる「ピクニック フェスタ」（１万８００円）も。ピクニックセットは電話（０６－６７７３ー２２２５）かＷＥＢにて早めの予約がベター（ピクニックフェスタは要予約）。\n\n●「ＡＯＩ ＮＡＰＯＬＩ ＩＮ ＴＨＥ ＰＡＲＫ」（大阪市天王寺区茶臼山町５－５５ てんしば）／平日１１：００～と１４：３０～の２部制、土日祝１０：５０～と１４：３０～（２時間制）\n\n【京都】鴨川沿いでくつろぎのカフェタイム\n\n２０１５年のオープン以来人気のコーヒー店「ＷＩＦＥ＆ＨＵＳＢＡＮＤ」（京都市北区）。近年では外国人観光客からの支持も厚いという。\n\nオーナーの吉田さんが家族で楽しんでいたピクニックスタイルをそのまま体験できる、同店のピクニックセット。バスケットのなかには同店自慢のコーヒー、ラスク、カップが用意されている。バスケット片手に、お店のすぐ近くにある鴨川の河川敷へ赴けば、すぐにピクニックが楽しめる。\n\nオプションでテーブルや椅子をレンタルすることも可能で、椅子とテーブルのレンタルをする方が多いそう。同店近くの河川敷にはベンチも多く設置されているので、ピクニックセットだけのレンタルでも十分堪能できる。営業日を公式サイトで確認のうえ、ＷＥＢでの予約が優先となる。\n\n●「ＷＩＦＥ＆ＨＵＳＢＡＮＤ」（京都市北区小山下内河原町１０６－６）／１０：３０～、１２：００～、１３：３０～、１５：００～（９０分制）\n\n【神戸】ハーブに囲まれて…オリジナル弁当を\n\n約２００種、４５００株もの花やハーブが咲く日本最大のハーブ園「神戸布引ハーブ園」（神戸市中央区）。「四季の庭」「ラベンダー園」「風の丘芝生広場」など園内には１２のガーデンがあるうえ、芝生にベンチ、テーブル、東屋など、ピクニックシーンを彩るロケーションが点在しており、お気に入りの場所を探しながら「おしゃピク」が楽しめる。\n\n同施設オリジナルのピクニックセット（７０００円／２人分）には、お重に入ったハーブ園オリジナルのお弁当、焼き菓子、ワイン、レジャーシートやドライフラワー、カッティングボードなどが入った小物が一同に。雨天や荒天時だけの屋内ピクニックスペースも用意されているのもうれしい。１日１０組限定。利用する２日前までに電話で要予約。期間は６月３０日まで。\n\n取材・文・写真（ＷＩＦＥ＆ＨＵＳＢＡＮＤ）／野村真帆,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00813845-lmaga-000-1-view.jpg?pri=l&w=640&h=425&exp=10800'],"['https://news.yahoo.co.jp/articles/61079c63254c0d21039a900a4c6e04f2c57ecd8e/images/000', 'https://news.yahoo.co.jp/search?p=%EF%BC%83%E3%81%8A%E3%81%97%E3%82%83%E3%83%94%E3%82%AF&source=article-body', 'https://www.lmaga.jp/news/2024/06/813845/?cv=p#photo2']"
コメダ珈琲店、チケット付きのお得な「サマーバッグ」を今年も発売　コーヒー色のバッグやクリアボトルがセット（Lmaga.jp）,https://news.yahoo.co.jp/articles/f41892a6bb79ae3d74d3fad55dacbf2a73c02a2f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823255-lmaga-000-1-view.jpg?exp=10800,2024-06-12T20:00:00+09:00,2024-06-12T20:00:00+09:00,Lmaga.jp,lmaga,Lmaga.jp,446,\nコメダ珈琲店「2024年サマーバッグ」の「ウォッシャブルペーパーバッグ」\n全国チェーンの喫茶店「コメダ珈琲店」（代表：甘利祐一）から、毎夏恒例のお得な詰め合わせ「サマーバッグ」が今年も登場。６月１２日より予約受付がスタートする。\n【写真】セットの中身\n２０２４年は、コーヒーカラーのウォッシャブルペーパーに、ビニール素材を組み合わせた水濡れにも強いトートバッグが登場。大きめのマチで自立し、さりげない店名ロゴと両サイドのイラストがアクセントだ。\n\nバッグのなかには、夏の定番メニューのイラストが描かれた「クリアボトル」、パッケージがリニューアルされた無糖の「アイスコーヒー」（１０００ｍｌ×２本）、有効期限が無い「コーヒーチケット（９枚綴り）」（利用は購入店舗限定）が入っており、今しか手に入らないお得な内容となる。\n\n価格は４５００円～。取り扱いの有無と価格は店舗によって異なる。予約は６月１２日～、販売期間は７月１２日～２１日。限定数に達し次第、予約受付及び販売を終了。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823255-lmaga-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/f41892a6bb79ae3d74d3fad55dacbf2a73c02a2f/images/000', 'https://www.lmaga.jp/news/2024/06/823255/?cv=p#photo1']"
京都の新ホテルに「初」のヌン活、健康志向のグルテン＆シュガーフリー（Lmaga.jp）,https://news.yahoo.co.jp/articles/2489568b2e9813a3922c654cb22ce35131f83bad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823145-lmaga-000-1-view.jpg?exp=10800,2024-06-12T14:30:00+09:00,2024-06-12T14:30:00+09:00,Lmaga.jp,lmaga,Lmaga.jp,609,\n2週間ごとにメニューが変わる「暦アフタヌーンティー」（6900円）\n自然派ラグジュアリーホテル「シックスセンシズ 京都」（京都市東山区）が、アフタヌーンティーを開始。６月２１日より、ホテル内ダイニングにて、２週間ごとに変わるメニューを楽しめる。\n【写真】今年4月にオープンした同ホテル、中はこんな感じ\n平安時代の「雅」からインスピレーションを得てデザインされ、２０２４年４月に開業した同ホテル。インテリアには「源氏物語」や「鳥獣戯画」などいかにも日本らしいモチーフが散りばめられている。\n\n今回初登場するアフターヌーンティーでは、かつての雅な貴族たちが季節に合わせて衣の色合わせを楽しんだように、２４節気（夏至や秋分など、１年を２４分する暦）の移ろいに合わせてメニューを変化させるという。\n\nはじまりとなる夏至のメニューには、平安時代から栽培されたと言われビタミンとミネラルが豊富な紫蘇や、日本最古のスパイスの一つで新陳代謝に働きかける山椒など、本格的な夏の到来に向け、体調を整えてくれそうな食材を使用。また全１３品のメニューのうち１２品はグルテンフリー、１１品はシュガーフリー（精製糖不使用）というこだわりも。\n\n価格は６９００円。期間は６月２１日～（７月７日にメニュー内容変更予定）、時間は昼３時～夕方５時半。場所は「シックスセンシズ 京都」Ｂ２階オールデイダイニング「Ｓｅｋｋｉ（節気）」。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823145-lmaga-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/2489568b2e9813a3922c654cb22ce35131f83bad/images/000', 'https://www.lmaga.jp/news/2024/06/823145/?cv=p#photo2']"
大阪・黒門市場近くにハイアットの新ホテル、すゑひろがりずら開業を祝う「一番小鼓が活躍してます！」（Lmaga.jp）,https://news.yahoo.co.jp/articles/b0a064d851e22c01de3d09a7d3a98199743de799,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823246-lmaga-000-2-view.jpg?exp=10800,2024-06-12T13:00:00+09:00,2024-06-12T14:09:23+09:00,Lmaga.jp,lmaga,Lmaga.jp,937,\n「キャプション by Hyatt なんば 大阪」のオープンを祝って漫才を披露するすゑひろがりず、大吉をひいたホテルの総支配人・福田慎太郎氏（6月12日・大阪市中央区）\n大阪屈指の繁華街のひとつである「ウラなんば」に６月１２日、ハイアット系列のカジュアルラインホテル「キャプション ｂｙ Ｈｙａｔｔ なんば 大阪」（大阪市中央区）がオープン。大阪出身のお笑いコンビ・すゑひろがりず、大阪クレオパトラが漫才を披露し、開業を盛り上げた。\n【写真】すゑひろがりずが驚いていた、浴室の「ｎａｎｄｅｙａｎｅｎ」アート\n２０２２年６月にアメリカ・メンフィス、２０２４年４月に中国・上海に続き、今回オープンする同ホテルが日本初進出となる「キャプション」ブランド。地域密着型のカジュアルラインホテルで、旅行客だけでなく地元の人も集まるコミュニティとして地域に根ざしていくことをコンセプトとしており、「黒門市場」「なんばグランド花月」「国立文楽劇場」といった人気スポットのほか、ユニークかつ個性的な飲食店がひしめく大阪「ウラなんば」が日本初進出の地として選ばれた。\n\nオープンを迎えたこの日、昼１１時の一般開業に合わせて、すゑひろがりず、大阪クレオパトラが登場し、「あっぱれー！ 寿！」「小鼓、今までで一番活躍してます！」とすゑひろがりずは小鼓で小気味よい音を響かせながら漫才を披露。ホテル１階のコミュニティスペース「トークショップ」にはホテル利用客や地元民の笑い声であふれ、このホテルの在り方を早くも感じさせた。\n\n一般開業前におこなわれたオープニングセレモニーには、サンケイビルの飯島一暢代表取締役社長、日本ハイアットの坂村政彦代表取締役、キャプション ｂｙ Ｈｙａｔｔ なんば 大阪の福田慎太郎総支配人らが登壇。\n\n坂村氏は「ここは伝統と文化、トレンドが混ざり合う非常にユニークな場所で、キャプション ｂｙ Ｈｙａｔｔが開業するにあたってもっとも適したロケーション。最良のスタートが切れたと思う」と話し、福田氏は「ホテルに集うゲストと地域のみなさまのつながりを促進して、新しいライフスタイルホテルとして地域との架け橋になることを目指していきたい」と意気込みを語った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823246-lmaga-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/b0a064d851e22c01de3d09a7d3a98199743de799/images/000', 'https://www.lmaga.jp/news/2024/06/823105/?cv=p#photo5']"
「ＬＯＧＯＳ」が手がける、アウトドア×町おこしフェスが京都で開催（Lmaga.jp）,https://news.yahoo.co.jp/articles/faeb9a22a8eec983d35fcec72c03eb6b0dc69cbb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823011-lmaga-000-1-view.jpg?exp=10800,2024-06-12T16:00:00+09:00,2024-06-12T16:00:00+09:00,Lmaga.jp,lmaga,Lmaga.jp,372,\n『ロゴスランドフェスタ』イメージ\nアウトドアブランド「ＬＯＧＯＳ」（本社：大阪市住之江区）が手がける地域振興イベント『ロゴスランドフェスタ』が、総合アウトドアレジャー施設「ロゴスランド」（京都府城陽市）で６月２３日に開催される。\n【写真】マルシェの様子\n「アウトドア×地域振興」をコンセプトに、地元企業やスポーツチーム、学生たちが集結し、それぞれの魅力発信を目的とした同イベント。\n\n会場には、城陽の特産物の梅とお茶をメインとした６店舗が集まる『城陽マルシェ』や、地元の子ども達が演奏を披露する『音楽ステージ』、地元木材店による余った木材を使用した『ＳＤＧｓワークショップ』のほか、『ミニサッカーゲーム』『子どもラジオパーソナリティ』『焼きマシュマロ体験』など、さまざまなコンテンツが楽しめる。日時は６月２３日・朝１０時～昼２時。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00823011-lmaga-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/faeb9a22a8eec983d35fcec72c03eb6b0dc69cbb/images/000', 'https://www.lmaga.jp/news/2024/06/823011/?cv=p#photo2']"
大阪・傘まつりに１万２０００本、「男性×日傘」急増で右肩上がりの需要（Lmaga.jp）,https://news.yahoo.co.jp/articles/e812a1c165eb451a0755ac38f4b32ef23809e444,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822992-lmaga-000-3-view.jpg?exp=10800,2024-06-12T18:45:00+09:00,2024-06-12T19:01:11+09:00,Lmaga.jp,lmaga,Lmaga.jp,891,\n1万2000本の傘が集う「傘まつり」が「阪神梅田本店」」でスタート\n梅雨入りを目前に、「阪神梅田本店」（大阪市北区）では名物催事『傘まつり』がスタートした。１本１０００円台のものから２２万円の高級傘など、機能性もさまざまな傘が約１万２０００本集結する。\n【写真】初日には個数制限も、レインコート着用のクマチャーム\n■ 男性×日傘も当たり前に…右肩上がりの傘需要\n\nおでかけニーズの復活、また年々気温も上昇していることから、日傘含め需要があがっているという傘。同催事では２０２３年時より約２０００本ラインアップを増やし、そのほとんどが晴雨兼用となっている。「肌感ですが、日傘を購入される男性客も多くなっていますね」と担当者。６月１６日の父の日に向け、プレゼント需要も高いそうだ。\n\n催事場には和傘洋傘問わず、「推し傘」としてカラーバリエーション豊富に取りそろえられたものや、パーソナルカラーで肌を魅せるもの、夏に活用したい扇風機付きの傘など、さまざまな傘がずらり。トレンドは持ち運びが便利な小さい傘で、ポケットにすっぽり入るような手のひらサイズの傘なども。鞄にしのばせておけば、急なゲリラ豪雨などにも対応できる。\n\n■ 傘もアクセ感覚で！？ チャームでオリジナル\n\nなかでもオープン後人が集まっていたのが、傘に付けるチャーム売場。レインコートを着用したクマやソフトクリームなどのかわいらしいモチーフで、傘に付けるだけでアクセサリー感覚で傘を持つことができ、なかには個数制限を設けられるものもあった。\n\nまた、お気に入りの手元をカスタマイズできる日本製の老舗傘ブランドなども出店。催事の最高額が１本２２万円の一方で、２２００円～という手に取りやすい価格帯のセール品を集めたコーナーも。傘本体だけでなく、スマホで位置確認のできる「紛失防止タグ」、小雨などのときに便利な傘の生地で作られた帽子、撥水加工が施されたバッグなど、雑貨類も取り扱う。\n\n『ＨＡＮＳＨＩＮ傘まつり』は６月１２日から１７日まで、「阪神梅田本店」８階催事場にて（最終日は夕方５時まで）。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822992-lmaga-000-3-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/e812a1c165eb451a0755ac38f4b32ef23809e444/images/000', 'https://www.lmaga.jp/news/2024/06/822992/?cv=p#photo3']"
揺れ動くまひろの心…NHK大河ドラマ『光る君へ』第24回（6月16日）あらすじ・忘れえぬ人（Lmaga.jp）,https://news.yahoo.co.jp/articles/7b43055ca5b5e5c888374a83887b6d73aa98bf65,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822841-lmaga-000-1-view.jpg?exp=10800,2024-06-12T18:30:00+09:00,2024-06-12T18:30:00+09:00,Lmaga.jp,lmaga,Lmaga.jp,1481,\n口付けをしようとする周明（松下洸平）を手で遮るまひろ（吉高由里子）(C)NHK\n女優・吉高由里子が主演を務め、平安時代に長編小説『源氏物語』を生み出した女流作家・紫式部（ドラマでの名前はまひろ）の生涯を描く大河ドラマ『光る君へ』（ＮＨＫ）。「忘れえぬ人」と題する第２４回（６月１６日放送）では、宣孝から求婚されたまひろが、さらには周明からも一緒に宋の国へ行こうと誘われる。\n【写真】まひろが求婚されたと知り驚愕する為時\n■ 交流を深めるまひろと周明…前回のあらすじ\n\nまひろ（吉高由里子）の父・為時（岸谷五朗）が越前国府へ赴任してまもなく、敦賀の松原客館で宋人との通訳を務めていた三国（安井純平）が殺害される。宋の医師・周明（松下洸平）は、その犯人として捕えられた朱（浩歌）の無実を証明しようと証人を連れて現れ、為時の前で朱は冤罪であると日本語で訴える。\n\n三国は、宋と商いをしたいと考える越前国武生の商人・早成（金子岳憲）と揉め事になった末に命を落としていた。それを目撃した下人が越前介の源光雅（玉置孝匡）に報告すると、光雅からは三国を殺したのは朱だと証言するように脅されたのだという。光雅は、朝廷と越前のためを思ってのことだと弁明し、宋に朝廷と直接商いをさせれれば朝廷が損害を被るだろうと考え、この機に朱の力を奪おうとしたという。\n\n為時は光雅の懸念を聞き入れた上で朱を解き放つように命じ、周明に通事をさせて朱と話をする。すると、朱は宋の朝廷から密命を受けた官人であり、宋と日本との交易を図るよう命じられていると真実を明かす。そして果たさねば国へ戻れないため、越前を足がかりに宋と日本で商いが行えるよう為時に懇願するが、朝廷は宋との正式な交易には応じなかった。\n\n一方で、まひろは周明がなぜ流暢に日本語を話せるのか興味を抱いていた。周明の生まれは対馬であり、父親に口減らしのため海へ捨てられたところを宋の船に拾われたのだという。まひろは周明に宋の言葉を教わるようになり、やがて２人は親しくなっていく。\n\nそんな折、為時の友人である藤原宣孝（佐々木蔵之介）がまひろと為時を訪ねて越前へやってくる。しばらく越前に滞在したのちに、都へ戻る別れ際、宣孝はまひろに「わしの妻になれ」と告げるのだった。\n\n■ 第２４回「忘れえぬ人」あらすじ\n\n宣孝から「わしの妻になれ」と求婚され、驚愕するまひろ。宣孝はまひろが周明を通じて宋への憧れを強めていることや、まひろの胸の内に忘れえぬ人である道長（柄本佑）の存在があると見抜いている様子で、それでもまひろを丸ごと受け入れるという。さらには周明からも、朝廷が宋との交易を許した暁には一緒に宋の国へ行こうと誘われ、まひろの心は揺れ動く。\n\n一方、内裏では定子（高畑充希）が一条天皇の姫皇子を出産し、一条天皇（塩野瑛久）は出家して会うことのできない定子と姫皇子への想いをますます募らせていた。一条天皇の母である詮子（吉田羊）は、帝の願いを叶えてあげてほしいと懇願する。道長は今後の対応を行成（渡辺大知）に相談し、行成の案で一条天皇と定子は内裏の外で会えることとなったのだが・・・。\n\n◇\n\n本作は、日本最古の女性文学『源氏物語』の作者である紫式部が、秘めた情熱と想像力、そして生涯心を寄せる相手となる藤原道長への想いを原動力に、変わりゆく世を懸命に生き抜いていく愛の物語。放送は、ＮＨＫ総合で毎週日曜・夜８時から、ＮＨＫＢＳは夕方６時から、ＢＳＰ４Ｋでは昼１２時１５分からスタート。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240612-00822841-lmaga-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/7b43055ca5b5e5c888374a83887b6d73aa98bf65/images/000', 'https://www.lmaga.jp/news/2024/06/822841/?cv=p#photo2']"
