headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
&TEAM、8月にニューシングル『青嵐 (Aoarashi)』リリース＆イベント開催（Billboard JAPAN）,https://news.yahoo.co.jp/articles/2954b26079b0ff3ec4ad1488aec14c7ac37779cb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138704-exp-000-1-view.jpg?exp=10800,2024-06-14T22:50:06+09:00,2024-06-14T22:50:06+09:00,Billboard JAPAN,exp,Billboard JAPAN,1707,"\n&TEAM、8月にニューシングル『青嵐 (Aoarashi)』リリース＆イベント開催\n&TEAMが、2024年8月7日にニューシングル『青嵐 (Aoarashi)』をリリースする。\n\n 2ndシングルとなる今作は、1stシングル『五月雨 (Samidare)』に続いて表現する、春夏秋冬を通じて結束する少年たちの物語の第2章。真夏の炎天下、エネルギーと生命力あふれる少年たちの「嘘のような夢が現実になるまで、僕たちはもっと強く駆け抜けられる」という折れない心と青春を詰めこんだ作品になるとのこと。\n\n 初回限定盤は、クリアビニール袋仕様（A4サイズ）で、豪華フォトブックやステッカー、ブックマークの他、2種類のフォトカードを封入。通常盤は、フォトステッカーとフォトカード付き。メンバーソロジャケット盤には、ポストカードとインスタントフォトカードが付属。全形態（初回生産分）のいずれか1枚購入につき、シリアルナンバー入り「応募抽選券」が1枚付いてくる。応募抽選券の詳細は後日発表予定。\n\n 本作のリリース発表に伴い、晴れ渡る青空をバックに「Aoarashi」と印字されたブルーの旗が堂々とはためくロゴモーション映像も公開された。\n\n また、発売日翌日の8月8日に、ショーケースが開催されることも決定。Weverse ShopとUNIVERSAL MUSIC STOREにて対象商品を予約・購入すると、イベント参加への抽選に応募することが出来る。さらに、ファンクラブ会員限定のWeverse Shop予約・購入対象イベントも同日開催予定。第1回目の応募期限は、6月17日10時59分まで。\n\n\n\n◎映像情報\n YouTube『&TEAM『青嵐 (Aoarashi)』ロゴモーション映像』\n \n\n◎リリース情報\n シングル『青嵐 (Aoarashi)』\n 2024/8/7 RELEASE\n ＜初回限定盤＞\n TYCT-39243 / 1,980円（tax in.）\n ※クリアビニール袋仕様（A4サイズ）\n ＜通常盤＞\n TYCT-30148 / 1,100円（tax in.）\n ＜メンバーソロジャケット盤（9種類）＞\nEJ ／ TYCT-39244\nFUMA ／ TYCT-39245\nK ／ TYCT-39246\nNICHOLAS／ TYCT-39247\nYUMA／ TYCT-39248\nJO／ TYCT-39249\nHARUA／ TYCT-39250\nTAKI／ TYCT-39251\nMAKI／ TYCT-39252\n 各1,300円（tax in.）\n\n【初回限定盤仕様】\n ・PHOTO BOOK\n ・CD\n ・CD SLEEVE\n ・LYRIC BOOK\n ・STICKER\n ・BOOKMARK\n ・PHOTO CARD A（9種中ランダム1枚）\n ・UNIT PHOTO CARD（9種中ランダム1枚）\n\n【通常盤仕様】\n ・CD\n ・BOOKLET\n ・PHOTO STICKER（2種中ランダム1枚）\n ・PHOTO CARD B（9種中ランダム1枚）\n\n【メンバーソロジャケット盤仕様】\n ・PAPER ENVELOPE\n ・CD\n ・POSTCARD（4枚）\n ・INSTANT PHOTO CARD（メンバー別1枚）\n ・PHOTO CARD C（9種中ランダム1枚）\n ・PHOTO CARD D（9種中ランダム1枚）\n\n◎イベント情報\n 【&TEAM 2nd SINGLE SHOWCASE「青嵐 (Aoarashi)」】\n 2024年8月8日（木）都内某所\n\n【&TEAM 2nd SINGLE「青嵐 (Aoarashi)」LUNE SPECIAL EVENT】（※）\n 2024年8月8日（木）都内某所（FANCLUB会員限定）\n\n（C）HYBE LABELS JAPAN\n\n※LUNEの「E」はアキュート・アクセント付きが正式表記。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138704-exp-000-1-view.jpg?pri=l&w=640&h=456&exp=10800'],['https://news.yahoo.co.jp/articles/2954b26079b0ff3ec4ad1488aec14c7ac37779cb/images/000']
“秋山黄色（BAND）vs 秋山黄色（SOLO）”異色のライブが映像作品化、本人登壇の上映会も（Billboard JAPAN）,https://news.yahoo.co.jp/articles/f9b61cc3d519749009c7b5063f0594d7acdbab33,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138705-exp-000-1-view.jpg?exp=10800,2024-06-14T23:05:03+09:00,2024-06-14T23:05:03+09:00,Billboard JAPAN,exp,Billboard JAPAN,1400,"\n“秋山黄色（BAND）vs 秋山黄色（SOLO）”異色のライブが映像作品化、本人登壇の上映会も\n秋山黄色が、LIVE Blu-ray『秋山黄色 presents BUG SESSION at Zepp Haneda (TOKYO)』を、2024年7月17日にリリースする。\nその他の画像\n今作は、秋山黄色の第2作品目となる映像作品。4月12日に東京・Zepp Haneda (TOKYO)にて、“秋山黄色（BAND）vs 秋山黄色（SOLO）”という形態で実施された異色のライブの模様が全編収録される。初回生産限定盤は、本ライブの熱気を閉じ込めた撮り下ろしフォトブックレットが特典として付属し、さらに秋山黄色自身によるライブ解説副音声を収録した豪華なボックス仕様となる。\n\n 本作のリリース決定に伴い、ジャケット写真とトレーラー映像も公開。ジャケット写真は、秋山黄色自身のプロデュースのもとに制作され、謎のゲーム機の中に【BUG SESSION】の様子が切り取られている。\n\n また、7月15日には東京・ユナイテッド・シネマ アクアシティお台場にて、本人も登壇する一夜限りのプレミア上映会が開催される。チケットの先行抽選は、7月8日11時まで受付中。\n\n\n\n◎映像情報\n YouTube『秋山黄色 presents BUG SESSION at Zepp Haneda (TOKYO) Trailer』\n \n\n◎リリース情報\n 『秋山黄色 presents BUG SESSION at Zepp Haneda (TOKYO)』\n 2024/7/17 RELEASE\n ＜初回生産限定盤（Blu-ray＋特製フォトブックレット＋豪華ボックス仕様）＞\n ESXL-308 / 7,500円（tax in.）\n ＜通常盤（Blu-ray）＞\n ESXL-309～310 / 5,500円（tax in.）\n\n【Blu-ray（初回生産限定盤）】\n 2024年4月12日（金）【秋山黄色 presents BUG SESSION】Zepp Haneda (TOKYO)公演\n ・秋山黄色（BAND）\n 01. やさぐれカイドー\n 02. Bottoms call\n 03. 燦々と降り積もる夜は\n 04. シャッターチャンス\n 05. SCRAP BOOOO\n 06. PUPA\n 07. モノローグ\n 08. Caffeine\n 09. アイデンティティ\n 10. ソニックムーブ\n ・秋山黄色（SOLO）\n 01. やさぐれカイドー\n 02. 夕暮れに映して\n 03. ナイトダンサー\n 04. 白夜\n 05. Night park\n 06. クラッカー・シャドー\n 07. ホットバニラ・ホットケーキ\n 08. Caffeine\n 09. PAINKILLER\n EN1 心開き三週間\n EN2 猿上がりシティーポップ\n ※初回生産限定盤は秋山黄色本人によるライブ解説副音声収録\n\n◎上映情報\n【「秋山黄色 presents BUG SESSION at Zepp Haneda (TOKYO)」ライブ映像上映】\n 2024年7月15日（祝・月）東京・ユナイテッド・シネマ アクアシティお台場",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138705-exp-000-1-view.jpg?pri=l&w=640&h=421&exp=10800'],"['https://news.yahoo.co.jp/articles/f9b61cc3d519749009c7b5063f0594d7acdbab33/images/000', 'https://www.billboard-japan.com/d_news/image/138705/2']"
ゆず、ニューアルバム『図鑑』ジャケット／収録曲／アー写を公開（Billboard JAPAN）,https://news.yahoo.co.jp/articles/0825964c7c19ca471d5bb7cfdb25ee77d74513a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138699-exp-000-1-view.jpg?exp=10800,2024-06-14T20:50:04+09:00,2024-06-14T20:50:04+09:00,Billboard JAPAN,exp,Billboard JAPAN,1463,"\nゆず、ニューアルバム『図鑑』ジャケット／収録曲／アー写を公開\nゆずが、2024年7月31日にリリースとなるニューアルバム『図鑑』のジャケット写真、収録曲、アーティスト写真を公開した。\nその他の画像\n今作は、ゆずにとって約2年ぶり、18枚目のオリジナルアルバム。昨年デジタルリリースされた「SUBWAY」や「Frontier」、日本生命CMソング「ビューティフル」、高橋大輔主演で開催されたアイスショー【氷艶 hyoen 2024 -十字星のキセキ-】の主題歌「十字星」、 俳優・松たか子とのCM共演で話題を呼んだ『日産サクラ』CMソング「Chururi」、そしてテレビ朝日火曜ドラマ『南くんが恋人!?』の主題歌「伏線回収」を含む全11曲が収録される。\n\n アルバムの初回生産限定盤に付属する特典映像には、2023年に敢行された全国ホールツアー【YUZU TOUR 2023 Rita -みんなとまたあえる-】より、6月2日に行われた大阪・大阪フェスティバルホール公演のライブ映像を全編収録。ファンクラブ限定盤『図鑑 Visual Art Box』には、『図鑑』ジャケット写真限定アクリルスタンド、36Pに及ぶ完全撮り下ろしアートフォトブック、さらに「付録」と題した限定CDも特別付属。このCDには、北川悠仁が書き下ろし、スタジオの一室で音を響かせた“ワンルームセッション”形式でレコーディングされた楽曲 「付録」が収録される。\n\n ジャケット写真は、フラワーアーティスト・東信が主宰するクリエイション集団・AMKK（東信、花樹研究所）が担当。東信による植物を巨大化した立体作品シリーズ「Botanical Sculpture Classic」が、本作のためにオリジナルのカラーリングで再構築された。\n\n\n\n◎リリース情報\n アルバム『図鑑』\n 2024/7/31 RELEASE\n ＜初回生産限定盤（CD＋Blu-ray）＞\n TFCC-81087～81088 / 7,700円（tax in.）\n ＜初回生産限定盤（CD＋DVD）＞\n TFCC-81089～81090 / 7,700円（tax in.）\n ＜通常盤（CD）＞\n TFCC-81091 / 3,300円（tax in.）\n ＜ファンクラブ限定盤『図鑑 Visual Art Box』＞\n PPTF-8163～8164 / 9,900円（tax in.）\n ※完全数量限定盤 / 特殊パッケージ仕様\n\n【CD（全形態共通）】\n 01. Overture -harmonics-\n 02. 図鑑\n 03. 伏線回収\n 04. Chururi\n 05. 花言霊\n 06. Frontier\n 07. つぎはぎ\n 08. SUBWAY\n 09. 十字星\n 10. Interlude -harmonies-\n 11. ビューティフル\n\n【Blu-ray/DVD（初回生産限定盤）】\n ・ホールツアー【YUZU TOUR 2023 Rita -みんなとまたあえる-】ライブ映像\n 公園通り / 少年 / 栄光の架橋 / 遊園地 / えん / 灰皿の上から / またあえる日まで / いちご / 命果てるまで / 嗚呼、青春の日々 / 表裏一体 / シシカバブー / 友 ～旅立ちの時～ / サヨナラバス / Frontier / OLA!! / 夏色 / SUBWAY / 陽はまた昇る",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138699-exp-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/0825964c7c19ca471d5bb7cfdb25ee77d74513a6/images/000', 'https://www.billboard-japan.com/d_news/image/138699/2']"
緑黄色社会、“本気のお祭りソング”「夜祭音頭」スタイリッシュ＆シュールなMV公開（Billboard JAPAN）,https://news.yahoo.co.jp/articles/78990d8a5d16d3aa6f0143f7332756c57de80d3d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138701-exp-000-1-view.jpg?exp=10800,2024-06-14T21:05:03+09:00,2024-06-14T21:05:03+09:00,Billboard JAPAN,exp,Billboard JAPAN,496,\n緑黄色社会、“本気のお祭りソング”「夜祭音頭」スタイリッシュ＆シュールなMV公開\n緑黄色社会が、新曲「夜祭音頭」のミュージックビデオを公開した。\n\n 2024年5月21日に配信リリースされた新曲「夜祭音頭」は、自身が主催する対バンイベント【緑黄色夜祭】のテーマソングとして、メンバー全員による共作で生まれた緑黄色社会流“本気のお祭りソング”。「音頭」という言葉からは想像もつかないアグレッシブなリズムセクションに絡むエレガントなピアノとエモーショナルなギター、そこに緑黄色社会ならではのユーモアを交えた詞を歌い上げる長屋晴子のボーカルが映える楽曲となっている。\nその他の画像\nMVは、ミニマルでカラフルポップな空間と、お祭りソングをクールに歌い奏でるメンバーのコントラストに、時折登場する緑黄色野菜たちのアクセントが効いた、スタイリッシュでシュールな作品に仕上がった。\n\n\n\n◎映像情報\n YouTube『緑黄色社会「夜祭音頭」Official Video』\n \n\n◎リリース情報\n シングル「夜祭音頭」\n 2024/5/21 DIGITAL RELEASE,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138701-exp-000-1-view.jpg?pri=l&w=640&h=356&exp=10800'],"['https://news.yahoo.co.jp/articles/78990d8a5d16d3aa6f0143f7332756c57de80d3d/images/000', 'https://www.billboard-japan.com/d_news/image/138701/2']"
REIKO、“恋の駆け引き”描くラテン調の新曲「Neverland」配信リリース（Billboard JAPAN）,https://news.yahoo.co.jp/articles/89fe6b3cf2019864fcfedad011e18785cfa318b9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138702-exp-000-1-view.jpg?exp=10800,2024-06-14T21:20:04+09:00,2024-06-14T21:20:04+09:00,Billboard JAPAN,exp,Billboard JAPAN,486,"\nREIKO、“恋の駆け引き”描くラテン調の新曲「Neverland」配信リリース\nREIKOが、2024年6月21日に新曲「Neverland」を配信リリースする。\nその他の画像\n新曲「Neverland」は、6月1日に東京・代官山UNITにて開催された初のファンミーティング【REIKO 1st Fan Meeting -So Good with you-】でサプライズ披露された楽曲。夜の魔法にかけられた男女が一夜限りの“Neverland”で恋の駆け引きをする様子が浮かび上がるような歌詞に、イントロからエキゾチックな香りが漂うラテン調の一曲となっている。 楽曲は、6月20日23時よりオンエアのREIKOがMCを務めるinterfm『REIKO So far, so good.』で初オンエア予定。\n\n さらに、REIKOが好きなことや気になることに挑戦するYouTubeシリーズが始動。今後様々な企画が用意されているとのこと。\n\n\n\n◎リリース情報\n シングル「Neverland」\n 2024/6/21 DIGITAL RELEASE",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138702-exp-000-1-view.jpg?pri=l&w=456&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/89fe6b3cf2019864fcfedad011e18785cfa318b9/images/000', 'https://www.billboard-japan.com/d_news/image/138702/2']"
TWS、きらびやかな夏を予感させる『SUMMER BEAT!』アルバムトレーラーを公開（Billboard JAPAN）,https://news.yahoo.co.jp/articles/5a7e972fad904456112954b13d45b47a8f0dfe50,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138698-exp-000-1-view.jpg?exp=10800,2024-06-14T20:35:05+09:00,2024-06-14T20:35:05+09:00,Billboard JAPAN,exp,Billboard JAPAN,614,"\nTWS、きらびやかな夏を予感させる『SUMMER BEAT!』アルバムトレーラーを公開\nTWSが、2024年6月24日にリリースとなるニューミニアルバム『SUMMER BEAT!』のアルバムトレーラーを公開した。\nその他の画像\n今作には、リード曲「If I'm S, Can You Be My N?」と先行公開曲「hey! hey!」をはじめ、「YOU+ME=7942」「Double Take」「Keep On」「Fire Confetti」など計6曲を収録。今回公開されたアルバムトレーラーは、夏の日の下校途中のアジトを構想するTWSの姿でスタートし、映画のように想像と現実を行き来するストーリーで、きらびやかな夏と青春のロマンが詰め込まれている。\n\n\n\n◎映像情報\n YouTube『TWS 2nd Mini Album 'SUMMER BEAT!' Trailer』\n \n\n◎リリース情報\n ミニアルバム『SUMMER BEAT!』\n 2024/6/24 RELEASE IN KOREA\n 2024/6/25 RELEASE IN JAPAN\n ＜OUR Ver.＞\n HYBJ-11003 / 2,860円（tax in.）\n ＜NOW Ver. ＞\n HYBJ-11004 / 2,860円（tax in.）\n\n（P）&（C） PLEDIS Entertainment",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138698-exp-000-1-view.jpg?pri=l&w=568&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/5a7e972fad904456112954b13d45b47a8f0dfe50/images/000', 'https://www.billboard-japan.com/d_news/image/138698/2']"
【PEDRO TOUR 2024「慈」】最終公演より、AL『赴くままに、胃の向くままに』全楽曲のライブ映像公開へ（Billboard JAPAN）,https://news.yahoo.co.jp/articles/dcb516693b94fa70ab6ed8a6fcbc4144be9b5dc2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138695-exp-000-1-view.jpg?exp=10800,2024-06-14T19:05:05+09:00,2024-06-14T19:05:05+09:00,Billboard JAPAN,exp,Billboard JAPAN,371,\n【PEDRO TOUR 2024「慈」】最終公演より、AL『赴くままに、胃の向くままに』全楽曲のライブ映像公開へ\nアユニ・Dがフロントマンを務めるバンドプロジェクトPEDROが、3月12日に東京・Zepp DiverCityで開催した【PEDRO TOUR 2024「慈」】ファイナル公演よりライブ映像10曲を、今夜6月14日21時にYouTubeプレミア公開する。\n \n 昨年11月にリリースしたアルバム『赴くままに、胃の向くままに』に収録された楽曲全曲の映像が公開されるとのことだ。\n \n \n ◎映像情報\n YouTube『PEDRO | ALBUM 赴くままに、胃の向くままに 全曲 LIVE VIDEO [Zepp DiverCity 2024.03.12]』\n 2024年6月14日（金）21:00～プレミア公開,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138695-exp-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/dcb516693b94fa70ab6ed8a6fcbc4144be9b5dc2/images/000']
SEVENTEENの新ユニット・JEONGHAN X WONWOO、1stシングルアルバム『THIS MAN』音源の一部初公開（Billboard JAPAN）,https://news.yahoo.co.jp/articles/e61878a0d2f621115945dcf22d9ded3e5544a9bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138697-exp-000-1-view.jpg?exp=10800,2024-06-14T20:35:05+09:00,2024-06-14T20:35:05+09:00,Billboard JAPAN,exp,Billboard JAPAN,1012,"\nSEVENTEENの新ユニット・JEONGHAN X WONWOO、1stシングルアルバム『THIS MAN』音源の一部初公開\nSEVENTEENのJEONGHAN（ジョンハン）とWONWOO（ウォヌ）によるユニット・JEONGHAN X WONWOOが、2024年6月17日にリリースとなる1stシングルアルバム『THIS MAN』のサウンドトラックフィルムを公開した。\nその他の画像\n今作は、「全世界の人々が夢を通じて一人の男を目撃する」という内容の都市伝説にインスピレーションを受けて、JEONGHANとWONWOOだけのオリジナルストーリーで再解釈した作品。サウンドトラックフィルムには、リード曲「Last night (Guitar by Park Juwon)」、JEONGHANのソロ曲「Beautiful Monster」、WONWOOのソロ曲「Leftover」という収録曲全3曲のハイライト音源が含まれている。\n\n また、リード曲「Last night (Guitar by Park Juwon)」のオフィシャルティザー映像も公開。同曲は、SEVENTEENの数多くのヒット作を輩出したアルバムプロデューサーのWOOZIとBUMZUが意気投合して制作し、韓国のギタリストであるパク・ジュウォンとコラボレーションした楽曲となっている。\n\n\n\n◎映像情報\n YouTube『JEONGHAN X WONWOO (SEVENTEEN) 1ST SINGLE ALBUM ‘THIS MAN’ Soundtrack Film』\n \n\nYouTube『JEONGHAN X WONWOO (SEVENTEEN) 'Last night (Guitar by Park Juwon)' Official Teaser』\n \n\n◎リリース情報\n シングルアルバム『THIS MAN』\n 2024/6/17 RELEASE IN KOREA\n 2024/6/18 RELEASE IN JAPAN\n ＜Standard Ver.＞\n HYBJ-05017 / 2,970円（tax in.）\n ＜Weverse Albums Ver. ＞\n HYBJ-05018 / 1,760円（tax in.）\n \n\n（P）&（C） PLEDIS Entertainment",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138697-exp-000-1-view.jpg?pri=l&w=640&h=540&exp=10800'],"['https://news.yahoo.co.jp/articles/e61878a0d2f621115945dcf22d9ded3e5544a9bb/images/000', 'https://www.billboard-japan.com/d_news/image/138697/2']"
【先ヨミ・デジタル】Travis Japan「Sweetest Tune」3万DL超えでDLソング首位独走中（Billboard JAPAN）,https://news.yahoo.co.jp/articles/4d30ea8705bfae1d9549d63e75564f906abe8852,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138693-exp-000-1-view.jpg?exp=10800,2024-06-14T19:05:05+09:00,2024-06-14T19:05:05+09:00,Billboard JAPAN,exp,Billboard JAPAN,1294,"\n【先ヨミ・デジタル】Travis Japan「Sweetest Tune」3万DL超えでDLソング首位独走中\nGfK Japanによるダウンロード・ソング売上レポートから、2024年6月10日～6月12日の集計が明らかとなり、Travis Japanの「Sweetest Tune」が30,822ダウンロード（DL）を売り上げて現在首位を走っている。\n\n Travis Japanの最新曲である同曲は、メンバーの松田元太が出演している、現在放送中のTVドラマ『東京タワー』の挿入歌。集計初日の6月10日より配信がスタートし、初動となった今回では3万DL超えを達成。2位以下には5.7倍以上の差をつけ首位を独走している。\n\n 2位は、こちらも今回が初動となったMrs. GREEN APPLE「コロンブス」に。集計最終日の6月12日にデジタル・リリースされており、現在の売上は5,371DLとなった。また3位には、『劇場総集編ぼっち・ざ・ろっく！ Re:』のオープニング・テーマである、結束バンドの新曲「月並みに輝け」が、現時点では3,160DLを売り上げ登場。6月12日発表のダウンロード・ソング・チャートでの5位から順位を上げる結果となった。なお、結束バンドは同映画のエンディング・テーマである新曲「今、僕、アンダーグラウンドから」（1,893DL）も、6月12日チャートでの11位から現在9位へ順位を上げており、このまま6月19日チャートまでトップ10圏内に残れるか注目だ。\n\n また、当週のトップ10圏内をみると、『アイドリッシュセブン』よりIDOLiSH7「MEDiUM」（6位／2,631DL）、『学園アイドルマスター』より、田淵智也（UNISON SQUARE GARDEN）が作詞作曲を手掛けた全体曲「Campus Mode!!」（7位／2,367DL）および藤田ことね（CV. 飯田ヒカル）「Yellow Big Bang!」（10位／1,375DL）と、ゲーム関連曲が多く登場した週となった。\n\n\n◎Billboard JAPANダウンロード・ソング集計速報\n（集計期間：2024年6月10日～6月12日）\n1位「Sweetest Tune」Travis Japan\n2位「コロンブス」Mrs. GREEN APPLE\n3位「月並みに輝け」結束バンド\n4位「hanataba」milet\n5位「夢幻」MY FIRST STORY×HYDE\n6位「MEDiUM」IDOLiSH7\n7位「Campus Mode!!」初星学園\n8位「Bling-Bang-Bang-Born」Creepy Nuts\n9位「今、僕、アンダーグラウンドから」結束バンド\n10位「Yellow Big Bang!」藤田ことね（CV. 飯田ヒカル）\n\n※Billboard JAPANの週間ダウンロード・チャートはGfK Japanと米国ルミネイトのデータをもとに生成していますが、先ヨミ時点の集計はGfK Japanのデータによる推定値となります。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138693-exp-000-1-view.jpg?pri=l&w=640&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/4d30ea8705bfae1d9549d63e75564f906abe8852/images/000']
【先ヨミ・デジタル】YUKI『SLITS』がDLアルバム首位走行中　鷹嶺ルイ／椎名林檎が後を追う（Billboard JAPAN）,https://news.yahoo.co.jp/articles/53eb8eb998f457c1adf1630f5cb60c97392d9909,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138690-exp-000-1-view.jpg?exp=10800,2024-06-14T19:05:05+09:00,2024-06-14T19:05:05+09:00,Billboard JAPAN,exp,Billboard JAPAN,983,"\n【先ヨミ・デジタル】YUKI『SLITS』がDLアルバム首位走行中 鷹嶺ルイ／椎名林檎が後を追う\nGfK Japanによるダウンロード・アルバム売上レポートから、2024年6月10日～6月12日の集計が明らかとなり、YUKIの『SLITS』が486ダウンロード（DL）でトップを走っている。\n\n 『SLITS』はYUKIの12枚目となるオリジナル・アルバム。6月12日にリリースとなった本作には、5月にリリースされた両A面シングル『こぼれてしまうよ / Hello, it’s me』の2曲に新曲を加えた全12曲が収録されている。また、初回生産限定盤には2023年に開催した【YUKI LIVE “little night music”】のライブ音源を収録したCDが付属する。\n\n 2位には、ホロライブ所属のVtuber鷹嶺ルイの1stアルバム『Liberty』がダウンロード数223DLで走行中。そして、椎名林檎が2019年にリリースしたベストアルバム『ニュートンの林檎 ～初めてのベスト盤～』がダウンロード数211DLで3位についている。\n\n その他トップ10では、6月13日公開のダウンロード・アルバム・チャートで首位を獲得した新しい学校のリーダーズ『AG! Calling』（185DL）が現在4位、3位を記録したボン・ジョヴィ『フォーエバー』（138DL）が現在6位と引き続き上位を走っている。\n\n\n◎Billboard JAPANダウンロード・アルバム集計速報\n（集計期間：2024年6月10日～6月12日）\n1位『SLITS』YUKI\n2位『Liberty』鷹嶺ルイ\n3位『ニュートンの林檎 ～初めてのベスト盤～』椎名林檎\n4位『AG! Calling』新しい学校のリーダーズ\n5位『放生会』椎名林檎\n6位『フォーエバー』ボン・ジョヴィ\n7位『SCIENCE FICTION』宇多田ヒカル\n8位『棘アリ』トゲナシトゲアリ\n9位『No.O -ring-』Number_i\n10位『結束バンド』結束バンド\n\n※Billboard JAPANの週間ダウンロード・チャートはGfK Japanと米国ルミネイトのデータをもとに生成していますが、先ヨミ時点の集計はGfK Japanのデータによる推定値となります。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00138690-exp-000-1-view.jpg?pri=l&w=640&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/53eb8eb998f457c1adf1630f5cb60c97392d9909/images/000']
