headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
中国新規銀行融資、4月は予想を大幅に下回る　Ｍ２伸び率過去最低（ロイター）,https://news.yahoo.co.jp/articles/fcf116348a630c6a2799813b6ecbcb2f00acf688,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000107-reut-000-2-view.jpg?exp=10800,2024-06-14T19:29:40+09:00,2024-06-14T20:12:52+09:00,ロイター,reut,ロイター,1071,\n中国人民銀行（中央銀行）のデータをもとにロイターが算出した５月の新規人民元建て銀行融資は９５００億元（１３０９億３０００万ドル）と、前月から増加したがアナリストの予想には届かなかった。北京の人民銀本部、２０２２年撮影。(2024年 ロイター/Tingshu Wang/File Photo）\n[北京 １４日 ロイター] - 中国人民銀行（中央銀行）のデータをもとにロイターが算出した５月の新規人民元建て銀行融資は９５００億元（１３０９億３０００万ドル）と、前月から増加したがアナリストの予想を大幅に下回った。\n\nマネーサプライの伸び率も過去最低を記録しており、人民銀行が景気支援を目指しているものの、景気回復の足取りが鈍いことが浮き彫りとなった。\n\n５月の新規人民元建て銀行融資は前年同月の１兆３６００億元を下回った。ロイター調査によるアナリスト予想は１兆２５５０億元、４月の実績は７３００億元だった。\n\n国泰君安国際のチーフエコノミストは「５月の信用の伸びは予想を下回った。家計の債務圧縮が続いているようだ」と指摘。ただ、元安進行のリスクがあるため、人民銀行は早期利下げには消極的かもしれないと述べた。\n\n住宅ローンを中心とする家計向け融資は５月に７５７億元増加。４月は５１６６億元減少していた。企業向け融資は４月の８６００億元から７４００億元に減少した。\n\n人民銀によると、１─５月の新規融資は１１兆１４００億元となった。\n\n＜Ｍ２伸び率、過去最低＞\n\n５月のマネーサプライＭ２の前年比伸び率は７．０％とアナリスト予想の７．２％を下回り、過去最低を記録。４月は７．２％だった。\n\nＭ１の前年比伸び率もマイナス４．２％と、過去最低だった。\n\n５月末時点の元建て融資残高は前年比９．３％増と、４月の９.６％から伸びが鈍化した。市場予想は９．５％増。 \n\nただ、５月の社会融資総量残高は前年比８．４％増と、過去最低だった４月の８．３％増からやや加速した。 \n\n社会融資総量は、通常の銀行融資に加え、新規株式公開、信託会社の融資、債券発行などを含む広義の与信・流動性を示す。\n\nキャピタル・エコノミクスは「政府が国債発行を加速しており、信用全体の伸びがやや加速した」と述べた。\n\n中国政府は５月、超長期国債１兆元の発行を開始した。\n\n５月の社会融資総量は２兆０７００億元の増加。ロイターがまとめた市場予想は２兆２０００億元だった。４月は７２０億元の減少と、異例のマイナスとなっていた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000107-reut-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/fcf116348a630c6a2799813b6ecbcb2f00acf688/images/000']
ＥＣＢチーフエコノミストのレーン氏、金利見通し公表に反対（ロイター）,https://news.yahoo.co.jp/articles/ceb6b22ed71afb6238ddd8b7deee80d3af38e502,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-06-14T21:22:05+09:00,2024-06-14T21:22:05+09:00,ロイター,reut,ロイター,227,\n［ドブロブニク（クロアチア） １４日 ロイター］ - 欧州中央銀行（ＥＣＢ）のチーフエコノミストであるレーン専務理事は１４日、ＥＣＢが金利の見通しを示すことに否定的な考えを示した。\n\nレーン氏は会合で「われわれは政策見通しを公表せず、ドット・チャートも作らないことにしている」と述べた。\n\n今年に入り、シュナーベル理事が米連邦準備理事会（ＦＲＢ）のドットチャートのようなものをＥＣＢも公表する案を提起したが、理事会メンバーから反対が相次いだ。,[],[]
仏総選挙、極右勝利なら金融危機も　財務相が警告（ロイター）,https://news.yahoo.co.jp/articles/cbcda3bf6fa990311c10f15de1e8cf24e4012b72,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000108-reut-000-1-view.jpg?exp=10800,2024-06-14T19:31:45+09:00,2024-06-14T19:31:45+09:00,ロイター,reut,ロイター,575,\nフランスのルメール経済・財務相（写真）は１４日、同国の総選挙で極右が勝利すれば、金融危機のリスクに直面すると述べた。８日撮影。(2024年 ロイター/Sarah Meyssonnier）\n[パリ １４日 ロイター] - フランスのルメール経済・財務相は１４日、同国の総選挙で極右が勝利すれば、金融危機のリスクに直面すると述べた。\n\n総選挙は６月３０日に第１回投票、７月７日に決選投票が実施される。世論調査では、欧州議会選で躍進したマリーヌ・ルペン氏の極右「国民連合（ＲＮ）」の勝利が予想されている。\n\nＲＮは電気料金の値下げ、ガスの付加価値税（ＶＡＴ）引き下げ、公共支出の拡大を公約に掲げている。\n\nルメール氏はラジオ局フランスアンフォに対し「極右を見ると、うそで固めた綱領が見える」と発言。現在の政治不安が金融危機につながる可能性はあるかとの質問に「ある」と答え「申し訳ないが、彼ら（極右勢力）には、そのような出費をまかなう余裕はない」と述べた。\n\n米大手格付け会社Ｓ＆Ｐグローバル・レーティングも、ＲＮの政策方針が財政悪化につながりかねないと懸念を示している。\n\n一方、ルペン氏は１４日、遊説先のフランス北部で「マクロン政権はうそをついている」とし、政府が財政の実態や過去７年間に行った改革の影響を隠していると批判した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000108-reut-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/cbcda3bf6fa990311c10f15de1e8cf24e4012b72/images/000']
西側の安全保障モデル崩壊、プーチン氏「協力して新システムを」（ロイター）,https://news.yahoo.co.jp/articles/8f870836608b845198435263b03618494e3c4d12,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000110-reut-000-1-view.jpg?exp=10800,2024-06-14T21:28:56+09:00,2024-06-14T21:28:56+09:00,ロイター,reut,ロイター,378,\nロシアのプーチン大統領は１４日、外務省で演説し、西側の現行の国際安全保障モデルは崩壊しており、ロシアと協力する方法を見つける必要があると述べた。１４日撮影。(2024年 ロイター/Maxim Shemetov）\n［モスクワ １４日 ロイター］ - ロシアのプーチン大統領は１４日、外務省で演説し、西側の現行の国際安全保障モデルは崩壊しており、ロシアと協力する方法を見つける必要があると述べた。\n\n国際安全保障の「西側モデル」の崩壊により、世界は戻ることのできない地点に達したと指摘し、新たにより安定したシステムを構築する時が来たと述べた。\n\n「ユーラシア大陸の安全保障を確保するための独自の選択肢を検討し、より広範な国際的議論に向けて提案する必要がある」とし、ロシアは北大西洋条約機構（ＮＡＴＯ）を含む全ての国との議論に前向きであると語った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000110-reut-000-1-view.jpg?pri=l&w=640&h=427&exp=10800'],['https://news.yahoo.co.jp/articles/8f870836608b845198435263b03618494e3c4d12/images/000']
凍結資産活用は「窃盗」、どの国にも西側制裁リスクとプーチン氏（ロイター）,https://news.yahoo.co.jp/articles/86fce2af3922273a9b05e3c95e06bd11a7dca39d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000111-reut-000-1-view.jpg?exp=10800,2024-06-14T21:30:20+09:00,2024-06-14T21:30:20+09:00,ロイター,reut,ロイター,335,\nロシアのプーチン大統領は１４日、凍結したロシア資産が生む利子をウクライナ支援に活用するという西側の計画は窃盗であり、処罰は免れないと述べた。１３日の代表撮影、(2024年 ロイター/Sputnik）\n［モスクワ １４日 ロイター］ - ロシアのプーチン大統領は１４日、凍結したロシア資産が生む利子をウクライナ支援に活用するという西側の計画は窃盗であり、処罰は免れないと述べた。その上で、どの国でも西側の資産凍結の犠牲になる可能性があることを示すと指摘した。\n\nプーチン氏は外務省高官との会議で「あらゆる国や企業（政府系ファンド）の資産や蓄えが法的にも経済的にも安全とは言い難いということが明らかになりつつある」と述べ、誰もが西側の制裁対象になり得ると指摘した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000111-reut-000-1-view.jpg?pri=l&w=640&h=429&exp=10800'],['https://news.yahoo.co.jp/articles/86fce2af3922273a9b05e3c95e06bd11a7dca39d/images/000']
英国民インフレ予想低下、金利低下「経済に最善」4割＝英中銀調査（ロイター）,https://news.yahoo.co.jp/articles/79e85bfe9afae44ab38e7dc67e9cdfca649a53fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-06-14T18:42:57+09:00,2024-06-14T18:42:57+09:00,ロイター,reut,ロイター,196,\n［１４日 ロイター］ - イングランド銀行（英中央銀行）の調査によると、英国民のインフレ期待が先月低下し、金利が低下することが経済にとって最善だと考える割合が、世界金融危機以来最も高くなった。\n\n１年後のインフレ率予想は２．８％。２月の３．０％から低下した。\n\n金利が下がることが経済にとって最善との回答は全体の４２％で２月の４１％から上昇し、２００８年１１月以来の高水準だった。,[],[]
インド中銀、複数の市場で為替介入　最安値更新を阻止＝市場筋（ロイター）,https://news.yahoo.co.jp/articles/e72e3beb370489ffc4805f2d90c830898f406c14,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000103-reut-000-1-view.jpg?exp=10800,2024-06-14T18:29:32+09:00,2024-06-14T18:29:32+09:00,ロイター,reut,ロイター,678,\n６月１４日、 複数の市場関係者によると、インド中央銀行はルピーの最安値更新を防ぐため、今週、ノンデリバラブル・フォワード（ＮＤＦ）市場、国内の相対取引市場、通貨先物市場で介入を実施した。 写真はインド準備銀行のロゴ。ムンバイで２０２３年４月撮影。（２０２４年 ロイター/Francis Mascarenhas）\nNimesh Vora Jaspreet Kalra\n\n[ムンバイ １４日 ロイター] - 複数の市場関係者によると、インド中央銀行はルピーの最安値更新を防ぐため、今週、ノンデリバラブル・フォワード（ＮＤＦ）市場、国内の相対取引市場、通貨先物市場で介入を実施した。\n\nルピーは今週３回、４月に記録した史上最安値（１ドル＝８３．５７５０ルピー）まであと０．０１ルピーという水準まで下落した。今週は他のアジア通貨が不安定な値動きを見せる中、０．１０ルピーの狭いレンジ取引となっている。\n\n市場関係者は、最安値を更新すれば、ボラティリティーが高まる可能性があるため、中銀が介入しているのではないかと指摘している。\n\n中銀は１４日も含め、今週、相対取引市場で定期的にドルを売却。１２日には国内市場の取引開始直前にＮＤＦ市場に介入した。\n\nドル／ルピーの通貨先物の建玉も５月３１日以降５０％急増し、４０億ドルを超えており、市場関係者は「（中銀が）確実に先物６月\n\n限を売っている」と指摘している。\n\n中銀のダス総裁は７日、中銀の介入が「変化を遂げた」とし「中銀がフォワード市場にいることを非常に明確にしている」と述べた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000103-reut-000-1-view.jpg?pri=l&w=640&h=422&exp=10800'],['https://news.yahoo.co.jp/articles/e72e3beb370489ffc4805f2d90c830898f406c14/images/000']
中国恒大の清算人、ＰｗＣなどサービス企業調査　財務悪化要因追及（ロイター）,https://news.yahoo.co.jp/articles/5a5177b2ac18faee9dad5447623108f00b2d41de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000105-reut-000-1-view.jpg?exp=10800,2024-06-14T18:48:18+09:00,2024-06-14T18:48:18+09:00,ロイター,reut,ロイター,541,\n６月１４日、 中国不動産開発大手、中国恒大集団の清算人に任命された法律事務所が、債権者の損失回収に向け、監査を担当していたプライスウォーターハウスクーパース（ＰｗＣ）など、恒大にサービスを提供していた企業を調査していることが、複数の関係者の話で分かった。写真は恒大が手掛けた未完成の住宅。石家荘市で２月撮影（２０２４年 ロイター/Tingshu Wang）\nXie Yu\n\n［香港 １４日 ロイター］ - 中国不動産開発大手、中国恒大集団の清算人に任命された法律事務所が、債権者の損失回収に向け、監査を担当していたプライスウォーターハウスクーパース（ＰｗＣ）など、恒大にサービスを提供していた企業を調査していることが、複数の関係者の話で分かった。\n\n恒大は今年１月に香港の高等法院（高裁）から清算を命じられた。\n\nロイターは３月、関係者の話として、清算に携わる弁護士が、債務不履行の原因とみられる不正行為や過失の証拠を探すことになると報じていた。\n\n清算人に任命された香港の法律事務所は、恒大の契約サービス業者が同社の急速な財務悪化に関係しているか調べている。\n\n清算人や法律事務所が調査を終えて何らかの措置を講じるのか、それがいつになるかは現時点で不明。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000105-reut-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/5a5177b2ac18faee9dad5447623108f00b2d41de/images/000']
ＥＣＢ、指標が予想通りなら利下げ継続可能＝ラトビア中銀総裁（ロイター）,https://news.yahoo.co.jp/articles/7d2290c963595642f5839d740c4c8ddaf5a3f547,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000106-reut-000-1-view.jpg?exp=10800,2024-06-14T19:00:10+09:00,2024-06-14T19:00:10+09:00,ロイター,reut,ロイター,961,\n6月１４日、 欧州中央銀行（ＥＣＢ）理事会メンバーのカザークス・ラトビア中銀総裁（写真）はインフレが想定通り鈍化し続ければ、ＥＣＢはおおむね市場の予想通りに利下げを続けることができるとの見通しを示した。リガで２０２２年９月撮影（２０２４年 ロイター/Ints Kalnins）\nFrancesco Canepa\n\n[ドブロブニク（クロアチア） １４日 ロイター] - 欧州中央銀行（ＥＣＢ）理事会メンバーのカザークス・ラトビア中銀総裁は１４日、インフレが想定通り鈍化し続ければ、ＥＣＢはおおむね市場の予想通りに利下げを続けることができるとの見通しを示した。\n\nクロアチアのドブロブニクで開催された会議の合間にロイターのインタビューに応じた。\n\nインフレ率は今年横ばいで推移するが、来年は目標の２％に近づくと引き続き考えていると述べ、今後も期待通りのデータが続ければ、一段の利下げが正当化されるとの考えを示した。\n\n「不確実性は依然として高いが、もちろんインフレは下降傾向にある」とし「引き締めをある程度緩和することが可能だが一定程度は維持し、データを見ながら会合ごとに動くべきだ」と述べた。\n\n市場では年内に２５ベーシスポイント（ｂｐ）の利下げが１─２回、来年はさらに２回行われると予想されている。カザークス氏は予想は妥当のようだが、政策決定は「自動操縦ではない」と語った。 \n\n賃金の伸びや、企業が賃金上昇を吸収できるか、あるいは顧客に転嫁するかなど、まだ多くの変数があると指摘。「まだ決まったわけではないので、比較的慎重な姿勢を続けるつもりだ」と述べた。\n\n先月のユーロ圏の賃金と物価に関する指標は予想以上に力強い内容となったが、カザークス氏は「１つか２つ」のデータに過剰に反応しないよう求めた。\n\n「データはおおむね予想通りだった」とし、変化が持続的で大きくなければ基本シナリオから外れたとは言えないとの考えを示した。\n\nＥＣＢが方向転換し利上げを検討するためには、地政学的な出来事など大きな外的ショックがなければならないと述べた。\n\n「しかし基本シナリオの範囲内なら方向性は比較的明確で、問題はペースと水準だけだ。データを見ればそれについて知ることができる」と語った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-00000106-reut-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/7d2290c963595642f5839d740c4c8ddaf5a3f547/images/000']
東京マーケット・サマリー（ロイター）,https://news.yahoo.co.jp/articles/1596cad99179b6ada6fea691f808ba59f8ba5b0d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-06-14T18:22:42+09:00,2024-06-14T18:22:42+09:00,ロイター,reut,ロイター,1538,"\n■レートは終値（前日比または前週末比）、安値─高値\n\n＜外為市場＞\n\n ドル／円 ユーロ／ドル ユーロ／円 \n\n 午後５時現在 157.66／157.67 1.0706／1.0710 168.81／168.86 \n\n ＮＹ午後５時 157.02／157.03 1.0735／1.0739 168.58／168.62 \n\n午後５時のドル／円は、前日ＮＹ午後５時と比べてドル高／円安の１５７円後半で推移している。\n\n日銀はきょうの金融政策決定会合で国債買い入れの減額方針を決めたが、具体的な実施計画は次回会合で決定するとしたことで、円が売られた。\n\n＜株式市場＞\n\n 終値 前日比 寄り付き 安値／高値 \n\n 日経平均 38814.56 +94.09 38587.57 38,554.75─39,025.70 \n\n ＴＯＰＩＸ 2746.61 +14.83 2716.33 2,716.33─2,755.23 \n\n プライム指数 1413.65 +7.57 1400.06 1,399.39─1,418.08 \n\n スタンダード指数 1255.64 +12.31 1240.88 1,240.88─1,255.64 \n\n グロース指数 822.72 +4.83 809.81 809.81─823.70 \n\n グロース250指数 638.73 +4.02 627.61 627.61─639.76 \n\n 東証出来高(万株) 215662 東証売買代金(億円) 53191.13 \n\n東京株式市場で日経平均は、前営業日比９４円０９銭高の３万８８１４円５６銭と３日ぶりに反発して取引を終えた。朝方には日銀の金融政策決定会合の結果発表を前に軟調な時間帯が長かったが、昼過ぎに日銀が国債買い入れの減額方針を決めた一方、詳細を示さなかったことが伝わると、後場に買い戻しが強まった。もっとも、一巡後は利益確定売りが上値を抑え、大引けにかけて伸び悩んだ。\n\n東証プライム市場の騰落数は、値上がりが１４１７銘柄（８６％）、値下がりは２１０銘柄（１２％）、変わらずは１９銘柄（１％）だった。\n\n＜短期金融市場＞ \n\n 無担保コール翌日物金利(速報ベース) 0.077 \n\n ユーロ円金先（24年6月限） ─── \n\n 3カ月物ＴＢ ─── \n\n無担保コール翌日物の加重平均レートは、速報ベースで０．０７７％になった。前営業日（０．０７７％）から横ばい。「午前は日銀会合を控えて参加者が若干少なめだったが、午後はいつも通りで、調達ニーズはしっかりしていた」（国内金融機関）という。\n\n＜円債市場＞ \n\n 国債先物・24年9月限 143.92 (+0.46) \n\n 安値─高値 143.60─144.26 \n\n 10年長期金利(日本相互証券引け値) 0.930％ (-0.035) \n\n 安値─高値 0.945─0.915％ \n\n国債先物中心限月９月限は、前営業日比４６銭高の１４３円９２銭と大幅続伸して取引を終えた。日銀が金融政策決定会合で国債買い入れを減額する方針を決めたものの、具体的な減額計画の決定は先送りしたことが買い材料だった。１０年最長期国債利回り（長期金利）の引け値は、前営業日比３．５ｂｐ低下の０．９３０％。\n\n＜スワップ市場・気配＞ \n\n 2年物 0.48─0.38 \n\n 3年物 0.58─0.48 \n\n 4年物 0.65─0.55 \n\n 5年物 0.72─0.62 \n\n 7年物 0.86─0.76 \n\n 10年物 1.08─0.98",[],[]
