headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
お騒がせ登山家 安全装置なしで地上30階、高さ125ｍのビルによじ登る！救助隊に捕まり御用　アルゼンチン（よろず～ニュース）,https://news.yahoo.co.jp/articles/7751c1a44917f075043cda152636f388539d87ec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541359-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T21:20:06+09:00,2024-06-14T21:20:06+09:00,よろず～ニュース,yorozuns,よろず～ニュース,415,\nお騒がせ登山家が安全装置なしで30階建てのビルによじ登る（ロイター）\n見ているこちらの鼓動が止まらない。アルゼンチンのブエノスアイレスで現地11日、ポーランドの登山家が、身体に安全装置を付けることなく、地上30階、高さ125メートルのビルに登頂を始めた衝撃的なシーンが話題となった。\n【動画】衝撃的な高層ビルよじ登り！お騒がせ男と救助隊の“攻防”も\n黒の手袋、水色のズボンをはき、ビルをよじ登るこの男は、多くの市民が見ている目前で、迷うことなく高さ125メートルのビルの屋上を目指して登り始めた。\n\n 細い足場を動きながら、ビルのすき間に手を入れて、ひたすら“頂上”を目指そうとしていたが、途中で救助隊が駆け付けた。後ろから羽交い絞めするような形で、男の動きを止めて、確保。安全用ハーネスを着けられ、強制的に地上に降ろされた後、警察に身柄を拘束された。\n\n（ロイター／よろず～ニュース編集部）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541359-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/7751c1a44917f075043cda152636f388539d87ec/images/000', 'https://yorozoonews.jp/article/15306109?ro=15306109&ri=0']"
Wanna One出身 ライ・グァンリン 芸能界引退を宣言!? SNSほぼ削除、華メディアは「映画監督に転身か」（よろず～ニュース）,https://news.yahoo.co.jp/articles/8f23b6f3609ac3b02aa53139c927d21bc97cbfe6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541357-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T21:02:43+09:00,2024-06-14T21:02:43+09:00,よろず～ニュース,yorozuns,よろず～ニュース,780,\nWanna One出身のライ・グァンリン（出典：Wanna One SNS）\nWanna One（ワナワン）出身で、現在は台湾を拠点に活動している歌手であり俳優のライ・グァンリン（22）が14日（現地時間）、自身のSNSで芸能活動終了を宣言したと、複数の韓国メディアが伝えた。\n【写真】動画1本だけ残し、残りは全て削除したライ・グァンリンのインスタグラム\nライ・グァンリンはこの日、中国のSNSポータルサイトである微博（Weibo）アカウントで「熟考の末、私は進路変更することを決めた」「そのためSNSアカウントは今後、スタッフが管理する」と告知したという。そして宣言と同時に、プロフィール写真は黒い画像に変更された。彼の微博アカウントは、878万人がフォローしている。\n\n また、インスタグラムの個人アカウントも、自身が2021年に監督した短編映画に関する動画が投稿されているのみで、その他の掲示物は全て削除されている状況だ。\n\n この突然の芸能活動引退宣言に、現地メディアや多くのファンが当惑した反応を見せながら「映画監督になるのでは」と推測している。\n\n 台湾出身のライ・グァンリンは、2017年にMnet「プロデュース101 シーズン2」に参加。Wanna Oneとしてデビューし、爆発的人気を博した。\n\n Wanna One活動終了後は、当時同じ事務所に所属していた、PENTAGONのウソクとユニット「ウソク×グァンリン」を結成し活動。\n\n しかしその後、所属事務所であるCUBE（キューブ）エンターテインメントに、専属契約解除を主張する内容証明を送付し、専属契約効力停止仮処分訴訟を提起する。そして長い法廷争いの末2021年に同訴訟に勝利、自由の身となった。\n\n（よろず～ニュース・椎 美雪）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541357-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/8f23b6f3609ac3b02aa53139c927d21bc97cbfe6/images/000', 'https://yorozoonews.jp/article/15306273?p=28564653&ro=15306273&ri=0']"
N党から都知事選24人 福永活也氏「どうしても行きたいレストランが」衆院補選の“エベレスト登頂”に続き不在（よろず～ニュース）,https://news.yahoo.co.jp/articles/2b8eadbf9dfd5c4175c9273e8e5c5fb19881969d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541346-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T20:30:10+09:00,2024-06-14T20:30:10+09:00,よろず～ニュース,yorozuns,よろず～ニュース,822,\n福永活也氏\n政治団体・ＮＨＫから国民を守る党の立花孝志氏（５６）が１４日、国会内での定例会見で、東京都知事選（２０日告示、７月７日投開票）に、同党公認、関連の政治団体から新たに５人が出馬すると発表した。\n【写真】衆院東京15区補選ではエベレストから支持を訴えた福永氏\n立花氏は「ＮＨＫ党から１９人、関連の政治団体から５人。２４人で打ち切ります」と、同党と関連の政治団体から２４人が立候補するとした。\n\n 衆院東京１５区補選に、同党から出馬した弁護士の福永活也氏（４３）も名を連ねた。福永氏は「都知事選どうしようかと思っていたんですが、立花さんに『僕って立候補するんですかね？』と聞いたら、『そのつもりで考えています』というので『おまかせします』と、そういう感じで話をしてきた」と述べた。\n\n 同補選は、エベレスト登頂の予定と重なり、告示日の翌日にネパールへ。選挙活動は、ＹｏｕＴｕｂｅなどＳＮＳで行った。２度目のエベレスト登頂に成功した後、海外を転々とし１３日に帰国したという福永氏は「お叱りを受けるかもしれないが、７月から海外に行く予定が入っているのがあって、７月３日にスペインでどうしても行きたいレストランがあって、それに行かなきゃならない」と、都知事選選挙期間の６月末から日本に不在だとした。\n\n １３日現在で、都知事選の事前審査を受けた立候補予定者が４８人。７６人に書類を配布しており、最大４８枠しかない都内約１万４０００のポスター掲示場の増設が必要となる可能性がある。\n\n 当初、３０人の擁立を宣言していた立花氏は「４８枚以上の（ポスター掲示場）増設は望んでいない」としながらも「我々以外に３１名以上候補者が出るとなれば、我々が当初言っていた３０名を超えますので、ＮＨＫ党に主な責任があるとは言えない」として、ポスター掲示の自粛はしないと強調した。\n\n（よろず～ニュース・杉田 康人）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541346-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/2b8eadbf9dfd5c4175c9273e8e5c5fb19881969d/images/000', 'https://yorozoonews.jp/article/15306140?p=28449217&ro=15306140&ri=0']"
虹のコンキスタドール・蛭田愛梨〝銀河系屈指〟の健康美を解放！大胆カット挑戦の初写真集にドキッ（よろず～ニュース）,https://news.yahoo.co.jp/articles/efd25c206ed3592f28f918627e26ffce22a9968f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541354-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T21:00:13+09:00,2024-06-14T21:00:13+09:00,よろず～ニュース,yorozuns,よろず～ニュース,351,\n蛭田愛梨 1st写真集「あい」ⓒ鈴木ゴータ（秋田書店）より\n人気アイドルグループ・虹のコンキスタドールで活躍する蛭田愛梨が、６月２８日に初写真集「あい」（秋田書店）を発売する。\n【写真】ありがとう！蛭田愛梨の大胆カットです\n〝銀河系屈指の美少女アイドル〟として人気を集める蛭田。二十歳を迎え、十代最後の魅力と大人への一歩を踏み出した可憐にて華麗なる珠玉の一冊が完成した。また、完全アザーカットによるデジタル写真集は７月２８日に発売される。\n\n ◆蛭田愛梨（ひるた・あいり）２００４年３月５日生まれ、東京都出身。身長１５８.５センチ、血液型B。趣味はお菓子を食べること、お昼寝。チャームポイントは犬歯。将来の夢は色々な所で活躍すること。\n\n（よろず～ニュース編集部）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541354-yorozuns-000-1-view.jpg?pri=l&w=639&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/efd25c206ed3592f28f918627e26ffce22a9968f/images/000', 'https://yorozoonews.jp/article/15301235?p=28554565&ro=15301235&ri=0']"
ハリポタ主演俳優 ヘビーなドラマは苦手！最高峰作品も見ない 『ザ・シンプソンズ』から「学んだこと多い」（よろず～ニュース）,https://news.yahoo.co.jp/articles/5b000952c8fc4af929ef4c00fea17ada990779a3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541361-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T21:50:06+09:00,2024-06-14T21:50:06+09:00,よろず～ニュース,yorozuns,よろず～ニュース,846,\nダニエル・ラドクリフ\n俳優ダニエル・ラドクリフ（34）は「ヘビー」なドラマが苦手だと明かした。「ハリー・ポッター」シリーズでおなじみのダニエルは、最高峰のドラマとされる『ザ・ソプラノズ 哀愁のマフィア』や『ブレイキング・バッド』のような作品を見たことはなく、リアリティ番組やアニメを好んで見るという。\n【写真】今では父親になったダニエル・ラドクリフ 妻エリン・ダークとのツーショット\n『リック・アンド・モーティ』『ボージャック・ホースマン』『ロボットチキン』などのアニメで声優を務めたこともあるダニエルは、コミック・ブック・リソーシズに語った。「正直言うと、僕はアニメやリアリティ番組をよく見る。『ブレイキング・バッド』とか『ザ・ソプラノズ』、『THE WIRE／ザ・ワイヤー』なんて見たこともないよ。ヘビーで長いドラマは見ていられないんだ」「『ザ・シンプソンズ』とかを見て育ったからかな。僕の世代でそういう人は多いと思うけど」\n\n そして、そこから「学んだことは多い」として続けた。「この前（ゲーム番組の）『ジェパディ! 』を見ていたんだけど、出場者の1人がトリビアの数々の知識は『ザ・シンプソンズ』のおかげだって言ってた」「僕もそうなんだ。変わった事実とか世界の一般知識、僕のユーモアのセンスまで、『ザ・シンプソンズ』で培われたところは多い」「だから『ザ・シンプソンズ』で育った僕らの世代が、大きくなっても少し大人向けのアニメを見続けるっていうのは理にかなってるんだ」\n\n 一方で、内容があまりにも過激なため、実写版には向いていないとして、「『ボージャック・ホースマン』のほとんどは、言葉を話す馬が主人公じゃなかったら全然面白くないと思う」「『ザ・シンプソンズ』でホーマーがバートの首を絞めることだって、実写にしたらただの児童虐待で、面白いところなんて全くない」と話した。\n\n（BANG Media International／よろず～ニュース）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541361-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/5b000952c8fc4af929ef4c00fea17ada990779a3/images/000', 'https://yorozoonews.jp/article/15305758?p=28502705&ro=15305758&ri=0']"
鳩山元首相、都知事選に向け「小池VS蓮舫」ではなく、AIエンジニアでSF作家の安野貴博候補に「注目」（よろず～ニュース）,https://news.yahoo.co.jp/articles/9334f813c0adb545766e9b38bd394cdeca99c7b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541342-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T20:15:04+09:00,2024-06-14T20:15:04+09:00,よろず～ニュース,yorozuns,よろず～ニュース,548,\n鳩山由紀夫元首相\n鳩山由紀夫元首相が14日までに自身のＸ（旧ツイッター）を更新。20日告示、7月7日投開票の東京都知事選は現職の小池百合子知事と蓮舫前参院議員の〝一騎打ち〟の様相を呈している中、今月6日に立候補を表明したAI（人工知能）エンジニアでSF作家の安野貴博氏について「注目に値する」とつづった。\n【写真】演説を行った蓮舫氏と応援に駆けつけた辻元清美氏\n鳩山氏は13日夜に更新したXで、自己紹介や出馬理由など会見で発言した内容の全文をまとめた安野氏のｎｏｔｅを添付した上で、「都知事選は小池百合子VS蓮舫ばかりが注目されているが、政治の素人ではあるが安野たかひろというAIの専門家が、テクノロジーを通じて人と人とが相手を尊重し合える、自分らしく生きやすい東京を作りたいと自動運転など具体策を示していることはもっと注目に値する。」との考えを示した。\n\n 安野氏は1990年生まれ、東京都出身。全国屈指の進学校・開成高校から東大工学部に進み、卒業後は外資系の会社を経て、AIを活かした企業を興し、SF小説も執筆している。都知事選に向けた政策として「自動運転の積極的な解禁、活用」「AIスタートアップの支援」などを掲げている。\n\n（よろず～ニュース編集部）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541342-yorozuns-000-1-view.jpg?pri=l&w=426&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/9334f813c0adb545766e9b38bd394cdeca99c7b4/images/000', 'https://yorozoonews.jp/article/15306018?p=28550298&ro=15306018&ri=0']"
立民・泉代表、蓮舫氏出馬に「党として推薦や支持を考えておりません」都知事選は自主的な応援に（よろず～ニュース）,https://news.yahoo.co.jp/articles/da6cb7b56117c86b0e8a27794a7c691229ef7ea1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541328-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T19:30:10+09:00,2024-06-14T19:30:10+09:00,よろず～ニュース,yorozuns,よろず～ニュース,548,\n立憲民主党・泉健太代表\n立憲民主党の泉健太代表（４９）が１４日、国会内での定例会見で、東京都知事選（２０日告示、７月７日投開票）に立候補を表明した立憲民主党の蓮舫参院議員（５６）＝１２日に離党届を提出＝について「立憲民主党として、推薦や支持というのは考えておりません」と述べた。\n【写真】満面の笑みで手を振る蓮舫氏\n泉氏は「立憲民主党を離れて、オール東京でやっていきたいという蓮舫さんの考え方からすると、我々がうかがっているのは、政党に対して推薦依頼等々は行わないということを聞いている。ですので、政党の手続きは依頼があって対応するということになります」と説明した。\n\n 「党の顔」だった蓮舫氏の都知事選出馬に、泉氏は「当然ながら大切な仲間、ともに歩んできた仲間。蓮舫さんの都政へのチャレンジというのは、多くの仲間に勇気を与えた。仲間たちも、共に戦いたいという思いを持っていますので、それぞれ自主的に応援するということになります」と、自主的な応援を強調した。\n\n 具体的には「党としても、都内の総支部に特に拠点を構築して、そこを軸に各地域、都内全域で立憲民主党としても自主的な応援をしていきたいと考えています」とした。\n\n（よろず～ニュース・杉田 康人）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541328-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/da6cb7b56117c86b0e8a27794a7c691229ef7ea1/images/000', 'https://yorozoonews.jp/article/15305912?p=28550299&ro=15305912&ri=0']"
ミスマガジン2023の今森茉耶 初写真集発売が決定！ プールサイドでの珠玉の先行カット公開（よろず～ニュース）,https://news.yahoo.co.jp/articles/3c4d4988b481d126a41d012c8a12228bd4ff1bbe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541295-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T19:00:19+09:00,2024-06-14T19:00:19+09:00,よろず～ニュース,yorozuns,よろず～ニュース,1291,\n「ミスマガジン２０２３」グランプリに輝いた今森茉耶\nミスマガジン2023グランプリを獲得した、グラビアアイドルでタレントの今森茉耶（18）が14日、自身初の写真集発売が決まったことがわかった。発売予定日は2024年の8月28日。\n【画像】お披露目された初写真集の先行カット ちらりとのぞくおへそがセクシー…！\n芸能活動をスタートしてからわずか10ヵ月でミスマガグランプリを受賞、その後モスバーガーのテレビCMへの出演や、ジャパニーズホラー界の巨匠・清水崇監督の映画『あのコはだぁれ？』（2024年7月19日公開）にメインキャストとして出演が決定するなど多方面で活躍中の今森。自身の出身地である宮崎では最後の制服姿を披露。様々な思い出の地を巡り、自ら思い入れのあるフィリピン・セブ島では18歳になったばかりの今森を撮り下ろし。先行カットとしてラスト制服姿や3種類の水着姿も公開した。\n\n 初の写真集に際して、今森本人もコメントを発表。「たくさんの方のお力添えがあって、この度1st写真集の発売！ということで、ミスマガジンという出会いと、日々の活動を支えてくださる方に本当に感謝です！ありがとうございます」と感謝。続けて「今回は私の故郷である『宮崎』と、私の母の故郷である『フィリピン』で撮影してきました！宮崎の撮影では私のルーツを辿ったので、みなさんには『今森茉耶はここで何を思ってたんだろう、何してたんだろう』なんて妄想をして欲しいです。宮崎名物『桝元』が大好きで、放課後毎週のように食べに行っていたのが懐かしいなーって思いながら撮影していました。他にも思い出の場所を訪れたり、まるで実家にいるみたいな素顔の私も撮っていただきました。フィリピン・セブ島ではダイナミックにジンベイザメと泳いできたんですよ。もう魚になった気分で。ライフジャケットとゴーグルをつけずに海に飛び込んだんです。今考えたら凄すぎる。楽しかったー！セブの綺麗な自然の中で、いろんな表情を出せたと思います。私の想いが詰まったこの写真集が、たくさんの方に届きますように！」と写真集の魅力を伝えた。\n\n ◆今森茉耶（いまもり ・ まや）2006年 3 月 26 日生まれ。宮崎県出身。ミスマガジン2023 グランプリ。講談社『ヤングマガジン』で二度の単独表紙を経験。ホラーの巨匠・清水崇監督最新映画『あのコはだぁれ？』では小日向まり役、若手発掘・育成プロジェクト「私の卒業」第 5 期映画『こころのふた～雪ふるまちで～』ではメインキャストを務めるなど、若手女優として注目を集める。また、2024 年 2 月モスバーガーの新商品の TVCM ・WEBCM 出演や 2024 年 5 月『 RakutenGirlsAward 2024 S/S 』への初出演を果たすなど、モデルとしても活躍中。霜降り明星のYouTube チャンネルでは「次くる女性タレント」として紹介され、日本テレビ『超無敵クラス』に無敵の十代として出演するなど活動の幅を広げている。\n\n（よろず～ニュース編集部）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541295-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/3c4d4988b481d126a41d012c8a12228bd4ff1bbe/images/000', 'https://yorozoonews.jp/article/15304107?p=28560104&ro=15304107&ri=0']"
米人気女性歌手　大御所歌手の父親との「疎遠説」否定　両親離婚も「たくさんの愛」を抱いている（よろず～ニュース）,https://news.yahoo.co.jp/articles/3a01704aa1c478ddfccd63bf3dedee04e5c4ca1e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541269-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T18:30:13+09:00,2024-06-14T18:30:13+09:00,よろず～ニュース,yorozuns,よろず～ニュース,998,\nマイリー・サイラス\n歌手マイリー・サイラス（31）が、カントリー歌手の父親ビリー・レイ・サイラス（62）との「疎遠説」を否定した。マイリーと兄妹は、２年前に両親が離婚して以来、どちらを選ぶか迷っていると言われていた事に対し、「たくさんの愛」を父に抱いていると主張。単に父、そして母ティッシュ・サイラス（57）とはそれぞれ違う関係性を持っているだけだと語った。\n【写真】マイリー・サイラス＆カントリー歌手の父親ビリー・レイ・サイラスの仲睦まじいツーショット\nトーク番組『デヴィッド・レターマン：今日のゲストは大スター』で、「あなたの人生を歩む上で、両方の親が対等な役割を分かち合うということはありそうもないことですが、物事が進むにつれて、どちらか一方がより近くなるのでしょうか？」と質問されたマイリーは答えた。\n\n 「彼女（母）の両親は子供ができなかったから、世界で一番彼女を欲しがった。だから母は、望まれ、愛され、最も美しい人生を与えられてこの世に生を受けたの。祖母は母だけでなく、私も完全に甘やかしたわ」\n\n 「父はとても小さな町でとても貧しい家庭で育ち、幼い頃に両親が離婚した」「父はとても辛い子供時代を過ごしたのよ。私は、宿題やセリフを覚えるのは大変だったけど、食べ物があって、愛情もあったし、素敵な大きな家で育った」「父にはそれがなかった。彼の子供時代には多くの共感と同情を抱いている。それが明らかに、私がとても愛している今の父の形を作ったの」\n\n さらに、司会のデヴィッドに「お父さんとは疎遠になったわけではなく、ただそういう風に物事が進んでいるだけなんですね？」と聞かれ「ええ、とても素晴らしいのは、両親が子供たちのために尽くしてくれたこと。私たちに尽くし、私たちのために多くの犠牲を払ってくれた。私たちが夢見たことは何でも両親が可能にしてくれたの」と答えていた。\n\n そして、自分の母親についれさらに語った。「父がいなかったら、私はこの椅子に座っていなかったし、今の私は存在していなかった。だから、現実や人生に対する父の考え方の多くは、私がどう育てられたかよりも、父から受け継いだものだと思う。実際育ててくれたのは母だけど。正直に言うと、母は私のヒーローよ」\n\n（BANG Media International／よろず～ニュース）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541269-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/3a01704aa1c478ddfccd63bf3dedee04e5c4ca1e/images/000', 'https://yorozoonews.jp/article/15305061?p=28562136&ro=15305061&ri=0']"
Ｋ－１ラウンドガール経験の芹沢まりな　２年ぶり新作で大胆ショット「体形を生かした伝道師に」（よろず～ニュース）,https://news.yahoo.co.jp/articles/05b237965c70a2b794df4161490ae6ef2a674a51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541340-yorozuns-000-1-view.jpg?exp=10800,2024-06-14T20:00:30+09:00,2024-06-14T20:00:30+09:00,よろず～ニュース,yorozuns,よろず～ニュース,769,\n都内でＤＶＤ発売イベントを開いた芹沢まりな\nグラビアアイドルの芹沢まりながこのほど、都内で新作ＤＶＤ「おはよう High Leg Gal」（エアーコントロール）の発売記念イベントを行った。\n【写真】芹沢まりな大胆ショットで躍動しています！\n２年ぶり３作目は昨年冬に沖縄で撮影。〝ハイレグの伝道師〟を自ら掲げて、心機一転グラビア界に新風を巻き起こすつもりだ。「つながっているものからセパレート、腕までのロングハイレグまで全部がハイレグです。２年ぶりなのでむっちり、しっとり、胸もお尻も大きくなったので、フェロモン全開で笑顔少なめの作品になっています」と元気よく話した。\n\n ジャケットに使用された白いハイレグ姿を「胸が丸くキレイに見えて、後ろからでもすごくお尻が出ている。この白い水着がお気に入りです」と紹介した。チャプターごとにさまざまな魅力を披露。眼帯調の肌色ハイレグ姿、バニー調のハイレグ姿などを展開した２７歳は「２年前よりいろんな所が成長しているので９７点」と自己採点した上で、「年齢とともに出る色気を、やっと出せたと思う。このグラマラスな体形を生かしたハイレグ伝道師になりたい」と、手応えを口にした。\n\n 昨年まではＫ－１のラウンドガールを務めた。「去年にラウンドガールを卒業して、今年は自分のペースでグラビアをやっていこうかな」と心機一転で、新たな肩書を掲げた芹沢まりな。ＡＢＥＭＡでのボートレース番組出演などにも取り組む中でも、グラビアへの思い入れは強い。イベントにはジャケットと似た白いハイレグ姿で登場す「今作はとても評判がいいらしいので、このままセクシーなハイレグ路線でいきたい。ハイレグの芹沢まりなと呼ばれるように頑張りたいです」と決意を口にした。\n\n（よろず～ニュース編集部）\nよろず～ニュース,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240614-11541340-yorozuns-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/05b237965c70a2b794df4161490ae6ef2a674a51/images/000', 'https://yorozoonews.jp/article/15303185?p=28558429&ro=15303185&ri=0']"
