headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
中核派活動家の男を逮捕…うその書類を提出しコロナ給付金を詐取か　「原爆の日」に平和記念式典の対応にあたる市職員を転倒させた疑いですでに逮捕（MBSニュース）,https://news.yahoo.co.jp/articles/3d16f6b7ac2172e0426150f31105be6ea66bae1d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058457-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T19:30:00+09:00,2024-06-27T19:30:00+09:00,MBSニュース,mbsnews,MBSニュース,374,\nMBSニュース\n新型コロナの給付金をだまし取ったとして中核派活動家の男を逮捕です。\n\n 詐欺の疑いで逮捕されたのは、大阪・八尾市に住む中核派の活動家・高田暁典容疑者（３６）です。\n\n 警察によりますと高田容疑者は、新型コロナ対策の給付金をめぐり給付要件を満たしていないにもかかわらず、当時住んでいた京都市にうその書類を提出し、２０２２年３月、現金１０万円をだまし取った疑いが持たれています。\n\n 警察は関係先として今年６月２７日までに、東京・江戸川区にある中核派の拠点「前進社」などを家宅捜索したということです。調べに対して高田容疑者は黙秘しているということです。\n\n 高田容疑者は、去年８月６日の「原爆の日」に広島市の平和記念式典の対応にあたっていた市の職員を転倒させたなどとして、すでに逮捕されています。\nMBSニュース,[],[]
『傘の先が目に当たって失明状態』のケースも？危ない傘の持ち方に眼科医が警鐘「眼球はむき出しの臓器…ちょっと触れただけでも角膜が傷つくことがある」（MBSニュース）,https://news.yahoo.co.jp/articles/3012ebf12bf1b437d087bbb062fa8bb8b2259053,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058453-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T19:50:00+09:00,2024-06-27T19:50:00+09:00,MBSニュース,mbsnews,MBSニュース,464,\nMBSニュース\n傘をカバンの上に乗せて持つ「横持ち型」。前後にブンブン振って歩く「振り回し型」。街で見かける傘の危険な持ち方に警鐘を鳴らすのは眼科医の宇佐美欽通医師です。\n\n 【ＳＮＳの投稿より】\n 「忠告します。こんな傘の持ち方をしているあなたはすぐにやめてください。周りの人は日々危険に晒されています」\n\n 目の位置が低い子どもだけでなく、特に階段では大人にも危険が及ぶといいます。\n\n （岐阜県立多治見病院・眼科主任 宇佐美欽通医師）「眼球って『むき出しの臓器』なので、傘の先がちょっと触れただけでも角膜とかが傷ついてしまったりすることがあります。中には眼球破裂になって眼球に穴が開いて失明状態になってしまったという話もあります」\n\n 傘の先から、身を守るためには？\n\n （岐阜県立多治見病院・眼科主任 宇佐美欽通医師）「まずはそういう方と距離を取ることがとても大切だと思います。理想としては声かけをして、地道に注意を呼びかけることで街の安全・安心につながるのかなと思います」\nMBSニュース,[],[]
【速報】阪急京都線　阪急千里線　運転見合わせ（MBSニュース）,https://news.yahoo.co.jp/articles/cc5486ac74588faa98af62e09d30b1bccdee361e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-06-27T21:34:48+09:00,2024-06-27T21:37:47+09:00,MBSニュース,mbsnews,MBSニュース,112,\n阪急電鉄によりますと、午後9時18分ころ、南方駅～崇禅寺駅間で人身事故があったということです。\n\n京都線と千里線で運転を見合わせています。\n\n阪急京都線 京都河原町ー大阪梅田\n阪急千里線 北千里ー天神橋筋六丁目,[],[]
【近畿の天気】九州北部で線状降水帯発生のおそれ　近畿も金曜日の昼ごろピークに大雨警戒（MBSニュース）,https://news.yahoo.co.jp/articles/3bd019cd3590a8a17421ea6394426146e83e140d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058458-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T19:30:00+09:00,2024-06-27T19:30:00+09:00,MBSニュース,mbsnews,MBSニュース,698,\nMBSニュース\n６月２８日（金）は西日本の広域で大雨となるおそれがあります。西日本付近に停滞している梅雨前線の活動が活発となっていて、東へ移動する前線上の低気圧が通過するタイミングで、雨の降り方が一層激しくなる見込みです。\n\n ２８日の朝から、近畿２府４県に加えて、西日本の全府県、北陸や東海地方に大雨警報が発表される可能性があり、特に九州は警報級の可能性が高めです。九州方面のほか、山陰や北陸方面へ向かう交通や物流の乱れを想定してください。\n\n 九州地方の各県や山口県では非常に激しい雨が降り続き、２８日の午前中にかけて線状降水帯が発生する可能性があります。暗い時間帯に急激に災害の危険度が高まるおそれがあります。近畿地方は２８日の朝から傘を差しても濡れてしまうような雨で、昼ごろは各地で激しく降るでしょう。夜になると雨雲は南下するものの、紀伊山地の南西斜面では、２９日（土）の未明にかけてしつこく強い雨が降る見込みです。\n\n 大雨のピークは２８日の昼ごろでしょう。２８日の夕方にかけての雨量は、近畿南部の多い所で１８０ミリの予想です。強い南西の風が続けば京阪神エリアでもかなりの雨量となるかもしれません。土砂災害や河川の増水など十分注意が必要です。２８日は一日を通して雨、沿岸では横なぐりの雨でしょう。\n\n 日中の最高気温は２６度前後でも、湿度は７０％以上と高めで、かなりジメジメと不快に感じられそうです。\n\n ２９日以降は北部中心に雨が降りやすく、来週は日本海側の大雨に気を付けてください。気温はさらに上がり、蒸し暑さも一段と厳しくなりそうです。\nMBSニュース,[],[]
【大雨情報】九州北部で線状降水帯発生恐れ　西日本と東日本で警報級大雨の可能性　通勤時間帯への影響は…24時間雨量が250ミリの所も　28日～全国の雨シミュレーション（MBSニュース）,https://news.yahoo.co.jp/articles/9e02928716423a78e2f69f4e4c78ec3e016a0a19,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00010016-mbsnews-000-2-view.jpg?exp=10800,2024-06-27T18:39:50+09:00,2024-06-27T18:50:44+09:00,MBSニュース,mbsnews,MBSニュース,1267,\n28日午前8時の雨予想\n低気圧や前線に向かって暖かく湿った空気が流れ込み前線の活動が活発となる影響で、西日本では28日にかけて、東日本では28日～29日は雷を伴った激しい雨が降り大雨となる所があるということです。\n◆画像を見る 九州や近畿など西日本の雨予想を1時間ごとに見る\nまた、気象庁は九州の4県（福岡・長崎・熊本・大分）と山口県に27日夜から28日午前中にかけて線状降水帯が発生する可能性があると発表しました。\n【雨の予想】\n28日午後6時までに予想される24時間降水量（多い所）\n 九州北部・四国：250ミリ\n 九州南部：200ミリ\n 近畿：180ミリ\n 中国・東海：120ミリ\n 北陸：80ミリ\n\n29日午後6時までに予想される24時間降水量（多い所）\n 北陸：100ミリ\n 近畿・東海：80ミリ\n九州北部と山口では線状降水帯発生の可能性\n九州北部では、28日昼過ぎにかけて雷を伴った激しい雨や非常に激しい雨が降り、大雨となるおそれがあります。また、落雷や竜巻などの激しい突風のおそれもあるということです。山口県、福岡県、佐賀県、長崎県、熊本県、大分県では、27日夜から28日午前中にかけて、線状降水帯が発生して大雨災害発生の危険度が急激に高まる可能性があります。\n\n【雨の予想】\n28日午後6時までに予想される24時間降水量（多い所）\n 山口県：180ミリ\n 福岡県：250ミリ\n 佐賀県：250ミリ\n 長崎県：250ミリ\n 大分県：250ミリ\n 熊本県：250ミリ\n四国では28日未明～昼過ぎにかけ激しい雨の見込み\n四国では、28日にかけて断続的に雨が降るでしょう。太平洋側では28日明け方から昼過ぎにかけて、局地的に雷を伴って非常に激しい雨が降り、瀬戸内側でも28日未明から昼過ぎにかけて、激しい雨が降る見込みです。\n\n【28日午後6時までに予想される24時間降水量（多い所）】\n瀬戸内側 150ミリ \n太平洋側 250ミリ\n\n【29日午後6時までに予想される24時間降水量（多い所）】\n瀬戸内側 30ミリ\n太平洋側 50ミリ\n近畿では警報級大雨の可能性 24時間で180ミリ雨予想\n低気圧や前線に向かって暖かく湿った空気が流れ込むため、近畿地方では大気の状態が非常に不安定となり局地的に雷雲が発達するでしょう。前線の活動状況によっては、警報級の大雨となる可能性があります。近畿地方では28日明け方から夜遅くにかけて、局地的に雷を伴った激しい雨の降るおそれがあります。\n\n【28日に予想される1時間降水量（多い所）】\n 近畿北部：30ミリ\n 近畿中部：40ミリ\n 近畿南部：40ミリ\n\n【28日午後6時までに予想される24時間降水量（多い所）】\n近畿北部：100ミリ\n近畿中部：150ミリ\n近畿南部：180ミリ\n\n【29日午後6時までに予想される24時間降水量（多い所）】\n近畿中部：80ミリ\n近畿南部：80ミリ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00010016-mbsnews-000-2-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/9e02928716423a78e2f69f4e4c78ec3e016a0a19/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1255293?image=9']"
【起動】JR西日本ついに7月実装を発表　まさに”人機一体”の人型ロボットによる鉄道設備メンテナンスが実用化へ（MBSニュース）,https://news.yahoo.co.jp/articles/2a52b38e172fc55038c7d1142ee9d1f5f10c0270,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00010017-mbsnews-000-7-view.jpg?exp=10800,2024-06-27T20:05:25+09:00,2024-06-27T20:36:04+09:00,MBSニュース,mbsnews,MBSニュース,1588,\nMBSニュース\n社会全体で労働力が不足している中で、かねてからJR西日本などが開発を進めてきていた「人型ロボット」が、実際に営業する路線で、高所作業の鉄道設備メンテナンスを来月から実用化することが発表されました。\n【画像を見る】ロボットが棒を持ち、研究者の肩を叩けるか 人と融合する姿をアナが実証した\nまさにアニメで描かれた空想・未来の社会のようなロボットの姿。私たちはかつて、このロボットの開発途上の姿を取材していました。\nまさに“人機一体”の動き…「人型重機ロボット」の驚くべき性能\nMBSニュース\n滋賀県草津市にある「『人機一体』秘密基地」に、“人との融合が実現したロボット”がいました。\n\nロボット研究20年以上、「人機一体」の社長・金岡博士らが開発したのが『零式人機ver2．0』というロボットです。\n\nクレーン車の先端に搭載された巨大な人型重機ロボット『零式人機ver2．0』。左肩には「JR西日本」の文字があります。\n\n「こんな巨大なロボットだと思っていなかったのでビックリしました。ターミネーターみたい」（大吉洋平アナ）\n「頭の動きは、実際に操作している人間の頭の動きと連動しています」（開発者）\nまさに「一体感」\nロボットの操縦を特別に体験させていただきました。クレーン車の運転席は改造されてコックピットのようになっています。\n\nVRゴーグルを装着すると…。\n「うわ！自分がすごく巨大化したみたいな感覚になります」（大吉アナ）\n「特に下とか見ていただくと、自分がどれくらい高い場所にいるのかとか。あと、下を向くとロボットの体が見えていますよね」（開発者）\n\n恐る恐るロボットの腕につながる操縦桿を動かしてみます。\n\n「うわ！なんて表現したらいいんだろう。ほんの少し力を加えただけでロボットの腕が動いているんですけど、感覚としては本当に自分の腕みたい。機械を操縦しているというよりかは、自分の体の一部が動いている感覚」（大吉アナウンサー）\n\n この一体感こそ「零式人機」の強みです。操作に慣れればブロック同士をはめるような器用なこともできます。2本の大きなアームの間に人と同じ視線となる「頭」を設置することで、難しい操作は一切なしで誰でも直感的に操作できるのです。\n『人が苦役に従事しない、労災に遭うことがないような社会をつくりたい』\nこの操作性の高さに目を付けたJR西日本は、2024年の春に『零式人機ver2・0』を鉄道の架線点検などの高所作業に導入する準備を進めています。ロボットに代替させることで作業にかかる人員の数を約3割削減できるうえ、労災のリスクも減らせる可能性があります。\n\n （人機一体 金岡博士社長）「単純なコストだけを考えたら、普通に人に働かせておく方がたぶん安いです。でも、そこで労災が起きる、人の命が失われるということを考えれば、多少のコストはかけてもいいと思う。ロボットを導入して人が苦役（つらい肉体労働）に従事しない、労災の被害に遭うことがないような社会を作りたいと思っています。」\n\n「（Q人型ロボットの課題は？）基本的な技術はそろっていると思っています。なので、あとは作るだけなんですけれども、その作るところがハードルが高くて、時間・お金・人がかかる」\nいよいよ来月スタート\n来月から実用化されるにあたって、JR西日本は当面、架線支持物の塗装、支障樹木の伐採に使用する予定だということです。\n\nまた人と一体型のロボットを使うことで、作業に要する人手が3割減らせる効果や、転落・感電をふせぐ安全性の向上、性別や年齢によらず高所の重作業ができるメリットなどを挙げています。\n\n人とロボットの融合。まさに共に働くことが当たり前の社会になるかもしれません。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00010017-mbsnews-000-7-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00010017-mbsnews-001-7-view.jpg?pri=l&w=640&h=359&exp=10800']","['https://news.yahoo.co.jp/articles/2a52b38e172fc55038c7d1142ee9d1f5f10c0270/images/000', 'https://newsdig.tbs.co.jp/articles/-/68976?display=1', 'https://news.yahoo.co.jp/articles/2a52b38e172fc55038c7d1142ee9d1f5f10c0270/images/001']"
万博チケット『紙』でも販売へ　博覧会協会は紙チケット購入者にも“ウェブで日時指定の予約”を推奨（MBSニュース）,https://news.yahoo.co.jp/articles/5f988d7e8704816cec160911d8544a0e760cbf40,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058455-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T19:30:00+09:00,2024-06-27T19:30:00+09:00,MBSニュース,mbsnews,MBSニュース,671,\nMBSニュース\n来年の大阪・関西万博、紙でのチケット購入もできるようになります。\n\n 来年の万博では、来場者の混雑を調整することなどを目的に入場チケットはインターネットでのみ購入できました。一方で、購入手続きが複雑だという指摘もありました。\n\n こうした中、博覧会協会は６月２７日の理事会で、スマートフォンの操作に慣れない人や気軽にチケットを買いたい人のため、今年１０月ごろから全国のコンビニや旅行会社などで紙のチケットを販売することを決めました。\n\n 一方、協会は紙チケットの購入者にもウェブで日時指定の予約を行うことを推奨しています。\n\n （博覧会協会 石毛博行事務総長）「この万博の大きな狙いは、ＩＴに親しむことは大きなレガシーなんですね。（紙チケットにより）それを習得する機会を失うのは非常に残念です。紙チケットはプレゼントをする場合は有効なやり方」\n\n 協会によりますと、紙のチケット販売に伴い販売システムの導入やコンビニの販売手数料などで２０億円あまりのコストが新たに必要になるということです。\n\n また、２７日の理事会では建設の遅れが指摘されている海外パビリオンをめぐる議論も。簡易型のパビリオン「タイプＸ」をめぐっては、協会は現在、９棟分の建設を進めていますが、現時点で選択した国は３か国にとどまっています。\n\n 「タイプＸ」の建物が使われなかった場合、休憩所などに転用したり、空き地に新たな設備を設けたりするために、最大で７６億円を協会が負担する可能性があるとしています。\nMBSニュース,[],[]
有名人かたる『なりすまし広告』で詐欺被害を訴え…メタの日本法人は請求棄却を求める　原告側は新たに「メタ本社」に賠償を求める訴え（MBSニュース）,https://news.yahoo.co.jp/articles/7a994445502a7c79c30355731bd23087ab99986e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058454-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T19:30:00+09:00,2024-06-27T19:30:00+09:00,MBSニュース,mbsnews,MBSニュース,406,\nMBSニュース\n有名人をかたる「なりすまし広告」、メタの日本法人が請求棄却を求めました。\n\n 神戸市などに住む男女４人は今年４月、フェイスブックなどで前澤友作さんらをかたったなりすまし広告を閲覧し投資詐欺にあったとして、運営する「メタの日本法人」に約２３００万円の損害賠償を求める訴えを起こしました。\n\n 原告側は「広告の真実性を確認する義務に違反した」などと訴えていますが、原告の代理人弁護士によりますと、メタの日本法人は６月２７日の初弁論で「フェイスブックなどはメタの本社が管理している」などと主張。確認する義務は負っていないと反論し請求の棄却を求めました。\n\n 原告側は…\n\n （原告代理人 国府泰道弁護士）「日本の子会社、現地法人がなんら責任もないというのはやっぱりおかしい」\n\n 原告側は６月２５日、メタ本社に賠償を求める訴えを新たに起こしたということです。\nMBSニュース,[],[]
逮捕の元検事正は在任中に官舎で性的暴行した疑い　被害者は当時の部下で酒に酔った状態だったか（MBSニュース）,https://news.yahoo.co.jp/articles/16457e5bcb3af682e7b44cd2a7749710862502bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058456-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T19:30:00+09:00,2024-06-27T19:30:00+09:00,MBSニュース,mbsnews,MBSニュース,347,\nMBSニュース\n大阪地検の元トップは官舎で犯行に及んでいたとみられます。\n\n 大阪地検の元検事正で弁護士の北川健太郎容疑者（６４）は、抵抗できない状態の女性に対し、性的暴行を加えたとして６月２５日、準強制性交の疑いで逮捕されました。\n\n 逮捕した大阪高検は北川容疑者の認否や詳しい容疑の内容について「被害者のプライバシーを考慮し差し控える」として公表していませんが、関係者によりますと、北川容疑者は、検事正だった２０１８年から約２年の間に官舎の中で犯行に及んだ疑いがあり、また、被害を訴えている女性は北川容疑者の当時の部下で事件当時、酒に酔った状態だったとみられるということです。\n\n 大阪高検は「適正に捜査を遂げたうえで最終処分を検討したい」としています。\nMBSニュース,[],[]
【ふるさと納税】仲介サイトの“独自ポイント”来年１０月から禁止へ　街の声「残念だなと」「もともとお得なイメージ…ポイントなくなっても利用する」（MBSニュース）,https://news.yahoo.co.jp/articles/9022776677a547a2aa55f1e5b000792da5de895b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240627-00058445-mbsnewsv-000-1-thumb.jpg?exp=10800,2024-06-27T18:20:00+09:00,2024-06-27T18:20:00+09:00,MBSニュース,mbsnews,MBSニュース,591,\nMBSニュース\nいまや寄付件数約５１８４万件、寄付総額約９６５４億円と１兆円に迫る勢いの「ふるさと納税」。しかし総務省が“待った”をかけました。\n\n （松本剛明総務大臣）「地方自治体が寄付者を集めるための手段として、ポイント等を付与するポータルサイト事業者等を通じて寄付を募集することを禁止することといたします」\n\n ６月２５日、総務省が発表したふるさと納税制度のルールの見直し。来年１０月から寄付した人に独自のポイント付与を行う仲介サイトを通した寄付の募集が禁止に。背景にあるのは仲介サイトの間で過熱する利用者の獲得競争です。\n\n 仲介サイトを通して寄付をした場合、自治体の返礼品とは別に仲介サイトから独自のポイントが付与されます。このポイント付与を特典にするなどして仲介サイトは利用者の獲得を目指してきました。しかし、ポイントの原資は自治体が負担する形になっているとみられ、総務省は自治体がサイトに支払う経費を抑え、その分ふるさと納税の本来の趣旨である自治体内での利用を促したい考えです。\n\n 街の人からはこのような声が聞かれました。\n\n 「ありがたみみたいなものがなくなっちゃうのは残念だなと。（ポイントの存在は）大きいですね」\n 「もともとお得にもらっていたイメージがあったので、ポイントがなくなっても利用するかなとは思います」\nMBSニュース,[],[]
