headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
アーチェリー古川　金メダルへ闘志／近大で公開練習（Web東奥）,https://news.yahoo.co.jp/articles/17b294893fe5b8b956cce0c96c4c28511f2f1a65,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000010-webtoo-000-1-view.jpg?exp=10800,2024-07-03T21:30:00+09:00,2024-07-03T21:30:00+09:00,Web東奥,webtoo,Web東奥,640,\n公開練習を行う古川。初の五輪金メダル獲得を目指す＝3日、奈良県生駒市\nパリ五輪アーチェリー日本代表の古川高晴（39）＝青森市出身、青森東－近大出、近大職＝ら近大出身3選手が3日、奈良県生駒市の同大総合グラウンド洋弓場で公開練習を行った。6大会連続五輪出場の古川は「金メダルを取るための練習をしてきた。焦らずに調整をして頑張りたい」と闘志を燃やした。\n\n 2012年ロンドン大会の個人で銀、21年東京大会では個人、団体ともに銅メダルを獲得。東京大会後は金メダル獲得を目指してフォーム改造に取り組んだ。パリ大会が目前に迫り「長い時間がかかったが、最終段階に入って良くなってきている。自分のフォームの理解がすごくできるようになった」と充実感を漂わせた。\n\n 6月にトルコで行われたワールドカップ第3戦では、混合リカーブ決勝で強豪韓国ペアを破り優勝。全日本社会人選手権では準優勝し「調子は上がってきている。韓国選手にも勝てるという自信になった」と手応えは十分。学生時代から古川を指導する近大洋弓部の山田秀明監督は「パリでけがなく、思う存分に自分のパフォーマンスをしてほしい」と願った。\n\n この日は男子団体でチームを組む中西絢哉（24）＝シーアール物流＝と、女子個人の野田紗月（24）＝ミキハウス＝とともに練習を公開した。古川は今後も同洋弓場で調整を重ね、16日から東京で合宿を行い、20日にパリに向け出発する予定。パリ五輪アーチェリーは7月25日～8月4日に行われる。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000010-webtoo-000-1-view.jpg?pri=l&w=425&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/17b294893fe5b8b956cce0c96c4c28511f2f1a65/images/000']
松木落選「移籍が理由」／山本ダイレクター（Web東奥）,https://news.yahoo.co.jp/articles/26b469c8cf7e20b24e2f6728acbac8ea7fba378a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-07-03T14:56:00+09:00,2024-07-03T14:56:00+09:00,Web東奥,webtoo,Web東奥,140,\n日本サッカー協会の山本昌邦ナショナルチームダイレクターは3日、パリ五輪に臨むU－23（23歳以下）日本代表のメンバーから落選したMF松木玖生（21）＝青森山田高出、FC東京＝について、「移籍の可能性がある。そんな中で確実に五輪の期間に招集できる確約が取れなかった」と説明した。,[],[]
松木（山田高出）選ばれず／パリ五輪サッカー代表（Web東奥）,https://news.yahoo.co.jp/articles/af051084fa6e6e50c38b114f971013b6e5a279ac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-07-03T14:13:00+09:00,2024-07-03T14:13:00+09:00,Web東奥,webtoo,Web東奥,81,\n日本サッカー協会（JFA）は3日、パリ五輪に臨むU－23日本代表のメンバーを発表した。松木玖生（21）＝北海道出身、青森山田高出、FC東京＝は選ばれなかった。,[],[]
列車内に不審物、業務妨害で八戸の男逮捕（Web東奥）,https://news.yahoo.co.jp/articles/15a7782d2ba8b1a92bdc7a66a4ff5d4000c11519,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-07-03T22:47:00+09:00,2024-07-03T22:47:00+09:00,Web東奥,webtoo,Web東奥,443,\n青森市の青森駅で6月、停車中の青い森鉄道の列車内で不審物が見つかり一部列車が運休した騒ぎで、青森署と県警捜査支援分析課、県警機動捜査隊は3日、不審物を置き去ったとして業務妨害の疑いで、八戸市長根2丁目、無職の男（48）を逮捕した。容疑を認めている。\n\n 逮捕容疑は6月14日、青森駅に停車中だった同社の列車内の網棚に、ポリ袋に入った不審な段ボール（縦約40センチ、幅約30センチ、高さ約20センチ）を置き去り、午前9時40分ごろから午後1時20分ごろまでの間、ホームへの立ち入り規制や列車の運休など、同社職員らの業務を妨害した疑い。\n\n 県警地域課によると、不審物が置かれたのは八戸発青森行きの下り普通列車（2両編成）。午前9時39分に青森駅に到着後、同社職員が発見した。県警機動隊の爆発物対策部隊が開封して中身を確認。同署は具体的な中身を明らかにしていないが、「不燃性の財産価値のないもの」としている。\n\n 同社経営戦略部によると、男との間にトラブルは認知していない。,[],[]
「避難道整備は」／中間貯蔵、地元むつで説明会（Web東奥）,https://news.yahoo.co.jp/articles/8f407f9050787e12f81128300d4203c9cc053e83,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000009-webtoo-000-2-view.jpg?exp=10800,2024-07-03T19:57:00+09:00,2024-07-03T21:47:29+09:00,Web東奥,webtoo,Web東奥,836,\n（写真：東奥日報社）\n使用済み核燃料中間貯蔵施設の安全協定案を巡る県民説明会が3日、立地する青森県むつ市のプラザホテルむつで開かれた。質疑では貯蔵事業や核燃料サイクル政策への意見に加え、避難道路の整備や防災訓練、地元雇用といった地域に即した質問も出た。核燃料を最長50年間保管した後の搬出先が不明確との声も相次ぎ、「最終処分地にならないと約束できるのか」との懸念も上がった。\n\n 県と市が共催。2日の青森市会場と同様、意見や質問は説明会中に参加者から書面で募った上で、約60問、質疑を交わした。\n\n 9月末までの事業開始が見込まれるが、参加者の1人は「避難道の整備が先ではないか」と指摘。県幹部は、国や事業者を交えた原子力共創会議で今秋に定める工程表を念頭に、「（整備を）これからどのように進めるかの姿が一定程度、示される」との見通しを述べた。\n\n 「防災訓練を計画的に行う予定は」「事業開始すれば地元から何人雇用するのか」との質問も出た。長期に及ぶ事業のため、資源エネルギー庁に「将来の人口減少をどう予測するか」と投げかける参加者もいた。\n\n 協定案については、搬出先や貯蔵量を「記載すべき」との意見が出た。搬出先が決まらず最終処分地になってしまうことへの懸念に対し、エネ庁は「事業者と一体となって国内の再処理工場竣工（しゅんこう）を含めてしっかり対応したい」と答えた。\n\n 県によると、オンライン視聴を除く参加者は約110人。一般参加者のほか、市議数人や自治体関係者も会場内の一般席で説明に耳を傾けていた。\n\n むつ市の運転手加藤勉さん（64）は終了後の取材に「下北半島、むつ市の人たちが安心して暮らせる状況にしてもらいたい」と話した。\n\n 山本知也市長は「予定時間を1時間超過したが、市民の意見をしっかりと聞けた。（説明会で）中心となったのは50年先についての議論だったと思うので、県と連携しながら今後の対応を検討したい」と語った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000009-webtoo-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/8f407f9050787e12f81128300d4203c9cc053e83/images/000']
青森県出身の楽天チアリーダー・NARUさん、地元開催1軍戦で凱旋ダンス　「来年も弘前で」（Web東奥）,https://news.yahoo.co.jp/articles/8335863cfaa2161c2fcae1693484e39885de94e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000003-webtoo-000-1-view.jpg?exp=10800,2024-07-03T11:27:00+09:00,2024-07-03T11:27:00+09:00,Web東奥,webtoo,Web東奥,465,\n試合開始前のパフォーマンスで会場を盛り上げるNARUさん（手前）\n楽天のチアリーダー「東北ゴールデンエンジェルス」に今年から所属するNARUさん（青森県黒石市出身）が2日、弘前市のはるか夢球場で行われたプロ野球1軍戦・楽天─オリックスで凱旋（がいせん）パフォーマンスを行った。\n\n NARUさんは小学1年の頃からダンスやよさこいダンスに親しみ、ダンス歴約20年。中学卒業後は弘前市内の高校のチアリーディング部に入り、応援に汗を流した。\n\n 県内の大学を卒業し一般企業に就職したが、小学1年時に見たエンジェルスのパフォーマンスが忘れられず入団を決意。昨年12月に行われたオーディションに合格し、憧れのメンバー入りを果たした。\n\n NARUさんは試合開始前、西日を浴びながら一塁ベンチ側から勢いよく飛び出した。軽快な音楽に合わせ、体を大きく使ったダンスで会場に詰めかけた地元ファンを盛り上げた。\n\n パフォーマンス後「初めは緊張したけど、温かな雰囲気を感じて伸び伸び踊れた。来年も弘前で踊りたい」と笑顔で語った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000003-webtoo-000-1-view.jpg?pri=l&w=568&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/8335863cfaa2161c2fcae1693484e39885de94e7/images/000']
国歌斉唱のりんご娘「緊張した」　青森・弘前市開催の楽天－オリックス戦　自己採点は「80点」（Web東奥）,https://news.yahoo.co.jp/articles/8e97b1fb9d9df8eee50c30e1cf3a93b3c8ca44cd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000002-webtoo-000-1-view.jpg?exp=10800,2024-07-03T11:21:00+09:00,2024-07-03T11:21:00+09:00,Web東奥,webtoo,Web東奥,339,\n試合前に国歌を斉唱する「りんご娘」\n青森県弘前市のはるか夢球場で、2日行われたプロ野球1軍戦・楽天─オリックス。同市を拠点に活動するアイドルグループ・りんご娘のメンバーが、試合前の国歌斉唱で柔らかくも芯のある歌声をはるか夢球場に響かせた。\n\n 現在のメンバーにとって国歌斉唱は初めて。普段からライブなど大勢の人の前でパフォーマンスする4人だが、リーダーのピンクレディさんは「周りが見えなくなるくらい緊張した」。それでも、スケジュールの合間を縫って行った練習を信じて歌い上げると、球場を埋めた観客から盛んな拍手を受けた。\n\n 大役を成し遂げた4人の自己採点は控えめの80点で、金星さんは「反省点はある」と話す。同球場での1万人ライブ実現を夢見てさらなる飛躍を誓った。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000002-webtoo-000-1-view.jpg?pri=l&w=640&h=503&exp=10800'],['https://news.yahoo.co.jp/articles/8e97b1fb9d9df8eee50c30e1cf3a93b3c8ca44cd/images/000']
新紙幣、青森県内へ発送／日銀支店（Web東奥）,https://news.yahoo.co.jp/articles/6fbe33d66813bce0a5abe3c7b66082baca707d33,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000001-webtoo-000-1-view.jpg?exp=10800,2024-07-03T10:31:00+09:00,2024-07-03T10:31:00+09:00,Web東奥,webtoo,Web東奥,593,\n発行が始まった新1万円札のブロック＝3日午前8時53分、日銀青森支店\n新しい紙幣の発行が3日、始まった。青森県内でも、日本銀行青森支店から各金融機関への引き渡しがスタート。各機関は、4日以降に始まる県内窓口での取り扱いに向け、準備に取りかかった。\n\n 日銀青森支店には3日午前8時過ぎから、各金融機関の現金輸送車が到着し、職員が真新しい紙幣のブロックを慎重に車両へと積み込んだ。同日は、日銀青森支店から県内に140億円分の新紙幣を引き渡す。\n\n 紙幣の刷新は、2004年以来20年ぶり。偽造を防ぐため、新しい技術を加えデザインを一新した。肖像画は、1万円札が実業家の渋沢栄一、5千円札が教育家の津田梅子、千円札が微生物学者の北里柴三郎。渋沢栄一は三本木原への渋沢農場開設や、青森銀行の前身「第五十九国立銀行」の創業・発展に尽力し、北里柴三郎は十和田市に獣医学部キャンパスがある北里大学が学祖と仰ぐなど、青森県とのゆかりがある。\n\n 日銀青森支店の益田清和支店長は「県民の皆さまには、肖像画に採用された青森県ゆかりの人物の業績に思いをはせながら、親しみを持って新しい銀行券を使っていただければ」と話した。\n\n 新紙幣発行後も、従来の紙幣は引き続き使用できる。金融機関は、「従来の紙幣が使えなくなる」など誤った情報をかたる詐欺行為に遭わないよう、注意を呼びかけている。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000001-webtoo-000-1-view.jpg?pri=l&w=603&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/6fbe33d66813bce0a5abe3c7b66082baca707d33/images/000']
「AIで社会変わっても、活用するのは人」　楽天G・三木谷会長、弘前大で講演（Web東奥）,https://news.yahoo.co.jp/articles/df2e578cc0069d4e233843593d4898721b4750d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000006-webtoo-000-1-view.jpg?exp=10800,2024-07-03T11:16:00+09:00,2024-07-03T11:16:00+09:00,Web東奥,webtoo,Web東奥,674,\n「新しい社会を切り開いていくためには志が大切」と語る三木谷氏＝2日午後、弘前市の弘大医学部基礎大講堂\n弘前大学は2日、楽天グループ会長の三木谷浩史氏（59）を招き、青森県弘前市の同大医学部で医学生を対象にした特別講演会を開いた。三木谷氏は「AI（人工知能）によって社会は変わるが、AIを活用するのは人」と強調。急速に社会が変化する時代にあって、一人一人が考え、行動する重要性を語った。\n\n 講演会には医学科4年生ら約270人が参加した。神戸市出身の三木谷氏は1995年の阪神大震災を経験。「人生は一度。何かを成し遂げなければ」「日本を元気にしたい」との思いで97年、ネット上のショッピングモール「楽天市場」をスタートさせた経緯を説明。低額の携帯電話事業などの取り組みを紹介した上で、同社の強みとして「蓄積されたデータ」「AI技術」を挙げ、「人材がいなければ未来はない。イノベーションを通して社会を発展させたい」と述べた。\n\n 学生の質問に対し「組織や物事を動かすには、大義や錦の御旗が大切」と強調。さらに「いろいろなことにチャレンジして、いろんな人と（アイデアを出し合う）『ブレインストーミング』を行うことで感覚が研ぎ澄まされる」と話した。\n\n 三木谷氏は講演に先立ち、福田眞作学長、石橋恭之医学部長、袴田健一弘大病院長らと意見交換。楽天メディカル会長の立場から、同社が取り組むがんの光免疫療法について弘大病院と連携する方向性を確認した。\n\n 三木谷氏は同日、はるか夢球場で行われたプロ野球1軍戦・楽天－オリックスを観戦した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000006-webtoo-000-1-view.jpg?pri=l&w=488&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/df2e578cc0069d4e233843593d4898721b4750d6/images/000']
裂果被害や高温影響　青森・南部町のさくらんぼ狩り、7日に終了前倒し（Web東奥）,https://news.yahoo.co.jp/articles/be2a6c6f4d52a04a9758368d146436961a9a0f13,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000005-webtoo-000-1-view.jpg?exp=10800,2024-07-03T09:00:00+09:00,2024-07-03T09:00:00+09:00,Web東奥,webtoo,Web東奥,436,\n（写真：東奥日報社）\n青森県南部町は2日、「町さくらんぼ狩り」期間（6月20日～7月15日）を当初の予定から8日間短縮し、7日で終了すると発表した。6月上旬の低温や濃霧の影響で実が割れる「裂果」の被害が相次いだ上に、中旬以降の高温により、全ての品種で生育・熟期が早まったことが要因。\n\n 町名川観光さくらんぼ園振興会（工藤司会長）が5月27日に各園地を調査した結果、作柄は全体的に平年並みだったが、その後裂果が発生。多い園地では5割以上の実が割れる被害があった。この影響で町さくらんぼ狩りは21観光農園中12カ所だけで開園した。\n\n 各農家は園地管理の徹底などで観光客に対応してきたが、最終日まで開園する余力のある農園がわずかとなったため、同振興会役員らが慎重に協議した結果、会期短縮を決めた。\n\n ただ、町さくらんぼ狩り終了後でも独自に開園可能な園地があるため、「ながわ農業観光案内所」（電話0178-76-3020）で開園情報の問い合わせに対応する。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000005-webtoo-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/be2a6c6f4d52a04a9758368d146436961a9a0f13/images/000']
日本版ライドシェア、青森県内初の事業許可　成長タクシー（青森市） 「開始時期は流動的」（Web東奥）,https://news.yahoo.co.jp/articles/7305d02bc104629dc3cf558eab973244caed05d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000004-webtoo-000-2-view.jpg?exp=10800,2024-07-03T09:00:00+09:00,2024-07-03T14:55:28+09:00,Web東奥,webtoo,Web東奥,552,\n（写真：東奥日報社）\n一般ドライバーが自家用車を使い有料で乗客を運ぶ「日本版ライドシェア」で、東北運輸局青森運輸支局は2日、青森市の成長タクシーに対し、自家用自動車有償運送（自家用車活用事業）を許可した。日本版ライドシェアの事業許可は県内初。同社は7月中の運行開始を目標としていたが、利用者が車両を呼ぶ際に使う配車アプリの調整が遅れており、開始時期は流動的となっている。\n\n 同運輸支局は成長タクシーからの申請を受け、ライドシェアの運行管理体制やドライバーの教育方法を確認し許可した。\n\n 同社は青森ねぶた祭がある繁忙期の8月を見据え、7月中に運行を始めるとしていた。ただ、配車アプリの運営会社側の調整が遅れ、準備が整っていないという。\n\n 成田康太郎社長は「インバウンド（訪日客）の利用を確かめるため、祭り期間に間に合わせたいが、状況は流動的」と語った。\n\n 日本版ライドシェアは、タクシー会社の管理下で一般ドライバーが客を運ぶ仕組みで、国が地域ごとにタクシーが不足している曜日と時間帯を限定して導入を認めている。成長タクシーが運行するのは青森交通圏（浪岡地区を除く青森市と蓬田村、平内町）で、運行時間は金曜と土曜の午後4時から翌日午前5時まで。使用可能車両数は6台となっている。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240703-00000004-webtoo-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/7305d02bc104629dc3cf558eab973244caed05d6/images/000']
