headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
中日・斎藤綱記、満塁背負うも得意のスライダーでピンチ脱出「集中力を持って投げることができた」（中日スポーツ）,https://news.yahoo.co.jp/articles/7eda154c0fa58a6284cb036493da24a634d1cf39,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000112-chuspo-000-2-view.jpg?exp=10800,2024-07-09T23:22:29+09:00,2024-07-09T23:24:18+09:00,中日スポーツ,chuspo,中日スポーツ,252,\n８回から登板した斎藤\n◇9日 DeNA6x―5中日（横浜スタジアム）＝延長11回\n\n 中日の斎藤綱記投手がピンチを耐え抜いた。同点の8回に5番手で登板。1死からDeNAの山本に中前打を浴びると、続く大和の打席時に暴投で得点圏に走者を進め、さらに内野安打で1死一、二塁に。2死後に1番・桑原に四球を与えて満塁としたが、度会を追い込んでから得意のスライダーで空振り三振に仕留めた。\n\n 「スライダーがしっかり決まった。集中力を持ってしっかり投げることができました」と振り返った。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000112-chuspo-000-2-view.jpg?pri=l&w=618&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/7eda154c0fa58a6284cb036493da24a634d1cf39/images/000']
DeNA・オースティン、チームを巨人と並ぶ『40勝』へ導く千金弾　「前の打席で打ち損じ…今度こそという気持ち」（中日スポーツ）,https://news.yahoo.co.jp/articles/6e8849c7440c4714c7e6092bf9aadb9e078a7d42,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000109-chuspo-000-2-view.jpg?exp=10800,2024-07-09T23:15:12+09:00,2024-07-09T23:17:28+09:00,中日スポーツ,chuspo,中日スポーツ,439,\nサヨナラ本塁打を放つＤｅＮＡ・オースティン\n◇９日 ＤｅＮＡ６ｘ―５中日（横浜スタジアム）＝延長１１回\n\n ＤｅＮＡのオースティン・タイラー内野手が会心の一発で延長１１回の死闘にピリオドを打った。５―５で迎えた２死走者なしの場面で中日の７番手で登板したフェリスの初球を捉え、バックスクリーン右へ劇的なサヨナラ１０号ソロを放った。これでチームを巨人に並ぶ「４０勝」に導いた。\n\n 「いい投手なので一振りで仕留めようと思っていた。前の打席で打ち損じていたので今度こそという気持ち」。７日の阪神戦（甲子園）では４点リードを追いつかれてサヨナラ負けを喫したが、この日は自身の千金弾で暗雲を一掃。リーグ４位ながら首位巨人とは１ゲーム差と肉薄した。\n\n この日入団会見した新外国人フォードはヤンキースのマイナー時代からの友人で一塁を争うことになる。「ライバルとは思っていない。オフには一緒に打撃練習をする仲。来てくれてよかった」。一緒に優勝に導くつもりだ。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000109-chuspo-000-2-view.jpg?pri=l&w=640&h=523&exp=10800'],['https://news.yahoo.co.jp/articles/6e8849c7440c4714c7e6092bf9aadb9e078a7d42/images/000']
中日・立浪監督、「まずい攻めで相手に流れが」龍空のけん制アウトに「きのうきょう出た選手ではない」（中日スポーツ）,https://news.yahoo.co.jp/articles/cc4d5621642664f5c0260bf77edc53537f80ec44,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000110-chuspo-000-2-view.jpg?exp=10800,2024-07-09T23:19:37+09:00,2024-07-09T23:20:48+09:00,中日スポーツ,chuspo,中日スポーツ,446,\n11回表、高橋周が二盗に失敗し、険しい表情の立浪監督（左）\n◇9日 DeNA6x―5中日（横浜スタジアム）＝延長11回\n\n 中日は延長11回の死闘の末、DeNAのオースティンにサヨナラ弾を打たれて競り負けた。立浪和義監督も試合後に悔しさをにじませた。\n\n―延長11回にオースティンのサヨナラ弾で連勝が3でストップ。11回の攻撃では走塁ミスも出た\n\n 「まずい攻めがあったので、いつか相手に流れがいってしまう。4点差を追いついたのは良かった部分だけど越せるところで越せなかったし。ピッチャーも踏ん張ってくれたけど、最後（にオースティンに）初球を打たれたのももったいないし、反省点がたくさん出た。われわれもしっかり反省していかないといけない」\n\n―11回の攻撃では無死二塁から二走の龍空が飛び出してアウトに\n\n 「久しぶりにヒット打ったから良いスタート切りたいのは分かるけど、きのうきょう出た選手ではない。そういう判断できるように練習させていきたいです」\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000110-chuspo-000-2-view.jpg?pri=l&w=640&h=451&exp=10800'],['https://news.yahoo.co.jp/articles/cc4d5621642664f5c0260bf77edc53537f80ec44/images/000']
【中日】サヨナラ負けの竜党、10日先発の『松木平優太』に熱視線　「頼んだぞ」「死ぬ気で応援する」（中日スポーツ）,https://news.yahoo.co.jp/articles/8b9045c6060d32aea03827b606947ae91bd0aa74,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000111-chuspo-000-2-view.jpg?exp=10800,2024-07-09T23:19:59+09:00,2024-07-09T23:22:17+09:00,中日スポーツ,chuspo,中日スポーツ,489,\n記者会見後に立浪監督（左）と記念撮影する松木平\n９日のＤｅＮＡ戦は延長１１回にサヨナラ負けを喫した中日。だが、竜党はウエスタン・リーグトップの９勝を挙げて支配下選手登録を勝ち取り、１０日の試合での予告先発が発表された松木平優太投手（２１）のデビュー戦に大きな期待を寄せている。\n\n 大阪・精華高から育成育成ドラフト３位で２０２１年に入団、８日に背番号６９、年俸４２０万円（金額は推定）で支配下選手となったことが発表されたばかり。９日の試合前でもＸ（旧ツイッター）ではグラウンドで高橋宏斗投手と話す姿に「宏斗くんがずーっと松木平くんの側に居て、色々と教えてあげてるんだね」との投稿も寄せられた。\n\n ネット上では右腕への期待が高まる。「いい流れで託したかったけど…明日は、松木平、頼んだぞ！」「明日は松木平くんの元気いっぱいのピッチングが楽しみです。切り替えていきましょう！」「ドラゴンズファンは全員味方だから思い切って投げて欲しい」「流れを戻してくれ松木平。死ぬ気で応援するから、打線も松木平を初回から援護してやってくれ」などと激励の声が相次いだ。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000111-chuspo-000-2-view.jpg?pri=l&w=640&h=470&exp=10800'],['https://news.yahoo.co.jp/articles/8b9045c6060d32aea03827b606947ae91bd0aa74/images/000']
巨人・阿部監督、選手に「記者に『鬼門だ』って言われるから勝とう」　有言実行のマツダスタジアム今季初勝利（中日スポーツ）,https://news.yahoo.co.jp/articles/e10b99a65b29c102e783e5f98c589bd153f46a6e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000108-chuspo-000-2-view.jpg?exp=10800,2024-07-09T23:02:26+09:00,2024-07-09T23:06:16+09:00,中日スポーツ,chuspo,中日スポーツ,259,\n巨人・阿部監督\n◇９日 広島３―５巨人（マツダスタジアム）\n\n 巨人がマツダスタジアムで今季初勝利を挙げ、阿部慎之助監督は、試合前にナインにかけた言葉を明かした。\n\n 「ミーティングで言ったんだよ。記者に『鬼門だ』って言われるから、いいかげん、勝とうって」。有言実行で勝ち、表情は心なしか和らいでいた。ただ、これで満足などしない。「明日勝ってね、必ず勝って東京へ戻りたいなと思います」。マツダでは２０２１年１０月から足かけ４年、１１カード連続で負け越し中。勝ち越して「鬼門」を封じ込める。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000108-chuspo-000-2-view.jpg?pri=l&w=640&h=561&exp=10800'],['https://news.yahoo.co.jp/articles/e10b99a65b29c102e783e5f98c589bd153f46a6e/images/000']
中日ドラ5・土生翔太、再昇格後初マウンドは1イニング無失点　地元・横浜で初登板「とても楽しかった」（中日スポーツ）,https://news.yahoo.co.jp/articles/77e0a4f347e22e7d31ec9127837f2937d1990be3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000106-chuspo-000-2-view.jpg?exp=10800,2024-07-09T22:55:53+09:00,2024-07-09T22:57:17+09:00,中日スポーツ,chuspo,中日スポーツ,257,\n土生\n◇９日 ＤｅＮＡ６ｘ―５中日（横浜スタジアム）＝延長１１回\n\n 中日のドラフト５位ルーキーの土生翔太投手が１軍再昇格後初のマウンドで１イニングを無失点に抑えた。４点を追う５回に先発・小笠原に代わって登板。先頭の桑原に四球を与えるも、続く度会は遊飛。オースティンは初球の直球で遊併殺打に切り抜けた。１軍では５月１０日の広島戦（マツダ）以来、約２カ月ぶりの登板。地元・横浜では初登板となり「地元で投げられてとても楽しかったです。先頭打者へのフォアボールは次回への反省です」と前を向いた。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000106-chuspo-000-2-view.jpg?pri=l&w=566&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/77e0a4f347e22e7d31ec9127837f2937d1990be3/images/000']
中日・カリステ、今季18度目のマルチ安打に犠飛　７回の満塁好機は無念の併殺（中日スポーツ）,https://news.yahoo.co.jp/articles/12e381f7c9e2ac2e030a9f640dddcbad6eca44c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000107-chuspo-000-2-view.jpg?exp=10800,2024-07-09T23:01:46+09:00,2024-07-09T23:05:30+09:00,中日スポーツ,chuspo,中日スポーツ,297,\n４回表１死一、二塁、中前打を放つカリステ\n◇9日 DeNA6x―5中日（横浜スタジアム）＝延長11回\n\n 中日のオルランド・カリステのバットが好調だ。「5番・中堅」で出場し、2回1死で先発・石田裕から三塁への内野安打を放つと、4回1死一、二塁では中前へはじき返して今季18度目のマルチ安打をマークした。\n\n 4点を追う6回1死一、三塁では石田裕の145キロを振り抜き、反撃ののろしを上げる右翼への犠飛。「チャンスだったから何とかランナーを返そうと打席に入った」。しかし、同点に追い付いた直後の7回1死満塁では遊ゴロ併殺打に倒れ、チームの勝ち越しに貢献できなかった。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000107-chuspo-000-2-view.jpg?pri=l&w=640&h=600&exp=10800'],['https://news.yahoo.co.jp/articles/12e381f7c9e2ac2e030a9f640dddcbad6eca44c6/images/000']
中日・小笠原慎之介、今季最短４イニングKO　２被弾に「ふがいないピッチング」中継ぎ陣への責任痛感（中日スポーツ）,https://news.yahoo.co.jp/articles/b0988ebab3547c1fbac0890087a8451eefd92d42,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000104-chuspo-000-2-view.jpg?exp=10800,2024-07-09T22:48:07+09:00,2024-07-09T22:49:27+09:00,中日スポーツ,chuspo,中日スポーツ,460,\n4回、DeNA・山本に本塁打を浴びた小笠原\n◇9日 DeNA6x―5中日（横浜スタジアム）＝延長11回\n\n 打球の行方を見つめ、マウンド上で立ち尽くした。中日の左腕・小笠原慎之介投手は今季最短の4イニングで降板。2本の本塁打を浴びて4失点KOに終わった。味方がその後に同点に追いついて自身の負けは消えたが、先発としての役目は果たせなかった。\n\n 「ふがいないピッチングでした」。2回は牧の内野安打と宮崎の左前打で無死一、二塁とされ、佐野に3球目の143キロ直球を完璧に捉えられた。打球はライナーで右翼席に飛び込む4号3ランとなり先制を許した。\n\n さらに、4回1死では山本に初球の直球を振り抜かれ、左翼席最前列に飛び込むソロ本塁打を献上。直後の攻撃で代打・宇佐見が送られ、この回限りで降板した。\n\n 交流戦明けから3週連続となる屋外でのマウンド。この日は直球が思うように走らなかったが、「そういうときこそ抑えないといけない」。早い回から中継ぎ陣をつぎ込む結果を招いた責任を痛感した。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000104-chuspo-000-2-view.jpg?pri=l&w=583&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/b0988ebab3547c1fbac0890087a8451eefd92d42/images/000']
ヤクルト、サヨナラ負けで5連敗…借金はワーストタイ『11』　四球絡んだピンチから2点献上に高津監督「非常に痛い」（中日スポーツ）,https://news.yahoo.co.jp/articles/a82df6f1846729ac1ad002221d7ef98544cf49b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000103-chuspo-000-2-view.jpg?exp=10800,2024-07-09T22:42:40+09:00,2024-07-09T22:44:44+09:00,中日スポーツ,chuspo,中日スポーツ,256,\nヤクルト・高津監督\n◇９日 阪神２ｘ―１ヤクルト（甲子園）\n\n あっけない幕切れだった。ヤクルトは阪神相手に逆転サヨナラ負け。９回から登板した田口が四球に味方の失策も絡んで２死満塁のピンチを背負い、近本に痛恨の２点打を献上。虎の子の１点を守り切れなかった。田口は１死から与えた四球を「もったいなかった」と反省。高津監督も「ああいうところでフォアボールを出すのは非常に痛いですね。自分から傷口をつくっているので」と指摘した。チームは今季３度目の５連敗で借金はワーストタイの１１に膨らんだ。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000103-chuspo-000-2-view.jpg?pri=l&w=640&h=500&exp=10800'],['https://news.yahoo.co.jp/articles/a82df6f1846729ac1ad002221d7ef98544cf49b1/images/000']
中日・岡林勇希、5月18日以来の適時打　スタメン復帰から4試合連続安打（中日スポーツ）,https://news.yahoo.co.jp/articles/f142edddb381ab7abd43711553e639ef1309231e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000105-chuspo-000-2-view.jpg?exp=10800,2024-07-09T22:50:51+09:00,2024-07-09T22:52:44+09:00,中日スポーツ,chuspo,中日スポーツ,293,\n岡林が適時打を放つ\n◇９日 ＤｅＮＡ６ｘ―５中日（横浜スタジアム）＝延長１１回\n\n 中日の岡林勇希外野手が５月１８日のＤｅＮＡ戦（横浜）以来となる適時打を放った。「１番・右翼」で出場し、２点を追う７回１死二塁で打席へ。１ストライクからＤｅＮＡ３番手・ウィックが投じた内角カットボールにバットを合わせると、打球は遊撃・大和の頭を越えて中前へポトリ。１点差に詰め寄る一打に「当たりは良くなかったですが、落ちてくれて本当に良かったです」とコメントした。５日広島戦（バンテリンドームナゴヤ）からスタメン復帰して４試合連続安打。背番号１が少しずつ調子を取り戻しつつある。\n中日スポーツ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240709-00000105-chuspo-000-2-view.jpg?pri=l&w=640&h=514&exp=10800'],['https://news.yahoo.co.jp/articles/f142edddb381ab7abd43711553e639ef1309231e/images/000']
