headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「反抗する我が子も丸ごと愛してあげたい」子どもとの接し方など本音で語り合う ”おしゃべり会”《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-000-2-thumb.jpg?exp=10800,2024-07-11T20:00:00+09:00,2024-07-11T21:06:53+09:00,長崎国際テレビ,nib,長崎国際テレビ,902,\nNIB長崎国際テレビ\n子育てにつきものの悩み。\n\nそれを語り合える “親の居場所を作ろう” という活動もあります。\n\n長崎市で11日に行われた子育て支援サークルの、月に1回のイベントを取材しました。\nNIB長崎国際テレビ\n長崎市小浦町で開かれたワークショップ。\n\n“ママのハッピーを作る” をモットーに、4年前から活動する子育てサークル「のあ」が主催し、子育て中の親19人が集まりました。\n\n月に一度、“おしゃべり会” を開催している、子育てサークル「のあ」。\n\n今回は、子どもとの接し方や親としての在り方を話し合います。\nNIB長崎国際テレビ\n（参加者）\n「私がどう思っているかは関係なく、一般常識というので叱られていたという記憶がある。いったん『そうかそうか』と言ってほしかった」\n\n“話をたくさん聞いてほしかった” “本当はもっと相談したかった” など、自分自身が親に対して抱えていた思いを振り返ります。\nNIB長崎国際テレビ\n（長崎いのちを大切にする会 吉松 眞里子さん）\n「愛情と思っていることが、わが子には愛情として通じにくいこともある。後悔も愛情。『もっとこうしてあげればよかった』という愛情」\n\n子育て中の本音を語り合い、涙があふれる参加者も…。\nNIB長崎国際テレビ\n（参加者）\n「なんだかんだ、我が子はかわいい。反抗する我が子もかわいいと思って、まるごと愛してあげたい」\n\n（参加者）「そうよねそうよねって共感することばかりで、まだまだ今からできることがあると思った」\nNIB長崎国際テレビ\n（子育てサークル「のあ」溝内 美保子 代表）\n「家にずっといて悩むようだったら、のあに来て悩みを吐き出して」\n\n「先輩がいっぱいいるので。コミュニティができるってすごく楽しくなってくる。それを知ってもらいたい」\nNIB長崎国際テレビ\n「のあ」のおしゃべり会は託児所も設けられ、インスタグラムなどから参加の申し込みを受け付けています。\nNIB長崎国際テレビ\n来月には、親子向けのイベントも計画しているということです。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-001-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-002-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-003-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-004-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-005-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-006-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04423953-nib-007-2-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/000', 'https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/001', 'https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/002', 'https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/003', 'https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/004', 'https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/005', 'https://news.yahoo.co.jp/articles/d8b136da30ee32e8703d3ac0a942a06c5502846f/images/006']"
「J1新潟にリベンジ」天皇杯3回戦　V・ファーレン長崎が快勝しラウンド16進出《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/e57e375b66241ec6533c8c90d2a45ebabc50e50f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08869513-nib-000-2-view.jpg?exp=10800,2024-07-11T20:30:00+09:00,2024-07-11T21:06:54+09:00,長崎国際テレビ,nib,長崎国際テレビ,649,\nNIB長崎国際テレビ\nアマチュアからプロまで、国内サッカーのNo1を決める天皇杯の3回戦が、10日諫早市で行われ、V・ファーレン長崎がJ1のアルビレックス新潟に大勝しました。\n\nルヴァンカップのプレーオフラウンドで敗れた“リベンジ”も込めた、新潟との一戦。\n\n立ち上がりから主導権を握ったV・ファーレンは、前半6分、相手ゴール前でリズムよくパスをつないで、最後は澤田の今シーズン公式戦初ゴールで先制します。\n\nさらに5分後には、名倉のパスに反応したフアンマがループシュート。\n\n33分には、笠柳のクロスを頭で合わせた澤田がこの試合2点目、前半を3対0とリードします。\n\n勢いに乗ったV・ファーレンは、後半もゴールラッシュ。\n\n名倉の今シーズン初ゴールなどでさらに3点を追加。\n\nクラブの1試合最多得点記録に並ぶ大量6得点で、前回大会ベスト8の新潟に6対1で大勝しました。\nNIB長崎国際テレビ\n（澤田 崇選手）\n「うまく自分のところにきたので振った。リーグ戦でも結果を出して、もっともっと必要とされるようにしたい」\n\n（名倉 巧選手）\n「ゴールを決めたくてうずうずしていたので、きょう、ホームでサポータと一緒に喜べてよかった」\n\nベスト16入りを決めたV・ファーレン。\n\n来月21日に行われる「ラウンド16」の対戦相手は、12日に行われる組み合わせ抽選会で決まります。\n\n次節のリーグ戦は、14日にアウェーでヴァンフォーレ甲府と対戦します。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08869513-nib-000-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08869513-nib-001-2-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/e57e375b66241ec6533c8c90d2a45ebabc50e50f/images/000', 'https://news.yahoo.co.jp/articles/e57e375b66241ec6533c8c90d2a45ebabc50e50f/images/001']"
世界最小 “コガタペンギン” 2羽のヒナ誕生　長崎ペンギン水族館で7月末一般公開へ《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-000-1-thumb.jpg?exp=10800,2024-07-11T21:04:00+09:00,2024-07-11T21:04:00+09:00,長崎国際テレビ,nib,長崎国際テレビ,791,\nNIB長崎国際テレビ\n長崎ペンギン水族館でかわいいヒナが誕生しました。\n\nデビューを控える、世界最小のペンギン2羽の様子をご覧ください。\nNIB長崎国際テレビ\nカメラに興味津々、元気いっぱいに動き回る2羽。\n\n体長は35センチから40センチ、フンボルトペンギンのヒナと比べると、これほどの差が。\nNIB長崎国際テレビ\n世界最小のペンギン、“コガタペンギン”のヒナです。\n\n（桒畑笑莉奈アナウンサー）\n「うわーフワフワ。あったかい」\nNIB長崎国際テレビ\n（長崎ペンギン水族館 飼育展示課ペンギン担当 小塩 祐志さん）\n「羽の種類が違って、茶色っぽい羽。もこもことした羽が綿羽と呼ばれてヒナの頃に生える。青っぽいしっかりとした羽は正羽といって大人と同じ羽」\n\n5月にふ化した2羽。\nNIB長崎国際テレビ\n当初は30グラムほどでしたが、飼育員の献身的な子育てですくすくと育ち、体重は約1キロに。\n\nデビューまであと少しです。\nNIB長崎国際テレビ\n世界最多の9種類のペンギンを飼育・展示するペンギン水族館。\n\n（長崎ペンギン水族館 飼育展示課ペンギン担当 小塩 祐志さん）\n「あれがお父さんで、奥にいるのがお母さん」\nNIB長崎国際テレビ\n11羽いるコガタペンギンのうち9羽は、東京の水族館から譲り受けた「受精卵」をふ化させた「受精卵移動」という取り組みで繁殖しています。\n\n今回その中の2羽がカップルとなり、初めてヒナがかえりました。\nNIB長崎国際テレビ\n（長崎ペンギン水族館 飼育展示課ペンギン担当 小塩 祐志さん）\n「まだ子どもではあるんですが、大人の羽、子どもの羽の両方見れる時期なので、ぜひたくさんリピートして見てもらえれば」\nNIB長崎国際テレビ\n一般公開は、今月下旬を予定しているということです。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-001-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-002-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-003-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-004-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-005-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-006-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-007-1-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08327442-nib-008-1-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/000', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/001', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/002', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/003', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/004', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/005', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/006', 'https://news.yahoo.co.jp/articles/925c42055b2b9173f185d00ea8c6ae563b01fe42/images/007']"
大石知事がNPT準備委参加見送り　後援会出納巡る問題で「県民や議会への対応を優先する」《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/c77f845fb5f86cc4aa40bfcb365784b670434fd7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-02991979-nib-000-1-thumb.jpg?exp=10800,2024-07-11T20:20:00+09:00,2024-07-11T20:20:00+09:00,長崎国際テレビ,nib,長崎国際テレビ,494,\nNIB長崎国際テレビ\n県は、NPT＝核拡散防止条約再検討会議準備委員会にあわせた、スイス・ジュネーブへの大石知事の訪問を取りやめると発表しました。\n\n「県民や議会への対応を優先する」としていて、代わりに馬場副知事が参加するということです。\nNIB長崎国際テレビ\n大石知事は、NPT再検討会議の第2回準備委員会にあわせ、今月21日から27日までの日程で、スイス・ジュネーブを訪問する予定となっていました。\n\nしかし、県は11日、大石知事が訪問を取りやめ、代わりに馬場副知事が参加することを発表しました。\n\n大石知事の訪問取りやめの理由については「県民や議会への対応を優先するため」としています。\n\n大石知事は、先月の県議会一般質問で自身の後援会の収支報告書に関する指摘を受け「6月中に訂正する」と答弁。\n\nその後、後援会で出納を巡るトラブルが発覚し「精査が必要」として、訂正を延期する考えを明らかにしていて、10日の議会最終本会議でも具体的な説明は行いませんでした。\n\n県議会では、来週中にも各派代表者会議を開き、知事に対して説明を求めることにしています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-02991979-nib-001-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/c77f845fb5f86cc4aa40bfcb365784b670434fd7/images/000']
【速報】西九州自動車道弓張トンネル内で事故　通行止めも《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/95e0ca6b7d793148ae01c22b87813c8796ed6639,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08259956-nib-000-2-view.jpg?exp=10800,2024-07-11T19:47:00+09:00,2024-07-11T20:01:46+09:00,長崎国際テレビ,nib,長崎国際テレビ,192,\nNIB長崎国際テレビ\n11日午後6時10分頃、佐世保市の西九州自動車道上り線の弓張トンネル内で「車が2台と3台追突した」と消防に通報がありました。\n\n消防によりますと、2人が救急搬送されたということです。\n\n警察によりますと、現在、上り線の佐々－佐世保中央インターチェンジ間で通行止めの規制が行われています。\n\nまた、現場付近では、渋滞が発生しているということです。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-08259956-nib-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/95e0ca6b7d793148ae01c22b87813c8796ed6639/images/000']
県内でも1000件越え「児童虐待相談」児童相談所職員と警察官が“子どもを保護する訓練”実施《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-000-3-thumb.jpg?exp=10800,2024-07-11T19:59:00+09:00,2024-07-11T21:06:51+09:00,長崎国際テレビ,nib,長崎国際テレビ,1298,\nNIB長崎国際テレビ\n社会問題となっている「児童虐待」についてです。\n\n県こども家庭課によりますと、児童虐待の相談件数は全国的にも増えていて、県内でも2019年度に1000件を突破し、2022年度には過去最多の1084件の相談があったということです。\nNIB長崎国際テレビ\n児童虐待は4つの種類に分けられます。\n \n叩いたり蹴ったりなどの「身体的虐待」。\n\n性的暴行や刺激を与える「性的虐待」。\n\n食事を与えない、学校や病院に行かせないなどの「ネグレクト」。\n\n無視したり、暴言を吐いたり、目の前で家族に暴力を振るうなど、子どもに精神的な苦痛を与える「心理的虐待」です。\nNIB長崎国際テレビ\n虐待の件数を種類別でみると、全体で1084件のうち最も多いのが「心理的虐待」の648件で、全体の約60％を占めています。\n\n児童虐待は、加害者の約９割が実の両親によるものとなっています。\n\n被害に遭った子どもの年齢は、「0歳から3歳」が約4分の1を占め「4歳から6歳」が約2割となっていて、未就学児が全体の半数近くを占めています。\nNIB長崎国際テレビ\n周囲に気づかれにくいという課題がある一方、子どもの早期保護に繋げようという動きもあります。\n\n長崎市では実際の虐待現場を想定し、関係機関が対応する合同訓練が9日に行われました。\nNIB長崎国際テレビ\n県警察学校で、9日に行われたのは、児童相談所の職員と警察官が協力して、児童虐待の疑いがある家庭を訪問し、子どもを保護する訓練です。\n\n（訪問訓練）\n「いらっしゃいますか」\nNIB長崎国際テレビ\n実際の現場さながらの緊張感が走る中、職員たちは興奮する保護者を説得します。\n\n（保護者役）\n「勝手に触らないで。あんたたちのせいで起きとっとやろ」\nNIB長崎国際テレビ\n粘り強い説得で、無事に子どもを保護することができました。\nNIB長崎国際テレビ\n（相談支援一課 主任主事 末竹 正典さん）\n「緊張感を持って取り組むことができた。(警察と)互いにどういうことができるのか。実際にやってみないとわからないので、こういう訓練を機会に実感できるのは素晴らしい」\n\n（大村署生活安全課 成合真緒 巡査長）\n「第一目的は児童の保護ですので、被害児童をうまく保護できるように、警察としてやるべきことをしっかりやっていく」\n\n家庭環境や時代背景など、さまざまな要因が絡み合うことで生じる「虐待」。\n\n県の担当者は、早期の発見と対応が大切だと話します。\nNIB長崎国際テレビ\n（県福祉保健部 こども家庭課 出﨑 智典さん）\n「関わったことがない家庭やお子さんであっても、叩かれているとか、泣き声が頻繁にするといったことがあれば、(無料相談ダイヤル)189や、近くの児童相談所にご相談いただくことが一番望ましい」\nNIB長崎国際テレビ\n児童虐待や子育てに関する相談は、最寄りの市や町の窓口や、児童相談所の全国共通ダイヤル「189」などで受け付けているということです。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-001-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-002-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-003-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-004-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-005-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-006-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-007-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-008-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03931351-nib-009-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/000', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/001', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/002', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/003', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/004', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/005', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/006', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/007', 'https://news.yahoo.co.jp/articles/be4e79355c2b636872800d8e9896795459e686c1/images/008']"
諫早市の中学校など12日まで学級閉鎖も「新型コロナ感染」急速に拡大「手足口病」も警報《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/813d33ebd953585e4f0409266ff9f468356e3a6a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03722279-nib-000-3-thumb.jpg?exp=10800,2024-07-11T19:30:00+09:00,2024-07-11T21:06:54+09:00,長崎国際テレビ,nib,長崎国際テレビ,451,\nNIB長崎国際テレビ\n新型コロナウイルスの感染が、県内で急速に拡大しています。\n\n感染者数は4週連続で増加していて、対策を呼びかけています。\nNIB長崎国際テレビ\n県の発表によりますと、県内70の定点医療機関で確認された新型コロナウイルスの感染者は883人で前の週より273人増え、4週連続で増加しています。\n\n定点あたりは12.61人で「10人」を上回ったのは、約5か月ぶりです。\n\n県央地区の高校と諫早市の中学校では、感染が拡大しているとして12日まで学級閉鎖の措置が取られています。\n\n県は引き続きマスクの着用や手洗い、換気など基本的な感染対策を行うよう呼びかけています。\nNIB長崎国際テレビ\nまた、手足や口の中に発疹があらわれる「手足口病」の感染者は、470人でした。\n\n定点あたりは、10.68人で、3週続けて警報が出されています。\n\n年齢別では、2歳未満が全体の75％を占めているということです。\n\n県は、手洗い、うがいの励行を呼びかけています。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03722279-nib-001-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-03722279-nib-002-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/813d33ebd953585e4f0409266ff9f468356e3a6a/images/000', 'https://news.yahoo.co.jp/articles/813d33ebd953585e4f0409266ff9f468356e3a6a/images/001']"
【天気】今後しばらく雨模様　11日夜遅くから12日朝にかけ「激しい雨」降る見込み《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-000-6-thumb.jpg?exp=10800,2024-07-11T18:45:00+09:00,2024-07-11T21:06:54+09:00,長崎国際テレビ,nib,長崎国際テレビ,362,\nNIB長崎国際テレビ\n11日は明け方に激しく雨が降ったところがありましたが、梅雨前線が九州付近に停滞し、このあとも断続的に雨が降りそうです。\n\n特に夜遅くから12日朝にかけては、南部、北部で激しい雨が降るところもある見込みです。\nNIB長崎国際テレビ\n雨は弱まったり強くなったりしながら降り続きますので、土砂災害、低い土地の浸水、河川の増水や氾濫に注意・警戒してください。\n◆12日の天気\nNIB長崎国際テレビ\n◇ ◇ ◇\n◆12日の気温\nNIB長崎国際テレビ\n◇ ◇ ◇\n◆洗濯情報\nNIB長崎国際テレビ\n◇ ◇ ◇\n◆PM2.5予想\nNIB長崎国際テレビ\n◇ ◇ ◇\n◆12日の海上 風と波\nNIB長崎国際テレビ\n◇ ◇ ◇\n◆週間天気\nNIB長崎国際テレビ\n◇ ◇ ◇,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-001-6-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-002-6-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-003-6-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-004-6-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-005-6-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-006-6-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04343343-nib-007-6-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/000', 'https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/001', 'https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/002', 'https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/003', 'https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/004', 'https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/005', 'https://news.yahoo.co.jp/articles/d5d53a37673d5e2dbc3845ff7f0a74d59e9f9965/images/006']"
去年は82件発生「水難事故」 “海保×警察×消防”　海水浴シーズンを前に海での救助連携強化《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/ffec06a68f7aa9e5a73b23c366674e066bff8b94,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04763133-nib-000-3-thumb.jpg?exp=10800,2024-07-11T12:45:00+09:00,2024-07-11T17:12:51+09:00,長崎国際テレビ,nib,長崎国際テレビ,312,\nNIB長崎国際テレビ\n海水浴シーズンを前に、海上保安部など3つの機関が連携して水難事故の救助訓練が行われました。\nNIB長崎国際テレビ\n海での行方不明者の捜索を想定した訓練には、長崎海上保安部と県警機動隊、長崎市中央消防署の潜水士、あわせて17人が参加しました。\n\n訓練は、水難救助の連携強化を目的として、3機関の合同で去年から行われています。\n\n（長崎海上保安部 川島優太さん）\n「(警察・消防と)顔の見える関係を作ることができたので、3機関で連携して長崎の海を守っていきたい」\nNIB長崎国際テレビ\n長崎海上保安部管内では、去年82件の水難事故が発生し、44人が犠牲または行方不明となっています。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04763133-nib-001-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-04763133-nib-002-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/ffec06a68f7aa9e5a73b23c366674e066bff8b94/images/000', 'https://news.yahoo.co.jp/articles/ffec06a68f7aa9e5a73b23c366674e066bff8b94/images/001']"
「ゴールラッシュで大量6得点」天皇杯3回戦　V・ファーレン長崎がJ1新潟に快勝《長崎》（長崎国際テレビ）,https://news.yahoo.co.jp/articles/d82b89d0ade51224313b6132cfa09d21096a102b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-07419761-nib-000-3-view.jpg?exp=10800,2024-07-11T12:00:00+09:00,2024-07-11T20:30:41+09:00,長崎国際テレビ,nib,長崎国際テレビ,380,\nNIB長崎国際テレビ\nアマチュアからプロまで、国内サッカーのNo1を決める天皇杯の3回戦が10日行われ、V・ファーレン長崎がJ1のアルビレックス新潟に快勝しました。\n\nルヴァンカップのプレーオフラウンドで敗れたリベンジも込めた新潟との一戦。\n\n立ち上がりから主導権を握ったV・ファーレンは前半6分、相手ゴール前でリズムよくパスをつないで最後は澤田が今シーズン、公式戦初ゴールで先制。\n\n続いて11分には、フアンマ。33分には澤田のこの試合2点目で、前半を3対0とリードします。\n\n勢いに乗ったV・ファーレンは、後半もゴールラッシュで大量6得点。\n\n前回大会ベスト8の新潟に、6対1で大勝しました。\n\n来月21日に行われるラウンド16への進出を決めたV・ファーレン。\n\n対戦相手は、11日に行われる組み合わせ抽選会で決まります。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240711-07419761-nib-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/d82b89d0ade51224313b6132cfa09d21096a102b/images/000']
