headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【福島１２Ｒ】田島俊明調教師がＪＲＡ通算２００勝達成「馬たちに携わってくれた方々が一生懸命頑張ってくれたおかげ」（馬トク報知）,https://news.yahoo.co.jp/articles/a20d9c2bfc6fe6c3765d093efa96cfe04524764f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131191-umatokuh-000-1-view.jpg?exp=10800,2024-07-13T17:46:36+09:00,2024-07-13T17:46:36+09:00,馬トク報知,umatokuh,馬トク報知,272,\nＪＲＡ通算２００勝を達成した田島俊明調教師（カメラ・荒牧 徹）\n７月１３日の福島１２Ｒでカピリナが１着となり、管理する田島俊明調教師＝美浦＝はＪＲＡ通算２００勝を達成した。現役１０６人目。重賞は４勝。\n\n 田島調教師「ここまでたくさんの馬たちがレースで頑張って走ってくれて、２００勝を達成することができて本当にありがとうという気持ちです。馬を預けてくれた馬主さんがいてこそ達成できた記録ですし、馬主さんにも感謝しています。また、厩舎スタッフをはじめ、馬たちに携わってくれた方々が一生懸命頑張ってくれたおかげだと思います」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131191-umatokuh-000-1-view.jpg?pri=l&w=472&h=640&exp=10800'],['https://news.yahoo.co.jp/articles/a20d9c2bfc6fe6c3765d093efa96cfe04524764f/images/000']
【小倉１１Ｒ・宮崎Ｓ】単勝１２３倍！　１３番人気クレスコジョケツＶで３連単２６２万円超の大波乱に（馬トク報知）,https://news.yahoo.co.jp/articles/f36877295628d01effcdcd75b92144c7a56aa22a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131172-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:48:17+09:00,2024-07-13T16:57:21+09:00,馬トク報知,umatokuh,馬トク報知,559,\n宮崎Sを勝ったクレスコジョケツと藤懸貴志騎手ら関係者\n７月１３日の小倉１１Ｒ・宮崎Ｓ（３歳上３勝クラス、ダート１７００メートル＝１５頭立て）は藤懸貴志騎手が騎乗した単勝１３番人気のクレスコジョケツ（牝５歳、栗東・木原一良厩舎、父アメリカンペイトリオット）が逃げの手に出ると、５２キロの軽ハンデを生かして先頭のままゴール板を駆け抜けた。９戦続けて１秒以上の大敗を重ねていたが、ここで一変した。勝ちタイムは１分４３秒５（良）。\n【データで見る】クレスコジョケツの血統、戦績\nスタートから迷うことなくハナを奪うと、後続を引きつけることはせずに、終始１２秒２～１２秒３のラップを刻んだ。ラスト１ハロンも１２秒６でまとめる完璧なペース配分で勝利に導いた。首差の２着に９番人気のラニカイ（荻野極騎手）、さらに１馬身１／４差の３着に２番人気メイショウホマレ（松若風馬騎手）が入り、３連単は２６２万２３２０円の高配当となった。\n\n 藤懸騎手は「状態のよさが第一ですね。いい状態でもってきてもらえた。ハンデの５２キロもよかったです。とにかく馬の気分を考えて、邪魔をしないように乗った結果、よく最後までしのいでくれたと思います。このオーナーにはよくしてもらっているので、勝ててうれしいです」と笑顔で振り返った。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131172-umatokuh-000-2-view.jpg?pri=l&w=640&h=307&exp=10800'],"['https://news.yahoo.co.jp/articles/f36877295628d01effcdcd75b92144c7a56aa22a/images/000', 'https://umatoku.hochi.co.jp/data/horse/19103971']"
【函館記念】池添謙一騎手が騎乗するサヴォーナが前日単勝１番人気　３連単は全て万馬券の大混戦ムード（馬トク報知）,https://news.yahoo.co.jp/articles/10aea4aa81727f74c8484b24c386c2aff627d209,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131193-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T17:48:13+09:00,2024-07-13T17:54:10+09:00,馬トク報知,umatokuh,馬トク報知,706,\n函館記念で重賞初制覇を狙うサヴォーナ\n◆第６０回函館記念・Ｇ３（７月１４日、函館競馬場・芝２０００メートル）\n\n 前日最終オッズが７月１３日、ＪＲＡから発表された。\n【データでみる】サヴォーナの血統、戦績\n単勝１番人気は昨年の神戸新聞杯、今年の日経賞でどちらも２着の（１）サヴォーナ（牡４歳、栗東・中竹和也厩舎、父キズナ）で５・２倍。コンビ１０戦目となる池添謙一騎手と重賞初制覇を狙う。２番人気は武豊騎手が手綱を執る（１３）デビットバローズ（牡５歳、栗東・上村洋行厩舎、父ロードカナロア）で６・５倍。\n\n 以下、（１２）ホウオウビスケッツ（牡４歳、美浦・奥村武厩舎、父マインドユアビスケッツ）が８・０倍、（１０）トップナイフ（牡４歳、栗東・昆貢厩舎、父デクラレーションオブウォー）が８・５倍、（１５）チャックネイト（セン６歳、美浦・堀宣行厩舎、父ハーツクライ）が９・１倍で続き、１０倍以下は５頭となっている。\n\n 馬連は（１２）―（１３）が１７・６倍で１番人気と、１０倍以下がない割れた人気。（１）―（１３）が１９・４倍、（１）―（１２）が２３・０倍と単勝の上位人気３頭の組み合わせが売れている。（１）―（１０）が２４・２倍、（１）―（１５）が２４・４倍、（３）―（１３）が２８・１倍で続く。\n\n ３連単も（１３）→（１２）→（１）の１４８・２倍が１番人気と、１００倍以下のない大混戦ムード。（１２）→（１３）→（１）が１５４・３倍、（１）→（１２）→（１３）が１６３・５倍と、こちらもサヴォーナ、デビットバローズ、ホウオウビスケッツの３頭の組み合わせが人気になっている。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131193-umatokuh-000-2-view.jpg?pri=l&w=426&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/10aea4aa81727f74c8484b24c386c2aff627d209/images/000', 'https://umatoku.hochi.co.jp/data/horse/20100734']"
【福島１１Ｒ・安達太良Ｓ】マニバドラが人気に応え圧勝　松山弘平騎手「距離が短くなればなるほど良さ」（馬トク報知）,https://news.yahoo.co.jp/articles/a0aadb5177114e1011ced73e316e951ae2d98a2f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131173-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:54:14+09:00,2024-07-13T16:59:25+09:00,馬トク報知,umatokuh,馬トク報知,504,\n安達太良Ｓを制したマニバドラ（カメラ・荒牧 徹）\n７月１３日の福島１１Ｒ・安達太良Ｓ（３歳上オープン、ダート１１５０メートル＝１３頭立て）は、マニバドラ（牡４歳、栗東・森秀行厩舎、父スペイツタウン）が単勝１・９倍の断然の支持に応え、２馬身半差をつける圧勝を収めた。勝ちタイムは１分６秒５（稍重）。\n【データで見る】マニバドラの血統、戦績\n道中は好位の４番手を追走。しびれるような手応えで位置を挙げながら４コーナーを回ると、直線では前を行く３頭を馬なりのままパス。残り２００メートルで左ステッキが入るとさらに力強く加速し、同じ森秀厩舎のメタマックスに２馬身半差をつけた。\n\n 松山弘平騎手は「偶数枠は良かったしスタートも良かったです。外から行く馬を行かせていい形で切り返せました。力が違いました。距離が短くなればなるほど良さが出ますね」と胸を張った。森秀調教師は「強かったね。体が良くなってきていて、体が硬いので冬よりも夏場の方が調子がいい。逃げなきゃダメじゃないんでね」と振り返った。今後はクラスターＣ・Ｊｐｎ３（８月１２日、盛岡競馬場・ダート１２００メートル）などが視野に入る。\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131173-umatokuh-000-2-view.jpg?pri=l&w=640&h=435&exp=10800'],"['https://news.yahoo.co.jp/articles/a0aadb5177114e1011ced73e316e951ae2d98a2f/images/000', 'https://umatoku.hochi.co.jp/data/horse/20110105']"
【函館２歳Ｓ】ヤンキーバローズ追い上げ届かず４着　岩田康誠騎手「はまれば勝ち負けがあったかも」（馬トク報知）,https://news.yahoo.co.jp/articles/a87357ef03d23642623d56772605361e25db211e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131168-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:40:51+09:00,2024-07-13T16:43:57+09:00,馬トク報知,umatokuh,馬トク報知,931,\n岩田康誠騎手騎乗のヤンキーバローズは４着（カメラ・高橋 由二）\n◆第５６回函館２歳Ｓ・Ｇ３（７月１３日、函館競馬場・芝１２００メートル、良）\n\n 世代最初の重賞は１４頭によって争われ、佐々木大輔騎手が手綱を執った１番人気のサトノカルナバル（牡２歳、美浦・堀宣行厩舎、父キタサンブラック）が無傷２連勝で世代初の重賞ウィナーに輝いた。デビュー３年目の佐々木騎手は１６度目の挑戦でうれしい初タイトル。堀調教師は函館スプリントＳのサトノレーヴに続き、今年の函館での重賞２連勝となった。勝ちタイムは１分９秒２。\n【データで見る】ヤンキーバローズの血統、戦績\n２着は８番人気のニシノラヴァンダ（永野猛蔵騎手）、３着は２番人気のエンドレスサマー（横山和生騎手）だった。\n\n 岩田康誠騎手（ヤンキーバローズ＝４着）「（ベストの）距離は１２００メートルじゃないかも知れない。うまくはまれば勝ち負けがあったかも知れないが、もう少し距離があった方がいい」\n\n 鮫島克駿騎手（カルプスペルシュ＝５着）「スムーズな競馬ができました。勝ち馬をマークして運びましたが、最後は止まってしまいました。今日のところは完敗ですね」\n\n 菱田裕二騎手（モズナナスター＝７着）「２番手から運びましたが、途中からおっつけながらになって、最後は止まりました」\n\n 北村友一騎手（チギリ＝８着）「内枠でポジションが取れませんでした。もう少し距離があった方がいいですね」\n\n 浜中俊騎手（ヴーレヴー＝９着）「ゲートでトモ（後肢）が踏ん張れず少し置かれました。前が止まらない展開でしたし、位置取りがすべてですね」\n\n 横山武史騎手（エメラヴィ＝１０着）「左にもたれる面がより強くなってしまっていて、向こう正面では口もロックしてしまい、いい競馬ができなかった」\n\n 高杉吏麒騎手（ヒデノブルースカイ＝１１着）「ゲートが開く直前に前かきをして出遅れた。３、４コーナーでは走りがバラバラになりました」\n\n 丹内祐次騎手（シュードタキライト＝１２着）「追走がきつくなりました」\n\n 藤岡佑介騎手（オカメノコイ＝１４着）「またダートで頑張ってくれると思います」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131168-umatokuh-000-2-view.jpg?pri=l&w=426&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/a87357ef03d23642623d56772605361e25db211e/images/000', 'https://umatoku.hochi.co.jp/data/horse/22103051']"
【函館２歳Ｓ】８番人気ニシノラヴァンダ果敢に逃げて２着　永野猛蔵騎手「勝った馬が強かったです」（馬トク報知）,https://news.yahoo.co.jp/articles/fe88ff8948edeee17f85d02bb920d0d42bfd3796,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131162-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:38:22+09:00,2024-07-13T16:42:44+09:00,馬トク報知,umatokuh,馬トク報知,444,\n永野猛蔵騎手騎乗のニシノラヴァンダは２着（カメラ・高橋 由二）\n◆第５６回函館２歳Ｓ・Ｇ３（７月１３日、函館競馬場・芝１２００メートル、良）\n\n 世代最初の重賞は１４頭によって争われ、佐々木大輔騎手が手綱を執った１番人気のサトノカルナバル（牡２歳、美浦・堀宣行厩舎、父キタサンブラック）が無傷２連勝で世代初の重賞ウィナーに輝いた。デビュー３年目の佐々木騎手は１６度目の挑戦でうれしい初タイトル。堀調教師は函館スプリントＳのサトノレーヴに続き、今年の函館での重賞２連勝となった。勝ちタイムは１分９秒２。\n【データで見る】ニシノラヴァンダの血統、戦績\n２着は８番人気のニシノラヴァンダ（永野猛蔵騎手）、３着は２番人気のエンドレスサマー（横山和生騎手）だった。\n\n 永野猛蔵騎手（ニシノラヴァンダ＝２着）「速いのがいたら控えてもと思っていましたが、いちばん速かったですし、枠も良くてハナに行けました。最後までしっかり走ってくれましたが、勝った馬が強かったですね」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131162-umatokuh-000-2-view.jpg?pri=l&w=426&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/fe88ff8948edeee17f85d02bb920d0d42bfd3796/images/000', 'https://umatoku.hochi.co.jp/data/horse/22102220']"
【函館２歳Ｓ】２番人気エンドレスサマー３着　横山和生騎手「新馬と違う展開にも対応してくれた」（馬トク報知）,https://news.yahoo.co.jp/articles/345d2801905567393edbaf044583ce35310d509a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131163-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:39:16+09:00,2024-07-13T16:41:24+09:00,馬トク報知,umatokuh,馬トク報知,451,\n横山和生騎手騎乗のエンドレスサマーは３着（カメラ・高橋 由二）\n◆第５６回函館２歳Ｓ・Ｇ３（７月１３日、函館競馬場・芝１２００メートル、良）\n\n 世代最初の重賞は１４頭によって争われ、佐々木大輔騎手が手綱を執った１番人気のサトノカルナバル（牡２歳、美浦・堀宣行厩舎、父キタサンブラック）が無傷２連勝で世代初の重賞ウィナーに輝いた。デビュー３年目の佐々木騎手は１６度目の挑戦でうれしい初タイトル。堀調教師は函館スプリントＳのサトノレーヴに続き、今年の函館での重賞２連勝となった。勝ちタイムは１分９秒２。\n【データで見る】エンドレスサマーの血統、戦績\n２着は８番人気のニシノラヴァンダ（永野猛蔵騎手）、３着は２番人気のエンドレスサマー（横山和生騎手）だった。\n\n 横山和生騎手（エンドレスサマー＝３着）「この馬なりに緩急を利かせた競馬ができ、新馬と違う展開にも対応してくれた。少し緩いので馬場を気にするところもありましたが、ラストは脚を伸ばしてくれましたし、いい競馬でした」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131163-umatokuh-000-2-view.jpg?pri=l&w=380&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/345d2801905567393edbaf044583ce35310d509a/images/000', 'https://umatoku.hochi.co.jp/data/horse/22104769']"
【函館２歳Ｓ】武豊騎手騎乗のリリーフィールドは上がり最速で伸び６着「外に出してから脚を使っていた」（馬トク報知）,https://news.yahoo.co.jp/articles/d348be63bac1269fdf60fe2343b47a6d377e622d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131165-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:36:55+09:00,2024-07-13T16:38:50+09:00,馬トク報知,umatokuh,馬トク報知,400,\n武豊騎手騎乗のリリーフィールドは６着（カメラ・高橋 由二）\n◆第５６回函館２歳Ｓ・Ｇ３（７月１３日、函館競馬場・芝１２００メートル、良）\n\n 世代最初の重賞は１４頭によって争われ、佐々木大輔騎手が手綱を執った１番人気のサトノカルナバル（牡２歳、美浦・堀宣行厩舎、父キタサンブラック）が無傷２連勝で世代初の重賞ウィナーに輝いた。デビュー３年目の佐々木騎手は１６度目の挑戦でうれしい初タイトル。堀調教師は函館スプリントＳのサトノレーヴに続き、今年の函館での重賞２連勝となった。勝ちタイムは１分９秒２。\n【データでみる】リリーフィールドの血統、戦績\n２着は８番人気のニシノラヴァンダ（永野猛蔵騎手）、３着は２番人気のエンドレスサマー（横山和生騎手）だった。\n\n 武豊騎手（リリーフィールド＝６着）「内枠で窮屈になったかな。ただ、芝でもやれるね。外に出してから脚を使っていた」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131165-umatokuh-000-2-view.jpg?pri=l&w=414&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/d348be63bac1269fdf60fe2343b47a6d377e622d/images/000', 'https://umatoku.hochi.co.jp/data/horse/22105718']"
【函館２歳Ｓ】サトノカルナバルが世代最初の重賞Ｖ　佐々木大輔騎手も初タイトル「もっともっと重賞を勝てるように」（馬トク報知）,https://news.yahoo.co.jp/articles/13dca95a0061a0a85d8eab2d78409d734a2dca67,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131154-umatokuh-000-5-view.jpg?exp=10800,2024-07-13T15:33:55+09:00,2024-07-13T16:10:54+09:00,馬トク報知,umatokuh,馬トク報知,768,\n佐々木大輔騎手騎乗のサトノカルナバル（左）が人気に応え重賞初制覇カメラ・高橋 由二）\n◆第５６回函館２歳Ｓ・Ｇ３（７月１３日、函館競馬場・芝１２００メートル、良）\n\n 世代最初の重賞は１４頭によって争われ、佐々木大輔騎手が手綱を執った１番人気のサトノカルナバル（牡２歳、美浦・堀宣行厩舎、父キタサンブラック）が無傷２連勝で世代初の重賞ウィナーに輝いた。デビュー３年目の佐々木騎手は１６度目の挑戦でうれしい初タイトル。堀調教師は函館スプリントＳのサトノレーヴに続き、今年の函館での重賞２連勝となった。勝ちタイムは１分９秒２。\n【データでみる】サトノカルナバルの血統、戦績\n２着は８番人気のニシノラヴァンダ（永野猛蔵騎手）、３着は２番人気のエンドレスサマー（横山和生騎手）だった。\n\n 佐々木大輔騎手（サトノカルナバル＝１着）「頼んでいただいた堀先生（調教師）や里見ーナーには感謝しています。カルナバル自身に乗ったのは追い切りの１回だけだったんですが、そのときから感触が良くてすごくいい馬だと感じていましたし、こういったチャンスなかなかないのでしっかりものにしたいと思っていました。初めての１２００メートル、距離短縮ということもあったので多少、流れに乗せていったぶん、馬がハミをくわえるのがちょっと甘くなってしまったんですが、直線の手応えは他の馬と違っていたなと思います。正直、僕も前走を見た感じだったら距離を延ばしてもいいのかなというような印象だったんですが、本当に先生がここに使ってきてくれたことに感謝していますし、今後さらに活躍してくれると思います。今回重賞を勝たせていただいたんですが、もっともっと重賞を勝てるように頑張りたいですし、今年は７０勝できたらなと思っていたのでさらに頑張りたいと思います」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131154-umatokuh-000-5-view.jpg?pri=l&w=640&h=335&exp=10800'],"['https://news.yahoo.co.jp/articles/13dca95a0061a0a85d8eab2d78409d734a2dca67/images/000', 'https://umatoku.hochi.co.jp/data/horse/22105128']"
【函館２歳Ｓ】ラインパシオンで重賞初騎乗の大江原比呂騎手は１３着「４角までいい感じでしたが…」（馬トク報知）,https://news.yahoo.co.jp/articles/4881dc23773bd2b550ffa59d166cd97e9afd6a14,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131167-umatokuh-000-2-view.jpg?exp=10800,2024-07-13T16:30:01+09:00,2024-07-13T16:36:06+09:00,馬トク報知,umatokuh,馬トク報知,401,\n大江原比呂騎手騎乗のラインパシオンは１３着（カメラ・高橋 由二）\n◆第５６回函館２歳Ｓ・Ｇ３（７月１３日、函館競馬場・芝１２００メートル、良）\n\n 世代最初の重賞は１４頭によって争われ、佐々木大輔騎手が手綱を執った１番人気のサトノカルナバル（牡２歳、美浦・堀宣行厩舎、父キタサンブラック）が無傷２連勝で世代初の重賞ウィナーに輝いた。デビュー３年目の佐々木騎手は１６度目の挑戦でうれしい初タイトル。堀調教師は函館スプリントＳのサトノレーヴに続き、今年の函館での重賞２連勝となった。勝ちタイムは１分９秒２。\n【データでみる】ラインパシオンの血統、戦績\n２着は８番人気のニシノラヴァンダ（永野猛蔵騎手）、３着は２番人気のエンドレスサマー（横山和生騎手）だった。\n\n 大江原比呂騎手（ラインパシオン＝１３着）「４角までいい感じでしたが、最後は苦しくなりました。このクラスでは…」\n報知新聞社,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240713-07131167-umatokuh-000-2-view.jpg?pri=l&w=640&h=480&exp=10800'],"['https://news.yahoo.co.jp/articles/4881dc23773bd2b550ffa59d166cd97e9afd6a14/images/000', 'https://umatoku.hochi.co.jp/data/horse/22106190']"
