headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
石川県で最大震度1の地震　石川県・志賀町（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/125d85dad0873d65530632764c022f76a2796327,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295903-jnn-000-1-view.jpg?exp=10800,2024-07-15T22:12:56+09:00,2024-07-15T22:12:56+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,322,\nTBS NEWS DIG Powered by JNN\n15日午後10時7分ごろ、石川県で最大震度1を観測する地震がありました。\n\n気象庁によりますと、震源地は石川県能登地方で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは2.7と推定されます。\n【詳細】各地の震度一覧・最新LIVE\nこの地震による津波の心配はありません。\n\n最大震度1を観測したのは、石川県の志賀町です。\n\n【各地の震度詳細】\n\n■震度1\n□石川県\n志賀町\n\n気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。\n新たな情報が発表され次第、情報を更新します。\nTBS NEWS DIG Powered by JNN,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295903-jnn-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/125d85dad0873d65530632764c022f76a2796327/images/000', 'https://newsdig.tbs.co.jp/list/bousai/earthquake?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295903']"
【速報】トランプ氏「機密文書持ち出し」の起訴を棄却　フロリダ州の連邦地裁（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/7297a9ea6ee4ee5094d1125cb9a160b1b9c1957f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-07-15T23:58:40+09:00,2024-07-15T23:58:40+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,336,\nアメリカのトランプ前大統領が政府の機密文書を違法に所持していた事件で、フロリダの連邦地裁は特別検察官の任命は憲法に違反しているとして、検察側の起訴を棄却しました。\n\nアメリカメディアによりますと、フロリダ州の連邦地裁は15日、アメリカのトランプ前大統領が政府の機密文書を違法に所持していた事件で、検察側の起訴を棄却しました。\n\n事件を捜査したスミス特別検察官が大統領に指名されておらず、議会上院でも承認されていないため、司法省による特別検察官への任命が憲法違反だと判断したとしています。\n\nニューヨーク・タイムズは「驚くべき判決だ」としたうえで、これまでの特別検察官の任命の合法性を支持してきた過去の判決に真っ向から反すると指摘しています。\nTBSテレビ,[],[]
【大雨警報】大阪府・大阪市、堺市に発表（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/ecfd7391f49ee095a2e1a941179f917a570e0fe9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295928-jnn-000-1-view.jpg?exp=10800,2024-07-15T23:48:53+09:00,2024-07-15T23:48:53+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,292,\nTBS NEWS DIG Powered by JNN\n気象台は、午後11時44分に、大雨警報（浸水害）を大阪市、堺市に発表しました。\n\n大阪府では、16日未明まで低い土地の浸水に警戒してください。\n【警戒エリアを確認】【大雨警報】大阪府・大阪市、堺市に発表\n【警報（発表中）と予報値】\n■大阪市\n□大雨警報【発表】\n・浸水\n 16日未明にかけて警戒\n 1時間最大雨量 40mm\n\n■堺市\n□大雨警報【発表】\n・土砂災害\n \n・浸水\n 16日未明にかけて警戒\n 1時間最大雨量 40mm\nTBS NEWS DIG Powered by JNN,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295928-jnn-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/ecfd7391f49ee095a2e1a941179f917a570e0fe9/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1295928?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295928&image=2']"
＜解除＞【土砂災害警戒情報】岐阜県・飛騨市（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/48ae5d71ef2a6dd94d94cee0cd92308a18c443a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295915-jnn-000-1-view.jpg?exp=10800,2024-07-15T23:12:59+09:00,2024-07-15T23:12:59+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,173,\nTBS NEWS DIG Powered by JNN\n15日午後11時10分、岐阜県と気象台は、飛騨市に出していた土砂災害警戒情報を解除しました。\n\n《全警戒解除》\n大雨が弱まり、多発的な土砂災害が発生するおそれは少なくなりました。\n\n＜解除された市区町村＞\n・飛騨市\nTBS NEWS DIG Powered by JNN,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295915-jnn-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/48ae5d71ef2a6dd94d94cee0cd92308a18c443a7/images/000']
「日本でしか手に入らない」カレーパン、なぜ外国人観光客に人気? チーズ入りカレーパンに「私の心臓は高鳴った」【Nスタ解説】（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/49dbf3dbffeb91c0c79ac18e2dd1ee238d8eafb8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295900-jnn-000-1-thumb.jpg?exp=10800,2024-07-15T22:02:04+09:00,2024-07-15T22:02:04+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,1275,\nTBS NEWS DIG Powered by JNN\n浅草で外国人観光客のみなさんが、こぞって買っていたのは「カレーパン」です。実は、カレーパンは日本発祥といわれており、その味を体験する外国人が今、急増中だということです。\n【写真を見る】「日本でしか手に入らない」カレーパン、なぜ外国人観光客に人気? チーズ入りカレーパンに「私の心臓は高鳴った」【Nスタ解説】\n■カレーパン なぜ外国人観光客に人気?知られざる魅力とは\n\n南波雅俊キャスター:\n海外からのカレーパン人気も高まっているということです。\n\n日本カレーパン協会のやすひさてっぺい理事長によりますと、インドカレーではない日本のカレーと、日本独自の惣菜パンを一緒に味わいながら、カレーをワンハンドで食べられると人気を集めているといいます。\n\nフレンチの巨匠、ジョエル・ロブションさんは、世界中に有名レストランを展開していますが、2012年からはロブション系列のパンの専門店でカレーパンを手がけています。“カレーパンを自国に持って帰りたい”というくらい気に入っているようです。\n\n外国人観光客からは…\n\n香港・カナダからの観光客（京都でカレーパンを購入）\n「ルーの香りが良く、美味しいと有名」\n\n台湾からの観光客（上野でカレーパン購入）\n「具材がゴロゴロ入っていて感動した 」\n\nという声があり、カレーパンを美味しく食べてたようです。\n\n井上貴博キャスター:\n新たな文化を作り出して、クオリティを上げるのは日本人は得意なのかなと思います。\n\n経営コンサルタント 坂口孝則さん:\n作るのが大変なので、日本人のきめ細やかな調理も光りますよね。\n\n■「メキシコだったら4000～5000円する」高級 黒毛和牛カレーパン!\n\n南波キャスター:\nほかにも人気のカレーパンがあります。\n\nプレミアムカレーパン店（築地場外市場）\n黒毛和牛カレーパン:1500円\n\n和牛の甘みが特徴で、買っていくのは95％が海外からのお客さんだということです。\n\nアメリカ・サンフランシスコからの観光客\n「スクエアという形がユニーク。和牛との組み合わせはとても美味しい」\n\n和牛に惹かれて購入したメキシコからの観光客\n「カレールーのスパイスやパンとの相性も◎。メキシコで買ったら4000～5000円する」\n“映える”ということで「チーズ入りカレーパン」も人気だそうです。\n\n東京でチーズ入りカレーパン購入したアメリカ人観光客のSNS投稿\n「抵抗できない香りが私を引き込んだ。この絶妙なチーズカレーに私の心臓は高鳴った。最初の一口は忘れられない。次の滞在で絶対最初に行く場所になる」\n\n熱烈なファンもいるようです。\n\n==========\n＜プロフィール＞\n坂口孝則さん\n「ビジネスモデル」に詳しい経営コンサルタント \n原価・物流・調達・マーケティングが専門\nTBS NEWS DIG Powered by JNN,[],['https://newsdig.tbs.co.jp/articles/gallery/1295900?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295900&image=2']
お米の高騰に自治体も対策　暑さに強い品種「富富富」の栽培面積を“1.5倍”に拡大へ　富山県【Nスタ解説】（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/a1de281dbe910980bdee00ad492b22ffd304842f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295901-jnn-000-1-thumb.jpg?exp=10800,2024-07-15T22:06:27+09:00,2024-07-15T22:06:27+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,879,\nTBS NEWS DIG Powered by JNN\n食卓に欠かせないお米の高騰が続いています。都内のおにぎり専門店では、度重なる値上げを迫られる事態になっています。\n【写真を見る】お米の高騰に自治体も対策 暑さに強い品種「富富富」の栽培面積を“1.5倍”に拡大へ 富山県【Nスタ解説】\n■コメ高騰で食卓ピンチ…「地球温暖化に負けない品種作り」 自治体もバックアップ\n\n井上貴博キャスター:\n米の高騰が続いている中、地球温暖化に負けない品種作りが進んでいます。\n\n暑さに強い品種「富富富（ふふふ）」について、2024年4月、富山県は栽培面積を2023年度の1.5倍（約2500ha）に拡大する方針を発表しました。\n\n「生産者に適正な水の管理方法などを指導」し、2028年度までの目標は（栽培面積を）1万ヘクタールに引き上げるということで、自治体もバックアップする方針です。\n\nホラン千秋キャスター:\n生産者の1シーズン、2シーズンと長い時間をかけて様々なものを作っていて、自然と向き合いながらの仕事ではありますが、暑さで全部ダメになってしまったら、ガクッときますよね。\n\n井上キャスター:\n「富富富」は稲も低く、雨風にも強いそうです。\n\nまた、高温になるとなぜ品質が劣化するのかということを、遺伝子の検索から行って、開発まで約15年間という時間をかけたそうです。\n\nこれまでの品種は気温が27度になると、品質が劣化して白く濁ってしまってしまっていたそうですが、「富富富」は30度でも耐えられるということです。他の自治体でも様々な品種改良が行われているということです。\n\n産直通販サイト「食べチョク」を運営する秋元里奈さんによると、「コメに限らず野菜なども、暑さに強い品種に切り替えている農家さんが増えています」ということです。\n\n日本で開発ができれば海外輸出も考えられますので、ビジネス面でも「チャンスがあるのではないか」と言われているようです。\nTBS NEWS DIG Powered by JNN,[],['https://newsdig.tbs.co.jp/articles/gallery/1295901?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295901&image=2']
海の日に海で聞く!あなたの「海の思い出」は?みなさんの悲喜こもごも聞いちゃいました!（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/43378729ff375765efe21ad93ec1f00d33c75935,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295896-jnn-000-1-thumb.jpg?exp=10800,2024-07-15T22:17:13+09:00,2024-07-15T22:17:13+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,1982,\nTBS NEWS DIG Powered by JNN\n早朝からお神輿担いできた女性に、“海なし国”の男性が海へのあこがれから海の家店長に?みなさんの「海の思い出」教えてください!\n【写真を見る】海の日に海で聞く!あなたの「海の思い出」は?みなさんの悲喜こもごも聞いちゃいました!\n7月の第三月曜のきょうは、海の恩恵に感謝する「海の日」。\n\n沖縄・那覇市では108年ぶり、3日連続の猛暑日とあって、海の中が気持ちいぃ～\n\n千葉からの観光客\n「めっちゃ透明で最高」\n\nということで、7月15日の「みんなのコエ」は海の日に、海で聞く!「海の思い出」教えてください!まずは、神奈川県の由比ガ浜海水浴場で聞きました。\n\n40代「由比ガ浜の海の家で昔、若い時にバイトしてて、花火大会の日に焼とうもろこしをたくさん売った記録を作った思い出があります。（Q.何本売った?）100本以上売ったと思います」\n子ども「（Q.パパどう?）かっこいい」\n\n30代\n「湘南で一番でかい祭典に（きょう）行ってきました。湘南・茅ヶ崎中の40基のお神輿が海に集結して、そのまま神輿担ぎながら海に突っ込んでいくっていうお祭りがある。（Q.担いだ?）担いできました」\n\nさらに、由比ガ浜で人気の海の家にお邪魔してみると、世界で活躍するダンサーチーム「CYBERJAPAN DANCERS」が一日店長をしていたので、「海の思い出」聞いてみました。\n\nCYBERJAPAN DANCERS JUNONさん\n「全身にオイルを昔塗って、ビーチサイドで寝てた。そしたら本当に気持ちよくて寝落ちしてしまって、背中だけ真っ黒になって前だけ白くなっちゃった」\n\nお隣、逗子市の海水浴場でも「海の思い出」聞いてみました!\n\n父（50代）\n「5年前に僕が『沖縄に行きたい』って言った。子どもたちはまだ『海が怖い』とか言ってたのに僕が強引に行ったら、旅が終わった後、帰ってきて『何が楽しかった?』って聞いたら『シーサーの色塗りが面白かった』って沖縄の海と全く関係なかった。沖縄に何しに行ったんだろう」\n\n子どもたち「（Q.海怖かった?）（頷く二人）」\n娘（小3）「海にサメがいると思ってて」\n母（40代）「思ってたんだ!」\n娘（小3）「（Q.海は記憶に?）ない」\n海を前に黄昏ているのは会社の同僚7人組。\n\n20代\n「（Q.今何している?）女の子と今度海に行くので、その予行演習に付き合ってもらっています」\n「（Q.予行演習はうまくいっている?）いってないな」\n「見てください。男しかいないんで」\n\nただ、こちらの男性は素敵な思い出があるようで…\n\n20代\n「デートで海に行った帰りに告白した。（Q.返事は?）OKでした。でも保留って言って、1か月保留されました。これ振られるなって。（Q.でも結果は?）OKでした」\n\n逗子のビーチを元気に走り回っていたのは1歳半のそらちゃんです。\n\n母（30代）\n「（Q.海デビューはどんな感じ?）1年前なんですけど、ちょうど半年ぐらいのときで、それこそここ（逗子海岸）なんですけど足ピチャンって感じですね。オムツはいたまま海に入って、それだけでも怖がってました」\n\nそんなそらちゃんのお母さん、こちらの海の家で以前働いていたそう。\n\n店員 ティーロさん（28）\n「ご飯はマジで本当にうまいです。タコライスもおすすめ」\n\n日本語ペラペラで接客するのはウズベキスタン出身のティーロさんです。\n\nティーロさん（28）\n「7年前に僕もここ（逗子海岸）に来て遊んでて。オーナーが『働きませんか?』みたいな。そっからもう、海大好きだし、ウズベキスタンには海がないんですよね。だからこっちきて遊んで、そこからつながって、7年もずっとここで。店長みたいなこと（してる）」\n\n内陸の国・ウズベキスタン出身ということで、海への憧れが強いティーロさん。7年前、日本語もあまりできないなか、オーナーがウズベキスタン語で声をかけてきたことに感動したそう。\n\nティーロさん（28）\n「ええ?みたいな、爆笑になったんですよ。そっからもう従業員になっちゃって」\n\nオーナーのセサルさんです。\n\nオーナー セサルさん\n「（Q.当初、彼のことどう思いましたか?）日本語わからないし、料理も合わないし、どうしようかなって思ったんですけど、でも慣れてきたね!」\n「グラシアス!」\nそんなティーロさんの夢が…\n\nティーロさん（28）\n「自分の海の家、出したいです。ウズベキスタンの料理出したいです。来年やるしかないです」\nTBS NEWS DIG Powered by JNN,[],['https://newsdig.tbs.co.jp/articles/gallery/1295896?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295896&image=2']
アユ釣り大会の監視員をしていた74歳男性　川に流され死亡　静岡・伊豆市（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/95358cceed7322abb56831f302ac5da68577a49b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-07169200-jnn-000-3-view.jpg?exp=10800,2024-07-15T21:59:26+09:00,2024-07-15T22:34:15+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,316,\nTBS NEWS DIG Powered by JNN\nきょう午後、静岡県伊豆市でアユ釣り大会の監視員をしていた男性が川に流され、死亡する事故がありました。\n\n警察や消防によりますと、きょう午後1時すぎ、静岡県伊豆市の狩野川で、「釣り大会の監視員をしていた男性が流された」と通報がありました。\n\n流されたのは伊豆の国市の平野信政さん（74）で、消防に救助され病院に運ばれましたが、死亡が確認されました。\n\n川ではアユ釣りの大会が行われていて、平野さんは監視員を務めていました。\n\n警察によりますと、平野さんは川に落ちた釣り竿を拾おうとしたということで、ライフジャケットは着用していませんでした。\nTBSテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-07169200-jnn-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/95358cceed7322abb56831f302ac5da68577a49b/images/000']
【サッカー】コパ・アメリカ　メッシ負傷交代で号泣も優勝で笑顔に　アルゼンチン2大会連続史上最多16度目の優勝（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/e78a3251b3cde4c1b42c2f23591ca56f19f83fe5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295678-jnn-000-1-view.jpg?exp=10800,2024-07-15T21:24:55+09:00,2024-07-15T21:24:55+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,733,\nTBS NEWS DIG Powered by JNN\nサッカーでアメリカ大陸の王者を決めるコパ・アメリカの決勝が日本時間15日、\n米フロリダ州マイアミガーデンズで行われ、アルゼンチンが大会連覇を果たした。コロンビアを延長の末に1ー0で下し、単独最多となる16度目の優勝。延長後半7分にラウタロ・マルティネス（26）のゴールで均衡を破った。今大会で代表を引退するディ・マリア（36）は、延長後半12分までプレーし、最後の試合を優勝で飾った。通算5ゴールのラウタロが得点王。最優秀選手には、コロンビア代表のキャプテン、ハメス・ロドリゲス（33）が選ばれた。\n【写真を見る】【サッカー】コパ・アメリカ メッシ負傷交代で号泣も優勝で笑顔に アルゼンチン2大会連続史上最多16度目の優勝\n■前代未聞のトラブルで大幅遅延\n\n試合前からピッチ外のトラブルでスタートした。主催者や会場の発表によると、チケットを持たない人々がスタジアムに殺到して入場を試みたという。逮捕者も出るなど混乱が起こり、試合開始が約80分遅れた。\n\n■メッシ負傷交代で涙も笑顔に\n\nアルゼンチン代表のキャプテン、リオネル・メッシ（37）は、前半36分、突破した際に右足首を痛めてピッチに倒れ込んだ。治療を受けた後、そのままプレーを続行したが、後半18分、相手選手を追いかけた際に左太もも裏を痛めて転倒。\n\nそのまま立ち上がることができず交代。ベンチへ下がると大粒の涙を流して号泣した。最多16度目の優勝が決まり歓喜の瞬間を迎えると、メッシは両手を突き上げてガッツポーズ。スタッフやチームメートと笑顔で喜びを分かち合った。\nTBS NEWS DIG Powered by JNN,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295678-jnn-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/e78a3251b3cde4c1b42c2f23591ca56f19f83fe5/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1295678?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295678&image=2']"
競泳ロンドン五輪銀・入江陵介「水の事故が無くなるように心から願いたい」日本ライフセービング協会と強力タッグ !（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/6db5321b5c74a94782ce2d45bbeb0d10999d9d5d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295481-jnn-000-2-view.jpg?exp=10800,2024-07-15T20:53:26+09:00,2024-07-15T20:57:53+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,967,\nTBS NEWS DIG Powered by JNN\nイトマンスイミングスクールと日本ライフセービング協会は、海の日の15日、「水辺の事故ゼロ」に向けた啓発活動・教育活動を協力して行っていくためのパートナーシップ協定を締結した。\n【写真を見る】競泳ロンドン五輪銀・入江陵介「水の事故が無くなるように心から願いたい」日本ライフセービング協会と強力タッグ !\nその調印式に、競泳ロンドン五輪銀メダリスト、男子100m・200m背泳ぎで日本記録を持つ入江陵介氏（34）が出席。日本ライフセービング協会のインストラクターと共に、「イトマンスイミングスクール昭和の森校」に在籍する小学生約50人に向けた講習会に参加した。\n\n水の特性を知り、どうすれば溺れないかを知る。そういったテーマのもと「安全な水への入り方・浮き方」などを指導した、日本ライフセービング協会のインストラクターは「水泳が苦手な子より泳ぎができる子が溺れているという実態が見えてきている。速く泳ぐだけでなく、安全な知識と技能をしっかりと伝えたい」と、水難事故の起こりやすい状態や実際にあった事故をベースに作られた動画を子供たちに見せ、水辺の危険性と自分の生命を守る大切さを伝えた。\n\n入江氏は、子ども達と一緒にライフジャケットを着用し楽に浮く姿勢などを体験。講習会後、取材に応じた入江氏は「水を楽しむ立場の人間として水の楽しさ、また水の難しさを子ども達と勉強できた。子ども達が楽しそうにしてくれたのは良かったし、水との触れ合い方を知識として活かして欲しい。水の事故が無くなるように心から願いたい」と笑顔で語った。講習に参加した子ども達は「安全第一で海や川で泳ぎたい」「これからはライフジャケットを持って行こうと思う」など、水辺での遊び方の意識を高めた様子だった。\n\n講習会終了後、入江氏のもとに子ども達が集まった。1人1人に丁寧にサインしながら、水の楽しさと難しさを伝えていた。\n\n■入江陵介（いりえ・りょうすけ）\n1990年1月24日 大坂生まれ。2012年ロンドン五輪100m背泳ぎ銅メダル、200m背泳ぎ銀メダル、400mメドレーリレー銀メダル。元イトマン東進所属:株式会社ナガセ社員\nTBS NEWS DIG Powered by JNN,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240715-21295481-jnn-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/6db5321b5c74a94782ce2d45bbeb0d10999d9d5d/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1295481?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1295481&image=2']"
