headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【夏休み2024】子供が変わる「ハマるおうち読書」著者ら登壇イベント7/27（リセマム）,https://news.yahoo.co.jp/articles/3a2db4a1ce35ae89b461548b0405f5c0cd6b0474,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000008-resemom-000-1-view.jpg?exp=10800,2024-07-18T14:15:03+09:00,2024-07-18T14:15:03+09:00,リセマム,resemom,リセマム,897,\n人気作家に会いに行こう！作家のホンネが聞ける限定イベント\nYondemy主催の「人気作家に会いに行こう！作家のホンネが聞ける限定イベント」が2024年7月27日、大垣書店麻布台ヒルズ店にて開催される。対象は読書に関心・悩みのある親子20組40名。参加無料、申込みは7月24日午後3時まで。\n【画像】大垣書店麻布台ヒルズ店\n「人気作家に会いに行こう！作家のホンネが聞ける限定イベント」は、動画世代の子供たちの本選びをサポートするYondemyのYouTube「ヨンデミーちゃんねる」開設記念として、6歳～12歳の子供と保護者を対象に開催する夏休み親子イベント。\nトークショーでは「トクベツキューカ、はじめました！」の著者である清水晴木氏と、Yondemyの代表で「ハマるおうち読書」の著者である笹沼颯太氏がざっくばらんな読書トークを繰り広げ、本に関する身近なテーマから読書の本音まで、イベントでしか聞けない本の話を深掘りする。質問タイムの時間もあり、読書の悩みにも答えてもらえるという。\nまたワークショップでは、Yondemyの講師と一緒に「読書家のワザ」を使って本の話をする「読書家のワザを使って読書の楽しみ方を広げよう！」を開催。このワザを使うと、「トクベツキューカ、はじめました！」が読みたくなってしまうのだとか。\n参加無料。定員は親子20組40名。申込みは、キッズウィークエンドのWebサイトから受け付けている。会場は、「本と人とをつなぐ書店」をコンセプトにカフェ・アートゾーンを併設する大垣書店 麻布台ヒルズ店。東京メトロ日比谷線「神谷町駅」 5番出口直結、東京メトロ南北線「六本木一丁目駅」2番出口より徒歩4分の立地にある。\n◆人気作家に会いに行こう！作家のホンネが聞ける限定イベント日時：2024年7月27日（土）15:00～16:00会場：大垣書店 麻布台ヒルズ店（港区麻布台1-3-1 ヒルズタワープラザ4F）対象：6歳～12歳定員：親子20組40名参加費：無料締切：2024年7月24日（水）15:00申込方法：Webサイトより申し込む\nリセマム 川端珠紀,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000008-resemom-000-1-view.jpg?pri=l&w=640&h=334&exp=10800'],"['https://news.yahoo.co.jp/articles/3a2db4a1ce35ae89b461548b0405f5c0cd6b0474/images/000', 'https://resemom.jp/article/img/2024/07/18/78064/362102.html']"
東海と関東甲信で梅雨明け、猛暑が継続（リセマム）,https://news.yahoo.co.jp/articles/bcbbcad889a2b87da65e0ef2bd7f6ad8d3f6ad25,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000012-resemom-000-1-view.jpg?exp=10800,2024-07-18T16:49:39+09:00,2024-07-18T16:49:39+09:00,リセマム,resemom,リセマム,584,\n7月20日～26日の平均気温、全国的に高く猛暑の予想\n気象庁は2024年7月18日、東海と関東甲信が平年より1日早く、梅雨明けしたとみられると発表した。ただ夏空は安定せず、向こう1週間は雲が多めの予報。気温はしばらくは平年よりもかなり高くなる見込みだという。\n【画像】東海と関東甲信で梅雨明け\n気象庁の発表によると、2024年の梅雨明けは沖縄が6月20日ごろ、奄美が6月23日ごろ、九州南部が7月17日ごろ、東海・関東甲信が7月18日ごろ。東海・関東甲信はともに平年より1日早く、昨年と比べると東海は2日遅く、関東甲信は4日早い梅雨明け。いずれも梅雨入りが平年より2週間程度遅かったため、平年と比べると3分の2程度の梅雨期間だった。\n7月18日発表の1か月予報をみると、向こう1か月の気温は全国的に高く、特に、期間の前半はかなり高くなる見込みで、熱中症への警戒が必要となりそうだ。また、期間の前半は、前線や低気圧などの影響を受けやすいため、北日本と東日本日本海側の降水量は平年並か多く、北・東日本日本海側の日照時間は平年並か少ない見込みだという。\n7月18日は東京では真夏の日差しが降り注ぎ、最高気温は34度の予報。ただ、気温は高いものの夏空は安定せず、19日は「晴時々曇」、20日は「曇時々晴」で降水確率40％の予想となっている。\nリセマム 川端珠紀,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000012-resemom-000-1-view.jpg?pri=l&w=480&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/bcbbcad889a2b87da65e0ef2bd7f6ad8d3f6ad25/images/000', 'https://resemom.jp/article/img/2024/07/18/78069/362177.html']"
【夏休み2024】ほぼ日×学研「図鑑で恐竜クイズをつくろう！」8/8（リセマム）,https://news.yahoo.co.jp/articles/4c7268994c4881ca67510c0db7791a7fd6d1dbf3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000009-resemom-000-1-view.jpg?exp=10800,2024-07-18T14:45:02+09:00,2024-07-18T14:45:02+09:00,リセマム,resemom,リセマム,828,"\nきみVS恐竜図鑑編集者 図鑑で恐竜クイズをつくろう！\nほぼ日が運営する「ほぼ日の學校」は2024年8月8日、Gakkenの図鑑LIVEと、小学低学年～中学年を対象とした「きみVS恐竜図鑑編集者 図鑑で恐竜クイズをつくろう！」をほぼ日の學校教室にて開催する。定員15名。参加費1,500円（税込）。締切りは7月24日午後3時。\n【画像】きみVS恐竜図鑑編集者 図鑑で恐竜クイズをつくろう！\n「ほぼ日の學校」はGakkenの図鑑LIVEと共に、「きみVS恐竜図鑑編集者 図鑑で恐竜クイズをつくろう！」を開催する。講師は「学研の図鑑LIVE」の編集長で、「学研の図鑑LIVE 恐竜新版」を編集した松原由幸氏。参加者は、会場で渡される恐竜図鑑を使ってオリジナルの恐竜クイズをつくり、松原氏に挑む。松原氏が答えられなかったら、出題者の勝利というゲーム形式で進行するという。\n参加費1,500円（税込）。定員15名で、参加者は抽選により決定する。なお、抽選結果は7月29日までに登録したメールアドレスへ送付される。イベントではYouTubeライブの同時中継を行うため、顔出しが可能な人のみ応募すること。また、撮影した映像は後日、編集のうえ「ほぼ日の學校」のアプリとYouTubeで公開予定。締切りは7月24日午後3時。\n申込みには、ほぼ日の學校のアカウントが必要。無料会員も応募できる。詳細の確認と申込みは、Webサイトより行う。\n◆きみVS恐竜図鑑編集者 図鑑で恐竜クイズをつくろう！日時：2024年8月8日（木）11:00～12:30（開場10:45）場所：ほぼ日の學校教室 2F（東京都千代田区神田錦町3-9 神田ポートビル2F）対象：小学生（低学年～中学年）定員：15名申込締切：2024年7月24日（水）15:00参加費：1,500円（税込）申込方法：Webサイトより申し込む ※申込みには、ほぼ日の學校のアカウントが必要\nリセマム いろは",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000009-resemom-000-1-view.jpg?pri=l&w=640&h=388&exp=10800'],"['https://news.yahoo.co.jp/articles/4c7268994c4881ca67510c0db7791a7fd6d1dbf3/images/000', 'https://resemom.jp/article/img/2024/07/18/78065/361845.html']"
【大学受験2027】清泉女学院大「農学部」千曲市に新設（リセマム）,https://news.yahoo.co.jp/articles/0da134f40e66d30d2c6e6c2921ebc13cc8a389cf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000010-resemom-000-1-view.jpg?exp=10800,2024-07-18T15:15:03+09:00,2024-07-18T15:15:03+09:00,リセマム,resemom,リセマム,780,\n清泉女学院大学\n長野市の清泉女学院大学は2024年7月11日、2027年4月に千曲市に「農学部」を新設する構想を発表した。なお、同大は、2025年4月に「清泉大学」と校名を改め、共学になることが決まっている。\n2024年7月11日、清泉女学院大学の田村俊輔学長が千曲市の小川修一市長と共同会見し、2027年4月に「農学部アグリデザイン学科（仮称）」を開設予定と発表した。一般的な農業に加え、ワインやみその発酵・醸造を学ぶ「農芸化学コース」と、農業を通じた経営や観光、地域活性化を学ぶ「地域創生コース」を設置する。\n千曲市の旧更埴庁舎が候補地で、定員は80人規模。実現すれば市内初の高等教育機関となる。小川修一市長は「千曲市においても長年の悲願だった。地域の生涯学習の機会提供にもつながる。さまざまな波及効果を生み出す大変いい話をいただいた」と語っている。\n構想推進にあたり、文部科学省「大学・高専機能強化支援事業」の支援1「学部再編等による特定成長分野への転換等に係る支援」に申請を行い、同事業の支援の対象として選定された。これにより2026年3月の認可申請、2027年4月開設に向けて準備を進めるという。\n田村俊輔学長は「今の農業を何とかしなければいけない、それが十分にできる。私は魅力的な仕事だと思う。（若者が）地域の新しい将来をつくるだけでなく、世界が直面する危機をチャンスに変えていく未来を夢見たい」と語っている。\n同大は2025年4月に「清泉大学」と校名を改め、全学部全学科を男女共学とすることが決定している。また、あわせて人文社会科学部（情報コミュニケーション学科、文化芸術学科）の新設を設置予定。少子化が進み、各地の女子大が生き残りを迫られる中、共学化に加え、さらなる学部の新設で新たな魅力づくりに取り組む。\nリセマム 中川和佳,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000010-resemom-000-1-view.jpg?pri=l&w=640&h=361&exp=10800'],['https://news.yahoo.co.jp/articles/0da134f40e66d30d2c6e6c2921ebc13cc8a389cf/images/000']
【小学校受験】私立小4校「やってよかったと思える受験」8/29（リセマム）,https://news.yahoo.co.jp/articles/0b1d06ef40a28a2bc4e80b411ba288f5f11bbbc8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000011-resemom-000-1-view.jpg?exp=10800,2024-07-18T16:15:03+09:00,2024-07-18T16:15:03+09:00,リセマム,resemom,リセマム,784,\n第5回私立小学校４校合同子育てセミナー「聞いて、聴いて、訊いてみよう！『最後のエール!!～やってよかったと思える受験に～』」\n進学相談.comは2024年8月29日、サレジアン国際学園目黒星美小学校、湘南学園小学校、昭和女子大学附属昭和小学校、明星小学校による第5回私立小学校4校合同子育てセミナー「聞いて、聴いて、訊いてみよう！『最後のエール!!～やってよかったと思える受験に～』」をオンライン開催する。事前予約制。\n【画像】セミナー詳細\n私立小学校4校合同子育てセミナーでは、サレジアン国際学園目黒星美小学校、湘南学園小学校、昭和女子大学附属昭和小学校、明星小学校を迎える。第5回のテーマは「最後のエール!!～やってよかったと思える受験に～」。\n首都圏の小学校受験まで残り数か月となり、保護者は心配や不安がつきない時期だという。そのような中で「最後は『やってよかった！』と思える受験にしてほしい」という想いを持つ私立小学校の先生が、2025年度の受験を迎える家庭に最後のエールを送る。\n年長児以外の保護者も参加できるという。受験への不安や悩みは、予約時に「質問とコメント」欄で受け付けるほか、当日チャット形式で質問することも可能。Zoomウェビナーで顔や名前、音声を伏せたままで参加できるため、子供の相手をしながらでも気軽に参加できる。\n視聴方法は、進学相談.comへの会員登録と参加予約が必要。会員登録はWebサイトにて受け付ける。\n◆第5回私立小学校4校合同子育てセミナー「聞いて、聴いて、訊いてみよう！『最後のエール!!～やってよかったと思える受験に～』」日時：2024年8月29日（木）19:00～20:00形式：Zoomによるオンライン参加費：無料申込方法：進学相談.comに会員登録し、Webサイトにて予約する\nリセマム 宮内みりる,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000011-resemom-000-1-view.jpg?pri=l&w=640&h=397&exp=10800'],"['https://news.yahoo.co.jp/articles/0b1d06ef40a28a2bc4e80b411ba288f5f11bbbc8/images/000', 'https://resemom.jp/article/img/2024/07/18/78068/362087.html']"
【高校受験】合同進学相談会「新しい学校選びフェア」7/20札幌・名古屋ほか（リセマム）,https://news.yahoo.co.jp/articles/6072391f1deac2fb974f4e69f6108c7e4383a980,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000007-resemom-000-1-view.jpg?exp=10800,2024-07-18T13:45:03+09:00,2024-07-18T13:45:03+09:00,リセマム,resemom,リセマム,1133,\n新しい学校選びフェア2024\n中高生と保護者向けの合同進学相談会「新しい学校選びフェア」が2024年7月20日の札幌コンベンションセンター、名古屋国際会議場を皮切りに、仙台、東京、横浜、京都、大阪、岡山、広島、北九州会場で開催される。参加無料・入退場自由。\n【画像】新しい学校選びフェア2024 札幌会場\n「新しい学校選びフェア」は、通信制高校やサポート校、高等専修学校、寮のある全日制高校などが集う合同進学相談会。相談会、授業体験コーナー、ミニセミナーなど、1日で通信制高校のことがよくわかるイベントになっている。進学や転校を検討している生徒や保護者の参加を呼びかけている。\n2024年度は開催エリア・回数を拡大して5月より全国各地で開催している。会場によって、実施内容や出展校は異なる。参加無料・入退場自由。なお「新しい学校選び講座」は事前予約要。定員制、先着。予約フォームより申し込む。同フェアの詳細は、Webサイトより確認できる。\nまた、ワオ高校は、個別相談のブース出展に加え、「お金の増やし方講座」として、世の中の仕組みがちょっとわかる教養体験授業を実施する。体験した次の日、学校でみんなに言いたくなる「オモシロ教養体験講座」をスマホを使った、ワオ高校の新しい形のオンライン授業で届ける。同講座は、7月20日の名古屋会場、札幌会場、7月27日の京都会場、広島会場、28日の大阪会場で体験できる。\n◆新しい学校選びフェア2024＜札幌会場＞2024年7月20日（土）札幌コンベンションセンター（札幌市白石区東札幌6条1-1-1）＜仙台会場＞2024年9月28日（土）仙台市中小企業活性化センター（仙台市青葉区中央1-3-1 AER 5階）＜東京会場＞2024年10月6日（日）東京国際フォーラム（千代田区丸の内3-5-1）＜横浜会場＞2024年10月26日（土）タカシマヤローズホール（横浜市西区北幸2-11-1）＜名古屋会場＞2024年7月20日（土）名古屋国際会議場（名古屋市熱田区熱田西町1-1）＜京都会場＞2024年7月27日（土）京都市勧業館 みやこめっせ（京都市左京区岡崎成勝寺町9-1）＜大阪会場＞2024年7月28日（日）梅田スカイビル（大阪市北区大淀中1-1-88）＜岡山会場＞2024年10月6日（日）杜の街グレース オフィス スクエア（岡山市北区下石井2-10-12）＜広島会場＞2024年7月27日（土）広島県立広島産業会館（広島市南区比治山本町16-31）＜北九州会場＞2024年11月10日（日）AIMビル（福岡県北九州市小倉北区浅野3-8-1）※埼玉会場、静岡会場、神戸会場、福岡会場は終了\nリセマム 中川和佳,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000007-resemom-000-1-view.jpg?pri=l&w=640&h=464&exp=10800'],"['https://news.yahoo.co.jp/articles/6072391f1deac2fb974f4e69f6108c7e4383a980/images/000', 'https://resemom.jp/article/img/2024/07/18/78063/362064.html']"
アプリでいきもの探し「東京いきもの調査団」9/17まで（リセマム）,https://news.yahoo.co.jp/articles/7a09ac5bd4eb5e1e8ccd02f10b2a27973921d531,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000006-resemom-000-1-view.jpg?exp=10800,2024-07-18T12:15:11+09:00,2024-07-18T12:15:11+09:00,リセマム,resemom,リセマム,629,\n（写真：リセマム）\n東京都は2024年7月18日から9月17日まで、都内で見つけたいきものをスマートフォンで撮影、投稿する調査イベント「東京いきもの調査団2024夏編」を実施する。条件を達成すると抽選で景品がプレゼントされる。\n【画像】東京いきもの調査団2024夏編\n東京いきもの調査団2024夏編は、「Biome」アプリから参加して、いきもの調査を行うイベント。夏クエストの初級編から中上級者向けまで、17種のクエストを用意している。クエストとは、いきもの探しをゲーム感覚で楽しめる機能。都内で対象のいきものを見つけて投稿すると、クエストが達成できる。たとえば「トンボの仲間を2種投稿」など、達成のための条件はクエストごとに異なる。\n参加方法は、「Biome（バイオーム）」アプリをインストール後、「東京いきもの調査団2024夏編」に参加する。クエスト対象の生物を撮影してアプリに投稿し、クリアを目指す。クリア後、バッヂを獲得すると、東京の野生生物にちなんだ多摩川野草の手ぬぐいや、日本トンボ学会のクリアボトルなどの景品に応募ができる。景品は抽選制。\n期間は、7月18日正午から9月17日。誰でも参加できる。\n◆東京いきもの調査団2024夏編期間： 2024年7月18日（木）12:00～2024年9月17日（火）対象：誰でも参加できる参加方法：各自のスマートフォンより「Biome」アプリをインストールして参加する\nリセマム 宮内みりる,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000006-resemom-000-1-view.jpg?pri=l&w=441&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/7a09ac5bd4eb5e1e8ccd02f10b2a27973921d531/images/000', 'https://resemom.jp/article/img/2024/07/18/78061/362043.html']"
25年4月開校「NTTe-Sports高等学院」千葉校1期生の募集開始（リセマム）,https://news.yahoo.co.jp/articles/2c2d0a6ff63189453db933e4d425f55be723f206,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000003-resemom-000-1-view.jpg?exp=10800,2024-07-18T10:15:24+09:00,2024-07-18T10:15:24+09:00,リセマム,resemom,リセマム,915,\nNTTe-Sports高等学院、千葉校第1期生50名の募集を開始\nNTTe-Sportsは2024年7月16日、千葉県千葉市に2025年4月開校予定の通信制サポート校「NTTe-Sports高等学院」の千葉校第1期生50名の募集を開始した。対象は開校時点で新高校1年生となる生徒。\n【画像】NTTe-Sports高等学院 千葉校 校舎イメージ\nNTTe-Sports高等学院は、通信制高校に通う生徒に対し、卒業がスムーズにできるように単位取得に必要な学習や心情面での支援を行う「通信制サポート校」。東京大学eスポーツサークル（通称：UTeS）と共同開発した体系的なスキルアップカリキュラムをラインアップした独自の「eスポーツスキルアップカリキュラム」に加え、イベント企画カリキュラムやeスポーツビジネス講座などの「ビジネスカリキュラム」を設ける。\n開校にあたっては、中央国際学園 中央国際高等学校を設置・運営しているDNKと連携。高卒資格取得や勉学を徹底サポートし、きめ細やかな教育活動を実現する。同社は、日本初のeスポーツ専門の通信制サポート校「eスポーツ高等学院」を2022年4月に渋谷に開校。eスポーツ分野での知見もあり、連携を図ることで教育・eスポーツ業界のプロフェッショナルな講師による指導を行うとしている。\nまた、未来の可能性を広げる活動としてスポーツイベントの運営体験や、アグリテック体験、ドローンビジネス・操縦体験などの「職業体験」、基本情報技術者資格の取得やプログラミングやWebデザイン技術の向上を支援するための「資格取得・スキル習熟支援」も各種ラインアップしている。\n千葉校のキャンパスは、JR総武本線千葉駅より徒歩5分に所在するネクストサイト千葉ビル2F。校舎完成時期は2025年1月ごろ、開校は4月を予定。初年度の生徒募集枠は50名で、2025年4月時点で新高校1年生となる生徒が対象。\n詳細は、NTTe-Sports高等学院の公式Webサイトで確認できる。なお、学校説明会・個別相談・オンライン相談については7月18日現在、近日中に申込受付を開始予定としている。\nリセマム 川端珠紀,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000003-resemom-000-1-view.jpg?pri=l&w=640&h=305&exp=10800'],"['https://news.yahoo.co.jp/articles/2c2d0a6ff63189453db933e4d425f55be723f206/images/000', 'https://resemom.jp/article/img/2024/07/18/78057/362078.html']"
夏休みを最高に楽しむための「時間の使い方」（リセマム）,https://news.yahoo.co.jp/articles/3fb0131e366ab389de40a2c3a5f45b9a7f7b9083,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000005-resemom-000-1-view.jpg?exp=10800,2024-07-18T12:15:04+09:00,2024-07-18T12:15:04+09:00,リセマム,resemom,リセマム,1473,\n（写真：リセマム）\n長い休みが始まると、普段の生活リズムが崩れがちになり、宿題や自主学習、習い事やお出かけなど、どのように時間を使うべきか悩むご家庭が多いのではないだろうか。\n【画像全3枚】\n脳と教育のプロフェッショナル、東北大学加齢医学研究所 川島隆太教授監修の「大ピンチ！解決クラブ1 時間の使い方」（KADOKAWA）は、小学生の日常生活に沿って、上手な「時間の使い方」をまんがで学ぶことができる1冊。本記事では、同書の中から、親子でいっしょに夏休みの「時間の使い方」について考えたり、計画を立てたりするためのヒントを、一部マンガを抜粋して紹介する。（本記事は、「大ピンチ！解決クラブ1 時間の使い方」（KADOKAWA）の一部を抜粋・改編し掲載している。キャラクターデザイン：しゅがお、カバーイラスト：はりかも、漫画：cotori）\n長い夏休みのはずが、あっという間に終わってしまい、宿題は真っ白□という状況にならないために、余裕をもって夏休みを過ごすための秘訣とは。\n1か月の長いお休みも時間をうまく使うには！？\nモモ：夏休みって、最初はやる気満々なんだけどね～□□。\n謎のお姉さん（以下、お姉さん）：途中で崩れちゃう？\nモモ：そう！ 計画を最初に立てるんだけど、それもなんとなく立ててるだけっていうか□□。\nお姉さん：長いお休みはうまく使うのが難しいよね。それは大人も一緒！\nモモ：そうなの？\nお姉さん：そうそう。まあ、大人になったらそんなに長いお休みなんてなかなかないけどね。\nモモ：せっかくだから上手に使いたい！\nお姉さん：よし、計画を立ててみよう！\n楽しい休みは計画が大切「〇〇な夏休み」\nどんな夏休みにしたいか考えるところから、計画スタート！ 長い休みは途中でだらけて気づいたら終わりがち。だから最初にゴールを決めよう！夏休みが終わったあとで、夏休みに題名を付けるとしたらどんなのがいいかな□□と考えてみるといいよ！\n例えばこんな夏休み！\n・友達とたくさん遊んだ・初めての場所に旅行した・本を100冊読んだ・料理の腕が上がった・自由研究にすべてをかけた・工作をしまくった・習い事の練習をたくさんした・とにかくゆっくり過ごせた\n1．決まってる予定を確認しよう！\nまずは、夏休み中に「絶対やりたい予定」「間違いなく発生する予定」を確認しよう。家族旅行の予定など、もう決まっているものがないか、おうちの人に確認するといいよ！\n2．やりたいことを3つ書き出そう！\n次は、夏休みに「やりたいこと」を考えてみるよ。「〇〇な夏休み」にするためには外せないことを3つ書き出してみよう。絶対やりたいことには☆、なるべくやりたいことには◎、できればやりたいことには〇を付けてみよう\n3．やらなきゃいけないことを確認しよう！\n「やりたいこと」だけじゃなくて、「やらなきゃいけないこと」もあるはず。どんなことがあるか確認してみよう。絶対やることには☆、なるべくやることには◎、できればやることには〇を付けてみよう。宿題、習い事、お手伝い、ラジオ体操□ほかにも、人によって色々とあるはず！\n大人でも難しい時間管理。本書は、性格タイプ別の時間の使い方の特徴や、「やることリスト」の例、時間をうまく使えるようになる脳を鍛えるゲームなど、子供の脳の成長にあわせたアドバイスが満載。時間の大切さを知り、主体的に「時間の使い方」を考えるためのツールとして本書を活用してみてはいかがだろうか。\nリセマム 編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000005-resemom-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/3fb0131e366ab389de40a2c3a5f45b9a7f7b9083/images/000', 'https://resemom.jp/article/img/2024/07/18/78060/361349.html']"
【高校受験2025】福岡県立高、40校が特色化選抜と推薦入学の両方実施1/30-31（リセマム）,https://news.yahoo.co.jp/articles/df994ebfb7bf982c169ed8798dcb1b23ca21a591,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000002-resemom-000-1-view.jpg?exp=10800,2024-07-18T10:15:03+09:00,2024-07-18T10:15:03+09:00,リセマム,resemom,リセマム,840,\n推薦入学および特色化選抜を実施（40校)\n福岡県は2024年7月16日、2025年度（令和7年度）福岡県立高等学校入学者選抜に係る推薦入学および特色化選抜の実施校を公表した。推薦入学と特色化選抜の両方を実施するのは春日、筑紫など40校。両選抜ともに2025年1月30日と31日に実施する。\n【画像】推薦入学のみ実施（27校)\n福岡県公立高校では、推薦入学・一般入学者選抜に加え、学校の特色にふさわしい生徒の入学をより一層促進する観点から、生徒の多様な個性を積極的に評価する「特色化選抜」を2019年度より導入。2025年度は、昨年度まで1月下旬に実施していた特色化選抜と、2月上旬に実施していた推薦入学を同一日程とし、2025年1月30日と31日に実施することとしている。\n推薦入学のみ実施校は小倉、八幡、筑紫丘、修猷館など27校。学区ごとにみると、2学区が5校、3学区が3校、4学区が7校、5学区が2校、6学区が3校、8学区が3校、9学区が3校、10学区が1校。\n特色化選抜のみ実施校は若松商業、光陵、柏陵、三池など23校。2学区が2校、3学区が3校、4学区が3校、5学区が4校、6学区が4校、8学区が1校、10学区が6校。\n推薦入学および特色化選抜の実施校は青豊、小倉南、春日、筑紫など40校。1学区が6校、2学区が4校、3学区が5校、4学区が2校、5学区が3校、6学区が2校、7学区が5校、8学区が1校、9学区が1校、11学区が3校、12学区が4校、13学区が4校。ただし、八幡中央高等学校（普通科芸術コース）、嘉穂高等学校（普通科武道・日本文化コース）、直方高等学校（普通科スポーツ科学コース）は推薦入学のみ実施する。\n推薦入学および特色化選抜は、2025年1月22日～28日に願書を受け付け、面接・作文などを1月30日と31日、合格内定通知を2月5日、合格者発表を3月17日に行う。2025年度の選抜要項は10月下旬ごろ公表予定。\nリセマム 川端珠紀,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240718-00000002-resemom-000-1-view.jpg?pri=l&w=556&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/df994ebfb7bf982c169ed8798dcb1b23ca21a591/images/000', 'https://resemom.jp/article/img/2024/07/18/78056/362075.html']"
