headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】知人女性に性的暴行をしょうとした疑いで県警本部の組織犯罪対策一課長を逮捕　岡山県警（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/76e7892d596b4cf2bc6cc150366fee24e1229b3e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553802-ksbv-000-29482312-view.jpg?exp=10800,2024-07-21T15:42:21+09:00,2024-07-21T17:34:54+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,303,\n岡山県警察本部\n知人女性に性的暴行をしょうとした疑いで岡山県警は警察官を逮捕しました。逮捕されたのは岡山県警察本部の組織犯罪対策第一課長・和田弘男容疑者（57)です。 警察によりますと和田容疑者は2024年５月中旬ごろ岡山市内で知人女性に性的暴行を加えようとしましたが未遂におわったということです。被害女性が警察に届け出て捜査を進め逮捕しました。和田容疑者は「全く事実と異なります」と容疑を否認しています。\n岡山県警の川口晃警務部長は、「幹部職員がこのような事件を 起こしたことは言語道断であり極めて遺憾。今後捜査により全容解明を 図り、厳正に対処する」とコメントしています。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553802-ksbv-000-29482312-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/76e7892d596b4cf2bc6cc150366fee24e1229b3e/images/000']
岡山東商が5回に打者一巡の猛攻などで西大寺に勝利【夏の高校野球 岡山大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/ae25bf08db39d0a9c1589e82e196a68dbb1fca66,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553856-ksbv-000-1-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T18:00:49+09:00,2024-07-21T18:00:49+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,207,\n夏の高校野球 岡山大会\n【夏の高校野球岡山大会】3回戦 岡山東商 8―5 西大寺 （マスカットスタジアム 倉敷市、21日）\n岡山東商は2回、先発のマウンドを任された3年生の8番・重光のタイムリースリーベースなどで3点を奪うと、5回には打者一巡の猛攻で4点を追加します。西大寺は7回に5点を返し、9回にも2アウトからチャンスを作りましたが反撃及ばず。岡山東商が準々決勝へ駒を進めました。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553856-ksbv-000-1-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/ae25bf08db39d0a9c1589e82e196a68dbb1fca66/images/000']
香川県で2度目の熱中症警戒アラート　熱中症疑いで搬送された女性（92）死亡（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/e8d34404891d5d9054d206b036874efb4018a46f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553860-ksbv-000-29482681-view.jpg?exp=10800,2024-07-21T18:13:17+09:00,2024-07-21T19:00:55+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,309,\n香川県で2度目の熱中症警戒アラート\n21日は、香川県で熱中症のリスクが高まるとして、「熱中症警戒アラート」が発表されていました。香川県で発表されたのは、2024年で2回目です。\n香川県内の消防によりますと、21日午後4時時点で、17人が熱中症の疑いで救急搬送されました。\n また、警察によりますと、高松市の女性（92）は、昼過ぎに畑で倒れているところを発見され、その後、病院で死亡が確認されました。\n\n 22日も厳しい暑さになるとして、環境省と気象庁は、香川県に熱中症警戒アラートを発表しています。こまめな水分補給や、エアコンを適宜使うなどして、暑さから身を守る行動を取りましょう。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553860-ksbv-000-29482681-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/e8d34404891d5d9054d206b036874efb4018a46f/images/000']
高松東が10安打9得点で善通寺一にコールド勝ち【夏の高校野球 香川大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/1d20cf65421b12fb29a7947425860f8aff4a2f4f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553811-ksbv-000-29482138-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T16:12:42+09:00,2024-07-21T16:54:35+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,204,\n夏の高校野球香川大会\n【夏の高校野球香川大会】3回戦 高松東 9―2 善通寺一 ※7回コールド（レクザムBP丸亀 丸亀市、21日）\n1回に先制を許した高松東はその裏に2死満塁のチャンスをつくり、相手のエラーから2点を奪い、逆転します。\n\n 高松東はその後も得点を重ね、7回には無死満塁で、途中出場の森井が左中間を破るタイムリーを放ち、コールド勝ちで準々決勝に駒を進めました。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553811-ksbv-000-29482138-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/1d20cf65421b12fb29a7947425860f8aff4a2f4f/images/000']
四学香川西が二桁安打で昨夏準優勝の志度を下し準々決勝へ【夏の高校野球 香川大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/b979ea55ff5a73b5e7f5887a6ebe12e43a71fa98,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553820-ksbv-000-29482252-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T16:47:22+09:00,2024-07-21T17:25:58+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,202,\n夏の高校野球香川大会\n【夏の高校野球香川大会】3回戦 四学香川西6-1志度（レクザムスタジアム 高松市、21日）\n四学香川西は1回、2死3塁で4番高田のタイムリー内野安打で先制すると、2回にもスクイズとタイムリーで2点を追加し、リードを広げます。\n\n 志度は6点差の9回、2死満塁のチャンスをつくり、1点を取り返すも反撃及ばず。四学香川西が去年夏の準優勝校を下しました。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553820-ksbv-000-29482252-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/b979ea55ff5a73b5e7f5887a6ebe12e43a71fa98/images/000']
夏休みの朝を爽やかな時間に！　22日～栗林公園でラジオ体操　高松市（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/882347a14087e70a4edcbb22d5e18b2c7e2ca84c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553798-ksbv-000-1-view.jpg?exp=10800,2024-07-21T15:25:38+09:00,2024-07-21T15:25:38+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,249,\nラジオ体操in栗林公園（2022年の様子）\n高松市の栗林公園で、今年も夏休み期間中、ラジオ体操が行われます。\nラジオ体操は、栗林小学校の児童や保護者らが参加して、毎年行われているものです。今年は7月22日～8月30日の、土・日・祝日を除く29日間行われます。時間は、午前6時30分からです。\n 参加費は無料で、栗林小学校以外の学校に通う児童も、飛び入り参加できるということです。\n\n 栗林公園は、ラジオ体操を通して、爽やかな朝の時間を過ごしてほしいとしています。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553798-ksbv-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/882347a14087e70a4edcbb22d5e18b2c7e2ca84c/images/000']
丸亀城西が坂出工を完封リレーで3回戦突破【夏の高校野球 香川大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/91e196771c4436217a01ef0188acc3ad1b0d100d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553750-ksbv-000-29481221-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T12:18:25+09:00,2024-07-21T12:19:12+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,208,\n夏の高校野球香川大会\n【夏の高校野球香川大会】3回戦 丸亀城西 1―0 坂出工（レクザムBP丸亀 丸亀市、21日）\n丸亀城西は5回、2死2塁で2番柏原がタイムリーツーベースで1点を先制します。\n\n 丸亀城西の先発・前田は8回、無死満塁のピンチを背負いますが、3者連続三振で無失点で切り抜けます。9回は前田からマウンドを引き継いだ角銅が抑え、丸亀城西が完封リレーで準々決勝に進出です。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553750-ksbv-000-29481221-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/91e196771c4436217a01ef0188acc3ad1b0d100d/images/000']
英明が大手前高松を下しベスト8へ 先発・清家が完投【夏の高校野球 香川大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/3110578f95dd41117e86716645ec5fc3663cf989,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553770-ksbv-000-1-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T12:47:14+09:00,2024-07-21T12:47:14+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,213,\n夏の高校野球香川大会\n【夏の高校野球香川大会】3回戦 英明 3―1 大手前高松（レクザムスタジアム 高松市、21日）\n去年夏の王者・英明は6回にセカンドゴロの間に先制すると、その後も9番橋本と2番平見のタイムリーで2点を追加します。\n\n 英明の先発・清家は7回に大手前高松にバッテリーエラーで1点を失いますが、その後は大手前高松に得点を許さず、9回までを投げ切り、英明が3回戦を突破しました。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553770-ksbv-000-1-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/3110578f95dd41117e86716645ec5fc3663cf989/images/000']
エースナンバー背負う山本の一打で関西が笠岡商にサヨナラ勝ち【夏の高校野球 岡山大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/300eb47f1662a228c8d163831266c1b3754891bf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553796-ksbv-000-1-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T14:50:31+09:00,2024-07-21T14:50:31+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,204,\n夏の高校野球 岡山大会\n【夏の高校野球岡山大会】3回戦 関西 2x―1 笠岡商（マスカットスタジアム 倉敷市、21日）\nシード校の関西は、2回に先制しますが、それ以降笠岡商のエース三嶋を捉えきれません。1対1で迎えた9回、関西は2アウト3塁のチャンスで、8回から3番手としてマウンドに上がっていた8番・山本がセンター前へヒット！これがサヨナラの一打となり、笠岡商に勝利しました。\nKSB瀬戸内海放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553796-ksbv-000-1-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/300eb47f1662a228c8d163831266c1b3754891bf/images/000']
金光学園が8回二死からの攻勢で勝山に逆転勝利！【夏の高校野球 岡山大会】21日（KSB瀬戸内海放送）,https://news.yahoo.co.jp/articles/3aa0fc4e7b5a0142130a9c4eca259d06a1917b5f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553747-ksbv-000-29481336-view.png?fmt=jpeg&q=85&exp=10800,2024-07-21T12:04:43+09:00,2024-07-21T12:45:10+09:00,KSB瀬戸内海放送,ksbv,KSB瀬戸内海放送,237,"\n夏の高校野球 岡山大会\n【夏の高校野球岡山大会】3回戦 金光学園 5―4 勝山（倉敷市営球場 倉敷市、21日）\n金光学園は2回、8番・中川の犠牲フライで1点を先制するも、4回に連打などで勝山に逆転されてしまいます。2点差で迎えた8回、二死1,2塁から6番・金光がレフト前へ運ぶと、守備が乱れる間にランナー2人が生還。同点とします。なおも二死3塁から、7番・平木がタイムリー内野安打で逆転。8回2死から3点を奪った金光学園が逆転勝利をあげました。\nKSB瀬戸内海放送",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240721-11553747-ksbv-000-29481336-view.png?fmt=jpeg&q=85&exp=10800'],['https://news.yahoo.co.jp/articles/3aa0fc4e7b5a0142130a9c4eca259d06a1917b5f/images/000']
