headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
2度の大地震から見えてきた地域の絆…能登半島輪島市門前町深見地区（テレビ金沢）,https://news.yahoo.co.jp/articles/ae5f236c3c9624b8ffec9f9e6b7c03bb7365e371,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-03772673-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T17:53:00+09:00,2024-07-31T17:57:18+09:00,テレビ金沢,ktk,テレビ金沢,132,\nテレビ金沢NEWS\n17年前の能登半島地震に続き、ことしも大きな地震に見舞われた輪島市門前町深見地区の人たち。\n2度の大地震の経験から見えてきた地域の仲間たちとの絆とは？\n\n※詳しくは動画をご覧ください\n（7月31日放送『となりのテレ金ちゃん』より）,[],[]
自民・森山総務会長が金沢で講演　総裁選「国民の関心非常に高い」（テレビ金沢）,https://news.yahoo.co.jp/articles/4c4889d072c8e4ccab945544d59122d19f3baa16,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04244833-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T17:55:00+09:00,2024-07-31T18:00:26+09:00,テレビ金沢,ktk,テレビ金沢,251,\nテレビ金沢NEWS\n自民党の森山裕 総務会長が31日金沢市内で講演しました。\n\n農林水産大臣などを歴任してきた森山氏は、近年、コメの輸出量が増えていることに触れ、海外の完全機械化した無人農場などを参考に、今後も世界の動きについていかなければならないと述べました。\n\nまた、9月の自民党総裁選について、派閥を解消してから初めての選挙で、「国民の関心が非常に高い」と指摘。\n\n今の日本が置かれた情勢を踏まえ、次の総裁には、外交や経済政策を重視することが求められるといった考えを示しました。,[],[]
夏休みの特別な体験授業！医大で学ぶ「生き物のからだの成り立ち」（テレビ金沢）,https://news.yahoo.co.jp/articles/f0d8cabbcd0fb7c5401cea806abf8d286b58e3c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-06653989-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T17:51:00+09:00,2024-07-31T17:58:20+09:00,テレビ金沢,ktk,テレビ金沢,412,\nテレビ金沢NEWS\n驚きの体験に目が丸くなりました！\n金沢医科大学で、子どもたちが科学への理解を深める教室が開かれました。\n\nこの取り組みは子どもたちに科学に興味を持ってもらおうと金沢医科大学が毎年、行っているものです。\n県内外の小学生が生き物のからだの成り立ちを学んだほか、皮膚の色素を抜いたカエルなどの骨に色を付ける実験を行いました。\nテレビ金沢NEWS\n「あっ！見えた」\n\n普段はできない実験に子どもたちは興味津々といった様子。\n熱心に作業に取り組んでいました。\nテレビ金沢NEWS\n「すごい簡単な作業だったけど、それでも自分がまるで難しいことをしているかのようですごい特別な感じがありました。」\n「混ぜていくにつれてカエルと魚が紫色になっているのが見えて面白かった」\n\n金沢医科大学では子どもたちが科学に興味を持つきっかけになるよう今後も、この取り組みを続けていきたいとしています。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-06653989-ktk-001-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-06653989-ktk-002-2-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/f0d8cabbcd0fb7c5401cea806abf8d286b58e3c8/images/000', 'https://news.yahoo.co.jp/articles/f0d8cabbcd0fb7c5401cea806abf8d286b58e3c8/images/001']"
「推し仏総選挙」中間発表　金沢市で「まるごと奈良博」後期展が開幕（テレビ金沢）,https://news.yahoo.co.jp/articles/419ac1c6e06307cf0446e280c0f5a7e736a055a4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07468948-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T17:47:01+09:00,2024-07-31T17:56:20+09:00,テレビ金沢,ktk,テレビ金沢,482,\nテレビ金沢NEWS\n県立美術館で開かれている「まるごと奈良博」は後期展が始まり、好きな仏像や仏画を選ぶ「推し仏総選挙」の中間発表が行われました。\nテレビ金沢NEWS\n「まるごと奈良博」では、42の仏像仏画の中から自分の好きな仏に投票する「推し仏総選挙」が行われていて、31日は後期展の開幕に合わせ、中間の順位が発表されました。\nテレビ金沢NEWS\n現時点で1位となっているのは「走り大黒」の愛称で知られる「伽藍神立像」。躍動感やユーモアがあるなどの理由から人気だといいます。\nテレビ金沢NEWS\nそして2位には、2歳の頃の聖徳太子の姿を表した可愛さあふれる南無仏太子立像。\nテレビ金沢NEWS\n3位には、赤の彩色の美しさが特徴的な愛染明王坐像がつけています。\n\n\n「若い子たちが投票するみたいな感覚で私たちも遊び感覚で投票できてよかったなと思います。」\n「普段見られないものが見られたので良かった」\n\n「推し仏総選挙」は8月18日に2回目の中間発表が行われる予定です。\n\nまるごと奈良博は8月25日まで県立美術館で開かれます。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07468948-ktk-001-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07468948-ktk-002-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07468948-ktk-003-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07468948-ktk-004-2-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/419ac1c6e06307cf0446e280c0f5a7e736a055a4/images/000', 'https://news.yahoo.co.jp/articles/419ac1c6e06307cf0446e280c0f5a7e736a055a4/images/001', 'https://news.yahoo.co.jp/articles/419ac1c6e06307cf0446e280c0f5a7e736a055a4/images/002', 'https://news.yahoo.co.jp/articles/419ac1c6e06307cf0446e280c0f5a7e736a055a4/images/003']"
小池都知事が能登へ　災害廃棄物の処理「要請あれば都で受け入れ可能」（テレビ金沢）,https://news.yahoo.co.jp/articles/355fdaa03bd2ed274347d256a486915a0d58dc98,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07584518-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T17:50:01+09:00,2024-07-31T17:54:18+09:00,テレビ金沢,ktk,テレビ金沢,614,\nテレビ金沢NEWS\n東京都の小池百合子都知事が31日、県内入りし、元日の地震で被災した輪島市を視察したほか、応援職員として派遣されている都の職員を激励しました。\n\n輪島市内を訪れた東京都の小池知事。被災地の復旧・復興に向け応援職員として支援業務を行う都の職員を激励しようと今回、被災地に入りました。\nテレビ金沢NEWS\n小池 百合子 東京都知事\n「輪島、地域の皆様のために頑張っていただくことは東京の経験の積み重ねにもなるので頑張っていただきたい」\n\n東京都では元日の地震以降、のべ1700人ほどの職員を派遣していて今も県で11人、輪島市で3人が水道や道路などの復旧作業にあたっています。\n\n水道関係の職員\n「市内の下水道は被害が甚大な所もありましてこれから本格的な復旧に尽力できれば」\n\n輪島市内の仮設住宅も視察した小池知事は今後も人的支援だけでなく産業などへの支援を行う考えを示しました。\nテレビ金沢NEWS\n小池 百合子 東京都知事\n「人的支援だけでなく様々な物品販売などもこれまで行ってきた。輪島は輪島塗で有名でございます。その産業を、匠をこれから支えていく意味でも、産品の展示即売など工夫を凝らして行っていきたいと考えています」\n\nまた、馳知事とも面会し、建物の解体により今後の増加が見込まれる災害廃棄物の処理について「要請があれば東京都で受け入れることができる」と述べました。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07584518-ktk-001-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-07584518-ktk-002-2-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/355fdaa03bd2ed274347d256a486915a0d58dc98/images/000', 'https://news.yahoo.co.jp/articles/355fdaa03bd2ed274347d256a486915a0d58dc98/images/001']"
日本最大級の大かがり火の組み立て作業すすむ～石川県川北町・手取の火まつり（テレビ金沢）,https://news.yahoo.co.jp/articles/4767d140967e66e90cce580a885c1afbeef32fa5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04384456-ktk-000-3-thumb.jpg?exp=10800,2024-07-31T17:41:23+09:00,2024-07-31T17:46:20+09:00,テレビ金沢,ktk,テレビ金沢,514,\nテレビ金沢NEWS\n真夏の夜を魅了します！川北町で8月に開催される夏祭りのシンボル、大かがり火の組み立て作業が行われました。\n\n山下 実々 記者\n「会場ではクレーン車によって大かがり火の組み立て作業が行われています。開催に向けた準備が着々と進んでいます」\nテレビ金沢NEWS\n川北町で設置されていたのは来月開催される川北まつりで火がともされる「大かがり火」。\n\n川北まつりは88年前の手取川大洪水の犠牲者の御霊を慰める祭りで高さ40メートルあまりの「大かがり火」が夏の夜空をこがし、およそ2万発の花火が大輪の花を咲かせます。\n\n31日、関係者が祭りの成功と安全を祈願したあと、大かがり火の設置作業が行われました。\nテレビ金沢NEWS\n主催者によりますとことしは元日の地震からの復興を願い、川北町に身を寄せる2次避難者およそ50人を招待するということです。\n\n川北まつり 実行委員会・山本 邦彦 委員長：\n「今回、火祭り、花火を見て、それを見ていただいて、心が晴れていただければなということを思っております」\n\n川北まつりは8月3日に行われ、大かがり火は午後8時頃に点火されるということです。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04384456-ktk-001-3-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04384456-ktk-002-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/4767d140967e66e90cce580a885c1afbeef32fa5/images/000', 'https://news.yahoo.co.jp/articles/4767d140967e66e90cce580a885c1afbeef32fa5/images/001']"
小池東京都知事が被災地能登へ　復興応援の都職員を激励　これまでのべ1700人派遣（テレビ金沢）,https://news.yahoo.co.jp/articles/aeeff44fb521c293bf826ebc6cb316ba181b6dad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04259656-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T15:56:01+09:00,2024-07-31T16:01:18+09:00,テレビ金沢,ktk,テレビ金沢,407,\nテレビ金沢NEWS\n地震で被害を受けた輪島市に31日、東京都の小池都知事が訪れ応援職員として被災地に入っている都の職員を激励しました。\n\n輪島市内を訪れた東京都の小池百合子都知事。\n被災地の復旧・復興に向け応援職員として支援業務を行う都の職員を激励しようと今回、被災地に入りました。\nテレビ金沢NEWS\n小池百合子 東京都知事：\n「みなさんも大変苦労も多いと思いますが地域の皆様のために頑張っていただくことは東京の経験の積み重ねにもなる。体に気を付けてよろしくお願いします」\n\n東京都では元日の地震以降、のべ1700人ほどの職員を派遣していて今も県に11人、輪島市に3人が水道や道路などの復旧作業にあたっています。\nテレビ金沢NEWS\n水道関係の職員：\n「市内の下水道は被害が甚大な所もありましてこれから本格的な復旧に尽力できれば」\n\n午後からは県庁を訪れ馳知事と面会する予定です。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04259656-ktk-001-2-thumb.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-04259656-ktk-002-2-view.jpg?exp=10800']",['https://news.yahoo.co.jp/articles/aeeff44fb521c293bf826ebc6cb316ba181b6dad/images/000']
小松市の豪雨災害から2年　被災地の復旧状況は…市長が治水対策の現状を視察（テレビ金沢）,https://news.yahoo.co.jp/articles/e600da34ca0c1ab44e1a6032c7ae4272b39e4168,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-08829238-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T17:43:01+09:00,2024-07-31T17:46:21+09:00,テレビ金沢,ktk,テレビ金沢,573,\nテレビ金沢NEWS\n2022年8月、加賀地方を襲った豪雨災害。まもなく2年が経つなか小松市の宮橋 勝栄 市長はいまも現地で続く河川の復旧工事を視察しました。\n\n小松市中ノ峠町を訪れた宮橋 勝栄 市長。\n\n訪れた理由は梯川の支流、滓上川護岸で行われている復旧工事の視察です。\n\n宮橋 勝栄 市長\n「何センチくらい堀ったの？」\n職員：\n「大体1メートルぐらい」\nテレビ金沢NEWS\n2022年8月、小松市内は豪雨に見舞われ、梯川や支流の河川が氾濫。1●00棟を超える住宅で浸水などの被害が確認されています。\n\nあれから間もなく2年。\n\n小松市では、国や県と連携し「緊急治水対策プロジェクト」として、梯川水系の河川で護岸の復旧工事や氾濫を防ぐための掘削などを3段階の工期に分けて行っています。\n\n今回、その第一段階の工事が今年度末に終了することから宮橋市長は国と県に対し、治水対策の確実な推進を求める要望書を手渡しました。\nテレビ金沢NEWS\n宮橋 勝栄 小松市長：\n「事前防災の取り組みが着実になされていることは確認できていますので、段階的にでも効果が表れることに期待したい。この緊急治水対策プロジェクトを進めていくことに全力を挙げていきたい」\n\nプロジェクトは2031年度まで段階的に実施されます。,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-08829238-ktk-001-2-view.jpg?exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-08829238-ktk-002-2-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/e600da34ca0c1ab44e1a6032c7ae4272b39e4168/images/000', 'https://news.yahoo.co.jp/articles/e600da34ca0c1ab44e1a6032c7ae4272b39e4168/images/001']"
パリ五輪　水球男子はフランスに惜敗で2敗目　石川出身・新田一景選手も出場（テレビ金沢）,https://news.yahoo.co.jp/articles/f7cf863f6a9b7b84410a48ba6639dc33f692a1ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-02511713-ktk-000-2-view.jpg?exp=10800,2024-07-31T14:50:01+09:00,2024-07-31T15:01:25+09:00,テレビ金沢,ktk,テレビ金沢,421,\nテレビ金沢NEWS\nパリオリンピックで県勢が躍動しています。\n30日夜、水球男子の予選ラウンド第2戦が行われ、白山市出身の新田一景選手が出場しました。\n\n日本時間の30日夜行われた、水球男子の予選ラウンド第2戦。\n相手は、開催国のフランスです。\n完全アウェイな状況でも終始競り合いました。\n\nお隣富山出身で新田選手と同じチームのエース稲葉悠介選手が連続得点し一時、日本がリードします。\n新田選手も途中出場しますが、逆転を許し、日本はなかなかシュートが決めらません。\n\nその後も、地元チーム相手に追いすがりますが、1点差まで詰め寄ったところで試合終了。\n初戦に続き、1点差で負けを喫しました。\n\n次の試合は、日本時間の2日未明、ハンガリーと対戦します。\n\n予選は残り3試合ですが、現在、日本が入るBグループは、スペインが2連勝でリード、オーストラリア、フランス、ハンガリー、セルビアが1勝1敗で並んでいます。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-02511713-ktk-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/f7cf863f6a9b7b84410a48ba6639dc33f692a1ca/images/000']
小松市を襲った豪雨災害からまもなく2年　被災地の治水対策は？市長が現地視察（テレビ金沢）,https://news.yahoo.co.jp/articles/57fd1f3ae0cc73e88ff4f8b3a5bbdd35bd141d30,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-06878847-ktk-000-2-thumb.jpg?exp=10800,2024-07-31T11:48:01+09:00,2024-07-31T11:52:19+09:00,テレビ金沢,ktk,テレビ金沢,407,\nテレビ金沢NEWS\n2022年8月に加賀地方で発生した豪雨災害から2年となるのを前に、小松市の宮橋 勝栄 市長が河川の復旧状況を視察しました。\n\n小松市では2022年8月の豪雨で梯川が氾濫したほか、1200棟を超える住宅に被害が出ました。その後、国や県と連携し「緊急治水対策プロジェクト」として梯川水系の河川に対し、護岸の復旧工事や氾濫を防ぐための掘削などが進められています。\n\n31日、現地を視察に訪れた宮橋市長は、現状について説明を受けた後、国と県に対し、治水対策の確実な推進を求める要望書を手渡しました。\nテレビ金沢NEWS\n宮橋 勝栄 小松市長：\n「事前防災の取り組みが着実になされていることは確認できていますので、段階的にでも効果が表れることに期待したい。この緊急治水対策プロジェクトを進めていくことに全力を挙げていきたい」\n\nプロジェクトは2031年度まで段階的に実施されます。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240731-06878847-ktk-001-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/57fd1f3ae0cc73e88ff4f8b3a5bbdd35bd141d30/images/000']
