headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
夕方の路上で10代女性にわいせつ行為の疑い　会社員の男（41）逮捕　福島・会津若松市（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/bc507ddfd67b929d2eca98ac78771d5accdc34c7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355565-tuf-000-1-view.jpg?exp=10800,2024-08-12T20:51:11+09:00,2024-08-12T20:51:11+09:00,TUFテレビユー福島,tuf,テレビユー福島,285,\nテレビユー福島\n今年5月、福島県会津若松市の路上で10代女性の身体を触るなどした疑いで福島県広野町の男（41）が逮捕されました。\n\n不同意わいせつの疑いで逮捕されたのは福島県広野町の会社員の男（41）です。\n男は5月1日午後6時半ごろ、福島県会津若松市一箕町の路上で、10代女性の身体を触るなどのわいせつ行為をした疑いが持たれています。\n警察は被害者からの届け出を受けて捜査を進め、男の犯行が明らかになったとして逮捕しました。\n警察の調べに対して男は容疑を認めているということです。\n警察は犯行の動機や経緯について詳しく調べています。\nテレビユー福島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355565-tuf-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/bc507ddfd67b929d2eca98ac78771d5accdc34c7/images/000']
“東北横断”台風5号で土砂災害など引き続き注意　海水浴場遊泳禁止など影響も　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/6ed41af12fc502377c3d74b949d63d76c672d845,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355503-tuf-000-3-thumb.jpg?exp=10800,2024-08-12T19:43:28+09:00,2024-08-12T20:24:50+09:00,TUFテレビユー福島,tuf,テレビユー福島,958,\nテレビユー福島\n岩手県に12日朝、上陸して東北を横断する台風5号は福島県内にも影響が出ました。気象台は12日夜遅くにかけて、土砂災害や低い土地の浸水に注意するよう呼びかけています。\n\n佐々木夢夏アナウンサー\n「相馬市の海水浴場は台風の影響で遊泳禁止となっています。大粒の雨が断続的に降り続いていて白波が立っているのが分かります」\n\nお盆休みにも関わらず人の姿が見えない海水浴場。\n台風5号による暴風やしけの影響で、福島県内では12日、いわき市の勿来、四倉の2か所を除く6か所の海水浴場が遊泳禁止となりました。\n台風5号は12日午前8時半ごろ、岩手県大船渡市付近に上陸して東北地方を横断しています。福島県内の新幹線や在来線は通常どおり運行しています。\n\n相馬駅から乗車して部活に向かう高校生\n「いつもより1時間くらい早く出てきました」\n東京から来た旅行客\n「台風の動向を注視しながら次の予定を立てて帰ろうと思います」\n\nこの時期の悪天候は観光に影響が及んでいます。\n8月にリニューアルオープンした旅館では…。\n\n相馬市・遊学の宿いさみや 管野さん\n「お盆はやっぱり私たちの商売は書き入れ時なので正直ちょっと残念ですね。\nきのうお客さんがキャンセルになってしまって、もうひとつ台風が来てるなんて話もあったので心配ですよね」\n\n台風の影響は12日夜遅くまで残る見込みで、気象台では大雨による土砂災害や低い土地の浸水に注意・警戒するよう呼びかけています。\n\n一方、福島市の観光果樹園ではお盆休み、モモ狩りの最盛期を迎えています。\n今回、台風の被害はなかったものの、続けて台風が発生していることから心配する声が聞かれました。\n\nまるえ果樹園 本田隆幸さん\n「モモでもなんでももうできている状態なので風が強ければ落下してしまうのが一番怖い」\n果物にとって風は大敵。旬を迎えているモモだけでなく、10月にかけて成長するリンゴにとっても、大切な時期だといいます。\n\nまるえ果樹園 本田隆幸さん\n「果樹園としては、8月いっぱいから9月いっぱいまでは台風は来ないでほしいなというのが正直なところ」\n\n台風シーズンを迎え、心配な日々が続きそうです。\nテレビユー福島,[],[]
山林斜面で滑落　キノコ採りの男性（65）重傷　福島・猪苗代町（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/fefc360cf3ad82ee53e25afe68ed03d9d3a97208,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355594-tuf-000-1-view.jpg?exp=10800,2024-08-12T21:57:51+09:00,2024-08-12T21:57:51+09:00,TUFテレビユー福島,tuf,テレビユー福島,360,\nテレビユー福島\n警察によりますと12日午前、福島県猪苗代町蚕養の山林にキノコ採りに入った福島市の会社役員の男性（65）が滑落して重傷を負いました。\n\n男性は知人と2人で12日午前10時半ごろからキノコ採りのために沼尻スキー場近くの山林へ入っていましたが午前11時ごろ、山の斜面で滑落して動けなくなったということです。午後になって知人から救助要請を受けた警察官と消防隊員に救助に向かい、午後4時前に消防隊員が男性を発見、救助された男性は病院へ搬送され手当てを受けていますが腰の骨を骨折する重傷です。これまでの話では男性はキノコ採りのため山林の急斜面を登っていて滑落したとみられています。\n\n警察は山へ入る際はクマへの注意を含め、事故に遭わないために十分な安全対策を取るよう呼びかけています。\nテレビユー福島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355594-tuf-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/fefc360cf3ad82ee53e25afe68ed03d9d3a97208/images/000']
さらに台風6号そして台風7号か　新たな台風に注意　関東、東北に週末影響のおそれ（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/0c5ef5ca0719de053ea99f8fde9c502a917ac4d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355546-tuf-000-2-thumb.jpg?exp=10800,2024-08-12T20:19:26+09:00,2024-08-12T20:24:50+09:00,TUFテレビユー福島,tuf,テレビユー福島,389,\nテレビユー福島\n12日に東北地方に上陸した台風5号は、13日までに熱帯低気圧に変わる見込みです。気象台によりますと、台風5号による福島県内への影響はほとんどなくなったということです。ただ台風周辺の暖かく湿った空気の影響で気温が上がり、大気の状態が非常に不安定になっています。引き続き、急な強い雨など天気の急変には警戒が必要です。\n\n続いて新たに発生した台風についてです。台風6号が発生しました。こちらは13日午後には熱帯低気圧に変わる予想で、日本に直接的な影響はないとみられています。\n注意が必要なのは新たに発生した熱帯低気圧です。13日正午ごろには台風に変わる予想です。予報円自体が大きくまだ確実ではありませんが、17日土曜日に関東そして東北にかけて影響が出るおそれがあります。\n今週末は注意が必要で最新の気象情報を確認するようにしてください。\nテレビユー福島,[],[]
尾瀬の吊り橋で60代男性転倒けが　消防防災ヘリで救助　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/560ee2ca947219f22b086fd34f32f948554c6da7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355582-tuf-000-1-view.jpg?exp=10800,2024-08-12T21:27:53+09:00,2024-08-12T21:27:53+09:00,TUFテレビユー福島,tuf,テレビユー福島,253,\nテレビユー福島\n警察によりますと12日午後2時前、福島、群馬、新潟にまたがる尾瀬国立公園にある尾瀬ヶ原の吊り橋で東京都の60代男性が転倒して頭を打つけがをしました。\n\n男性は尾瀬小屋に移動し尾瀬小屋の関係者が消防に救助を要請、福島県の消防防災ヘリで救助され、南会津町の県立南会津病院に運ばれ手当てを受けました。男性は頭を打ち出血するけがをしましたが、命に別状はないということです。男性は妻と2人で群馬県側から入山し、散策中に吊り橋で転倒、橋の金具に頭をぶつけたとみられています。\nテレビユー福島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355582-tuf-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/560ee2ca947219f22b086fd34f32f948554c6da7/images/000']
能登と福島の子どもたちサッカーで交流　ライオンズクラブが橋渡し　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/3541cc17029b3f5518e4e2ff3fc486070cb8c5e5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21354880-tuf-000-2-thumb.jpg?exp=10800,2024-08-12T14:06:29+09:00,2024-08-12T14:41:31+09:00,TUFテレビユー福島,tuf,テレビユー福島,432,\nテレビユー福島\n福島県内の小学生サッカーチームが、能登半島地震で被災した石川県七尾市の子どもたちのチームと10日、サッカーの交流試合を行いました。\n\nサッカーの交流試合を行ったのは、福島県と石川県のジュニアサッカークラブに所属する小学生たちです。\nこの取り組みは、サッカーを通じて能登半島地震で被災した子供たちを笑顔にしようと、福島ライオンズクラブが企画しました。\n\n福島信陵ライオンズクラブ 古川敏博会長\n「東日本大震災の時に（子どもたちが）色々な県に行ってサッカーを楽しむ姿勢を学んできた」\n\nセブン能登ジュニアの小学生選手\n「こんなに良い環境でサッカーができて楽しかったしやりやすかったです\n地震があって練習できなくなったけれど、それをバネにしてもっと成長していきたいと思います」\n\nまた試合後には、試合に参加した福島県いわき市のチームが「同じ被災地として、能登の皆さんを応援しています」とエールを送りました。\nテレビユー福島,[],[]
台風5号の影響で今夜遅くまで大気不安定な状態　相馬市など海水浴場遊泳禁止　福島（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/fe578220e521da6f64c85960bb89ef45b718eb71,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21354933-tuf-000-3-thumb.jpg?exp=10800,2024-08-12T14:36:30+09:00,2024-08-12T15:12:58+09:00,TUFテレビユー福島,tuf,テレビユー福島,365,\nテレビユー福島\n台風5号の影響で福島県内は12日夜遅くにかけて大気の非常に不安定な状態が続く見込みで、気象台は土砂災害や河川の増水などに注意・警戒するよう呼びかけています。\n\n佐々木夢夏アナウンサー\n「相馬市の海水浴場は台風の影響で遊泳禁止となっています。大粒の雨が断続的に降り続いていて白波が立っているのが分かります」\n\n台風5号は12日午前8時半ごろ、岩手県大船渡市付近に上陸して東北を横断していまます。13日午前6時までの24時間に降る雨の量は多い所で会津と中通りで80ミリ、浜通りで60ミリと予想されています。福島県内は12日夜遅くにかけて暖かく湿った空気が流れ込むため、大気の非常に不安定な状態が続く見込みです。\n気象台は土砂災害や河川の増水などに注意・警戒するよう呼びかけています。\nテレビユー福島,[],[]
福島レッドホープス岩村明憲監督　総監督兼球団会長に就任へ（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/12a6912869bc8f6eb985d6384baf3c45c31dff93,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355477-tuf-000-5-thumb.jpg?exp=10800,2024-08-12T19:09:41+09:00,2024-08-12T20:29:27+09:00,TUFテレビユー福島,tuf,テレビユー福島,477,\nテレビユー福島\nプロ野球独立リーグルートインBCリーグの福島レッドホープスは、岩村明憲監督が今シーズン限りで監督を退き、総監督兼球団会長としてチームを支えることになりました。\n【写真を見る】福島レッドホープス岩村明憲監督 総監督兼球団会長に就任へ\n福島レッドホープスは、上位進出を目指した今シーズン、ここまで48試合を終えて7チーム中6位にとどまっています。12日、郡山市で開かれた福島レッドホープスの記者会見で、岩村明憲監督が退任して総監督兼球団代表取締役会長としてチームを支えることが発表されました。岩村監督はNPBヤクルト、楽天、米メジャー・レイズなどで活躍しました。2015年に監督兼選手として福島レッドホープスに入団、その後、選手を引退し監督としてチームを率いてきました。\n\n後任の監督には沖泰司（おきやすし）総合コーチが就任します。\n\n福島レッドホープス岩村明憲監督\n「ついてきてくれた選手たちOBたちに感謝を伝えたい」\n\n岩村監督は8月31日に本宮市で行われるホーム最終戦で、最後の指揮をとります。\nテレビユー福島,[],['https://newsdig.tbs.co.jp/articles/gallery/1355477?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1355477&image=2']
いわきFC　愛媛に勝利で今季2度目の3連勝　谷村3試合連続ゴール（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/3651f8501ac6469b7f3b03af3e19e56a6cf36a9d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355466-tuf-000-2-view.jpg?exp=10800,2024-08-12T18:57:51+09:00,2024-08-12T20:24:50+09:00,TUFテレビユー福島,tuf,テレビユー福島,481,\nテレビユー福島\nサッカー明治安田J2リーグのいわきFCは10日、福島県いわき市のホームで愛媛FCと対戦して一進一退の攻防を制し今季2度目の3連勝です。\n\n2連勝でホーム戦を迎えた7位のいわきFC、相手は10位の愛媛FCです。\n試合は一進一退の攻防。いわきは前半21分、ロングスローから谷村海那が3戦連発となるゴールを奪い先制します。\nしかしその後は押され気味の展開、前半39分にはディフェンスの裏をつかれて愛媛に同点とされます。\n追加点が欲しいいわきは後半、自慢の走力を生かして攻め込みます。\nそして後半37分、五十嵐聖己が右サイドからクロスをあげると…これが相手のオウンゴールを誘い勝ち越します。\nその後、リードを守り切ったいわきは今季2度目の3連勝です。\n\n【3試合連続ゴールを決めた谷村海那選手】\n「常に狙っていたのでボールがきて良かった（今後も）動き回ってディフェンスをはがす動きがしたい」\n\nJ2の順位で、いわきFCは前節とかわらず7位ですが、J1昇格プレーオフ圏内の6位との勝ち点差は3に迫っています。\nテレビユー福島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21355466-tuf-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/3651f8501ac6469b7f3b03af3e19e56a6cf36a9d/images/000']
【クマ出没情報】体長2メートルほどのクマ住宅敷地に30分　福島市佐原　11日午後10時半すぎ（TUFテレビユー福島）,https://news.yahoo.co.jp/articles/f10b2e5ab6e79e3b8f51cc3d4fce459d5290cce6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21354921-tuf-000-1-view.jpg?exp=10800,2024-08-12T14:32:04+09:00,2024-08-12T14:32:04+09:00,TUFテレビユー福島,tuf,テレビユー福島,357,\nテレビユー福島\n警察によりますと11日午後9時40分ごろ、福島市佐原の住宅の敷地で、この家に住む女性がクマ1頭（体長約2メートル）を目撃しました。\n\nクマは庭にいた飼い犬に吠えられながらも住宅の敷地に30分ほどとどまったということです。クマはその後、住宅南側の山林に入っていたということです。これまでに周辺で被害は確認されていません。\n\n目撃されたクマは体長2メートルとほどとみられ、1.5メートルを超えるクマは珍しいものの通報を受け駆けつけた警察官も防犯カメラなどで確認したということです。目撃された住宅は県営あづま総合運動公園の周辺の地区で、このところクマの目撃が相次いでいました。\n警察はパトカーで周辺の警戒にあたるとともに福島市役所に情報を提供して注意を呼びかけています。\nテレビユー福島,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240812-21354921-tuf-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/f10b2e5ab6e79e3b8f51cc3d4fce459d5290cce6/images/000']
