headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
しゃがんで草取りをしていて…自宅敷地に入ってきた家族の車にはねられ94歳の女性死亡（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/35816155f4cae1e0b826974768ea853f087e97f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367431-sbcv-000-1-view.jpg?exp=10800,2024-08-19T23:46:44+09:00,2024-08-19T23:46:44+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,313,\n信越放送\n長野市で自宅の敷地に入ってきた家族の車にはねられ、94歳の女性が死亡しました。\n\n19日午後6時ごろ、長野市戸隠の住宅の敷地内で、この家に住む68歳の団体職員の女性が運転する軽乗用車が、同居する94歳の女性をはねました。\n【写真を見る】しゃがんで草取りをしていて…自宅敷地に入ってきた家族の車にはねられ94歳の女性死亡\nはねられた女性は意識のない状態で病院に運ばれ、その後死亡が確認されました。\n\n警察によりますと、94歳の女性は幅4メートルほどの通路でしゃがんで草取りをしていて、自宅前の道路から右折して入ってきた車にはねられたということです。\n\n警察が事故の原因を調べています。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367431-sbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/35816155f4cae1e0b826974768ea853f087e97f6/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1367431?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1367431&image=2']"
わずか2キロの区間で30分間に20件の追突事故…濃霧で50キロ規制の上信越道で48台が絡む多重事故、急停止や前方不注視などでドライバー15人を書類送検、55歳男性が死亡30人が重軽傷（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/38a8cbc8865f8ca0161d6b8a383882fd9ea173d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366440-sbcv-000-1-view.jpg?exp=10800,2024-08-19T20:32:19+09:00,2024-08-19T20:32:19+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,686,\n信越放送\n小諸市の上信越道で今年3月、合わせて48台の車が絡んだ多重事故で、警察は過失運転傷害の疑いで、運転していた15人を19日までに書類送検しました。\n【写真を見る】わずか2キロの区間で30分間に20件の追突事故…濃霧で50キロ規制の上信越道で48台が絡む多重事故、急停止や前方不注視などでドライバー15人を書類送検、55歳男性が死亡30人が重軽傷\n3月1日の午前8時半ごろ、上信越道上りの小諸インターチェンジと佐久インターチェンジの間で発生した事故。\n\n警察によりますと、およそ2キロの間で、乗用車や大型トラックなど48台が絡む事故となり、長野県池田町の55歳の男性が死亡したほか、4人が大けが、26人が軽いけがをしました。\n\n最初の事故は、59歳の男性が運転する普通貨物車が、車線をまたぐようにして止まった大型トラックに追突したことで発生。\n\n当時、現場は霧が濃く、大型トラックが前方の車に気づくのが遅れて急停止したところに、貨物車が追突したということです。\n\nその後、事故車両や渋滞の車列に追突するなど、30分ほどの間に合わせて20件の事故が発生。\n\nこのうち最大の8台が絡んだ事故では、停止していた乗用車に準中型トラックが追突し、車列を押し出すように玉突き状態となりました。\n\n警察は前方の不注視や安全な速度で走行しなかった、過失運転傷害の疑いで、19日までに運転していた合わせて15人を検察庁に書類送検しました。\n\n警察によりますと現場は当時、霧で視界が悪く、50キロの速度規制が行われていたということです。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366440-sbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/38a8cbc8865f8ca0161d6b8a383882fd9ea173d9/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1366440?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1366440&image=2']"
「恋愛も勉強も部活もいたずらも全部全力で…」パリ五輪柔道金メダリスト出口クリスタ選手が母校で後輩にメッセージ「後悔のない選択を」（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/efef1fc64c123ccc53878039b71de076a5982544,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366368-sbcv-000-1-view.jpg?exp=10800,2024-08-19T21:02:01+09:00,2024-08-19T21:02:01+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,837,\n信越放送\nパリオリンピック™の柔道女子57キロ級の金メダリスト、出口クリスタ選手が19日、母校で開かれた報告会に出席しました。\n【写真を見る】「恋愛も勉強も部活もいたずらも全部全力で…」パリ五輪柔道金メダリスト出口クリスタ選手が母校で後輩にメッセージ「後悔のない選択を」\n輝く金メダルを胸に登場したのは、出口クリスタ選手。\n\nともにパリオリンピックに出場した妹のケリー選手と、松本市の母校松商学園高校を訪れました。\n\n長野雅弘校長:\n「オリンピック出場、金メダルは、126年の歴史を誇る松商学園で初のことです」\n\n報告会は2学期の始業式に合わせて行われ、長野雅弘（ながの・まさひろ）校長は「多くの勇気と感動、力強さを与えてもらった」と、2人の健闘を称えました。\n\n卒業生初のオリンピアンとなった、出口姉妹。\n\n熱い応援に感謝を述べ、同じ学び舎で高校生活を送る後輩たちへメッセージを送りました。\n\n出口クリスタ選手:\n「恋愛も勉強も部活もいたずらも全部全力でやって記憶に残るような高校生活を送ってほしいと思っていて」\n「各々頑張っているものがあると思うが、それも悔いがないように、たとえ前に進むか、そこでやめるか、いろんな選択肢があると思うが、そこで後悔のないような選択を、今後していってください」\n\n柔道部の後輩:\n「一番はかっこいいなって思って。（高校時代に）切磋琢磨してやってきたことはクリスタさん、ケリーさんも今の自分たちと変わりないと思うので、いま3年生なんですけど、頑張ってきてよかったなと思いました」\n高校生:\n「凄い人に会ったなって!自分はバレーボールをやっていて3か月後に選手権の大会があるので、そこで全国大会へ行けるように、金メダルを持って戻ってこれるように頑張りたい」\n\n後輩たちからは、2人も高校時代に歌った校歌と応援団のエールで祝福され、姉妹は大きな拍手に送られて会場を後にしました。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366368-sbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/efef1fc64c123ccc53878039b71de076a5982544/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1366368?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1366368&image=2']"
誤って急斜面に登り…行動不能に　浅間連峰で東京の女性をヘリで救助（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/a9a007ef34d56e44fb0d436637e7c2e76dc9d2e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367390-sbcv-000-1-view.jpg?exp=10800,2024-08-19T21:36:29+09:00,2024-08-19T21:36:29+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,301,\n信越放送\n浅間連峰のトーミの頭付近で、東京の女性が誤って急な斜面に登って動けなくなり救助されました。\n【写真を見る】誤って急斜面に登り…行動不能に 浅間連峰で東京の女性をヘリで救助\n救助されたのは、東京都品川区の48歳の女性です。\n\n警察によりますと、女性は19日に単独で天狗温泉から入山し、トーミの頭に向けて登っていましたが、誤って急な斜面に入り、行動出来なくなりました。\n\n女性が遭難したのは標高2250メートル付近だということです。\n\n午後1時半過ぎに女性から救助要請を受けた県警が、ヘリでおよそ2時間半後に救助しました。\n\n女性にけがはないということです。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367390-sbcv-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/a9a007ef34d56e44fb0d436637e7c2e76dc9d2e4/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1367390?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1367390&image=2']"
住宅の敷地内で軽乗用車に高齢女性がはねられる　女性が意識不明で病院搬送（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/c84970b49007472f5fa159abab75688f86db594d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367391-sbcv-000-1-view.jpg?exp=10800,2024-08-19T21:38:32+09:00,2024-08-19T21:38:32+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,219,\n信越放送\n長野市で19日住宅の敷地内で軽乗用車に高齢の女性がはねられ、女性が意識不明となっています。\n【写真を見る】住宅の敷地内で軽乗用車に高齢女性がはねられる 女性が意識不明で病院搬送\n事故があったのは長野市戸隠の住宅の敷地内で、19日午後6時ごろ、女性が運転する軽乗用車に高齢の女性がはねられました。\n\nこの事故で、高齢の女性が意識のない状態で病院に運ばれたということです。\n\n警察が状況を調べています。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367391-sbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/c84970b49007472f5fa159abab75688f86db594d/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1367391?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1367391&image=2']"
【速報】長野市の【大雨警報】と【洪水警報】はいずれも注意報に切り替え（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/44e9395fa905d382c8ebd4d2d7e7cb074936019b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367277-sbcv-000-3-view.jpg?exp=10800,2024-08-19T19:46:44+09:00,2024-08-19T19:53:30+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,109,\n信越放送\n気象台は、19日午後7時41分に、長野市に発表していた大雨警報と洪水警報をともに注意報に切り替えました。\n【写真を見る】【速報】長野市の【大雨警報】と【洪水警報】はいずれも注意報に切り替え\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21367277-sbcv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/44e9395fa905d382c8ebd4d2d7e7cb074936019b/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1367277?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1367277&image=2']"
「若いころ花屋さんで見て感動して…」妻が夫の手を借り念願の開園…二人三脚で世話をするダリア園、400種800株のダリアが順次見頃に（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/1bee36de182fdc55c7e816d4ec2c1434b323a42a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366416-sbcv-000-1-view.jpg?exp=10800,2024-08-19T20:02:13+09:00,2024-08-19T20:02:13+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,693,\n信越放送\n長野市の中山間地にある夫婦2人で作ったダリア園で、ダリアが見頃を迎えています。\n\n標高およそ820メートル、長野市大岡にある「長野大岡ひなたダリア園」。\n【写真を見る】「若いころ花屋さんで見て感動して…」妻が夫の手を借り念願の開園…二人三脚で世話をするダリア園、400種800株のダリアが順次見頃に\n30アールほどの広さに、およそ400種、800株が植えられていて、さまざまな色や形の花が見頃を迎えています。\n\n今年は梅雨の時期に雨が多かったことなどから、開花が早まったということです。\n\n訪れた人:\n「こんなにたくさんの種類があるって知らなかったので、胸がいっぱいになりました」\n\n管理しているのは、大岡で暮らす待井さん夫妻です。\n\n長野大岡ひなたダリア園 待井洋子（まちい・ようこ）さん:\n「若いころに花屋さんに行って、ダリアの切り花を見て感動して、育ててみたいってずっと思っていて」\n\n洋子さんにとって念願だったダリア園は2023年にオープン。\n\n2人だけで手入れをするのは苦労もあります。\n\n待井洋子さん:\n「植えるのも1人で全部植えましたし、整備も主人に手伝ってもらって、毎日毎日、朝から晩までやっても作業が間に合わない」\n\nそれでも、夫婦だからこその良さもあるといいます。\n\n待井洋子さん:\n「日々の生活の中で2人で話して決めることができるし、主人ならわがままを言ってもぶつぶつ言いながら手伝ってくれる」\n\nダリア園は9月中旬から花の最盛期となり、10月下旬ごろまで楽しめるということです。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366416-sbcv-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/1bee36de182fdc55c7e816d4ec2c1434b323a42a/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1366416?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1366416&image=2']"
【速報】長野県北部の竜巻注意情報を午後7時まで延長（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/1310585786e3b6e185689c39ca0d48a467850e18,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366975-sbcv-000-1-view.jpg?exp=10800,2024-08-19T17:59:28+09:00,2024-08-19T17:59:28+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,265,\n信越放送\n気象庁は、19日午後5時47分、長野県の北部に出していた竜巻注意情報を午後7時までに延長しました。\n【写真を見る】【速報】長野県北部の竜巻注意情報を午後7時まで延長\n午後7時ごろまで急な突風や竜巻に注意が必要です。\n\n気象庁によりますと、長野県の北部は、竜巻などの激しい突風が発生しやすい気象状況になっています。\n\n空の様子に注意し、雷や急な風の変化など積乱雲が近づく兆しがある場合には、頑丈な建物内に移動するなど、安全の確保に努めるとともに、落雷や、ひょう、急な強い雨にも注意が必要です。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366975-sbcv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/1310585786e3b6e185689c39ca0d48a467850e18/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1366975?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1366975&image=2']"
行方不明5人の捜索に区切り…戦後最悪58人死亡の御嶽山噴火災害「10年経過し地形変化で発見困難に」遺族らの「山びこの会」が事前調査の結果受け判断（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/10cd901e8a1ee91cb72cfbf92409b5069c805222,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366841-sbcv-000-3-view.jpg?exp=10800,2024-08-19T18:28:29+09:00,2024-08-19T19:41:33+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,587,\n信越放送\n御嶽山噴火災害の遺族などでつくる「山びこの会」は、7月の現地調査の結果を受けて、会としては行方不明者の捜索を行わないことを決めました。\n【写真を見る】行方不明5人の捜索に区切り…戦後最悪58人死亡の御嶽山噴火災害「10年経過し地形変化で発見困難に」遺族らの「山びこの会」が事前調査の結果受け判断\n山びこの会は7月29日、民間の山岳捜索会社とともに、行方不明者が流されたとみられる御嶽山八丁ダルミ東側の谷筋で、不明者の独自捜索に向けた事前調査を行いました。\n\nその結果、捜索会社側からは「10年が経ち、噴火後の土石流で地形も変わってしまっているため、発見するのは難しい」といった説明を受けたということです。\n\n山びこの会事務局代表のシャーロック英子（ひでこ）さんによりますと、これを受けて会としては、これまで続けてきた独自の捜索活動に区切りをつけることを決断しました。\n\n一方、長男が行方不明になっている愛知県の野村敏明さんは、取材に対し、「会の方針なので致し方ないが、残念という言葉しかない。探すことをやめた時点で見つからなくなってしまうので、諦めたくない」と話し、今後は個人として方法を検討し、捜索を続けていく意向です。\n\n2014年に発生した御嶽山の噴火災害では、58人が死亡したほか、現在も5人が行方不明となっています。\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366841-sbcv-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/10cd901e8a1ee91cb72cfbf92409b5069c805222/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1366841?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1366841&image=2']"
「戦争は始めると終わることが出来ないんだと分かる場所…」旧海軍が海なし県・信州に造った地下壕…当時の村長の日記の解読とともに地域の歴史を語り継ぐ住民の活動に迫る（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/11bf9dbfeac420e702e0155afd28955ebe68b290,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366214-sbcv-000-2-view.jpg?exp=10800,2024-08-19T18:46:50+09:00,2024-08-19T19:16:59+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,2187,\n信越放送\n長野市安茂里に残された旧日本海軍の地下壕と、戦時中、村長だった男性の日記をもとに地域の歴史を受け継ごうとしている活動を取材しました。\n【写真を見る】「戦争は始めると終わることが出来ないんだと分かる場所…」旧海軍が海なし県・信州に造った地下壕…当時の村長の日記の解読とともに地域の歴史を語り継ぐ住民の活動に迫る\n79年前、長野市安茂里で何が起きていたのか。\n地域の人たちの調査で少しずつ分かってきたことがありました。\n\n「黙とう」\n\n8月10日、太平洋戦争の末期に、国の中枢機関を移すために掘られた松代象山（まつしろぞうざん）地下壕では、掘削工事で犠牲となった人たちを悼む集会が開かれました。\n\n松代町からおよそ15キロ。\n\n同じ時期に掘削が進められていた地下壕が、長野市安茂里小市（あもりこいち）にあります。\n\n大本営海軍部壕です。\n\n旧海軍によるものとされ、地元の住民などで作る「昭和の安茂里を語り継ぐ会」が調査活動を続けてきました。\n\n活動のきっかけを作ったのは、事務局長の土屋光男（つちや・みつお）さん76歳です。\n\n昭和の安茂里を語り継ぐ会 土屋光男さん:\n（安茂里について研究しようと思ったきっかけは?）\n「2012年ぐらいだと思うんですけど、安茂里に海軍部壕があるっていうことはもっと前から知っていたんですけど、それを掘った部隊以外の通信隊の薗田部隊が旧村長さんのお宅にいたっていうのが、うんとちっちゃい記事で出ていた」\n\n土屋光男さん:\n「まだここら辺は家もなくて、そこにぽっかりと穴が開いていたんですね」\n\n長野俊英高校の郷土研究班の顧問として、生徒と松代大本営の研究をしてきた土屋さん。\n\nすでに退職していたこともあり、松代大本営の研究の経験を生かして安茂里の地下壕を本格的に調べ始めました。\n\n土屋光男さん:\n「今やっておかなければ永久に忘れられる。だからとにかくこのことをしっかり後世に伝えることが会の務めだと思っています」\n\n調査を進めると、当時を紐解く資料が、村長だった塚田伍八郎（つかだ・ごはちろう）さんの孫の興造（こうぞう）さんの家で見つかります。\n\n「自由日記」。\n\n村長の伍八郎さんが書き残したものです。\n\n土屋光男さん:\n「読んでいるうちに、全然知らないことがかなり出てきた」\n「字はかなり癖がありますけどね」\n\n自由日記を読み解くには1年が必要だったといいます。\n\n日記には最初に土屋さんが疑問に思った「通信隊=薗田部隊」の存在も記されていました。\n\n昭和の安茂里を語り継ぐ会 土屋光男さん:\n「海軍の一番最高機関、最高命令機関をここに移して、立てこもって」\n\nその後、土屋さんは、安茂里地区に詳しい地域の人の協力が必要だと考え、語り継ぐ会を結成。\n\n現在は、12人で活動しています。\n\n安茂里の地下壕は3年前、保存のため整備され、中に入ることができるようになりました。\n\n海軍部壕内の説明（岡村元一さん）:\n「壕は昭和20年6月27日から8月15日の午前中まで、海軍の第300設営隊によって掘りました」\n「掘っていくのは削岩機」\n（昭和20年の時代にあったんですか?）\n「あったんです」\n「ノミの跡ありますね、当時掘っていた削岩機のノミの跡ですね」\n\n説明してくれたのは語り継ぐ会の共同代表で、近くで暮らしてきた岡村元一（おかむら・もといち）さん。\n地下壕は、入り口からまっすぐに50メートル、さらに左右に分かれ合わせておよそ100メートル掘られたといわれています。\n\n子どものころは、30センチほど水がたまっていて、奥に行くために木などでいかだを作って遊んでいたと言います。\n\n奥に進むと、掘る方向を定めたとされる釘やノミの跡なども残ります。\n\n松代地下壕を作ったのは旧陸軍。\n\n安茂里の地下壕は、海軍が中枢を移転する計画で作られたと考えられています。\n\n土屋光男さん:\n「海軍は安茂里に（地下壕を）掘ろうとしていた。ただ手が足りないから陸軍が手伝っていた。長野は最後の本土決戦に備えていた」\n\n一方で、調査を継続するには大きな壁があります。\n\n昭和の安茂里を語り継ぐ会 土屋光男さん:\n「時間との勝負だよ。80代の人はまだ赤ちゃんだったけど、90代の人はある程度見聞きし知っている。いろんなことを積み上げていくと一つの像になる」\n\nそうした中、語り継ぐ会では、若い世代に地下壕を見てもらう機会を増やしています。\n\n7月18日には修学旅行の事前学習で篠ノ井高校犀峡校（さいきょうこう）の生徒たちが訪れました。\n\n犀峡校の生徒:\n「凄いと思いました。昭和に作ったものが今でも残っていて、それを私たちは実際に見ていてすごいと思いました」\n\n昭和の安茂里を語り継ぐ会 土屋光男さん:\n「ありのままを見てもらう。誰が見ても海軍が海なし県のここに穴を掘るなんて、ありえないでしょ。その前に戦争は終わらなきゃいけなかったんだけど、子どもたちに実際に見てもらえば、戦争っていうのは始めちゃうと終わることが出来ないんだと分かる場所だと思う」\n信越放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240819-21366214-sbcv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/11bf9dbfeac420e702e0155afd28955ebe68b290/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1366214?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1366214&image=2']"
