headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
東吾妻山・鎌沼で親子登山　環境保全に理解を深める　植生復元作業も体験（福島民報）,https://news.yahoo.co.jp/articles/7db44640bb031bd57b20d0ebb40b72f97d2d1591,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000018-fminpo-000-1-view.jpg?exp=10800,2024-08-21T16:31:29+09:00,2024-08-21T16:31:29+09:00,福島民報,fminpo,福島民報,451,\n東吾妻山の山頂で記念撮影する参加者\n日本山岳会福島支部と福島民報社の親子登山ｉｎ東吾妻山・鎌沼が１８日、福島県の現地で行われた。高山植物の植生復元作業体験もあり、子どもたちが山に親しみながら環境保全に理解を深めた。\n\n 約２０人が参加した。浄土平を出発し姥ヶ原、東吾妻の急登を経て山頂へ。昼食の後、吾妻山自然倶楽部の清野義美会長から登山道周辺の植生が荒れている現状について話を聞き、復元のための保護ネットを参加者が協力して設置した。\n\n 谷地平湿原、一切経山から連なる県境稜線（りょうせん）などの眺望のほか、オヤマリンドウ、ウメバチソウといった高山植物も楽しんだ。\n\n 日本山岳会福島支部の渡部展雄支部長は「植生復元作業体験は初めて実施した。これからも山の楽しさと同時に自然を守る大切さを伝えていきたい」と話していた。\n\n 親子登山は当初、「山の日」の１１日に行う予定だったが、台風５号接近により中止した。参加予定者からの要望もあり希望者を募って同日程で実施した。\n（共地Ａ版）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000018-fminpo-000-1-view.jpg?pri=l&w=640&h=480&exp=10800'],['https://news.yahoo.co.jp/articles/7db44640bb031bd57b20d0ebb40b72f97d2d1591/images/000']
営農再生、歩み確認　ＪＡ福島さくら（福島県郡山市）ツアー　田村や富岡の施設巡る（福島民報）,https://news.yahoo.co.jp/articles/cebc9d425029e57d654a7dc7fbb3f8bb21551db3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000017-fminpo-000-1-view.jpg?exp=10800,2024-08-21T15:35:25+09:00,2024-08-21T15:35:25+09:00,福島民報,fminpo,福島民報,515,\n富岡町野菜集出荷施設の乾燥庫を見学する参加者\nＪＡ福島さくら（本店・福島県郡山市）は、田村市や富岡町を巡る視察ツアーを実施した。東日本大震災と東京電力福島第１原発事故から営農再生に向けた歩みなどを確かめた。\n\n ＪＡ幹部や報道関係者約２０人が参加した。６月から稼働している富岡町野菜集出荷施設を訪れた。施設は福島再生加速化交付金事業を基に建設され、面積は本州最大級の約４３８７平方メートル。町基幹作物のタマネギの選別や乾燥、貯蔵などを行う。乾燥庫や形状選別機、規格外のタマネギを破砕、脱水する残渣処理装置を見学した。\n\n ふたば統括センターでは、センター管内（広野町、楢葉町、富岡町、川内村、大熊町、双葉町、浪江町、葛尾村）の復興状況を確認した。除染など営農再開に向けた環境整備が進んでいる。２０２３（令和５）年度末現在（暫定値）の営農再開農地は２０００ヘクタール（前年比２４６ヘクタール増）となった。\n\n 田村市の農産物直売所「ふぁせるたむら」では、田村地区の基幹作物のピーマンを使ったジェラートを試食した。三春町の西部営農経済センターのピーマン選果場で、２次選別や袋詰めする現場などを見学した。\n（郡山版）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000017-fminpo-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/cebc9d425029e57d654a7dc7fbb3f8bb21551db3/images/000']
防犯、交通安全呼びかける　福島県警とコジマ×ビックカメラ福島店（福島民報）,https://news.yahoo.co.jp/articles/94cefc4bc79c29e2a57c793bc5396e0e7eb7d88f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000016-fminpo-000-1-view.jpg?exp=10800,2024-08-21T15:35:22+09:00,2024-08-21T15:35:22+09:00,福島民報,fminpo,福島民報,349,\n来店者に詐欺への注意喚起を行うちらしを配る警察官\n福島県警とコジマ×ビックカメラ福島店は防犯・交通安全広報イベントを福島市の同店で行った。交通機動隊員による白バイを使ったスラローム走行の披露や、子ども向けの交通安全教室などを繰り広げた。\n\n 県とコジマ（本社・宇都宮市）が昨年２月に結んだ包括連携協定に基づく事業で、同店や県警本部、福島北署などから約４０人が参加した。\n\n 警察官や市内の高校生によるサイバー防犯ボランティアが、成り済まし詐欺への注意喚起を行うチラシなどを配った。同店のスタッフは、実在する企業や団体の偽サイトに誘導し、クレジットカード番号などの情報を不正に引き出す「フィッシング詐欺」などの詐欺被害を未然に防止する、防犯関連商品の実演販売を行った。\n\n（県北版）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000016-fminpo-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/94cefc4bc79c29e2a57c793bc5396e0e7eb7d88f/images/000']
夏の夜のひとときを楽しむ「灯籠流しと花火大会」　福島県田村市船引町（福島民報）,https://news.yahoo.co.jp/articles/061163ea336a5a9b5c04d3467c514c56f401218d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000015-fminpo-000-2-view.jpg?exp=10800,2024-08-21T15:31:30+09:00,2024-08-21T15:57:10+09:00,福島民報,fminpo,福島民報,847,\n大会会長賞のミツバ\n１８日に福島県田村市船引町の市役所周辺や大滝根川で催された「灯籠流しと花火大会」には多くの市民が訪れ、夏の夜のひとときを楽しんだ。鎮魂や世界平和、絆などのメッセージが込められた灯籠が川面を彩った。灯籠作品コンテストで一般の部最高賞の大会会長賞にはミツバが輝き、福島民報社賞には田村市役所が選ばれた。学生の部大会会長賞は船引南小のお人形様だった。\n\n ミツバは、トトロやネコバスでジブリの世界を表現した。会社の技術を生かし、回転するなど工夫を凝らした。田村市役所は市キャラクター「カブトン」の子ども「カブっち」を作製。今年２０歳を迎え、節目を祝った。箱崎哲司町観光協会長、白石高司市長、大橋幹一市議会議長らが審査した。\n\n 開催に先立ち、市内の船引小裏で供養祭を行い、先祖の霊を慰めた、\n\n 灯籠審査の結果は次の通り。２６日午後４時から市役所で表彰式を行う。\n\n ◇一般▽大会会長賞＝ミツバ▽市長賞＝田村ライオンズクラブ▽市議会議長賞＝みなみ建設▽船引町商工会長賞・大会会長特別賞＝船引ロータリークラブ▽船引地域行政区長会連合会長賞・同＝辰巳屋▽大会実行委員長賞＝北区若連会▽福島民報社賞＝田村市役所▽福島民友新聞社賞＝岡田愛永▽金賞＝箱崎成美、箱崎裕子、箱崎智紀、板谷豆腐店、管野モータース▽銀賞＝家庭バレーボール協会、佐久板金工業、船引町商工会女性部、は～とらいふ船引、橋本秀雄▽銅賞＝ヱビス食堂、荒川愛海、箭内ナカ、大橋美恵、おひさまドーム、橋本公恵、丸六商店、箱崎商店、吉田英夫、星の森保育園\n◇学生▽大会会長賞＝船引南小▽市教育長賞＝吉田遥翔▽大会実行委員長賞＝船引高校美術部▽福島民報社賞＝大橋百々葉▽福島民友新聞社賞＝本田珠佳▽大会会長特別賞＝船引小、わかくさ学園▽優秀賞＝たむら支援学校、志田琴美、角田湊音▽努力賞＝志田文鈴、船引中、大橋ちとせ、荒川颯杜、伊藤すみれ、伊藤あやめ、荒川萬月、熊坂貫汰、熊坂哲汰、熊坂一咲\n\n（県南版）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000015-fminpo-000-2-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/061163ea336a5a9b5c04d3467c514c56f401218d/images/000']
県中支部大会の組み合わせ決定　秋季高校野球（福島民報）,https://news.yahoo.co.jp/articles/b270df7d2347e6d2ba77ae099f198406692542f3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000019-fminpo-000-1-view.jpg?exp=10800,2024-08-21T19:17:23+09:00,2024-08-21T19:17:23+09:00,福島民報,fminpo,福島民報,125,\n（写真：福島民報）\n第７６回秋季東北地区高校野球の県中支部大会の組み合わせは２０日、【表】の通りに決まった。２３日に開幕し、２４、２５、２９、３０の各日、本宮市のしらさわグリーンパーク野球場で１０チームが争う。\n\n 決勝は３０日に行う予定。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000019-fminpo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/b270df7d2347e6d2ba77ae099f198406692542f3/images/000']
やぐらを囲み歌い踊る　福島県楢葉町の「ならは百年祭」にぎわう（福島民報）,https://news.yahoo.co.jp/articles/c32daee56a67b02eb3afe3add64c223246fc0788,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000013-fminpo-000-1-view.jpg?exp=10800,2024-08-21T14:53:21+09:00,2024-08-21T14:53:21+09:00,福島民報,fminpo,福島民報,593,\nゲストパフォーマンスで盛り上げた９４歳の大道芸人ギリヤーク尼ケ崎さん\n１００年後に受け継がれる祭りを目指した福島県楢葉町の「ならは百年祭」は１８日、町内の笑ふるタウンならはで開かれた。台風の接近に伴い、開催を１日延期したが、多くの来場者でにぎわった。フィナーレを飾った「ならは百年踊り」では子どもから大人まで入り乱れてやぐらを囲み、歌って踊って輪を広げた。\n\n 地元有志らでつくる「ならは百年祭をつくる会」の主催で３回目を迎えた。地産品や屋台料理、キッチンカーの出店のほか、各種イベントでにぎわった。\n\n お菓子で作ったものやギリシャ風のこどもみこしが会場を練り歩いた。「やぐら踊り」では町内各地で盆踊りを継承するメンバーらが集結しておはやしを奏でた。９４歳の誕生日を同日に迎えた大道芸人ギリヤーク尼ケ崎さんとシンガー・ソングライタータテタカコさんがゲストパフォーマンスで会場を盛り上げた。\n\n 最後にはこの地に生きる誇りと感謝を込めて、関係者も来場者も早いリズムに乗って踊り回る「ならは百年踊り」と地面を踏みしめる「地固締め」で締めくくった。会長を務めた町内の横須賀直生さんは「台風の影響もありながら、多くの人と楽しい一日を共有できてありがたい。また来年も集まろう」とやぐらから呼びかけた。\n会場一体となってやぐらを囲んで踊り回った「ならは百年踊り」\n（相双版）,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000013-fminpo-000-1-view.jpg?pri=l&w=640&h=509&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000013-fminpo-001-1-view.jpg?pri=l&w=640&h=426&exp=10800']","['https://news.yahoo.co.jp/articles/c32daee56a67b02eb3afe3add64c223246fc0788/images/000', 'https://news.yahoo.co.jp/articles/c32daee56a67b02eb3afe3add64c223246fc0788/images/001']"
全国大会での活躍を誓う　小檜山芽生さん（喜多方三中３年）　福島県喜多方市役所を訪問（福島民報）,https://news.yahoo.co.jp/articles/532e3f12f44ddf2d4d3ca20c654ec24009aa4e5e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000014-fminpo-000-1-view.jpg?exp=10800,2024-08-21T14:53:25+09:00,2024-08-21T14:53:25+09:00,福島民報,fminpo,福島民報,270,\n佐川教育長に活躍を誓う小檜山さん（右）\n第５４回東北中学校卓球大会の女子シングルスで３位に輝き、全国大会に出場する福島県の喜多方三中の小檜山芽生さん（３年）は１９日、喜多方市役所を訪れ、佐川正人教育長に全国大会での活躍を誓った。\n\n 小檜山さんは「自分の力を全て出し切り１ゲームでも多く勝ちたい」と意気込みを語った。佐川教育長は「日本の卓球のレベルは高い。今までの練習の成果を発揮し、頑張ってほしい」と話し、激励金を贈った。五十嵐清人校長らが同席した。\n\n 全国大会は２２日から２５日まで、新潟市で開かれる。\n\n（会津版）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000014-fminpo-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/532e3f12f44ddf2d4d3ca20c654ec24009aa4e5e/images/000']
鮮やかなアサザが見頃に　福島県猪苗代町の猪苗代湖北岸で（福島民報）,https://news.yahoo.co.jp/articles/90fb4df5f110ce158c1145857d6cb3f7bdb3f595,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000010-fminpo-000-1-view.jpg?exp=10800,2024-08-21T11:13:25+09:00,2024-08-21T11:13:25+09:00,福島民報,fminpo,福島民報,298,\n見頃を迎え、猪苗代湖畔を黄色く彩るアサザ＝１９日午前、猪苗代町\n福島県猪苗代町の猪苗代湖北岸で浮葉性植物のアサザが見頃を迎えている。早朝から半日ほど、鮮やかな黄色い花を咲かせている。\n\n アサザは湖水に含まれる窒素やリンなどを吸収して成長するため、水質浄化の植物として注目されている。一方、県レッドリストで絶滅危惧Ⅱ類に指定されている。\n\n 猪苗代湖の自然を守る会はアサザの生息域を守るため、県の協力を得てヒシ回収などの保護活動に取り組んでいる。代表の鬼多見賢さん（７７）は「今年もきれいな花を咲かせてくれた。猪苗代湖の環境を守っていく」と話している。９月中旬ごろまで見頃だという。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000010-fminpo-000-1-view.jpg?pri=l&w=640&h=416&exp=10800'],['https://news.yahoo.co.jp/articles/90fb4df5f110ce158c1145857d6cb3f7bdb3f595/images/000']
夏の楽しいひととき　いわき・ら・ら・ミュウ（福島県いわき市小名浜）　じゃんがらなど披露（福島民報）,https://news.yahoo.co.jp/articles/5511d8280693f941c383a77bdca6308594c5abfe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000012-fminpo-000-1-view.jpg?exp=10800,2024-08-21T14:51:22+09:00,2024-08-21T14:51:22+09:00,福島民報,fminpo,福島民報,339,\n1\n/\n2\nじゃんがら念仏踊りを披露する小名浜じゃんがら踊友会のメンバー\n大勢の観光客と交流を図った恐竜とジャイアントパンダの練り歩き\n福島県いわき市小名浜のいわき・ら・ら・ミュウは１３～１５日の３日間、館内とその周辺で夏のイベントを催した。\n\n １４日は小名浜じゃんがら踊友会（内田直哉会長）による「じゃんがら念仏踊り」が行われた。新盆の伝統行事で毎年この時期に実施している。中学生から社会人までのメンバー１４人が息の合ったじゃんがらを披露し、集まった観客が温かい拍手を送っていた。\n\n １３、１５の両日には、恐竜＆ジャイアントパンダ練り歩きを開催。大勢の観光客が一緒に写真を撮影するなど交流を図り、夏休みの楽しいひとときを過ごした。\n\n（いわき版）,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000012-fminpo-000-1-view.jpg?pri=l&w=640&h=426&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000012-fminpo-001-1-view.jpg?pri=l&w=640&h=426&exp=10800']","['https://news.yahoo.co.jp/articles/5511d8280693f941c383a77bdca6308594c5abfe/images/000', 'https://news.yahoo.co.jp/articles/5511d8280693f941c383a77bdca6308594c5abfe/images/001']"
６０００個の灯籠浮かぶ　県都包む鎮魂の光　福島とうろう流し花火大会　福島市（福島民報）,https://news.yahoo.co.jp/articles/447c1f201ca50f32add9df5880e8a525a62ff8b2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000011-fminpo-000-1-view.jpg?exp=10800,2024-08-21T11:15:22+09:00,2024-08-21T11:15:22+09:00,福島民報,fminpo,福島民報,278,\n鎮魂の祈りがささげられ、阿武隈川の川岸に並べられた灯籠\n福島市の夏の終わりを飾る風物詩「福島とうろう流し花火大会」は２０日、県庁裏の阿武隈川河畔で繰り広げられた。約６千個の灯籠に火がともされ、先祖や亡き人へ鎮魂の祈りをささげた。\n\n 水溶性の灯籠を川に流し、川岸にも敷き詰めた。辺りが温かな光に包まれる中、訪れた人たちは静かに手を合わせていた。送り火として花火が打ち上げられ、県都の夜空を彩った。\n\n 市仏教会と福島とうろう流し発興会の主催、福島青年会議所の共催、たまのやの協賛。当初は１７日に催す予定だったが、台風７号の影響で延期していた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240821-00000011-fminpo-000-1-view.jpg?pri=l&w=640&h=437&exp=10800'],['https://news.yahoo.co.jp/articles/447c1f201ca50f32add9df5880e8a525a62ff8b2/images/000']
