headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【タイ】首都空港、31年に旅客処理能力を８千万人へ（NNA）,https://news.yahoo.co.jp/articles/86a4e5f3ffa722eb96cc0976218ea413a5bbacb5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:31:06+09:00,2024-08-30T11:31:06+09:00,NNA,nna,NNA,437,"\nタイ空港公社（ＡＯＴ）は、首都バンコク近郊のスワンナプーム国際空港を拡張し、2031年までに年間旅客処理能力を8,000万人に引き上げる計画だ。バンコクポストが29日報じた。\n\n ＡＯＴのキラティ社長は28日、同空港を５年以内に世界20位内の空港に成長させるとの政府目標を達成するため、向こう10年間の空港拡張マスタープラン（基本計画）を見直していると明らかにした。\n\n 旅客処理能力を8,000万人に拡大するため、1,200億バーツ（約5,100億円）で新たな旅客ターミナルビルとなる南部ターミナルビル、200億バーツで第４滑走路を建設する方向で検討している。\n\n マスタープランは24年２月までに見直しを完了し、運輸省に提出する。その後は運輸省が政府に提出し、政府は３カ月以内に予算を承認する見通し。工事入札は27年始めの実施を見込んでいる。工期は南部ターミナルビルが４年半、第４滑走路４年。ターミナルは31年末、滑走路は30年末に供用を開始する見通し。",[],[]
【EU】ＵＡＥ社、欧州アンモニア供給で正式契約（NNA）,https://news.yahoo.co.jp/articles/629eb14a29aacf6f7bb17cc60110d7d4e0c3150f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:45:26+09:00,2024-08-30T11:45:26+09:00,NNA,nna,NNA,718,"\nアラブ首長国連邦（ＵＡＥ）アブダビ首長国の肥料会社ファーティグローブ（Fertiglobe）は28日、欧州連合（ＥＵ）向けのグリーンアンモニア供給を巡り、３億9,700万ユーロ規模の契約を正式締結した。初年度の2027年は１万9,500トンの供給を予定しており、最終年の33年には累計39万7,000トンまで拡大する計画だ。\n\n このプロジェクトは、グリーン水素製品の輸入を目的とするドイツの入札プログラム「Ｈ２グローバル」の枠組み内で実施される。ファーティグローブは７月の入札で、経済・気候保護省から同契約を獲得していた。\n\n Ｈ２グローバルはドイツをはじめとする欧州各国のグリーン水素・アンモニア調達において、需要と供給の双方の価格差に対する支援を手がける。今回の契約は、ファーティグローブとＨ２グローバル財団の子会社ヒントコ（Hintco）により締結された。\n\n グリーンアンモニアは、紅海沿岸アイン・スクナ（Ain Sokhna）のグリーン水素プラントから供給される。ファーティグローブはエジプトで、同国の建設大手オラスコム（Orascom）・コンストラクションなどを含むコンソーシアムを通じて同事業を展開。コンソーシアムには、太陽光発電施設の建設・運営を手がけるノルウェーのスカテック（Scatec）、肥料や化学品の製造・販売を手がけるオランダのＯＣＩ、エジプト政府系基金（ＴＳＦＥ）などが参画する。\n\n ファーティグローブはこの事業について、欧州のグリーンアンモニア市場の拡大に向けた重要な一歩だとコメント。域内のエネルギー産業の脱炭素化を推進する上で大きな役割を果たすと意気込んでいる。［環境ニュース］",[],[]
【英国】英国、ＣＰＴＰＰ加盟発効へ　12月15日までに＝欧州から初（NNA）,https://news.yahoo.co.jp/articles/0133f10d0543fffb18bb47c9e61e92bb6e14aa08,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:45:26+09:00,2024-08-30T11:45:26+09:00,NNA,nna,NNA,437,\n英政府は29日、「環太平洋パートナーシップに関する包括的および先進的な協定（ＣＰＴＰＰ）」への参加について、今年12月15日までに批准手続きを経て、発効すると発表した。2018年のＣＰＴＰＰ発効以来初の新規加盟で、欧州からの参加は初めてとなる。\n\n 英国は21年２月に加盟申請し、同年７月に正式に加盟条約に署名していた。加盟には英政府と少なくとも他の加盟６カ国による批准が必要だが、ペルーが６番目の加盟国として批准した。\n\n 英国がＣＰＴＰＰに参加すれば、ウイスキーや自動車を含む英国からの物品輸出のうち99％で関税が撤廃される。英政府は、国内総生産（ＧＤＰ）が長期的に約20億ポンド押し上げられると見込んでいる。\n\n ＣＰＴＰＰには日本とオーストラリア、カナダ、ニュージーランド、シンガポール、マレーシア、ベトナム、ブルネイ、メキシコ、ペルー、チリの11カ国が参加。これまでに中国と台湾、エクアドル、コスタリカ、ウルグアイ、ウクライナも加盟を申請している。,[],[]
【カンボジア】ナイトフランク、上半期の不動産市場を報告（NNA）,https://news.yahoo.co.jp/articles/38bf75cba7f4120be7e7bd07a6422b926522a509,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:31:05+09:00,2024-08-30T11:31:05+09:00,NNA,nna,NNA,781,"\n英系不動産サービス大手ナイトフランクはこのほど、カンボジアの首都プノンペンの2024年上半期（24年１～６月）不動産市場報告書を発表した。\n\n オフィスでは、センソック地区でオフィスビル「ＭＫタワー」（賃貸可能面積＝ＮＬＡは6,000平方メートル）が完成した一方で、２棟のオフィスビル（合計ＮＬＡは4,598平方メートル）が閉鎖。総ＮＬＡは前年同期比４％増の96万3,939平方メートルとなった。\n\n 平均稼働率は同微増の59％。賃貸料は全グレードで下落傾向にある。最も高いのは中心部のダウンペンとチャムカーモンの２地区となっている。\n\n オフィススペースの新規供給量は今後も増加し、ＮＬＡは30年までに150万7,698平方メートルに達する見通しだ。\n\n サービスアパートについては、２棟が完成したことで、総部屋数は前年同期比２％増の8,388室、平均稼働率は同５ポイント増の55％となった。\n\n グレード別の部屋数は、最高級のインターナショナルが全体の27％、中級のビジネスが56％、エコノミーが17％を占めた。サービスアパートの30％が中心部のボンケンコン地区、21％がチャムカーモン地区、20％がダウンペン地区に集中している。\n\n プノンペン中心部で国際ブランドによるサービスアパートの開発が進んでおり、24年下半期（７～12月）中に供給量が10％増加する見通しとなっている。\n\n コンドミニアムを見ると、上期に７棟（合計戸数は3,118戸）が完成し、総棟数は127棟、総戸数は５万3,158戸となった。グレード別の戸数は、最高級（ハイエンド）が全体の15％、高級（プライム）が５％、中級が57％、エコノミーが23％をそれぞれ占める。\n\n 価格は下落傾向にあり、より手頃な価格のコンドミニアムの開発が進もうとしている。",[],[]
【台湾】メルカリ、越境取引を通じて台湾へ進出（NNA）,https://news.yahoo.co.jp/articles/5e7e142318aa287af7f7c780cd87ecbaabe3234c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:31:06+09:00,2024-08-30T11:31:06+09:00,NNA,nna,NNA,466,"\nフリーマーケットアプリ運営のメルカリは29日から、越境取引を通じて台湾へ進出すると発表した。台湾在住者は「メルカリ」に会員登録し、ウェブ版「メルカリ」を通じて、日本で出品された商品を購入することが可能となる。\n\n 台湾では「美露可利」としてサービスを展開する。メルカリは、台湾は３人に１人は訪日経験があるなど、日本の商品が受け入れられやすい市場であることから、今回の越境取引を通じた進出を決定したと説明した。\n\n 台湾でのサービス提供開始を記念し、８月29日～９月９日の期間中に「メルカリ」に会員登録し、指定された条件をクリアした最初の1,000人に対し、最大200台湾元（約905円）相当のギフトカードをプレゼントするキャンペーンを行う。\n\n メルカリは2021年、台湾電子商取引（ＥＣ）大手、網路家庭国際資訊（ＰＣホームオンライン、網家）傘下で日本製品の代理購入サービスなどを手がける「比比昂（Bibian）」と業務提携をし、比比昂が運営する越境代理購入サービスを通じた台湾での越境販売を開始すると発表していた。",[],[]
【ミャンマー】欧州委、ミャンマー洪水被災者を支援（NNA）,https://news.yahoo.co.jp/articles/511736b13f25c8a0f87318e72768ceefb5d1b279,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:31:05+09:00,2024-08-30T11:31:05+09:00,NNA,nna,NNA,313,"\n欧州連合（ＥＵ）欧州委員会は28日、ミャンマーの洪水被災者支援のため、20万ユーロ（約3,200万円）の資金を援助すると発表した。人道支援・市民保護総局（ＥＣＨＯ）が、国際赤十字・赤新月社連盟（ＩＦＲＣ）の災害対応緊急基金を通じて援助する。\n\n ミャンマー赤十字社が、洪水被害が拡大した最大都市を含むヤンゴン地域や中部エヤワディ、バゴー、東部カイン（カレン）、モン、南部タニンダーリの各地域・州で人道支援を拡充する。緊急支援を必要としている約１万5,000人に対し、生活必需品や当面の生活資金、衛生用品などを提供する。\n\n ミャンマーでは６月下旬からモンスーンによる豪雨で洪水が発生し、10万人以上が被災している。",[],[]
【フィリピン】フィッチ、比外貨建て国債を投資適格級に（NNA）,https://news.yahoo.co.jp/articles/b916593512b89adfff1d2f70da8ac849275f515e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-08-30T11:31:05+09:00,2024-08-30T11:31:05+09:00,NNA,nna,NNA,292,\n米英系格付け会社のフィッチ・レーティングスは27日、フィリピン政府が発行を予定している米ドル、ユーロ建て国債に投資適格級の「トリプルＢ（ＢＢＢ）」の格付けを付与したと発表した。\n\n フィッチはフィリピンの外貨建て長期発行体デフォルト格付け（ＩＤＲ）に合わせて、同国債をＢＢＢに格付けした。\n\n フィッチは６月、フィリピンのデフォルト格付けをＢＢＢ、格付け見通しを「ステーブル（安定的）」に据え置いていた。\n\n 一方、フィッチはデフォルト格付けが財政の悪化、外貨準備の減少などで引き下げられる可能性があり、その場合は米ドル、ユーロ建て国債の格付けも下がると説明している。,[],[]
【シンガポール】スターハブ、ドコモなどと新技術の試験成功（NNA）,https://news.yahoo.co.jp/articles/2604ddc29cf210658ed704598595b8f175995e4e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240830-00000003-nna_kyodo-000-1-view.jpg?exp=10800,2024-08-30T11:31:05+09:00,2024-08-30T11:31:05+09:00,NNA,nna,NNA,726,\nシンガポールのスターハブは、ＮＴＴドコモ、オーレックス・サイと提携し、オープンＲＡＮの技術に対応した５Ｇの試験通話を成功させた（スターハブ提供）\nシンガポールの通信大手スターハブは29日、ＮＴＴドコモ、同社とＮＥＣの共同出資会社オーレックス・サイ（OREX SAI）と提携し、特定企業の通信機器に頼らない最新の携帯電話基地局の運用方式「オープンＲＡＮ」の技術に対応した第５世代（５Ｇ）移動通信システムサービスの試験通話を成功させたと発表した。\n\n オープンＲＡＮは、無線基地局の仕様を共通化することにより、異なるメーカーの機器やシステムの相互接続を可能とする無線アクセスネットワークだ。通信会社は顧客のニーズに沿ったサービスを提供するための適切な機器を選び、ネットワークを構築できるようになる。\n\n オープンＲＡＮの実証試験は28日、スターハブの本社で実施。電子計測器大手の米キーサイト・テクノロジーズなどが立ち会い、エンドツーエンド（通信を行う二者を結ぶ経路全体）の無線ＲＡＮの品質を検証するソリューションを用いて検証した。\n\n スターハブのオープンＲＡＮは平均遅延15ミリ秒で、下り最大1.295ギガビット毎秒以上、上り最大73.5メガビット毎秒のデータ転送速度を達成。シンガポールで消費者向けに展開できる品質であることが証明された。\n\n スターハブのアユシュ・シャルマ最高技術責任者（ＣＴＯ）は、「実証実験の成功により、シンガポールで初めて同技術を導入することができる」と説明した。\n\n ＮＴＴドコモの安部田貞行氏は、「本技術の導入で通信会社にさまざまな選択肢を与えることができ、運用コストの削減にもつながる」と述べた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240830-00000003-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/2604ddc29cf210658ed704598595b8f175995e4e/images/000']
【マレーシア】花王、デング熱拡大防止で地域清掃活動（NNA）,https://news.yahoo.co.jp/articles/565c8e64365c189e701d9a99d7d2cfe5da89e3ec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240830-00000004-nna_kyodo-000-1-view.jpg?exp=10800,2024-08-30T11:31:05+09:00,2024-08-30T11:31:05+09:00,NNA,nna,NNA,714,"\n花王（マレーシア）はデング熱拡大防止に向け、スランゴール州プタリンジャヤで地域住民らと清掃活動に取り組んだ（同社提供）\n花王のマレーシア法人、花王（マレーシア）は、蚊が媒介する感染症のデング熱拡大防止に向け、スランゴール州プタリンジャヤで地域住民らと清掃活動に取り組んだ。活動にはプタリンジャヤ市議会（ＭＢＰＪ）、自社開発したデング熱ワクチン「ＱＤＥＮＧＡ（キューデンガ）」を販売する武田薬品工業のマレーシア法人、武田マレーシアも参加した。\n\n 活動場所となったプタリンジャヤの集合住宅「フラットＰＫＮＳタマン・ダト・ハルン」は、デング熱の感染拡大地域（ホットスポット）に指定されている。当日の参加者は100人以上に上り、デング熱を媒介する蚊が発生しやすい水たまりの清掃などを行った。\n\n デング熱の感染拡大はマレーシアで長年にわたり社会問題となっている。特に人口が過密する首都圏のスランゴール州では、75カ所がデング熱の感染拡大地域に指定されている。\n\n 花王（マレーシア）は今年６月、蚊よけ商品「ビオレガード モスブロックセラム」の国内販売開始に合わせ、武田マレーシアと蚊から命を守るプロジェクト「GUARD OUR FUTURE」を発表した。\n\n 同プロジェクトでは、デング熱の危険性と感染を予防しリスクを低減する方法についての啓発活動、学校50校でのコミュニティー活動、スランゴール州のデング熱感染拡大地域での３回の清掃活動を予定。今回のプタリンジャヤでの活動はその一環となる。花王（マレーシア）はまた、ビオレガード モスブロックセラム（容量50グラム）６万1,080本をスランゴール州に寄付する。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240830-00000004-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/565c8e64365c189e701d9a99d7d2cfe5da89e3ec/images/000']
【韓国】７月の訪韓客141万人、19年同月の97％水準（NNA）,https://news.yahoo.co.jp/articles/ffd3941fa527ab0aafe973f56e098677c31b058e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240830-00000011-nna_kyodo-000-1-view.jpg?exp=10800,2024-08-30T11:31:05+09:00,2024-08-30T11:31:05+09:00,NNA,nna,NNA,358,"\n写真:NNA\n韓国観光公社によると、2024年７月の訪韓外国人客数は前年同月比36.5％増の140万8,499人だった。新型コロナウイルス感染症流行前の19年同月の97.3％水準となった。\n\n 主要国・地域別に見ると、日本は前年同月比14.9％増の24万2,953人で19年同月の88.4％水準だった。中国は前年同月の約2.0倍の45万9,069人で、主要国・地域で最も多かった。19年同月からの回復率は88.4％。\n\n 米国は15.3％増の12万874人、欧州は1.6％減の９万7,810人。台湾やインドネシア、米国、欧州の大部分の国からの訪韓客が19年同月を上回った。\n\n 一方、韓国人の７月の海外渡航者数（250万1,969人）は前年同月比16.2％増加。19年同月の94.7％水準となった。",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240830-00000011-nna_kyodo-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/ffd3941fa527ab0aafe973f56e098677c31b058e/images/000']
