headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
能登半島地震の災害関連死に『高岡の高齢男女2人認定』富山県内では初めて…ほかに県内でも増える可能性（富山テレビ）,https://news.yahoo.co.jp/articles/9a7e533d10069dd811522a5ab2a81993e35a8ba3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018494-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:52:02+09:00,2024-09-20T21:52:02+09:00,富山テレビ,bbt,富山テレビ,385,\n富山テレビ放送\n能登半島地震による避難生活などが原因で亡くなる「災害関連死」に高岡市の高齢の男女2人が認定されました。\n「災害関連死」の認定は県内で初めてです。\n\n災害関連死に認定されたのは高岡市に住む90代の女性と80代の男性の2人です。\n\n遺族からの申請を受け、医師や弁護士などで構成される市の審査会が認定しました。\n90代の女性は、被災によって骨折し避難所生活などによって体力が低下、既往症の悪化で亡くなりました。\n\n80代の男性は、地震で傾いた自宅で暮らしていたところ、転倒して骨折、その後、容態が悪化し亡くなりました。\n\n高岡市では、この2人以外の遺族からも災害関連死の相談が数件寄せられています。\n\nまた氷見市でも数件、射水市と富山市で1件ずつ相談があり、県内での災害関連死の認定は今後増える可能性があります。\n富山テレビ放送,[],[]
富山県知事選説明会に立候補を表明の現職と新人の2陣営のほか3人出席…県議補欠選と氷見市長選が同日投票（富山テレビ）,https://news.yahoo.co.jp/articles/ea97bdfaa06e097c00bb1c6dc117cec8ebaad60c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018499-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:49:01+09:00,2024-09-20T21:49:01+09:00,富山テレビ,bbt,富山テレビ,577,\n富山テレビ放送\n来月10日に告示される富山県知事選挙の立候補予定者事務説明会が20日開かれ、立候補を表明している現職と新人の2つの陣営のほか、3人が出席しました。\n\n事務説明会では、立候補に必要な届け出書類や今後のスケジュールが説明されました。\n\n説明会に出席したのは、これまでに立候補を表明している現職の新田八朗知事と、共産党などでつくる「明るい富山県政をみんなでつくる会」が擁立した新人の百塚怜さんの2つの陣営と、富山市の42歳の男性、それに、氏名を公表していない2人です。\n\n知事選は、来月10日告示、27日に投票が行われ、即日開票されます。\n\n一方、渡辺守人さんの死去に伴う県議会議員選挙、高岡市選挙区の補欠選挙は、知事選と同じ、来月27日に投票が行われることが決まりました。\n\n20日開かれた県選挙管理委員会で決まったもので、補選の告示は来月18日です。\n\n公職選挙法の規定では、定数が2以上の選挙区においては、欠員が2人以上になった場合、補選を行うとしていますが、今回は知事選があるため欠員が1人でも同じ日程で補選が行われます。\n\nこのほか、県内では、林正之市長の辞任に伴う氷見市長選が10月27日に投票が決まり、次期衆院選も早ければ同じ日程で行われ最大4つの選挙が重なる可能性があります。\n富山テレビ放送,[],[]
人がほとんど運転に関わらない「レベル4」も可能…富山市で自動運転バス実証実験（富山テレビ）,https://news.yahoo.co.jp/articles/66df4da9f49903727dd41696307b1f48115511c0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018492-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:47:01+09:00,2024-09-20T21:47:01+09:00,富山テレビ,bbt,富山テレビ,863,\n富山テレビ放送\n自動運転のバスを走らせる実証実験が富山市で行われていて、19日から試乗会がはじまりました。\n20日は藤井市長が試乗し、乗り心地を確かめました。\n\n富山市婦中町にあらわれた白い小型バス。\n車体の至る所に突起物が…。\nこれらは、自動運転のためのセンサーやカメラです。\n19日から試乗会が始まり実用に耐えるか、安全性などを確認します。\n\nバスは13人乗りで、時速35キロで走行。\n人がほとんど運転に関わらない「レベル4」と言われる自動運転も可能です。（※今回実証は「レベル2」で実施）\n\n＊リポート\n「EVと聞いて想像するよりは音が大きいですが、ディーゼルエンジンよりは静か。床が低くこの席はゴツンと突き上げはあります」\n\n運転席には乗務員がいて、障害物による急停止などの際に手動で操作する以外は、およそ15kmの試乗区間でハンドルを握ることはありません。\n\n婦中町では去年、自動運転タクシーによる実証実験を行っていますが、タクシーと違って車体が大きなバス。\n例えば、住宅の塀がせり出す狭い道路やギリギリの歩道は事故の危険性が増します。\nこうしたセンサーの死角を補うため、一部の電信柱に補助センサーを設置、歩道にもカラーシートを敷くことで歩行者のはみ出しを防ぎます。\n\nこのほか、開発メーカーでは雪国ならではの縦型信号やスノーポールなどの検知にも苦労したといいます。\n\n20日、実際に速星駅からファボーレまで試乗した藤井市長は・・・。\n\n＊藤井裕久富山市長\n「タクシーやバス、路線によっていろんな車両が必要。できれば来年か再来年。はやいうちにやりたい。富山市でもドライバー不足は大きな問題。しっかり実験を重ねて本格運行を実現したい」\n\n国土交通省は、来年度を目途に国内50カ所でこうした自動運転サービスを実現するとしていて、課題を洗い出します。\n\n試乗会は今月27日まで1日5便運行され、料金は無料ですが、乗車には事前予約が必要です。\n富山テレビ放送,[],[]
『富山生まれのウイスキー』がウイスキー文化根付く台湾で脚光を浴び始めている…その中で（富山テレビ）,https://news.yahoo.co.jp/articles/6a33dd37bfd0e1591845966daa7887f2977d786d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018493-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:44:01+09:00,2024-09-20T21:44:01+09:00,富山テレビ,bbt,富山テレビ,1553,\n富山テレビ放送\n富山県内で唯一、ウイスキーを製造する蒸留所。\n世界で、日本のウイスキーの人気が高まり、輸出額が、この10年で40倍に伸びる中、「富山生まれのウイスキー」がウイスキー文化が根付く台湾で脚光を浴び始めていました。\n\n「夜はすごく活気がある。昼間は暑くて外を歩くのがつらいから、みんな夜になったら出てくる」\n\n砺波市の若鶴酒造5代目、富山唯一のウイスキー蒸留所「三郎丸蒸留所」マスターブレンダーの稲垣貴彦さん。\n\n先月、最大の輸出先である、台湾を訪れました。\n\n稲垣さんが車で向かったのは、台湾北部、淡水区のオフィス街。\n三郎丸蒸留所と取引のあるジャパニーズウイスキーのコレクターに迎えられました。\n並んでいたのは、およそ8000本のコレクションです。\n\n「あっ、ブラックボウモア。こんなところで出会えるとは、ヤバすぎる」\n\nどれもマニアにはたまらないお宝だそうです。\nその中に混じって…。\n\nコレクターのアダムさんが、最も誇りに思うコレクションの一つに挙げるのが、三郎丸のウイスキーです。\n\n＊ウイスキーコレクター アダムチェンさん\n「ジャパニーズウイスキーは以前からとても人気があるが、ウイスキーを飲む人が増えて人気が右肩上がりになっている。価格も上がっているが、三郎丸ウイスキーはいい意味で安定した価格。消費者にとって試しやすく、まずは三郎丸から日本のウイスキーを始めることを勧めている」\n\n稲垣さんは、さらに奥の一点物のボトルが置かれた特別室に招かれました。\n\nそこで、アダムさんからある提案を受けました。\n\n＊若鶴酒造 5代目 三郎丸蒸留所 マスターブレンダー 稲垣貴彦さん\n「ここはマルス駒ケ岳蒸溜所のための部屋になっているが、三郎丸をテーマにした部屋みたいなものも作っていきたいというお話」\n\nウイスキー文化が根付いた台湾から熱い視線が注がれる三郎丸のウイスキー。\n\n日本酒も製造する若鶴酒造の5代目は、なぜウイスキー事業の改革に取り組んだのでしょうか。\n\n＊若鶴酒造 5代目 三郎丸蒸留所 マスターブレンダー 稲垣貴彦さん\n「富山に社会人になって戻ってきた時、曾祖父が蒸留したウイスキーを飲んで、それが1960年蒸留ということで約55年前のウイスキーだった。その味が感動的で時代を経た凄味というか、直接ウイスキーでつながった気がして半世紀の時を超えるウイスキーという時がつくる酒の魅力にはまっていった」\n\n滞在先のホテル。\n\n併設されたウイスキーの展示場であるボトルが目に留まりました。\n\n＊若鶴酒造 5代目 三郎丸蒸留所 マスターブレンダー 稲垣貴彦さん\n「三郎丸1960が収蔵されている」\n\nそれは、2代目が蒸留し、8年前（2016年）稲垣さんが1本55万円で販売した代物でした。\n\n海をわたって、台湾で再会。その値段は…。\n\n「907万6000円。曾祖父が蒸留したものが価値が認められてここにあるというのはうれしいですけど、誰が飲めるのかな」\n\n時を重ね、価値が増していく酒、ウイスキー。\n\n稲垣さんは、いま、ジャパニーズウイスキーを世界に伝え、その地位を確立することで未来にバトンを渡そうとしています。\n\n＊若鶴酒造 5代目 三郎丸蒸留所 マスターブレンダー 稲垣貴彦さん\n「自分の蒸留所だけじゃなくて、いま日本にできている蒸留所がどんな思いでどんな作りでやっているのかということを伝えていくということが、文化としてのウイスキーを育んでいくのではないか」\n\nウイスキーを一時のブームから一国の文化へ…\n\n稲垣さんの挑戦は続きます。\n富山テレビ放送,[],[]
富山市で観測史上最も遅い「猛暑日」…一方で22日にかけ雷を伴い雨が激しく降るところも（富山テレビ）,https://news.yahoo.co.jp/articles/3fed1f6829b4418be16350c738d3a03ac34e6368,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018498-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:55:02+09:00,2024-09-20T21:55:02+09:00,富山テレビ,bbt,富山テレビ,498,\n富山テレビ放送\n9月半ばを過ぎましたが、厳しい暑さが続いています。\n20日の富山県内は気温が上がり、富山市で気温が36度を超え観測史上最も遅い「猛暑日」となりました。\n一方、22日にかけ雷を伴い、雨が激しく降るところがある見込みで、注意が必要です。\n\n20日の県内は、朝から晴れて気温が上昇しました。\n富山市では、日中の気温が36.1度まで上がり「猛暑日」となりました。\n\n富山市では、統計を取り始めてから最も遅い猛暑日です。\n\nこの暑さで熱中症とみられる症状で富山市で70代の男性2人が病院に搬送されました。\nいずれも軽症です。（午後5時現在）\n\n県内は22日にかけ前線や湿った空気の影響で大気の状態が不安定となり、雷を伴い断続的に激しい雨が降り大雨となる所がある見込みです。\n\nまた、急激に進路を変えた台風14号が温帯低気圧となって22日、北陸地方に接近する見込みで強風にも注意が必要です。\n\n21日夕方までの24時間降水量は多いところで80ミリとなる予想です。\n気象台は土砂災害や低い土地の浸水に注意・警戒するよう呼びかけています。\n富山テレビ放送,[],[]
道路に横たわった大学生をひき逃げし死亡させた罪 70歳男に懲役4年求刑 検察側「後ろめたさから逃走」（富山テレビ）,https://news.yahoo.co.jp/articles/65222d5a57bb6c3ed2b04e7e35d27a9b64fef844,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018495-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:42:02+09:00,2024-09-20T21:42:02+09:00,富山テレビ,bbt,富山テレビ,449,\n富山テレビ放送\n去年8月、富山市で道路に横たわっていた男子大学生をひき逃げし死亡させたとして罪に問われている男の裁判で20日、検察は懲役4年を求刑しました。\n\nひき逃げなどの罪に問われているのは、富山市婦中町砂子田の横井徹哉被告（70）です。\n\nこの事件は去年8月富山市の市道で、実家に帰省していた石川県金沢市の大学生が横断歩道に横たわっていたところを車にひかれて死亡したものです。\n\n裁判で横井被告側は、「車でひいたのはマネキン人形のようなもので人だとは思わなかった」として、過失はなかったなどと主張していましたが、20日の論告で検察側は、現場は住宅街の中にある横断歩道であり、人身事故を起こしたと認識するのは極めて容易だったとし、さらに事故直後に現場に戻って立ち去ったのは「事故を起こしたうしろめたさから逃走した」と考えられるなどと、横井被告が人身事故を起こしたことを認識していたと指摘し、懲役4年を求刑しました。\n\n判決は11月19日に言い渡されます。\n富山テレビ放送,[],[]
キャンプ場設計業務など入札めぐり事前に情報漏らしたか…官製談合等の罪で立山町職員に懲役1年6カ月求刑（富山テレビ）,https://news.yahoo.co.jp/articles/e23f636b75a98d454f38d23e5276a8d1b10e5c9a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018501-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:33:01+09:00,2024-09-20T21:33:01+09:00,富山テレビ,bbt,富山テレビ,352,\n富山テレビ放送\n去年、立山町が発注したキャンプ場の設計業務などの入札をめぐり、事前に情報を漏らしたとして町の職員が官製談合防止法違反などの罪に問われている裁判で20日、検察は懲役1年6カ月を求刑しました。\n\n官製談合防止法違反などの罪に問われているのは、立山町職員で富山市の宮越貴浩被告（50）です。\n\n宮越被告は去年4月に行われた「グリーンパーク吉峰新オートキャンプ場」の設計業務などの入札をめぐり、設計事務所の元役員に入札に関する情報を事前に漏らしたなどとされています。\n\n検察側は、「公正を確保すべき立場でありながら町の秘密事項を漏らした結果は重大であり、動機に酌むべき点はない」などとして懲役1年6カ月を求刑しました。\n\n判決は来月25日に言い渡されます。\n富山テレビ放送,[],[]
秋の全国交通安全運動21日から…富山県警本部長「重大事故に直結する悪質な交通違反の取り締まりを」（富山テレビ）,https://news.yahoo.co.jp/articles/7731519ba0385301151af8d719c29907df4bd448,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018497-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:20:02+09:00,2024-09-20T21:20:02+09:00,富山テレビ,bbt,富山テレビ,423,\n富山テレビ放送\n秋の全国交通安全運動が21日から始まります。\n\n20日は、富山県警の出発式が行われ、高木正人本部長が「重大事故に直結する悪質な交通違反の取り締まりに全力を尽くしてほしい」と訓示しました。\n\n今年の県内の交通事故は、19日までに1225件発生し、うち事故による死者は17人と、いずれも去年の同じ時期を下回っています。\n\nしかし、車対歩行者の死亡事故は増え（今年9件 去年同期6件）、ほとんどが夜間に発生していて（今年8件 去年同期3件）、運動期間中、「早めのライトの点灯やハイビームの活用」「反射材の着用による歩行者の事故防止」などを重点的に呼びかけます。\n\n＊交通安全きらめき大使 仲俣由菜さん\n「これから秋冬にかけて日没が早くなり、交通事故の危険性がより高まる。これまで以上に交通安全の意識を持って生活していただきたい」\n\n秋の全国交通安全運動は21日から今月30日まで行われます。\n富山テレビ放送,[],[]
住人男性や家族に恨みか…放火容疑で逮捕の27歳消防士を送検 女性にストーカー行為をしたとして既に起訴（富山テレビ）,https://news.yahoo.co.jp/articles/abfa2861d667d664336e7277dd8a65283562259e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018496-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:38:02+09:00,2024-09-20T21:38:02+09:00,富山テレビ,bbt,富山テレビ,545,\n富山テレビ放送\n富山市の男性の住宅に放火した疑いで逮捕された高岡市の消防士の男の身柄が、20日富山地方検察庁に送られました。\n今回の逮捕後、男は調べに対し黙秘をするようになったということです。\n\n＊リポート\n「容疑者の身柄がこれから富山地方検察庁へ送られます」\n\n現住建造物等放火の疑いで逮捕・送検されたのは、高岡市戸出吉住の消防士、林陽太容疑者（27）です。\n\n警察によりますと、林容疑者はおととし8月、富山市の当時10代の男性の住宅に放火し、天井や壁などを焼失させた疑いがもたれています。\n\n林容疑者はことし6月、知人女性にストーカー行為をしたとして逮捕・起訴され、先月には県東部に住む知人男性の家で玄関からガソリンを流し入れ殺害しようとした疑いで再逮捕されていました。\n\n林容疑者は今回の容疑について黙秘。\nさらに、これまで否認していた容疑についても現在は黙秘しているということです。\n\n警察は、林容疑者が男性や家族に恨みを持ち、単独で犯行に及んだものとみて動機や余罪を調べています。\n\n高岡市消防本部は、「市民の安全・安心を守るべき消防職員としてあるまじき行為であり、今後事実を確認して厳正に対処する」とコメントしています。\n富山テレビ放送,[],[]
YKKグループが黒部市で取り組んでいるパッシブタウン第5期街区施工見学会…自然エネルギー活用した街（富山テレビ）,https://news.yahoo.co.jp/articles/a9ee2b8392921651cce06aae684ed0fd56cd459d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-90018490-bbt-000-1-thumb.jpg?exp=10800,2024-09-20T21:14:01+09:00,2024-09-20T21:14:01+09:00,富山テレビ,bbt,富山テレビ,403,\n富山テレビ放送\nYKKが黒部市で整備を進めている、環境に配慮した集合住宅「パッシブタウン」の第5期街区の施工見学会が21日行われました。\n\nパッシブタウンは自然エネルギーを活用したまちづくりをめざしてYKKグループが黒部市で取り組んでいるプロジェクトです。\n\nこれまでに4つの街区で整備を終えていて、5つめの街区では蓄エネに取り組む中高層住宅が建設されます。\n\n県産材の割合が全体の87％という北陸では初めてとされる木造の中高層住宅で、集合住宅としては初めて、太陽光発電の余剰電力で水素を造ってエネルギーを蓄えるシステムも導入されます。\n\n20日は、設計者であるオーストリア出身の建築家、Hermann Kaufmannさんが訪れ、「耐震性を高めるためのコンクリートの使用箇所など設計には悩んだ」などと語りました。\n\nこの第5期の街区は来年3月に竣工の予定です。\n富山テレビ放送,[],[]
