headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
JUN SKY WALKER(S)、初の海外公演がオーストラリアにて開催決定（CDJournal）,https://news.yahoo.co.jp/articles/7b4ff9b7f0f4122166c9877c96bd80a5406a2573,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000034-cdj-000-1-view.jpg?exp=10800,2024-09-20T18:04:52+09:00,2024-09-20T18:04:52+09:00,CDJournal,cdj,CDジャーナル,682,\nJUN SKY WALKER(S)、初の海外公演がオーストラリアにて開催決定\n今年5月、デビュー35周年ツアーのFINAL公演を東京・LINE CUBE SHIBUYAで大盛況に終えたJUN SKY WALKER(S)。彼らが、新たなチャレンジをすることが発表されました。それは、オーストラリアでのライヴ開催。JUN SKY WALKER(S)初の海外公演となります。\n\n タイトルは〈JUN SKY WALKER(S) Live in AUSTRALIA 2025〉。JUN SKY WALKER(S)とオーストラリアといえば、「歩いていこう」のMVの撮影で、ファンの間でも“ゆかりの地”として知られている特別な場所。\n\n 〈JUN SKY WALKER(S) Live in AUSTRALIA 2025〉は、2025年1月11日（土）シドニーの250名収容可能なライヴハウスで開催。現地でのチケット販売に先駆けて、日本からのオフィシャルツアーの申し込みがスタート。オフィシャルツアーは、メンバーとの集合写真撮影やアフターパーティーへの招待、限定グッズプレゼントなどスペシャルな内容となっています。\n\n さらに、現地に訪れてのライヴ参加ができない多くのファンのために、クラウドファンディングが9月20日（金）20:00より受付開始。クラファンのリターンは、後日ライヴ配信の視聴券と、メンバーのお宝グッズや限定Tシャツなど、豪華メニューで盛りだくさんな内容となっています。JUN SKY WALKER(S)の新たなチャレンジをぜひお見逃しなく。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000034-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/7b4ff9b7f0f4122166c9877c96bd80a5406a2573/images/000']
Itaq、祖父の人生を“代弁”した新曲「HODAI -豊かに大きく-」をリリース（CDJournal）,https://news.yahoo.co.jp/articles/eb860432ce479955dd72c24f2ed0e3aaa0236bb0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000037-cdj-000-1-view.jpg?exp=10800,2024-09-20T19:14:34+09:00,2024-09-20T19:14:34+09:00,CDJournal,cdj,CDジャーナル,599,\nItaq、祖父の人生を“代弁”した新曲「HODAI -豊かに大きく-」をリリース\nラッパーのItaqが、新曲「HODAI -豊かに大きく-」を9月20日（金）にリリース。\n\n 「HODAI -豊かに大きく-」は、Itaqが新しく始めた「ラップ代行プロジェクト」、自分以外の心や人生をラップに変える新たなシリーズの第1弾で、実の祖父である板倉淳の人生をラップで“代弁”した楽曲。Itaqの母方の祖父である板倉淳は、愛知県豊田市で、世界に名だたるトヨタ自動車の部品を製造する「豊大工業株式会社」を半世紀近くに渡って育て上げてきました。しかし若い頃には家庭の貧しさから街の不良だった時代もあったり、会社設立後に工場が全焼するといった試練を乗り越えるなど、その人生は何処かヒップホップさを感じさせるドラマに満ちています。\n\n Itaqは、その歴史をストーリーテリング形式でリリックに落とし込み、自作のローファイ的要素も感じさせるエモーショナルなビートの上で力強くラップしています。アートワークは豊大工業の工場を背に映る祖父の姿を、Itaq本人が撮影したもの。青い「HODAI」の字と、晴れた空、そしてハットにジャケット姿の祖父が見事にマッチしています。とある人達と制作した「ラップ代行プロジェクト」の第2弾も既に準備が進んでいます。「自分の気持ちや人生をラップに変えて欲しい人」も募集中です。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000037-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/eb860432ce479955dd72c24f2ed0e3aaa0236bb0/images/000']
『地元最高！』の、あの最狂シーンがTシャツに　2種同時発売（CDJournal）,https://news.yahoo.co.jp/articles/65e4171b3c9953c3f6ce7cd4a11b421c18df5416,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000036-cdj-000-1-view.jpg?exp=10800,2024-09-20T18:04:52+09:00,2024-09-20T18:04:52+09:00,CDJournal,cdj,CDジャーナル,171,\n『地元最高！』の、あの最狂シーンがTシャツに 2種同時発売\n闇バイト、半グレ、メンヘラヤクザ、最狂刑事……。\n\n “リアル”でかわいい半グレゆるふわマンガ『地元最高！』の、あの最狂シーンがTシャツになりました。\n\n 10月30日（水）より「シャネル 拳銃 キラキラ Tシャツ」、「奈良 耳 Tシャツ」の2種が同時発売となります。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000036-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/65e4171b3c9953c3f6ce7cd4a11b421c18df5416/images/000']
映画『ヘヴィ・トリップII／俺たち北欧メタル危機一発！』12月公開決定（CDJournal）,https://news.yahoo.co.jp/articles/1521b471246cb8d0551d7892e7732cd8bc0604ac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000035-cdj-000-1-view.jpg?exp=10800,2024-09-20T18:04:52+09:00,2024-09-20T18:04:52+09:00,CDJournal,cdj,CDジャーナル,1612,"\n映画『ヘヴィ・トリップII／俺たち北欧メタル危機一発！』12月公開決定\n株式会社スペースシャワーネットワークが運営する日本最大の音楽専門チャンネルスペースシャワーTVは、2019年に公開され大ヒットを記録したフィンランド映画『ヘヴィ・トリップ／俺たち崖っぷち北欧メタル！』の続編、『ヘヴィ・トリップII／俺たち北欧メタル危機一発！』をSPACE SHOWER FILMSの配給で12月20日（金）より劇場公開することを決定しました。\n\n 2019年12月27日、数ヵ月後に世界が一変することをまだ誰も知らなかったあの日。映画ファンからも映画業界からもノーマークだった1本の映画が〈後悔するなら、クソを漏らせ！〉のキャッチコピーとともに劇場公開されました。12年間ライヴすらしたことがないフィンランドのド田舎メタルコピーバンドが、初の、そして、まさかの史上最高のオリジナル楽曲を生み出し、ノルウェー最大のメタル・フェスに参加すべしと奮闘する珍道中を描いた物語。公開されるや奇跡の連日満席、上映後の拍手喝采。誰もが予想だにしなかった大ヒットとSNSを中心に大きな話題となったフィンランド発の爆笑メタル・コメディ映画、それが『ヘヴィ・トリップ／俺たち崖っぷち北欧メタル！』です。観客の中には出演者のコスプレをする者が続出、人々は彼らを“ヘヴィ・トリッパー”と呼びました。しかし、歓喜も陥没、年が明け、世界はコロナ禍へと突入。幸せな時間は長くは続かなかったのです。「コロナさえなければ、このクソがっ！」。\n\n そして、日本初公開から5年の歳月を経て、まさかの続編がよりパワーアップして帰ってきました。主人公たちのバンド、インペイルド・レクタムの面々がライヴの直後に逮捕、拘束される前作のラスト・シーン。物語はその続き、刑務所で始まります。獄中で超商業主義プロデューサーからドイツで話題のメタル・フェス〈ヴァッケン・オープン・エア〉への出演オファーを受けるも準備不足とその過剰な商業主義、そして当たり前ですが投獄されている事を理由に出演を辞退。しかしギタリストの父親が病に倒れ、地上げ屋によって実家のトナカイ粉砕場兼彼らのスタジオが消滅の危機に。緊急事態勃発に彼らは脱獄を決意します。と、どこかで聞いたことのある名作『ブルース・ブラザース』と全く似たプロットで負け犬として生まれながら、勝つことを決意した“終末シンフォニック・トナカイ粉砕・反キリスト・戦争推進メタル”バンド＝インペイルド・レクタム（直腸陥没）が復活。ですが、巨大音楽ビジネスの商業主義に巻き込まれて生じたバンド内の軋轢でまさに危機一発。それでもヘヴィメタルという音楽が持つ無限の可能性への新たなる挑戦は諦めません。\n\n 劇中音楽は前作に続きミカ・ラマサーリ（MORS SUBITA / ETERNAL TEARS OF SORROW / WOLFHEART）。さらにスウェーデンのオカルト・ロック・バンド、YEAR OF THE GOATも参戦。そして劇中には、謎の超大電導波デスボイスを操るオリジナル・バンド、ブラッドモーターが新登場。脱獄逃亡するインペイルド・レクタムを追うのはこちらも前作に続きマムシのドッケン大佐。再び困難に直面する彼らを待ち受ける運命とは……!? 全てのバンドマンよ、売れたいだけなら「長いクソに巻かれやがれ！」。\n\n この度公開となった場面写真にはインペイルド・レクタム（直腸陥没）のメンバー、ギターのロットヴォネン、ヴォーカルのトゥロ、ドラムのオウラ、ベースのクシュトラックスが何かから逃げている姿が写っており、ただ事ではない様子が伺えます。\n\n(C) 2024 Making Movies, Heimathafen Film, Mutant Koala Pictures, Umedia, Soul Food",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000035-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/1521b471246cb8d0551d7892e7732cd8bc0604ac/images/000']
DJ CHARI＆DJ TATSUKI、2マン・ライヴ〈ALL FRIENDS〉を開催（CDJournal）,https://news.yahoo.co.jp/articles/afe1c61a2ad0bd85dd5171dbd080274eb67963ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000038-cdj-000-1-view.jpg?exp=10800,2024-09-20T19:14:34+09:00,2024-09-20T19:14:34+09:00,CDJournal,cdj,CDジャーナル,386,\nDJ CHARI＆DJ TATSUKI、2マン・ライヴ〈ALL FRIENDS〉を開催\nDJ CHARI＆DJ TATSUKIが、2マン・ライヴ〈ALL FRIENDS〉を12月29日（日）に東京・Zepp Hanedaで開催。\n\n 昨年12月29日に開催した〈ALL FRIENDS〉の2回目となる本公演は、DJ CHARIとDJ TATSUKIが共に楽曲を生み出してきたアーティストを客演で招いた“全員友達全員集合”のイベント。第1弾出演FRIENDSとして発表されたアーティストは、LEX、JP THE WAVY、Tokyo Young Vision、DADA、eyden、Kaneee、Fuji Taito、MUD、13ELL、ZENDAMAN、Choppa Capone、Bene Baby、$MOKE OG、018。チケットの受付も開始されています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000038-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/afe1c61a2ad0bd85dd5171dbd080274eb67963ab/images/000']
ZIGGY、結成40周年記念オリジナル・アルバム『For Prayers』ジャケット＆最新アーティスト写真公開（CDJournal）,https://news.yahoo.co.jp/articles/a2e819378782d5e6274d3418669b569963e70c2d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000033-cdj-000-1-view.jpg?exp=10800,2024-09-20T18:04:52+09:00,2024-09-20T18:04:52+09:00,CDJournal,cdj,CDジャーナル,958,"\nZIGGY、結成40周年記念オリジナル・アルバム『For Prayers』ジャケット＆最新アーティスト写真公開\n1984年、森重樹一が本当にやりたい音楽を追求するために結成したZIGGY。そのZIGGYが今年結成40周年を迎えました。\n\n 4月には、2017年の再始動以降に発表された楽曲からメンバーがセレクトしたベスト・アルバムをリリースし、現在のZIGGYのサウンドをあらためて提示してくれましたが、いよいよ10月23日（水）にニュー・アルバム『For Prayers』を発表します。\n\n これまでも自身の理想のサウンドをさまざまな表現方法で具現化してきたZIGGY。前作『SO BAD, IT’S REAL』ではシンプルな音で森重の歌と言葉、メロディが生々しく際立つ作りでしたが、本作はZIGGY本来が持つカラフルさを強く感じさせます。\n\n 疾走感や躍動感に満ち、起伏にも富んでいます。かと言って散漫ではなく、どの曲にもZIGGYにしか作りえないメロディが貫かれています。また、アルバムの最後にはメジャー・デビュー前の楽曲である「追いかけて」が収録されていて、多少のアレンジは加えられているとはいえ、結成当時から現在のZIGGYに通じる旋律が流れていることに驚かされます。\n\n そして、何よりもバンドとしての絆の強さがあります。正式メンバーは森重のみという形ですが、ファンならご存じの4人（カトウタロウ、Toshi、CHARGEEEEEE…、佐藤達哉）とガッチリと組み作り上げた、バンドだからこそ生まれるアンサンブルは必聴です。さらに、森重の旧来の戦友といえる横関敦もゲストで参加し、テクニカルなギター・プレイを披露していることにも注目です。\n\n 以前、森重は『ROCK AND ROLL FREEDOM!!』（2003年）というアルバムを発表した時、“This is ZIGGY！というアルバムを作りたかった”と語っています。ならば、今回の『For Prayers』は2024年版の“This is ZIGGY！”なアルバムと言えるのではないでしょうか。\n\n ROCK & ROLLを追い続けるZIGGYの“今”に触れてほしいところです。\n\n〈WeROCK編集部 藤中健司〉",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000033-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/a2e819378782d5e6274d3418669b569963e70c2d/images/000']
メロディ・ガルドー、自身の選曲による初のベスト盤を発表（CDJournal）,https://news.yahoo.co.jp/articles/3d6a482d884b410e5b93ac5aaf3cd101bd1a64fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000031-cdj-000-1-view.jpg?exp=10800,2024-09-20T18:04:52+09:00,2024-09-20T18:04:52+09:00,CDJournal,cdj,CDジャーナル,410,\nメロディ・ガルドー、自身の選曲による初のベスト盤を発表\nメロディ・ガルドー（Melody Gardot）が、自身初となるベスト・アルバム『ジ・エッセンシャル：ヴェリー・ベスト・オブ・メロディ・ガルドー』を10月25日（金）に発表します。チャーリー・ヘイデンと録音した未発表音源「ファースト・ソング」が、アルバムからの先行シングルとして公開されています。\n\n CDでは2枚組となる全24曲収録のこのベスト盤には、「夜と朝の間で」「ベイビー・アイム・ア・フール」「モーニング・サン」といった代表曲から、日本では今回が初CD化となるエディット・ピアフの「バラ色の人生」などの貴重なトラック、さらに未発表音源も2曲、チャーリー・ヘイデン作曲の「ファースト・ソング」をヘイデン本人とガルドーが米・ハリウッドのキャピトル・スタジオで行なったセッションによる貴重な録音と、メキシコのバラード「ラ・ヨローナ」を収録しています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000031-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/3d6a482d884b410e5b93ac5aaf3cd101bd1a64fa/images/000']
HAIIRO DE ROSSI、『Alternative(Expanded Edition)』発売（CDJournal）,https://news.yahoo.co.jp/articles/f0977f264ff8f62f3dfb045b76b741261689a5b3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000032-cdj-000-1-view.jpg?exp=10800,2024-09-20T18:04:52+09:00,2024-09-20T18:04:52+09:00,CDJournal,cdj,CDジャーナル,426,\nHAIIRO DE ROSSI、『Alternative(Expanded Edition)』発売\nアンダーグラウンドの至宝として唯一無二の存在感を示す稀代のリリシスト“HAIIRO DE R OSSI”が先日配信リリースし、大きな反響を生んでいる最新アルバム『Alternative』のExpanded Editionが11月6日（水）に数量限定でフィジカル・リリースすることが決定。\n\n 新たに追加された4曲は現在配信されているアルバムの完成後もHAIIRO DE ROSSIとPigeondustの制作が続き作られたもので、ボーナストラックの扱いではなく、あくまでアルバム『Alternative』に眠っていた可能性を開花させ、新たな曲によって既存の曲もまた違った輝きを放ち、相乗効果により完全な姿へと進化させるべく、曲や配置を厳選して制作されたとのこと。\n\n 通常盤と全リリック＆後書き掲載のミニZineセットが用意されています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000032-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/f0977f264ff8f62f3dfb045b76b741261689a5b3/images/000']
小田和正のシングルで1位となったのは？（CDJournal）,https://news.yahoo.co.jp/articles/8ce1701ffc6161a96eccb35a2e05f9029345c256,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000030-cdj-000-1-view.jpg?exp=10800,2024-09-20T16:53:46+09:00,2024-09-20T16:53:46+09:00,CDJournal,cdj,CDジャーナル,1182,\n小田和正のシングルで1位となったのは？\n9月20日はシンガー・ソングライターの小田和正の誕生日。1947（昭和22）年生まれで、77歳を迎えました。オフコース時代から次々とヒット曲や名曲を生み出し、いまもなお精力的に活躍。時代に流されないタイムレスな楽曲で幅広い年代に支持され、ドラマやCMなどにも多くの楽曲が起用されるなど、日本が誇るヒットメイカーとして長く親しまれています。\n\n そんな小田のシングル作品のなかで、オリコンシングルチャート1位に輝いたのは、1991年にリリースされた「Oh! Yeah! / ラブ・ストーリーは突然に」と2007年にリリースされた「こころ」です。シングル2枚のみというのが意外ですが、そのうち「Oh! Yeah! / ラブ・ストーリーは突然に」は強烈なインパクトを残しました。\n\n 「Oh! Yeah!」は第一生命のCMソング、「ラブ・ストーリーは突然に」は鈴木保奈美主演、織田裕二、有森也実、江口洋介が共演したフジテレビ系“月9”ドラマ『東京ラブストーリー』の主題歌に起用され、瞬く間にヒット。初回プレスが1日で完売し、発売から2週目での100万枚突破達成は当時オリコン史上最短となりました。1991年のオリコン年間シングル売上ランキング1位を獲得し、小田の代表作となったのはもちろん、当時の日本のシングルCD史上最高のヒット作となりました。\n\n 「こころ」も井上真央主演の“月9”ドラマ『ファースト・キス』主題歌に起用。その後、2019年にはキヤノンマーケティングジャパンのCMソングにもなりました。「こころ」は「Oh! Yeah! / ラブ・ストーリーは突然に」以来、小田にとって16年5ヵ月ぶりにシングルチャート1位を獲得。当時59歳11ヵ月でのオリコン・シングルチャート1位獲得は、1987年に石原裕次郎が「北の旅人」で記録した52歳7ヵ月を7年以上も上回る最年長記録となり、話題となりました（その後、2010年に秋元順子が「愛のままで…」、2019年に桑田佳祐が「レッツゴーボウリング」で最年長記録を更新）。\n\n シングル売り上げでは、「Oh! Yeah! / ラブ・ストーリーは突然に」に続いて、1992年の「いつか どこかで/ 風 と君を待つだけ」、2002年の「キラキラ」、1997年の「伝えたいことがあるんだ」、1989年の「Little Tokyo」がトップ5にランクイン。「こころ」はシングル売り上げとしては10番目のセールスとなっています。\n\n 小田の数々のヒット曲は、ベスト・アルバム『自己ベスト』『自己ベスト-2』、オールタイムベスト『あの日 あの時』（写真）などで聴くことができますので、小田のバースデーを祝し、あらためて小田和正ソングを堪能してみてはいかがでしょうか。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000030-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/8ce1701ffc6161a96eccb35a2e05f9029345c256/images/000']
名門レコード・レーベル「T.K.RECORDS」とJOURNAL STANDARDがコラボレーション（CDJournal）,https://news.yahoo.co.jp/articles/8e6a51d05b296a06d656b2872749b9c36d6898df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000029-cdj-000-1-view.jpg?exp=10800,2024-09-20T14:12:21+09:00,2024-09-20T14:12:21+09:00,CDJournal,cdj,CDジャーナル,274,\n名門レコード・レーベル「T.K.RECORDS」とJOURNAL STANDARDがコラボレーション\n70年代、極上の“マイヤミ・サウンド”を送り出し、多くのビッグヒットを世にを生み出した、名門レコード・レーベル「T.K.RECORDS」とJOURNAL STANDARDがコラボレーション。\n\n ヤシの木が象徴的なレーベルロゴを落とし込んだ、カプセルコレクションをローンチ。同日に、7インチ・レコードバッグも限定発売。JOURNAL STANDARD各店にて店頭発売開始。オンラインストア「Baycrew’s Store」でも同時販売。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240920-00000029-cdj-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/8e6a51d05b296a06d656b2872749b9c36d6898df/images/000']
