headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
コメ→レジ袋 岩手県矢巾町で県内で初めて販売（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/0ce965542200f3b5373ed10449a6465badd8d101,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-02785494-tvi-000-2-thumb.jpg?exp=10800,2024-09-25T18:21:01+09:00,2024-09-25T19:12:24+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,599,\nTVIテレビ岩手\n岩手県産のコメのうち食用にできないものを利用して作られた環境にやさしいレジ袋が県内で初めて矢巾町で販売されます。矢巾町では町指定のごみ袋としても活用する予定です。\n\n 矢巾町は25日、再利用可能なプラスチックの製造を手掛ける「バイオマスレジン北日本」が製造した、岩手県産米を原料とするレジ袋を町内の店で販売し、町内指定のごみ袋としても利用できるようにすると発表しました。これは県内で初めての取り組みです。\n\n このレジ袋の原料となるのは、食用にできず処分されてしまう米や資源用に作られた米で、レジ袋を作るのに使われる石油系プラスチックの量を10％削減できるということです。\n\n 矢巾町は2022年に脱炭素社会を目指すゼロカーボンシティを宣言していて、2010年には、プラスチックを削減するためごみ捨ての際には指定のごみ袋を使用するなどの取り組みをしてきました。\n\n このレジ袋をごみ袋として利用できるようにしたことで、レジ袋がプラごみとして捨てられるのを防ぐこともできます。\n\n矢巾町 高橋昌造町長\n「ごみの減量化・資源化は最優先課題であるのでそういう（レジ袋）小さなことから積み重ねていきたい」\n\n このレジ袋兼ごみ袋は来月中旬以降、町内のショッピングモールアルコ食品館とスーパーアークス矢巾店で販売され、今後販売店を増やしていくということです。,[],[]
高校生が古着店開業目指す 場所は2軒しか営業していない仲見世（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/69df660cfcda308d2188070468d239a5307365aa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-02244983-tvi-000-1-thumb.jpg?exp=10800,2024-09-25T19:10:00+09:00,2024-09-25T19:10:00+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,1316,\nTVIテレビ岩手\n地元を盛り上げたいと店の開業を目指す釜石市の女子高校生がいます。年内のオープンを目指し奮闘する女子高校生を釜石支局柳田記者が取材しました。\n\n 今月15日、釜石鵜住居復興スタジアムで行われた「釜石よいさ」。まつりを彩る「よいさ小町」の一人、小笠原皐（さつき）さん、通信制の高校に通う16歳です。初めてよいさ小町として参加しました。\n\n小笠原皐さん\n「釜石が元気になるきっかけになればいいなと思って少しでもと思いやりました」\n\n 釜石を元気にと話す皐さん。そんな皐さんがさらに釜石を盛り上げようとある計画を進めています。\n\n皐さん\n「ここは私が今年中のオープン予定を目指しがんばって準備しているお店です」\n\n 高校一年生の皐さんがやろうとしていること、それは、店を開くこと。中学生のころ、進路を考えた時にすぐにでも店をやりたいと考え、通信制の高校を選択、起業塾に通うなど準備を進めました。幼いころからヒップホップダンスをしていた皐さんはその衣装に使う古着に興味があり、古着店の開業を目指しましたが、古着を扱う資格は皐さんの年齢では取得ができないため、古着店は母、梓さんに経営してもらい皐さんはその隣で、ダンスの練習などにも使え、気軽に集まれるレンタルスペースの経営、オリジナルブランドのグッズの販売をします。\n\n皐さん\n「私自身震災も経験して支援してもらったり助けていただいたとかそういう恩があるので、次は私が釜石を盛り上げて行けたらいいなと思いお店を開きたいなと」\n\n 皐さんがお店の場所に選んだのは、釜石大観音の仲見世通りです。約20軒ある仲見世で2軒しか営業しておらず人通りが少ないこの場所を選んだのは幼いころから仲見世のリノベーションやマルシェに参加していて馴染みがあり、祖父から聞いたかつてのにぎわいを取り戻したいとの思いからです。お店の名前は「crush on」。現在は修繕工事が行われていて年内のオープンを目指しています。\n\n 皐さんは、仲見世通り、そして年内に開業する自分の店をしってもらおうと、今月イベントを企画、フリーマーケットや、駄菓子屋お絵描きスペースなどを設置し、あいにくの天気でしたがそれでも皐さんの呼びかけで大勢の人が訪れました。皐さんと母、梓さんのお店では修繕費の一部をクラウドファンディングでの協力を求めていて訪れたお客さんにチラシを配り協力をお願いしていました。高校1年生ながら、イベントの企画にお店の開業と次々と動く皐さんに家族は。\n\n母・梓さん\n「若い子たちの居場所を作るとなった時、若い娘だからこそできるお店があるかなと思って、今なら今でも失敗したら失敗したでその時はどうにかカバーできえばいいかなと思っています」 \n\n皐さん\n「修繕工事が終わり次第、DIYしてみんなでお店を作っていけたらいいな。仲見世に人が集まることって釜石が盛り上がるための第一歩なるんじゃないかなと思っているのでそんなきっかけになれるお店にしたい」\n\n 釜石を盛り上げたい。強い思いで開業に向け走り続ける皐さん。若い力が地域を盛り上げます。,[],[]
JR山田線 並走する路線バスと一部区間を共同経営への移行を目指す方針が話される（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/3cada0ead92739378764b885f23623cc0773c727,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-05517531-tvi-000-3-thumb.jpg?exp=10800,2024-09-25T18:16:01+09:00,2024-09-26T00:01:26+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,681,\nTVIテレビ岩手\nJRの不採算路線に挙げられている山田線の維持に向けて沿線の自治体が検討会議を開き、並走する路線バスと一部の区間を共同経営への移行を目指す方針が話されました。\n\n 会議には、JR山田線沿線の盛岡・宮古の両市長や岩手県の担当者らが出席しました。\n\n 去年11月にJR東日本が公表した、山田線の上米内・宮古間の2022年度の収支では、赤字額が県内の6つの路線のなかで最大となる16億円。また、1日で平均して通過する人は64人と最も少なく、存続が危ぶまれる赤字路線です。\n\n このため、JR東日本は、山田線と並走する国道106号線で急行バス「106バス」を運行する岩手県北バスと連携し、山田線の乗車券で急行バスに乗ることができる実証実験をことし4月から行っています。\n\n 25日の会議では、実証実験として連携する山田線と「106バス」についてJR東日本からの利用実態の報告を共有し、来年4月からの5年間、共同経営への移行を目指すことが確認されました。\n\n 対象となるのは、盛岡・上米内間を除く全線で、引き続き、乗車券を鉄道・バスの両方で使うことができるほか、今後、国の認可が下りると、鉄道とバスの運行ダイヤを調整して効率化をすることが可能になります。\n\n山本正德宮古市長\n「山田線を鉄路として維持していくため、沿線の自治体においては、引き続き、市民への意識喚起や利用促進などの取り組みを推進していく」\n\n 来月下旬に盛岡・宮古でそれぞれ開かれる公共交通会議にJR東日本が参加して今後の方針を話していくということです。,[],[]
岩手県 「手足口病」「新型コロナ」の新規感染者数はともに減少（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/5c24b3d04f0561f26cb02c7aed1464bca3b76297,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-08991685-tvi-000-2-thumb.jpg?exp=10800,2024-09-25T18:10:00+09:00,2024-09-25T19:11:20+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,239,\nTVIテレビ岩手\n岩手県内の「手足口病」と「新型コロナ」の新規感染者数はともに減少しました。\n\n 県感染症情報センターによりますと、今月22日までの1週間に県内の医療機関から報告された「手足口病」の新規感染者数は386人で先週より54人減りました。\n\n 1医療機関あたりの平均は9.65人と2週連続で減少しています。\n\n 新型コロナの新規感染者数は423人で、先週より214人減りました。\n\n 1医療機関あたりの平均は6.71人と4週連続で減少しています。,[],[]
ニューヨークで鬼剣舞公演 スタンディングオベーションで喝采（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/d18e39286d78e18cb6f6bfc89510fdb179b0790f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-03232719-tvi-000-1-thumb.jpg?exp=10800,2024-09-25T19:08:01+09:00,2024-09-25T19:08:01+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,632,\nTVIテレビ岩手\n北上市の「滑田鬼剣舞」が、21日、アメリカ・ニューヨークで初めて公演しました。岩手を代表する郷土芸能を、ニューヨーク市民はどのように感じたのでしょうか。\n\n 力強く大地を踏み、悪霊退散や五穀豊穣などを念じて勇壮に舞う「鬼剣舞」。今月21日、北上市の「滑田鬼剣舞」がニューヨークで初めて公演しました。\n\nケビン・ムーニーさん\n「ナメシダオニケンバイ！」\n\n この公演は日本の民俗舞踊を現地で紹介する団体の代表で、ニューヨーク出身のケビン・ムーニーさん（42）が、企画しました。\n\n ケビンさんが幼いころ旅行で訪れた岩手でみた「滑田鬼剣舞」に魅了され、2012年からこれまでニューヨークから北上市に何度も通い、踊りを習得したことがきっかけです。\n\n 鬼剣舞はおととし、ユネスコの無形文化遺産に、日本全国に伝わる「風流踊」の一つとして登録されました。滑田鬼剣舞は、伝統の舞がニューヨーク市民に受け入れられるのか心配していましたが…。\n\n 会場はスタンディングオベーションでした！\n\n滑田鬼剣舞 齋藤聖英事務局長\n「うるっときました。ニューヨークでも鬼剣舞を広めていただきたい」\n\n滑田鬼剣舞 皆川 椋祐さん\n「こっちの人たちのテンションが高いので楽しかったです。来年でも来月でもいつでも明日でもまたやりたいです」\n\n 滑田鬼剣舞はニューヨークの大歓声を胸に、伝統を未来につなぐ決意をあらたにしていました。,[],[]
参議院岩手選挙区補欠選挙 約8億円余りの一般会計補正予算案を可決（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/07618a1b945866666289386b414f0c449648b343,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-04289385-tvi-000-2-thumb.jpg?exp=10800,2024-09-25T18:04:01+09:00,2024-09-25T19:06:25+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,298,\nTVIテレビ岩手\n岩手県議会9月定例会が25日招集され、参議院岩手選挙区の補欠選挙に伴う、約8億円余りの一般会計補正予算案を可決しました。\n\n 25日の本会議ではまず、会期を来月25日までの31日間と決めました。\n\n 今回、県が提出した議案は合わせて31で、台風5号災害の復旧費用7億3700万円や、参議院岩手選挙区の補欠選挙にかかる8億円余りの補正予算案が示されました。\n\n このうち、参議院選挙に関する予算は直ちに措置する必要があるとして、25日に全会一致で可決しました。来月2日からは一般質問が行われ、9人の議員が、人口減少問題や自然災害対策などについて質問する予定です。,[],[]
参議院岩手選挙区補欠選挙 幸福実現党の松島弘典氏が立候補表明（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/42f1bb3800acca4e1ee694ec321359a3b1b9bea6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-09854688-tvi-000-2-thumb.jpg?exp=10800,2024-09-25T18:00:01+09:00,2024-09-25T19:08:26+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,417,\nTVIテレビ岩手\n広瀬めぐみ氏の辞職に伴い来月行われる参議院岩手選挙区の補欠選挙に幸福実現党の松島弘典氏が立候補することを表明しました。\n\n 松島弘典氏は盛岡市出身の67歳。幸福実現党の総務会長や県本部統括支部の代表などを務めています。\n\n 補欠選挙では幸福実現党の公認候補として立候補する予定で、主に補助金や無償化といった「バラマキ政策」をやめることや、税金を安く、シンプルにすることなどを訴えています。\n\n松島弘典氏 \n「法人税は10パーセントで、所得税の累進課税は段階的に引き下げていき緩和していき、最終的には10パーセント台のフラットタックスにしようと思っています」\n\n 補欠選挙には、出馬表明順に政治団体代表の新人・小田々豊氏、立憲民主党の元参議院議員・木戸口英司氏、元滝沢市議会議員の新人田中亜弓氏の3人が立候補を表明しています。\n\n 補欠選挙は来月10日告示、27日に投票と開票が行われます。,[],[]
JR山田線 上米内駅－宮古駅の運転再開時期「未定」に（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/e4609e6e88a6d5c89ada15a50a5ef3a1d06bdafa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-01118888-tvi-000-2-thumb.jpg?exp=10800,2024-09-25T17:51:00+09:00,2024-09-25T19:06:25+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,281,\nTVIテレビ岩手\n先月27日の大雨被害で運転を見合わせているJR山田線の上米内駅と宮古駅間について、JR盛岡支社は当初11月上旬としていた運転再開時期を「未定」に変更しました。\n\n 現在、運転を見合わせているJR山田線・上米内駅と宮古駅間の復旧工事は当初11月上旬の完了を目指していました。\n\n しかし、上米内駅と区界駅の間で土砂の堆積や倒木など災害のリスクが高い場所が少なくとも10か所新たに見つかったため、JR盛岡支社では運転再開時期を「未定」に変更すると25日、発表しました。\n\n 引き続き、106バスによる振替輸送を行うということです。,[],[]
処理水海洋放出　宮古市で損害賠償説明会　岩手（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/70f83e9da01b761bfef3a8ed91614e01f9ee85c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-09417687-tvi-000-1-thumb.jpg?exp=10800,2024-09-25T12:27:00+09:00,2024-09-25T12:27:00+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,345,\nTVIテレビ岩手\n福島第一原発の処理水の海洋放出による損害賠償についての説明会が24日、岩手県宮古市で開かれました。\n\n岩手県が主催した説明会には、県内の水産関係者およそ30人が参加し、経済産業省と東京電力の担当者から処理水放出の実施状況や、賠償の概要について説明を受けました。\n\n福島第一原発の処理水の海洋放出は、去年の8月に始まり、これまで8回に分けて6万2631トンが放出されています。\n\n経済産業省によりますと、この海洋放出に伴う風評被害などで東京電力に対し、9月18日時点でおよそ630件の賠償請求があり、このうち250件に対しおよそ410億円が支払われました。\n\n東京電力は、「これからも丁寧に説明しながら、賠償請求のサポートをしていきたい」としています。,[],[]
参議院岩手選挙区補欠選挙に向け　選挙ポスター掲示板の設置始まる　5935か所に設置予定（テレビ岩手ニュース）,https://news.yahoo.co.jp/articles/099e9f0594d185f4ac7fd9f52817e0a49b22ceeb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240925-07284912-tvi-000-1-thumb.jpg?exp=10800,2024-09-25T12:32:00+09:00,2024-09-25T12:32:00+09:00,テレビ岩手ニュース,tvi,テレビ岩手ニュース,293,\nTVIテレビ岩手\n10月に行われる参議院岩手選挙区の補欠選挙に向けて25日、選挙ポスター掲示板の設置作業が始まりました。\n\n25日は盛岡市選挙管理委員会の委託を受けた業者が、岩手公園周辺で設置作業を行いました。\n\n掲示板は、6人分のポスターを掲示でき、10月9日までに県内5935か所に設置される予定です。\n\n盛岡市選挙管理委員会・佐々木俊一 選挙係長\n「投票日の10月27日当日は、盛岡市内で『いわて盛岡シティマラソン』も開催されます。交通規制を避けた投票や期日前投票の積極的な利用をお願いしたい」\n\n補欠選挙は、10月10日告示、27日に投開票が行われます。,[],[]
