headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
災害時の “燃料供給拠点” として　青森市のガソリンスタンドで訓練（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/50a16971f471ff613ae154dd1b62e009e95ec38b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000010-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:15:05+09:00,2024-09-30T20:15:05+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,320,\n青森朝日放送\n災害時の対応を想定した訓練が、青森市のガソリンスタンドで行われました。\n\n「コスモ石油 青森東バイパスSS」には、県石油商業組合の組合員9人が集まり、地震発生時の停電を想定した訓練が行われました。\n\n訓練では、自家発電機の接続や電源の切り替えといった操作、緊急車両の給油の流れを確認したりと、災害発生時の行動を一つひとつ実践していました。\n\n【青森県石油商業組合 大坂功理事長】\n「災害復旧に対応できるように日々訓練して、消費者の方に安心安全の燃料を届けるように、訓練をしているという現状です」\n\nこの訓練は、災害時の重要な燃料供給拠点として円滑な対応ができるよう、県石油商業組合が毎年実施しています。,[],[]
働き方改革進む　子どもの環境改善が課題　アンケートから見る青森県内の “教育現場のリアル”（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/17463d7ff589aa929ca2a74e6a1a085843eb2360,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000006-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:05:27+09:00,2024-09-30T20:05:27+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,676,\n青森朝日放送\n青森県内の教育現場に関するアンケートの結果が発表されました。教員の働き方については改善が見られる一方、子どもたちの環境については改善が進んでいないようです。\n\n教育改革有識者会議で発表されたアンケート結果。今回のアンケートは、県内の教職員に加えて小学5年生から高校3年生までの児童・生徒も対象となりました。\n\n子どもたちからの回答では、およそ8割が学校生活を楽しんでいることが分かりました。その理由として回答の多かった言葉を抽出してみると・・・。\n\n「とても楽しい、楽しいと答えた人が言っている言葉を集めました。ダントツなんですね、友達と会えるのが楽しい、友達と話せるのが好き」\n\n教職員に対し業務改善の動きを問う設問では、全体の54％が「昨年度から改善の動きがある」と回答。改善された業務を一つ選ぶ設問では、ICT教育・環境や学校行事、部活動が多く選ばれました。\n\n一方、授業内容や不登校、多様性といったジャンルの回答はほとんどなく、まだ改革が進んでいないことが浮き彫りとなりました。\n\n【青森県教育改革有識者会議 大谷真樹議長】\n「子どもたちの学びと学習について改善されているかという質問に対しほとんど0だった、先生方もそこに着手できていないというのが現状」\n「本当はそこ我々も急ぎたいんですけれど、と言っても先生たちが疲弊している中でそっちはまだまだ力が割けていない実態が見えました」\n\n有識者会議では、今回のアンケート結果も踏まえながら提言を取りまとめ、10月中に宮下知事に提出する予定です。,[],[]
プロバスケB2青森ワッツ　新シーズンの必勝を祈願（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/187c37093c159889ce10afc205eedcc10a28b1a4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000008-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:11:18+09:00,2024-09-30T20:11:18+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,531,\n青森朝日放送\n10月5日に新シーズンの開幕を迎える、プロバスケットボールB2リーグの青森ワッツの選手たちが必勝を祈願しました。\n\nプロバスケットボールのシーズン到来。初戦が10月5日に迫ったB2リーグ青森ワッツ。\n\n9月30日は善知鳥神社での必勝祈願。チームを運営する青森スポーツクリエイションの渡邊裕介社長や、大島洋介ヘッドコーチたちチームスタッフ、それに選手13人全員が出席し新シーズンの必勝を祈願しました。\n\n【大島洋介HC】\n「今週末からアウェーの奈良戦から始まって、長いレギュラーシーズン60試合ありますので」\n「去年も奈良には0勝4敗と1つも勝っていませんので、そこで1つ勝ち星を取って、勢いつけたいなと思っています」\n\n【寺嶋恭之介主将】\n「思った以上に1人ひとりが思っていることを発信、発言できるようなメンバーだったので」\n「僕は今シーズン、出だしから2連勝、いけるんじゃないかなと思っています」\n\n青森ワッツの新シーズンは10月5日と6日。アウェーで行われるバンビシャス奈良との試合から始まります。ホームでの試合は10月12日と13日の富山グラウジーズ戦。青森市のカクヒログループスーパーアリーナで行われます。,[],[]
青森市で枝垂れ桜咲いた！ 「季節を勘違い？」（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/6f05dc14e429cdeb68618b0c44664cba1e7381e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000009-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:14:16+09:00,2024-09-30T20:14:16+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,298,\n青森朝日放送\n視聴者の方から映像が届きました。\n\n青森市浪岡の田中さん。畑にある枝垂れ桜が咲いたそうです。\n\n「先週10℃以下まで冷え込む日があり、一方29日は夏日。季節を勘違いしたのでしょうか」\n\nなぜ咲いたのか、弘前市公園緑地課の桜守、海老名さんに聞きました。\n\nまず桜は、7月には次の花を咲かせる準備ができています。\n\n通常は、葉から枝を伝って「眠れホルモン」を出して咲かない状態を維持しているのですが、虫や強風などの影響で、葉が落ちてしまうと「眠れホルモン」が伝えられなくなり、花が咲いてしまうということです。\n\n気温が関係しているわけではなかったのですね。,[],[]
イトーヨーカドー弘前店　約48年の歴史に幕　青森県内全店舗撤退（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/f4d43e06c931b6a588491be13bf507d201603b07,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000005-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:05:46+09:00,2024-09-30T20:05:46+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,976,\n青森朝日放送\n青森県内すべての店舗が姿を消しました。イトーヨーカドー弘前店が、およそ48年の歴史に幕を閉じました。\n\n最終日となった29日、弘前店には、買い物客が次々と訪れました。\n\n【買い物客】\n「当たり前にあったものなのでそこがいざなくなるとなると寂しいというか、もっと頻繁に買い物に来れば良かったと思いますね」\n（Q.何を買いましたか）「きょうは総菜ですね、いつも買っていたピザとかその辺を買って、きょうは晩酌をしたいと思います」\n\n【買い物客】\n「やっぱり最後今出てくる時、胸がいっぱいになってありがとうという感じになりました」\n\n1976年にオープンし、およそ48年の歴史を持つ弘前店。閉店の午後7時が近付くと名残を惜しむように建物を写真に収める人の姿も。\n\nそして、店舗前の歩道だけでなく、道路を挟んだ歩道にまで大勢の人が集まりました。セレモニーは行わないことにしたイトーヨーカドーですが、買い物客を見送る従業員の姿がありました。\n\n【ねぷたばやしの笛の音】\n\nそこには、惜しむようにねぷたばやしの笛の音が奏でられました。\n\n【集まった人たち】\n「（拍手）ありがとう」\n\n最後は集まった客から感謝の言葉を掛けられたり、拍手が送られたりする中、静かにドアが閉められました。\n\n【訪れた人】\n「同じ時代を生きてきていると感じていたので（心の）よりどころがなくなったという感じですね」\n\n「子どもの頃の思い出の場所がなくなってしまったなという気持ちで、とても寂しいです」\n\n「友だちと遊んだり、後はいろいろ買ったり」\n「言葉に表せないくらいに悲しい」\n\n「きょうの閉店の時やっぱり気になって見に来ちゃって、いろんな思い出がよみがえって寂しいなって思いました」\n\n青森県内に最大で4店舗あったイトーヨーカドーは、これですべて姿を消しました。\n\n弘前店の閉店に伴い、後継として2025年2月には、食品スーパー「食生活♡♡ロピア」が出店することになっています。\n\nこれまでテナントとして入っていたロフトやアカチャンホンポなど一部は、29日で閉店となりましたが、無印良品やサーティーワンアイスクリームといった多くの店舗はそのまま残り、10月31日に再開するということです。,[],[]
青森・蓬田村の3セクを提訴　時間外賃金未払い分など650万円求める（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/1cb36d7ce635c58faef6d5cacfd6c6636be342bf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000007-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:05:10+09:00,2024-09-30T20:05:10+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,351,\n青森朝日放送\nオーダースーツなどを販売する青森県蓬田村の第3セクター「蓬田紳装」に対し、時間外賃金が支払われなかったとして、現役社員が650万円余りを求める訴えを起こしました。\n\n青森地方裁判所に訴えを起こしたのは、蓬田村と民間企業の共同出資によって設立された第3セクター「蓬田紳装」の現役社員です。\n\n訴状などによりますと社員は、2021年7月分から2024年4月分までの時間外賃金が支払われず、時間外賃金の未払いを主張したところ配置換えを命令され、話し合いをしても撤回してもらえなかったなどとしています。\n\nそのうえで時間外賃金や制裁金合わせて650万円あまりの支払いなどを求めています。\n\n一方、「蓬田紳装」の代理人弁護士は、「訴状が手元になくお答えできない」としています。,[],[]
次期衆院選　三戸町・松尾町長　青森2区から立憲の候補で出馬検討（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/fc1b4e170161539fdeb96e9f9b292bfe79e28943,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000003-aba-000-2-thumb.jpg?exp=10800,2024-09-30T20:04:55+09:00,2024-09-30T20:46:53+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,513,\n青森朝日放送\n10月27日に実施される見込みの次期衆議院議員選挙。青森県三戸町の松尾和彦町長は、青森2区から立憲民主党の候補として出馬することを検討しているとしました。\n\n【三戸町 松尾和彦町長】\n「前々から国政への思いというのはある方だったので、これは本当に真剣に考えなきゃならない」\n「できるだけ早い段階で判断して、会見をしていかなきゃならないのだろうなと思っています」\n\n三戸町の松尾町長は、2016年に初当選、2020年には無投票で再選しました。\n\n11月に予定されている町長選に出馬するかどうか去就が注目されていましたが、次期衆院選に立候補することを検討しているとしました。\n\n国政における自民党の動きに対しては・・・。\n\n【三戸町 松尾和彦町長】\n「（自民党は）歴史のある政党なので、それなりに評価しているところもありますが、最近の国会または石川県の地震の対応を見ていても、国民に寄り添っていない、そういう感じで見ています」\n\n次期衆院選青森2区を巡っては、自民党の現職 神田潤一さん、国民民主党の新人 金濱亨さん、共産党の新人 久保将さんがそれぞれ出馬の考えを表明しています。,[],[]
47年の歴史に幕　イトーヨーカドー弘前店 閉店（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/edc231295cfcb2e23a39dcfc8223e9c17fcff38a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000001-aba-000-2-view.jpg?exp=10800,2024-09-30T12:08:46+09:00,2024-09-30T19:44:44+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,377,\n写真：青森朝日放送\n青森県内すべての店舗が姿を消しました。イトーヨーカドー弘前店が29日に閉店し、48年の歴史に幕を閉じました。\n\n29日、営業最終日となったイトーヨーカドー弘前店。閉店の午後7時が近付くにつれ、最後の瞬間を見届けようと、店舗の前には多くの人が集まってきます。\n\n最後のセレモニーは行いませんでしたが、従業員が並び、買い物客を見送っていました。\n\n最後は集まった客から感謝の言葉が掛けられる中、静かにドアが閉められました。\n\n【客】\n「同じ時代を生きてきていると感じていたので、（心の）よりどころがちょっとなくなったという感じですね」\n\n【客】\n「子どもの頃の思い出の場所がなくなってしまったなという気持ちで、とても寂しいです」\n\n県内に最大で4店舗あったイトーヨーカドーは、これですべて姿を消しました。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000001-aba-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/edc231295cfcb2e23a39dcfc8223e9c17fcff38a/images/000']
登校中の子どもたちの安全確保　青森市のスクールゾーンで街頭指導（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/74ffbbe51c5b8741df9681e9a0fc1e72a8b9eda0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000002-aba-000-1-thumb.jpg?exp=10800,2024-09-30T12:08:15+09:00,2024-09-30T12:08:15+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,352,\n青森朝日放送\n秋の全国交通安全運動最終日の30日、登校時間帯の子どもたちの安全を確保しようと、青森市のスクールゾーンで街頭指導が行われました。\n\n青森市の千刈小学校周辺のスクールゾーンでは、登校時間帯の午前7時から8時まで車の通行が規制されています。\n\n30日には、青森警察署の警察官たちが街頭指導を行い、ドライバーに対して、標識を確認することやスクールゾーンに通行許可証のない車が進入しないよう呼び掛けました。\n\n【青森警察署 交通課 竹浪敏幸課長】\n「まだスクールゾーンの標識を見落としているドライバーさんがいますので、これからも継続して呼び掛けていきたいと思います」\n\n秋の全国交通安全運動にあわせて、小学校周辺の通学路などを中心に30日は全国一斉に街頭指導が行われました。,[],[]
全国初　10月1日から青森県内の全小中学校で給食費無償化（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/415f92aa4f5940e0c3d909ac95951e3bbe2b0459,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20240930-00000004-aba-000-1-thumb.jpg?exp=10800,2024-09-30T20:04:08+09:00,2024-09-30T20:04:08+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,585,\n青森朝日放送\n宮下知事は青森県内すべての小中学校で、10月1日から給食費が無償化されると発表しました。全県レベルでの給食費無償化は全国初です。\n\n【宮下知事】\n「あす10月1日から、全40市町村で学校給食費が無償化されることになりました」\n\n青森県は、2024年度の当初予算に、県内すべての小中学校で10月から給食費を無償化するための事業費として19億5000万円を計上していました。\n\nこのうち給食費の無償化などを支援するために、およそ18億8000万円の市町村交付金が創設され、現時点で96.3％に当たる18億1000万円が活用される見込みとなっています。\n\nまた、交付金の活用により県内全市町村で15歳までの医療費が、37市町村で18歳までが完全無償化されると発表しました。\n\n一方、既に給食費の無償化を実施している市町村では、交付金をその他の独自事業に活用します。\n\n主なものでは、ランドセルや制服の購入補助、修学旅行の助成などでこちらは県が8割を負担します。\n\n【宮下知事】\n「こうした無償化がどんどん進展していくことが、子どもを授かりたいと思う若い人たちを増やす結果につながってほしいと思う」\n\nまた、私立学校についても、10月から給食の提供を始める3つの中学校で県の補助金により給食費が無償化されるということです。,[],[]
