headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
関電送配電　基準値超えの化学物質を２０年以上放置か　虚偽の報告も…１９万台の柱上変圧器取り替えへ（ABCニュース）,https://news.yahoo.co.jp/articles/c6dc94d92812cbe116ee3d730307456d294a7fec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047889-asahibc-000-2-view.jpg?exp=10800,2024-10-01T21:56:30+09:00,2024-10-02T00:06:34+09:00,ABCニュース,asahibc,ABCニュース,783,\nABCテレビ\n関西電力送配電は、電柱に設置している変圧器に国の基準値を超える有害な化学物質「ＰＣＢ（ポリ塩化ビフェニル）」が含まれていることを２０年以上把握していたにもかかわらず、２０１８年に初めて発覚したと虚偽の報告をしていたことを明らかにしました。\n\n 関西電力送配電は、人体に有害な化学物質・ＰＣＢを含む柱上変圧器について、国の指示に従い１９９０年以降、除染修理をして再使用を進めてきました。\n\n しかし、１９９８年と２００２年、除染して再使用していた変圧器から国の基準値を超えたＰＣＢを確認していたものの、担当者らは国などに報告せず、交換などの対応を取っていませんでした。\n\n その後、２０１８年の台風２１号の影響で倒壊した電柱に設置されていた変圧器から漏れた油から基準値を超えたＰＣＢを検出。\n\n この際、当時配電部門のトップだった、高市和明副社長は「過去から把握していた事実については隠したほうがよい」という旨の指示をし、関西電力送配電は国や大阪府などに「台風２１号がきっかけで把握した」と虚偽の報告をしていました。\n\n 去年１１月に内部告発があったことをきっかけに社外の弁護士が調査した結果、事案が発覚したといい、高市氏は１日付で副社長を辞任しました。\n\n 関電送配電は法令違反はなかったとした上で、基準値を超えるものがあると把握しながら適切な対応をとらなかったことはコンプライアンス上不適切であったとしています。\n\n ＰＣＢは体内に入ると蓄積し、発がん性などがある有害な化学物質です。\n\n 関電送配電はＰＣＢの適正な処理の推進を定めたＰＣＢ特措法を踏まえ、２０２６年度までに柱上変圧器約１９万台を新品に取り替えるとしています。\n\n 現時点で環境や人体への影響は確認されていないということです。\nABCテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047889-asahibc-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/c6dc94d92812cbe116ee3d730307456d294a7fec/images/000']
兵庫県知事選に元官僚の中村稔氏立候補へ　県議会最大会派の自民が支援検討（ABCニュース）,https://news.yahoo.co.jp/articles/e6da1e7c864041d31a6d4ce3467ec1aab39a2554,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047885-asahibcv-000-1-thumb.jpg?exp=10800,2024-10-01T19:39:08+09:00,2024-10-01T19:39:08+09:00,ABCニュース,asahibc,ABCニュース,364,\nABCテレビ\n兵庫県知事選挙に、元官僚の中村稔さんが立候補する意向を示しました。\n\n 中村さんは１９６２年生まれの６２歳で、灘高から東大に進み現在の経済産業省に入省、２００６年に兵庫県に出向し産業労働部長も務めました。\n\n 中村さんは１日、兵庫県議会の最大会派・自民党県議団と面談し、今後、自民は中村さんの支援について検討する方針です。\n\n（中村稔氏）「（Ｑ．自民の推薦求める？）ぜひともご支援いただきたいのですが、支援ないからやめたというかというと、そんなふらふらした思いではありません」\n\n １１月１７日投開票の兵庫県知事選には、斎藤元彦前知事が立候補する意向を表明しているほか、共産党が医師で無所属の大沢芳清さんの推薦を決めていて、前尼崎市長の稲村和美さんも出馬の意向を固めています。\nABCテレビ,[],[]
ホストクラブで女性客を泥酔させ…「消費者金融で借りれるだけ借りろ」　監禁・恐喝などの疑いで店長逮捕　押収したＰＣには「一撃講習」犯行マニュアルか　大阪ミナミ（ABCニュース）,https://news.yahoo.co.jp/articles/ccb0bf91b14aca5b82d84513138a2e82c319841e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047887-asahibc-000-1-view.jpg?exp=10800,2024-10-01T21:42:50+09:00,2024-10-01T21:42:50+09:00,ABCニュース,asahibc,ABCニュース,576,\nABCテレビ\n大阪・ミナミのホストクラブ店の店長の男が、女性客を泥酔させ、その後に未払いの飲食代として約１０８万円を脅し取ったなどとして逮捕されました。\n 警察が捜査で押収したパソコンには、「一撃講習」と記載された犯行のマニュアルとみられるデータが見つかったということです。\n\n 監禁や恐喝などの疑いで逮捕されたのは、大阪市中央区にあるホストクラブ「Ａｒｉａ」の店長、澤井健太容疑者（３７）です。\n\n 警察によりますと澤井容疑者は去年６月、元従業員らと共謀し、２０代の女性客を泥酔させた上でシャンパンを注文させたということです。\n\n 女性客に未払いの飲食代を背負わせた後、大阪市内のホテルで監禁した上「消費者金融で上限マックスまで借りれるだけ借りろ」などと脅迫し、女性に約１０８万円を借りさせて脅し取った疑いが持たれています。\n\n 警察が押収した元従業員のパソコンには「一撃講習」というデータがあり、再来店の見込みのない客から最大限売り上げを上げるための手法が書かれていたといいます。\n\n また、データには金の借り入れ方法やターゲットにする女性客の条件が記載されていたということです。\n\n 警察は澤井容疑者らの認否を明らかにしておらず、このホストクラブ店が組織的な犯行を繰り返していたとみて調べています。\nABCテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047887-asahibc-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/ccb0bf91b14aca5b82d84513138a2e82c319841e/images/000']
ホテルで死亡の１７歳少女　首を絞められ殺害か　一緒に入った男の行方追う　大阪・ミナミ（ABCニュース）,https://news.yahoo.co.jp/articles/2a90cc6ace34ad506a4c826adbdcc1ddd259bee1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047884-asahibcv-000-1-thumb.jpg?exp=10800,2024-10-01T19:11:27+09:00,2024-10-01T19:11:27+09:00,ABCニュース,asahibc,ABCニュース,338,\nABCテレビ\n少女は何者かに首を絞められ、殺害されたとみられます。\n\n 先月２８日深夜、大阪市中央区道頓堀のホテルの部屋で大阪市内に住む１７歳の無職の少女がベッドの上に仰向けで倒れていて、その場で死亡が確認されました。\n\n 警察は１日、司法解剖を行い、死因は首を絞められたことによる窒息死と発表しました。\n\n ホテルの防犯カメラには、男が少女とホテルに入る瞬間が映っていましたが、出てくる様子が映っておらず、部屋の窓の鍵があいていたことなどから、窓から逃走したとみられます。\n\n 男は成人とみられ、黒っぽい上下の服にキャップ、同じく黒っぽいリュックを持っていたということです。\n\n 警察は、殺人事件として逃げた男の行方を追っています。\nABCテレビ,[],[]
児相に寄せられた虐待情報　警察とリアルタイムで共有　兵庫県で全国２例目の取り組み（ABCニュース）,https://news.yahoo.co.jp/articles/4f2de40cf8696e24c1995c977cb0adc387510b3f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047888-asahibc-000-1-view.jpg?exp=10800,2024-10-01T21:42:50+09:00,2024-10-01T21:42:50+09:00,ABCニュース,asahibc,ABCニュース,530,\nABCテレビ\n児童相談所に寄せられた虐待の情報を、警察とリアルタイムで共有する取り組みが兵庫県で始まりました。こうした取り組みは全国で２例目です。\n\n １日から運用が始まったのは、「児童虐待・情報共有システム」です。\n\n 兵庫県が管轄する児童相談所「県こども家庭センター」に寄せられた全ての虐待情報を、専用のシステムを使って県警本部や各警察署と、１時間ごとの更新頻度で共有しリアルタイムで情報を確認することができます。\n\n 情報共有自体は去年７月に始まっていましたが、これまでは月１回の情報更新しかありませんでした。\n\n（兵庫県児童家庭課 助野吉郎課長）「子どもたちの命、安全安心を一緒に守っていきたいな。それが我々の使命であると思っている」\n\n（兵庫警察本部少年課 大下泰史課長）「児童相談所の情報を元に一歩踏み込んだ調査ができる、児童の安全に万全を期すことができると期待している」\n\n 兵庫県と県警は、政令市で個別に児童相談所を持っている神戸市と明石市にも、システムへの参加を呼びかけています。\n\n この「児童虐待・情報共有システム」の運用開始は埼玉県に次いで全国２例目で、関西では初めてだということです。\nABCテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047888-asahibc-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/4f2de40cf8696e24c1995c977cb0adc387510b3f/images/000']
“ドン・ファン”元妻に「４～５ｇの覚醒剤を売った」　密売人が出廷し証言（ABCニュース）,https://news.yahoo.co.jp/articles/3c9ebee62835549b44d0008e03354ada71b6878a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047881-asahibc-000-1-view.jpg?exp=10800,2024-10-01T17:21:08+09:00,2024-10-01T17:21:08+09:00,ABCニュース,asahibc,ABCニュース,427,\nABCテレビ\n「紀州のドン・ファン」と呼ばれた資産家の男性が殺害された事件の裁判で、覚醒剤を密売していた人物が出廷し、「被告に４から５グラムの覚醒剤を売った」と証言しました。\n\n 須藤早貴被告（２８）は２０１８年５月、夫だった野崎幸助さん（当時７７）に和歌山県田辺市の自宅で致死量の覚醒剤を摂取させ、殺害した罪に問われていて、裁判では無罪を主張しています。\n\n きょうの裁判で覚醒剤の密売をしていた人物が出廷し、事件のおよそ１カ月半前の未明に、田辺市内の路上で「被告から現金１０から１２万円を受け取り、４から５グラムの覚醒剤を渡した」と証言しました。その際、須藤被告から「夫には知られないようにしている」と話をされたということです。\n\n また、検察は覚醒剤を購入したとされる時間の直前に、須藤被告の口座からＡＴＭでおよそ１０万円が引き出されたとする記録を提示しました。\n\n 判決は１２月１２日に言い渡される予定です。\nABCテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047881-asahibc-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/3c9ebee62835549b44d0008e03354ada71b6878a/images/000']
路線バスの代わりに「乗り合いタクシー」　１回３００円、地域住民の移動手段になるか　奈良・橿原市で実証実験（ABCニュース）,https://news.yahoo.co.jp/articles/6e3083dd7f808963c68a56875a858d532480f8b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047882-asahibcv-000-1-thumb.jpg?exp=10800,2024-10-01T18:46:49+09:00,2024-10-01T18:46:49+09:00,ABCニュース,asahibc,ABCニュース,1095,\nABCテレビ\n全国で路線バスの廃止が相次ぐ中、奈良県・橿原市で新たな取り組みが始まりました。今後タクシーが路線バスの代わりに町を走るかもしれません。\n\n １日朝、奈良県・橿原市内に到着したタクシー。「乗合」と表示されています。どこに向かうかというと…。\n\n（中村想人アナウンサー）「この車両、普通のタクシーに見えるんですが、この後乗合タクシーとして街の中を走るんです」\n\n 通常のタクシーとして運転するのではなく、路線バスのように停留所を回ってお客さんを乗せる、「乗合タクシー」なんです。１日に始まった実証実験。なぜタクシーなんでしょうか？\n\n（橿原市都市計画課・今北英之課長）\n「（近鉄）真菅駅から少し離れた所では、車を持っていない方や高齢者の方が不便」\n「新しい公共交通、駅から離れた所の生活の足を何とかしなければと独自で考えていただいた。市が後押しされて共同で事業を立ち上げた」\n\n この地区には元々路線バスが走っていましたが、１９９２年に廃止。駅からも離れているため、地元の住人から移動の手段が求められていました。そこで「小回りが利いて、少人数で走ることができるタクシーで、路線バスの代わりにならないか」と、住民と市が共同で考えた方法なんです。\n\n 料金は１回の乗車で３００円。（１～５歳大人１人につき１人無料）。橿原市内の３つのルートを、それぞれ１日に４便から６便走ります。\n\n（中村アナ）「タクシーが狭い道路を走っています。これは路線バスでは厳しいですね」\n\n 運転するのは業務委託を受けたタクシーの運転手。\n\n（運転手）「狭いところばかりなので、安全運転に努めます。前よし」\n\n（地元住民）\n「（Ｑ．近くの駅は？）八木駅か真菅駅」\n「（Ｑ．ちょっと離れてますね？）ちょっとね。（歩いて）１５分か２０分かかる」\n「（Ｑ．車とかバイク使うしかない？）そうですね。自転車とか」\n「（Ｑ．乗ってみていかがでしたか？）走ったことのない所まで、知らない道まで行った」\n「全然（自転車に）乗れないような年になったら、こういうのがあったら（ありがたい）。続けてもらって、長い期間」\n「慣れたら気軽に使えるかもね」\n\n（橿原市・今北課長）\n「橿原市も高齢化が進んでいく」\n「車に乗れなくなった方々の新しい交通手段として乗っていただいて、買い物に行っていただいたり駅までの交通手段として乗っていただければ」\n\n 各地で課題になっている地域の公共交通の解決につながるのか。実証実験は１２月２８日まで続きます。\nABCテレビ,[],[]
赤い羽根共同募金はじまる　障害者福祉サービスや高齢者施設の整備に活用（ABCニュース）,https://news.yahoo.co.jp/articles/2641d96be2ed57411ab4e907efe82b13325bf516,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047883-asahibcv-000-1-thumb.jpg?exp=10800,2024-10-01T19:11:27+09:00,2024-10-01T19:11:27+09:00,ABCニュース,asahibc,ABCニュース,272,\nABCテレビ\n７８回目となる募金運動が、スタートしました。\n\n きょうから全国で一斉に始まった「赤い羽根共同募金」。大阪のなんばウォークでは、オープニングセレモニーが開かれ、飛行機で届けられた厚生労働大臣のメッセージが披露され、募金への協力を呼びかけました。\n\n「今日からなんで宜しくお願いします」\n「あ、ありがとうございます」\n\n 大阪府内の今年の目標金額は７億５０００万円で、集まった募金は障害者福祉サービスや高齢者施設の整備などにあてられます。７８回目の「赤い羽根共同募金」は今年度末まで実施されます。\nABCテレビ,[],[]
“変動金利”引き上げで住宅ローンはどうなる？　“固定金利”の方がお得なの？　気になるギモンに専門家が回答（ABCニュース）,https://news.yahoo.co.jp/articles/f9b42e3002d8a68d8a1038c421164fab0143efb0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00010000-asahibc-000-3-view.jpg?exp=10800,2024-10-01T17:37:26+09:00,2024-10-01T22:01:45+09:00,ABCニュース,asahibc,ABCニュース,898,\n大手銀行が住宅ローン変動金利を引き上げ\n日本銀行が政策金利を0．15％引き上げたことに伴い、大手銀行5行は1日から変動型住宅ローン基準金利の引き上げに踏み切りました。引き上げ幅は政策金利と同じ0．15％です。\n【住宅ローンはどうなる？】大手銀行が“変動金利”引き上げ “固定金利”の方がお得なの？ 気になるギモンに専門家が回答\n住宅ローン契約者にとってどのような選択がお得なのでしょうか。ニッセイ基礎研究所の井出真吾さんにお話をうかがいました。\n「変動金利」上昇でローン返済額は？\n毎月の返済額はどうなる？\n住宅ローン契約者の約8割が「変動金利」を選んでいるということですが、今回の引き上げで返済額はどれほど変わるのでしょうか？\n\n 3500万円、35年ローンを組んでいる人の場合、金利が現在の0.5%から0.65%に引き上げられると、毎月の返済額は2339円増加します。さらにここから0.25%引き上げられた場合は、6322円増加します。\n\n 一方で、変動金利には「5年ルール」という仕組みがあり、たとえ金利が上がっても5年間は月々の返済額は固定となりますが、元金の比率で調整しているため、それだけ元金返済は後ろ倒しになってしまいます。トータルの返済額は将来的に増えてしまうので、これを機に契約者は契約内容の確認を行って欲しいということでした。\n固定金利or変動金利 見直しの目安は\n固定金利を選ぶ目安は？\n井出さんによると、来年夏頃までにもう1～2回の利上げはあり得るので、今の金利から＋0.5%は想定内ですが、まだまだ「変動金利」のほうがお得ということです。\n\n 「固定金利」にするひとつの目安としては、借入期間にもよりますが、契約中の変動金利が1%上昇する場合は見直しを検討する余地があるといいます。\n「金利上昇で不動産価格が下落する」と言われるが…？\n井出さんによると、インフレ物価高との綱引きなので、資材費・人件費・運送費の影響も大きく、不動産価格が下がるとは限らないということです。\n\n（『newsおかえり』2024年10月1日放送分より）,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00010000-asahibc-000-3-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00010000-asahibc-001-3-view.jpg?pri=l&w=640&h=360&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00010000-asahibc-002-3-view.jpg?exp=10800']","['https://news.yahoo.co.jp/articles/f9b42e3002d8a68d8a1038c421164fab0143efb0/images/000', 'https://youtu.be/Lpb1j4D7x7E?si=MgQ9tDNdXJSwc6mL', 'https://news.yahoo.co.jp/articles/f9b42e3002d8a68d8a1038c421164fab0143efb0/images/001', 'https://news.yahoo.co.jp/articles/f9b42e3002d8a68d8a1038c421164fab0143efb0/images/002']"
「このままでは開催できない」　阪神淡路大震災「１・１７のつどい」実行委が会見　３０年目の安全対策が理由（ABCニュース）,https://news.yahoo.co.jp/articles/d677bd575bd17a2d86ff3c5e3a46849af5a435d4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047880-asahibc-000-1-view.jpg?exp=10800,2024-10-01T16:36:47+09:00,2024-10-01T16:36:47+09:00,ABCニュース,asahibc,ABCニュース,667,\nABCテレビ\n阪神淡路大震災が発生した１月１７日の早朝に神戸市で開かれている「１・１７のつどい」について、実行委員会が記者会見を開き、警備上の問題などが解決しないかぎり「来年以降は開催できない」と発表しました。\n\n 市民団体が主催している「１・１７のつどい」は、阪神淡路大震災の被害が大きかった神戸市の東遊園地に「１・１７」の形をしたあかりを灯し、地震が発生した午前５時４６分に黙祷をささげる追悼イベントで、今年（２０２４年）は約５万人が訪れました。\n\n 「１・１７のつどい」の藤本真一実行委員長は１日、会場の東遊園地で記者会見を開き「このままでは、来年以降の追悼イベントは開催できない」と述べました。\n\n 今年１月１７日、会場のすぐ隣で準備が進められていた「神戸ルミナリエ」が管理するテントやテーブルが燃える不審火がありました。\n\n 藤本さんによると、当日消化活動に当たったのは１．１７の実行委員会で、ルミナリエ側や神戸市に対して再発防止策についての説明を求めてきましたが、具体的な回答が得られないまま来年も同じ場所でイベントを開催することが発表されたということです。\n\n 来年は阪神淡路大震災から３０年目となり、例年よりも多くの来場者が予想される中、安全対策が不十分なままでは集いの開催を断念せざるを得ないと説明しています。\n\n 神戸ルミナリエ実行委員会は「確認中」だとしています。\n\n 来年の「１・１７のつどい」を開催の是非については、今月末までに判断する予定だということです。\nABCテレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241001-00047880-asahibc-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/d677bd575bd17a2d86ff3c5e3a46849af5a435d4/images/000']
