headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
騒音トラブルから刃物を突き付けて脅迫か  60歳無職の男を逮捕  複数人が犯行目撃=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/399a16ea9bda31acbe9ca7e6094b8b21c1cea199,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479509-sbsv-000-1-view.jpg?exp=10800,2024-10-09T22:02:08+09:00,2024-10-09T22:02:08+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,308,\n静岡放送\n10月8日、静岡県牧之原市内で騒音トラブルから被害者に刃物を突き付けて脅迫したとして、牧之原市に住む60歳の無職の男が逮捕されました。\n\n暴力行為等処罰に関する法律違反の疑いで逮捕されたのは、牧之原市静波に住む無職の男（60）です。\n\n警察によりますと、男は10月8日、牧之原市内で被害者に刃物を突き付け、脅迫した疑いがもたれています。\n\n事件のきっかけは騒音トラブルとみられていて、男の犯行を複数の人が目撃していたということです。被害者にけがはありませんでした。\n\n警察は男が容疑を認めているか明らかにしていません。警察は男が犯行に及んだ経緯などを詳しく調べる方針です。\n静岡放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479509-sbsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/399a16ea9bda31acbe9ca7e6094b8b21c1cea199/images/000']
「奇声をあげている人がいる」合成麻薬の一種『LSD』所持した疑いで男4人を逮捕=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/ab7ea7da600bef8cd52c3a0cd95829cb4c89e6dd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479455-sbsv-000-1-view.jpg?exp=10800,2024-10-09T21:06:31+09:00,2024-10-09T21:06:31+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,397,\n静岡放送\n合成麻薬の一種「LSD」を所持した疑いで、愛知県に住む会社員の男4人が逮捕されました。\n\n麻薬及び向精神薬取締法違反の疑いで逮捕されたのは、いずれも会社員で愛知県に住む20歳の男2人と19歳の男2人の計4人です。\n\n警察によりますと、4人は8月中旬、静岡県富士宮市内で液体状のLSD約0.7グラムを所持した疑いが持たれています。\n\n8月中旬、富士宮市で通行人から「奇声をあげている人がいる」と警察に通報があり、警察が現場に駆け付けたところ、男らが乗っていた車の中から液体が見つかりました。警察が調査したところ、液体は合成麻薬の一種であるLSDだと判明しました。\n\n4人は友人同士で、警察の調べに対し、全員が容疑を認めているということです。\n\n警察は、4人がLSDを所持しただけでなく実際に使用していたとみて、入手先などについて詳しく調べています。\n静岡放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479455-sbsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/ab7ea7da600bef8cd52c3a0cd95829cb4c89e6dd/images/000']
「後で払おうと思っていた」所持金約2000円の男　温泉施設で約7000円分の料金支払わなかった詐欺容疑で逮捕=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/eaf197f6189158039ca43ffb4b7073b444a9e9f2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479528-sbsv-000-1-view.jpg?exp=10800,2024-10-09T22:42:59+09:00,2024-10-09T22:42:59+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,459,\n静岡放送\n10月9日、静岡県熱海市の温泉施設で所持金が約2000円なのにもかかわらず入浴してマッサージのサービスを受け、料金約7000円を支払わなかったとして、静岡県富士宮市に住む無職の男が逮捕されました。\n\n詐欺（無銭）の疑いで逮捕されたのは、富士市天間に住む無職の男（37）です。\n\n警察によりますと、男は10月9日、熱海市内の温泉施設で所持金が約2000円なのにもかかわわらず入浴したうえにマッサージを利用し、施設の利用料金とマッサージの料金計7000円を支払わなかった疑いが持たれています。\n\n温泉施設の職員が「お金がないのに入浴し、マッサージを受けた男がいます」と警察に通報し、事件が発覚しました。\n\n警察の調べに対し、男は「お金がないのに施設に入った。後で払おうと思っていた」などと話しているということです。\n\n男は電車で熱海市を訪れていて、10月9日の午前11時頃に来店し、午後3時半頃に現行犯逮捕されました。警察が男が犯行に及んだいきさつなどを詳しく調べています。\n静岡放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479528-sbsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/eaf197f6189158039ca43ffb4b7073b444a9e9f2/images/000']
"「静岡県警として申し訳なく思っている」袴田巖さん""死刑囚""から""市民""に　検察が上訴権放棄し無罪確定 県警は再捜査しない方針（静岡放送（SBS））",https://news.yahoo.co.jp/articles/21e6b4363557a5b8281d6916a0d5a1e7e703e87e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479099-sbsv-000-3-thumb.jpg?exp=10800,2024-10-09T19:57:55+09:00,2024-10-09T20:36:57+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,1922,"\n静岡放送\nいわゆる「袴田事件」をめぐり、袴田巖さんの再審=やり直し裁判での無罪判決を受けて、10月9日、検察は正式に控訴する権利を放棄しました。これにより、袴田さんの無罪が確定。専門家は捜査機関による「人道的で超法規的な判断があった」と分析します。\n【写真を見る】「静岡県警として申し訳なく思っている」袴田巖さん""死刑囚""から""市民""に 検察が上訴権放棄し無罪確定 県警は再捜査しない方針\n10月9日、袴田巖さんは56年ぶりに「死刑囚」から1人の市民に戻りました。\n\n1966年、旧清水市で一家4人を殺害したとして逮捕された袴田さん。1980年に死刑が確定しましたが、2023年、再審=裁判のやり直しが認められ、2024年9月、静岡地裁は無罪を言い渡しました。\n\n10月8日、検察は控訴しない決定を発表。10月9日、正式に控訴する権利を放棄したため、袴田さんの無罪が確定しました。\n\n＜袴田ひで子さん＞\n「一件落着で、誰にも何も言われない、巖が死刑囚じゃないと言われることが大変うれしい」\n\nこれまで死刑囚だった袴田さんには選挙権がありませんでしたが、担当弁護士によりますと検察は区役所に無罪が確定した旨の通知し、これにより袴田さんに選挙権が戻る見通しです。\n\n48年間、収監された袴田さんには最大約2億円の刑事補償が支払われるとみられ、袴田さんの弁護団は国家賠償請求も行う姿勢を示しています。\n\n＜袴田事件弁護団 小川秀世弁護士＞\n「はっきりと判決の中で警察・検察の責任を認めているということで、非常に国賠がやりやすい判決だと思っています」\n\n静岡地裁は犯行着衣などについて「捜査機関によってねつ造された証拠」だと認定したため、検察内部では控訴すべきとの意見もありました。\n\n最終的になぜ控訴を断念したのでしょうか。\n\n日本の検察のトップ、畝本直美検事総長はきのう談話を発表し「判決には不満があるが、袴田さんが結果として長きにわたって法的地位が不安定な状況に置かれていることを考慮した」としました。\n\nこの判断について元検察官の大澤孝征弁護士は。\n\n＜元検察官 大澤孝征弁護士＞\n「上訴して、新たに争いたいという気は十分あるけれども、今回の特殊な事情として、一種の人道的立場、言い方を変えれば一種の超法規的な意味でこれ以上長引かせることは相当でないと。公の立場を代表する検察官としては、その選択はしないという内容という風に読めます」\n10月9日朝、静岡県警の津田隆好本部長も取材に応じました。\n\n＜静岡県警 津田隆好本部長＞\n「当時捜査を担当した静岡県警察としてもですね、袴田さんが長きに渡って、法的地位が不安定な状況に置かれたことについて、申し訳なく思っております。法的地位が不安定な状況に置かれたことについて申し訳なく思っていますということでございます」\n\n＜記者＞\n「『法的地位が不安定な状況に置かれたことについて』を噛み砕いていうと?」\n\n＜静岡県警 津田隆好本部長＞\n「ここに書いてある通りでございます」\n\n県警のトップは謝罪の言葉を述べたものの、用意された資料を繰り返し読み上げるのにとどまりました。\n\n＜静岡県警 津田隆好本部長＞\n「もし、袴田さんご本人に何らかの形で、伝える機会があれば、その辺を含めて、手続き・方法はまた考えたい」\n\n当時捜査に関わった元捜査官は無罪判決に対して「当時の捜査会議でも犯人は袴田以外にあり得ない。捜査員が自分の仕事にケチをつけたりすることはしない」と不満をあらわにしました。\n\n事件があった静岡市清水区横砂です。事件で亡くなった4人を知る女性は袴田さんの無罪確定を受け、複雑な思いを語りました。\n\n＜現場近くに住む女性＞\n「すごく穏やかな人たちで家族仲良かった人たちだったんだけどね。本当、かわいそうだと思います。浮かばれないと思います」\n\n事件はすでに時効が成立していて、静岡県警は再捜査をしない方針です。\n\n＜静岡県警 津田隆好本部長＞\n「この事件は、こういう形で、最終的に犯人が分からないということになったことについては、ご遺族等に対して、大変遺憾に残念に思っている」\n\n事件で殺害された夫婦の孫にあたる男性は、検察の控訴断念について「受け入れるしかない」と答えました。\n\n58年越しに冤罪事件と認められた「袴田事件」。検察は再審請求手続きが長期間に及んだことなどについて「所要の検証を行う」とし、県警は「可能な範囲で改めて事実確認を行う」としています。\n静岡放送",[],['https://newsdig.tbs.co.jp/articles/gallery/1479099?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1479099&image=2']
無罪確定の袴田巖さん『選挙権』戻る見込み　検察の上訴権放棄と同日に衆議院解散（静岡放送（SBS））,https://news.yahoo.co.jp/articles/8116a88076cd11e63d76bd37caa7193eaf6ab1e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479385-sbsv-000-2-view.jpg?exp=10800,2024-10-09T19:51:34+09:00,2024-10-09T19:53:29+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,330,\n静岡放送\n長らく「死刑囚」だった袴田巖さんの無罪が確定し、袴田さんに選挙権が戻る見通しです。\n\n1966年、静岡県旧清水市で一家4人を殺害したとして逮捕された袴田巖さんは死刑が確定していましたが、9月26日、再審裁判で静岡地裁は袴田さんに無罪判決を言い渡しました。10月9日、検察は控訴する権利を放棄したため、袴田さんの無罪が確定しました。\n\n死刑囚だった袴田さんは公職選挙法に基づき、長らく選挙権がありませんでした。\n\n袴田さんの弁護士によりますと、9日に検察は区役所に無罪が確定した旨の通知をしたということです。これにより、袴田さんに選挙権が戻る見通しです。\n\n袴田さんの弁護団は、国などを相手取り賠償請求を行う方針です。\n静岡放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479385-sbsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/8116a88076cd11e63d76bd37caa7193eaf6ab1e8/images/000']
『政治とカネ』に揺れた国会 ついに衆院解散・総選挙へ　解散直後の静岡県内議員に聞く【衆院選2024】（静岡放送（SBS））,https://news.yahoo.co.jp/articles/099e504743b19f662174df0b78d6dec43522a8e9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21479174-sbsv-000-2-thumb.jpg?exp=10800,2024-10-09T19:51:34+09:00,2024-10-09T20:34:28+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,1635,\n静岡放送\n10月9日、衆議院が解散しました。10月15日公示、27日投開票の短期決戦に向けて、静岡県内の立候補予定者は事実上の選挙戦に突入しました。石破総理が就任してからわずか8日後の解散となり、総理就任から解散までの期間は戦後最短です。\n【写真を見る】『政治とカネ』に揺れた国会 ついに衆院解散・総選挙へ 解散直後の静岡県内議員に聞く【衆院選2024】\n選挙戦では、自民党の政治とカネの問題を受けた改革が大きな争点です。\n\n事実上の選挙戦に突入し、静岡県内の立候補予定者はー\n\n＜自民党 上川陽子氏＞\n「世界の中で回っていると痛切に静岡の良さを強く感じてまいりましたので、今一度魅力を言葉にして共有していく」\n\n＜自民党 井林辰憲氏＞\n「決まったことですから、しっかり闘って勝ち抜く、その思いだけです。まさに信頼回復について一番厳しい県だという風に思っていますので、しっかり信頼回復ができるように姿勢を正してやっていくということを説明していく。それに尽きると思います」\n\n＜自民党 深沢陽一氏＞\n「しっかりと反省するところは反省して、政策はしっかりと進めてまいりたい。特に経済対策をはじめ、防災対策、そういったことが一番求められてると思いますので、そこを皆さんにしっかりと約束をしていきたいと思っております」\n\n＜自民党 細野豪志氏＞\n「私にとっては自民党公認で戦う初めての選挙ですので、与党の一員として、より責任のある立場になるということもあるし、逆に政権の逆風というのはもろに受けなければならないということですので、そこは逃げずにしっかり戦いたい」\n\n＜自民党 城内実氏＞\n「いわゆる昭和の政治が平成を超えて、デジタルの令和の時代に不記載事案があったことは私も含めて大いに反省をし、しっかりと今から襟を正していくことが大事。これをしっかりやっていくしかないと思う」\n\n公明党のベテラン議員は引退です。\n\n＜公明党 大口善徳氏＞\n「刷新をしていくことが大事であるということで、地元の皆さんに対してお役にたてるよう努めてきた。ご恩を忘れないで、公明党の一党員として頑張ってまいりたい」\n一方、野党議員はー\n\n＜立憲民主党 源馬謙太郎氏＞\n「我々にとって（政権交代の）チャンスかどうかではなくて、この日本の政治がちゃんとまともになれるかどうか、この大きな分岐点だと思います。ですから政治不信に決着をつけられるかどうか、大変重要な選挙になる」\n\n＜立憲民主党 渡辺周氏＞\n「私たちとしては説明責任を果たした上で、有権者が判断できる議論をしたうえで、（解散は）来月でも良かったわけで、何かやばいことが出そうなので早いうちに解散して、何かみそぎを済ませておきたいと、そういう何か思惑があるんじゃないんですか」\n\n＜国民民主党 田中健氏＞\n「もちろん政治改革が基で、政治とカネの問題ですけど、私たちはやっと給料が上がり始めた今こそ ふところの豊かになる、国民ひとりが手取りが増える社会を実現して、経済を活性化していきたいと思っております」\n\n選挙モードの中、静岡県内では裏金問題をめぐり政界引退を表明した塩谷立氏はー\n\n＜塩谷立氏＞\n「まだまだやるべき仕事がたくさんあるという思いで、後ろ髪をひかれるような、やっぱり居場所がなくなる感じがして寂しいですよね。ただ、今後のことは新しい後身に託して」\n\nまた、18歳の女性との飲酒が報じられたものの、公の場での説明を避けてきた吉川赳氏はー\n\n＜吉川赳氏＞\n「本当に、国会議員として非常に軽率な行動であったということはこの2年間、反省をしながら、無所属として議員活動を続けてきたつもりではあります。例の一連の問題について係争中でございますし、結論が出ていないということで、次の選挙は見送るべきかなという、そういう判断をしました」\n静岡放送,[],['https://newsdig.tbs.co.jp/articles/gallery/1479174?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1479174&image=2']
サニブラウン選手がバレーに挑戦!?  男子バレー「東レアローズ静岡」と五輪代表の韋駄天が交流（静岡放送（SBS））,https://news.yahoo.co.jp/articles/43d5590301b1238893151f598a52d3ae67237e53,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21478454-sbsv-000-2-thumb.jpg?exp=10800,2024-10-09T19:28:32+09:00,2024-10-09T22:44:31+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,374,\n静岡放送\nパリオリンピック™陸上日本代表のサニブラウン・アブデル・ハキーム選手が10月9日、静岡県三島市を訪れました。男子バレーSVリーグ「東レアローズ静岡」の選手たちと交流するためです。\n【写真を見る】サニブラウン選手がバレーに挑戦!? 男子バレー「東レアローズ静岡」と五輪代表の韋駄天が交流\nサニブラウン選手も東レ所属という縁で実現しました。\n\n交流会では、アローズの選手がマシンを使ったレシーブを実演。\nサニブラウン選手も挑戦しました。\n\n＜サニブラウン・アブデル・ハキーム選手＞\n「お互いの競技をリスペクトして言える仲ってとてもいいものだなと思いました。こういう本当に小さな出会いから、大きなもっともっと良い関係を築いていければ」\n\nサニブラウン選手は最後に選手たちと記念撮影し、笑顔を見せていました。\n静岡放送,[],['https://newsdig.tbs.co.jp/articles/gallery/1478454?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1478454&image=2']
「実際には自信があるけど...」安全意識の向上へ  交通事故の危険予測トレーニング出張研修（静岡放送（SBS））,https://news.yahoo.co.jp/articles/1ce56a68f8c1f8bc4920ed4fbf114f6aaf402870,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21478491-sbsv-000-1-thumb.jpg?exp=10800,2024-10-09T19:24:50+09:00,2024-10-09T19:24:50+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,451,\n静岡放送\n静岡県下田市で10月9日、交通事故を防止するための危険予測トレーニングの体験会が行われました。\n【写真を見る】「実際には自信があるけど...」安全意識の向上へ 交通事故の危険予測トレーニング出張研修\n静岡県では、高齢ドライバーの交通事故の割合が増えていることを受けて、事故の危険を予測するトレーニングの体験会を行っています。このシステムは本田技研工業が開発したもので、認知や判断を伴う危険予測能力を高め、安全意識を向上させることが狙いです。\n\n9日の体験会では参加者が動画を見ながら、危険を感じた瞬間にボタンを押していました。\n\n＜72歳の参加者＞\n「ミラーとかは全然、一番最初は見ていなくて、その辺が難しいなと。実際には気を付けて、自信があるんですけどね」\n\n＜静岡県くらし交通安全課 井口洋介主幹＞\n「（講習で）運転する上での危険なところ、注意すべきところを学ぶことによって、普段の運転に必ず生かされてきますので、ぜひ参加していただければと思います」\n静岡放送,[],['https://newsdig.tbs.co.jp/articles/gallery/1478491?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1478491&image=2']
暴力団の身分隠し「反社会勢力ではない」とネット口座開設申し込みか 指定暴力団六代目山口組三代目小西一家幹部の男逮捕=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/88f9efecec8e008b5ab1f4c60b372162ab0b710d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21478404-sbsv-000-2-view.jpg?exp=10800,2024-10-09T16:02:00+09:00,2024-10-09T17:34:30+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,408,\n静岡放送\n暴力団の身分を隠して預金口座を開設したなどの疑いで、指定暴力団六代目山口組三代目小西一家幹部の男が10月9日逮捕されました。\n\n詐欺の疑いで逮捕されたのは、静岡市駿河区西島に住む指定暴力団六代目山口組三代目小西一家幹部の男（58）です。\n\n警察によりますと、男は2023年3月中旬頃、暴力団組員であることを隠し、東京都内の金融機関に預金口座の開設とキャッシュカードの発行を申し込み、口座を開設しキャッシュカード1枚をだまし取った疑いが持たれています。\n\n男はインターネットで口座開設を申し込む際、申し込み画面で「反社会的勢力ではない」と虚偽の内容を送信し、口座を開設しました。\n\n警察が暴力団に対する捜査を進める中で事件が発覚し、逮捕に至ったということです。\n\n警察は男が容疑を認めているかどうか明らかにしていませんが、口座の開設目的や余罪について捜査を進めています。\n静岡放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21478404-sbsv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/88f9efecec8e008b5ab1f4c60b372162ab0b710d/images/000']
「以前運転を不快に思った」旨の供述　店舗の駐車場で他人の車に傷をつけた疑いで45歳の男を逮捕=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/da6c41fc2e05ff41f44c807cd6cc8c0132fb635d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21478386-sbsv-000-1-view.jpg?exp=10800,2024-10-09T15:47:00+09:00,2024-10-09T15:47:00+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,391,\n静岡放送\n8月下旬、ドラッグストアの駐車場で他人の車に故意に傷をつけたとして、45歳の会社員の男が逮捕されました。\n\n器物損壊の疑いで逮捕されたのは、浜松市中央区泉に住む会社員の男（45）です。\n\n警察によりますと、男は8月下旬、浜松市中央区内にあるドラッグストアの駐車場に止められていた乗用車の右側前後のドアに、固く尖ったもので線状の傷をつけた疑いが持たれています。\n\n車は浜松市に住む無職の男性（69）が所有する乗用車で、男と被害者に面識はなく、犯行当時、被害者の男性は店内で買い物をしていて不在だったということです。\n\n被害者の男性が車の傷に気が付き被害届を提出し、警察が防犯カメラを確認するなどして捜査を進め、男を逮捕しました。\n\n警察の調べに対し、男は容疑を認めていて「以前男性の運転を不快に思った」旨の供述をしているということです。\n静岡放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241009-21478386-sbsv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/da6c41fc2e05ff41f44c807cd6cc8c0132fb635d/images/000']
