headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
兵庫県警の警察官名乗るダミ声の男に「全部おまえが悪いんだろうが、とっとと金払って、解決してしまえや」電話で脅され…約230万円だまし取られる（BSS山陰放送）,https://news.yahoo.co.jp/articles/616c9dd16df358605f088f7cd5cd68ad4acbc47a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21482131-bss-000-1-view.jpg?exp=10800,2024-10-10T19:41:31+09:00,2024-10-10T19:41:31+09:00,BSS山陰放送,bss,BSS山陰放送,896,\n山陰放送\n今年8月、兵庫県警の警察官を名乗るダミ声の男から「全部お前が悪いんだろうが」などと電話で脅され、島根県東部に住む男性（60代）が約230万円をだまし取られていたことが分かりました。\n\nこれは島根県警本部が10日、明らかにしたものです。\n\n8月19日に、男性の携帯電話に個人情報保護委員会を名乗る男から電話があり、「有料サイトの未払い金があり、裁判にかけられようとしている。すぐに払い込む必要がある」と話したため、男性は指示された個人名義の口座に29万3000円を振り込みました。この電話は「+1」で始まる海外番号だったということです。\n\n振り込んだ男性がATMを離れた直後に今度は、「他にも有料サイトの未払い金がある。救済措置でお金は払い戻される」と追加の振り込みを指示され、男性はATMに戻って50万円を別の個人名義の口座に振り込みました。\n\nすると「日本サイバー犯罪対策センターに、あなたの携帯電話が不正に使用されていないか調査してもらっている」と電話があり、続いて日本サイバー犯罪対策センターを名乗る男から「あなたの携帯電話が乗っ取られてウイルスがばらまかれて、損害が生じた。保険料の振り込みが必要である」と言われたということです。\n\nまたその間、兵庫県警の警察官を名乗る男が、ダミ声で「全部おまえが悪いんだろうが、とっとと金払って、解決してしまえや」と怒鳴りつけるものなど10数回にわたって電話で支払い要求が繰り返され、男性は19日から24日までの間に計4回、合計229万3000円を、全て別々の個人名義の口座に振り込んで、だまし取られたということです。\n\n兵庫県警の警察官が電話をして来ることに不審感を抱いた男性が、ネットで検索した弁護士の窓口に相談した所、詐欺だと指摘され、警察に届け出て被害が分かりました。\n\n警察では料金が未納だという電話やショートメッセージのほか、身に覚えがない「+1」などで始まる海外からの電話や「050」で始まるIP電話、非通知の着信などは、詐欺の可能性が高いので注意して欲しいと呼び掛けています。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21482131-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/616c9dd16df358605f088f7cd5cd68ad4acbc47a/images/000']
車いすテニス　パリ・パラリンピック銀メダル獲得　三木拓也選手が島根凱旋（BSS山陰放送）,https://news.yahoo.co.jp/articles/4b01b6e66e712c3e348a2fb2a42e8caf0321f28b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481954-bss-000-1-view.jpg?exp=10800,2024-10-10T18:53:27+09:00,2024-10-10T18:53:27+09:00,BSS山陰放送,bss,BSS山陰放送,713,\n山陰放送\n9月に開催されたパリ・パラリンピック車いすテニス男子ダブルスで、見事、銀メダルを獲得した島根県出雲市出身の三木拓也選手が、地元・島根に凱旋。\n熱戦を重ねたパリ・パラリンピックの様子を丸山知事に報告しました。\n【写真を見る】車いすテニス パリ・パラリンピック銀メダル獲得 三木拓也選手が島根凱旋\n島根県 丸山達也 知事\n「持たせてもらうだけで」\n「ほんと、重いです、これ」\n\n輝くメダルを首にかけ登場したのは出雲市出身の三木拓也選手、35歳です。\n\n三木選手は、パリ・パラリンピック車いすテニスの男子シングルスとダブルスに出場。\n18歳の小田凱人選手と出場した男子ダブルスで、銀メダルを獲得しました。\n\n男子車いすテニスでのメダル獲得は、2004年のアテネ大会以来20年ぶりの快挙、三木選手自身としては、4大会連続出場のパラリンピックで、悲願のメダル獲得となり、地元も多いに盛り上がりました。\n\nパリ・パラリンピック 車いすテニス男子ダブルス 銀メダル 三木拓也 選手\n「県内各所でパブリックビューイング等もしていただいたということで、本当に、県内の皆さんに見ていただけたことも、嬉しかった。」\n\nパリ・パラリンピック終了後、すぐにイタリアの大会に出場したという三木選手。\nパラリンピックの銀メダルは?\n\nパリ・パラリンピック 車いすテニス男子ダブルス 銀メダル 三木拓也 選手\n「『グランドスラム優勝を目指して』という元々の目標を達成するのに、残された時間をどういう風に使っていくかという部分で、悔しさは糧にしたいし、始まりの日、再出発の日だと思っている」\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481954-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/4b01b6e66e712c3e348a2fb2a42e8caf0321f28b/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1481954?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1481954&image=2']"
「島根原発2号機」安全確保に関わる意見書を中国電力に提出（BSS山陰放送）,https://news.yahoo.co.jp/articles/77e0e9d5271f73c613538521c1b0988f7be178bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21482235-bss-000-1-view.jpg?exp=10800,2024-10-10T20:34:31+09:00,2024-10-10T20:34:31+09:00,BSS山陰放送,bss,BSS山陰放送,523,\n山陰放送\n12月に計画される島根原子力発電所2号機の再稼働を前に10日、周辺自治体である鳥取県と米子・境港両市が、安全確保に関わる意見を中国電力に提出しました。\n【写真を見る】「島根原発2号機」安全確保に関わる意見書を中国電力に提出\nきょうは平井知事と伊木市長、伊達市長が中国電力の北野副社長に連名で意見書を提出しました。\n\n意見提出の背景には、今年1月の能登半島地震があり、宍道断層と鳥取沖西部断層との連動の可能性など最新の科学的知見を集め、必要があれば更なる安全対策を講じること。\n長く停止していた2号機を運用する上で、施設・設備だけでなく人員体制や人材育成なども強化しヒューマンエラーを防止すること。\nプルサーマルを検討する際には鳥取県や米子・境港両市にも協議し、立地自治体と同じように対応することなど10項目を求めています。\n\n鳥取県 平井伸治 知事\n「まだ再稼働まで様々な手続きが残っています。慎重に、安全を第一義として、我々の立場からすれば立地（自治体）と同じ安全性の確保を求める」\n\n中国電力 北野立夫 副社長\n「真摯に受け止めまして、対応についてはしっかり対応していきたいと思っています」\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21482235-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/77e0e9d5271f73c613538521c1b0988f7be178bc/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1482235?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1482235&image=2']"
色づきやや遅いものの糖度は17度以上　西条柿の出荷始まる（BSS山陰放送）,https://news.yahoo.co.jp/articles/a73dbf6b8977cb07bb94200be41e73517f3c141f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481865-bss-000-1-view.jpg?exp=10800,2024-10-10T18:36:56+09:00,2024-10-10T18:36:56+09:00,BSS山陰放送,bss,BSS山陰放送,435,\n山陰放送\n楽しみな秋の味覚の話題です。\n島根県浜田市で、西条柿の出荷が始まりました。\n\n浜田市では現在73戸の農家が、29ヘクタールで西条柿などの柿栽培をしています。\n【写真を見る】色づきやや遅いものの糖度は17度以上 西条柿の出荷始まる\nこの日は生産者とJAの関係者ら、およそ50人が集まり、柿の色合いや形などの目合わせ作業をしたあと初出荷式が行われました。\n\n今年の浜田の西条柿は猛暑の日焼けとカメムシ被害、昼夜の寒暖差不足で色づきがやや遅いものの、糖度は17度以上あり、まずまずのできとのこと。\n\n「いわみ中央西条柿生産組合」では、今年度、170トンの出荷、5500万円の販売額を見込んでいます。\n\nいわみ中央西条柿生産組合 串崎美之 副組合長 \n「島根のブランド品としての西条柿を送らせてもらいますので、自信を持っておりますのでどうか皆様買って食べてください。」\n\n浜田市の西条柿の出荷は11月20日頃まで続きます。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481865-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/a73dbf6b8977cb07bb94200be41e73517f3c141f/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1481865?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1481865&image=2']"
太陽表面で大規模な「太陽フレア」発生　人工衛星障害・GPS誤差増大・短波通信障害など発生のおそれ（BSS山陰放送）,https://news.yahoo.co.jp/articles/b6568586a112898c9dd1538c46ae98f2f7ab0c37,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21480329-bss-000-3-view.jpg?exp=10800,2024-10-10T12:16:57+09:00,2024-10-10T14:17:10+09:00,BSS山陰放送,bss,BSS山陰放送,637,\n山陰放送\n情報通信研究機構（NICT）は、日本時間の10月9日午前11時前に、大規模な太陽フレアの発生を確認したと発表しました。この影響で、10日深夜以降コロナガスが地球に到来し、人工衛星の障害やGPSの誤差増大、短波通信障害などが生じる恐れがあるとして、注意を呼び掛けています。\n【写真を見る】太陽表面で大規模な「太陽フレア」発生 人工衛星障害・GPS誤差増大・短波通信障害など発生のおそれ\n国の研究機関、情報通信研究機構（NICT）によりますと、日本時間の9日10時56分、大規模な太陽フレアの発生を確認したということです。\n\n太陽フレアとは、太陽の黒点付近で生じる爆発現象で、強い紫外線やX線、電波等が放射されるほか、コロナガスが放出されることもあるといいます。\n\n小規模なものから、A、B、C、M、Xの順にクラス分けされていますが、今回確認されたのは「X1.8クラス」で、5段階のうち、最も上のクラスの大規模爆発でした。\n\n今回の太陽フレアの発生により、コロナガスが地球方向へ放出されていて、日本時間の10月10日深夜以降に地球に到来すると予想されています。\n\nこの影響で地磁気嵐が発生する可能性があり、そのため、地球周辺の人工衛星の障害やGPSを用いた高精度測位の誤差の増大、短波通信障害などが生じる恐れがあるということです。\n\n太陽フレアは、今年5月にも大規模なものが確認されていて、日本各地でオーロラが観測されました。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21480329-bss-000-3-view.jpg?pri=l&w=640&h=313&exp=10800'],"['https://news.yahoo.co.jp/articles/b6568586a112898c9dd1538c46ae98f2f7ab0c37/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1480329?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1480329&image=2']"
出雲市日御碕地区へ新たな迂回道路が12月開通へ・年末年始前に大型車両乗り入れ再開できる見通しに（BSS山陰放送）,https://news.yahoo.co.jp/articles/994e9676245b303fa528a33368dd42d8a8a8d5cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481778-bss-000-1-view.jpg?exp=10800,2024-10-10T18:04:30+09:00,2024-10-10T18:04:30+09:00,BSS山陰放送,bss,BSS山陰放送,526,\n山陰放送\n7月9日の大雨で崩落した出雲市内の県道について、島根県は大型車両も通行出来る新たな仮設迂回道路に間もなく着工し、12月中に完成する見込みと明らかにしました。\n\n道路崩落では一時、この先の出雲市大社町の日御碕地区が孤立し、その後、崩落した道の山側に迂回道路を整備することで徐々に改善が進んでいました。\n\n先月7日には大型車両を除く一般車両が通行出来るようになり、観光客の自由な行き来も再開されています。\n\nただ現在の迂回道路は勾配が急で、車両重量8トン以上または最大積載量5トン以上の大型車両は引き続き通行できず、大型観光バスなどには支障となっていました。\n\n10日に県が発表した所によりますと、新たな迂回道路は、山側にある元宿泊施設の建物を解体して整備され、8月11日から利用されている迂回道路の南側半分を置き換えます。\n\n来週中の着工、12月中の完成を目指していて、依然として片側交互通行ではあるものの、道路を使った往来自体は年末年始を前に復旧されそうです。\n\nまた崩落した県道そのものの復旧については、国の災害復旧補助を受けるための査定中だとして、現時点で着工時期などは見通せないということです。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481778-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/994e9676245b303fa528a33368dd42d8a8a8d5cc/images/000']
選挙ポスター「1枚を超えて掲示してはならない」　無関係ポスター問題受け鳥取県が独自条例を可決　「撤去命令」も（BSS山陰放送）,https://news.yahoo.co.jp/articles/44b9214d5369dab597a898286f28b54bb8d61951,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21480049-bss-000-3-view.jpg?exp=10800,2024-10-10T11:29:26+09:00,2024-10-10T19:34:31+09:00,BSS山陰放送,bss,BSS山陰放送,473,\n山陰放送\n選挙運動とは無関係のポスターが掲示板を埋めるような事態が起きないようにと、鳥取県は10日、独自の条例案を可決しました。\n【写真を見る】選挙ポスター「1枚を超えて掲示してはならない」 無関係ポスター問題受け鳥取県が独自条例を可決 「撤去命令」も\n条例では、掲示板には選挙運動用のポスターだけを候補者1人につき1枚だけ掲示できると公職選挙法の趣旨を示し、候補者以外のポスター、複数のポスター、選挙運動用以外のポスターの禁止を明文化しています。\n\nこれらのポスターが掲示された場合は撤去命令などの措置を行うとしています。\n\n先の東京都知事選挙で選挙と無関係のポスターが大量に貼られたことなどを受け、公明かつ適正な選挙を守る目的で鳥取県が独自の条例を制定しました。\n\n条例の名称は「鳥取県健全な民主主義のための公明かつ適正な選挙の確保等に関する条例」です。\n\n条例ではポスターのほかにも、街頭演説の妨害などに対し選管や警察が停止させるよう努めること、投票所のオンライン立会を推進することも盛り込まれました。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21480049-bss-000-3-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/44b9214d5369dab597a898286f28b54bb8d61951/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1480049?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1480049&image=2']"
女性の淫らな声を大音量で流す男に、帰宅中の女子生徒が自転車でつきまとわれる（BSS山陰放送）,https://news.yahoo.co.jp/articles/e99092f6268165719aa671418ab279288fbdfa17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21479802-bss-000-2-view.jpg?exp=10800,2024-10-10T09:36:29+09:00,2024-10-10T09:44:33+09:00,BSS山陰放送,bss,BSS山陰放送,232,\n山陰放送\n島根県警によりますと、8日午後10時20分頃、島根県松江市内を歩いて帰宅中の女子生徒が、女性の淫らな声を大音量で流す男に自転車でつきまとわれる事案が発生したということです。\n\n男の特徴は痩せ型で、上衣黒色フード付き長袖、下衣黒色長ズボン。黒色運動靴に、黒色ショルダーバッグ、四角フレームのメガネで、黒色自転車だったということです。\n\n警察では、外出するときは防犯ブザーを携行し、人通りの多い場所を選んで帰るよう呼びかけています。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21479802-bss-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/e99092f6268165719aa671418ab279288fbdfa17/images/000']
総理大臣に新人2人が挑む…三つ巴の争いとなる公算　衆院選鳥取1区（BSS山陰放送）,https://news.yahoo.co.jp/articles/c0d9b6f0841210f80145fa29a9ec15983d9f89f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481121-bss-000-1-view.jpg?exp=10800,2024-10-10T20:04:29+09:00,2024-10-10T20:04:29+09:00,BSS山陰放送,bss,BSS山陰放送,1449,\n山陰放送\n9日、衆議院が解散し、事実上の選挙戦に突入しました。\nこうした中、現職総理大臣の選挙区として全国から注目されるのが鳥取1区。三つ巴の戦いが予想されています。\n【写真を見る】総理大臣に新人2人が挑む…三つ巴の争いとなる公算 衆院選鳥取1区\n鳥取1区に立候補を表明しているのは、自民党の前職・石破茂さん（67）、立憲民主党の新人・朝倉浩之さん（51）、共産党の新人・岡田正和さん（42）の3人です。\n\n自民・前 石破茂氏\n「地方創生2.0として、次の10年を期間として、地方創生を再起動いたします。日本全体に安全と安心を取り戻し、持てる潜在力を最大限に引き出し、日本全体を創生させるべく、この取り組みは必ず成功致させます」\n\n内閣総理大臣として、自ら解散権を行使して今回の選挙を迎える石破さん。\n\nいわゆる裏金議員については、比例代表での重複立候補を認めない方針を示し、自らも責任を果たすとして、自身も比例代表に重複立候補せずに戦います。\n\n過去12回の当選を重ねる石破さん、盤石の選挙戦を進めるため、地元では市議や県議、党組織など総動員で臨みますが、懸案となるのは「政治とカネの問題」です。\n\n9月7日、自民党鳥取県連と公明党鳥取県本部とが結んだ政策協定では「政治資金の透明性の確保」が第一項目に掲げられました。\n\n自民党鳥取県連 斉木正一幹事長\n「1区は総理大臣の地元ということで、鳥取県の顔でもありますし、恥ずかしくない票を出さなくては」\n\nそして今回、現職の総理に挑むのは2人の新人です。\n\n立憲・新 朝倉浩之氏\n「総理と戦う男、朝倉でございます」\n\n立候補表明の会見でこう意気込んだのは、元日本海テレビのアナウンサーで、2019年から今年の9月まで東京都の職員を務めた朝倉さん。\n\n東京と地方、両方の実情が分かるとして、東京一極集中の是正や政治改革などを公約の柱としました。\n\n今回1区への擁立は、立憲民主党としては初、前身の民主党を含めると15年ぶりで、重点区に位置付けられました。\n\nそして、衆議院が解散したきのう。\n初めての選挙戦でしかも短期決戦、課題は知名度アップです。\n朝から街頭に立ちました。\n立憲・新 朝倉浩之氏\n「石破さんはおそらくこっちに来ないと思うので、来ないのだったら私が徹底的に鳥取の選挙区を回って訴えて、私がいますよということをお伝えしていきたい」\n\n一方、前回の衆院選で石破さんに敗れた岡田さん、3度目の国政挑戦です。\n\n選挙区での必勝、そして2017年に失った比例中国ブロックの議席奪還にも意欲を見せました。\n\nそして、きのう…\n\n共産・新 岡田正和氏\n「もう自民党の中で表紙をすげ替えたって何も変わりはしない」\n\nJR鳥取駅前に立った岡田さん。\n政治とカネの問題や農家への支援充実、くらし優先の経済などを訴えました。\n\n42歳という若さを生かし、足を使った街頭活動を重点に選挙を戦っていきたいとしています。\n\n共産・新 岡田正和氏\n「手法としてはSNSや街頭宣伝でも工夫をしながら（政策を）伝えていく。日本共産党の岡田正和という名前をおぼえていただけるように私自身の魅力を伝えていくことに工夫を重ねていきたい」\n\n現職総理の選挙区として全国から注目を集める鳥取1区。\n衆院選は10月15日公示、27日に投開票が行なわれます。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21481121-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/c0d9b6f0841210f80145fa29a9ec15983d9f89f7/images/000', 'https://newsdig.tbs.co.jp/articles/gallery/1481121?utm_source=news.yahoo.co.jp&utm_medium=referral&utm_campaign=partnerLink&ex_position=photo&ex_id=1481121&image=2']"
「下半身を露出した男がいた」警察官駆け付けると…まだ露出したままだった　無職の男（85）を現行犯逮捕「下半身を露出したことに間違いない」容疑認める（BSS山陰放送）,https://news.yahoo.co.jp/articles/f1161828591c1d4f9dc4dc790176f8eb11694b54,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21479452-bss-000-1-view.jpg?exp=10800,2024-10-10T05:12:59+09:00,2024-10-10T05:12:59+09:00,BSS山陰放送,bss,BSS山陰放送,352,\n山陰放送\nアパートの共用スペースで下半身を露出していたとして8日、無職の男が松江警察署に逮捕されました。\n\n公然わいせつの容疑で逮捕されたのは、島根県松江市に住む無職の男（85）です。\n\n松江警察署によりますと、男は8日午後9時27分頃、松江市内のアパートの共用スペースで下半身を露出していた疑いが持たれています。\n\n見かけた人が「下半身を露出した男がいた」と110番通報。警察官が駆け付けたところ、男は下半身を露出したままだったため午後9時46分、現行犯逮捕したということです。\n\n調べに対し男は「下半身を露出したことに間違いない」と容疑を認めています。\n\n男は犯行時、飲酒などはしていなかったということですが、警察が引き続き事件の経緯や動機について調べています。\n山陰放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241010-21479452-bss-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/f1161828591c1d4f9dc4dc790176f8eb11694b54/images/000']
