headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
社会福祉施設で80歳以上の利用者2人が「カンピロバクター」による食中毒　発熱や下痢などの症状（NBS長野放送）,https://news.yahoo.co.jp/articles/92312974ac86379ea61486ad23c3b49a10946674,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020745-nbstv-000-2-view.jpg?exp=10800,2024-10-22T19:35:01+09:00,2024-10-22T19:36:01+09:00,NBS長野放送,nbstv,NBS長野放送,646,\n提供：食品安全委員会\n長野県木曽保健所は22日、管内の社会福祉施設で80歳以上の利用者2人がカンピロバクターによる食中毒になったと発表しました。2人は快方に向かっています。\n\n木曽保健所によりますと、10月11日、管内の社会福祉施設で調理した食事を食べている利用者18人のうち80歳以上の男女2人に発熱や下痢などの症状が出ました。\n\n保健所が2人の便を調べた所、食中毒を起こす細菌カンピロバクターを検出。2人が共通して食べたのは施設の食事だけだったことから、保健所は潜伏機関などから10月6日から10日かけて提供された食事が原因の食中毒と断定しました。\n\n2人は医療機関に入院しましたが、快方に向かっているということです。\n\nカンピロバクターはニワトリ、ウシ、ブタなどの腸管内に存在し、食肉として解体する際に処理された食肉の表面を汚染すると考えられています。特に鶏肉は汚染されやすいということです。\n\n熱や乾燥に弱く常温の空気中でも徐々に死滅しますが、少量でも食中毒を起こす特徴があります。\n\n潜伏期間は平均で2、3日。下痢、腹痛、発熱、頭痛、吐き気などの症状が出ます。\n\n感染した場合、抵抗力が弱い幼児や高齢者などは重篤な症状となる可能性があります。\n\n保健所は鶏肉などを調理する際は十分に加熱調理すること。生肉を扱った手やまな板などは他の食品を汚染する可能性があるため、きちんと洗浄し、熱湯や塩素系の漂白剤で消毒するよう呼びかけています。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020745-nbstv-000-2-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/92312974ac86379ea61486ad23c3b49a10946674/images/000']
猟友会による「キジ」の放鳥　保護や食物連鎖の維持が目的　長野・坂城町（NBS長野放送）,https://news.yahoo.co.jp/articles/ef2c8cade33e13c7dc568224ad6d5197a810a9d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020742-nbstv-000-2-view.jpg?exp=10800,2024-10-22T18:58:01+09:00,2024-10-22T19:00:01+09:00,NBS長野放送,nbstv,NBS長野放送,277,\n猟友会による「キジ」の放鳥\n赤い顔に立派な羽。長野県坂城町で猟友会による「キジ」の放鳥が行われました。\n\n保護や食物連鎖の維持を目的に、毎年、県内4つのブロックごとに放しています。\n\n坂城町の村上保育園の60人も参加し、キジとの触れ合いを楽しみました。\n\n坂城町では約20年ぶりに20羽を放ちました。\n\n園児：\n「フワフワだった」\n「キジの色がすごくカラフルでいい」\n「大きく育ってほしい」\n\n千曲坂城猟友会・西隆男 会長：\n「いいね、羽を拾って喜ぶ（園児たちの）表情は最高。みんなで楽しみながら放していく」\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020742-nbstv-000-2-view.jpg?pri=l&w=640&h=359&exp=10800'],['https://news.yahoo.co.jp/articles/ef2c8cade33e13c7dc568224ad6d5197a810a9d6/images/000']
ホクホクの秋の味覚　幼稚園で「焼き芋会」　長野・松本市（NBS長野放送）,https://news.yahoo.co.jp/articles/748e83a985a22d8ea728e0958559fa9f1dc29661,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020741-nbstv-000-1-view.jpg?exp=10800,2024-10-22T19:00:01+09:00,2024-10-22T19:00:01+09:00,NBS長野放送,nbstv,NBS長野放送,518,\n恒例の焼き芋会\nようやく秋らしい気温になってきましたね。長野県松本市の幼稚園では恒例の焼き芋会が開かれ青空の下、園児たちがホクホクの秋の味覚を堪能しました。\n\n松本市の松本神映幼稚園。10月22日は特別な日です。\n\n園児たち：\n「（みんな何楽しみにしているの？）おいも、おいも！」\n\nこの時期の恒例行事「やきいも会」の日です。\n\n園児たちは21日、自分たちでサツマイモに新聞紙とアルミホイルを巻いて準備していました。\n\n歌♪：\n「やきいも、やきいも、お腹がグー ホカホカ、ホカホカ、あっちちのチー」\n\n1時間ほどで―。\n\n職員：\n「いい感じ～」\n\nお待ちかねの焼き芋が出来上がりました。\n\n「いただきまーす！」\n\n園児：\n「中の方がおいしい、ホクホクで」\n「おいしい、あっちい」\n「（食べきれそう？ううん、ママにもあげる」\n\n21日から一気に秋らしくなった県内。22日朝の最低気温も松本6.7℃、長野10℃などこの時期らしい冷え込みとなりました。\n\n青空の下、園児およそ160人はアツアツの焼き芋を堪能しました。残った分は持ち帰り家族に分けるということです。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020741-nbstv-000-1-view.jpg?pri=l&w=640&h=358&exp=10800'],['https://news.yahoo.co.jp/articles/748e83a985a22d8ea728e0958559fa9f1dc29661/images/000']
防犯カメラが捉えたのは被告の車か？　妻殺害事件　元長野県議の丸山大輔被告の裁判　検察側と弁護側が真っ向対立（NBS長野放送）,https://news.yahoo.co.jp/articles/f750dc27bdb369494c8fadb1a0b207136d9a4911,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020738-nbstv-000-1-view.jpg?exp=10800,2024-10-22T19:02:02+09:00,2024-10-22T19:02:02+09:00,NBS長野放送,nbstv,NBS長野放送,647,\n丸山大輔被告 イラスト：一色こうき\n丸山大輔元長野県議の妻殺害事件の裁判です。検察が提出した防犯カメラ映像に映っているのが被告の車かどうかについて、証人尋問が行われました。検察側の証人は「被告の車と同一性が高い」とする一方、弁護側の証人は「不鮮明で一致するとは言えない」と真っ向から否定し、見解も対立しています。\n【画像】逮捕2カ月前に丸山大輔被告をインタビュー\n元県議の丸山大輔被告（50）が、妻・希美さん（当時47）を殺害した罪に問われている裁判員裁判。\n\n22日も一つ目のテーマ「被告の所在・移動の状況」について審理が行われました。\n\n検察は、被告が長野市の議員会館から塩尻市の自宅兼酒蔵まで車で移動し、犯行に及んだことを立証するため、被告の車が映ったとされる防犯カメラ映像を証拠として提出しています。\n\n21日の裁判では、検察側の証人として画像解析の専門家である立命館大学の名誉教授が出廷しました。\n\n被告の車と映像の車はナンバープレート左右のへこみ傷の位置や形が一致しているなどとして、「同一性が高い」と話しました。\n\n一方、22日は弁護側の証人として警察などから科学鑑定を請け負っている民間会社の代表が出廷。\n\n映像について、「不鮮明で、被告の車と一致するとみるのは困難」などと話しました。\n\n映っているのは、被告の車なのか。\n\n23日は、「被告の所在・移動の状況」について、検察側と弁護側が意見を述べる論告・弁論が行われます。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020738-nbstv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],"['https://news.yahoo.co.jp/articles/f750dc27bdb369494c8fadb1a0b207136d9a4911/images/000', 'https://www.fnn.jp/articles/gallery/776081?image=2']"
キノコ採りの80代男性が行方不明　発見に至らず　マツタケ採り歴50年の85歳男性も不明　誤って山の反対側に…自力で下山し家に戻る（NBS長野放送）,https://news.yahoo.co.jp/articles/8c0c6bc097e4cab786bc33c68696aec4ff25b6eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020737-nbstv-000-3-view.jpg?exp=10800,2024-10-22T18:57:01+09:00,2024-10-22T19:21:01+09:00,NBS長野放送,nbstv,NBS長野放送,622,\n長野県辰野町\n長野県内でキノコ採りの遭難が相次いでいます。辰野町と大町市で21日から80代の男性2人が行方不明に。辰野町の男性はその後、自力で下山しましたが、大町市の男性は発見に至っていません。\n\n22日、辰野町川島地区の公園に集まった警察や消防の隊員たち。地区の山に1人でマツタケ採りに入った85歳の男性が21日から行方不明となっていて、捜索を再開する予定でした。\n\nするとー\n\n消防隊員：\n「自宅の方に向かってください」\n\n男性の自宅へと向かう消防隊員。\n\n町消防団：\n「一応、本人と確認できました。無事です」\n\n午前9時前、自力で下山し家に戻っているのが確認されました。\n\n男性はマツタケ採り歴50年ほどのベテランで、地区の山にもよく入っていましたが、今回は誤って山の反対側に下山してしまい、一晩かけて戻って来たということです。\n\n途中、滑落して足にけがをしていたため、病院に搬送されました。\n\n近所の住民：\n「何より安心しました。生きててよかった」\n\n町消防団：\n「慣れた山でも夢中になると分からなくなるので、気を付けた方がいい」\n\n一方、大町市でも、1人でキノコ採りに入った80歳の男性が行方不明となっていて、警察が捜索を行いましたが、発見には至っていません。\n\n県内では9月末からキノコ採りの遭難が相次ぎ、これまでに4人が死亡、2人が行方不明となっています。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020737-nbstv-000-3-view.jpg?pri=l&w=640&h=357&exp=10800'],['https://news.yahoo.co.jp/articles/8c0c6bc097e4cab786bc33c68696aec4ff25b6eb/images/000']
キャプテンの牧秀悟選手が執念の決勝打　横浜DeNAが日本シリーズ進出　日本一かけソフトバンクと対戦（NBS長野放送）,https://news.yahoo.co.jp/articles/58f5fe66f5ae8c726304174afb38e05688b554d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020739-nbstv-000-1-view.jpg?exp=10800,2024-10-22T18:46:01+09:00,2024-10-22T18:46:01+09:00,NBS長野放送,nbstv,NBS長野放送,354,\n牧秀悟選手\nプロ野球・セリーグのクライマックスシリーズファイナルステージ第6戦が21日夜行われ、DeNAが巨人を下して日本シリーズ進出を決めました。長野県中野市出身の牧秀悟選手が勝負を決めました。\n\n2019年以来の日本シリーズ進出がかかる巨人と、リーグ3位からの下克上を目指すDeNAの対戦。ともに3勝を挙げていて勝った方が日本シリーズに駒を進めます。\n\n2対2で迎えた9回表のDeNAの攻撃。巨人のエース・菅野を攻め立て、2アウト3塁のチャンスを迎えます。\n\nバッターは、中野市出身でキャプテンの2番・牧。しぶとくレフト前に運び貴重な勝ち越し点を挙げます。\n\nこの1点を守り切ったDeNAが、日本シリーズ進出を決めました。26日から日本一をかけソフトバンクと対戦します。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020739-nbstv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/58f5fe66f5ae8c726304174afb38e05688b554d9/images/000']
【衆院選】長野2区　自民と立憲の前職と維新の新人　3年前の前回選と同じ顔ぶれの三つ巴の争い　「政治とカネ」巡り激しい舌戦（NBS長野放送）,https://news.yahoo.co.jp/articles/1946016b04b42cfff75bce7b4ddf7c91614b878f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020740-nbstv-000-2-view.jpg?exp=10800,2024-10-22T19:32:01+09:00,2024-10-22T21:20:01+09:00,NBS長野放送,nbstv,NBS長野放送,1657,\n国会議事堂\n27日投票の衆議院議員選挙。\n\n松本市や安曇野市などの長野2区は3年前の前回選挙と同じ顔ぶれで、自民と立憲の前職と維新の新人の三つ巴の選挙戦となっています。\n2区の立候補者\n長野2区に立候補したのは、届け出順に自民党・前職の務台俊介さん、立憲民主党・前職の下条みつさん、日本維新の会・新人の手塚大輔さんの3人です。\n\n自民・前 務台俊介 候補：\n「今回の選挙で当選を果たして、自民党を根っこから変える。それをするのは我々だ。その気持ちで臨んでいかなければならない」\n\n5回目の当選を目指す自民党・前職の務台俊介さん（68）。裏金問題で党への逆風は強く、選挙戦では自身を含む中堅議員が率先して党を建て直すと強調しています。\n\n務台俊介 候補（若者に声をかけ）：\n「松本、いいでしょ」\n\n一貫して訴えているのは、地方に若者を取り戻す政策です。首都圏の大学にサテライトキャンパスの設置を義務付けることなどを提案しています。\n\n務台俊介候補：\n「地方のことを考え、地方のために自分自身が何ができるかと考える若者が増えれば、この日本は必ず再生するでしょう」\n\n過去2回の選挙では小選挙区で敗れ、比例北信越ブロックでの復活でした。「次こそは選挙区で」と、街頭や個人演説会を重ねています。\n\n自民・前 務台俊介 候補：\n「厳しい選挙をずっとやってきましたけどそれに耐え抜いて4期連続12年国会議員をやらせていただいた。苦境に強い、耐性力がある、それが私の強み。今回も厳しいですけど当選を目指して頑張っていきたい」\n立憲・前 下条みつ 候補（街頭での声かけ）：\n「年金減って、物価高くて、皆さんの苦労分かってる。それを聞きに来ましたから」\n\n6回目の当選を目指す立憲民主党・前職の下条みつさん（68）。\n\n下条みつ 候補：\n「皆さん、本当に今、政治はおかしい」\n\n遊説や有権者との対話で、力を込めているのが裏金問題の批判です。\n\n下条みつ 候補：\n「裏金は脱税です。そういう政治、残してはいけないと私は思います。上から目線の政治にお灸を据えようではありませんか」\n\n物価高が続く中、消費税や所得税の減税で暮らしを守ることも訴えています。\n\n下条みつ 候補：\n「今しなければいけないのは、所得税の減税、ガソリン税の減税、消費税の減税をして皆さんの生活を直接守っていくことではないでしょうか」\n\n地域を隅々まで回りたいと街頭演説ではなく車に乗っての遊説が運動の中心です。\n\n立憲・前 下条みつ 候補：\n「今回の選挙は大きなお金の問題が与党・自民党でありましたから、そういうお金の使い方がいいのか、皆さんの生活に戻していくのがいいのか、選択の選挙をしていると思っています」\n「おはようございます、手塚です」\n\n日本維新の会新人の手塚大輔さん（41）。長野2区での挑戦は3回目です。自民党の裏金問題への対応は不十分と断じ、新たな改革勢力が必要と訴えます。\n\n維新・新 手塚大輔 候補：\n「自民党の政治、国民の皆さんの生活を犠牲にしてでも自分たちの利権を守るということをやっている」\n\n物価高については早急に対処すべきとして、一部世帯への給付ではなく減税が必要と訴えます。\n\n維新・新 手塚大輔 候補：\n「一番簡単にできることは皆さんが買い物するとか、給料を稼いだところから取られる税金を下げれば、実質的な負担が今より少なくなるじゃないですか」\n\n選挙戦後半は「辻立ち」が活動の中心。2017年の国政初挑戦から毎日続けてきたライフワークでもあります。\n\n手塚大輔 候補：\n「同じ目線で顔を合わせることによって、何となく世の中の空気がわかるんじゃないか。僕自身が唯一の現役世代の候補でもありますので、普通に働いて、税を納めて家事・子育てをしている方々と同じ目線で気持ちがわかるのが一番の強み」\n長野放送,"['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020740-nbstv-000-2-view.jpg?pri=l&w=640&h=399&exp=10800', 'https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020740-nbstv-001-2-view.jpg?pri=l&w=640&h=360&exp=10800']","['https://news.yahoo.co.jp/articles/1946016b04b42cfff75bce7b4ddf7c91614b878f/images/000', 'https://news.yahoo.co.jp/articles/1946016b04b42cfff75bce7b4ddf7c91614b878f/images/001']"
【気象情報】西日本から東日本では落雷や竜巻などの激しい突風、降ひょう、急な強い雨に注意　あす23日にかけて　大気の状態が非常に不安定　（NBS長野放送）,https://news.yahoo.co.jp/articles/3707dbc5c0f6a728053c2253873e56ce297456a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020743-nbstv-000-1-view.jpg?exp=10800,2024-10-22T17:23:01+09:00,2024-10-22T17:23:01+09:00,NBS長野放送,nbstv,NBS長野放送,482,\n天気図\n気象庁は西日本から東日本では23日にかけて、落雷や竜巻などの激しい突風、降ひ\nょう、急な強い雨に注意してほしいと呼び掛けています。\n\n気象庁によりますと、低気圧が対馬海峡にあって北北東へ進んでいます。低気圧に向かって暖かく湿った空気が流れ込み、西日本では大気の状態が非常に不安定となっており、雷を伴って非常に激しい雨の降っている所があるということです。\n\n低気圧は、発達しながら前線を伴って日本海から沿海州を北東へ進み、寒冷前線が23日にかけて西日本から北日本を通過する見込みとしています。西日本から東日本では、低気圧や前線に向かって暖かく湿った空気が流れ込むため、大気の状態が非常に不安定となり、雷を伴った非常に激しい雨や激しい雨の降る所があるということです。\n\n気象庁は落雷や竜巻などの激しい突風、急な強い雨に注意してほしいと呼び掛けています。発達した積乱雲の近づく兆しがある場合には、建物内に移動するなど、安全確保に努めてほしいとしています。また、降ひょうのおそれもあるので、農作物や農業施設の管理にも注意が必要です。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020743-nbstv-000-1-view.jpg?pri=l&w=640&h=361&exp=10800'],['https://news.yahoo.co.jp/articles/3707dbc5c0f6a728053c2253873e56ce297456a9/images/000']
友人2人と訪れ…軽井沢町の温泉施設で行方不明　東京都の61歳男性を発見、死亡確認　「川の中で亡くなっている人が」約600ｍ離れた水路を点検中の作業員が発見（NBS長野放送）,https://news.yahoo.co.jp/articles/fabb30d1ec8e6f1af205605d848fa5112865cade,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020736-nbstv-000-3-view.jpg?exp=10800,2024-10-22T15:47:02+09:00,2024-10-22T15:53:01+09:00,NBS長野放送,nbstv,NBS長野放送,463,\n軽井沢警察署\n長野県軽井沢町の温泉施設で10月12日夜から行方がわからなくなっている東京都の60代男性が22日、町内で発見されましたが、死亡が確認されました。\n\n警察によりますと、21日午前11時前、軽井沢町の温泉施設から約600メートル離れた水路で点検をしていた作業員が男性を発見し、「川の中で亡くなっている人がいる」と110番通報しました。\n\n男性はその場で死亡が確認され、身元は行方不明になっていた東京都世田谷区の無職の男性（61）と判明しました。\n\n警察によりますと、男性は12日、友人2人と軽井沢町の温泉施設を訪れ、別行動をとっていました。\n\nその後、男性が集合時間になっても現れず、友人らが施設内や周辺を探しましたが、見つからず、12日の午後10時過ぎに、友人の話を受けた施設の職員が警察に通報しました。\n\n男性の姿を最後に見たのは、12日午後8時頃だったということです。\n\n警察や消防などが施設周辺などを捜索していました。\n\n警察は事故と事件の両面で捜査しています。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020736-nbstv-000-3-view.jpg?pri=l&w=640&h=355&exp=10800'],['https://news.yahoo.co.jp/articles/fabb30d1ec8e6f1af205605d848fa5112865cade/images/000']
【気象情報】雷を伴い強い雨の降る所も　あす23日は前線に向かって真夏並みの暖かく湿った空気が「夜もジメジメ、寝苦しくなりそう」気象予報士が解説（NBS長野放送）,https://news.yahoo.co.jp/articles/296d261c2eb3afcc3c395c65ba44d9d9c54956f7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020744-nbstv-000-1-view.jpg?exp=10800,2024-10-22T18:15:01+09:00,2024-10-22T18:15:01+09:00,NBS長野放送,nbstv,NBS長野放送,612,\n天気図\n22日も秋らしい空模様で過ごしやすい一日となりました。21日と比べると暖かく、ちょうどいい気温だったかと思います。22日夜は少し雲が多く、ジメジメしてきますので寝るときの服装は軽めにしておいてください。23日はスッキリと秋晴れ、とはいきません。雨が降ります。岸本慎太郎気象予報士の解説です。\n\n22日午後8時から9時ごろにかけて、長野県北部を中心に弱い雨の降るところがあるでしょう。\n\nその後、降ったりやんだりを繰り返しながら、次第に雨の範囲が広がっていきます。\n\n南部では23日昼頃から雨脚が強まり、ピークは午後5時から6時頃。ピーク時には雷を伴う恐れもあります。\n\n木曽地域で1時間に20ミリの強い雨となるところもありますので気を付けください。\n\n（Q.雨が降るということは、気温はさらに下がる？）\n\nいいえ。今回の雨は寒さはもたらしません。\n23日午前9時の予想天気図です。23日は日本海にある低気圧とそこから伸びる寒冷前線の影響で雨が降るのですが、前線に向かって真夏並みの暖かく湿った空気が流れ込みます。\n\n日差しがないので真夏日とまではいきませんが、北部では最高気温25度以上の夏日となるところも出てくるとみています。夜もジメジメとするでしょう。寝苦しくなりそうです。\n\n21日朝のようなヒンヤリした朝はしばらくなさそうです。寝るときの服装に要注意です。\n長野放送,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241022-90020744-nbstv-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/296d261c2eb3afcc3c395c65ba44d9d9c54956f7/images/000']
