headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
社会実装の段階で資金面の壁…創薬力向上に官民での連携を（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/9ecaca15f2cb153ddadbfb8546b6b87977c2a6e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001798-kab-000-2-thumb.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:33:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,1036,\n熊本朝日放送\n世界大会に出場した熊本市の創薬ベンチャーが行政と連携した支援の必要性を訴えました。\n\n勝田准教授\n「日本とアメリカの違いというものを肌で感じることができて、貴重な経験をさせていただけた」\n\n 10月、スタートアップ企業を対象とした世界大会で日本代表として出場した熊本大学の勝田陽介准教授。報告のため熊本市役所を訪れました。\n\n 勝田准教授は、大学発の創薬ベンチャー「StapleBio」の創業者のひとりで、独自の技術を使って世界初の薬の開発に挑んでいますが、世界との差を痛感しています。\n\n「社会実装しようとする段階で、大きな問題になってくるのは資金なんです。圧倒的な差があるということです」\n\n 世界には7000種を超える希少な病と、3億人を超える患者がいて、日本では「難病」とも呼ばれ、その半分が子どもだと言われています。\n\n ひとつの薬を開発するためには10年以上の時間と数百億円もの開発費用がかかり、開発は進みにくい現状があります。\n\n しかし、かつてはこの新薬の開発で世界をリードしていたのが日本でした。\n\n岩崎さん\n「半導体がどんどん駄目になっちゃって、今何とかしないといけない。医薬品の状況は結構似ていて」\n\n 武田薬品工業の代表取締役を務めた岩崎真人さん。創薬力の向上を掲げる国の構想会議のメンバーです。\n\n 現在は、コロナ禍でワクチン開発の遅れや海外で開発された薬や国内で使うことができない「ドラッグラグ」などと呼ばれる課題があります。\n\n 国内の「創薬力」をあげるためには、世界中の患者を見据えた考え方が必要だと訴えます。\n\n「1個できたらそれはグローバルで使うべきだし、グローバルで使えるならグローバルから資金が集まるべきだし、スタートアップの会社も最初からグローバルをターゲットにものを考えていくという体制」\n\n『創薬に関する第二の開国』\n\n 勝田准教授は、世界大会で決勝に進むことはできませんでしたが、開発への意欲をさらに高めています。\n\n勝田准教授\n「基礎研究はしっかりしていても、それを世に出すことの難しさを痛感していて、一個人では何ともならなくて、一市町村でも何ともならないから、行政にも訴えかけたいし、僕自身個人でやれることはなんなのかと本当に真剣に考えるきっかけになった」\n\n 社会課題の解決に挑むスタートアップ。官民の連携が課題となっています。,[],[]
食欲の秋「栗と芋スイーツフェア」熊本市の鶴屋で29日まで（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/897190f88efbcaf6986fc5b437825f28f7b9cb7e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001801-kab-000-1-thumb.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,211,\n熊本朝日放送\n熊本市の鶴屋で「栗と芋スイーツフェア」が開かれています。\n\n 京都の人気さつまいもスイーツ店「芋と野菜」の熟成蜜芋サンドや、熊本の栗を使用した岐阜「恵那川上屋」の栗きんとんなどが人気を集めています。\n\n また、11月から期間限定で店舗に並ぶ、栗のクリームペーストと甘露煮を使った「熊本和栗のごろごろスイーツ」が一日300個限定で先行販売されています。\n\n 鶴屋本館地下1階で29日までです。,[],[]
熊本市電「QRコード決済」11月導入　台湾JKOPayなど海外ブランドも（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/c44b5791f2b2cd53a6e3844373a1f2a6b32569de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001799-kab-000-1-thumb.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,350,\n熊本朝日放送\n熊本市電の運賃支払いに、11月から新たに、スマートフォンによるQRコード決済の方法が導入されます。\n\n大西一史市長\n「11月1日から既存の決済方法に加えまして、新たなQRコード決済方法を導入いたします」\n\n 熊本市電の運賃支払いは、これまでも降車時にPayPayなどのQRコード決済が可能でしたが、11月1日からは乗車中に車内に掲示された専用のQRコードを読み取り運賃を入力、降車時に乗務員に画面を提示し支払い確定ボタンを押すと、決済することができるようになります。\n\n 乗客の利便性向上や乗務員の負担軽減につなげる狙いです。\n\n また、インバウンドに対応するため、これまでの5つの決済方法に加え、台湾「JKOPay」など17の海外ブランドが利用可能になります。,[],[]
生徒の太もも蹴る…中学校の男性職員を戒告処分　熊本市教委（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/6cdc4cfce6cab85e57e5afceb806d3d305919e6c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001802-kab-000-1-view.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,259,\n（写真：KAB）\n熊本市教育委員会は、生徒を蹴るなどしたとして、熊本市立中学校に勤務する男性職員（53）を戒告処分としました。\n\n 熊本市教委によると、男性職員は今年度の1学期、掃除の時間に生徒からひざの裏にほうきを当てられ、バランスを崩されたことに腹を立て、生徒の右太ももを1回蹴り、腰付近を1回叩いたということです。\n\n 生徒にけがはなく、男性職員は「対処について考えるべきだった」と話しているということです。\n\n 熊本市教委は「体罰などの根絶に向けて職務にあたり信頼回復に努める」としています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001802-kab-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/6cdc4cfce6cab85e57e5afceb806d3d305919e6c/images/000']
台湾作品も上映「くまもと復興映画祭」11月30日から熊本市と菊陽町で（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/825d51b1475c5bfcb37d4633b58256a42460c251,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001800-kab-000-1-thumb.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,348,\n熊本朝日放送\n「くまもと復興映画祭」が熊本市と菊陽町で開かれます。\n\n 「くまもと復興映画祭」は、熊本市出身の映画監督、行定勲さんがディレクターを務め、映画を通して被災した人に元気を与えたいと熊本地震の翌年から毎年開かれています。\n\n行定勲監督\n「今年は災害がいろんな所で起こっていて、そこでなかなか立ち行かない人たちがいて、その人たちの気持ちは熊本県民はよく分かっていると思うので、映画を見ることで少しでも支援ができたらなと考えています」\n\n 行定さんは、元日の能登半島地震などに触れ、自分たちが受けた支援を返す映画祭にしたいと意気込みを語りました。\n\n 「くまもと復興映画祭」は11月30日から2日間、熊本市と菊陽町で開かれ、台湾作品を含む5作品が上映される予定です。,[],[]
無免許で追突し逃走…ひき逃げの疑いで男を逮捕「覚えていない」熊本（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/260e2d675a4e5cb39727e512cf4ce239996438f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001797-kab-000-1-view.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,309,\n（写真：KAB）\n無免許で追突事故を起こし、現場から逃走した疑いで土木作業員の男が逮捕されました。\n\n ひき逃げなどの疑いで逮捕されたのは、熊本県玉名市の土木作業員の男（43）です。警察によると、去年6月、熊本市北区植木町の国道で、無免許の状態で知人の軽乗用車を運転し、前を走行していた車に追突する事故を起こしたにもかかわらず必要な救護措置などをせず逃走した疑いです。\n\n 追突された車を運転していた70代の女性は、首を痛めるなどの軽傷です。\n\n 男は、別の傷害事件で逮捕されていてドライブレコーダーの映像などの捜査で浮上したということです。\n\n 警察の調べに対し「覚えていない」と話しています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001797-kab-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/260e2d675a4e5cb39727e512cf4ce239996438f0/images/000']
衆院選ラストスパート　残り2日…候補者演説に力込める　熊本3区（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/1e5129b749d3208e2eb9c49a9c70f5b2d574d99e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001795-kab-000-1-thumb.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,1014,\n熊本朝日放送\n衆院選は最終盤。熊本3区の参政党の新人、自民党の前職、社民党の新人の3人の活動もラストスパートです。\n\n植田貴俊候補\n「自由に使えるお金が少なくなっている、それが日本の経済が低迷している現状なんです」\n\n 参政党の新人、植田貴俊候補は、御船町でマイクを握り、消費税の減税により国民の負担を減らし、第一次産業にかかる予算を3倍にして食料自給率を上げたいなどと訴えました。\n\n また、自民党への逆風については「有権者に判断してもらいたい」とし、街頭演説を通じて最後まで知名度アップを図りたい考えです。\n\n植田貴俊候補\n「私たちは挑戦者なので、まず我々を知ってもらう、我々の思いが伝われば国民の皆さんに共感してもらえると信じているので、純粋に一生懸命伝えていく」\n\n坂本哲志候補\n「これまでの経験と実績と反省を含めて、全てをこの政治に捧げていきたい」\n\n 自民党前職の坂本哲志候補は、高森町で街頭演説。300団体から推薦を受け、8回目の当選を目指します。\n\n 物価高騰に対する経済対策などを訴えつつ、掲げた政策は有権者と政治家の信頼があってこそ成り立つものとし、党への不信感を払しょくしたい考えです。\n\n 一方で、遊説の中では手ごたえを感じていると言います。\n\n坂本哲志候補\n「農業に詳しい坂本ということで頼りにされていると改めて自覚いたしました。逆風というのは、あまり感じません。皆さんよく出てきてくれますし、集まっていただく人数も前回よりも多いくらい。しっかりやってまいりたいと思います」\n\n 社民党新人の橋村りか候補は、支持団体である連合熊本の地方委員会に出席し、共闘する野党の代表らが見守る中、あいさつしました。\n\n橋村りか候補\n「当事者の声を無視し続けてきたこの国に、私たちは当事者の声をもう1度届けていきましょう」\n\n 山間部などの小さな集落でも遊説し、社会課題に対して声をあげられない人たちの意見を吸い上げたいとしました。\n\n 反自民の受け皿として、残り期間の戦い方は。\n\n橋村りか候補\n「自民党がやってきたことは自業自得だなと思うことばかりで、このことが自分のチャンスに働くかというのは、それは有権者の方々が判断されることです。私は今まで続けてきたことと変わらず、皆様のもとに伺って思いを届けさせていただいて、その思いをいただく」,[],[]
「あなたの争点何ですか？」有権者の判断基準とは　熊本で聞く（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/0fd8f68050499c61cecc35d6227a1a8c25bf7f4f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001796-kab-000-1-view.jpg?exp=10800,2024-10-25T19:25:43+09:00,2024-10-25T19:25:43+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,1137,\n（写真：KAB）\n最終盤を迎えている衆院選。あなたの争点は何ですか？熊本の有権者に聞きました。\n\n田中杜旺アナウンサー\n「今回の衆院選では、政治とカネや物価高対策、熊本特有の事情としてはTSMC関連などが争点として上がっていますが、みなさんは何を重視して一票を投じるのでしょうか」\n\n◇20代女性\n「子育て支援。産むのにもお金かかるし、育てるのにもお金かかるし、大きくなるにもお金かかる。子がネックで子育てしにくいなというのはあるのかな」\n\n◇80代女性\n「もちろん社会福祉。年寄りだから。でも年寄りばっかり優遇されても…。若い人がこの頃悪いこと（闇バイト）ばっかりするでしょ、だからその人達を助けてやらないといけんかなと思うけど」\n\n◇20代夫婦\n「僕は防災・復興ですね。何するにしても、災害の救助や復興の取り組みがちょっと遅いのかなと」\n\n「私は物価高。必要最低限のものを買ったつもりでも、前と比べて全然高い。生きていくのがやっとという感じなので（税金の）使うところを、色んな年代の人の話を聞いてから決めてほしい。上ばっかりで決めないでほしい」\n\n◇50代男性\n「憲法改正ですね。周辺諸国が軍事大国化している中、将来考えると、憲法改正して自国の軍隊持つというのが喫緊の課題だと思います」\n\n◇50代女性\n「私は9条を守りたい方なんですけど、自民党的な憲法改正には反対。防衛費のこととかが43兆円とかって言われているけど、医療費や社会福祉の方にまわすべきだと思っている」\n\n◇50代女性\n「医療費に使われる比率が減っているので、そこを改善してもらいたいですし、高齢者の窓口負担とかも増やそうとしているけど誰もが安心して医療を受けられるように社会保障の在り方をもうちょっと考えてほしい」\n\n◇50代男性\n「政治とカネですかね。（不記載議員が）ほとんど非公認になると思っていたけど、それが公認になっているのが、まだ不信感として払拭できいてない。今回は自民党にお灸を据えるという意味で、別の党を支援させてもらった。（政権交代してほしい？）そこまではない。ただ野党党首も言うように、ぎりぎりのところまで、ダントツ1位じゃなくって競ってほしいなと。野党とですね」\n\n◇80代女性\n「また2000万円も、政党助成金をだからおかしいですね。自民党があんまりだらしないから変わらないでしょうけど、ある程度こらしめないと、と思います」\n\n◇20代男性\n「自民党に裏金問題もあったけど、見直してやっていくということなので、信用して」\n\n◇50代女性\n「金権政治と、あとは宗教ですかね。断つには政権交代かなと思います」,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001796-kab-000-1-view.jpg?pri=l&w=640&h=360&exp=10800'],['https://news.yahoo.co.jp/articles/0fd8f68050499c61cecc35d6227a1a8c25bf7f4f/images/000']
まちをきれいに　中心市街地で清掃活動　高校生育てた花の苗も配布（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/d87220345607c0f03f660c19d348bde4b73d09ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001794-kab-000-1-thumb.jpg?exp=10800,2024-10-25T12:00:39+09:00,2024-10-25T12:00:39+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,174,\n熊本朝日放送\n熊本市で地域貢献を目的にしたごみ拾いイベントが開催されました。\n\n 熊本県住宅メーカー協議会が主催したもので、参加した約50人は、中心市街地で紙くずや空き缶などのごみを拾いました。\n\n また、熊本農業高校の生徒が育てた花の苗100ポットも無料配布されました。県住宅メーカー協議会は、今後も清掃活動を続けたいとしています。,[],[]
「源氏物語にみる静中の美」細川流盆石の作品展（KAB熊本朝日放送）,https://news.yahoo.co.jp/articles/bb346551be58d62b026866435cfce5f93fdb2d36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241025-00001793-kab-000-1-thumb.jpg?exp=10800,2024-10-25T12:00:39+09:00,2024-10-25T12:00:39+09:00,KAB熊本朝日放送,kab,KAB熊本朝日放送,176,\n熊本朝日放送\n漆塗りの盆の上に表現された源氏物語の世界。400年を超える歴史を持つ細川流盆石の作品展が熊本市南区のくまもと工芸会館で開かれています。\n\n 愛する人に拒絶された光源氏の悲しみを、川の流れや月明かりを描くことで表現した作品など源氏物語の和歌を題材とした35点が並び、静けさの中から湧き出る美に触れることができます。27日までです。,[],[]
