headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
2年前のわいせつ事件に関与か　刑務所に服役中の男を逮捕　福島・いわき（福島中央テレビ）,https://news.yahoo.co.jp/articles/25a23ec0629ed5308595eede92451ba279fc6b45,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-09435844-fct-000-3-view.jpg?exp=10800,2024-10-28T18:04:00+09:00,2024-10-28T19:22:21+09:00,福島中央テレビ,fct,福島中央テレビ,372,\nFCT福島中央テレビ\n2022年にいわき市の住宅に侵入して女性（当時10代）にわいせつな行為をした疑いで33歳の男が逮捕されました。\n浪江町で50代女性を脅し金を奪おうとした恐喝未遂容疑 62歳の男を逮捕\n住居侵入と強制わいせつなどの疑いで逮捕されたのは、本籍がいわき市で福島刑務所に服役中の男（33）です。\n\n容疑者は2022年9月の深夜、いわき市の住宅に侵入し、当時10代の女性の身体を触るなどわいせつな行為をした疑いがもたれています。\n\n警察が現場周辺にあった防犯カメラの解析を進めるなどしたところ、容疑者の犯行の疑いが強まったとして逮捕しました。\n\n警察によりますと容疑者は女性と面識がなく、女性は就寝中だったということです。容疑者は容疑を否認しているということです。\n\n警察は事件の経緯を慎重に調べています。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-09435844-fct-000-3-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/25a23ec0629ed5308595eede92451ba279fc6b45/images/000', 'https://news.ntv.co.jp/category/society/fc504694ff3bf64f94a269fb040124144c/image?p=1']"
明治安田J２　いわきFCが水戸に追加点を決められ昇格プレーオフの可能性消える　（福島中央テレビ）,https://news.yahoo.co.jp/articles/b100fc8f47f2f7e7834523a5f100890aa85b3a30,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-05444178-fct-000-3-view.jpg?exp=10800,2024-10-28T17:39:00+09:00,2024-10-28T19:23:17+09:00,福島中央テレビ,fct,福島中央テレビ,530,\n福島中央テレビ\nサッカー明治安田Jリーグです。\nプレーオフ進出へ、J2のいわきFCは水戸ホーリーホックとの負けられない一戦に臨みました。\n\n明治安田J2リーグ第36節は10月26日（土）午後2時からハワイアンズスタジアムいわきで行われました。\n負ければ昇格プレーオフ進出の道が絶たれる8位のいわきFC。対するはいわきに勝つと残留が決まる15位、水戸ホーリーホックです。\n\n前半、いわきはプレーオフ進出へ残された試合「3戦全勝」という可能性にかけ果敢にゴールに迫りますが…0対0で迎えた後半立ち上がり、水戸に先制されます。\n\n実は、今季のいわき先制された試合では勝利がありません。\nそれでも後半30分。途中交代直後の五十嵐のクロスから谷村が頭でとらえ、同点に。谷村が6試合ぶりのゴールを決めます。\nしかし、喜びも束の間…\n水戸に追加点を決められ1対2と再びリードを許す展開になります。\n試合はこのまま終了しいわきFCの昇格プレーオフの可能性はなくなりました。\n\n■いわきFC谷村海那選手（26）\n「悔しいけどこれが現実なので受け止めて自分のプレーで引っ張っていくって思っていたので、それが結果出せなくてすごく悔しく思ってます」,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-05444178-fct-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/b100fc8f47f2f7e7834523a5f100890aa85b3a30/images/000']
政治と金問題…福島県の自公政権にも逆風が押し寄せる　投票率は53.93パーセント（福島中央テレビ）,https://news.yahoo.co.jp/articles/2da626d2373b4fb88df1ba582d685236873a78ee,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-08586774-fct-000-1-thumb.jpg?exp=10800,2024-10-28T18:37:00+09:00,2024-10-28T18:37:00+09:00,福島中央テレビ,fct,福島中央テレビ,1079,\nFCT福島中央テレビ\n「政治とカネ」の問題は大きなうねりとなって自民党と公明党に押し寄せました。\n\n第50回衆議院議員選挙は10月27日に、投開票され、自公政権が15年ぶりに過半数を割り込みました。\n福島県内も自公政権への逆風は強く、比例も含め当選者は2人にとどまりました。\n超短期決戦となった第50回、衆議院議員選挙。その最大の焦点となったのが…\n■石破首相\n「政治とカネの問題、パーティー収入不記載の問題が二度と起きないよう…」\nいわゆる自民党派閥の裏金問題です。「政治とカネ」をめぐり生まれた政治不信をどう払しょくしていくかが与党、自民党と公明党の大きな鍵となりました。\n当選の実感が沸く？衆院選から一夜明け福島県内の当選者は\n対する野党は、裏金問題を追及。政治改革を訴え支持を呼びかけました。\nそして12日間の選挙戦の結果…\n\n■東京11区無所属・下村博文氏\n「私の不徳の致すところで…」\n■福井2区無所属・高木毅氏\n「すべては私の不徳の致すところ…」\n\n裏金問題で自民党から非公認となった候補は次々と落選。公認が得られた大臣経験者も裏金問題が響いて落選。さらには公明党も8議席減らし石井代表も落選しました。選挙の結果、自民党は第一党を維持する191議席を獲得しましたが公明党と合わせると215議席で過半数の233議席を下回りました。\n\n対して野党は立憲民主党が148議席を獲得するなど議席を増やす結果に…\n■1区 金子恵実氏\n「 バンザイ！ 」\n■2区 玄葉光一郎氏\n「 バンザイ！ 」\n■3区 小熊慎司氏\n「 バンザイ！ 」\n福島県内も自民党への逆風は強く立憲民主党が多くの議席を獲得しました。\n福島1区では金子恵美氏が、福島2区では玄葉光一郎氏が、そして福島3区では小熊慎司氏が当選を果たしました。\n\n■福島2区当選 玄葉光一郎氏\n「何回も当選をさせていただきましたけど、今回は格別の嬉しさです。良心の勝利だと思ってます」\n\n一方、自民党は…\n■1区・亀岡偉民氏\n「不記載議員という仲間にいれられて…」\n■3区 上杉謙太郎氏\n「自分自身も不記載議員であるということもありますから、本当に真摯に受け止めてしっかりと反省しないといけない…」\n\n福島県内でも裏金問題が響き小選挙区は福島4区の新人、坂本竜太郎さんのみの当選にとどまり、改選前から議席を3つ減らす厳しい戦いとなりました。\n福島県内の投票率は53.93パーセントで、前回を4.08ポイント下回っています。,[],['https://news.ntv.co.jp/category/politics/fcfe8b60bd6ce048fe948c09bffbeb21be/image?p=1']
芦ノ牧温泉駅の沿線に「花の街道」を　老朽化の駅舎もクラウドファンディングで修繕へ（福島中央テレビ）,https://news.yahoo.co.jp/articles/55fa9a6866b33535e40a6b544dbe101e9d71ce62,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-04448239-fct-000-2-thumb.jpg?exp=10800,2024-10-28T19:10:00+09:00,2024-10-28T20:10:15+09:00,福島中央テレビ,fct,福島中央テレビ,361,\nFCT福島中央テレビ\n会津鉄道の芦ノ牧温泉駅で沿線に「花の街道」を作ろうと、桜やハナモモの苗木が植樹されました。\n\nねこ駅長が働く会津鉄道の芦ノ牧温泉駅の駅舎は、約百年の歴史があります。\nただ、その老朽化が問題となっていて10月11日から公開中の「劇場版『ふにゃ～り日和』ねこ駅長さくらの物語」を記念してクラウドファンディングを行ない資金を募りました。\n\n資金は駅舎の修繕のほか、沿線に「花の街道」を作る費用にもあてられます。\nその一歩として桜とハナモモの苗木あわせて10本が植えられました。\n\n■会津鉄道の渡部 浩二さん\n「新しい苗木を植えて花いっぱいにして皆さんにきていただいて喜んでいただければと思っています」\n\n会津鉄道では花を咲かせる春に車窓からの景色を楽しんで欲しいということです。,[],[]
全国高校サッカー選手権福島県大会　準決勝は尚志 対 磐城　学法石川 対 帝京安積に（福島中央テレビ）,https://news.yahoo.co.jp/articles/d7bf1d9607d266b10f3c0edbb9595964ca1302a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-04224812-fct-000-2-thumb.jpg?exp=10800,2024-10-28T19:19:00+09:00,2024-10-28T19:39:19+09:00,福島中央テレビ,fct,福島中央テレビ,660,\nFCT福島中央テレビ\n冬の全国大会を目指す全国高校サッカー選手権の福島県大会です。\n準々決勝が行なわれ大会4連覇を狙う尚志が福島東と対戦。\nさらに古豪復活へ公立校の大躍進もありました。\n\n第103回全国高校サッカー選手権・福島県大会準々決勝の尚志 対 福島東 は鳥見山公園 多目的広場で行われました。\n大会4連覇を目指すエンジの尚志と3年ぶりのベスト4進出へ黄色の福島東の準々決勝。\n試合は前半から尚志が主導権を握り押し込む展開となりますが、対する福島東も粘り強い守備を見せます。\n均衡が破れたのは後半29分。尚志のパスが繋がり相手を交わすと最後は11番の関口。\n尚志は待望の先制点を奪います。\n尚志は、この後にも追加点を奪い2対0でベスト4進出です。\n\n準々決勝、もう一つの試合は2023年の準優勝校・灰色のユニホームの聖光学院 対 青の磐城高校です。\n試合は聖光学院が主導権を握る展開となり、何度も磐城ゴールに迫ります。\n\n磐城は粘り強い守りで得点を許さず延長戦を含む100分を戦って0対0。\n決着がつかずPK戦となりますが、そのPK戦ももつれ、磐城は6人目の目黒が落ち着いて決めます。\n聖光学院の6人目を守護神・吉野がビッグセーブ。\n磐城は2023年の準優勝校、聖光学院をPK5対4で下し23年ぶりのベスト4進出です。\n\n準決勝は尚志 対 磐城、学法石川 対 帝京安積の対戦カードに決まりました。\n準決勝は11月2日土曜日に仙台大学サッカーフィールド郡山で行われます。,[],[]
明治安田J３リーグ最終盤　福島ユナイテッドがホームで相模原に3-2で惜敗（福島中央テレビ）,https://news.yahoo.co.jp/articles/846c27344da69d6ae2b31e241a6476d5188eb374,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-02126485-fct-000-2-view.jpg?exp=10800,2024-10-28T17:25:00+09:00,2024-10-28T18:26:16+09:00,福島中央テレビ,fct,福島中央テレビ,295,\n福島中央テレビ\n明治安田J3リーグ第34節が10月27日（日）午後2時から福島市のとうほう・みんなのスタジアムで行われました。\n\nJ3福島ユナイテッドFCは、ホームで9位のSC相模原と対戦しました。\n福島は、前半10分。森晃太のパスから…塩浜。\n塩浜は、2試合連続の先制ゴールでリーグ得点ランキング3位タイに浮上します。\nしかし、その直後に同点のゴールを奪われるとさらに追加点を許し、前半だけで3失点。\n\n前半の失点が響いた福島、痛い敗戦です。\n福島は、相模原と勝ち点が並びましたが得失点差で6位をキープ。\n\n残りは4試合、次節は18位の奈良とアウェーで対戦です。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-02126485-fct-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/846c27344da69d6ae2b31e241a6476d5188eb374/images/000']
浪江町で50代女性を脅し金を奪おうとした恐喝未遂容疑　62歳の男を逮捕・福島県（福島中央テレビ）,https://news.yahoo.co.jp/articles/a6122fee8b98cd5a4a55d3d797c4d49ac2839eec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-05545164-fct-000-2-view.jpg?exp=10800,2024-10-28T13:32:00+09:00,2024-10-28T14:04:23+09:00,福島中央テレビ,fct,福島中央テレビ,173,\nFCT福島中央テレビ\n浪江町で恐喝未遂の62歳の男が逮捕されました。\n\n10月28日の午前5時半前、恐喝未遂で逮捕されたのは62歳の自称運転手の男です。\n男は27日の午後、浪江町内の駐車場で50代女性を脅して現金を奪おうとしましたが、女性が逃げたため未遂に終わりました。\n\n被害者の通報を受けて警察が捜査し容疑者が逮捕されました。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-05545164-fct-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/a6122fee8b98cd5a4a55d3d797c4d49ac2839eec/images/000']
未明に比例で復活した2人が初当選の思い語る…福島県は2議席減らし7人が当選（福島中央テレビ）,https://news.yahoo.co.jp/articles/dd840585ab7163867e280a08d9b498cca11978d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-02734274-fct-000-1-thumb.jpg?exp=10800,2024-10-28T12:03:01+09:00,2024-10-28T12:03:01+09:00,福島中央テレビ,fct,福島中央テレビ,512,\nFCT福島中央テレビ\n10月27日に投開票が行われた衆議院議員総選挙で、福島県内からは比例も含め7人が当選を果たしました。\n新たな区割りによる衆院選で福島県からは7人が当選 投票率は53.93％と低迷\n立憲民主党の新人・齋藤裕喜氏は小選挙区では敗れましたが惜敗率が高く、比例東北ブロックで復活し初当選を果たしました。\n■齋藤裕喜氏\n「これからも地域を駆け巡り、さまざまな方々と接し合い、浜通りの声を国政へと胸に刻んで精進していく」\n\n自民党の新人・根本拓氏も小選挙区では敗れましたが、比例復活し初当選です。\n■根本拓氏\n「福島のために日本のために、全力でいろいろな課題に取り組み、福島を日本を発展させていきたいと思う」\n\n小選挙区\n福島1区…与野党一騎打ちを制し、立憲の金子恵美氏が4回目の当選。\n福島2区…立憲の玄葉光一郎氏が11回目の当選。\n福島3区…立憲の小熊慎司氏が5回目の当選。\n福島4区…自民党の坂本竜太郎氏が新人同士の接戦を制し初当選。\n比例東北ブロック…立憲・馬場雄基氏が2回目の当選。\n\n福島県内の投票率は53.93パーセントで、前回を4.08ポイント下回りました。,[],['https://news.ntv.co.jp/category/politics/fc2fe4eb089a534d728bd7f475575d1633/image?p=1']
郡山駅前に「こんなにも人が！？」市制施行100週年を祝うパレードに特別ゲスト・福島（福島中央テレビ）,https://news.yahoo.co.jp/articles/66f01731d469bb2500190509c2e6176b03f28ee7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-07553982-fct-000-2-thumb.jpg?exp=10800,2024-10-28T17:13:00+09:00,2024-10-28T19:50:15+09:00,福島中央テレビ,fct,福島中央テレビ,519,\nFCT福島中央テレビ\n10月27日郡山市では市制施行100周年を祝うパレードが行なわれました。\n\nJR郡山駅前は大賑わいに。通りは通行規制され人で埋め尽くされました。その通りを行進するのは…\n■仮装した子どもたち\n「ハッピーハロウィーン！」\nハロウィーンの仮装をした子どもたちに、高校のチアリーディング部も。\n郡山市では市制施行100周年を祝う「楽都郡山メモリアルパレード」が行なわれました。\n\nパレードにはスペシャルゲストも登場。ミッキーマウスたちです。\n正午からは「東京ディズニーリゾートスペシャルパレード」が行なわれ、人気キャラクターが駅前大通りを盛り上げました。\nミッキーマウスなどが目の前を通ると待ちわびた人たちが大きな歓声をあげていました。\n郡山市でのディズニーパレードは11年ぶりです。\n\n■パレードを観た女の子\n「たのしかった。ジャンボリミッキー」\n■家族連れは\n「素敵なことだと思います。また来年もしてほしいです」\n\n21世紀公園麓山の杜では、ふわふわの生地でラッピングされた「ダッフィーバス」も展示され、多くの人が写真を取ったり、さわって見たりと特別な時間を楽しんでいました。,[],[]
福島県関係の自民の衆議院議員が5人から2人に減少　福島県への今後の影響は？（福島中央テレビ）,https://news.yahoo.co.jp/articles/13450fa952aa79c82336bd30e94f8a62354c1c35,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241028-03279669-fct-000-5-thumb.jpg?exp=10800,2024-10-28T17:08:00+09:00,2024-10-28T19:02:17+09:00,福島中央テレビ,fct,福島中央テレビ,664,\nFCT福島中央テレビ\n今回の衆院選では裏金問題を巡り、自民党に強い「逆風」が吹き荒れ、大きく議席を減らす結果となりました。\n福島県内の小選挙区は自民1勝、立憲3勝となりましたが、特に自民の前職にとっては厳しい結果となりました。\n政治と金問題…福島県の自公政権にも逆風が押し寄せる 投票率は53.93パーセント\n福島1区は2021年の選挙と同様、自民・亀岡さんと立憲・金子さんの一騎打ちとなりました。\n前回は約5千票差の「接戦」で、金子さんが小選挙区を制しましたが今回の選挙では金子さんが12万票あまりを獲得し、亀岡さんに4万票もの大差をつけて当選を決めました。\n選挙戦の中で亀岡さんは「裏金や不記載はなかった」と釈明しましたが、自民への逆風が吹き荒れる中で大きく得票を落とす結果となりました。\n\n今回の選挙で福島県関係の自民の衆院議員は5人から2人に減りましたが、今後の影響についてどのような声が上がっているのでしょうか。\nある支援団体の関係者からは与党議員が減ることで今後、国とのパイプが失われることを懸念する声も聞かれました。\nまた、今回の衆院選で自公で過半数を獲得できなかったことから政権運営は不透明な状況となっています。\n震災からの復興という長期の課題を抱える福島ですが、内堀知事は10月28日の会見で「与党、野党を問わず国を挙げて復興の戦いに力を尽くしてほしい」と強調しました。\n\n復興期間の期限が2025年度に迫る中、切れ目のない復興政策の継続を国に求めていくことも課題となりそうです。,[],['https://news.ntv.co.jp/n/fct/category/politics/fc922fbecf410b4975acfe0f922a978fa7/image?p=1']
