headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ヒズボラ新最高指導者にカセム師、イスラエルが暗殺のナスララ師後任（Bloomberg）,https://news.yahoo.co.jp/articles/2a26c51ca4de5ba383e516c6a94dbd8f7efe5f23,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-10-29T20:40:26+09:00,2024-10-29T20:40:26+09:00,Bloomberg,bloom_st,Bloomberg,788,\n（ブルームバーグ）： レバノンの親イラン民兵組織ヒズボラは29日、ほぼ１カ月前にイスラエルの空爆で殺害されたナスララ師の後継として、ナイム・カセム師を選んだと、通信アプリ「テレグラム」で発表した。\n同組織の意思決定機関である評議会が、1991年以来ナンバー２を務めてきたカセム師を最高指導者とすることで合意した。\n70歳代前半で、化学教師だったカセム師は、ヒズボラ最高指導者の有力候補ではなかった。前最高指導者ナスララ師のいとこのハシェム・サフィエディン師が長く後継者とみられていたが、イスラエルのベイルート空爆で同師が死亡したことをヒズボラは先週確認した。\nロンドンに拠点を置くシンクタンク、チャタム・ハウスのリナ・ハティブ研究員は、カセム師の選出は「ヒズボラとその後ろ盾であるイランの両方にとって、変化よりも継続性を意味する」と述べ、ヒズボラの構成員には安心感を、反対者には抵抗を示すメッセージになるとの見方を示した。\n米国をはじめ多くの国々からテロ組織と指定されているヒズボラは、国家としてのイスラエル破壊を目指している。昨年10月にパレスチナ自治区ガザでの戦争が始まって以来、同地区を拠点とするイスラム組織ハマスとの連帯を示し、イスラエルにミサイルや無人機（ドローン）による攻撃を続けている。\nイスラエルは先月、ヒズボラに対する攻撃を強化。同組織の幹部の多くを暗殺し、レバノン南部に地上部隊も送り込んで拠点を攻撃した。\nカセム師は最近までベイルートを拠点にしていたが、イスラエルの空爆から逃れるため拠点を移しているかどうかは定かではない。\n原題：Hezbollah Replaces Slain Leader Nasrallah With Deputy Qasem (1)（抜粋）\n(c)2024 Bloomberg L.P.\nOmar Tamo,[],[]
ＦＲＢが今年あと２回利下げする可能性は低い－金融界の大物の見方（Bloomberg）,https://news.yahoo.co.jp/articles/fdc4ff0931cc7ecb47df6a1810e8c63b52bb893f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-96824027-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T19:13:44+09:00,2024-10-29T19:13:44+09:00,Bloomberg,bloom_st,Bloomberg,769,"\nThe Marriner S. Eccles Federal Reserve building in Washington, DC. Photographer: Valerie Plesch/Bloomberg\n（ブルームバーグ）： サウジアラビアの「フューチャー・インベストメント・イニシアチブ（ＦＩＩ）」に集まった世界の金融界の大物たちは、米連邦準備制度理事会（ＦＲＢ）の利下げに関する市場の期待が行き過ぎている可能性を示唆した。\nゴールドマン・サックス・グループ、モルガン・スタンレー、スタンダードチャータード、カーライル・グループ、アポロ・グローバル・マネジメント、ステート・ストリートなどのトップが参加したパネル討論会で、今年あと２回の利下げがあると思うかとの問いに、手を挙げた経営者は１人もいなかった。\n2024年末までにあと１回の利下げがあるかもしれないという意見に大半が同意した。\nゴールドマン・サックスのデービッド・ソロモン最高経営責任者（ＣＥＯ）は、米国の「選挙が終わって、政策措置について明確な見通しが立つまでは、金融政策について考えるのは難しい」と述べた。\n９月には米連邦公開市場委員会（ＦＯＭＣ）が、20年ぶりの高水準に１年以上維持してきたフェデラルファンド（ＦＦ）金利の誘導目標を4.75－５％のレンジに引き下げることを11対１で決定した。利下げは４年ぶりだった。\n多くのトレーダーは年内の追加利下げ２回を想定し、25年末までに政策金利が3.5％程度まで下がるとみている。\n原題：Finance Heavyweights Don’t Think Fed Will Cut Twice This Year（抜粋）\n(c)2024 Bloomberg L.P.\nOmar El Chmouri",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-96824027-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/fdc4ff0931cc7ecb47df6a1810e8c63b52bb893f/images/000']
マクドナルド、７－９月既存店売上高は予想下回る－米国以外で苦戦（Bloomberg）,https://news.yahoo.co.jp/articles/6bd6a801f0a142246c6327bab7aa3089f2e216da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-06025907-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T21:47:05+09:00,2024-10-29T21:47:05+09:00,Bloomberg,bloom_st,Bloomberg,454,\nBloomberg\n（ブルームバーグ）： 米マクドナルドが29日発表した７－９月（第３四半期）決算は、売上高が市場予想を下回った。フランスや中国、英国、中東など米国以外の市場で弱さが見られた。\n７－９月期の既存店売上高は前年同期比1.5％減と、アナリスト予想を上回る落ち込みだった。米既存店売り上げは0.3％増加した。\n消費者の買い控えの傾向や高インフレ、中東における米国ブランドの不買運動などを背景にあらゆる地域で客足が減少。同社は集客の回復に向けて米国での５ドル（約766円）セットメニューや、ビンテージグラスの限定販売など世界各地で対策を講じてきた。\nアナリストや投資家はすでに第４四半期を見据え、先週公表された腸管出血性大腸菌の集団感染による影響を意識している。\n原題：McDonald’s Sales Miss Estimates on International Weakness (1)\n（抜粋）\n(c)2024 Bloomberg L.P.\nDaniela Sirtori,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-06025907-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/6bd6a801f0a142246c6327bab7aa3089f2e216da/images/000']
ゴールドマン、リヤドの金融街にオフィス設立－サウジで存在感強める（Bloomberg）,https://news.yahoo.co.jp/articles/0777ae6575da3eb1e6bb23023465bcedc0742abf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-97526104-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T19:25:26+09:00,2024-10-29T19:25:26+09:00,Bloomberg,bloom_st,Bloomberg,493,\nThe city skyline in Riyadh. Photographer: Justin Setterfield/Getty Images Europe\n（ブルームバーグ）： 米ゴールドマン・サックス・グループは、サウジアラビアの首都リヤドの金融街に新たなオフィスを開設した。同行は中東最大の経済大国であるサウジでの存在感を強めている。\nゴールドマンは2008年からサウジで業務を行っていたが、来年にアブドラ国王金融地区（ＫＡＦＤ）のオフィスに入居する。ＫＡＦＤにはゴールドマンだけでなくロスチャイルドや多くの主要金融機関が拠点を設けている。\nリヤドでの外国企業の拠点設置を働きかけるサウジの取り組みは奏功しているようだ。今年に入り、ゴールドマンが大手銀として初めて地域本社のライセンスを取得。みずほフィナンシャルグループがこれに続いた。\n原題：Goldman Sachs Opens Office in Riyadh’s Giant Financial District\n（抜粋）\n(c)2024 Bloomberg L.P.\nNicolas Parasie,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-97526104-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/0777ae6575da3eb1e6bb23023465bcedc0742abf/images/000']
中国が215兆円強の財政刺激策を検討、11月上旬に承認か－ロイター（Bloomberg）,https://news.yahoo.co.jp/articles/d01fd851bcf1b2ca4f2cea2c332c2f2ce7cc5ac2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-95769860-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T18:56:09+09:00,2024-10-29T18:56:09+09:00,Bloomberg,bloom_st,Bloomberg,579,"\nThe Great Hall of the People in Beijing. Photographer: Qilai Shen/Bloomberg\n（ブルームバーグ）： 中国は経済を支え、地方政府の債務リスクに対処するため、今後数年間で10兆元（約215兆円）を超える追加借り入れを認めることを検討している。ロイター通信が関係者の話を引用して29日報じた。\nロイターによると、この財政刺激策は、全国人民代表大会（全人代、国会に相当）常務委員会が11月４－８日に開く会議で承認される可能性がある。\n地方政府が簿外債務問題を解決するのを支援するため2024年を含め３年間で６兆元の借り入れを行うことや、今後５年間にわたり地方政府による遊休地や不動産の購入を賄う４兆元相当の債券が盛り込まれるという。\nロイターによれば、来週の米大統領選で共和党候補のトランプ前大統領が勝利した場合、この刺激策はさらに大規模になる可能性もある。トランプ氏が大統領に返り咲けば、中国にとって経済的課題を増えることが予想されるためだとしている。\n原題：China Mulls $1.4 Trillion Fiscal Stimulus Package, Reuters Says （抜粋）\n(c)2024 Bloomberg L.P.\nBloomberg News",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-95769860-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/d01fd851bcf1b2ca4f2cea2c332c2f2ce7cc5ac2/images/000']
10月米雇用統計、ハリケーンやストで評価困難に－ＦＯＭＣ会合控え（Bloomberg）,https://news.yahoo.co.jp/articles/a25a399e9bbe121f3a36626381917bae134db09f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-97800003-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T19:30:00+09:00,2024-10-29T19:30:00+09:00,Bloomberg,bloom_st,Bloomberg,1468,"\nBloomberg\n（ブルームバーグ）： 米労働省労働統計局（ＢＬＳ）は11月１日、10月の雇用統計を発表する。ハリケーン「ヘリーン」「ミルトン」の襲来に伴う洪水や停電で多くの事業運営に支障が生じたことなどで、非農業部門雇用者数への影響が想定される。\nさらに同省によれば、調査対象期間中の10月12日時点で、ボーイングの従業員を中心に計４万4000人がストライキ中だった。米金融当局は11月６、７両日に連邦公開市場委員会（ＦＯＭＣ）会合を開き、0.25ポイントの追加利下げを決めると見込まれているが、データの評価は困難なものになりそうだ。\nブルームバーグがエコノミストを対象に実施した調査では、10月の非農業部門雇用者数は中央値で前月比11万人増と予想されている。９月（25万4000人増）の半分未満の数字だ。予想レンジは１万人減から18万人増と広範囲に及ぶ。\nこのようにいつもと違う注意が必要な雇用統計だが、11月５日に投開票が行われる米大統領・議会選を前に有権者がどのように解釈するかは不明だ。ただ、共和党候補のトランプ前大統領はバイデン政権の経済運営を巡って民主党候補のハリス副大統領を批判しており、統計がさえない内容となれば、新たな攻撃材料とする可能性がある。\nインフレ率はおおむね当局目標に向けて鈍化傾向にあり、当局者は徐々に冷え込みつつある労働市場に一段と重点を置くようになっている。\n政策金利は現時点で景気抑制的な水準にあると広く見なされており、当局者はデータを冷静に受け止めた上で、引き続き利下げにフォーカスすると、ムーディーズ・アナリティクスのチーフエコノミスト、マーク・ザンディ氏は話す。\nザンディ氏は金融当局者について、「彼らが市場に表明してきた利下げを実行しないことに対しては極めて高いハードルがある」とし、「雇用統計やインフレ統計でよほどのサプライズがなければコースを外れることはないだろう」との見方を示した。\nウォラー連邦準備制度理事会（ＦＲＢ）理事は今月14日、10月の雇用統計を「解析するのは容易でないだろう」としつつも、ハリケーンとボーイングのストの影響で雇用者数の伸びが10万人余り押し下げられる可能性があると述べていた。\n雇用統計のうち、非農業部門雇用者数は事業所調査に基づくのに対し、失業率は家計調査に基づいており、異なる基準を用いている。ブルームバーグが調査したエコノミストは10月の失業率を中央値で前月と同じ4.1％と予想している。\nハリケーン被害は労働市場に影響を及ぼしただけでなく、10－12月（第４四半期）の初めに当たり景気全体の抑制要因となった可能性がある。ゴールドマン・サックス・グループのエコノミスト、ロニー・ウォーカー氏は、自然災害のあった月とその次の月に通常経済成長が冷え込んだ後、回復に向かうと指摘した。\nウォーカー氏は、ヘリーンがハリケーンとして05年の「カトリーナ」以来最も深刻な被害をもたらし、「米人口の約10％が大規模災害宣言下に置かれ、極めて不確実性が高いものの物的損害は全体で推計900億ドル（約13兆7900億円）前後に上る」と話した。\n原題：Fed’s Last Look at Job Market Will Be Muddied by Storms, Strike（抜粋）\n--取材協力：Chris Middleton.\n(c)2024 Bloomberg L.P.\nVince Golle, Amara Omeokwe",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-97800003-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/a25a399e9bbe121f3a36626381917bae134db09f/images/000']
第一生命、プライベートクレジットに数千億円投資へ－生保各社が意欲（Bloomberg）,https://news.yahoo.co.jp/articles/85de4bc3ed052f66f790f82afbbff439360fa647,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-91198377-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T17:39:58+09:00,2024-10-29T17:39:58+09:00,Bloomberg,bloom_st,Bloomberg,658,\nBloomberg\n（ブルームバーグ）： 第一生命ホールディングス傘下の第一生命保険は29日、非上場企業に直接融資を行う「プライベートクレジット」への投資残高について今後数年間で数千億円規模への拡大を検討する方針を示した。オルタナティブ（代替）資産への投資対象を広げることで、収益の多様化につなげる。\n同日開催した2024年度下期運用方針説明会で、運用企画部長の堀川耕平氏が述べた。「プライベートクレジットについては、ほぼ投資していなかったのが足元の状況」とした上で「市場自体は引き続き伸びていくとみており、投資残高の拡大を考えていきたい」と述べた。\n2008年のリーマン危機を受け、国際的な金融規制が強まったことで銀行に代わる資金の出し手に対する需要が増加、プライベートクレジット市場も発展した。ここ10年で市場は急拡大し、約１兆7000億ドル（約260兆円）に達した。米投資会社ブラックストーンはインフラプロジェクト向け融資や年金基金の参入の広がりにより、今後30兆ドル規模に拡大すると予想する。\n市場の急拡大で過熱感を警戒する向きもあるが、第一生命以外の国内大手生保もプライベートクレジットへの投資拡大に意欲を示している。29日までに開催された各社の運用説明会での関連発言は以下の通り。\n◎日本生命保険、執行役員財務企画部長の都築彰氏\n◎明治安田生命保険、運用企画部長の北村乾一郎氏\n◎住友生命保険、運用企画部長の増田光男氏\n(c)2024 Bloomberg L.P.\nNao Sano,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-91198377-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/85de4bc3ed052f66f790f82afbbff439360fa647/images/000']
スズキのインド部門、乗用車需要低迷で17％減益－株価下落（Bloomberg）,https://news.yahoo.co.jp/articles/236209b05d2c61fdd0e501e857188f2a728a53de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-92634895-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T18:03:54+09:00,2024-10-29T18:03:54+09:00,Bloomberg,bloom_st,Bloomberg,526,\nBloomberg\n（ブルームバーグ）： インド最大の乗用車メーカー、マルチ・スズキ・インディアが29日発表した７－９月の純利益は市場予想を下回った。乗用車需要が依然として低迷していることを示している。同社の株価は下落した。\nスズキのインド子会社マルチ・スズキの７－９月純利益は前年同期比17％減の307億ルピー（約560億円）となった。同社が証券取引所に届け出た。ブルームバーグがまとめたアナリストの予測平均は371億ルピーの利益だった。\n発表を受け、マルチ・スズキの株価は一時６％を超える下げとなった。\n７－９月の売上高は証券会社の予想通り0.4％増の3720億ルピー。総費用は1.4％増の3358億ルピー、原材料費は8.8％増えた。\nブルームバーグ・インテリジェンス（ＢＩ）の吉田達生シニアアナリストは８日のリポートで、マルチ・スズキの７－９月販売台数は前年同期比２％減の54万1550台だったと指摘していた。\n原題：Top India Carmaker Slips After Profit Miss on Sluggish Demand （抜粋）\n(c)2024 Bloomberg L.P.\nSatviki Sanjay,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-92634895-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/236209b05d2c61fdd0e501e857188f2a728a53de/images/000']
シタデルのグリフィン氏、米大統領選は接戦-トランプ氏が制すると予想（Bloomberg）,https://news.yahoo.co.jp/articles/deefd2416985a4f3e63821abbc88cbd658e8e1ef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-95124476-bloom_st-000-1-view.jpg?exp=10800,2024-10-29T18:45:24+09:00,2024-10-29T18:45:24+09:00,Bloomberg,bloom_st,Bloomberg,749,"\nKen Griffin Photographer: Bryan van der Beek/Bloomberg\n（ブルームバーグ）： ヘッジファンド会社シタデルの創業者、ケン・グリフィン氏は、今年の米大統領選は接戦になるものの、最終的にはドナルド・トランプ氏が勝利すると予想している。\nグリフィン氏は29日サウジアラビアの「フューチャー・インベストメント・イニシアチブ（ＦＩＩ）」のパネル討論会で「現在の予想では、ドナルド・トランプ氏がホワイトハウスを勝ち取るだろう」と述べた。「われわれは今、不確実性のピークにいる。トランプ氏が勝利する可能性が高いが、ほぼ半々の確率だ」と語った。\n同じパネルで、ブラックストーンのスティーブ・シュワルツマン氏も、直接的な表現は避けながらトランプ氏に言及。「大統領選でどちらが勝つかは分からない」が、トランプ氏は2016年と比較して、大統領の「職務の仕組みや、それを効率的かつ効果的に行う方法について、はるかに多くの知識の基盤を持っている」と述べた。\nゴールドマン・サックス・グループのデービッド・ソロモン最高経営責任者（ＣＥＯ）もリヤドでのブルームバーグ・テレビジョンとのインタビューで米選挙の広範な影響に触れ、「選挙が行われ、政策決定が行われるだろう。それらは2025年と26年の軌道に影響を与えるだろう」と語った。どちらの政権が誕生しても、政権や自社の顧客を支援する体制は整っていると付け加えた。\n原題：Citadel’s Ken Griffin Expects Trump to Win Close US Election（抜粋）\n(c)2024 Bloomberg L.P.\nChristine Burke, Abeer Abu Omar",['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-95124476-bloom_st-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/deefd2416985a4f3e63821abbc88cbd658e8e1ef/images/000']
日野自が特損2300億円、認証問題で米当局と和解－峠は越えたとＣＦＯ（Bloomberg）,https://news.yahoo.co.jp/articles/a3bbf622544f818f24cd80fcf296964e6aabe6dd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-10-29T16:48:08+09:00,2024-10-29T16:48:08+09:00,Bloomberg,bloom_st,Bloomberg,127,\n（ブルームバーグ）： 日野自動車は29日、北米向けエンジンの認証問題に関連した米国当局との和解に伴う費用の見積り額などを特別損失として2300億円計上したと発表した。\n(c)2024 Bloomberg L.P.\nTsuyoshi Inajima,[],[]
