headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
インテルでは86戦28ゴール、マンCでは80戦30ゴール、ミランでは77戦33ゴール　過小評価すべきでない暴れん坊FWバロテッリの得点力（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/9f4f552103bdb787563547da4469c30ebc76cb51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010013-theworldw-000-1-view.jpg?exp=10800,2024-10-29T17:40:13+09:00,2024-10-29T17:40:13+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,948,\nあらゆるクラブで結果を出してきた男がジェノアへ\nイタリア代表でも絶対的エースになれるだけの実力があったバロテッリ photo/Getty Images\n今夏にトルコのアダナ・デミルスポルを離れ、そこからフリーの状態が続いていた元イタリア代表FWマリオ・バロテッリ。\n\nこの度そのバロテッリと契約を結んだのがセリエAのジェノアだ。34歳のバロテッリと今季終了までの短期契約を結んでおり、暴れん坊FWバロテッリが再びイタリアへ戻ってくることになる。\n\nバロテッリに関しては、様々な意見がある。10代の頃より才能は絶賛されてきたが、近年稀に見る暴れん坊であり、多くの指揮官がバロテッリのコントロールに苦戦してきた。真面目にサッカーに打ち込んでいれば、アズーリのエースになれたと考える人も少なくない。\n\nしかし伊『Gazzetta dello Sport』は、1つだけはっきりしていることがあるとバロテッリにスポットを当てている。それは、バロテッリがどのクラブでも得点を決めてきたということだ。\n\n問題行動はあったかもしれないが、バロテッリはインテルで86戦28ゴール、マンチェスター・シティで80戦30ゴール、ミランでは合計77戦33ゴール、仏のOGCニースで76戦43ゴール、マルセイユで15戦8ゴール、トルコのアダナ・デミルスポルでは51戦26ゴール、イタリアのモンツァで14戦6ゴールと、十分すぎる成績と言えるのではないか。\n\n唯一上手くいかなかったクラブとして、28戦4ゴールに終わったリヴァプール時代が挙げられる。この時期がバロテッリのキャリアでもワーストに近い時期だったと言えるか。また2度目のミラン加入となった2015-16シーズンも成績は伸びなかった。\n\nそれでも全体的には結果を出してきた方だ。同メディアも「スーパーマリオのキャリアにおいて、過小評価すべきでないのが得点数だ。リヴァプール、2度目のミラン時代を除けば、常にゴールを決めてきた」と得点力を評価している。\n\n今もセリエAで結果を残せる状況にあるかは分からないが、近年のサッカー界でも意外性No.1クラスの選手ではある。ジェノアでも注目集めること間違いなしだ。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010013-theworldw-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/9f4f552103bdb787563547da4469c30ebc76cb51/images/000']
なぜフリックはバルセロナで成功を収めているのか　秘訣は優れた対話術と観察眼、そしてディティールへの拘り（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/76ab387510fc64bbf553554c1b105373a6fea206,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010014-theworldw-000-1-view.jpg?exp=10800,2024-10-29T19:02:37+09:00,2024-10-29T19:02:37+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,893,\n強豪相手に快勝\nバルセロナのハンジ・フリック監督 photo/Getty Images\n今季開幕から好調を維持してきたバルセロナは、23日（現地時間）のバイエルン・ミュンヘン戦に4-1、続く26日のレアル・マドリード戦でも4-0と快勝を収め、圧倒的な強さを見せつけた。\n［映像］ラ・リーガ第11節 レアル・マドリード対バルセロナ ハイライト\nバルセロナが昨季から大きく変貌を遂げた最大の要因は、新指揮官のハンジ・フリック監督であることは間違いない。バイエルンで2019-20シーズンにUEFAチャンピオンズリーグとブンデスリーガ、そしてDFBポカールを制して三冠を達成した実績こそあるものの、その後指揮を執ったドイツ代表では2022年のワールドカップカタール大会でのグループリーグ敗退など成果を上げることができずに昨年9月に解任されていた同監督は、バルセロナの地で名誉挽回に成功し、再び名将の一人との評価を得つつある。\n\nフリック監督のバルセロナでの成功の秘訣は、その優れた対話術と観察眼、そしてディティールへの強い拘りにあるようだ。現役時代にバイエルンで活躍し、フリック監督とも40年来の付き合いがある解説者のローター・マテウス氏はドイツ紙『Bild』の取材に応じ、フリック監督の現在の仕事ぶりについて以下のように分析している。\n\n「ハンジにとって、選手達との日常的な付き合いは非常に重要なんだ。彼は普段の会話を通じて選手達との間に信頼関係を構築することができる指導者であり、選手達の様子をよく観察している。それらは、やりたいサッカーのスタイルを彼らに集中的に落とし込むことに役立っていると思う。彼はディティールにとても拘りがあって微妙なニュアンスを重視するタイプなので、6週間の間に1試合か2試合しかない代表チームではあまり上手く行かなかった」\n\n明確な哲学があり、さらにそれを選手達に伝えることのできる経験とスキルを持ち合わせた指揮官の招聘に成功したことで、バルセロナは再び欧州サッカーのトップへの返り咲きを果たそうとしている。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010014-theworldw-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/76ab387510fc64bbf553554c1b105373a6fea206/images/000', 'https://www.theworldmagazine.jp/20241029/01world/spain/424885']"
「リスクを冒すつもりはない」　怪我人続出のシティ。カラバオ杯トッテナム戦はアカデミー中心の編成か（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/1f0ac3815d57d4f2d40c69e36a11082d7ebfe61d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010012-theworldw-000-1-view.jpg?exp=10800,2024-10-29T17:03:26+09:00,2024-10-29T17:03:26+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,809,\n今季3度目となる対BIG6に臨むシティだが……\n怪我人に悩まされているシティ。カラバオ杯トッテナム戦でペップはどのような布陣で試合に臨むのだろうか photo/Getty Images\nプレミアリーグ第9節でサウサンプトンを破ったマンチェスター・シティ。勝ち点3を積み上げ、現在リーグ首位に立っている。未だに負けておらず、昨季優勝を争ったアーセナルとはすでに5ポイントの差を付けている。\n\nしかし、結果とは裏腹に内容はギリギリの試合が続いている。サウサンプトン戦でもゲームを支配したものの、結局1ゴールしか奪えておらず、前半終了間際にキャメロン・アーチャーが得点を挙げていれば、勝ち点を落としていた可能性は高い。\n\nそんなシティに追い打ちをかけるように怪我人が続出している。現在オスカー・ボブ、ロドリ、ケビン・デ・ブライネ、カイル・ウォーカー、ジャック・グリーリッシュ、ジェレミー・ドクの6人が負傷しており、サウサンプトン戦でベンチ入りしたメンバーはわずか7人だった（サウサンプトンは菅原由勢含めて9人がベンチ入り）。しかも、その中にはシュテファン・オルテガとスコット・カーソンのGK2人が含まれており、台所事情はかなり苦しい。\n\n「トッテナム戦でアカデミーの選手を何人起用するかどうかはわからない。選手に問題なければトッテナム戦に出場するが、懸念があるならリスクを冒すつもりはない」\n\n『TheGuardian』ではペップ・グアルディオラ監督がミッドウィーク開催のカラバオカップベスト16トッテナム戦で主力選手を休ませることを示唆するコメントを残している。相手は強敵トッテナムで、ここで主力に負傷者が出れば、今後に影響することは間違いない。プレミアではリヴァプールが勝ち点1差で迫ってきており、現状のスカッドを見ればカラバオカップを捨ててしまうのも仕方ないだろう。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010012-theworldw-000-1-view.jpg?pri=l&w=640&h=426&exp=10800'],['https://news.yahoo.co.jp/articles/1f0ac3815d57d4f2d40c69e36a11082d7ebfe61d/images/000']
まだベルギー代表復帰を捨てていない　メッシ、スアレスを抑えてMLS得点王のベテランFWは燃えている「引退しなければならない理由がない」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/12c74bfd36e9758d2914e1a53a1996ca22133327,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010015-theworldw-000-1-view.jpg?exp=10800,2024-10-29T23:50:02+09:00,2024-10-29T23:50:02+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,901,\nベルギー代表は2022年のプレイが最後\nDCユナイテッドで活躍するベンテケ photo/Getty Images\nインテル・マイアミのルイス・スアレス、リオネル・メッシをも抑え、今年のアメリカ・MLSで得点王に輝いたのはDCユナイテッド所属のベルギー人FWクリスティアン・ベンテケだった。\n［動画］ベンテケがMLSで見せるプレイ集\n2022年よりDCユナイテッドでプレイするベンテケは、今年レギュラーシーズンで23ゴールを記録。元よりアストン・ヴィラやリヴァプールなどでプレイしてきた実力者だったが、DCユナイテッドへの移籍は大正解だったようだ。\n\n英『BBC』によると、ベンテケにはまだベルギー代表でプレイする意志もあるという。かつてはベルギー代表のエースだったベンテケだが、ロメル・ルカクらの台頭もあって出番が減少。最後の代表戦は2022年3月のブルキナファソ戦となっていて、それ以降は代表を離れている。\n\nしかし、ベンテケは自分よりも年上のメッシ、クリスティアーノ・ロナウドの奮闘に刺激をもらっているようで、声さえかかればベルギー代表でプレイする考えだ。\n\n「メッシとロナウドは僕よりも年上だけど、まだプレイしているよね。僕が頑張らないわけにはいかないよ。彼らの成績は運ではない。努力だ。彼らは自分のコンディションを大事にしているけど、それは僕たちにも出来ることだ。僕たちには彼らのような素質は無いかもしれないけど、一流アスリートとして自分の体を大事にすることは出来るよね」\n\n「僕はまだ非常に良いリーグでプレイしているし、プロ選手なのだから代表から引退しなければならない理由がない。そこに執着しているわけではないけど、プレイを続ける限りは（代表の）可能性を残しておくつもりだ。クラブで引退を決意した時が代表キャリアの終わりさ」\n\nベルギー代表は今でもタレント軍団だ。メンバーに入るのは簡単ではないが、空中戦でも勝負できる190cmのベンテケは貴重なオプションになり得る。DCユナイテッドで活躍を続ければチャンスが出てくるかもしれない。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010015-theworldw-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/12c74bfd36e9758d2914e1a53a1996ca22133327/images/000', 'https://www.theworldmagazine.jp/20241029/01world/424866']"
バロンドール表彰式欠席のヴィニシウスを批判する西紙　6回受賞を逃しているメッシの謙虚さと比較（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/b13f8ae53f81067f39a34a0d610e21c6e407f008,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010011-theworldw-000-2-view.jpg?exp=10800,2024-10-29T16:30:34+09:00,2024-10-29T16:48:18+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,820,\nヴィニシウス個人の意志かは不明だが……\n約20年も世界最高峰であり続ける二人 photo/Getty Images\nレアル・マドリードのヴィニシウス・ジュニオールが、バロンドールの表彰式に欠席し、波紋を呼んでいる。\n\n『MUNDODEPORTIVO』では、その行動をリオネル・メッシの行動と比較し、ヴィニシウスが過去から謙虚さを学ばなかったと題して取り上げている。\n\nと言うのも、メッシは2007年以降、過去14回バロンドールでトップ3に入り、そのうち6回受賞できなかったにも関わらず、表彰式に出席していたからだ。\n\nその内、1回は2007年にカカが受賞し、あとの5回はいずれもクリスティアーノ・ロナウドが受賞した。C・ロナウドとメッシは言わずと知れた世界最高のサッカー選手であり、彼らがバロンドールを受賞した年は、毎年どちらが獲得してもおかしくない成績を収めていた。\n\nそして記事では、数年前まで行われていた慣例を紹介。実は表彰式の数日前に『France Football』の発売に向けた受賞者の写真撮影を行っていたため、誰が受賞するかは事前にわかっていたという。それでもメッシが欠席しなかった謙虚さを記事では言及している。\n\nただ今回の行動は、ヴィニシウス個人というよりは、レアル・マドリードがクラブとして抗議している意図も推測できるため、欠席が純然たるヴィニシウスの本心だったのかはわからない。報道にある通り、彼の憤慨が発端となったとは言われているが、それも不明だ。それに記事のように、単純にメッシとの性格を比較することもできない。\n\nまたヴィニシウスは欠席後、自身のSNSに「10倍やる。彼らは予測できない」とのメッセージを投稿しているため、すでに気持ちを切り替え、来年以降の受賞に熱意を燃やしていることも窺える。この悔しさをバネに是非とも目覚ましい活躍をしてもらいたい。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010011-theworldw-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/b13f8ae53f81067f39a34a0d610e21c6e407f008/images/000']
ニコ・ウィリアムズ獲得プランを忘れさせた？　リーガで“最多39回”のチャンスメイクを決めるハフィーニャの覚醒（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/93b366909e80913e7fe788d8009cc6e5e736d2f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010008-theworldw-000-1-view.jpg?exp=10800,2024-10-29T13:30:03+09:00,2024-10-29T13:30:03+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,619,\nヤマルと最強のウイングコンビを形成中\nフリックの下で急成長するハフィーニャ photo/Getty Images\n今季開幕前、バルセロナはアスレティック・ビルバオ所属のスペイン代表FWニコ・ウィリアムズ獲得にこだわっていると言われてきた。\n\nウィリアムズは今夏のEURO2024でバルセロナFWラミン・ヤマルとともにスペイン代表の両翼を担い、チームを欧州制覇へと導いてみせた。あの両翼をバルセロナでも実現したいと考えるのは自然なことだ。\n\n最終的にウィリアムズの獲得は実現しなかったのだが、今そのことを思い出しているサポーターは少ないだろう。現在のバルセロナでは、ブラジル代表FWハフィーニャがウィリアムズ以上のパフォーマンスを見せているからだ。\n\nデータサイト『Whoscored』もハフィーニャの覚醒を称賛していて、これだけのパフォーマンスを見せるとは予想外だったのではないか。26日に行われたレアル・マドリードとのクラシコでも1ゴール1アシストの活躍を見せており、今季はここまでリーグ戦とチャンピオンズリーグで10ゴール9アシストと見事な活躍だ。\n\nチャンスメイク数もリーグトップとなる39回を記録していて、昨季とは比べ物にならないハイパフォーマンスだ。今やブラジル代表でも1番信用できるアタッカーとなりつつあり、ハンジ・フリックの下でハフィーニャがここまで化けるとは驚きだった。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010008-theworldw-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/93b366909e80913e7fe788d8009cc6e5e736d2f6/images/000']
「9試合を終えてリーグ14位なんてありえない」　苦戦続くユナイテッドの現状にレジェンドも嘆き　「得点力不足、パフォーマンス不足が毎週積み重なっている」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/b5572a33e8ee655a81453901b121908f6e5b26cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010005-theworldw-000-1-view.jpg?exp=10800,2024-10-29T12:04:51+09:00,2024-10-29T12:04:51+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,1173,\nウェストハムに敗戦\nなかなか勢いに乗れないユナイテッド photo/Getty Images\nプレミアリーグ第9節でウェストハムに1-2で敗戦したマンチェスター・ユナイテッド。決勝点となったPKの判定には様々な議論が飛び交っているが、ユナイテッドにもいくつか得点チャンスがあっただけに悔しい敗戦となった。\n［動画］ユナイテッドはウェストハムに敗戦で14位にまで沈む\n現在、ユナイテッドは3勝2分4敗となっており、14位に沈んでいる。エリック・テン・ハーグ監督への風当たりは強くなる一方で、改善傾向も見られないユナイテッドにクラブレジェンドであるガリー・ネビル氏も嘆いている。\n\n「エリック・テン・ハーグはトラブルを招いている。リーグ戦9試合を終えて14位だ。9試合はシーズン全体のほぼ25％が過ぎたことになる。クラブの誰もが大きな不安を抱えているだろう。パフォーマンスレベルが... ユナイテッドはもっと上に行けるはずだったが、負けてしまった」\n\n「彼らは14位だ。大金を費やしている。昨シーズン終了時に私ははっきりと伝えた。もし最初の数ヶ月が過ぎた後も同じ状況が続いているようなら、多くの疑問が投げかけられることになるだろうと。彼らは週の半ばに試合があるが、すべては次の週末のチェルシー戦にかかっている」\n\n「それなりに実力があって、プレイできて、ピッチの一部でクオリティーを発揮できる選手なら、誰でもこのユナイテッドに勝てるし、彼らは危険にさらされている。来週のオールド・トラッフォードでの試合でまた敗北を喫するとは思わない。本当に心配な状況になってきている。結果、得点力不足、パフォーマンス不足が毎週積み重なっている」\n\n「ここ数シーズンで主に獲得した選手たちだ。厳しい時期だ。リーグでの順位のせいで、来週か再来週には、テン・ハーグの周りに耐え難いほどのプレッシャーがかかるだろう。彼らは14位だ。9試合を終えてリーグ14位なんてありえない」\n\n次節のチェルシー戦次第ではテン・ハーグ監督の解任もあり得ることを示唆したネビル氏。しかし、クラブは同氏の想定より早く決断を下し、テン・ハーグ監督を解任。ルート・ファン・ニステルローイアシスタントコーチが暫定監督としてチームを指揮する運びとなった。\n\n特にユナイテッドの現状で気になるのはゴール数で、ここまで9試合で8ゴールしか奪えていない。これより少ないのは6ゴールのクリスタル・パレス（17位）とサウサンプトン（20位）のみだ。今夏積極補強で新戦力を多く迎えたが、機能しているとはいえず、苦しい日々を送るユナイテッド。まずはレスターとのカラバオカップで勝利し、勢いを持った状態で週末のチェルシー戦に臨みたいところだが、果たして。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010005-theworldw-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/b5572a33e8ee655a81453901b121908f6e5b26cc/images/000', 'https://www.theworldmagazine.jp/20241028/01world/england/424798']"
トッティ氏の憧れ、ジャンニーニ氏がローマの混乱に言及　「グアルディオラでさえ苦労するだろう」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/9543b813ee6fcea5449945c061a0db27194be33e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010010-theworldw-000-1-view.jpg?exp=10800,2024-10-29T15:20:03+09:00,2024-10-29T15:20:03+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,617,\nクラブ全体の責任\n80年代にローマで活躍したレジェンド、ジャンニーニ氏 photo/Getty Images\n元ローマのレジェンド、ジュゼッペ・ジャンニーニ氏が、ダニエレ・デ・ロッシ監督解任後のジャロロッシの混乱について言及した。\n\nその発言があったのは『Adnkronos』のインタビュー内の一幕。彼は初めに今シーズンのローマの不調に対し「クラブ全員が責任を取らなければならない」と語った。\n\n彼が示唆する全員とは、監督や選手だけでなく、スタッフや経営陣などクラブ全体のことだ。続けて彼は、混乱が起きた時に選手たちが内紛を勃発させて自滅に追い込んではいけないということを示唆しつつ「選手が監督を否定していると決めつけるわけではないが、物事がうまくいかないときは選手たちはもっと何かをしなければならない」と付け足した。\n\nただ今のローマの監督や選手たちが、混乱から抜け出すために各々奮闘していることも想像できる。ジャンニーニ氏は最後にそれもわかった上で「今のところ、グアルディオラでさえローマでは苦労するだろう」と語っている。\n\n彼が言う通り、苦しい時こそ一致団結して全員で立ち向かっていくことが必要なのだろう。監督や選手の努力や能力を発揮させることだけでなく、クラブ経営という観点でも成長が必要なのかもしれない。時間はかかるだろうが、クラブ全体の成長の時が来ているのかもしれない。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010010-theworldw-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/9543b813ee6fcea5449945c061a0db27194be33e/images/000']
リッチの次はラインデルス　シティはロドリの代役確保のためイタリアに目を向ける（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/5fb581b2c67cd644c4e5c6407a83e5dda897fb4d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010009-theworldw-000-1-view.jpg?exp=10800,2024-10-29T15:00:33+09:00,2024-10-29T15:00:33+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,598,\n今季のシティは冬の移籍市場で大きな動きがありそうだ\nミランでプレイするラインデルス photo/Getty Images\n2019年にアトレティコ・マドリードから加入し、現在まで欠かせない戦力としてフル稼働してきたロドリだが、蓄積された疲労に体が耐えられなかったのか、プレミアリーグ第5節アーセナル戦で膝を負傷し、復帰は来季になるといわれている。\n\nスペイン代表MFを欠くシティは代役としてマテオ・コバチッチをアンカーとして起用している。ここまで3得点と攻撃面では素晴らしい活躍を披露しているものの、配球力やリスク管理ではロドリとの差は大きく、攻守両面で安定しているとはいえない。\n\nそのためシティは1月の移籍市場でアンカーの獲得を目指しており、候補はポルトのアラン・バレラ、トリノのサムエレ・リッチらの名前が挙がっている。『ESPN』によると、シティはミランのMFタイアニ・ラインデルスをロドリの代役として獲得するプランがあるようだ。\n\nラインデルスは26歳のオランダ代表MFで、2023年にAZからミランに移籍している。中盤であればどのポジションでもこなせる器用さを持っており、今季のミランでは［4-2-3-1］のダブルボランチの一角を任されている。コンスタントに得点にかかわれる選手で、今季は11試合ですでに2ゴール2アシストを記録している。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010009-theworldw-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/5fb581b2c67cd644c4e5c6407a83e5dda897fb4d/images/000']
メッシ相手に30ヤードも飛び出して止めるとは　マイアミの前に立ちはだかった40歳のベテラン守護神に驚きの声続々「ブッフォンのよう」（theWORLD（ザ・ワールドWeb））,https://news.yahoo.co.jp/articles/1224bdb7682e7813d4029c4909a569c77a1b259b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010007-theworldw-000-1-view.jpg?exp=10800,2024-10-29T12:30:23+09:00,2024-10-29T12:30:23+09:00,theWORLD（ザ・ワールドWeb）,theworldw,theWORLD（ザ・ワールドWeb）,1039,\n22本のシュートを浴びながら好セーブ連発\nマイアミ戦で活躍したグザン（手前） photo/Getty Images\n今年のMLSで史上最多勝点記録を更新する勝ち点74を稼ぎ、歴史に名を残すチームとなったインテル・マイアミ。現在は王者を決めるMLSカップ・プレイオフに臨んでおり、先日行われたアトランタ・ユナイテッドとの第1戦に2-1で勝利した。\n［動画］メッシを止めたグザンの見事なタックル\nこのアトランタ戦でもFWルイス・スアレス、DFジョルディ・アルバの強力助っ人組がネットを揺らしており、リオネル・メッシを軸とした『元バルセロナ組』が相手の脅威となっている。\n\nただ、このゲームで話題を集めたのはメッシたちマイアミのベテラン選手だけではない。マイアミに22本のシュートを打たれながら、それを懸命に止め続けたアトランタのベテラン守護神ブラッドリー・グザンにも注目が集まっている。\n\n40歳を迎えているグザンは、2008年から9年間アストン・ヴィラ、ハル・シティ、ミドルズブラでプレイしたアメリカ人GKで、アメリカ代表でも64キャップを記録してきた。2017年からはアトランタの守護神としてフル稼働しており、40歳ながら今年もリーグ戦34試合に出場。豊富な経験を活かして今もMLSで活躍を続けているのだ。\n\n先日のインテル・マイアミ戦では一方的にシュートを打たれながら、グザンは何度も好セーブを披露。結果的には敗れてしまったが、2失点で済んだのはグザンのおかげでもある。\n\n1-2とリードを許した84分にはマイアミのカウンターアタックを受け、ルイス・スアレスからメッシに決定的なパスが通るシーンがあった。しかしグザンは大胆にもペナルティエリアから飛び出し、タックルでメッシのボールを奪ってみせた。かなりリスクのある飛び出しではあるが、40歳のベテランGKとは思えぬ思い切りの良さが評価されている。\n\nSNS上でも「グザンは40歳にしてブッフォンのようなパフォーマンスを見せている」、「ゴールから30ヤードも離れたところでメッシにタックルするとは」、「彼は今年も素晴らしく、そして今夜も素晴らしい活躍だった」と絶賛の声が出ている。\n\nMLSカップは最大3試合制となっていて、両チームは11月3日に再び顔を合わせる。そこでマイアミが勝利した場合、マイアミが突破となるが、グザンの頑張り次第ではどうなるか分からないか。\n構成／ザ・ワールド編集部,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241029-00010007-theworldw-000-1-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/1224bdb7682e7813d4029c4909a569c77a1b259b/images/000', 'https://www.theworldmagazine.jp/20241029/01world/424860']"
