headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
外でもあったか！ 外出時におすすめの防寒グッズ（BCN）,https://news.yahoo.co.jp/articles/2a6c48a3e7548f20846a2a84362a3ce24f2d000a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464395-bcn-000-5-view.jpg?exp=10800,2024-10-30T18:00:00+09:00,2024-10-30T18:00:59+09:00,BCN,bcn,BCN,2154,\n外出時におすすめの防寒グッズを紹介\n冬が近づくにつれ寒さが強まってくると、どうしても外出が億劫になってしまうもの。そこで、冬の外出時の強い味方になってくれる防寒グッズを紹介する。着て体をあたためるアイテムや外出中に持っていると助かるアイテムなど、ぜひ参考にしてほしい。\n\n\n\n●外出時はあたたかい格好で！ファッショングッズ3選\n 寒い季節に外出する際は、しっかりとした防寒対策が欠かせない。そこで、おすすめなのがあたたかいファッショングッズの活用だ。外出時に活用してほしい、あったかファッショングッズを三つ紹介しよう。\n \n\n \n\nアイル「ネッククーラー ネックウォーマー」\n アイルの「ネッククーラー ネックウォーマー」は、外出時の寒さ対策にピッタリのアイテムだ。この製品は、一つで冷却と温暖の両方を実現できるという優れもの。寒い季節にネックウォーマーとして首元をあたため、暑い季節にネッククーラーとして涼しさを提供する。\n\n 操作も簡単で、誰でもすぐに使いこなせるのがうれしいポイントだ。寒さが厳しい冬の外出でも、これさえあれば安心して過ごせるだろう。\n \nアイリスオーヤマ「ヒートベスト リバーシブル」\n アイリスオーヤマの「ヒートベスト リバーシブル」は、リバーシブル仕様で気分やコーディネートに合わせて表裏を使い分けられる。内蔵されたヒーターが寒い日でもしっかりと体をあたためてくれるため、冬の外出が快適になるはずだ。\n\n 4段階に温度調節が可能。バッテリはモバイルバッテリで充電できるため、どこでも簡単にあたたかさをキープできるのがうれしい。\n \nSplend「電熱パンツ」\n 寒い季節の外出時には、Splendの「電熱パンツ」が大変役立つ。内蔵されたヒーターによって、腰や太ももをしっかりとあたためてくれるため、冷えがちな部分も安心だ。\n\n 3段階の温度調節機能付きで、自分好みのあたたかさに調整可能。動きやすいデザインのため、冬のゴルフやスキーなどにピッタリの一着だ。\n \n移動時＆外出先で役立つあったか小物グッズ\n 寒い季節の移動時や外出先で役立つ、あったか小物グッズを五つ紹介しよう。\n \n\n \n\nロゴス「野電 あったかパッド」\n ロゴスの「野電 あったかパッド」は、好きなときに使える電気式カイロだ。USB電源を使用するため、モバイルバッテリに接続すればどこでも利用できる。特に、オフィスやスポーツ観戦、キャンプ、釣りなどの寒さ対策として重宝するアイテムといえる。\n\n また、ライト機能も付いているため、キャンプ時はライトとしても使えて大助かりだ。\n \nGalolo「充電式カイロ」\n Galoloの「充電式カイロ」は、USB充電式で、10000mAhの大容量バッテリを搭載しており、最大で18時間の連続使用が可能だ。また、モバイルバッテリとしても使用できるため、スマホの充電にも役立つ。\n\n コンパクトで持ち運びがしやすいだけでなく、デザインもスタイリッシュなため、寒さ対策をしながらおしゃれも楽しめる優れものだ。\n \nルナスタイル「電熱インソール」\n ルナスタイルの「電熱インソール」は、寒い季節の外出時に足元をあたたかく保つための便利なアイテムだ。充電式で繰り返し使用できるほか、ボタン一つで温度調整が可能であたたかさを最長8時間キープできる。\n\n また、ソールに付いたメモリに沿ってハサミで切るだけでサイズ調整も可能なため、男女問わず多くの靴にフィットする点も魅力だ。これがあれば足元の冷えを気にせず、外出を楽しめるだろう。\n \nLUERME「ヒーター手袋」\n LUERMEの「ヒーター手袋」は、袋内にヒーターが内蔵された手袋で、電源を入れるだけで指先まであたためてくれるアイテム。屋外での作業やスポーツ観戦、通勤時など、さまざまなシーンで手をあたたかい状態にキープしてくれる。\n\n また、加熱パッドは取り外しが可能なため、普通の手袋としても使える2way使用。洗濯もでき、常に衛生的に使用できる点もうれしいポイントだ。\n \n広電「フランネルひざ掛け（CWH141H-B）」\n 広電の「フランネルひざ掛け（CWH141H-B）」は、軽量で持ち運びが簡単なため、旅行や通勤、オフィスなどで活用できる。肌触りの良いフランネル素材を使用しており、快適なあたたかさを提供してくれる点も魅力だ。\n\n 温度調節は、強中弱の3段階と寒さに応じて選べるようになっている。さらに、コントローラーをひざ掛け本体から取り外せば、洗濯機で丸洗いできるため、常に清潔に遣い続けられる。\n \n●寒さ対策をしっかりして出かけよう\n 寒い季節の外出には、しっかりとした防寒対策が欠かせない。ネックウォーマーや電熱ベストなどのファッショングッズから、移動時に便利なカイロやヒーター手袋といった小物まで、さまざまなアイテムを取り入れれば、寒さを和らげつつ快適に過ごせるだろう。\n \n\n 今回紹介した防寒グッズを参考に、自分に合ったアイテムを選んで、寒さに負けない準備をして外出を楽しもう。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464395-bcn-000-5-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/2a6c48a3e7548f20846a2a84362a3ce24f2d000a/images/000']
BenQ、天井モバイルプロジェクター「GV50」を発表 明るさから音響までまるまるグレードアップ（BCN）,https://news.yahoo.co.jp/articles/36e0fe73ae8d2fd1056cd8705781097abf359484,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464389-bcn-000-3-view.jpg?exp=10800,2024-10-30T18:30:00+09:00,2024-10-30T18:30:59+09:00,BCN,bcn,BCN,786,\n天井モバイルプロジェクターの新モデルが登場\nベンキュージャパンは10月30日、天井モバイルプロジェクターのGVシリーズの新製品「GV50」を11月5日から発売することを発表した。同製品は公式オンラインショップなどのネット通販、家電量販店で販売する。\n\n\n \n\n●500ANSIルーメンと4W×2＋10Wウーファー搭載スピーカー\n GVシリーズは、壁やスクリーンはもちろんのこと、付属の台座に設置して上下にスライドすることで天井に映像を投影することができるプロジェクターシリーズ。独自の回転機構により、三脚を使わずに、手軽に天井への投影ができることが特徴だ。\n \n\n 今回発売される「GV50」はオートフォーカス機能や自動台形補正機能、自動障害物回避機能を搭載。面倒な手動による調整をより減らすことに成功している。\n\n また、同製品ではベンキューのモバイルプロジェクターとしては初の高輝度レーザー光源を採用した。これにより、起動が高速化、最大寿命が2万時間まで伸長、低発熱・静音化も実現した。さらに、従来機種「GV31」の明るさ300ANSIルーメンから「GV50」では500ANSIルーメンまで向上させたという。\n \n\n そのほか、スピーカーには4W×2＋10Wウーファーを搭載しており、よりリアルな重低音を楽しむことができる。シネマ／天井シネマサウンドモードといった専用モードもプリセットされているほか、スマートフォンと接続してBluetoothスピーカーとしても使用可能。シーンに合わせて最適な音響を提供してくれる。\n \n\n 「GV50」のカラー展開はパールホワイトのみ、価格はオープン。BenQダイレクトオンラインショップ、BenQ Direct Online Shop Amazon店・楽天市場店および家電量販店で発売する。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464389-bcn-000-3-view.jpg?pri=l&w=640&h=334&exp=10800'],['https://news.yahoo.co.jp/articles/36e0fe73ae8d2fd1056cd8705781097abf359484/images/000']
M4／M4 Proを搭載した新しい「Mac mini」　9万4800円から（BCN）,https://news.yahoo.co.jp/articles/cb2d9733b86978022d6ef66831fbf5010d0a480a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464357-bcn-000-3-view.jpg?exp=10800,2024-10-30T17:30:00+09:00,2024-10-30T17:30:59+09:00,BCN,bcn,BCN,761,\n新しいMac mini\nAppleは、M4チップまたはM4 Proチップと、最新OS「macOS Sequoia」を搭載した新しい「Mac mini」を発表した。発売日は11月8日。予約はすでに受け付けている。\n【写真ギャラリー】\n●「Apple Intelligence」に対応\n 従来より一段と小型化する一方（12.7センチ四方）、性能や接続性は大幅に向上した。使いやすいパーソナルインテリジェンスシステムである「Apple Intelligence」、無線LAN規格「Wi-Fi 6E」に対応し、HDMIポート、Thunderboltポート（4または5）、二つのUSB 3対応USB-Cポート、3.5mmヘッドフォンジャックを備える。なお、「Apple Intelligence」は最新の無料ソフトウェアアップデートを通じて初期機能の提供を開始した。デバイスとSiriの言語を英語（米国）に設定すると、世界中の多くの地域でアクセスでき、今後、対応言語を増やしていく予定。\n \n\n M4搭載モデルのストレージは256GB、512GB、1TBの3種類で、オプションで最大2TBに変更できる。M4搭載モデルのストレージは512GBで、1TB、2TB、4TB、8TBに変更可能。サイズは高さ5.0×幅12.7×奥行き12.7cm、重さはM4搭載モデルが0.67kg、M4 Pro搭載モデルが0.73kg。\n \n\n Apple Storeでの販売価格は、M4搭載モデルが9万4800円から、M4 Pro搭載モデルが21万8800円から。ディスプレイ、キーボードなどは別売となり、「Magic Keyboard」が1万4800円、「Touch ID搭載Magic Keyboard」は2万1800円など。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464357-bcn-000-3-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/cb2d9733b86978022d6ef66831fbf5010d0a480a/images/000', 'https://www.bcnretail.com/news/gallery/detail/20241030_464357.html']"
名古屋の巨大室内遊園地がリニューアルオープン、園内面積を約2倍に（BCN）,https://news.yahoo.co.jp/articles/f22c5804348bb7edd156b6afad583c53029bfea4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464418-bcn-000-3-view.jpg?exp=10800,2024-10-30T18:00:00+09:00,2024-10-30T18:00:59+09:00,BCN,bcn,BCN,1115,\n名古屋の巨大室内遊園地がリニューアルオープン\n巨大室内遊園地の運営を行うユーエスマートは、室内遊び場「キッズランドUS 名古屋茶屋店」を10月17日にリニューアルオープンした。\n【写真ギャラリー】\n●キャンプコーナーなどの新コーナーを設置\n 親子で夢中になるユニークでスペシャルな室内遊園地「キッズランドUS」は、家族で楽しく遊び、くつろぎ、そしてかけがえのない家族の思い出を残せる室内遊び場。遊び放題プランや短時間プランなど、おトクに気軽に利用できる。受付後の出入り自由、飲食持ち込み自由、保護者（父母）の交代も自由。暑い日も寒い日も雨の日も花粉が辛い時期でも天気を気にせずゆっくり遊ぶことができる。\n\n 今回リニューアルオープンした「キッズランドUS 名古屋茶屋店」は、園内面積を約2倍に拡大。スーパージャングルジムやエアースライダーなどの人気遊具に加え、「セルフ写真館」「公園コーナー」「キャンプコーナー」などのユニークでスペシャルな新コーナーや充実の30種類のアイテムを導入し、楽しさがパワーアップした。また、入場後は設置ゲーム機や子どもに人気の乗り物が何度でもフリープレイで遊べる。\n\n 新たに導入した「セルフ写真館」では、スマホひとつで気軽に記念撮影が可能。本格的な撮影セットに、子ども用の豊富な衣装や撮影用小物を追加料金なしで利用できる。\n\n 「キャンプコーナー」は、テントやハンモックなどの本格的なアウトドアアイテムを使ったキャンプごっこ遊びが楽しめるユニークなコーナーとなっている。\n\n 「公園コーナー」には、子どもが大好きなブランコやシーソーなど公園でお馴染みの遊具が勢揃い。天候を気にせずアクティブに遊べる。\n\n 「カートコーナー」では、好きなカートを選び、広々としたコース内をドライバー気分で走行できる。\n\n キッズランドUSの名物コーナー「スーパージャングルジム」は、とても大きなジャングルジムの中に、たくさんのボールプールやすべり台、トンネル、トランポリンなどの子どもがワクワクする楽しい仕掛けが詰め込まれた人気アスレチックとなっている。\n\n 「ゲームコーナー」では、家族で楽しめるアーケードゲームを何度でもフリープレイで利用できる。また、「乗り物コーナー」では、子どもに人気の乗り物を、何周でもフリープレイで楽しめる。SNSで話題の1人用観覧車やユニークな宇宙船の乗り物が新登場する。\n\n さらに、3歳までの子ども専用の「ベビーコーナー」が広々リニューアル。ベビーボールプールに絵本や知育玩具など、小さな子どもが安心して楽しめる様々な遊具を取り揃えている。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464418-bcn-000-3-view.jpg?pri=l&w=640&h=427&exp=10800'],"['https://news.yahoo.co.jp/articles/f22c5804348bb7edd156b6afad583c53029bfea4/images/000', 'https://www.bcnretail.com/market/gallery/detail/20241030_464418.html']"
話題の「AI PC」はパソコン普及の救世主となるのか？（BCN）,https://news.yahoo.co.jp/articles/fa096bd4be6a948d0caaf0759f87388c0c35f0d4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464421-bcn-000-3-view.jpg?exp=10800,2024-10-30T19:00:00+09:00,2024-10-30T19:00:59+09:00,BCN,bcn,BCN,1597,\n世帯主の年代ごとに普及率を比較\n【マーケティング考_4】現在、AIに対応したパソコン（PC）が順次発売されている。AI PCは普及率の増加に貢献するのだろうか。今回は内閣府の消費動向調査から、PCとスマートフォン（スマホ）の普及率を比較し、2014年以降どのように推移していったのか、そして世帯主の年代ごとでも比較し、どの年代がPCの普及率を支えているのかを紐解いていく。\n\n○PCは3ポイントだが、スマホは45ポイントも普及率が増加\n \n\n 内閣府の消費動向調査によると、PCの普及率は14年以降、10年にわたり、70％前後で推移している。一方、スマホは14年の45.2％から普及率は年々増加、その後も勢いは増し、24年には90.7％に達した。どのような背景で普及率の伸びに差が出たのかを探るため、世帯主の年代ごとに普及率の推移をみていく。\n\n○30代まではスマホ偏重が顕著\n \n\n 世帯主の年代ごとに普及率を比較したところ、異なる動きがあらわれた。まず、29歳以下では、14年時点でPCの普及率は81.2％だったのに対し、スマホは85.5％。既にスマホの普及率が4ポイント超上回っていた。24年ではPCが73.7％、スマホは98.5％と普及率の差が大きく開いている。\n\n また、30代では、14年こそPCの普及率がスマホを上回っていたものの、翌15年に逆転。その後もスマホの普及率は増加し続けるが、PCでは、小幅な上下動を繰り返しながらも普及率は減少、24年にPCとスマホの普及率は、19ポイント差まで広がった。\n\n 40代と50代の普及率は似通った動きとなっている。共にPCの普及率は14年は8割台、スマホは6～7割だった。50代では17年、40代も18年にスマホの普及率がPCを逆転。PCの普及率は緩やかな減少が続いており、24年時点で8割を下回った。しかし、他の年代より比率は高く、PCの普及率を底支えしていると言える。\n\n○60代以上のPC普及率は増加\n\n 60代と70代以上では、14年時点でのスマホ普及率は2～3割にとどまっていた。その後急増し、24年には8～9割まで達している。PCとスマホの普及率の逆転は、60代で19年、70代以上で20年。この時期には、キャリアが3Gの新規受付を終了したり、色々な手続きにスマホが必須となりつつあることが、スマホの普及を押し上げたと考えて良いだろう。\n\n 一方、PCの普及率は、14年と24年を比較すると4～10ポイント近く増加しており、他の年代にはみられない動きとなった。\n\n こうした年代ごとの動きを総合すると、PCの普及率は全体ではほぼ横ばいで推移しているが、底支えしている40代と50代、底上げしている60代と70代以上といった構図がみえてくる。\n\n 現状、40代と50代の普及率が減少していることを考慮すると、この年代が60代や70代以上になる頃には、PCの普及率は減少へと転じていくことは想像に難くない。\n\n PCは主に情報の作成時に威力を発揮する。情報発信のためにホームページを作成していた時代に、スマホは存在しておらず、PCが必須だった。その後、掲示板やSNSの普及により、携帯電話やスマホを使い、手軽に情報発信できるようになった。こうした変化もPCの普及率の伸び悩みの要因の一つに挙げられる。\n\n 現在、PCメーカー各社はAIに対応したモデルを発売している。しかし、AIを取り入れることにより、生活がどのように豊かになるのかが明確に見えてこないのが実状だ。\n\n さらに、スマホにもAIを取り入れているため、AIはPCだけのものとは言えない。AIに続く第二・第三の新機軸を生み出さないと、PCの普及率を維持、増加していくことは難しい。（BCN総研・森英二）,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464421-bcn-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/fa096bd4be6a948d0caaf0759f87388c0c35f0d4/images/000']
シャープ、ライカの3眼カメラを搭載したフラッグシップスマートフォン「AQUOS R9 pro」（BCN）,https://news.yahoo.co.jp/articles/3c2aebc23f27d1db1c253e50ba9061cda18f24a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464409-bcn-000-3-view.jpg?exp=10800,2024-10-30T17:00:00+09:00,2024-10-30T17:00:59+09:00,BCN,bcn,BCN,794,\nフラッグシップスマートフォン「AQUOS R9 pro」\nシャープは、フラッグシップモデルのスマートフォン「AQUOS R9 pro」を、日本で12月上旬以降に発売する。また、グローバルモデルとして台湾・インドネシア・シンガポールでも順次展開する予定。\n\n\n\n●三つのカメラすべてに5030万画素の高精細イメージセンサー\n 新製品は、ライカカメラが監修した標準・広角・望遠の3眼カメラで構成される「バリオ・ズミクロン」カメラシステムを搭載。三つのカメラすべてに5030万画素の高精細イメージセンサーを採用している。標準カメラには1インチを超える1／0.98インチのイメージセンサーを搭載し、暗所でも鮮明に美しく撮影できる。広角カメラは122度の超広角撮影やマクロ撮影ができるほか、望遠カメラは光学2.8倍ズームに対応。デジタルズームの併用により最大20倍のズームが可能で、遠くの被写体もはっきりと写せる。\n\n CPUは、最新の「Snapdragon 8s Gen 3 Mobile Platform」を搭載。12GBの大容量RAMやベイパーチャンバーを採用した放熱システムとの組み合わせにより、データ容量が大きいアプリを複数起動してもスムーズな動作を続けることができる。また、大型のスピーカーBOXを上下に配置。上部のスピーカーBOXをフルメタル化することで音圧を増し、迫力あるサウンドを実現した。1～240Hz可変駆動のPro IGZO OLEDディスプレイは解像度がQuad HD＋にアップし、高精細で臨場感あふれる映像を楽しむことができる。\n\n さらに、同社独自の生成AI機能「電話アシスタント」を搭載。留守番電話を要約して表示する機能のほか、会話の中からキーワードを自動抽出してメモとして残せる新機能にも対応し、電話によるコミュニケーションをサポートする。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464409-bcn-000-3-view.jpg?pri=l&w=640&h=240&exp=10800'],['https://news.yahoo.co.jp/articles/3c2aebc23f27d1db1c253e50ba9061cda18f24a6/images/000']
Sky、名刺管理の最新バージョン「SKYPCE Ver.3.2」を発売（BCN）,https://news.yahoo.co.jp/articles/4e175af3905f4d0ad05f2839e0dcdb0cf1b70e99,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00206803-bcn-000-1-view.jpg?exp=10800,2024-10-30T15:14:00+09:00,2024-10-30T15:14:00+09:00,BCN,bcn,BCN,910,\nSKYPCE Ver.3.2\nSkyは、名刺管理「SKYPCE Ver.3.2」を開発し、10月29日に販売を開始した。新バージョンは、顧客の営業活動を支援するために、URLのクリック率を自動計測して顧客への配信メールの効果測定を支援する機能や、企業ごとの役員情報をチェックできる機能などを搭載。スマートフォン同士で名刺交換ができる仕組みや、名刺登録がよりスムーズに行える連続撮影モードも用意するなど、さらに使いやすいサービスへと進化させた。\n\n\n\n 具体的には「一斉メール配信」機能で顧客に送信した営業メールなどに記載されたURLが、どのくらいクリックされたかを自動計測し、簡単に確認できるようになった。メールの配信効果の確認や内容の見直しなど、営業活動の改善に役立てることができる。\n\n 会社情報の一部として、各社の役員情報を確認できる。役員の役職、略歴、生年月日などを企業ごとに一覧で表示。名刺交換した相手企業のキーパーソンを手間なく確認でき、今後のアプローチ先の検討などに活用できる。\n\n 紙の名刺が手元にない場合でも、スマートフォンで名刺交換が可能。互いのスマートフォンを近づけることで、名刺データを素早く交換できる。二次元コードやURLで名刺情報が手間なく共有できる仕組みも用意している。スマートフォンでの名刺登録に活用できる新たな連続撮影モードを用意。一度に複数枚をまとめて撮影したうえで、名刺の表・裏を設定して登録できるため、SKYPCEに取り込む名刺が多い場合でもスムーズに対応できる。\n\n 「SKYSEA Client View」のモバイル機器管理（MDM）機能やそのほかのMDM製品で管理されているモバイル端末のみ、名刺管理画面へのアクセスを許可することでセキュリティーをさらに強化できる。\n\n また現在、SKYPCEの導入を検討中の顧客や、すでに導入している顧客に同サービスをさらにお得に利用できる特別キャンペーンを実施中。他サービスからの乗り換え割引キャンペーンや、クラウド電話帳「SKYCEB」をオプションとして1年間無償で利用できるキャンペーンを用意している。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00206803-bcn-000-1-view.jpg?pri=l&w=640&h=443&exp=10800'],['https://news.yahoo.co.jp/articles/4e175af3905f4d0ad05f2839e0dcdb0cf1b70e99/images/000']
21.5インチで10点マルチタッチの液晶ディスプレイを3万2980円で、JAPANNEXTが販売（BCN）,https://news.yahoo.co.jp/articles/06101d3439e9ff85d9f502a63644bd0f0ac82f6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464397-bcn-000-3-view.jpg?exp=10800,2024-10-30T15:30:00+09:00,2024-10-30T15:30:59+09:00,BCN,bcn,BCN,807,\nJAPANNEXT、10点マルチタッチ対応21.5インチIPSパネル搭載、65WのUSB給電に対応した液晶ディスプレイ発売\nJAPANNEXTは、フルHD（解像度1920×1080）対応液晶ディスプレイ「JN-IPS2152FHDR-C65W-T」を10月25日に発売した。10点マルチタッチ対応21.5インチIPSパネルを搭載し、本体カラーにホワイトを採用。公式オンラインショップでの価格は3万2980円。\n\n\n\n●直感的にタッチ操作できる\n JN-IPS2152FHDR-C65W-Tは、1平方メートル当たりの最大輝度が250cdで、sRGB：100％の広色域、上下左右178°の広視野角に対応し、コンテンツを色鮮やかに映し出せるので、動画や写真の編集に適している。\n\n 10点マルチタッチ対応で、Windows搭載PCと接続すればピンチズームやスクロールなどを、直感的なタッチ操作で実行できる（タッチ機能を利用するには、本体とPCをUSBケーブルで接続する必要がある）。\n\n 本体カラーはホワイトで、ベゼルやスタンドもホワイトを採用しており、爽やかでおしゃれな空間を演出したい場合や、医療機関などでの使用に適している。さらに、付属するケーブルもすべてホワイトなので、全体を白基調に統一させられる。\n\n コンパクトながらノートPCの拡張画面としても使いやすく、テレワークなどにも使いやすいエントリーモデルで、最大出力65WのUSB Type-C給電が可能なので、対応PCならUSB Type-Cケーブル1本で映像入力とPCへの給電ができる。\n\n そのほか、2W×2基のスピーカーを搭載し、75×75mmのVESAマウントに対応している。\n\n インターフェースは、HDMI 2.0入力×1基、USB Type-C×1基（映像入力、最大65Wの給電対応）、オーディオ出力×1基。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464397-bcn-000-3-view.jpg?pri=l&w=640&h=318&exp=10800'],['https://news.yahoo.co.jp/articles/06101d3439e9ff85d9f502a63644bd0f0ac82f6b/images/000']
ビジネスマナーの盲点！ 「押印」と「捺印」の違いって知ってる？（BCN）,https://news.yahoo.co.jp/articles/5046ed5acaffe8ec0795fcc61296daa05e03d1f9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464361-bcn-000-3-view.jpg?exp=10800,2024-10-30T17:00:00+09:00,2024-10-30T17:00:59+09:00,BCN,bcn,BCN,996,\n重要な書類の際は押印？ それとも捺印？（画像はイメージ）\nビジネスシーンはもちろん、日常生活においてもハンコを押す際に口にする「押印」や「捺印」という単語。ところが、いざという時に「あれ？ 押印と捺印どっちで言うのが正解だっけ？」と迷ったことのある人も少なくないのではないだろうか。今回は、実のところあまり知られていない「押印」と「捺印」の違いと正しい使い方について解説する。\n\n\n\n●「押印」と「捺印」は何が違う？\n そもそも「押印」は「記名押印（きめいおういん）」を略した言葉であり、記名とは自筆ではない方法で名前を記すこと。つまり「押印」は、代筆や印字でもともと名前の表記がある書類、あるいは記名も署名も何もない書類にただハンコを押すことを指している。\n\n 一方、「捺印」は「署名捺印（しょめいなついん）」を意味する言葉。自筆で名前を書くことを署名というので、「捺印」は自筆のサインと一緒にハンコを押す場合を指す。ただし押印と同じく、単にハンコのみを押すことを意味するケースもあるようだ。\n\n つまり両者の大きな違いは、名前が自筆で書かれているか否かという点。単にハンコを押してもらうだけの場面で用いられることもあるが、はっきりとした違いがあるため普段から正しく使い分けることが大切だ。\n\n 一般的に法律的な効力が高く、重要な契約書を交わす場面などで使用されるのは「捺印」。一方で署名がなく他人によるコピーや偽造が簡単な「押印」は、単に名前の表示が目的とされるような場面で使われることが多い。\n●「押捺」と「調印」は？\n 似た言葉で「押捺」と「調印」についてもご紹介しよう。どちらもハンコを押すという意味だが、「押捺」は親指に朱肉をつけて押す拇印を指すことが多い。また「調印」は国家や企業間で条約を締結する際など、重要な場面で使用される言葉だ。\n\n ビジネスシーンなどでよく使われる言葉でも、実は意味を正しく理解できていないものが他にもあるかもしれない。後々大きな失敗をしないためにも、正確な知識を身につけておこう。（フリーライター・井原亘）\n\n■Profile\n井原亘\n\n元PR会社社員の30代男性。現在は流行のモノや現象を追いかけるフリーライターとして活動中。ネットサーフィンとSNS巡回が大好きで、暇さえあればスマホをチェックしている,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241030-00464361-bcn-000-3-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/5046ed5acaffe8ec0795fcc61296daa05e03d1f9/images/000']
カスペルスキー、2024オリンピックのサイバー犯罪対策でインターポールに協力（BCN）,https://news.yahoo.co.jp/articles/fe5944db62a467e50cf6bd517a1054da3423fc7e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2024-10-30T14:57:00+09:00,2024-10-30T14:57:00+09:00,BCN,bcn,BCN,1015,\nカスペルスキーは、フランス・パリで開催された2024年夏季オリンピック・パラリンピック競技大会に際し、国際刑事警察機構（インターポール）の「Project Stadia」の一環として脅威インテリジェンスデータを共有し、オリンピックに関連する詐欺行為への対策に協力したと発表した。\n\n Project Stadiaは、スポーツ競技会や文化的、社会的、宗教的な集い、カンファレンスといった大規模国際イベントのサイバーセキュリティーを確保することを目的とした官民連携のプロジェクト。このプロジェクトでは、サイバー脅威のリサーチャーらが、観戦者をだまして金銭や認証情報を盗み出そうとするフィッシングサイトやソーシャルエンジニアリング詐欺などの脅威の防止に取り組んだ。\n\n インターポールは、夏季オリンピック・パラリンピック競技大会の会期中、数百万人以上の観客や出場者の安全を守るため、サイバー犯罪活動の防止と対処を実施した。Project Stadiaは、とくにユーザーの金銭やデータを盗み取ろうとする詐欺行為を対象とするもので、カスペルスキーはこの取り組みの一環としてインターポールおよび各国の官民組織で構成し情報共有を行う「Gateway」プロジェクトで、専用の脅威インテリジェンスデータを共有した。同社のリサーチチームは、詐欺活動の急増を検知して、大会の公式サイトを装ったフィッシングサイトを徹底的に分析し、サイバー犯罪者が観戦者の盛り上がりに乗じて信頼を悪用しようとした主な詐欺手口を明らかにした。\n\n カスペルスキーのリサーチャーは、チケットを販売すると宣伝する詐欺サイトや、シャツ、ユニフォーム、小物などのグッズを販売する不正オンラインストアを多数特定したほか、オリンピックメダルを販売する偽のオークションや、オリンピックを餌にしてユーザーをおびき寄せ、WhatsApp経由で通信事業者から追加のモバイルデータ通信量がもらえると偽る高度な手口も特定している。\n\n また、カスペルスキーのリサーチャーは、オリンピック開催が近づく7月上旬、パリ市内の約2万5000カ所の公衆Wi-Fiスポットの安全性を調査しその結果を発表した。調査・分析の結果、Wi-Fiスポットの約25％は暗号化の強度が低い、または暗号化が使用されておらず、個人情報や銀行の口座情報を盗み取られる可能性が高くなっていたことが明らかになった。,[],[]
