headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「福井新聞文化賞」に洋画・童話作家の橋谷桂子さんとNPO法人・ふくい災害ボランティアネット（福井テレビ）,https://news.yahoo.co.jp/articles/043adf03efcc0b790a7f040c44a70ba6073901b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011317-ftb-000-1-thumb.jpg?exp=10800,2024-11-06T19:12:02+09:00,2024-11-06T19:12:02+09:00,福井テレビ,ftb,福井テレビ,418,\n福井テレビ\n文化や芸術などの分野で優れた功績があった福井県にゆかりのある個人や団体を表彰する福井新聞文化賞の贈呈式が6日、福井市内で行われました。\n \n2024年の福井新聞文化賞は、福井市の洋画家・童話作家の橋谷桂子さんと、NPO法人・ふくい災害ボランティアネットに贈られました。\n \n橋谷さんは約40年にわたり、福井新聞「おはなしトントン」の挿絵を担当したほか、創作童話にも取り組み県内の児童文学の発展に貢献しました。\n \nNPO法人・ふくい災害ボランティアネットは2002年に設立し、被災地での災害ボランティアセンターの設置や運営、ボランティア活動の調整などを続けてきました。南越前町の記録的大雨による災害や能登半島地震などで精力的に活動し、被災地の復旧支援に貢献しました。\n \nまた、今後の活躍が期待される若手に贈られる「新進賞」に、鯖江市の電子オルガン奏者・826askaさんが選ばれました。\n福井テレビ,[],[]
「しあわせ発掘ふくい」を掲げ新たな戦略　インバウンドを強化　5年計画の観光ビジョン2025年1月策定へ（福井テレビ）,https://news.yahoo.co.jp/articles/0129094ff6c636772ed8d5b739711f6d7a309c48,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011320-ftb-000-1-thumb.jpg?exp=10800,2024-11-06T19:07:02+09:00,2024-11-06T19:07:02+09:00,福井テレビ,ftb,福井テレビ,608,\n福井テレビ\n2025年度から5年間の福井県の観光振興の指針を検討する会議が6日、県庁で開かれました。観光面でも「幸福な県」という魅力を前面に押し出します。\n \n県は、観光振興について重点的に取組むべき考え方などをまとめた「ふくい観光ビジョン」を定めていて、6日は2025年度から5年間の新しい観光ビジョンを検討する2回目の会議が開かれ、有識者や観光事業者らが意見を交わしました。\n \n杉本知事は「全国的にみると少子高齢化の影響で国内の旅行の需要は縮小している。これからはインバンド客の取り込みも重要な要素なので、新しい展開を見せていきたい。そのために皆さんの知恵を拝借したい」とあいさつ。\n\n骨子案では基本理念に「しあわせ発掘ふくい～知るたび、幸せになる旅～」を掲げ、▼インバウンド強化▼ブランドの磨き上げなどといった持続的に稼げる観光に向けた戦略や、今後5年間で実施すべき施策案が示されています。\n \nこの骨子案について参加者からは「『幸せ発掘』という福井の旅の魅力を外国人に十分伝えるために英語での表現にも気をつかうべき」という意見や「様々な施策案があるが重点戦略や優先順位を設定すべき」などと意見が出されました。\n \n2025年1月には最終となる3回目の会議が開かれ、年度内に観光消費額や観光入れ込み数などの目標値も設定された新しい「ふくい観光ビジョン」が策定されます。\n福井テレビ,[],[]
越前がにシーズン到来も…出漁できない天気の条件は？　漁師の“生の声”を交えて気象予報士が解説【福井】（福井テレビ）,https://news.yahoo.co.jp/articles/2bdc50c09c228db0c22c61cc88a5ee7cefebb266,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011315-ftb-000-2-thumb.jpg?exp=10800,2024-11-06T21:00:02+09:00,2024-11-06T21:38:01+09:00,福井テレビ,ftb,福井テレビ,1276,\n福井テレビ\n視聴者から寄せられた天気にまつわる素朴な疑問や、珍しい気象現象、知りたいことなどを村田気象予報士がわかりやすく解説する「天気のギモン」のコーナー。今回のテーマは「越前がに出漁できない天気は？」です。\n \n6日解禁となった越前がに漁ですが、解禁初日と7日は天候不良のため出漁が見合わせとなりました。\n \n海で仕事をする漁師にとって、天気は命にかかわります。\n \n◆出漁見送りとなった6日午前3時の天気図\n6日午前3時の天気図をは、等圧線が日本海で膨らんでいる部分があります。この場所は、向きの違う風がぶつかる所で、雨雲や雷雲が発達しました。\n \n海はやや荒れた天気になり、5日から6日朝にかけて、強風と波浪注意報が発表されていました。\n \n◆6日夜の天気図\nそして、6日夜の天気図をみると、等圧線が縦に走る冬型の気圧配置になっています。上空には寒気も南下しているので、北日本では7日、雪の降る所があります。大陸からの季節風が強まり海では波が高くなる予想で、強風、波浪注意報が発表されています。海上には、海上風警報が発表されています。\n \n安全な漁を行う上でポイントになるのは、波の高さと風の強さです。具体的に漁に出るか出ないか判断する基準があるのか、漁師に聞くと「冬型になると出られない。冬型の前に南風が強まることもある。風速13メートル、波の高さは2.5～3ｍを超えると出漁できない。西の空が真っ暗になることがあって、そういう時は注意している」と話していました。\n \n◆漁師の見解\n＜風速13メートル、波の高さは2.5～3mを超えると休漁になる＞\n \nその他にも風向きや潮の流れなど様々な要素があり、沿岸部と沖合では気象条件が異なるため、あてはまらないこともあるということですが、ひとつの目安です。\n \n風や雲の様子など、身の回りのものをみて天気を予想することを「観天望気」と言いますが、漁師ならではの「観天望気」があるようです。\n \nさらに漁師は、近年の海面水温が高い傾向についても、影響を懸念しています。\n \n5日の日本近海の海面水温を平年と比べたデータでは、平年よりも高い領域が赤く表示されていますが、日本の周辺は真っ赤になっていて、日本海は平年より3℃前後高い状況になっています。\n \n◆海水温上昇が及ぼすカニ漁への影響\nこの海面水温が高いことについて、漁師は「カニは、1度以下の所に生息するから、引き上げる時は水面でモタモタできない。スピードが勝負！」と話していました。\n \n海の温暖化もあり、一気に網を引き揚げないといけないカニ漁は、時間との勝負だということです。\n \n◆8日の予報\n8日は漁に出ることができるのか。7日夜の天気図をみると、冬型の気圧配置は緩んできますが、まだ北寄りの風がやや強く吹きそうです。8日未明の予想は、沿岸部の最大風速が8m、波の高さが2ｍです。\n \n8日に出漁できるかどうかは、7日朝に決定するということです。\n福井テレビ,[],[]
コロナ禍を経て5年ぶりの交流　香港の中高一貫校の生徒が羽水高校を訪問　生徒が英語で校内を案内　【福井】　（福井テレビ）,https://news.yahoo.co.jp/articles/b0377f78d7f7d90e0a321272f3009df8649e7a1a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011316-ftb-000-1-thumb.jpg?exp=10800,2024-11-06T18:52:01+09:00,2024-11-06T18:52:01+09:00,福井テレビ,ftb,福井テレビ,496,\n福井テレビ\n福井市にある県立羽水高校に6日、姉妹校となっている香港の学校の生徒たちが訪れました。コロナ禍でしばらく対面がかないませんでしたが、5年ぶりに対面での交流が実現しました。\n \n羽水高校を訪れたのは、香港にある中高一貫校「ジ・イーエルシーエイチケー・イェン・ロン・ルサラン・セカンダリースクール」の生徒27人です。\n \n羽水高校では、生徒らにアジア圏をはじめ世界に視野を広げてほしいと、2018年にこの学校と姉妹校の協定を結び、翌年、生徒が羽水高校を訪れましたが、それ以降はコロナ禍でオンラインの交流が続いていました。今回の対面での交流は5年ぶりとなりました。\n \n6日は1年生の生徒らが校内を案内して回り、英語で「ふくいサーモンは美味しいよ」と話しかけると、香港の生徒が「将来、食べてみるね」と返すなど、コミュニケーションを楽しんでいました。\n \n香港の生徒らは「私は日本人が好き。優しくて気さくで歓迎してくれるから」「課外活動が楽しみ」などと話していました。\n \n香港の生徒たちは福井市内に宿泊し、7日も羽水高校で授業や部活動を見学します。\n福井テレビ,[],[]
本格移行まで1カ月「マイナ保険証」は便利？　移行はあくまで“任意”　医療現場は“負担減”に期待も利用進まず【福井】（福井テレビ）,https://news.yahoo.co.jp/articles/acc4254ff0d88ae6cff8672e8fd9e078e31a6681,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011321-ftb-000-3-thumb.jpg?exp=10800,2024-11-06T18:52:01+09:00,2024-11-06T21:24:01+09:00,福井テレビ,ftb,福井テレビ,1408,\n福井テレビ\n現行の健康保険証からマイナンバーカードの保険証への本格的な移行まで1カ月を切りました。12月2日からは現行の保険証の新たな発行はなくなります。マイナンバーカードの保有率は10月末時点で県民の約8割となっている一方、「マイナ保険証」の利用率は、9月時点でわずか2割程度にとどまっています。本格移行が間近に迫る中、カードは持ってるけれど利用が進まないという現状について、県内の病院を取材しました。\n \n福井市の県済生会病院では、総合受付にマイナ保険証のカードリーダーが設置されています。12月2日から現行の健康保険証の新たな発行は廃止され、マイナ保険証に一本化されます。\n \nこの病院では、これまでは保険証を受付に出していましたが、マイナ保険証に移行すると、カードリーダーで本人が読み込み、病院側が行っていた作業を患者自らが行うことになります。\n\nカードを所定の位置にかざし、顔認証か、暗証番号で本人確認を行ったあと、医療情報などの提供に同意するかどうかを選ぶというもので、10秒ほどで終了するということもあり、医療現場の負担軽減につながります。\n \n県済生会病院では「普及が進んでいないのは使い方が分かっていないからで、実際に操作してみると案外簡単だという声もある」と話しますが、マイナ保険証を利用する患者は全体の1割程度だといいます。\n \nそもそも、マイナ保険証への一本化は、私たちにとってどんなメリットがあるのでしょうか。\n\n県済生会病院では「マイナ保険証を使うことによって他病院の処方箋や特定健診の結果を見ることができるため、薬の重複を防ぎ、健診での異常などをいち早く知ることができるなど診療上もプラスになる」としています。\n \n過去の診察内容や処方薬の情報などを医師や薬剤師に共有されるため、過剰な投薬や不必要な検査を防ぎ医療費が減る場合があるということです。\n \nマイナンバーカードの取得やマイナ保険証の紐づけは“あくまで任意”ですが、一度、自分のマイナンバーの内容を確認してみる必要があります。\n \n \n＜マイナ保険証移行のポイント＞\n◆国が挙げるメリット\n・手続きなしで高額療養費の限度額を超える支払いを免除する\n・確定申告時の医療費控除が簡単になる等 \n \n◆診察時の持参物\nこれまで医療機関に行く時、必ず持って行くものは保険証・診察券・お薬手帳の3点だったが、マイナ保険証が使える医療機関や薬局であれば基本的にマイナンバーカード1枚あればよい。ただ、中学3年生までの子どもがいる家庭では、これまで通り「子ども医療費助成受給者証」を合わせて持参する必要がある。\n \n◆移行後も経過措置あり\nマイナ保険証への移行後は、現行の保険証がすぐに使えなくなるわけではなく、経過措置として最長1年間の移行期間が設けられています。ただし、自営業や退職した人が加入する国民健康保険、75歳以上が加入する後期高齢者医療保険は、2025年7月末までの期限となるので注意が必要。\n \n◆「資格確認書」の提示で対応可能\n健康保険証が新たに発行されなくなった後も、マイナ保険証や有効な健康保険証を持っていない人には、加入する医療保険者から健康保険証の代わりとなる「資格確認書」が送付され、資格確認書を提示すれば保険証として使用できる。\n福井テレビ,[],[]
「日本酒業界に追い風」酒蔵や販売会社から期待の声　日本の「伝統的酒造り」ユネスコ無形文化遺産に登録へ【福井】（福井テレビ）,https://news.yahoo.co.jp/articles/9036f88726c5e7b4ce88e97484a1f73cd5a1b2af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011318-ftb-000-1-thumb.jpg?exp=10800,2024-11-06T18:47:01+09:00,2024-11-06T18:47:01+09:00,福井テレビ,ftb,福井テレビ,1078,\n福井テレビ\n日本酒や焼酎、泡盛など日本の「伝統的酒造り」が、ユネスコの無形文化遺産に登録される見通しとなりました。これにより、日本のお酒の世界的認知度が高まり、需要が伸びることも期待されます。県内には日本酒の酒蔵も多く、県内の蔵人や酒造販売者からも歓迎の声が聞かれました。\n \n文化庁によりますと、国連教育科学文化機関（ユネスコの評価機関）は5日、日本が提案していた「伝統的酒造り」について無形文化遺産に登録するよう勧告しました。\n \n日本の伝統的な酒造りの原型は500年以上前の室町時代に確立されたとされ▼コメなどの原料を蒸す▼こうじを作る▼発酵させる、などの伝統的な技術が、各地の風土や気候に合わせ伝承されてきました。\n \nユネスコの評価機関は「酒造りが職人と地域住民を結び、環境の持続可能性に貢献している」ことなどが登録基準を満たしているとしました。\n \n日本酒づくりが盛んな福井では、伝統的酒造りの無形文化遺産登録をどう感じているのか、創業220年、福井市内最古の酒蔵「常山酒造」を取材しました。\n \n店主で杜氏の常山晋平さんは「業界にとって明るいニュース。輸出量も伸びているので日本酒に取って追い風」とし、福井の酒造りを世界に知ってもらうチャンスが広がったと喜んでいます。\n \nまた、杜氏や蔵人の技術が評価されたことについては「前の杜氏から引き継いだ技術や自然の変化に合わせていくような造りも必要な中で、ユネスコの無形文化遺産に認められようとしているのは非常に有難い。和食との相乗効果で世界中で認知されて\nいけば有難いし、MADE IN FUKUIを伝えていけるような酒造りをしていきたい」と話します。\n \nまた、福井駅構内にある「くるふ福井駅」で県内の地酒の飲み比べや販売を行う「おさけとワインみずもと」では「福井は海外の利用客が少ないので、日本の酒造りが興味を持ってもらえるような流れは有難い。現状ではインバウンドは感じづらいが、日本酒の価値を感じている方に福井のお酒を知ってもらいたい」と、福井の地酒を求めるインバウンド客が増えることを期待します。\n \n文化庁によりますと、12月にパラグアイで開かれる政府間委員会で、無形文化遺産への登録が正式に決まります。\n \n国内では2013年に和食が無形文化遺産に登録された後、海外の日本食レストランは10年で3倍に増えています。世界のアルコールでは、ワイン、ビール、馬乳酒、ブランデー、ラムは登録済みで、そこに日本酒も加わることになります。\n福井テレビ,[],[]
ドラフト5位の工大福井・篠原響投手が西武ライオンズと仮契約　12月1日に入団発表　1月には合同自主トレへ【福井】（福井テレビ）,https://news.yahoo.co.jp/articles/c59428011c924877ffd3ac6dfadd637224335fd9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011319-ftb-000-2-view.jpg?exp=10800,2024-11-06T17:44:01+09:00,2024-11-06T18:22:01+09:00,福井テレビ,ftb,福井テレビ,370,\n福井テレビ\nプロ野球の埼玉西武ライオンズからドラフト5位指名を受けた工大福井高校の篠原響投手が、球団と仮契約を結びました。\n \n6日は、埼玉西武ライオンズの安逹俊也スカウトらが工大福井高校を訪れ、篠原投手と仮契約を結びました。会見では、推定年俸、契約金はいずれも公表されませんでした。\n \n初めてライオンズの帽子をかぶった篠原投手は「日本のプロ野球という舞台に自分も入るとより一層実感できた。ドラフトの時に日本代表する投手と目標に掲げたので、一歩一歩活躍し、まずは一軍に上がって活躍できるように頑張る」と意気込みを語りました。\n\n愛知県出身の篠原選手は、最速149キロのストレートと、左右に投げ分けるコントロールが武器です。\n \n12月1日に入団発表に臨み、年明け1月には合同自主トレに参加する予定です。\n福井テレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011319-ftb-000-2-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/c59428011c924877ffd3ac6dfadd637224335fd9/images/000']
昭和34年創業、越前市の料亭「神崎家」が破産開始決定　官公庁などの利用落ち込む　負債総額は約5500万円【福井】（福井テレビ）,https://news.yahoo.co.jp/articles/f48529ad417e48b49bc6eaeb5efc1b236b6ff5da,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011314-ftb-000-1-view.jpg?exp=10800,2024-11-06T13:49:02+09:00,2024-11-06T13:49:02+09:00,福井テレビ,ftb,福井テレビ,296,\n福井テレビ\n民間の調査会社・帝国データバンク福井支店によりますと、越前市の料亭「神崎家」が破産手続き開始決定を受けたことが分かりました。負債総額は約5500万円とみられています。\n \n神崎家は1959年（昭和34年）創業の老舗料亭で、市内に数ある料亭の中でも格式高い料亭として知名度が高く、官公庁や企業を中心に集客していました。\n \nしかし、新たな料亭や飲食店の出店、新型コロナ感染拡大の影響などから売り上げが減少し、2022年3月期の年売上高は約400万円に落ち込み、休業状態となっていました。\n \n債権者は6人で、負債総額は約5500万円とみられています。\n福井テレビ,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011314-ftb-000-1-view.jpg?exp=10800'],['https://news.yahoo.co.jp/articles/f48529ad417e48b49bc6eaeb5efc1b236b6ff5da/images/000']
越前松平家“お抱え”鉄の名工「明珍吉久」の甲冑を展示　全国明珍派の作品合わせ65点　福井市郷土歴史博物館で特別展（福井テレビ）,https://news.yahoo.co.jp/articles/be55797601e67e11c773722a50387f821dc4d804,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011313-ftb-000-2-thumb.jpg?exp=10800,2024-11-06T12:00:02+09:00,2024-11-06T12:37:01+09:00,福井テレビ,ftb,福井テレビ,288,\n福井テレビ\n福井藩主・越前松平家お抱えの鍛冶師・明珍吉久らの作品を展示した企画展が、福井市の郷土歴史博物館で開かれています。\n \n企画展では、越前松平家お抱えの鍛冶師・明珍吉久らが製作した甲冑や刀の鍔などの金属工芸品65点が展示されています。\n \n1689年に第7代福井藩主・松平吉品が明珍吉久らに製作させた鉄製の甲冑「魚鱗具足」は、魚の鱗のような形をしたパーツを連結させて製作され、独創的な作りになっています。\n \nそのほか、全国の明珍派が作った精巧な鉄の芸術「自在置物」なども展示しています。\n \n企画展は12月1日まで開かれています。\n福井テレビ,[],[]
坂井市で震度2　あわら市・勝山市で震度1　津波の心配なし　震源の石川県加賀地方では震度3を観測【福井発】（福井テレビ）,https://news.yahoo.co.jp/articles/82bf9026cd285e19c71d360e7b08513581f0e496,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241106-90011312-ftb-000-2-thumb.jpg?exp=10800,2024-11-06T11:56:01+09:00,2024-11-06T12:26:01+09:00,福井テレビ,ftb,福井テレビ,300,\n福井テレビ\n6日朝、北陸地方で震度3の地震が発生し、県内では坂井市で震度2を観測しました。この地震による津波の心配はありません。\n \n6日午前6時42分ごろ、石川県加賀地方を震源とする地震がありました。震源の深さは10キロ、地震の規模はマグニチュード3.8と推定されています。この地震による津波の心配はありません。\n \nこの地震で、石川県小松市、白山市、能美市で震度3を観測したほか、県内では、坂井市で震度2、あわら市、勝山市で震度1を観測しました。\n \nまた、この地震の影響で北陸新幹線の上下線計4本に最大13分の遅れが発生しましたが、現在は平常運行に戻っています。\n福井テレビ,[],[]
